[00:00:18.334 --> 00:00:20.135]  It's Monday, January 25th.
[01:30:40.789 --> 01:30:44.393]  They say, Alex, we know it hurts a lot of people, but it's for a greater good.
[01:30:44.393 --> 01:30:45.374]  But that's not even true.
[01:30:45.374 --> 01:30:49.960]  And it violates the Geneva Convention, the Nuremberg Code, and federal and state law.
[01:30:49.960 --> 01:30:52.423]  This is violence being carried out against us by medical tyranny.
[01:30:52.423 --> 01:30:55.366]  And we have a right to resist it with any means necessary.
[01:30:56.477 --> 01:30:57.977]  The Great Reset.
[01:30:57.977 --> 01:30:59.618]  Where have I heard of that before?
[01:30:59.618 --> 01:31:02.398]  Oh, the Great Leap Forward.
[01:31:02.398 --> 01:31:14.421]  Mao Zedong ordering all the small towns and small farms to basically shut down and have the rural people and the small business people move into the big cities and go under communist commune control.
[01:31:14.421 --> 01:31:15.322]  And that's all this is.
[01:31:15.322 --> 01:31:16.682]  The big mega banks want to break us.
[01:31:16.682 --> 01:31:19.123]  They're the same ones that put Mao Zedong into power.
[01:31:19.123 --> 01:31:23.844]  And they're creating the process of getting rid of our old economy and bringing in the new economy where everything's free.
[01:31:24.804 --> 01:31:28.626]  Because when you're a prisoner, well, everything's free, but you're also a slave.
[01:31:28.626 --> 01:31:33.348]  Scotland is gonna have universal guaranteed incomes now, of subsistence level.
[01:31:33.348 --> 01:31:41.992]  But of course, you gotta take those vaccines, you can't have any kids, and oh, and don't worry though, all of the tampons and stuff like that's free too as well.
[01:31:41.992 --> 01:31:42.492]  I'm not kidding.
[01:31:43.442 --> 01:31:46.524]  As men age, they often experience a slowdown in vitality, energy, and overall wellness.
[01:32:06.860 --> 01:32:11.604]  And that's why we made one of our most popular formulas to date.
[01:32:11.604 --> 01:32:13.945]  Super Male Vitality!
[01:32:13.945 --> 01:32:22.792]  Specifically designed to assist the body in regulating proper balance to create superior vitality in males.
[01:32:22.792 --> 01:32:33.660]  Now look, this unique formula promotes your body's own natural responses and it contains no synthetic chemicals and no unwanted additives.
[01:32:33.940 --> 01:32:34.620]  Yes.
[01:32:34.620 --> 01:32:39.542]  We're talking about ancient wisdom combined with modern technology.
[01:32:39.542 --> 01:32:46.243]  Working together in perfect synchronicity to help you get the most out of this herb-packed formula.
[01:32:46.243 --> 01:32:47.504]  What are you waiting for?
[01:32:47.504 --> 01:32:49.364]  Go to the InfoWars store.
[01:32:49.364 --> 01:32:52.185]  Never been a better time than right now.
[01:32:52.185 --> 01:32:59.527]  Super Male Vitality at InfoWarsStore.com.
[01:32:59.527 --> 01:33:02.208]  You're listening to the Alex Jones Show.
[01:33:24.045 --> 01:33:29.531]  If you are receiving this transmission, you are the resistance.
[01:33:29.531 --> 01:33:34.237]  Live from the InfoWars.com studios, it's Alex Jones.
[01:33:38.504 --> 01:33:40.506]  All right, Owen Schroyer is about to take over.
[01:33:40.506 --> 01:33:49.955]  I also shot a special report on martial law, the Davos Group, and what's coming next that we should probably air towards the end of the third hour or the beginning of the fourth hour today.
[01:33:49.955 --> 01:33:57.341]  And I just want listeners to remember, I'm not kissing your butt, it's true, how important you are out of the seven and a half billion people on the planet.
[01:33:57.341 --> 01:33:59.924]  The millions of you, conservatively tuned in right now,
[01:34:01.243 --> 01:34:09.696]  Black, white, old, young, from Japan to Mexico, from Germany to South Africa, to right here in the good old USA, up to Canada, you name it.
[01:34:09.696 --> 01:34:12.099]  To New Zealand, Australia, you need to understand something.
[01:34:12.099 --> 01:34:14.283]  To Russia, you need to understand something.
[01:34:14.283 --> 01:34:15.585]  This is real.
[01:34:15.585 --> 01:34:16.666]  I wish this wasn't real.
[01:34:17.347 --> 01:34:18.548]  I'm a major target of this.
[01:34:18.548 --> 01:34:20.089]  They're trying to arrest me.
[01:34:20.089 --> 01:34:21.250]  They're trying to indict me.
[01:34:21.250 --> 01:34:23.772]  I'm not even supposed to tell you about all this, okay?
[01:34:23.772 --> 01:34:24.673]  And I'm not a victim.
[01:34:24.673 --> 01:34:26.034]  I chose this.
[01:34:26.034 --> 01:34:27.575]  I expect this to happen.
[01:34:27.575 --> 01:34:28.516]  Does it make it fun?
[01:34:28.516 --> 01:34:29.517]  Does it make it happy?
[01:34:29.517 --> 01:34:33.660]  But I realize they're just going to get me a year or two before you.
[01:34:33.660 --> 01:34:36.563]  I mean, they have an insurance company actuaries.
[01:34:36.563 --> 01:34:39.085]  We started covering with the Deagle report two years ago.
[01:34:40.970 --> 01:34:46.912]  And this is for no other country, that there'll be 200 million people in the U.S., that 150 million will be gone by 2022.
[01:34:46.912 --> 01:34:53.615]  Now, I'm not saying that's going to happen, but insurance companies have us not even existing, basically.
[01:34:53.615 --> 01:34:56.076]  They have us completely out of the game fried.
[01:34:56.076 --> 01:35:02.519]  Well, I saw all these headlines on CNN, especially run by China, and it was like, oh, everyone's giving up on America.
[01:35:02.519 --> 01:35:07.361]  No one's going to have jobs here because China shut down COVID properly and is better than us.
[01:35:07.361 --> 01:35:10.502]  Everyone's moving to China because Joe Biden's announced we're not open for business.
[01:35:12.159 --> 01:35:13.400]  This is economic warfare.
[01:35:13.400 --> 01:35:19.966]  I look at the leftists with their thumbs in their mouths, domesticated, living off the carcass of America, having no idea what's about to hit them.
[01:35:19.966 --> 01:35:22.929]  So, only realism is going to get us out of this.
[01:35:22.929 --> 01:35:26.392]  Only admission of how much trouble we're in is going to get us out of this.
[01:35:27.398 --> 01:35:36.244]  Let me tell you, the Democratic Party, Senator Blumenthal, Senator Murphy, they're on record saying, for America to survive, Alex Jones and Infowars must be taken off the air.
[01:35:36.244 --> 01:35:37.885]  So I have serious enemies.
[01:35:37.885 --> 01:35:41.368]  And by the way, I'm proud to have those evil enemies.
[01:35:41.368 --> 01:35:43.349]  Those sold-out nobodies.
[01:35:43.349 --> 01:35:48.512]  But I need you to understand how important you are and don't take time for granted.
[01:35:48.512 --> 01:35:50.494]  Yeah, we got five times the audience we had a year ago.
[01:35:52.483 --> 01:35:54.325]  But that's still, I don't care about that.
[01:35:54.325 --> 01:35:57.728]  If I'm going to get destroyed, I want to get destroyed for a good reason.
[01:35:57.728 --> 01:36:07.957]  If I'm going to fly my, you know, kamikaze plane into the deck of the ship, metaphorically, the non-violent, well, that's an allegory, not for real, CNN, then I want to go right into the engine room.
[01:36:07.957 --> 01:36:11.460]  I want to go right into the weapons magazine and sink the whole ship.
[01:36:12.520 --> 01:36:17.206]  I don't want to just crash into the side and not do anything and spend my life needlessly.
[01:36:17.206 --> 01:36:18.208]  But here's the deal.
[01:36:18.208 --> 01:36:20.291]  We may just see a global revolt against this.
[01:36:20.291 --> 01:36:21.472]  People don't comply.
[01:36:21.472 --> 01:36:22.273]  We could turn it around.
[01:36:22.273 --> 01:36:29.103]  They're burning cities down all over the world now and burning down COVID centers, knowing it's all a fraud in mainline conservative Europe.
[01:36:30.609 --> 01:36:43.396]  And by conservative Europe, I mean conservative people that don't usually get out and get violent in Germany and in the Netherlands and all over are burning down the police stations and are burning down the COVID centers and are burning down the hospitals because they're not stupid.
[01:36:43.396 --> 01:36:44.456]  They know the real numbers.
[01:36:44.456 --> 01:36:48.758]  They know they're arresting doctors and scientists that tell the truth.
[01:36:48.758 --> 01:36:50.279]  And by the way, I look at these crowds.
[01:36:50.279 --> 01:36:51.780]  These are Europeans doing this.
[01:36:51.780 --> 01:36:53.221]  Sick of the Islamic invasion.
[01:36:53.221 --> 01:36:54.381]  Sick of the no-go zone.
[01:36:54.381 --> 01:36:55.322]  Sick of the New World Order.
[01:36:56.192 --> 01:36:58.513]  Am I saying it's good to go out and burn up police stations?
[01:36:58.513 --> 01:37:01.354]  Am I saying it's good to go out and burn down COVID centers?
[01:37:01.354 --> 01:37:02.394]  Well, I'll tell you this.
[01:37:02.394 --> 01:37:05.215]  I didn't start this fight and I'm not asking for this fight.
[01:37:05.215 --> 01:37:07.256]  But I'll tell the globalists this.
[01:37:07.256 --> 01:37:11.397]  Klaus Schwab and all of you, and Bill Gates, you're not getting away with this.
[01:37:11.397 --> 01:37:13.498]  And I know you're really freaked out right now.
[01:37:13.498 --> 01:37:19.359]  But I call on the American people not to be offensively violent against capitals or police stations or military bases.
[01:37:19.359 --> 01:37:20.980]  The globalists train you to attack those.
[01:37:21.380 --> 01:37:32.865]  They have Southern Poverty Law Center operatives infiltrating militias and other groups trying to get them to hit military targets, to then turn the military against us, and then to also have a purge inside the military.
[01:37:32.865 --> 01:37:39.028]  I told you three weeks ago, you watch, the next thing will be the purge of the military, even before January 6th.
[01:37:39.028 --> 01:37:39.848]  I said that's coming.
[01:37:40.148 --> 01:37:44.709]  And then right after January 6th, I said, you watch, they're going to call the troops in and then say they can't be trusted.
[01:37:44.709 --> 01:37:46.410]  I know a communist takeover.
[01:37:46.410 --> 01:37:50.511]  They're following the Bolshevik Revolution because it's worked in over 20 countries.
[01:37:50.511 --> 01:37:51.531]  Do you understand?
[01:37:51.531 --> 01:37:52.712]  It's worked in Vietnam.
[01:37:52.712 --> 01:37:53.912]  It's worked in Venezuela.
[01:37:53.912 --> 01:37:54.992]  It's worked in Cuba.
[01:37:54.992 --> 01:37:56.173]  It's worked in North Korea.
[01:37:56.173 --> 01:37:57.213]  It's worked in China.
[01:37:57.213 --> 01:37:58.173]  It's worked in Europe.
[01:37:58.173 --> 01:38:02.175]  It's worked in the Czech Republic, Romania, Hungary, Poland.
[01:38:02.175 --> 01:38:03.695]  Would you like me to continue on for a while?
[01:38:03.695 --> 01:38:05.576]  Because I can list every damn one of them.
[01:38:05.576 --> 01:38:08.477]  This is a tried and true blueprint.
[01:38:08.477 --> 01:38:09.537]  You ask why they don't stop?
[01:38:10.885 --> 01:38:12.325]  Because nobody's ever stopped them.
[01:38:12.325 --> 01:38:13.186]  Because we elect them.
[01:38:13.186 --> 01:38:20.508]  Oh, while the left's building up their bases, while the left's training their body, this stuff at universities, they're like, oh, don't shut us down.
[01:38:20.508 --> 01:38:22.248]  We're just training to overthrow the country.
[01:38:22.248 --> 01:38:24.689]  But we have free speech, right?
[01:38:24.689 --> 01:38:26.629]  We're like, okay, you have your free speech to overthrow the country.
[01:38:26.629 --> 01:38:28.630]  And then we're like, hey, don't overthrow the country.
[01:38:28.630 --> 01:38:29.610]  Don't bankrupt us.
[01:38:29.610 --> 01:38:30.530]  Oh, sorry, you're terrorists.
[01:38:30.530 --> 01:38:32.151]  We're going to arrest you now.
[01:38:32.151 --> 01:38:34.051]  See how they work?
[01:38:34.051 --> 01:38:35.592]  So they're going for broke.
[01:38:35.592 --> 01:38:39.353]  And they've got Biden in there because they know gutting the country is going to be incredibly unpopular.
[01:38:40.290 --> 01:38:44.912]  They know, so they've got him ready just to remove him again and bring in somebody more popular.
[01:38:44.912 --> 01:38:47.033]  Probably not even Kamala Harris.
[01:38:47.033 --> 01:38:50.994]  So, this is exchangeable people they're putting in.
