[00:00:09.608 --> 00:00:13.493]  He's pounding down, loaded up and trucking.
[01:20:42.260 --> 01:20:47.865]  From the Hill, Rosenstein meeting with Paul Ryan about Russia investigation.
[01:20:47.865 --> 01:20:50.467]  That is a confirmed meeting that happened.
[01:20:50.467 --> 01:20:51.768]  Christopher Wray was supposed to be there.
[01:20:51.768 --> 01:20:56.011]  It was not confirmed that he did actually show up.
[01:20:56.011 --> 01:21:00.315]  So you have to wonder what that is about.
[01:21:01.986 --> 01:21:05.648]  Why was Rosenstein meeting with Paul Ryan?
[01:21:05.648 --> 01:21:17.676]  This, of course, the day after, or the day of, Mueller's now lawsuit against him from Manafort.
[01:21:17.676 --> 01:21:23.400]  The day after Trump says Hillary's top aide Huma Abedin belongs in jail.
[01:21:23.400 --> 01:21:27.163]  The same day that Hillary Clinton's house catches on fire.
[01:21:27.163 --> 01:21:28.784]  Folks, are you starting to see here?
[01:21:31.092 --> 01:21:32.553]  Buckle up, baby!
[01:21:32.553 --> 01:21:32.754]  It's 2018!
[01:21:32.754 --> 01:21:41.622]  The other story from the Hill today, Congressional investigators find irregularity in FBI's handling of Clinton email case.
[01:21:41.622 --> 01:21:43.504]  Well, yeah!
[01:21:43.504 --> 01:21:45.346]  Peter Stroke wrote her off?
[01:21:45.346 --> 01:21:47.267]  James Comey wrote her off?
[01:21:47.267 --> 01:21:55.675]  Yeah, she broke the law, but we changed the terminology in the investigation so that she could walk.
[01:21:55.675 --> 01:21:56.176]  Okay.
[01:21:57.990 --> 01:22:06.474]  Yeah, Bill and Hillary kind of realized the heat was really on and that the sun is really setting on their crime spree.
[01:22:06.474 --> 01:22:10.476]  So they nearly burnt their house down today.
[01:22:10.476 --> 01:22:12.837]  Yeah.
[01:22:12.837 --> 01:22:14.097]  Yeah.
[01:22:14.097 --> 01:22:18.940]  Yeah, it's all starting to move in the direction we expected the whole time.
[01:22:18.940 --> 01:22:21.301]  And people are starting to get it.
[01:22:23.413 --> 01:22:27.317]  This is a clip of Newt Gingrich on Fox Business.
[01:22:27.317 --> 01:22:30.120]  And again, think what you want about Newt Gingrich.
[01:22:30.120 --> 01:22:42.072]  He was the one who originally said on Fox News, it was shocking to me that he said it, that the reason why the media and the establishment is against Trump is because he's not in the secret societies.
[01:22:43.302 --> 01:22:44.362]  I think things are happening.
[01:22:44.362 --> 01:22:46.523]  I think the Congress is doing its job.
[01:22:46.523 --> 01:22:50.625]  I think the news media has begun to realize this is a gigantic story.
[01:22:50.625 --> 01:22:58.749]  Certainly John Sullivan and others have been doing an amazing job of piecing it together despite enormous resistance from the elite media.
[01:22:58.749 --> 01:23:02.050]  Look, there are two things I take out of this as a historian.
[01:23:02.050 --> 01:23:08.633]  One is, we now understand how close we came to a real disaster if Hillary had won.
[01:23:08.633 --> 01:23:09.293]  Pause it right there.
[01:23:09.293 --> 01:23:10.374]  This is actually the key.
[01:23:11.920 --> 01:23:21.366]  You have to remember, when breaking all this down, I actually thought, I really thought long and hard about this last night, and we're almost to the point where we have all the connections.
[01:23:21.366 --> 01:23:23.928]  We're pretty much there, we know the names, we know the dates.
[01:23:23.928 --> 01:23:31.853]  If you follow this broadcast, you follow M4s, you follow, you know, Real News with Dave Knight and the Alex Jones Show, you pretty much know what's going on here.
[01:23:31.853 --> 01:23:34.555]  But where does this all originate?
[01:23:34.555 --> 01:23:35.776]  This is what you need to remember.
[01:23:35.776 --> 01:23:37.137]  What is the base?
[01:23:37.137 --> 01:23:38.498]  What is the foundation?
[01:23:38.498 --> 01:23:38.878]  Why?
[01:23:41.127 --> 01:23:49.235]  Folks, Hillary Clinton had to win to cover up her massive crimes.
[01:23:49.235 --> 01:23:52.018]  That's what the basis for all of this is.
[01:23:52.018 --> 01:23:54.100]  That's the desperate campaign.
[01:23:54.100 --> 01:23:57.063]  That's the desperate collusion with the mainstream media.
[01:23:57.063 --> 01:23:58.344]  That's the desperate lies.
[01:23:58.624 --> 01:24:02.186]  That's the desperate collusion with the Obama DOJ.
[01:24:02.186 --> 01:24:05.108]  That's the desperate collusion with the Obama FBI.
[01:24:05.108 --> 01:24:07.589]  That's the desperation burning your house.
[01:24:07.589 --> 01:24:10.411]  That's your desperation erasing emails.
[01:24:10.411 --> 01:24:12.793]  That's your desperation smashing servers.
[01:24:12.793 --> 01:24:16.495]  That's your desperation not turning over servers in this investigation.
[01:24:16.815 --> 01:24:18.376]  Do you see what's going on?
[01:24:18.376 --> 01:24:31.867]  So Hillary Clinton, a mountain of criminal activity behind her, has to become president so that she doesn't go to jail, has to become president so that she hopes she can get away with all the crimes she committed.
[01:24:31.867 --> 01:24:33.008]  She loses.
[01:24:33.008 --> 01:24:34.810]  The entire thing falls apart.
[01:24:34.810 --> 01:24:37.232]  The FBI collusion gets exposed.
[01:24:37.232 --> 01:24:39.694]  The mainstream media collusion gets exposed.
[01:24:39.694 --> 01:24:41.475]  It's all exposed in the WikiLeaks.
[01:24:41.475 --> 01:24:43.997]  It's all exposed in the Project Veritas videos.
[01:24:43.997 --> 01:24:45.359]  Now the reports keep coming out.
[01:24:46.215 --> 01:24:47.956]  It's over for her!
[01:24:47.956 --> 01:24:49.857]  So she gets more desperate and more desperate.
[01:24:49.857 --> 01:24:50.818]  What's next?
[01:24:50.818 --> 01:24:52.659]  Her house is already on fire.
[01:24:52.659 --> 01:24:53.180]  What's next?
[01:24:53.180 --> 01:24:55.761]  The entire DNC is going to burn down?
[01:24:55.761 --> 01:24:58.763]  Here, let's go back to Newt Gingrich who first said it.
[01:24:58.763 --> 01:25:00.885]  Trump is not in the secret societies.
[01:25:01.545 --> 01:25:04.586]  This would have been swept under the rug.
[01:25:04.586 --> 01:25:08.588]  The system would have continued to decay into corruption and dishonesty.
[01:25:08.588 --> 01:25:11.389]  Cronyism would have continued to grow.
[01:25:11.389 --> 01:25:20.192]  And in that sense, Trump is a disruptive figure who's breaking up the insider deals, the insider corruption, the kind of things that are clearly criminal behavior.
[01:25:20.192 --> 01:25:22.133]  I think that's important to remember.
[01:25:22.133 --> 01:25:22.893]  The second thing is,
[01:25:23.553 --> 01:25:26.736]  This goes to the heart of the American system.
[01:25:26.736 --> 01:25:29.979]  We have to rely on the rule of law.
[01:25:29.979 --> 01:25:32.001]  We're a very diverse country.
[01:25:32.001 --> 01:25:33.262]  We have enormous potential.
[01:25:33.262 --> 01:25:34.082]  And so pause right there.
[01:25:34.082 --> 01:25:35.363]  So this is all out in the open.
[01:25:36.374 --> 01:25:47.202]  Everyone knows it with a brain, and who can read, and so we see the collusion, we see the corruption, and so that's why President Trump tweets these things out, like, jail for Huma Abedin.
[01:25:47.202 --> 01:25:51.204]  That's why he tweets these things out, like, investigate Lyon James Comey.
[01:25:51.204 --> 01:25:56.508]  That's why he tweets these things out, like, maybe the FBI and the DOJ need investigated.
[01:25:56.508 --> 01:25:58.309]  That's like his bat signal.
[01:25:58.309 --> 01:26:00.231]  That's like he's the lighthouse.
[01:26:00.231 --> 01:26:03.413]  He's telling you he knows what's going on.
[01:26:03.413 --> 01:26:04.654]  He's not ignoring this.
[01:26:07.406 --> 01:26:13.169]  And while it is frustrating, and I've said it here dozens of times, every day Hillary Clinton walks free, I lose tolerance.
[01:26:13.169 --> 01:26:17.451]  But you can see, it's inching closer and closer.
[01:26:17.451 --> 01:26:19.292]  The more details are coming out.
[01:26:19.292 --> 01:26:21.153]  And so that's why this next clip is so imperative.
[01:26:21.153 --> 01:26:22.434]  Guys, let's roll to the next clip now.
[01:26:22.434 --> 01:26:23.995]  This is... again.
[01:26:25.717 --> 01:26:32.163]  The genie is out of the bottle, the cat is out of the bag, the toothpaste is out of the tube, and it cannot be put back in.
[01:26:32.163 --> 01:26:38.529]  This is Judicial Watch on Fox Business saying that the Department of Justice has no choice now but to prosecute Hillary Clinton.
[01:26:38.529 --> 01:26:45.616]  Can the Justice Department now ignore all of these discoveries and not do anything but prosecute this woman?
[01:26:46.303 --> 01:26:47.503]  No, they cannot.
[01:26:47.503 --> 01:26:50.044]  At this point... Bingo!
[01:26:50.044 --> 01:26:52.665]  And that's why Hillary Clinton's house is on fire today.
[01:26:52.665 --> 01:27:00.628]  ...a de novo or a completely fresh look at this entire criminal enterprise being orchestrated by Mrs. Clinton.
[01:27:00.628 --> 01:27:05.530]  Remember, she set up that email server over which all this traffic went back and forth... Sending passwords!
[01:27:05.530 --> 01:27:07.211]  Who am I having sending passwords?
[01:27:07.211 --> 01:27:08.511]  ...before she became Secretary of State.
[01:27:08.511 --> 01:27:10.672]  Classified information on illegal servers!
[01:27:12.001 --> 01:27:14.523]  Uh, you know, with full knowledge, intellect.
[01:27:14.523 --> 01:27:18.305]  Uh, this is a premeditated act on her part.
[01:27:18.305 --> 01:27:20.287]  They started the dossier.
[01:27:20.287 --> 01:27:23.589]  They created the fake dossier.
[01:27:23.589 --> 01:27:27.271]  This is so unreal, it's not even funny.
[01:27:27.271 --> 01:27:35.817]  So let me just stop you then, Chris, because what you were saying is not just... Pause right there.
[01:27:35.817 --> 01:27:37.278]  In the original investigation,
[01:27:38.473 --> 01:27:46.298]  Huma Abedin, Cheryl Mills, and Hillary Clinton all denied knowing that these classified emails were on these servers.
[01:27:46.298 --> 01:27:48.059]  Can you believe that?
[01:27:48.059 --> 01:27:53.142]  Wow, talk about gross incompetence if you believe that.
[01:27:53.142 --> 01:27:54.923]  But so how did it end up there?
[01:27:54.923 --> 01:27:58.845]  And why were you deleting emails and smashing servers if you had no idea?
[01:27:58.845 --> 01:28:00.526]  Again, I mean, now we're looking at perjury.
[01:28:00.526 --> 01:28:01.227]  Here, finish the clip.
[01:28:02.049 --> 01:28:06.692]  ...with individuals like Huma Abedin and others doing stuff they weren't supposed to do.
[01:28:06.692 --> 01:28:11.454]  I don't know how these emails got... I don't know how this video list got on my desk.
[01:28:11.454 --> 01:28:12.795]  How did this get here?
[01:28:12.795 --> 01:28:15.416]  I've never seen this before!
[01:28:15.416 --> 01:28:18.178]  I didn't cue the clips off of this video list.
[01:28:18.178 --> 01:28:19.939]  That's fake news!
[01:28:19.939 --> 01:28:23.020]  ...intentional, although intent is not an element of the crime.
[01:28:23.020 --> 01:28:25.962]  It's just, frankly, more fuel on the fire.
[01:28:25.962 --> 01:28:29.444]  Also realize the Judicial Watch actually got Huma Abedin
[01:28:30.584 --> 01:28:32.785]  Bingo!
[01:28:32.785 --> 01:28:38.066]  And they lied!
[01:28:38.066 --> 01:28:38.866]  And they lied!
[01:28:38.866 --> 01:28:39.826]  There it is right there!
[01:28:39.826 --> 01:28:44.427]  So, alright, we're going to break here.
[01:28:44.427 --> 01:28:45.607]  We're inching closer.
[01:28:45.607 --> 01:28:46.567]  We've got it all.
[01:28:46.567 --> 01:28:54.529]  I mean, this is almost an open and shut case as soon as we have a Justice Department that wants to actually give a real investigation, folks.
[01:28:54.529 --> 01:28:55.409]  Lock.
[01:28:55.409 --> 01:28:56.469]  Her.
[01:28:56.469 --> 01:28:56.549]  Up.
[01:28:57.515 --> 01:28:59.116]  Vitamin Mineral Fusion.
[01:28:59.116 --> 01:29:01.696]  Visit Infowarslife.com to secure your canister.
[01:29:01.696 --> 01:29:09.199]  We have worked for years with our chemists and scientists to create the most powerful and affordable, great-tasting multivitamin formula available.
[01:29:09.199 --> 01:29:19.362]  Vitamin Mineral Fusion Drink Mix at Infowarslife.com is loaded with a full month's supply of essential vitamins, minerals, and amino acids that your body absolutely needs.
[01:29:19.842 --> 01:29:27.689]  In the history of InfoWars life, we've brought out a lot of amazing products like Survival Shield X2, Super Mill Vitality, and so many others.
[01:29:27.689 --> 01:29:37.897]  With its unique delivery system and proprietary manufacturing process designed for maximized effects, this formula is the platinum standard of multivitamin mineral products.
[01:29:37.897 --> 01:29:39.939]  And this part is most important.
[01:29:39.939 --> 01:29:46.304]  The ingredients in vitamin mineral fusion are either plant-derived or of the highest quality lab standard.
