[00:00.000 --> 00:11.600]  It's the most wonderful time of the year.
[01:13:09.040 --> 01:13:11.040]  which is exactly what they have been doing.
[01:13:11.040 --> 01:13:12.040]  Non-stop.
[01:13:12.040 --> 01:13:14.040]  They don't want the public to know,
[01:13:14.040 --> 01:13:15.040]  so what do they do?
[01:13:15.040 --> 01:13:16.040]  They classify it.
[01:13:16.040 --> 01:13:18.040]  They say, no, you, the people,
[01:13:18.040 --> 01:13:19.040]  you don't have the right to know.
[01:13:19.040 --> 01:13:20.040]  And believe me or not,
[01:13:20.040 --> 01:13:25.040]  FBI was being infiltrated by so many different foreign groups.
[01:13:25.040 --> 01:13:28.040]  They had our so-called secrets.
[01:13:28.040 --> 01:13:31.040]  Our government had its own secrets,
[01:13:31.040 --> 01:13:34.040]  secrets that they wanted to keep from the public about themselves.
[01:13:34.040 --> 01:13:36.040]  The only people, really,
[01:13:36.040 --> 01:13:38.040]  who couldn't see this information,
[01:13:38.040 --> 01:13:41.040]  happened to be the people here in the United States.
[01:13:41.040 --> 01:13:42.040]  That is so powerful.
[01:13:42.040 --> 01:13:45.040]  Using the secrecy to take our liberties and take our freedoms
[01:13:45.040 --> 01:13:47.040]  and take over the culture.
[01:13:47.040 --> 01:13:49.040]  But then every other government,
[01:13:49.040 --> 01:13:50.040]  all these corporations,
[01:13:50.040 --> 01:13:51.040]  they've got access to it.
[01:13:51.040 --> 01:13:54.040]  As a new superclass, it's amazing.
[01:13:54.040 --> 01:13:55.040]  Oh, it is.
[01:13:55.040 --> 01:13:58.040]  It was, it was, it was my awakening.
[01:13:58.040 --> 01:14:00.040]  Because look, I have degrees in criminal justice,
[01:14:00.040 --> 01:14:02.040]  in criminal psychology.
[01:14:02.040 --> 01:14:05.040]  I have a master's degree in public policy.
[01:14:05.040 --> 01:14:08.040]  And nothing in the government works the way they teach you.
[01:14:08.040 --> 01:14:10.040]  In universities, I have a master's degree,
[01:14:10.040 --> 01:14:13.040]  4.0 GPA, okay?
[01:14:13.040 --> 01:14:18.040]  My, my, my entire education in the United States
[01:14:18.040 --> 01:14:19.040]  had to do with fantasies.
[01:14:19.040 --> 01:14:21.040]  They tell you in the books
[01:14:21.040 --> 01:14:25.040]  how the government in the United States is supposed to work, right?
[01:14:25.040 --> 01:14:27.040]  When you go inside the government,
[01:14:27.040 --> 01:14:28.040]  you see that, in fact,
[01:14:28.040 --> 01:14:30.040]  either it works the opposite way,
[01:14:30.040 --> 01:14:35.040]  it has nothing to do with what we are teaching our kids in a school
[01:14:35.040 --> 01:14:38.040]  about this, you know, system of checks and balances,
[01:14:38.040 --> 01:14:41.040]  separation of powers, BS.
[01:14:41.040 --> 01:14:43.040]  None of those are taking place.
[01:14:43.040 --> 01:14:44.040]  It should.
[01:14:44.040 --> 01:14:47.040]  The reason is not because we have these people, representatives
[01:14:47.040 --> 01:14:49.040]  who have advocated their responsibility.
[01:14:49.040 --> 01:14:51.040]  What do they do?
[01:14:51.040 --> 01:14:55.040]  They are not out there representing the people's interests.
[01:14:55.040 --> 01:14:57.040]  That includes the national security.
[01:14:57.040 --> 01:15:02.040]  They are there to represent a very few's interest
[01:15:02.040 --> 01:15:03.040]  and their own interest.
[01:15:03.040 --> 01:15:05.040]  And this is exactly why we are in Texas.
[01:15:05.040 --> 01:15:07.040]  This is why I'm in Austin today.
[01:15:07.040 --> 01:15:13.040]  It's because I just have to tell you this, I was shocked.
[01:15:13.040 --> 01:15:17.040]  When I found out about Guland Charter School,
[01:15:17.040 --> 01:15:22.040]  and this is the fanatic, radical, most wanted cleric, right,
[01:15:22.040 --> 01:15:26.040]  has the largest number of his schools here in the state of Texas.
[01:15:26.040 --> 01:15:30.040]  He has 180 schools he operates in the United States.
[01:15:30.040 --> 01:15:34.040]  Over 60 of them are here in the state of Texas.
[01:15:34.040 --> 01:15:37.040]  Sybil Evans, stay right there, the magnitude of the takeover,
[01:15:37.040 --> 01:15:41.040]  the infiltration, by globalists working with certain Islamic groups
[01:15:41.040 --> 01:15:44.040]  worldwide, it's so staggering, it makes the head spin.
[01:15:44.040 --> 01:15:45.040]  I'm Alex Jones, your host.
[01:15:45.040 --> 01:15:46.040]  Sybil Evans is with us.
[01:15:46.040 --> 01:15:48.040]  I'm Shotgun's O.S. Royer.
[01:15:48.040 --> 01:16:15.040]  Stay with us.
[01:16:18.040 --> 01:16:22.040]  Only at CATIArmored.com.
[01:16:48.040 --> 01:16:52.040]  886-3653, goberky.com.
[01:17:18.040 --> 01:17:21.040]  Sybil, leather ID stronghold wallets and verses.
[01:17:21.040 --> 01:17:25.040]  Anyone can buy a cheap RFID scanner online and snag your information
[01:17:25.040 --> 01:17:27.040]  just by walking past you.
[01:17:27.040 --> 01:17:30.040]  Contactless credit cards, debit cards, even your work ID bag.
[01:17:30.040 --> 01:17:34.040]  ID stronghold was the first to pioneer RFID blocking technology.
[01:17:34.040 --> 01:17:38.040]  Over 12 years ago, secure your identity and save 10%
[01:17:38.040 --> 01:17:42.040]  by using coupon code present for a limited time at idstronghold.com.
[01:17:42.040 --> 01:17:45.040]  That's coupon code present, also available at Walmart.com,
[01:17:45.040 --> 01:17:48.040]  eBay, Amazon, or QVC.
[01:17:48.040 --> 01:18:17.040]  IDstronghold.com.
[01:18:48.040 --> 01:18:52.040]  That's infowarslife.com.
[01:19:18.040 --> 01:19:21.040]  The full potential of protein-rich foods again.
[01:19:21.040 --> 01:19:23.040]  You can eat protein-heavy foods now
[01:19:23.040 --> 01:19:26.040]  while minimizing the later indigestion and discomfort
[01:19:26.040 --> 01:19:28.040]  commonly associated with high meat diets.
[01:19:28.040 --> 01:19:30.040]  Just one pill with every high protein meal
[01:19:30.040 --> 01:19:34.040]  helps increase the bioavailability and absorption of amino acids,
[01:19:34.040 --> 01:19:36.040]  the building blocks to your muscles.
[01:19:36.040 --> 01:19:40.040]  Cardivore also contains digestive enzymes to help digest fats
[01:19:40.040 --> 01:19:43.040]  and carbohydrates so you can fully digest all types of meals.
[01:19:43.040 --> 01:19:45.040]  Don't let a meal go to waste.
[01:19:45.040 --> 01:19:47.040]  Use carnivore by infowarslife.
[01:19:47.040 --> 01:19:51.040]  Head to infowarslife.com and secure your bottle now.
[01:19:51.040 --> 01:20:20.040]  That's infowarslife.com.
[01:20:21.040 --> 01:20:25.040]  So we've seen a misguided near-duel
[01:20:25.040 --> 01:20:28.040]  in New York reportedly detonate a bomb,
[01:20:28.040 --> 01:20:30.040]  but it looks like only the detonator went off
[01:20:30.040 --> 01:20:32.040]  and the major explosive didn't,
[01:20:32.040 --> 01:20:35.040]  wounding himself and three other people.
[01:20:35.040 --> 01:20:37.040]  And then you've got the whole UN program
[01:20:37.040 --> 01:20:41.040]  running the Islamic refugees coming in from all these war zones.
[01:20:41.040 --> 01:20:43.040]  You've got the EU going in and bombing Libya,
[01:20:43.040 --> 01:20:45.040]  attacking all these areas,
[01:20:45.040 --> 01:20:47.040]  engaging in all this activity.
[01:20:47.040 --> 01:20:52.040]  And then, at the same time,
[01:20:52.040 --> 01:20:54.040]  flooding Europe with all these refugees.
[01:20:54.040 --> 01:20:56.040]  I mean, that all fits into this,
[01:20:56.040 --> 01:20:58.040]  the whole Russiagate thing.
[01:20:58.040 --> 01:21:00.040]  What you said was so powerful last segment
[01:21:00.040 --> 01:21:02.040]  in Japanese time, Owen.
[01:21:02.040 --> 01:21:04.040]  Shorter is riding shotgun with us.
[01:21:04.040 --> 01:21:06.040]  But you said it's so powerful because it crystallizes it all.
[01:21:06.040 --> 01:21:09.040]  There's this political, global, corporate super state
[01:21:09.040 --> 01:21:11.040]  that has access to all the intel,
[01:21:11.040 --> 01:21:13.040]  but nobody else does.
[01:21:13.040 --> 01:21:16.040]  And the governments use it to control their people,
[01:21:16.040 --> 01:21:18.040]  and now we've seen the deep state,
[01:21:18.040 --> 01:21:20.040]  fusion GPS, the just department people,
[01:21:20.040 --> 01:21:23.040]  and the FBI using illegal warrants
[01:21:23.040 --> 01:21:25.040]  that they obtained with lies
[01:21:25.040 --> 01:21:28.040]  to then spy on candidate Trump,
[01:21:28.040 --> 01:21:30.040]  President-elect Trump, and now President Trump,
[01:21:30.040 --> 01:21:32.040]  and they can't even find anything.
[01:21:32.040 --> 01:21:34.040]  No, absolutely.
[01:21:34.040 --> 01:21:36.040]  There is one more element in there.
[01:21:36.040 --> 01:21:38.040]  That deep state that you're referring to,
[01:21:38.040 --> 01:21:40.040]  we are all talking about,
[01:21:40.040 --> 01:21:44.040]  they also have this 100% control of the media,
[01:21:44.040 --> 01:21:46.040]  the mainstream media,
[01:21:46.040 --> 01:21:49.040]  because without having the mainstream media,
[01:21:49.040 --> 01:21:51.040]  they can't have this control.
[01:21:51.040 --> 01:21:53.040]  And you were talking about that during the break to Owen,
[01:21:53.040 --> 01:21:55.040]  because I walked back in and overheard it now,
[01:21:55.040 --> 01:21:57.040]  there's only a few places that will cover this.
[01:21:57.040 --> 01:22:00.040]  Yes, for example, we are talking about this mullah,
[01:22:00.040 --> 01:22:04.040]  this imam, this radical terrorist,
[01:22:04.040 --> 01:22:06.040]  Fethulak Yulit, okay?
[01:22:06.040 --> 01:22:08.040]  He is one...
[01:22:08.040 --> 01:22:10.040]  They believe he's a Mahdi, like a Christ.
[01:22:10.040 --> 01:22:12.040]  But do you know how the mainstream media
[01:22:12.040 --> 01:22:14.040]  in the United States is representing this guy?
[01:22:14.040 --> 01:22:19.040]  They are referring to him as the moderate Islamist scholar.
[01:22:19.040 --> 01:22:22.040]  First of all, Fethulak Yulit went to
[01:22:22.040 --> 01:22:24.040]  three years of primary school in Turkey, okay?
[01:22:24.040 --> 01:22:27.040]  That is his scholarly background.
[01:22:27.040 --> 01:22:30.040]  He doesn't even have a high school diploma.
[01:22:30.040 --> 01:22:32.040]  So he went to the third grade.
[01:22:32.040 --> 01:22:33.040]  That's right.
[01:22:33.040 --> 01:22:36.040]  And he's wanted, not only in Turkey,
[01:22:36.040 --> 01:22:38.040]  but in other countries, okay?
[01:22:38.040 --> 01:22:40.040]  He has these types of charter schools
[01:22:40.040 --> 01:22:42.040]  in other parts of the world,
[01:22:42.040 --> 01:22:44.040]  but he calls them madrasas.
[01:22:44.040 --> 01:22:47.040]  These are not regular schools, they are madrasas.
[01:22:47.040 --> 01:22:49.040]  So Russia kicked him out years ago,
[01:22:49.040 --> 01:22:51.040]  and they banned him, okay?
[01:22:51.040 --> 01:22:52.040]  He's wanted in Russia.
[01:22:52.040 --> 01:22:56.040]  He can't operate and have these madrasas in Russia.
[01:22:56.040 --> 01:22:59.040]  But do you know how extremist this guy is?
[01:22:59.040 --> 01:23:01.040]  Think about it this way, Alex.
[01:23:01.040 --> 01:23:04.040]  Pakistan with large number of madrasas, right?
[01:23:04.040 --> 01:23:07.040]  Pakistan, the government in Pakistan,
[01:23:07.040 --> 01:23:11.040]  considers this guy such a radical extremist
[01:23:11.040 --> 01:23:15.040]  that they banned his madrasas schools in Pakistan.
[01:23:15.040 --> 01:23:20.040]  So you tell me, how can a most wanted terrorist, okay,
[01:23:20.040 --> 01:23:24.040]  this Imam come to the United States in 1998
[01:23:24.040 --> 01:23:27.040]  and become the largest operation
[01:23:27.040 --> 01:23:30.040]  for U.S. charter schools' education system?
[01:23:30.040 --> 01:23:32.040]  You are looking at Muslim country,
[01:23:32.040 --> 01:23:36.040]  Pakistan calling this guy a radical extremist, right?
[01:23:36.040 --> 01:23:37.040]  Kicking him out.
[01:23:37.040 --> 01:23:43.040]  He's getting $850 million U.S. taxpayers' money.
[01:23:43.040 --> 01:23:45.040]  And you know what he does with this money?
[01:23:45.040 --> 01:23:47.040]  Do you think this money is going to the teachers
[01:23:47.040 --> 01:23:49.040]  who are working there?
[01:23:49.040 --> 01:23:52.040]  This has been exposed, but you will not read this
[01:23:52.040 --> 01:23:54.040]  on any mainstream media outlet.
[01:23:54.040 --> 01:23:56.040]  Well, I remember about five years ago hearing people go,
[01:23:56.040 --> 01:23:58.040]  there's this big Islamist,
[01:23:58.040 --> 01:24:00.040]  and he's the biggest owner of charter schools,
[01:24:00.040 --> 01:24:02.040]  and he first met with Bill Clinton,
[01:24:02.040 --> 01:24:04.040]  and this is a big scam to their foundation.
[01:24:04.040 --> 01:24:07.040]  And I remember hearing that on Mainline Talk Radio thing,
[01:24:07.040 --> 01:24:09.040]  and these right-wingers are full of baloney,
[01:24:09.040 --> 01:24:10.040]  some more of libertarian.
[01:24:10.040 --> 01:24:13.040]  I couldn't believe that the biggest charter schools
[01:24:13.040 --> 01:24:15.040]  in the country that kind of slipped in their propaganda
[01:24:15.040 --> 01:24:17.040]  as well was this guy.
[01:24:17.040 --> 01:24:19.040]  And then we finally covered it about a year and a half ago,
[01:24:19.040 --> 01:24:22.040]  all hell broke loose, hack attacks, threats.
[01:24:22.040 --> 01:24:25.040]  We've never had stuff like when we just reported on it
[01:24:25.040 --> 01:24:28.040]  and actually went and just showed some of the schools
[01:24:28.040 --> 01:24:31.040]  right here in Austin for folks that don't know,
[01:24:31.040 --> 01:24:35.040]  explain about, they believe he is this messianic person
[01:24:35.040 --> 01:24:37.040]  who's going to bring this final giant war,
[01:24:37.040 --> 01:24:40.040]  so they believe he's like a god,
[01:24:40.040 --> 01:24:43.040]  I mean, I guess like a cult leader, Kim Jong-un.
[01:24:43.040 --> 01:24:45.040]  How did he get so powerful and so rich?
[01:24:45.040 --> 01:24:46.040]  Tell us about it.
[01:24:46.040 --> 01:24:47.040]  Yeah, you know what?
