[00:00:08.949 --> 00:00:09.390]  Death and taxes.
[01:01:50.322 --> 01:01:57.949]  That's right, and I won't keep you any longer, but you guys, that's why I like listening to you.
[01:01:57.949 --> 01:02:03.695]  You've progressed so much, and you're sending reporters into the field.
[01:02:03.695 --> 01:02:04.856]  That is excellent.
[01:02:05.387 --> 01:02:07.948]  Well, brother, you take up our time anytime.
[01:02:07.948 --> 01:02:10.708]  Thank you and spread the word there on 1140 AM.
[01:02:10.708 --> 01:02:11.788]  Big station.
[01:02:11.788 --> 01:02:13.649]  Huge audience in Kansas City.
[01:02:13.649 --> 01:02:15.589]  God bless you, John.
[01:02:15.589 --> 01:02:19.590]  Let's go ahead and go to Rob in Maine.
[01:02:19.590 --> 01:02:20.490]  Rob, you're on the air.
[01:02:20.490 --> 01:02:23.411]  Yeah, hello, Alex.
[01:02:23.411 --> 01:02:26.291]  Hey, brother.
[01:02:26.291 --> 01:02:29.852]  I do a show up here on Public Access TV, Portland, Maine.
[01:02:29.852 --> 01:02:30.572]  We salute you.
[01:02:30.572 --> 01:02:31.753]  Blues and blues.
[01:02:31.753 --> 01:02:32.233]  We salute you.
[01:02:32.233 --> 01:02:32.393]  12 years.
[01:02:34.881 --> 01:02:40.204]  And, uh, we got turned on to a lot of the truth by you.
[01:02:40.204 --> 01:02:43.686]  And, uh, thanks for having me on.
[01:02:43.686 --> 01:02:44.467]  You bet, brother.
[01:02:44.467 --> 01:02:48.990]  Hey, tell folks, are you taking your show and putting it on YouTube?
[01:02:48.990 --> 01:02:54.213]  I record it and then send it in to the... I do put it on YouTube as well, yeah.
[01:02:54.213 --> 01:02:59.316]  No, exactly, because everybody that does access television and still has huge audiences in most areas,
[01:03:00.902 --> 01:03:08.065]  I wanted to ask you if you had heard about Dr. Rima Labo saying that nano silver would neutralize Ebola virus or kill it.
[01:03:23.620 --> 01:03:25.761]  Well, I know she's a prestigious medical doctor.
[01:03:25.761 --> 01:03:27.922]  We've had her on off and on over the years.
[01:03:27.922 --> 01:03:33.344]  She's married to the former head of Special Forces and then the head of Special Army Operations.
[01:03:33.344 --> 01:03:33.604]  You name it.
[01:03:33.604 --> 01:03:35.985]  I think it was like a two, three-star general.
[01:03:35.985 --> 01:03:37.025]  General Stubblebine.
[01:03:37.025 --> 01:03:39.046]  Amazing information.
[01:03:39.046 --> 01:03:41.507]  They made movies about him.
[01:03:41.507 --> 01:03:44.228]  And George Clooney, I think, played him.
[01:03:44.228 --> 01:03:49.250]  But the whole point is that, yes, I'm not a medical doctor, so I can't say that.
[01:03:49.250 --> 01:03:52.091]  I know that I couldn't get rid of a chest infection
[01:03:52.611 --> 01:03:57.868]  That killed my uncle, almost killed my dad, killed my cousin, and killed my dad's...
[01:03:58.945 --> 01:04:01.527]  Older cousin, who he called his uncle, who I was very close to.
[01:04:01.527 --> 01:04:05.310]  And this was killing people all over the country, but it wasn't on the news.
[01:04:05.310 --> 01:04:08.934]  And I drank three bottles of nano-silver in one week.
[01:04:08.934 --> 01:04:12.276]  I'm not telling people to do that, because some people could say that could be toxic.
[01:04:12.276 --> 01:04:12.657]  You know what?
[01:04:12.657 --> 01:04:14.238]  It finally knocked it out, and I'm here.
[01:04:14.238 --> 01:04:18.842]  I mean, I had a chest cold for two months.
[01:04:18.842 --> 01:04:22.305]  And some people in my family thought it was like a selected bio-attack or something.
[01:04:22.305 --> 01:04:23.846]  It was so bad.
[01:04:23.846 --> 01:04:25.588]  But, so, yeah, I mean, I respect her.
[01:04:27.830 --> 01:04:29.171]  Well, okay, good.
[01:04:29.171 --> 01:04:39.515]  She says it was actually discovered by the United States, some form of their government, one of the medical departments or whatever, and then suppressed back in 2009.
[01:04:41.038 --> 01:04:41.819]  Yeah, no, that's true.
[01:04:41.819 --> 01:04:42.979]  I mean, she'd be the one to know.
[01:04:42.979 --> 01:04:54.226]  I mean, General Stubblebine had about as high a level security clearance as you could get, even connected in to the National Security Council above the Joint Chiefs Show.
[01:04:54.226 --> 01:04:58.309]  And he can't talk about most of it, but it's just fantastic information.
[01:04:58.309 --> 01:04:59.349]  Thank you so much, caller.
[01:04:59.349 --> 01:04:59.870]  God bless you.
[01:05:02.734 --> 01:05:04.956]  I've always believed in nutrition and herbs.
[01:05:04.956 --> 01:05:13.024]  Super Mill Vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[01:05:13.024 --> 01:05:20.152]  Sourced from powerful organic herbs harvested around the planet and then concentrated for maximum potency.
[01:05:20.552 --> 01:05:25.156]  I just received my male vitality about three days ago, and I must say, that is some good stuff.
[01:05:25.156 --> 01:05:35.785]  After consulting top doctors, nutritionists, pharmacists, and others, we have developed what I believe is the ultimate, non-GMO, organic, super male vitality formula.
[01:05:35.785 --> 01:05:42.290]  Super male vitality by InfoWars Life is so powerful that I only take half the recommended dose.
[01:05:42.290 --> 01:05:44.512]  I jump out of bed ready to fight these criminals every day.
[01:05:44.512 --> 01:05:48.475]  I look forward to waking up and taking my super male vitality and getting the day started.
[01:05:48.655 --> 01:05:50.597]  It's not just the super male vitality.
[01:05:50.597 --> 01:05:54.760]  All the products in Infowarslife.com are simply amazing.
[01:05:54.760 --> 01:06:02.786]  Visit Infowarslife.com today to secure your super male vitality and other powerful products from Infowarslife.
[01:06:02.786 --> 01:06:08.950]  I began to get into iodine a few years ago because it was helping me and my family so much get healthy and detoxify.
[01:06:08.950 --> 01:06:13.514]  Most people know that iodine deficiency has been a crisis around the world.
[01:06:13.514 --> 01:06:18.077]  Iodine is key to so many of the body's functions, especially the thyroid.
[01:06:18.457 --> 01:06:21.399]  I discovered a product being developed by Dr. Group.
[01:06:21.399 --> 01:06:26.864]  You now know it as Survival Shield True Nascent Iodine that your body can really absorb.
[01:06:26.864 --> 01:06:34.229]  Then, about a year ago, he said, listen, if you think this is powerful, I'm going to come out with rare-earth, deep-earth crystals.
[01:06:34.229 --> 01:06:38.372]  And the results that I personally have had have been life-changing.
[01:06:38.372 --> 01:06:43.156]  Nobody else has got iodine based on these pure crystals, ladies and gentlemen.
[01:06:43.476 --> 01:06:52.084]  This is innovating and the best part is it helps fund InfoWars.com, the radio show, the TV show, the whole media operation promoting true libertarian ideas.
[01:06:52.084 --> 01:06:56.368]  For a limited time, experience the ancient power of Survival Shield X2.
[01:06:56.368 --> 01:07:01.533]  Take advantage of this unprecedented 30% off super detox special at InfoWarsLive.com.
[01:07:02.443 --> 01:07:06.084]  The government's Department of Homeland Security is buying up loads of ammo.
[01:07:06.084 --> 01:07:10.366]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[01:07:10.366 --> 01:07:12.146]  Can you put two and two together?
[01:07:12.146 --> 01:07:20.009]  Infidel Body Armor can stop every round, including hollow points and .308 sniper rounds, is reasonably priced, and fully legal.
[01:07:20.009 --> 01:07:21.150]  But for how long?
[01:07:21.150 --> 01:07:27.792]  Go to InfidelBodyArmor.com, spelled I-N-F-I-D-E-L BodyArmor.com.
[01:07:27.792 --> 01:07:30.613]  Infidel Body Armor just won't quit.
[01:07:32.526 --> 01:07:39.831]  I'm David Hall, founder of Diamond Gusset, where we are proud of our 100% grown and sewn American-made jeans.
[01:07:39.831 --> 01:07:47.736]  Whether you're out for dinner, working on the farm, or on the road, Diamond Gusset Jeans offers a full spectrum of style and sizes for any occasion.
[01:07:47.736 --> 01:07:53.260]  Our loyal customers enable us to continue sponsoring Liberty Media outlets.
[01:07:53.260 --> 01:07:58.644]  Use promo code FREEDOM to receive a 15% discount at gusset.com.
[01:07:58.644 --> 01:08:01.566]  In Liberty, David Hall, Diamond Gusset Jeans Company.
[01:08:05.123 --> 01:08:11.776]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:08:11.776 --> 01:08:14.742]  It's Alex Jones and the GCN Radio Network.
[01:08:25.950 --> 01:08:43.134]  That's right, coming to you from deep behind enemy lines in an occupied country by more and more socialist progressives who don't want to pay taxes themselves like Warren Buffett and others, they just want to get banker bailouts and then promote taxes on the middle class.
[01:08:43.134 --> 01:08:50.416]  People like Bill Gates, people like Robert Redford, ladies and gentlemen, makes me want to throw up that we've got so many
[01:08:52.421 --> 01:09:03.412]  Really rich people that made money in the American system and now they want more of a monopolistic system based on government control and they are destroying our republic.
[01:09:04.198 --> 01:09:10.764]  Coming up in a few minutes we're going to talk to Bill Bonner who has got another book coming out that's destined to be a bestseller.
[01:09:10.764 --> 01:09:14.048]  He's had two New York Times top bestsellers.
[01:09:14.048 --> 01:09:17.491]  Hormageddon, How Too Much of a Good Thing Leads to Disaster.
[01:09:17.491 --> 01:09:22.195]  We're going to be talking to him for the balance of the hour here in just a few minutes.
[01:09:22.195 --> 01:09:23.477]  The Department of Justice
[01:09:25.854 --> 01:09:34.297]  Is now saying regions near the Mexico border, Texas, Arizona, New Mexico, and California have the highest crime rate in the country.
[01:09:34.297 --> 01:09:37.559]  And that's now spreading deeper into the nation.
[01:09:37.559 --> 01:09:44.201]  The Daily Mail reports, I will not rest until these worthless pieces of bleep are dead.
[01:09:44.201 --> 01:09:50.004]  Anguished mother who watched two of her family members killed.
[01:09:51.383 --> 01:10:08.154]  Vows to get justice, and the people that reportedly ambushed her husband and son and gunned them down, that killed Mrs. Vega's son and husband on a fishing trip, had been deported six times for other violent crimes.
[01:10:08.154 --> 01:10:14.158]  And Obama released, just a few months ago, 36,000 violent felons.
[01:10:14.158 --> 01:10:16.039]  Won't even deport them now.
[01:10:16.039 --> 01:10:19.962]  Rapists, child molesters, bank robbers, arsonists.
[01:10:21.340 --> 01:10:24.363]  But if they catch you speeding, folks, they're going to throw the book at you.
[01:10:24.363 --> 01:10:28.206]  TSA's got to check your baby's diaper to make sure there's not a bomb in there.
[01:10:28.206 --> 01:10:37.455]  Meanwhile, more of the ISIS forces, trained by NATO and our government, that have been turned loose all over the Middle East, are in Iraq now, after being repulsed out of Syria.
[01:10:37.455 --> 01:10:43.540]  Iraq militants seize Christian towns, capture follows withdrawals from towns by Kurdish forces.
[01:10:44.537 --> 01:10:49.641]  And Obama for three months will not attack these Al-Qaeda forces that they armed.
[01:10:49.641 --> 01:10:54.705]  Rebels have captured last week the largest dam and are threatening to flood Baghdad.
[01:10:54.705 --> 01:11:00.449]  This is the total crazy town stuff that is going on.
[01:11:00.449 --> 01:11:03.232]  And again, our government is directly involved.
[01:11:03.232 --> 01:11:05.073]  Of course, you can't even call it our government.
[01:11:05.073 --> 01:11:07.855]  The globalists that are involved.
[01:11:07.855 --> 01:11:10.557]  One more piece of news, we're going to our prestigious guest.
[01:11:10.557 --> 01:11:12.419]  No Ebola drugs for Africans.
[01:11:13.894 --> 01:11:29.213]  Says the UN and the CDC, that's out of Breitbart, no drugs for Africans, even though they've got a bunch of drugs that have been tested and proven to reduce the 90 plus percent kill rate, 91 percent kill rate of Ebola in Africa, cutting it down to less than 50 percent.
[01:11:31.820 --> 01:11:33.982]  And that would help stop the spread of it, wouldn't it?
[01:11:33.982 --> 01:11:35.022]  But, no.
[01:11:35.022 --> 01:11:39.145]  Instead they're shipping Ebola victims into Spain, into Germany, and into the U.S.
[01:11:39.145 --> 01:11:42.188]  Now they're talking about bringing even more in.
[01:11:42.188 --> 01:11:43.809]  I mean, this is just crazy.
[01:11:43.809 --> 01:11:46.391]  They can't contain it in Africa, so let's bring it in here.
[01:11:46.391 --> 01:11:48.332]  That's never before been done.
[01:11:48.332 --> 01:11:53.035]  Russia has strategic bombers conducting more than 16 incursions of U.S.
[01:11:53.035 --> 01:11:58.579]  air defense zones, spike in Bear H flights over past week, seen as test of U.S.
[01:11:58.579 --> 01:11:58.699]  air
[01:12:00.240 --> 01:12:07.485]  As the new Cold War kicks off and Russia is becoming more capitalist than us in many cases.
[01:12:07.485 --> 01:12:12.388]  And I'm not saying Russia is our hope or that Russia is some pantheon or paragon of justice.
[01:12:12.388 --> 01:12:14.730]  No!
[01:12:14.730 --> 01:12:17.492]  Communist China is about as evil as it gets their government.
[01:12:17.492 --> 01:12:19.213]  Our government loves their systems.
[01:12:20.798 --> 01:12:22.980]  And so we're stuck between a rock and a hard place.
[01:12:22.980 --> 01:12:25.942]  I mean, we are in so much trouble in my view, and I'm not being negative.
[01:12:25.942 --> 01:12:31.167]  I want to be honest about where we're at and talk to the experts out there who pretty much agree across the board.
[01:12:31.167 --> 01:12:44.498]  We're entering a mega age of crisis with technological sub-singularities building towards perfect storm cluster events that will decide the future of humanity.
[01:12:44.498 --> 01:12:46.699]  This is the time to be politically involved.
[01:12:46.699 --> 01:12:48.261]  This is the time to be repenting.
[01:12:49.602 --> 01:12:53.384]  And to be getting involved for justice everywhere we can.
[01:12:53.384 --> 01:13:01.029]  And for sanity and cooler heads that prevail in governments, in capitals, everywhere.
[01:13:01.029 --> 01:13:03.150]  And to have more whistleblowers exposing what's happening.
[01:13:03.150 --> 01:13:04.511]  Now, I've wanted to get him on for a while.
[01:13:04.511 --> 01:13:06.793]  We're finally able to get Bill Bonner on.
