[00:00.000 --> 00:07.000]  Ladies and gentlemen, it's Wednesday the 21st of December 2016. I'm Alex Jones.
[01:16:06.000 --> 01:16:08.000]  Whoever even heard of her before the last debate.
[01:16:08.000 --> 01:16:10.000]  Katie Turner. Little Katie.
[01:16:10.000 --> 01:16:12.000]  The world's most dishonest people are back there.
[01:16:12.000 --> 01:16:14.000]  Sit down. Go back to your vision.
[01:16:14.000 --> 01:16:16.000]  The CNN is terrible.
[01:16:16.000 --> 01:16:17.000]  Lion Ted.
[01:16:17.000 --> 01:16:18.000]  Lion Ted.
[01:16:18.000 --> 01:16:20.000]  Lion Ted. Lion Ted.
[01:16:20.000 --> 01:16:24.000]  You know, Lion Ted talking about New York values was scorned his face.
[01:16:24.000 --> 01:16:26.000]  We have Lion Ted Cruz.
[01:16:26.000 --> 01:16:27.000]  Lion.
[01:16:27.000 --> 01:16:28.000]  We are lion.
[01:16:28.000 --> 01:16:31.000]  Bible high. Bible high.
[01:16:31.000 --> 01:16:33.000]  Put it down and then he lies.
[01:16:33.000 --> 01:16:35.000]  She said he's a pussy. That's terrible.
[01:16:35.000 --> 01:16:39.000]  It's L-Y-I-N apostrophe.
[01:16:39.000 --> 01:16:40.000]  Lion Ted.
[01:16:40.000 --> 01:16:42.000]  You know, I call him Lion Ted.
[01:16:42.000 --> 01:16:43.000]  I've heard that.
[01:16:43.000 --> 01:16:45.000]  Put goofy friend named Elizabeth Warren.
[01:16:45.000 --> 01:16:46.000]  She is a goofus.
[01:16:46.000 --> 01:16:47.000]  She's a basket kid.
[01:16:47.000 --> 01:16:49.000]  Goofy Elizabeth Warren.
[01:16:49.000 --> 01:16:50.000]  Pocahontas.
[01:16:50.000 --> 01:16:51.000]  Pocahontas?
[01:16:51.000 --> 01:16:53.000]  Very offensive.
[01:16:53.000 --> 01:16:56.000]  I'm sorry about that.
[01:16:56.000 --> 01:16:57.000]  Pocahontas.
[01:16:57.000 --> 01:16:59.000]  Lisa Anders is speaking.
[01:16:59.000 --> 01:17:02.000]  And these two young women came up and they took over the microphone.
[01:17:02.000 --> 01:17:04.000]  Microphone? They just took the whole place over.
[01:17:04.000 --> 01:17:06.000]  And he walked away.
[01:17:06.000 --> 01:17:09.000]  He looked so weak and so pathetic.
[01:17:09.000 --> 01:17:12.000]  But Bill Clinton was abusive to women.
[01:17:12.000 --> 01:17:15.000]  You know, she gained a massive amount of weight.
[01:17:15.000 --> 01:17:20.000]  Pigs, dogs, slobs, and disgusting animals.
[01:17:20.000 --> 01:17:22.000]  Your Twitter account is several.
[01:17:22.000 --> 01:17:23.000]  Only Rosie O'Donnell.
[01:17:23.000 --> 01:17:26.000]  And your mother is voting for Trump?
[01:17:26.000 --> 01:17:35.000]  By the way, I mean, they call us racist and terrorist and homophobes and just every other name in the book.
[01:17:35.000 --> 01:17:37.000]  And then when we respond back, we're bad.
[01:17:37.000 --> 01:17:38.000]  We're mean.
[01:17:38.000 --> 01:17:44.000]  By the way, they've been reminding me, I didn't plug once in the last hour and I even skipped a break.
[01:17:44.000 --> 01:17:50.000]  That's why I want to thank all the listeners for supporting us when I do talk about the specials and the products that we have.
[01:17:50.000 --> 01:17:57.000]  By the way, we've done such a good job this year of not over-ordering product that we're not going to have basically anything left when the new year hits for a few weeks.
[01:17:57.000 --> 01:18:02.000]  Most of our nutraceuticals are going to be sold out, which is a good thing and a bad thing.
[01:18:02.000 --> 01:18:04.000]  But that's how we fund our operations.
[01:18:04.000 --> 01:18:11.000]  But I've been trying to budget things and be a little bit tighter here so I can save money to hire more crew and also pay our people better because they really deserve it.
[01:18:11.000 --> 01:18:18.000]  I want to thank you all for your support, but you're getting great supplements, great products, great non-GMO seeds, great water filtration systems,
[01:18:18.000 --> 01:18:21.000]  great apparel to spread the word and fight the globalists in the Info War.
[01:18:21.000 --> 01:18:26.000]  But our 2016 Christmas Super Sale specials are quickly selling out.
[01:18:26.000 --> 01:18:30.000]  So you can't get stuff delivered before Christmas in most areas of the United States now.
[01:18:30.000 --> 01:18:31.000]  It's just not going to happen.
[01:18:31.000 --> 01:18:32.000]  But it doesn't matter.
[01:18:32.000 --> 01:18:39.000]  You need to stock up on colloidal silver, still 50% off silver bullet, still 33% off on brain force.
[01:18:39.000 --> 01:18:41.000]  Now 20% more in each bottle on top of that.
[01:18:41.000 --> 01:18:43.000]  Sign up for auto-ship an additional 10% off.
[01:18:43.000 --> 01:18:46.000]  There's so many specials I can't go over them all.
[01:18:46.000 --> 01:18:48.000]  Winter sun, 25% off.
[01:18:48.000 --> 01:18:49.000]  DNA force, 25% off.
[01:18:49.000 --> 01:18:50.000]  Well, that's sold out.
[01:18:50.000 --> 01:18:52.000]  Survival shield, X2, 30% off.
[01:18:52.000 --> 01:18:53.000]  That's about to sell out.
[01:18:53.000 --> 01:18:57.000]  Biotrusillinium about to sell out.
[01:18:57.000 --> 01:19:04.000]  I'm going to be in here in the next few weeks pitching T-shirts and water filters and stuff, which you really need, obviously, but not the nutraceuticals because they're going to be sold out.
[01:19:04.000 --> 01:19:06.000]  So please help us at the year-end sale.
[01:19:06.000 --> 01:19:07.000]  Blow all this out.
[01:19:07.000 --> 01:19:09.000]  So we'll have to pay tax on it.
[01:19:09.000 --> 01:19:12.000]  Plus, you can stock up on high-quality products you're going to be using.
[01:19:12.000 --> 01:19:16.000]  Again, selenium, tea to electrochemical activity in the body.
[01:19:16.000 --> 01:19:17.000]  Go read the study for yourself.
[01:19:17.000 --> 01:19:18.000]  It is incredible.
[01:19:18.000 --> 01:19:21.000]  Same thing for the true nasin iodine that we have.
[01:19:21.000 --> 01:19:23.000]  Quite frankly, nobody else has it.
[01:19:23.000 --> 01:19:25.000]  Infowarslive.com.
[01:19:25.000 --> 01:19:28.000]  Superblue is $9.95.
[01:19:28.000 --> 01:19:29.000]  We're about to sell out of that.
[01:19:29.000 --> 01:19:31.000]  It has colloidal silver and iodine.
[01:19:31.000 --> 01:19:33.000]  You can pay $14.95.
[01:19:33.000 --> 01:19:34.000]  We can fund the operation.
[01:19:34.000 --> 01:19:35.000]  It's a new thing I'm doing.
[01:19:35.000 --> 01:19:38.000]  You can pay full retail or discount depending on what you want to do.
[01:19:38.000 --> 01:19:42.000]  And folks are taking advantage of that. A lot of folks are paying for it, full retail.
[01:19:42.000 --> 01:19:43.000]  Help us fund the operation.
[01:19:43.000 --> 01:19:44.000]  So thank you for the support.
[01:19:44.000 --> 01:19:48.000]  God bless you for, again, your support, your prayers this Christmas.
[01:19:48.000 --> 01:19:50.000]  Infowarslive.com.
[01:19:50.000 --> 01:19:55.000]  Free shipping store-wide up to 50% off until everything sells out.
[01:19:55.000 --> 01:19:56.000]  Stay with us.
[01:19:56.000 --> 01:20:19.000]  We'll be back.
[01:20:26.000 --> 01:20:33.000]  We'll be back.
[01:20:56.000 --> 01:21:03.000]  We'll be back.
[01:21:26.000 --> 01:21:52.000]  We'll be back.
[01:21:52.000 --> 01:21:59.000]  We'll be back.
[01:22:22.000 --> 01:22:29.000]  We'll be back.
[01:22:52.000 --> 01:23:03.000]  I'm David Hall, founder of Diamond Gusset Jeans, here to wish you all a merry Christmas.
[01:23:03.000 --> 01:23:13.000]  For over 20 years, we have built a loyal customer base with 100% American-made jeans featuring enhanced fit, comfort, durability, and style.
[01:23:13.000 --> 01:23:18.000]  Today, all of our inventory is discounted by 20%, so don't delay.
[01:23:18.000 --> 01:23:21.000]  Enjoy a wonderful shopping experience at gusset.com.
[01:23:21.000 --> 01:23:27.000]  Thanks for keeping our American dream alive, the original Diamond Gusset Jeans.
[01:23:51.000 --> 01:23:55.000]  American-made food stores all love to eat.
[01:23:55.000 --> 01:24:21.000]  Thank you.
[01:24:21.000 --> 01:24:25.000]  That's the word out of ambassadors and others.
[01:24:25.000 --> 01:24:33.000]  Hillary obviously has talked about the fact that we needed the policy a year ago, which is now the policy of NATO and the U.S.
[01:24:33.000 --> 01:24:42.000]  And if they claim there's an attack via cyber attack from the continent of Eurasia, basically, or anywhere in Russian territory,
[01:24:42.000 --> 01:24:45.000]  that they are then going to launch a military attack on Russia.
[01:24:45.000 --> 01:24:49.000]  You cannot make this level of crap up.
[01:24:49.000 --> 01:24:57.000]  In fact, in the next segment, you guys also just pulled the articles about new U.S. policy to cyber attack, includes military attack on Russia.
[01:24:57.000 --> 01:25:02.000]  I want to show that to people, because I believe me, it doesn't sound real. I get it. It sounds like a lie.
[01:25:02.000 --> 01:25:12.000]  Just like, oh, I've got like 15 or more different MTV videos that actually say whites are inherently bad, the world will be good when they're all gone.
[01:25:12.000 --> 01:25:18.000]  We're just people that have less skin pigment from Northern Europe.
[01:25:18.000 --> 01:25:21.000]  I mean, it's crazy.
[01:25:21.000 --> 01:25:24.000]  And technically, I'm a Mongol because I'm part Native American.
[01:25:24.000 --> 01:25:27.000]  But the whole point is, so what?
[01:25:27.000 --> 01:25:30.000]  This is all craziness, ladies and gentlemen.
[01:25:30.000 --> 01:25:32.000]  This is craziness.
[01:25:32.000 --> 01:25:41.000]  And but they're the ones pushing it because they co-opted the whole libertarian Republican movement to end segregation and all of it in the 60s.
[01:25:41.000 --> 01:25:44.000]  The party of the KKK did.
[01:25:44.000 --> 01:25:47.000]  But let's get to this big news right now.
[01:25:47.000 --> 01:25:54.000]  Paul Krugman, who is wrong almost all the time because he's disinfo operative.
[01:25:54.000 --> 01:26:06.000]  I've decided if he is like a total idiot with like a 75 IQ or if it's like some type of like secret comedy he's involved in, because the U.S. economy.
[01:26:06.000 --> 01:26:16.000]  Conference, you know, announcement, the U.S. economy when it comes to confidence surges to the highest level that Gallup has ever recorded Gallup's U.S.
[01:26:16.000 --> 01:26:19.000]  confidence index has never been higher than it is today ever.
[01:26:19.000 --> 01:26:21.000]  They're calling it Trump euphoria.
[01:26:21.000 --> 01:26:24.000]  Now, how does Krugman respond to this?
[01:26:24.000 --> 01:26:33.000]  Krugman comes out in the New York Times and says to join Trump administration, you have to be a white nationalist and a conspiracy theorist.
[01:26:33.000 --> 01:26:37.000]  So question known liars and be white, which isn't even true.
[01:26:37.000 --> 01:26:55.000]  He goes on to attack the economics that Trump is talking about trying to have infrastructure spending increased with tax incentives to state counties and cities and individuals for infrastructure and for federal funding of infrastructure when infrastructure is falling apart.
