[00:00.000 --> 00:13.000]  Defending the Republic from enemies born and domestic it's Alex Jones
[1:39:54.000 --> 1:39:58.000]  Because those are the only flights where they actually health screened the passengers.
[1:39:58.000 --> 1:40:02.000]  He said, not a single flight from northern Italy, Spain or the US.
[1:40:02.000 --> 1:40:09.000]  The fact that many of these people then likely arrived and traveled onwards across the UK with little or no adherence to social distancing,
[1:40:09.000 --> 1:40:16.000]  and with no checks or protections at the border, barely a whiff of hand sanitizer is deeply disturbing.
[1:40:16.000 --> 1:40:29.000]  Let alone the arrival of 3,000 fans from Madrid as the pandemic picked up speed. That's right, they had 3,000 football fans from Madrid arrive in the UK to attend a football match
[1:40:29.000 --> 1:40:34.000]  days before this lockdown was put into place while coronavirus was raging in Spain.
[1:40:34.000 --> 1:40:39.000]  Come on in! No checks whatsoever.
[1:40:39.000 --> 1:40:46.000]  Meanwhile, Brits who have been put under government imposed lockdown for six weeks being told they might be allowed to go outside for picnics in a month.
[1:40:46.000 --> 1:40:49.000]  Thank you, Boris Johnson.
[1:40:49.000 --> 1:40:51.000]  Breitbart reports,
[1:40:51.000 --> 1:41:20.000]  He got visited by the police. No doubt because everyone on Twitter snitched on him.
[1:41:20.000 --> 1:41:27.000]  Nigel Farage struck a defiant tone after being informed by police that reporting on the illegal boat migrants was not essential travel.
[1:41:27.000 --> 1:41:33.000]  Well, it is essential because under the government's rules, the media is essential.
[1:41:33.000 --> 1:41:38.000]  You can go to work if you're in the media or a journalist because you're an essential worker.
[1:41:38.000 --> 1:41:43.000]  Nigel Farage has a column in one of the biggest newspapers in the United Kingdom.
[1:41:43.000 --> 1:41:50.000]  Nigel Farage is a radio host on one of the biggest radio stations in the United Kingdom. He is a reporter.
[1:41:50.000 --> 1:41:55.000]  He is an essential worker, so yes, of course, he can cover this under the rules.
[1:41:55.000 --> 1:42:04.000]  He said he'll continue to cover the scandal despite the police warnings and criticism from the sneerocracy in the mainstream media.
[1:42:04.000 --> 1:42:11.000]  Meanwhile, Breitbart also reports London's NHS Field Hospital to be closed after barely being used.
[1:42:11.000 --> 1:42:22.000]  The 4,000-bed hospital NHS Nightingale London, the jewel in the crown of the government's emergency coronavirus planning, will be placed on standby from next week.
[1:42:22.000 --> 1:42:29.000]  They use the term placed on standby, which makes it sound as if it's about to be opened. Isn't it? It's about to be closed.
[1:42:29.000 --> 1:42:33.000]  Absolute 180 in terms of Orwellian newsfeed.
[1:42:33.000 --> 1:42:39.000]  But again, it goes to the point, these overflow hospitals that they built because they said the NHS would be overwhelmed.
[1:42:39.000 --> 1:42:43.000]  Most of them haven't even been used. Many of them are now being closed down.
[1:42:43.000 --> 1:42:49.000]  The acute hospital beds across the United Kingdom are four times emptier than normal.
[1:42:49.000 --> 1:42:54.000]  We will lie to, but now we're going to be told that we have to undergo this for three more weeks.
[1:42:54.000 --> 1:43:10.000]  Go away. Summit.News will be back.
[1:43:25.000 --> 1:43:32.000]  Very, very soon again, because the lockdown of the economy is killing food distribution, farming, you name it.
[1:43:32.000 --> 1:43:37.000]  And now it's mainstream news. The food shortages and delivery are already starting to happen.
[1:43:37.000 --> 1:43:44.000]  If Trump can turn the economy back on and rest control of our system away from the globalist, things may be okay.
[1:43:44.000 --> 1:43:46.000]  But it looks like it's going to get very, very rough.
[1:43:46.000 --> 1:43:50.000]  So again, ladies and gentlemen, now is the time to secure the number one thing you need.
[1:43:50.000 --> 1:43:53.000]  High-quality, affordable food ready to get to you and your family.
[1:43:53.000 --> 1:43:56.000]  And now to get your orders in at 4store.com.
[1:44:23.000 --> 1:44:31.000]  It doesn't just pour out a bunch of thick, gross, goo, but it's high quality and aerosolizes it in a really great way.
[1:44:31.000 --> 1:44:34.000]  I like to put it on my hands, rub a little bit on my face.
[1:44:34.000 --> 1:44:37.000]  It's got organic alcohol in it, so spray it right in your eyes.
[1:44:37.000 --> 1:44:41.000]  But I just love it, personally, as something that's a moisturizer as well.
[1:44:41.000 --> 1:44:43.000]  So, this is a real innovation.
[1:44:43.000 --> 1:44:48.000]  I don't know why others didn't think of coming out with a hand sanitizer that actually has essential oil in it,
[1:44:48.000 --> 1:44:51.000]  so it doesn't dry you out and smells great.
[1:44:51.000 --> 1:44:54.000]  So refreshing, this is a big winner.
[1:45:21.000 --> 1:45:26.000]  It's a virus that's novel from others so they can give you a vaccine.
[1:45:26.000 --> 1:45:31.000]  You see, a regular cold or flu virus, you really can't do a vaccine for it because it's always mutating.
[1:45:31.000 --> 1:45:37.000]  But see, because this is a canira and lab made, they can have a speciality.
[1:45:37.000 --> 1:45:39.000]  So it's a whole giant franchise.
[1:45:39.000 --> 1:45:41.000]  They can filter you rich off of it.
[1:45:41.000 --> 1:45:42.000]  They can surveil everybody.
[1:45:42.000 --> 1:45:44.000]  Everybody gets to become a suspect.
[1:45:44.000 --> 1:45:49.000]  And now when you would have low numbers of death, it doesn't matter because they make a huge spectacle out of it.
[1:45:49.000 --> 1:45:53.000]  You watch next year with the flu, it'll even be bigger as well.
[1:45:53.000 --> 1:45:57.000]  This is what they've done to us because we're a bunch of domesticated idiots.
[1:45:57.000 --> 1:46:01.000]  I'm not going to sit here and waste your time or my time and rattle off.
[1:46:01.000 --> 1:46:04.000]  The success is in full versus that.
[1:46:04.000 --> 1:46:08.000]  If you're paying attention, you know we've done together.
[1:46:08.000 --> 1:46:14.000]  But I'll tell you this, the technocrats are really upping their game
[1:46:14.000 --> 1:46:18.000]  and they are trying to destroy all independent forms of media.
[1:46:18.000 --> 1:46:20.000]  They're trying to shutter and silence human resistance.
[1:46:20.000 --> 1:46:26.000]  So now is the time to understand that everything we've talked about has been proven accurate.
[1:46:26.000 --> 1:46:29.000]  And everything you warned your friends and family about is about to be true.
[1:46:29.000 --> 1:46:32.000]  So it's now that your credibility is way up.
[1:46:32.000 --> 1:46:36.000]  The power structures are to silence those of us that they can't.
[1:46:36.000 --> 1:46:41.000]  But it's up to all of us to not let them silence any of us.
[1:46:41.000 --> 1:46:47.000]  We have the power, but the sun is setting on humanity and setting on free speech.
[1:46:47.000 --> 1:46:52.000]  We have to make sure that we fight hard right now to make sure that a long, dark night doesn't come.
[1:46:52.000 --> 1:47:17.000]  So be the polar bears you are.
[1:47:17.000 --> 1:47:22.000]  Now, I was somebody who, from the beginning, took this coronavirus very seriously.
[1:47:22.000 --> 1:47:26.000]  I'm not arguing that it's a hoax, that it's a fake disease. It's a very serious disease.
[1:47:26.000 --> 1:47:30.000]  But I was the one at the beginning, as were many others, saying that this was a big threat.
[1:47:30.000 --> 1:47:37.000]  It was coming from China, where it originated, and that countries in the West needed to take this more seriously.
[1:47:37.000 --> 1:47:44.000]  This was back in January when the World Health Organization was amplifying Chinese state media propaganda,
[1:47:44.000 --> 1:47:50.000]  telling people on January 14th there was no human-to-human transmission of COVID-19.
[1:47:50.000 --> 1:47:54.000]  I was warning Western countries, as were many other people at the time,
[1:47:54.000 --> 1:48:01.000]  that they needed to take strong action in terms of border control measures, which never happened until it was too late.
[1:48:01.000 --> 1:48:09.000]  This was during the time when people like De Blasio and Nancy Pelosi were out telling people to congregate in huge crowds in Chinatown,
[1:48:09.000 --> 1:48:14.000]  but now we're the ones who are to blame for apparently downplaying this,
