[00:00.000 --> 00:24.000]  It's a war, tomorrow's news, today.
[01:26:11.000 --> 01:26:19.000]  Nowhere. Because they're quarterbacking the whole thing. Because no one would expect to have Nazi policies out of a supposed Jewish organization.
[01:26:19.000 --> 01:26:26.000]  That's about as Jewish as Adolf Hitler's mustache as nothing to do with it. They go, well, what do Americans not want to be? They don't want to be Nazis.
[01:26:26.000 --> 01:26:34.000]  Well, we'll do all the Nazi policies and actually have the grandson of a Nazi war criminal run-it-all who says he wants to be popular, everybody.
[01:26:34.000 --> 01:26:42.000]  And then when they don't like it, we'll call them Nazis. And then we'll block the therapeutics and kill their asses.
[01:26:42.000 --> 01:26:48.000]  And then we'll ask, well, why is this weird, strange genetic mutinogen in all the so-called shots?
[01:26:48.000 --> 01:26:57.000]  Oh, well, Jeffrey Epstein developed it and he wanted it in the shots. That's mainstream news. It's all about raping you and whatever they're doing to our genetics and attacking our DNA.
[01:26:57.000 --> 01:27:10.000]  Toxic vaccine ingredient SM-102 has connection to Epstein Genome Project. Why are you putting that in my shot? Well, it's liberal. It's loving. It's trendy.
[01:27:10.000 --> 01:27:22.000]  The toll-free number to join us is 877-789. Alex, 877-789-877-789-2539. 877-789-2539.
[01:27:22.000 --> 01:27:35.000]  And let's get to this clip. They admit NATO and Poland and admit that it was a Ukrainian missile that hit Poland and blew up the grain stall.
[01:27:35.000 --> 01:27:47.000]  The silo, it killed two people. And so now Lloyd Austin's toddled out and said, ultimately responsible, that Russia's ultimately responsible even though Ukraine did it.
[01:27:47.000 --> 01:27:58.000]  So any time Ukraine attacks other countries, it's now Russia's fault. That's leftist mind control. That's leftist murder of logic. That's leftist gaslighting. Here's the clip.
[01:27:58.000 --> 01:28:15.000]  We're still gathering information, but we have seen nothing that contradicts President Duda's preliminary assessment that this explosion was most likely the result of a Ukrainian air defense missile that unfortunately landed in Poland.
[01:28:15.000 --> 01:28:26.000]  And whatever the final conclusions may be, the world knows that Russia bears ultimate responsibility for this incident.
[01:28:26.000 --> 01:28:35.000]  Russia launched another barrage of missiles against Ukraine specifically intended to target Ukraine's civilian infrastructure.
[01:28:35.000 --> 01:28:44.000]  This tragic and troubling incident is yet another reminder of the recklessness of Russia's war of choice.
[01:28:44.000 --> 01:28:58.000]  Now your reckless startin' the war with Russia and overthrowing their electric government and giving our troops deadly shots, you Joseph Mingula. Lloyd Austin is Joseph Mingula. He is Adolf Hitler's son, spiritually.
[01:28:58.000 --> 01:29:07.000]  Alex, why is this taking so long? Why is this taking so long? In France they can count all the paper ballots and they're done in a day. Why can't we do this here?
[01:29:07.000 --> 01:29:15.000]  The answer is fraud and corruption. If we don't, fix the system. It doesn't matter whether the Republican nominee is Donald Trump or Governor DeSentimonious.
[01:29:15.000 --> 01:29:32.000]  They're going to deny us Michigan. They're going to deny us Pennsylvania. They're going to deny us Arizona. And I can't come to 270 electoral votes without any of those states where I believe there is an America first majority in every single one of them.
[01:29:32.000 --> 01:29:41.000]  We need to keep fighting for reform of the system. Tucker Carlson said this better last night than anything else. Communications are the reason why we didn't well.
[01:29:41.000 --> 01:29:50.000]  That's why infowars.com is so damn important. That's why they're so desperate to take you off the air, Alex. People need to get behind infowars.
[01:29:50.000 --> 01:30:02.000]  This alternative media that we work so hard to bring you is vitally important. We need more of these communications, not less.
[01:30:02.000 --> 01:30:16.000]  The globalists are in an absolute panic right now. They are attacking and suing and censoring and spying on and engaging in bullying and physical attacks against populist conservatives and Christians.
[01:30:16.000 --> 01:30:25.000]  It's not just in America, but worldwide. And their number one most hated enemy in the media is infowars because we know the globalist number.
[01:30:25.000 --> 01:30:30.000]  We know their operation. We know their modus operandi. And we know how to take them down peacefully.
[01:30:30.000 --> 01:30:37.000]  We've got great products that fund the operation that also are incredibly powerful and the highest quality for your immune system and more.
[01:30:37.000 --> 01:30:49.000]  We have the biggest sale of the year going right now. Black Friday comes early. Use promo code 1776 and get up to 60% off on these best selling products at infowars.com.
[01:30:49.000 --> 01:30:58.000]  Biggest sale of the year. Promo code 1776. Up to 60% off. Take action now and empower your body.
[01:30:58.000 --> 01:31:07.000]  It's a post COVID world now. Americans have lost trust in their doctors and the healthcare system. There's a solution. The wellness company.
[01:31:07.000 --> 01:31:21.000]  I'm Dr. Peter McCullough and I'm the chief scientific officer. And I can tell you firsthand that these verticals of uncensored content, virtual appointments, doctors on demand, prescriptions through a network of community pharmacies,
[01:31:21.000 --> 01:31:32.000]  in home, in vitro diagnostics, laboratory testing, imaging, an online set of holistic products can help guide you for your usual general medical care,
[01:31:32.000 --> 01:31:46.000]  but also COVID-19, acute and post COVID syndromes, vaccine injury syndromes, and the array of things that now America has to work through in this new world that we're living in.
[01:31:46.000 --> 01:31:56.000]  So go to onlinehealthnow.com and check out the wellness company for a low monthly fee. You can get started today and on a pathway to better health.
[01:32:16.000 --> 01:32:25.000]  But I don't deserve the credit. Yes, I've persevered, but the listeners and viewers who support them for the real reason we've had this success.
[01:32:25.000 --> 01:32:35.000]  We're having now the greatest victories in the fight against the new order we've ever had. We are now entering the final mile of the marathon.
[01:32:35.000 --> 01:32:44.000]  And that's why today it's more important than ever to realize how important you've been in this fight and to continue in the efforts you've been tearing out and to intensify them.
[01:32:44.000 --> 01:32:53.000]  I bless you all. I salute you. I thank you. And I beg you to intensify what you're doing now because we are over the target and this brief is happening.
[01:32:53.000 --> 01:33:20.000]  The fight is my fight. It's your fight. It's our fight. God bless you all.
[01:33:23.000 --> 01:33:30.000]  I'm going to go to your phone calls here in a moment, but I wanted to play Klaus Schwab at the big global government event summit.
[01:33:30.000 --> 01:33:35.000]  They just had announcing world government talking about being a great reset for the world.
[01:33:35.000 --> 01:33:41.000]  He went on in other clips I have to say China is the model of the world and the fourth industrial revolution.
[01:33:41.000 --> 01:33:52.000]  I want to finish up on the euthanasia and what's going to happen very, very soon as they roll this out according to their timeline with government forced suicide or murder coming up in just a moment.
[01:33:52.000 --> 01:33:56.000]  Here's your phone calls. Here's Klaus Schwab.
[01:33:56.000 --> 01:34:10.000]  Of course, if you look at all the challenges, we can speak about the multi-crisis, an economic, a political, a social, an ecological, an institutional crisis.
[01:34:10.000 --> 01:34:23.000]  But actually what we have to confront is a deep systemic and structural restructuring of our world.
[01:34:23.000 --> 01:34:26.000]  And this will take some time.
[01:34:26.000 --> 01:34:35.000]  As the world would look differently after we have gone through this transition process,
[01:34:35.000 --> 01:34:57.000]  politically the driving forces for this political transformation, of course, is the transition into a multi-polar world which has a tendency to make our world much more fragmented.
[01:34:57.000 --> 01:35:18.000]  And for such reasons, events like this one, the G20 and so on are the very important connectors to avoid a too great segmentation.
[01:35:18.000 --> 01:35:29.000]  Of course, he goes on to praise China as the model of this great reset and this new alignment and this multi-polar world where China is the model for us here in America, declines as a power.
[01:35:29.000 --> 01:35:35.000]  That's the process you see going on with the destruction of our nation at every level. Here's Klaus Schwab.
[01:35:35.000 --> 01:35:42.000]  We have now a window of opportunity to create this global reset which we all need.
[01:35:42.000 --> 01:35:53.000]  This global reset is necessary because we have seen that our policies which we pursued before the coronavirus struck us,
[01:35:53.000 --> 01:36:04.000]  that those policies do not create the necessary inclusion of society necessary for harmonious societal development.
[01:36:04.000 --> 01:36:14.000]  And they do not create the sustainability of what we are doing. Just think of the global warming, technologies of the first industrial revolution.
