[00:00:11.035 --> 00:00:13.196]  Welcome to your life.
[01:03:27.251 --> 01:03:35.098]  My comment about the First Amendment was in regard to people demanding that the video be removed, not their interpretation of the video, which I will welcomely open, whether positive or negative.
[01:03:35.098 --> 01:03:36.059]  Oh yeah, when people
[01:03:36.994 --> 01:03:38.755]  People will attack me and I counter them.
[01:03:38.755 --> 01:03:40.716]  And they go, don't censor me!
[01:03:40.716 --> 01:03:54.685]  They think when you respond back, that's censoring.
[01:03:54.685 --> 01:03:58.527]  He goes on to say, the point of art is to challenge people and to get them thinking.
[01:03:58.527 --> 01:04:00.288]  Absolutely.
[01:04:00.288 --> 01:04:05.331]  I mean, it's black people in fascist style uniforms.
[01:04:05.331 --> 01:04:06.352]  They're not even Nazis.
[01:04:08.302 --> 01:04:11.723]  But it's meant to be that iconography to get you thinking.
[01:04:11.723 --> 01:04:15.884]  I mean, look at how fascist the Senate is.
[01:04:15.884 --> 01:04:18.425]  It has actual fasci.
[01:04:18.425 --> 01:04:25.387]  Oh, there's Charlie Chaplin, dressed up in a Hitler uniform, with a bus, a Hitler-style bus, and a
[01:04:26.519 --> 01:04:28.621]  Nazi-style ego and a fascist symbol.
[01:04:28.621 --> 01:04:29.962]  Oh my gosh!
[01:04:29.962 --> 01:04:32.383]  Censor it right now!
[01:04:32.383 --> 01:04:34.485]  Oh my goodness!
[01:04:34.485 --> 01:04:36.867]  Somebody made a catcall video with Princess Leia.
[01:04:36.867 --> 01:04:37.507]  Burn it!
[01:04:37.507 --> 01:04:38.508]  Burn it!
[01:04:38.508 --> 01:04:45.853]  This isn't the talk of... See, the people calling us fascists, they're the fascists.
[01:04:45.853 --> 01:04:50.897]  People calling this director, Nicki Minaj's director,
[01:04:52.529 --> 01:04:53.552]  A fascist?
[01:04:53.552 --> 01:04:54.675]  They're the ones.
[01:04:54.675 --> 01:04:56.098]  By every yardstick.
[01:04:56.098 --> 01:04:58.524]  They'll be back with Dr. Edward Grubb and a big announcement.
[01:04:58.524 --> 01:04:58.885]  Stay with us.
[01:05:00.134 --> 01:05:03.795]  The government's Department of Homeland Security is buying up loads of ammo.
[01:05:03.795 --> 01:05:08.076]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[01:05:08.076 --> 01:05:09.856]  Can you put two and two together?
[01:05:09.856 --> 01:05:17.718]  Infidel Body Armor can stop every round, including hollow points and .308 sniper rounds, is reasonably priced, and fully legal.
[01:05:17.718 --> 01:05:18.858]  But for how long?
[01:05:18.858 --> 01:05:21.058]  Go to InfidelBodyArmor.com.
[01:05:21.058 --> 01:05:25.479]  Spelled I-N-F-I-D-E-L BodyArmor.com.
[01:05:25.479 --> 01:05:27.360]  Infidel Body Armor.
[01:05:27.360 --> 01:05:28.300]  Just won't quit.
[01:05:29.728 --> 01:05:40.272]  After consulting top doctors, nutritionists, pharmacists, and others, we have developed what I believe is the ultimate non-GMO organic super male vitality formula.
[01:05:40.272 --> 01:05:46.734]  Super male vitality by InfoWars Life is so powerful that I only take half the recommended dose.
[01:05:46.734 --> 01:05:49.075]  I jump out of bed ready to fight these criminals every day.
[01:05:49.075 --> 01:05:52.176]  I look forward to waking up and taking my super male vitality.
[01:05:52.176 --> 01:05:59.038]  Visit InfoWarsLife.com today to secure your super male vitality and other powerful products from InfoWars Life.
[01:05:59.338 --> 01:06:01.259]  Aging starts at the cellular level.
[01:06:01.259 --> 01:06:05.781]  When cells become toxic, they die early, and aging sets in.
[01:06:05.781 --> 01:06:10.244]  In the past decade, we have witnessed unparalleled scientific discoveries.
[01:06:10.244 --> 01:06:17.567]  During that period, key patented compounds have focused on mitochondrial growth, nerve growth, and rejuvenation.
[01:06:17.567 --> 01:06:26.632]  But no one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[01:06:26.852 --> 01:06:32.395]  We now have the synergistic solution, DNA Force, just one of the key compounds.
[01:06:32.395 --> 01:06:39.980]  BioPQQ is backed by major clinical studies and over 175 PubMed-listed published studies.
[01:06:39.980 --> 01:06:42.561]  You want the best that's out there at the lowest price anywhere?
[01:06:42.561 --> 01:06:47.684]  The ultimate value, cutting-edge, trailblazing game-changer that also supports the InfoWall.
[01:06:48.044 --> 01:06:55.089]  Secure your DNA Force today at InfoWarsLife.com or call toll free 888-253-3139.
[01:06:55.089 --> 01:06:59.212]  DNA Force from InfoWarsLife.
[01:06:59.212 --> 01:07:01.834]  InfoWarsLife.com.
[01:07:01.834 --> 01:07:03.315]  Check it out today.
[01:07:03.315 --> 01:07:11.701]  I have set out to bring you the most hardcore cutting-edge supplements and nutraceuticals bar none and that's what you'll find at InfoWarsLife.com.
[01:07:11.701 --> 01:07:17.645]  We have rejected literally hundreds of products from the InfoWarsLife line because they are not
[01:07:17.885 --> 01:07:19.447]  Of the very highest quality.
[01:07:19.447 --> 01:07:21.930]  Or because they're not 100% organic.
[01:07:21.930 --> 01:07:28.538]  Or because they don't pass all of the strictest toxicology tests there are that we have listed at Infowarslife.com.
[01:07:28.538 --> 01:07:34.986]  Whether it's survival shield nascent iodine, or DNA force, super male vitality, super female vitality.
[01:07:35.106 --> 01:07:38.929]  Lung cleanse, fluoride shields, oxy powder.
[01:07:38.929 --> 01:07:49.756]  I believe that all of these products will blow you away like they've done the thousands of other customers that have visited Infowarslife.com and believed in us and tried the products.
[01:07:49.756 --> 01:07:57.362]  Folks, check out Infowarslife.com today and the entire line of groundbreaking, cutting-edge, hardcore products.
[01:08:10.322 --> 01:08:13.225]  To those who can hear me I say, do not despair.
[01:08:13.225 --> 01:08:17.148]  The misery that is now upon us is but the passing of greed.
[01:08:17.148 --> 01:08:20.911]  The bitterness of men who fear the way of human progress.
[01:08:20.911 --> 01:08:24.354]  The hate of men will pass and dictators die.
[01:08:24.354 --> 01:08:27.937]  And the power they took from the people will return to the people.
[01:08:27.937 --> 01:08:30.960]  And so long as men die, liberty will never perish.
[01:08:32.409 --> 01:08:34.350]  The answer to 1984 is 1776.
[01:08:34.350 --> 01:08:46.913]  You're listening to the Alex Jones Show.
[01:08:46.913 --> 01:08:49.534]  That was from 1940.
[01:08:49.534 --> 01:08:54.595]  The end of the film, The Great Dictator.
[01:09:01.488 --> 01:09:03.209]  Dr. Ebergroep is in the studio with us.
[01:09:03.209 --> 01:09:13.355]  The reason we played that intro liner, that we've only played a few of the times, is that it clicked when I saw this on television this morning and saw it in the news headlines.
[01:09:13.355 --> 01:09:15.816]  You know, is Nicki Minaj racist?
[01:09:15.816 --> 01:09:17.737]  Is she anti-semitic?
[01:09:17.737 --> 01:09:21.179]  Is the director, Jeff Osborne, a bad person?
[01:09:21.179 --> 01:09:24.020]  Well, we ended up reaching out to Osborne.
[01:09:24.020 --> 01:09:30.684]  It turns out he's aware of us and a listener and is going to be coming on at the start of the next hour.
[01:09:32.213 --> 01:09:35.596]  He's a popular music video director and film director.
[01:09:35.596 --> 01:09:43.422]  And he said, obviously, this is to show that fascism is rising, mind control, police state.
[01:09:43.422 --> 01:09:48.126]  That's why the people are in fascist-style uniforms that aren't even Nazi uniforms.
[01:09:48.126 --> 01:09:49.968]  They're as Nazi as Charlie Chaplin.
[01:09:49.968 --> 01:09:53.271]  But if an actor plays a Nazi, it doesn't mean they're a Nazi.
[01:09:54.068 --> 01:09:58.733]  If Harrison Ford plays a bad guy in a movie, it doesn't mean he's really a bad guy in life.
[01:09:58.733 --> 01:10:03.597]  This is political correctness by design trying to censor things.
[01:10:03.597 --> 01:10:15.709]  There's a video out that's a parody piece on the feminist group that did the catcall video where the woman walks around New York and gets whistled at by guys.
[01:10:17.976 --> 01:10:26.940]  And so they had Princess Leia do it, and the feminists are calling, we have a story on Infowars.com, for that to be banned and taken down.
[01:10:26.940 --> 01:10:34.543]  So they're just making normal human activity, men hitting on women.
[01:10:34.543 --> 01:10:46.168]  And if you talk to a woman, that's fine I think, I don't think it's very gentlemanly to whistle at them, but if they then ignore you and you keep pushing it, then it starts to become harassment.
[01:10:46.168 --> 01:10:46.949]  But I've had women,
[01:10:48.277 --> 01:10:55.640]  Back when I was about 30 pounds lighter than I am now, whistle at me from the time I was about 14 to the time I was about 25.
[01:10:55.640 --> 01:10:56.480]  And did I get mad?
[01:10:56.480 --> 01:10:56.940]  No.
[01:10:56.940 --> 01:11:02.983]  And by the way, I'll be honest with you, back in college and stuff, I whistled at plenty of women and I got plenty of hot dates from doing it.
[01:11:02.983 --> 01:11:04.783]  So there's a reason people do it.
[01:11:04.783 --> 01:11:05.864]  A lot of women like it.
[01:11:07.429 --> 01:11:09.070]  And this is just human activity.
[01:11:09.070 --> 01:11:18.216]  I mean, if a badger, a male badger, runs up and scratches the dirt and makes an excited noise to a female badger, is it harassment?
[01:11:18.216 --> 01:11:19.857]  Should he be locked up?
[01:11:19.857 --> 01:11:24.880]  Is he some kind of evil racist or something?
[01:11:24.880 --> 01:11:27.562]  Or is he a sexist?
[01:11:27.562 --> 01:11:31.384]  This is just trying to create more class warfare.
[01:11:32.418 --> 01:11:39.023]  This is simply trying to create more divisions, more manipulation, while the globalists are attacking the very species itself.
[01:11:39.023 --> 01:11:47.070]  So, I played the Charlie Chaplin piece, and we'll show some of the famous film footage of that for TV viewers.
[01:11:47.070 --> 01:11:48.791]  Radio listeners can just go to Infowars.com.
[01:11:48.791 --> 01:11:51.514]  We're about to post the video of the great dictator.
[01:11:52.998 --> 01:11:56.120]  With Charlie Chaplin playing the part of Hitler in a Nazi uniform.
[01:11:56.120 --> 01:12:06.868]  Now, Charlie Chaplin was Jewish, and he was acting like he was pro-Nazi to illustrate how absurd it is as satire, as a satirist, as satire.
[01:12:06.868 --> 01:12:20.399]  I don't even do a lot of satire anymore because the public is so dumbed down on average, not our audience, but folks that I would reach out to on YouTube, that when I dress up as the Devil or the Joker, people really freak out and think that because I'm a good actor,
[01:12:21.141 --> 01:12:26.602]  When I need to be playing the part of an evil person or whatever, that I must be inherently bad.
[01:12:26.602 --> 01:12:32.904]  So, we're going to ask the question, is Charlie Chaplin anti-Semitic?
[01:12:32.904 --> 01:12:37.585]  Is, headline, you know, Nicki Minaj, her director, and Charlie Chaplin anti-Semitic?
[01:12:37.585 --> 01:12:49.288]  And say, that's right, according now to the people online and the news articles wanting it pulled down, to show that we're going into a fascist society, is anti-Semitic.
[01:12:53.931 --> 01:13:07.699]  And they've so overused this anti-Semitism, racism line, you're racist if you don't like Obamacare, that it doesn't even have an effect anymore when you're dealing with real anti-Semites or real racists, and it's very upsetting.
[01:13:07.699 --> 01:13:12.402]  So we've got the director coming on at 6, 7 after next hour.
[01:13:12.402 --> 01:13:17.745]  For the balance of the time, I'll also be on the Nightly News tonight with some other breaking news, is Dr. Edward Groot.
[01:13:17.745 --> 01:13:23.409]  Anthony Gucciardi went up last weekend to investigate in Dallas.
[01:13:25.106 --> 01:13:29.009]  At a medical center with medical doctors and nurses and he hung out with them all weekend.
[01:13:29.009 --> 01:13:30.129]  We're friends with them.
[01:13:30.129 --> 01:13:31.590]  They also do work down here in Austin.
[01:13:31.590 --> 01:13:34.392]  I'll just leave it at that.
[01:13:34.392 --> 01:13:37.815]  And they said yes, they are taking people out of the hospitals that appear to have Ebola.
[01:13:37.815 --> 01:13:39.676]  It's still ongoing.
[01:13:39.676 --> 01:13:44.659]  You had the Forbes writer say he was at the big press conference and the media all agreed to cover up Ebola cases.
[01:13:44.659 --> 01:13:45.900]  That was in the news a week and a half ago.
[01:13:45.900 --> 01:13:46.601]  Drudge picked it up.
[01:13:46.601 --> 01:13:48.842]  I mean, this is in Forbes now.
[01:13:48.842 --> 01:13:51.104]  We've had a medical doctor on, Dr. Lorenzi.
[01:13:51.104 --> 01:13:53.385]  I want to get him on tomorrow or Sunday I'm going to be live.
[01:13:54.326 --> 01:13:55.747]  That's where we plan to really break this.
[01:13:55.747 --> 01:13:58.810]  And Anthony said, yeah, but they've declared no Ebola cases.
[01:13:58.810 --> 01:14:00.172]  People just basically won't believe us.
[01:14:00.172 --> 01:14:01.773]  But I'm like, it doesn't matter.
[01:14:01.773 --> 01:14:11.382]  If medical doctors, on record and off record, and you're going and meeting and they're saying, yes, there appears to be Ebola, and they're disappearing people, the story is the disappearing people.
[01:14:11.382 --> 01:14:18.349]  And then you have Forbes saying, yeah, we were in on a meeting, told to cover it up, and the cops have called and it's been in the news and said we've been told to cover it up.
[01:14:19.693 --> 01:14:20.875]  I'm not saying it's the end of the world.
[01:14:20.875 --> 01:14:23.960]  I don't think we're going to have an epidemic or pandemic or something.
[01:14:23.960 --> 01:14:30.591]  But it sets the precedent of such control that they could do other things and cover up a disappearing talk show host.
