[00:00.000 --> 00:04.440]  It's a good idea, but thanks to Inventek, no one's going to cash in but me.
[01:12:21.300 --> 01:12:31.300]  But there's also a great quiet dignified power about Congressman Ron Paul. The haughty guys in the $6,000 suits dressed up like a bunch of strumpets are just jokes.
[01:12:31.300 --> 01:12:36.300]  The Texas legislature is even worse. They look like a bunch of, a bunch of knitting cheerleaders.
[01:12:36.300 --> 01:12:40.300]  I mean, Ron Paul just really has that quiet strength.
[01:12:40.300 --> 01:12:47.300]  And let's talk about the Congressman. Getting to know him personally all these years yourself. What type of person is the Congressman?
[01:12:47.300 --> 01:12:55.300]  Well, I was telling you about our offices a while ago and this is an explanation of just his character.
[01:12:55.300 --> 01:13:09.300]  You know, if you go into an office of one of these other congressmen, you would see expensive pictures on the wall and expensive furniture because you're paying for it, you know.
[01:13:09.300 --> 01:13:20.300]  Congressman Paul has a very small office, private office, when he comes home and it looks like a library because he's an academic. He's not a politician.
[01:13:20.300 --> 01:13:31.300]  A lot of people will say, you know, he just doesn't have the charisma. He's not out for charisma. He is out on a mission and that's to keep the liberties of the people of this country.
[01:13:31.300 --> 01:13:39.300]  You know, looks is not, matter of fact, this is another good thing, a great thing.
[01:13:39.300 --> 01:13:53.300]  Back in the 70s when he ran for Congress first, some reporter took a picture of Newt Gingrich's Cadillac and Ron Paul's little green Ford Focus, right, parked in the same parking lot.
[01:13:53.300 --> 01:14:03.300]  Because, you know, the American people are paying for the transportation and he figured that he was going to be as tight as possible with the American people's dollars, right?
[01:14:03.300 --> 01:14:13.300]  Well, that made the front page on several major newspapers and it was very embarrassing to a lot of the people up there in Washington, but that's his point, you know.
[01:14:13.300 --> 01:14:28.300]  This is supposed to be an office of service, a service to the people and when government gets out of control and starts feeling like, I can spend all your money that I want to, it becomes tyranny.
[01:14:28.300 --> 01:14:37.300]  Well, I've read the letters by George Washington and Thomas Jefferson and others in government when they were paying for their own wine and beef for parties.
[01:14:37.300 --> 01:14:47.300]  Right, because they knew that it was the people's money. Well, and tomorrow, you know, we're going to be drawing a line in the sand on government tyranny again.
[01:14:47.300 --> 01:15:04.300]  You know, that's what we do here. So, we're going to be talking about the animal ID and, you know, just some other things that are a complete, tyrannical broach of the people's right to private property.
[01:15:04.300 --> 01:15:22.300]  Whether it's the trans corridor or, you know, gun rights or tagging your animals, of which, you know, I've got another great story about how in Katie, which my family has got a background in rice farming,
[01:15:22.300 --> 01:15:34.300]  Katie Texas, the EPA comes in and says, you know what, we've got a new Animal Protection Endangered Species Act and we're going to start shutting y'all down if we find any of these endangered species.
[01:15:34.300 --> 01:15:46.300]  Well, people are very creative and when we started reading the list of the endangered species, many of those animals on that list became extinct species.
[01:15:46.300 --> 01:15:54.300]  So, you see, that government does not always work in the way that it's opposed to when you restrict people's freedom.
[01:15:54.300 --> 01:16:05.300]  Well, what, three years ago they caught them in Colorado bringing in animals that didn't even live in the area and then releasing them out of cages and claiming, oh look, we've got an endangered animal in this area.
[01:16:05.300 --> 01:16:07.300]  I mean, it's a total fraud.
[01:16:07.300 --> 01:16:17.300]  Yeah, it is and it pits man against animal and man is always the smarter, you know, and that's what happened on the Katie Prairie.
[01:16:17.300 --> 01:16:21.300]  You know, they came in and they said, oh, these beavers are endangered.
[01:16:21.300 --> 01:16:29.300]  Well, you know, we had created that beautiful place for those beavers to roam.
[01:16:29.300 --> 01:16:40.300]  Well, soon there were several beaver pelts on a lot of office floors in the farm economy in Katie because, you know, we were not going to let them take our property.
[01:16:40.300 --> 01:16:58.300]  And, you know, you cannot come into the agricultural world and say, I know how to run your business better because we've been doing it for years and you know what else, the Texas ag people are armed.
[01:16:58.300 --> 01:17:02.300]  So I think that we're going to give them a run for the money on this animal tagging thing.
[01:17:02.300 --> 01:17:10.300]  Well, I've been to some of these trans-Texas corridor meetings and animal ID meetings and it's prominent people getting up saying, I'm armed and I'm ready to start shooting.
[01:17:10.300 --> 01:17:19.300]  I mean, I don't think the government and these foreign corporations and the Spanish company grabbing all the roads and the payoffs realize, Penny, just how angry they've gotten people.
[01:17:19.300 --> 01:17:36.300]  I think they do know how angry we are. I think they just underestimate the enforcement power we have. I think that that's the problem because, you know, they slide these things under the door like the trans corridor.
[01:17:36.300 --> 01:17:38.300]  Nobody even knew about it.
[01:17:38.300 --> 01:17:43.300]  They told the legislature they couldn't even see the agreement. Now the legislature isn't. I mean, it's incredible.
[01:17:43.300 --> 01:17:53.300]  Well, it is a farce and so when the people find out about it, they think that it's already too late. You know, the contracts are signed. There's nothing you can do about it.
[01:17:53.300 --> 01:18:01.300]  Well, that might sound all good, but when you come taking people's property, they're going to be standing at the gate with a rifle.
[01:18:01.300 --> 01:18:02.300]  That's where the rubber meets the road.
[01:18:02.300 --> 01:18:04.300]  That is exactly where it meets the road.
[01:18:04.300 --> 01:18:09.300]  Penny, in the two minutes we've got left, what are some of the issues you're going to be giving your speech on tomorrow?
[01:18:09.300 --> 01:18:32.300]  Well, basically, it's going to be about, and I had told Judith McGreary, who is from FARFA, who is, you know, one of the hosts of this rally, I told her that I would really like for people to hear about the corporate end of it and how they deal with the members of Congress,
[01:18:32.300 --> 01:18:45.300]  that it would be in the Texas legislature or the federal legislature, and how these huge international corporate lobbyists just absolutely hammer the members of Congress.
[01:18:45.300 --> 01:18:53.300]  And if they don't have the strong character needed to stand up to them, you know, they cave in.
[01:18:53.300 --> 01:18:59.300]  Well, here's an example. The AP reported over 150 million spent last year trying to end that neutrality.
[01:18:59.300 --> 01:19:08.300]  Oh, yeah. Yeah. There's, you know, billions of dollars spent up there in Washington, D.C., hammering the legislature.
[01:19:08.300 --> 01:19:19.300]  And, you know, if you look and you can see that there are many members who, after they retire, what do they become?
[01:19:19.300 --> 01:19:34.300]  They become CEOs, board members. Well, here's an example. Take LCRA. They've got a bunch of people in the legislatures, daughters, sons, cousins working, and I know people that work at LCRA that people just collect paychecks.
[01:19:34.300 --> 01:19:36.300]  You know, there's all sorts of little ways they do this.
[01:19:36.300 --> 01:19:43.300]  Right, right. And they think that nobody sees it and the people won't know about it. And for the most part, they're right.
[01:19:43.300 --> 01:19:49.300]  They get away with it because, you know, it's not in the media and people don't dig for that information.
[01:19:49.300 --> 01:19:51.300]  Penny, are you going to be part of the parade as well?
[01:19:51.300 --> 01:19:57.300]  No, I've actually got a couple of meetings before. I'll be running through my district.
[01:19:57.300 --> 01:20:05.300]  Matter of fact, you'll be interested to know that we have just, we'll be awarding a gun tomorrow in Wharton County.
[01:20:05.300 --> 01:20:22.300]  But I will be there from about 2 to 4.30 and I'll be happy to be a part of it. And I hope that everybody will, you know, come out and really, you know, protect the rights and the property rights of these people who will be...
[01:20:22.300 --> 01:20:28.300]  Absolutely. This is real Texas independence. Tell the Congressman I said hi and God bless you. We'll see you tomorrow, Penny.
[01:20:28.300 --> 01:20:29.300]  Thanks a lot, Alex.
[01:20:29.300 --> 01:20:31.300]  Take care.
[01:20:31.300 --> 01:20:41.300]  The Berkey Security Pack is your one-stop solution for unexpected emergencies. It provides you with purified water, light, power and communications ability.
[01:20:41.300 --> 01:20:55.300]  The security pack includes a Berkey light water purifier, an LED base, two Berkey sport filtration bottles, the Berkey battery adapter, the Berkey MP solar charger, as well as a backup set of two black Berkey purification elements.
[01:20:55.300 --> 01:21:12.300]  The Berkey security pack is important every day and a must during emergencies because it provides purified water, long-term low-energy lighting, backup battery power for your Berkey LEDs, free long-term solar power for communications devices such as radios, walkie-talkies and cell phones,
[01:21:12.300 --> 01:21:33.300]  as well as power for small applications, get the one-stop solution for your emergency and everyday needs. The Berkey security pack, a retail value of $518 for only $399 by calling new millennium at 888-803-4438, not yet available in Iowa.
[01:21:33.300 --> 01:21:38.300]  Hi, this is Ted Anderson, here for the 2007 Red Book.
[01:21:38.300 --> 01:21:48.300]  The commodity markets like gold, silver, copper, aluminum and oil have exploded over the last year. This is a glaring testimony of how quickly the U.S. dollar can be devalued.
[01:21:48.300 --> 01:21:54.300]  Many have turned to precious metals to provide a safe haven while increasing the potential profits.
[01:21:54.300 --> 01:22:02.300]  Though accumulating precious metals has been a proven method for the storage of wealth, it is important that you understand the market you are getting into.
[01:22:02.300 --> 01:22:12.300]  Midas Resources is offering the Red Book and Silver Dollar for only $2795. The Red Book is the number one best-selling guide to gold and silver coins.
[01:22:12.300 --> 01:22:23.300]  Call for your copy today. It's 800-686-2237. If you've already accumulated or plan to get into the precious metals market, you simply must have the Red Book in your library.
[01:22:23.300 --> 01:22:31.300]  Call 800-686-2237. That's 1-800-686-2237.
[01:22:31.300 --> 01:22:38.300]  David J. Smith for NewsWatch Magazine. Did you know that our founding fathers gave us a Republican form of government?
[01:22:38.300 --> 01:22:54.300]  Why is all you ever hear from our leaders is that we're a democracy. You can receive a one-year free subscription to NewsWatch Magazine by calling our toll-free number 1-800-516-8736.
[01:22:54.300 --> 01:23:01.300]  That's 1-800-516-8736.
[01:23:01.300 --> 01:23:09.300]  David J. Smith for NewsWatch Magazine. Have you ever been told the truth about why Russian communism seemingly has fallen?
[01:23:09.300 --> 01:23:13.300]  Why did our government let Mikhail Gorbachev come here?
