[00:00:00.209 --> 00:00:01.169]  ...and so on.
[01:22:00.916 --> 01:22:03.158]  Good day, Jim Newcomer from Midas Resources.
[01:22:03.158 --> 01:22:04.819]  April 2nd, 2009.
[01:22:04.819 --> 01:22:05.900]  Gold opened this morning at $9.1440.
[01:22:05.900 --> 01:22:11.224]  A one ounce gold coin can be purchased for $9.4085, $4.7042 for the half ounce, and $2.3521 for a quarter ounce.
[01:22:11.224 --> 01:22:11.605]  That's $9.4085, $4.7042, and $2.3521.
[01:22:19.136 --> 01:22:31.542]  On June 4th, 1963, an unknown presidential decree, Executive Order 11110, was signed with the authority to strip the Federal Reserve Bank of its power to lend money to the United States government and interest.
[01:22:31.542 --> 01:22:34.704]  With the stroke of a pen, Kennedy would have put the Fed out of business.
[01:22:34.704 --> 01:22:38.006]  The November assassination quieted the production of the new currency.
[01:22:38.006 --> 01:22:40.807]  However, the Executive Order still stands unrepealed.
[01:22:41.067 --> 01:22:43.869]  Midas has the Kennedy vs. Fed document.
[01:22:43.869 --> 01:22:44.349]  Call 800-686-2237.
[01:22:44.349 --> 01:22:48.992]  Unlike your liberty, the paper is free.
[01:22:48.992 --> 01:22:51.873]  Call 800-686-2237.
[01:22:51.873 --> 01:22:55.675]  If you're interested in breaking the bondage of taxation and debt, call 800-686-2237.
[01:22:55.675 --> 01:22:56.536]  That's 800-686-2237.
[01:22:56.536 --> 01:23:00.178]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[01:23:07.717 --> 01:23:13.602]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[01:23:13.602 --> 01:23:20.087]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[01:23:20.087 --> 01:23:22.069]  Well, Obama's already fudging.
[01:23:22.069 --> 01:23:24.531]  He's fudged since day one in this election.
[01:23:24.531 --> 01:23:35.280]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascist.
[01:23:37.725 --> 01:23:39.386]  It's not about left or right.
[01:23:39.386 --> 01:23:41.247]  It's about a one world government.
[01:23:41.247 --> 01:23:48.149]  This film documents who Obama works for, the lies he is told, and his real agenda.
[01:23:48.149 --> 01:23:56.413]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[01:23:56.413 --> 01:23:57.993]  The Obama Deception.
[01:23:57.993 --> 01:23:59.174]  The people strike back.
[01:24:00.854 --> 01:24:04.377]  Before you throw away your used batteries, you need to listen to this.
[01:24:04.377 --> 01:24:06.299]  Now, going green can save money.
[01:24:06.299 --> 01:24:11.863]  Go green and save money by giving life to your used batteries by charging them with the Renaissance Charger.
[01:24:11.863 --> 01:24:19.890]  The Renaissance Charger uses a new revolutionary battery charging technology that effectively extends the life of new batteries and gives new life to used batteries.
[01:24:19.890 --> 01:24:29.198]  Invented by legendary audio genius John Bedini, this unique and patented charging system rejuvenates the electrochemical plate structure in the battery without additives.
[01:24:29.478 --> 01:24:32.681]  Increasing capacity and maintaining cell integrity.
[01:24:32.681 --> 01:24:37.865]  Renaissance Charge offers a full line of products made in the USA for all types and sizes of batteries.
[01:24:37.865 --> 01:24:43.389]  Find out why our customers tell us the Renaissance Charger is the only battery charger they will ever use.
[01:24:43.389 --> 01:24:44.510]  Save your money.
[01:24:44.510 --> 01:24:45.451]  Save the environment.
[01:24:45.831 --> 01:24:47.252]  Visit us online at r-charge.com.
[01:24:47.252 --> 01:24:48.153]  That's r-charge.com.
[01:24:48.153 --> 01:24:48.833]  Or call us at 989-637-4179.
[01:24:48.833 --> 01:24:49.354]  That's 989-637-4179.
[01:24:49.354 --> 01:24:51.055]  Be a part of the revolution today.
[01:24:51.055 --> 01:24:51.995]  Alright, this is what I'm gonna do.
[01:24:51.995 --> 01:24:53.897]  This is the schedule I'm gonna stay on.
[01:24:53.897 --> 01:24:56.298]  I know two and a half weeks ago, I did a full hour
[01:25:15.100 --> 01:25:20.812]  Plus, breaking down the FEMA camps.
[01:25:20.812 --> 01:25:23.177]  And that was a huge expose.
[01:25:23.177 --> 01:25:25.361]  I want Kurt Nemo, Paul Watson, everybody.
[01:25:26.926 --> 01:25:34.812]  To go get those YouTubes, because I know they got grabbed from PrisonPlanet.tv, where it's uploaded for members of iQuality, and posted there.
[01:25:34.812 --> 01:25:50.444]  Post those this weekend in the story, saying that Monday, I'm going to do two hours, the full report, and that'll give me all weekend to dig out everything I want to cover, and to also go over.
[01:25:50.444 --> 01:25:51.484]  Rob, you're talking to me?
[01:25:51.484 --> 01:25:52.445]  What's going on?
[01:25:52.445 --> 01:25:53.186]  Too much is happening.
[01:25:53.186 --> 01:25:55.207]  It's like a war room.
[01:25:55.207 --> 01:25:55.648]  Okay, good.
[01:25:55.648 --> 01:25:55.928]  Thank you.
[01:25:57.128 --> 01:25:59.269]  Do I have the number for this Freedom Nugget I'm supposed to do on 93.7?
[01:25:59.269 --> 01:26:03.732]  I'm supposed to call during the next break?
[01:26:03.732 --> 01:26:05.793]  Okay, good.
[01:26:05.793 --> 01:26:08.815]  That's the thing, I'm not whining, it's just crazy up here.
[01:26:08.815 --> 01:26:14.899]  It's just absolutely crazy, everything that's going on, how many angles we're getting hit from, what we're doing.
[01:26:14.899 --> 01:26:18.101]  I promise to go to your calls, but to do that, I can't spend 15 minutes with one caller.
[01:26:18.101 --> 01:26:20.382]  I gotta give each caller about a minute and a half.
[01:26:20.382 --> 01:26:22.623]  Let's talk to Fred in Texas.
[01:26:22.623 --> 01:26:23.264]  Fred, you're on the air.
[01:26:24.738 --> 01:26:26.299]  Hello Alex, how are you doing today?
[01:26:26.299 --> 01:26:27.519]  Ah, just alright.
[01:26:27.519 --> 01:26:28.900]  That sounds like fun.
[01:26:28.900 --> 01:26:36.022]  I just want to let you know I called into Sean Hannity's show on the 10th right before Obama Deception came out and I was trying to plug it.
[01:26:36.022 --> 01:26:42.745]  Of course I had to go through his intense screener who asked basically my entire life story.
[01:26:42.745 --> 01:26:54.189]  And what I did was I finally got on and I talked to him about Gordon Brown to try to set him up for it and he was pretty much ripping into Obama the whole time and I figured if I plugged in the Obama Deception movie
[01:26:55.091 --> 01:26:57.154]  He would, you know, start asking questions about it.
[01:26:57.154 --> 01:27:00.239]  But of course, he has all that inside knowledge already.
[01:27:00.239 --> 01:27:01.721]  Your movie's very popular.
[01:27:01.721 --> 01:27:03.603]  It was popular before it came out.
[01:27:03.603 --> 01:27:06.608]  And as soon as I mentioned it, he goes, Oh, I'm bleeping you out.
[01:27:06.608 --> 01:27:07.249]  And he clicked me off.
[01:27:07.885 --> 01:27:15.091]  Yeah, so before the film even came out, you said the Obama deception film, and he cuts you off.
[01:27:15.091 --> 01:27:24.119]  No, no, they listen to the show, they track the show, that's been admitted by folks at Fox News to me on the phone, they follow it, and it's incredible.
[01:27:24.119 --> 01:27:29.063]  See, you can't attack Obama from a real perspective that he's an elitist globalist.
[01:27:29.063 --> 01:27:34.807]  You've got to say he's a liberal, so the Republicans can be your savior, so the elite stay in power.
[01:27:34.807 --> 01:27:35.488]  Right.
[01:27:35.488 --> 01:27:36.569]  And what I did is I, you know,
[01:27:37.330 --> 01:27:49.097]  I think if anybody else wants to call into these talk shows like O'Reilly and Hannity, they need to sit up the screener a little bit and maybe fib a little bit to get on, to be able to plug these things, because the screener's real intense.
[01:27:49.097 --> 01:27:55.440]  If you mention anything about, you know, you don't believe in the left-right paradigm, she's going to say, well, I can't fit you in, or something similar like that.
[01:27:55.440 --> 01:27:56.281]  She'll make it hard to.
[01:27:56.281 --> 01:27:58.162]  Yeah, they're managing reality.
[01:27:58.162 --> 01:28:00.403]  So he said a little something to you before he delayed you.
[01:28:01.109 --> 01:28:01.549]  Right.
[01:28:01.549 --> 01:28:12.417]  He even mentioned before he started taking calls that there was a 30 second delay because of all the liberal left people, the left wing wackos.
[01:28:12.417 --> 01:28:15.819]  He had to have that 30 second delay to be able to maintain control.
[01:28:15.819 --> 01:28:17.340]  I knew I was going to get bleeped.
[01:28:17.340 --> 01:28:23.064]  As soon as I heard myself come live on the radio, sure enough he already started the next caller.
[01:28:23.064 --> 01:28:24.145]  No one really got to hear it.
[01:28:24.602 --> 01:28:29.226]  I was letting you know that I try to get through, and I'm trying to find... Well, what you do is, you do what Mark Dice does.
[01:28:29.226 --> 01:28:30.807]  You record it.
[01:28:30.807 --> 01:28:34.289]  And then you put it on YouTube, and then all of his censorship can be exposed.
[01:28:34.289 --> 01:28:40.454]  But, you know, it's really not even technically censorship, because they own their show, they can do what they want.
[01:28:40.454 --> 01:28:46.879]  Really, censorship would be the government coming in and telling you what you can say on your own show, or what Sean Hannity can say or do.
[01:28:46.879 --> 01:28:51.423]  But technically, what it is, is them trying to manage reality, and keep the left-right paradigm going.
[01:28:53.197 --> 01:28:53.898]  Good to hear from you.
[01:28:53.898 --> 01:28:55.779]  Our team in Canada, go ahead.
[01:29:22.130 --> 01:29:23.371]  Hey, how you doing?
[01:29:23.371 --> 01:29:26.114]  How you doing there?
[01:29:26.114 --> 01:29:26.455]  Okay.
[01:29:26.455 --> 01:29:27.075]  Hello?
[01:29:27.075 --> 01:29:27.916]  Yes, go ahead.
[01:29:27.916 --> 01:29:31.200]  Hi Alex Jones.
[01:29:31.200 --> 01:29:41.791]  It's my first time calling in and I've been a conspiracy skeptic for a long time, but the moment when I really woke up to this whole thing was during my graduation speech.
[01:29:42.578 --> 01:29:53.441]  And the guy who gave the speech was a Muslim guy and he basically delivered the message that we're the generation that's going to put this thing together.
[01:29:53.441 --> 01:29:57.042]  And it was like totally out in the open.
[01:29:57.042 --> 01:30:09.666]  And just because it is Canada and no one sort of, I mean, in my generation, no one values liberty in and of itself and everyone believes in socialism.
[01:30:09.666 --> 01:30:11.967]  I mean, they just swallowed that thing.
[01:30:13.274 --> 01:30:17.216]  Okay, to be clear, yes sir, we're here, we're on air right now.
[01:30:17.216 --> 01:30:23.419]  At your college graduation speech, they came in and told you the New World Order was good?
[01:30:23.419 --> 01:30:42.229]  Well, they didn't use the word the New World Order, but at the same time they talked about massive redistribution of wealth, they talked about population control, they talked about more government regulation over everything, and eliminating poverty, equality of
[01:30:43.187 --> 01:30:45.909]  Yeah, it's actually to keep poverty in place.
[01:30:45.909 --> 01:30:46.929]  Stay there, I'll let you finish up.
[01:30:46.929 --> 01:30:51.412]  When we get back, I want to hear what college this was.
[01:30:51.412 --> 01:30:52.793]  We're on the march.
[01:30:52.793 --> 01:30:55.334]  The empire's on the run.
[01:30:55.334 --> 01:30:58.016]  Alex Jones and the GCN Radio Network.
[01:31:01.425 --> 01:31:08.275]  Did you know that the new energy czar wants to control how much power your electrical company allows you to have?
[01:31:08.275 --> 01:31:09.216]  It's true.
[01:31:09.216 --> 01:31:14.825]  Total government control of electricity in the name of smart grid technology is coming.
[01:31:14.825 --> 01:31:16.187]  Not if, but when.
[01:31:18.712 --> 01:31:19.653]  This generator is solar powered.
[01:31:36.414 --> 01:31:38.115]  In the New World Order's war against humanity,
[01:32:04.591 --> 01:32:07.217]  Barack Obama is the tip of the spear.
[01:32:07.217 --> 01:32:14.213]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[01:32:14.804 --> 01:32:21.386]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[01:32:21.386 --> 01:32:23.367]  Well, Obama's already fudging.
[01:32:23.367 --> 01:32:25.868]  He's fudged since day one in this election.
[01:32:25.868 --> 01:32:36.831]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[01:32:37.435 --> 01:32:39.096]  It's not about left or right.
[01:32:39.096 --> 01:32:40.957]  It's about a one-world government.
[01:32:40.957 --> 01:32:47.880]  This film documents who Obama works for, the lies he is told, and his real agenda.
