[00:00:03.542 --> 00:00:06.303]  It's Friday, January 14th.
[01:33:45.598 --> 01:33:48.540]  I have decided I want to be the captain of the Titanic.
[01:33:48.540 --> 01:33:50.601]  Sign me up.
[01:33:50.601 --> 01:33:51.701]  Yeah.
[01:33:51.701 --> 01:33:52.902]  So you're running as a Republican.
[01:33:52.902 --> 01:33:54.343]  We've got to get basics here.
[01:33:54.343 --> 01:33:56.544]  Well, I'm running as an Independent.
[01:33:56.544 --> 01:33:57.705]  You're running as an Independent.
[01:33:57.705 --> 01:33:58.865]  I went to the Republican Party.
[01:33:58.865 --> 01:34:00.266]  That's a whole other story.
[01:34:00.266 --> 01:34:01.187]  I mean, that's a whole other show.
[01:34:01.187 --> 01:34:02.567]  So you're running as an Independent.
[01:34:02.567 --> 01:34:04.729]  Does that mean there's a primary that you've got to go through?
[01:34:04.729 --> 01:34:05.049]  I don't know.
[01:34:05.589 --> 01:34:05.929]  Okay.
[01:34:05.929 --> 01:34:09.352]  But, you know, Republican... It might be something you should figure out.
[01:34:09.352 --> 01:34:12.994]  No, but this, look, this guy Griffin is running is a Democrat.
[01:34:12.994 --> 01:34:14.815]  He's going to be the frontrunner, probably.
[01:34:14.815 --> 01:34:19.859]  Ken Griffin, the billionaire, he's going to fund a Republican to take on Pritzker.
[01:34:19.859 --> 01:34:21.300]  Well, the guy's not a Republican.
[01:34:21.300 --> 01:34:21.600]  Right.
[01:34:21.600 --> 01:34:24.322]  But hold on, so you're running as independent... The point is, you buy your way in, brother.
[01:34:24.322 --> 01:34:25.022]  You buy your way in.
[01:34:25.022 --> 01:34:26.663]  You're running as independent.
[01:34:26.663 --> 01:34:31.987]  Is the ballot going to say, like, Mankow, or is it going to be Eric Mankow Mueller?
[01:34:31.987 --> 01:34:33.948]  Because you can't have a nickname on there.
[01:34:34.049 --> 01:34:35.221]  You know, uh, you can?
[01:34:35.221 --> 01:34:35.907]  Yeah, yeah.
[01:34:39.312 --> 01:34:45.755]  Well, Eric Mancow-Muller, good friend of mine now for, gosh, it's gotta be, I've been on the show for like 20 years.
[01:34:45.755 --> 01:34:47.576]  We've been friends for at least 15.
[01:34:47.576 --> 01:34:49.917]  He's come and visited me, we've hung out quite a bit.
[01:34:49.917 --> 01:35:02.043]  And I wonder if Roger Stone is lurking in the background involved with this, because you'd make a great Illinois governor to go in there as a populist, and really to, you know, bring people together from the left and right to save that state, and boy does it need to be saved.
[01:35:02.043 --> 01:35:04.885]  So Mr. Eric Mancow-Muller, great to have you here with us, Governor.
[01:35:07.296 --> 01:35:08.959]  Wow, it's good to see you, buddy.
[01:35:08.959 --> 01:35:11.782]  It's good to see you.
[01:35:11.782 --> 01:35:13.525]  You know, everybody's missing the point.
[01:35:13.525 --> 01:35:15.147]  I hope you can get the point.
[01:35:15.147 --> 01:35:17.069]  Yes, we do.
[01:35:17.069 --> 01:35:17.930]  I'm tired.
[01:35:17.930 --> 01:35:19.152]  I've been all over, man.
[01:35:19.152 --> 01:35:22.937]  I've been all over campaigning and, you know, shaking dogs and kissing babies.
[01:35:22.937 --> 01:35:24.579]  Kissing babies and shaking dogs.
[01:35:25.676 --> 01:35:27.437]  Hey, hey, hey, Mancow.
[01:35:27.437 --> 01:35:31.100]  You do so good on your own show and every other show, but we have a bad jinx with us.
[01:35:31.100 --> 01:35:35.183]  Your audio was fine, and then you just turned your mic off or did something.
[01:35:35.183 --> 01:35:35.963]  So fix it.
[01:35:35.963 --> 01:35:38.165]  We're going to go back to Mancow.
[01:35:38.165 --> 01:35:40.646]  So much to talk about here with this wild man.
[01:35:40.646 --> 01:35:43.088]  And I mean, I'm really glad he's running for governor.
[01:35:43.088 --> 01:35:45.289]  He definitely needs to run for governor.
[01:35:45.289 --> 01:35:49.952]  We are in such a crazy world, and they're trying to put me in prison for January 6th right now.
[01:35:49.952 --> 01:35:52.014]  And we've got all of that insanity going on.
[01:35:52.014 --> 01:35:54.235]  And so we're going to be talking to him about that.
[01:35:54.235 --> 01:35:54.495]  And then
[01:35:55.436 --> 01:35:56.937]  Come up about 15 minutes to the next hour.
[01:35:56.937 --> 01:35:59.098]  Got a bunch of the news hit before they come on.
[01:35:59.098 --> 01:36:04.521]  We have an Oath Keeper joining us who got out of it right at the end there.
[01:36:04.521 --> 01:36:06.021]  He saw some weird behavior.
[01:36:06.021 --> 01:36:10.163]  Now, I'm not here to judge Stuart Rose or judge the indictment, though I read it twice.
[01:36:10.163 --> 01:36:12.405]  Once last night and once this morning.
[01:36:12.405 --> 01:36:19.168]  And I've seen so much fake stuff in the record about Owen Schroeder.
[01:36:21.280 --> 01:36:25.922]  And myself and others by the feds that I don't know what to believe.
[01:36:25.922 --> 01:36:28.623]  And I guess that's kind of their plan.
[01:36:28.623 --> 01:36:35.666]  But it is crazy, crazy, crazy lies that the system that the system is putting out.
[01:36:35.666 --> 01:36:37.747]  I mean, just just like on its face stuff.
[01:36:37.747 --> 01:36:38.327]  Is it true?
[01:36:38.327 --> 01:36:40.868]  Like Owen Troyer went in the Capitol and attacked people.
[01:36:40.868 --> 01:36:42.949]  Owen Troyer does not work for Alex Jones.
[01:36:42.949 --> 01:36:44.409]  He's perjuring himself, Your Honor.
[01:36:44.409 --> 01:36:47.931]  I mean, just like why would you put lies like that in there?
[01:36:50.014 --> 01:36:55.901]  I mean, it's kind of like when you call and you get a customer service rep.
[01:36:55.901 --> 01:37:01.447]  You get a customer service rep that doesn't really speak English, but acts like they do.
[01:37:01.447 --> 01:37:06.793]  And it's like they've got, I love Indians, but you know what I mean, Indians in India.
[01:37:08.174 --> 01:37:14.896]  that are writing all this and doing all this, because you read it and it's like it's English words, but it has no reflection of reality.
[01:37:14.896 --> 01:37:16.837]  All right, we do have his audio now.
[01:37:16.837 --> 01:37:18.197]  What a build-up!
[01:37:18.197 --> 01:37:19.898]  The man cow!
[01:37:19.898 --> 01:37:23.759]  So you are officially running for governor of Illinois?
[01:37:23.759 --> 01:37:24.460]  Alex, I am.
[01:37:24.460 --> 01:37:25.440]  Can you hear me now?
[01:37:25.440 --> 01:37:26.960]  I can hear you, sir.
[01:37:26.960 --> 01:37:32.302]  Please, tell us what's going on.
[01:37:32.302 --> 01:37:34.083]  It's interesting, you know, you talk about the sound.
[01:37:35.660 --> 01:37:41.344]  As soon as I announced I was running for governor, there's all kinds of workers around the house.
[01:37:41.344 --> 01:37:42.145]  I'm not even kidding.
[01:37:42.145 --> 01:37:44.307]  I've got fielding on my program.
[01:37:44.307 --> 01:37:46.088]  I know.
[01:37:46.088 --> 01:37:49.150]  They had to work on the wires around my house yesterday.
[01:37:49.150 --> 01:37:51.512]  The next morning after I announced.
[01:37:51.512 --> 01:37:53.553]  Pure coincidence.
[01:37:53.553 --> 01:38:04.862]  Alex, the real story that I've said on every show, that maybe you'll pick up on, or maybe they don't want to pick up on it, is that, you know, I went to the Republicans,
[01:38:06.428 --> 01:38:07.428]  And maybe it's my gut.
[01:38:07.428 --> 01:38:10.709]  Maybe it's... Maybe I'm wrong.
[01:38:10.709 --> 01:38:11.729]  But it seemed very clear to me.
[01:38:11.729 --> 01:38:14.449]  You have the name recognition.
[01:38:14.449 --> 01:38:17.250]  But, you know, this guy, Jim Oberweiss, he's a local guy.
[01:38:17.250 --> 01:38:20.670]  He gave us millions.
[01:38:20.670 --> 01:38:22.111]  It was all about money.
[01:38:22.111 --> 01:38:23.851]  That's what I'm trying to tell you.
[01:38:23.851 --> 01:38:24.271]  Are you there?
[01:38:24.271 --> 01:38:26.552]  I am here, Mankal.
[01:38:26.552 --> 01:38:27.552]  Hit us and hit us hard.
[01:38:27.552 --> 01:38:28.932]  We love it.
[01:38:28.932 --> 01:38:32.072]  Yeah, no, I mean, it's just... And they go, oh, uh-huh.
[01:38:32.072 --> 01:38:34.393]  And I did the number one show here yesterday, Alex.
[01:38:35.825 --> 01:38:38.506]  And I said, look, I want school choice.
[01:38:38.506 --> 01:38:41.208]  I want to end the mandates.
[01:38:41.208 --> 01:38:43.969]  I want to cut the gas tax in half.
[01:38:43.969 --> 01:38:47.791]  We have 25 cents a gallon gas tax.
[01:38:47.791 --> 01:38:50.772]  I mean, school choice, cut the gas tax, cut property tax.
[01:38:50.772 --> 01:38:54.914]  I pay $45,000 a year in property tax.
[01:38:54.914 --> 01:38:59.277]  And I went through this long, you know, end Sanctuary City.
[01:38:59.277 --> 01:39:00.957]  I went through this long list.
[01:39:00.957 --> 01:39:03.759]  And the liberal reporter goes, well, you're not saying anything.
[01:39:05.739 --> 01:39:07.780]  That's just gibberish.
[01:39:07.780 --> 01:39:08.040]  That's right.
[01:39:08.040 --> 01:39:15.862]  You're giving them real policies that are very popular and they won't even basically quote you because they're just going to say it's not real.
[01:39:15.862 --> 01:39:17.963]  Say that again?
[01:39:17.963 --> 01:39:21.464]  They never actually meet us on the level playing field and have a debate.
[01:39:21.464 --> 01:39:25.285]  They always just act like they don't understand what we're saying.
[01:39:25.285 --> 01:39:29.206]  You know Alex, I always go into these things like John Wayne and Noel Coward hanging out.
[01:39:29.206 --> 01:39:31.327]  I always feel like I can hang out and talk
[01:39:32.037 --> 01:39:38.381]  And that there's common ground, you know, like a hobbit, you know, looking for the Shire, looking for Middle Earth, looking for middle ground.
[01:39:38.381 --> 01:39:42.905]  And it is like the commies have the blinders on, man.
[01:39:42.905 --> 01:39:47.268]  Get the shot, step in line, your business will be destroyed.
[01:39:47.268 --> 01:39:52.771]  We had a car dealer here, one of the biggest, Joe Pirillo, who, you know, his place got destroyed.
[01:39:52.771 --> 01:39:55.033]  And they said, well, you should have had more security.
[01:39:55.033 --> 01:39:56.114]  And he said security?
[01:39:57.652 --> 01:39:59.513]  You want to defund the cops.
[01:39:59.513 --> 01:40:01.473]  They want to defund the cops.
[01:40:01.473 --> 01:40:02.533]  I defend the cops.
[01:40:02.533 --> 01:40:04.674]  They want to defund the cops.
[01:40:04.674 --> 01:40:07.795]  And you know, of course, when you get robbed, it's your fault.
[01:40:07.795 --> 01:40:10.696]  I was about to add, I noticed Lightfoot said it's the shot.
[01:40:10.696 --> 01:40:14.376]  I tried to get you on a month ago, but you couldn't come on.
[01:40:14.376 --> 01:40:16.917]  Lightfoot, for those who don't know, you're insane.
[01:40:16.917 --> 01:40:20.198]  Admiral Ackbar, leader, saying that
[01:40:21.730 --> 01:40:27.956]  It's the business's fault they're being robbed, and they want to defund the police, and they don't want you to have a gun to defend yourselves.
[01:40:27.956 --> 01:40:32.040]  I mean, these are some really bad people.
[01:40:32.040 --> 01:40:36.544]  I was engaged to a woman that ran the Monterey Bay Rape Crisis Center.
[01:40:36.544 --> 01:40:38.045]  And I'll never forget going to court with her.
[01:40:38.045 --> 01:40:40.667]  You know, these women we were trying to help.
[01:40:40.667 --> 01:40:44.351]  And they would, you know, the other side would say, why did you wear sexy underwear?
[01:40:45.467 --> 01:40:47.488]  Why did you wear a sexy outfit?
[01:40:47.488 --> 01:40:49.309]  I mean, if you didn't want to be raped?
[01:40:49.309 --> 01:40:53.470]  Yeah, like, why do you got a jewelry store, she said, if you don't want to get robbed?
[01:40:53.470 --> 01:41:01.193]  Yeah, I mean, this is, uh, look, brother, we are, you know, we used to joke about Prison Planet.
[01:41:01.193 --> 01:41:05.375]  I mean, oh, God, it was so funny when Alex Jones said Prison Planet.
[01:41:06.176 --> 01:41:08.157]  And, um, you know, I ribbed you about it.
[01:41:08.157 --> 01:41:14.840]  And by God, if I'm not living in, I don't know if I'm living on a prison planet, but I'm living in a prison state right now.
[01:41:14.840 --> 01:41:16.441]  We were under house arrest for two years.
[01:41:16.441 --> 01:41:18.422]  Who knew a governor could do that?
[01:41:18.422 --> 01:41:21.143]  So I want to become governor, mancalfourgovernor.com.
[01:41:21.143 --> 01:41:23.465]  And, and I'll tell you what I'm going to do.
