[00:00:05.911 --> 00:00:07.112]  It's Monday, April 27th.
[01:09:22.453 --> 01:09:25.856]  And he just reads it, reads it, reads it, reads it, reads it.
[01:09:25.856 --> 01:09:29.078]  And they cannot stand it.
[01:09:29.078 --> 01:09:30.519]  That's why they hated General Flynn.
[01:09:30.519 --> 01:09:30.999]  He came in.
[01:09:32.225 --> 01:09:34.406]  And he said, sir, here's the globalist.
[01:09:34.406 --> 01:09:35.106]  Here's how they operate.
[01:09:35.106 --> 01:09:37.087]  Here's the real geopolitical system.
[01:09:37.087 --> 01:09:38.147]  Here's who your enemies are.
[01:09:38.147 --> 01:09:41.509]  It was all dead on from an Americana perspective.
[01:09:41.509 --> 01:09:43.549]  And that's why they indicted Flynn immediately.
[01:09:43.549 --> 01:09:47.431]  And it turns out the FBI lied on the 302s and went to set him up.
[01:09:47.431 --> 01:09:56.174]  And they lied and had a secret deal with his attorneys to set him up and make him plead guilty.
[01:09:56.174 --> 01:09:57.555]  What do you think happened to Roger Stone?
[01:09:59.448 --> 01:10:00.728]  Because they threaten you, folks.
[01:10:00.728 --> 01:10:02.369]  So let me explain something.
[01:10:02.369 --> 01:10:07.630]  If you're a general and you advise Trump good, they're listening to your phones, they start threatening you.
[01:10:07.630 --> 01:10:11.530]  And I mean coming to your house when your wife's there and you're not.
[01:10:11.530 --> 01:10:14.311]  They threaten to cut her head off.
[01:10:14.311 --> 01:10:15.811]  They start going through your bank accounts.
[01:10:15.811 --> 01:10:16.812]  They try to find anything.
[01:10:16.812 --> 01:10:19.592]  They start sending you grand jury subpoenas.
[01:10:19.592 --> 01:10:21.272]  That's what they do.
[01:10:21.272 --> 01:10:26.534]  And so Roger Stone advised the president, prison awaits.
[01:10:26.534 --> 01:10:27.254]  Same thing with Flynn.
[01:10:27.254 --> 01:10:28.594]  Even though it came out in the news this week,
[01:10:30.145 --> 01:10:48.291]  That the FBI, of course, lied on the 302s, sent operatives who weren't even the field agents to go there and set up Flynn, who's a Democrat, and thought they were reasonable, and he thought his lawyers were reasonable, but now you learn they weren't because the game is rigged now.
[01:10:48.291 --> 01:10:58.515]  Remember two, three years ago, they brought in Kelly to be the head of White House, and it was like the number one mission is to keep Alex Jones and others away from the president, and that was true.
[01:11:02.312 --> 01:11:10.880]  Because they knew I wasn't just talking to the president, I was getting briefings to him every two days through Roger Stone.
[01:11:10.880 --> 01:11:12.562]  And I'm gonna leave it at that.
[01:11:12.562 --> 01:11:16.105]  And of course, I mean, I'm somebody that does what's right no matter how dangerous.
[01:11:16.105 --> 01:11:17.066]  People just couldn't believe it.
[01:11:17.066 --> 01:11:19.268]  They go, dude, they're gonna kill you, you keep doing this.
[01:11:19.268 --> 01:11:21.210]  So you're talking to the president?
[01:11:21.210 --> 01:11:23.773]  Well, let me tell you what's been going on.
[01:11:23.773 --> 01:11:25.715]  The reason they're so pissed at me right now is
[01:11:27.319 --> 01:11:38.821]  I contacted four different people that advise the President daily, Saturday, with the Cedars-Sinai video and the fact that it was being censored.
[01:11:38.821 --> 01:11:43.062]  Why do you think they're pulling off Google and YouTube and Facebook and Twitter?
[01:11:43.062 --> 01:11:55.664]  Because its most prestigious hospital, arguably, it's in the top five, probably in the world, not just the U.S., top two or three in the U.S., is saying exactly what he said, and we know for damn certain
[01:11:56.977 --> 01:11:59.598]  His advisors set him up and said, oh, this is very promising.
[01:11:59.598 --> 01:12:00.858]  They show it to him.
[01:12:00.858 --> 01:12:03.659]  And when he goes out there, they then don't defend him.
[01:12:03.659 --> 01:12:07.700]  And then he goes, but you say, and then it makes him look stupid.
[01:12:07.700 --> 01:12:11.441]  So see, that's the level of setups going on around the president.
[01:12:11.441 --> 01:12:15.321]  So I began to get this to the president.
[01:12:15.321 --> 01:12:16.702]  And by the way, I know he's seen it.
[01:12:16.702 --> 01:12:17.462]  I know he's gotten it.
[01:12:21.508 --> 01:12:23.830]  And we'll see how he responds.
[01:12:23.830 --> 01:12:27.492]  But it's not that I'm that special.
[01:12:27.492 --> 01:12:35.898]  Everybody else around him, except for a few people, will not advise him and will not give him information.
[01:12:35.898 --> 01:12:39.481]  So again, how real does that say Trump is right there?
[01:12:39.481 --> 01:12:47.607]  That I can make a few phone calls and either get a call back or get information directly to the president.
[01:12:49.420 --> 01:12:51.320]  It's not about Alex Jones.
[01:12:51.320 --> 01:12:59.422]  It's about, he goes to rallies, he tells the Secret Service, I told you this three years ago, this was in the news last year, that he has boxes.
[01:12:59.422 --> 01:13:03.143]  They go, he's crazy, he just takes stuff from the general public, CNN said.
[01:13:03.143 --> 01:13:08.704]  Imagine, just common people, and he just takes it and reads what they write in notes to him.
[01:13:08.704 --> 01:13:10.725]  And then, meanwhile this is making me like...
[01:13:11.565 --> 01:13:15.146]  Love Trump, no matter though he stumbles, he's fighting, folks.
[01:13:15.146 --> 01:13:17.567]  And my heart's like going, bong, bong, bong, bong.
[01:13:17.567 --> 01:13:19.147]  That's exactly what I want to hear.
[01:13:19.147 --> 01:13:27.069]  And they attack him and go, CNN, MSNBC.
[01:13:27.069 --> 01:13:30.430]  Look at the pathetic people he tweets.
[01:13:30.430 --> 01:13:34.051]  He talked to some lady that gave him his Twitter account.
[01:13:34.051 --> 01:13:36.751]  And then an hour later on the plane, he tweeted her.
[01:13:36.751 --> 01:13:38.872]  She had five followers.
[01:13:40.572 --> 01:13:42.133]  Think of the disconnect.
[01:13:42.133 --> 01:13:44.254]  You can pull those articles up.
[01:13:44.254 --> 01:13:47.337]  What is Trump doing tweeting nobodies?
[01:13:47.337 --> 01:13:50.138]  What's he doing talking to?
[01:13:50.138 --> 01:13:53.501]  Well, he learned running golf courses and hotels and buildings.
[01:13:53.501 --> 01:13:56.002]  You better damn well talk to the people.
[01:13:56.002 --> 01:13:57.964]  You better damn well take their notes.
[01:13:57.964 --> 01:14:03.547]  You're not going to get told by your chef that they've sold the good food and are selling crappy food and ripped you off.
[01:14:03.547 --> 01:14:10.032]  You're not going to hear about the scams unless you're talking to the people because Trump is a service billionaire.
[01:14:10.812 --> 01:14:16.614]  And so he now is in service to us, and he loves it, and he wants to win.
[01:14:16.614 --> 01:14:20.075]  He doesn't have a heart on for America, wanting to screw it.
[01:14:20.075 --> 01:14:28.177]  He wants to empower it, and they're so pissed, ladies and gentlemen, that he doesn't believe a damn word comes out of globalists.
[01:14:28.177 --> 01:14:30.798]  But every piece of info I've ever brought Trump has been golden.
[01:14:30.798 --> 01:14:37.800]  So when they go, oh, Alex Jones and Paul Watson gave you that video, doctored of Jim Acosta, and Trump goes, that's not doctored!
[01:14:37.800 --> 01:14:39.881]  They zoomed in on it to help people see what happened.
[01:14:40.828 --> 01:14:43.630]  I was there, I saw him attack her.
[01:14:43.630 --> 01:14:46.793]  So see, Trump knows that I'm a real channel.
[01:14:46.793 --> 01:14:48.074]  That's all I am.
[01:14:48.074 --> 01:14:54.659]  Just like when he's on the ground, shaking your hands, and you pass him a note.
[01:14:54.659 --> 01:14:58.882]  And when he gets on that plane, better than I am, I try to read the letters that come in, thousands a week.
[01:14:58.882 --> 01:15:03.265]  It's just like, I don't want to discourage you from sending letters, but my God, is that a job?
[01:15:03.265 --> 01:15:05.647]  Trump is like Superman.
[01:15:05.647 --> 01:15:09.250]  He's at the White House, he makes them bring him pallets of mail.
[01:15:10.410 --> 01:15:16.254]  From the warehouse down the road, and they think he's insane, and he goes in at night and just reads it.
[01:15:16.254 --> 01:15:19.196]  I mean, this guy's something special, folks.
[01:15:19.196 --> 01:15:23.079]  I gotta tell you.
[01:15:23.079 --> 01:15:26.541]  Trump's had the Secret Service call me, okay?
[01:15:26.541 --> 01:15:28.062]  I mean, it's not about me acting.
[01:15:28.062 --> 01:15:29.804]  Why do they want to kill me, folks?
[01:15:29.804 --> 01:15:31.685]  Because I represent you.
[01:15:31.685 --> 01:15:32.666]  I'm just like you.
[01:15:32.666 --> 01:15:34.347]  I've just got a bigger connection to the President.
[01:15:35.822 --> 01:15:37.965]  And that's why they want him dead.
[01:15:37.965 --> 01:15:42.190]  And that's why they're shutting down now the bad guys at Cedars-Sinai.
[01:15:42.190 --> 01:15:43.030]  They're bad.
[01:15:43.030 --> 01:15:44.392]  They're fake news.
[01:15:44.392 --> 01:15:46.134]  That's how evil big tech is.
[01:15:46.134 --> 01:15:53.523]  Not even the Chai-coms would censor a major hospital, but Twitter and Google sure as hell did, because they backed up the president.
[01:15:54.943 --> 01:15:56.364]  You know what's really smart?
[01:15:56.364 --> 01:16:00.787]  Wash your hands frequently, practice social distancing, and stay home if told to do so.
[01:16:00.787 --> 01:16:02.348]  You know what's really dumb?
[01:16:02.348 --> 01:16:05.030]  To ignore your immune system.
[01:16:05.030 --> 01:16:09.152]  Right now, more than ever, your health depends on a strong immune system.
[01:16:09.152 --> 01:16:14.196]  The experts at Immunocorp will give you their 7-step guide to immunity for life.
[01:16:14.196 --> 01:16:14.856]  Free!
[01:16:14.856 --> 01:16:15.596]  Why?
[01:16:15.596 --> 01:16:17.818]  Because we want you to be smart and healthy.
[01:16:18.098 --> 01:16:24.046]  Simply call 800-446-3063 or click immunityforlife.com.
[01:16:24.046 --> 01:16:29.353]  Immunocorp has been producing the world's leading immune system products for more than two decades.
[01:16:29.775 --> 01:16:33.198]  To get your free 7-step guide to Immunity for Life, call 800-446-3063.
[01:16:33.198 --> 01:16:33.378]  800-446-3063.
[01:16:33.378 --> 01:16:34.018]  Be smart!
[01:16:34.018 --> 01:16:35.720]  Don't ignore your immune system.
[01:16:35.720 --> 01:16:36.741]  Your life depends on it.
[01:16:36.741 --> 01:16:38.482]  Call 800-446-3063 or click ImmunityforLife.com.
[01:16:38.482 --> 01:16:39.423]  ImmunityforLife.com.
[01:16:56.078 --> 01:16:57.959]  Fully cooked, ready to eat bacon.
[01:16:57.959 --> 01:17:01.201]  I'm talking thick, meaty, center cut, presidential bacon.
[01:17:01.201 --> 01:17:02.801]  Savory and delicious.
[01:17:02.801 --> 01:17:05.643]  I buy some, I use some, I store some.
[01:17:05.643 --> 01:17:06.303]  Awesome.
[01:17:06.303 --> 01:17:09.385]  No refrigeration needed with a 10 year shelf life.
[01:17:09.385 --> 01:17:10.945]  NASA PAC technology.
[01:17:10.945 --> 01:17:11.586]  Bacon.
[01:17:11.586 --> 01:17:15.728]  Fully cooked, fully hydrated, ready to eat right from the pack bacon.
[01:17:15.728 --> 01:17:17.169]  Or warm and serve.
[01:17:17.169 --> 01:17:19.190]  Life saving, ready to eat bacon.
[01:17:19.190 --> 01:17:21.151]  10 year shelf life bacon.
[01:17:21.151 --> 01:17:23.932]  Ships free at fully cooked bacon dot com.
[01:17:23.932 --> 01:17:25.553]  Fully cooked bacon dot com.
[01:17:27.159 --> 01:17:31.822]  House flies defecate every four to five minutes, spreading diseases and germs.
[01:17:31.822 --> 01:17:35.604]  Protect your food and your health with Bug Assault.
[01:17:35.604 --> 01:17:40.988]  A miniaturized shotgun, which utilizes ordinary table salt as ammunition.
[01:17:40.988 --> 01:17:41.928]  Non-toxic.
[01:17:41.928 --> 01:17:43.529]  No batteries required.
[01:17:43.529 --> 01:17:44.090]  Only $39.95.
[01:17:44.090 --> 01:17:51.194]  Use discount code GCN and get an extra 10% off your purchase at BugAssault.com.
[01:17:51.194 --> 01:17:52.475]  Fire your fly swatter.
[01:17:53.897 --> 01:17:55.718]  Get your bug assault today!
[01:17:55.718 --> 01:18:01.140]  Ladies and gentlemen, Info Wars can now offer high-quality storable food again.
[01:18:01.140 --> 01:18:06.682]  Other manufacturers were sold out eight weeks ago, and they told people they had food.
