[00:00.000 --> 00:25.000]  I don't want to believe this. I don't want to be right. I want to be wrong. But I'm sorry.
[1:40:11.000 --> 1:40:15.000]  So we have all the data that this doesn't work to the degree they said it does.
[1:40:15.000 --> 1:40:24.000]  We have all this data that it has dangerous and perilous side effects. They're tracking excess mortality going up in proportion to countries and states around the world
[1:40:24.000 --> 1:40:27.000]  and direct proportion to the amount of vaccination taking place.
[1:40:27.000 --> 1:40:35.000]  Why is that? Why are the excess deaths being reported by historical numbers precisely when and after vaccination rates go up?
[1:40:35.000 --> 1:40:41.000]  So I mean, there's reasons to have doubts about this vaccine. There's reasons to have doubts about the lethality of COVID.
[1:40:41.000 --> 1:40:46.000]  But more importantly, this is about the right to control your own body and your own destiny.
[1:40:46.000 --> 1:40:54.000]  And if the government owns your body and the government can put whatever they want into your body, whenever they want directly or indirectly by the coercion of the government itself
[1:40:54.000 --> 1:40:59.000]  or by the coercion of your employer or public accommodation, then you don't have any rights at all.
[1:40:59.000 --> 1:41:04.000]  If you don't control your own body, you control nothing. And that's why this is the legal fight of the century.
[1:41:04.000 --> 1:41:10.000]  And all of us must do whatever we can to push back in the court of law and the court of public opinion.
[1:41:10.000 --> 1:41:17.000]  And, you know, if I'm going all the way to the bottom of this pit or the end of this tunnel, this is a eugenics population control program.
[1:41:17.000 --> 1:41:25.000]  But I mean, at a surface level, this is a mafia shakedown. I mean, that's the craziest thing about this is nothing more at the surface level than a mafia shakedown.
[1:41:25.000 --> 1:41:30.000]  You can't do anything until you take my vaccine that's not effective, doesn't stop COVID and could kill you.
[1:41:30.000 --> 1:41:33.000]  And then big pharmaceuticals make out with billions of dollars.
[1:41:33.000 --> 1:41:42.000]  And so I mean, I guess my final question is when is this COVID vaccine going to be the record biggest health care fraud lawsuit in American history?
[1:41:42.000 --> 1:41:46.000]  We already know Pfizer and Johnson and Johnson are they already have the records with tens of billions of dollars.
[1:41:46.000 --> 1:41:50.000]  I mean, what's this one going to be 50 billion, 100 billion?
[1:41:50.000 --> 1:41:55.000]  Well, this is actually the most profitable drug in history. The COVID vaccine is the most single.
[1:41:55.000 --> 1:42:06.000]  So they will make more money on this single vaccine in a single year than all of the profits from all of the vaccines around the entire world this year.
[1:42:06.000 --> 1:42:11.000]  So this is the most profitable drug ever. They have no and then they can't be sued.
[1:42:11.000 --> 1:42:23.000]  They have immunity from suit, the manufacturer, the producer, the distributor, the marketer, the advertiser, the designer, the developer, the doctor, the supplier, all of them are completely immune.
[1:42:23.000 --> 1:42:26.000]  No matter how bad this vaccine turns out to be.
[1:42:26.000 --> 1:42:31.000]  So they have no skin in the game in terms of risk and they have lots of skin in the game in terms of reward.
[1:42:31.000 --> 1:42:33.000]  And that's why we have to fight back.
[1:42:33.000 --> 1:42:42.000]  And if people want examples of the letters, they can go to VivaBarnsLaw.locals.com and see examples of how they can help fight back to.
[1:42:42.000 --> 1:42:48.000]  Robert Barnes. God bless. Thank you so much, brother. And you have a great weekend.
[1:42:48.000 --> 1:42:56.000]  All right, when we come back, I'm going to get into the news headlines and we're going to come full circle on all of this, maybe open up the phone lines.
[1:42:56.000 --> 1:43:03.000]  It is through our five senses that we are kept fascinated and hypnotized by the lies we are told.
[1:43:03.000 --> 1:43:10.000]  And the only way to see through this illusion is with our higher senses, which is why fluoridated water is a big problem.
[1:43:10.000 --> 1:43:20.000]  Consuming too much fluoride forms phosphate crystals around the pineal gland and shuts down its natural functions, natural functions which have been known for millennia.
[1:43:20.000 --> 1:43:26.000]  The Hindu chakras align with the endocrine system. The chakra aligned with the pineal gland is the third eye.
[1:43:26.000 --> 1:43:36.000]  Also described as the seat of the soul, the pineal gland is what connects us to higher levels of consciousness and otherwise unseen dimensions of reality.
[1:43:36.000 --> 1:43:41.000]  Fluoride free water is essential to keeping our pineal gland healthy.
[1:43:41.000 --> 1:43:50.000]  Our water filtration systems with the proper filters will keep your drinking water fluoride free and the propure shower head will seal the deal.
[1:43:50.000 --> 1:43:56.000]  Get them both today for yourself or a friend at infowarstore.com.
[1:43:56.000 --> 1:44:06.000]  So when I first started taking survival shield, basically I was 275 pounds overweight. I had brain fog like you wouldn't believe. I was barely holding onto a jaw.
[1:44:06.000 --> 1:44:12.000]  And I heard Dr. Group on your show and I listened to it. So the first one I got was the original survival shield, the X1.
[1:44:12.000 --> 1:44:19.000]  And it worked pretty good. And then shortly thereafter you came out with X2. You had, you know, with a deep burn source, you know, and I got really excited about that so I took it.
[1:44:19.000 --> 1:44:29.000]  And man, in two weeks I went from brain fog to like literally like my brain was enlightened. You know, I could think again. I could connect with people again.
[1:44:29.000 --> 1:44:37.000]  And over the course of the next couple of years I got my health back and I religiously take basically all of your supplements. They're all absolutely amazing supplements.
[1:44:37.000 --> 1:44:43.000]  The one I like recently is knockout literally like if you want to sleep just take it. It's amazing. It works.
[1:44:43.000 --> 1:44:52.000]  But anyway, so the point is we have to get ourselves clean. We have to break free of the globalist system. And the only way to do that is to take our own health into our own hands.
[1:44:52.000 --> 1:45:17.000]  And as I beautifully said, brother, I thank you so much for your call and Godspeed.
[1:45:22.000 --> 1:45:30.000]  We finally got them back in stock the highest rated. They fit almost all types of androids and iPhones at 50% off 1495.
[1:45:30.000 --> 1:45:41.000]  They sell these babies for $29.95 all day long. We've got a private label with info wars on them for $14.95 because I want you to get them.
[1:45:41.000 --> 1:45:47.000]  And I want you to buy friends and family these systems to educate them about what these quote smartphones really are.
[1:45:47.000 --> 1:45:55.000]  This is a great way to limit your phone time use. It's a great way to spend more time with your family. And it's a great way to know you're not being tracked by the criminal globalist system.
[1:45:55.000 --> 1:46:18.000]  They're 50% off right now at infowarstore.com. I have gotten so many requests and so many complaints from listeners in the last six plus months of where is the activated charcoal toothpaste and mouthwash. We only came out with it a year and a half ago.
[1:46:18.000 --> 1:46:30.000]  And I'm happy too. It's a great toothpaste and it funds the info war. So if you want to get it and stock up on it because you were already a fan or if you haven't tried it, it's back in stock at infowarstore.com discounted because of the COVID lockdown.
[1:46:30.000 --> 1:46:37.000]  Because of the globalist siege on small businesses and companies in America. It's not been available for over six months, but now it's back in stock.
[1:46:37.000 --> 1:46:48.000]  And it's available in only two places infowarstore.com and Dr. Jones naturals.com. It is our activated charcoal toothpaste and mouthwash.
[1:46:48.000 --> 1:47:10.000]  So get your activated charcoal toothpaste activated charcoal mouthwash with central oils and more at infowarstore.com and funding info war a true 360 win.
[1:47:19.000 --> 1:47:24.000]  Got a license to kill.
[1:47:34.000 --> 1:47:37.000]  The big pharmaceutical mafia has a license to kill.
[1:47:37.000 --> 1:47:49.000]  And you have to understand the paradigm here.
[1:47:49.000 --> 1:47:57.000]  Like if you have an invasive species in your garden or in your house or like the wild boars and all that stuff.
[1:47:57.000 --> 1:48:09.000]  Well, what do you do? You terminate that invasive species. You kill it. You kill it.
[1:48:09.000 --> 1:48:17.000]  And so the globalist and the world elite believe they own the planet. It's their planet and they see you as an invasive parasite. So they kill you.
[1:48:17.000 --> 1:48:29.000]  They have a license to kill you.
[1:48:29.000 --> 1:48:33.000]  This is the reality of our planet, ladies and gentlemen.
[1:48:33.000 --> 1:48:40.000]  And I know it's a tough pill to swallow. And hey, you can get away from it for a certain period of time.
[1:48:40.000 --> 1:48:46.000]  But you cannot let evil exist and metastasize like this or it eventually finds you.
[1:48:46.000 --> 1:48:50.000]  No matter how secluded of a life you try to live, no matter how off grid you try to live.
[1:48:50.000 --> 1:48:56.000]  And we shouldn't be forced to live like that.
[1:48:56.000 --> 1:49:00.000]  And we may have to for a year or two. But I mean, this is about to get real ugly.
[1:49:00.000 --> 1:49:08.000]  But hey, the big pharmaceutical mafia has a license to kill you and they're legally exempt.
[1:49:08.000 --> 1:49:17.000]  And now people want to mandate that death. They want to mandate that potential legal injection.
[1:49:17.000 --> 1:49:21.000]  It's a license to kill.
[1:49:21.000 --> 1:49:28.000]  Coming straight for your heart with blood clots and myocarditis and stroke and everything.
[1:49:28.000 --> 1:49:35.000]  Because the owners of this planet look at you as an invasive parasitic existence.
[1:49:35.000 --> 1:49:39.000]  So they're going to exterminate you.
[1:49:39.000 --> 1:49:43.000]  You better wake up before it's too late.
[1:49:43.000 --> 1:49:48.000]  By the way, hey guys, I sent you that. I'll come back to that. I'll come back to that.
[1:49:48.000 --> 1:49:51.000]  But this is actually pretty wild, something I found during the break.
[1:49:51.000 --> 1:49:57.000]  And if we can find this scientific study, this is like, whoa, level stuff.
[1:49:57.000 --> 1:50:02.000]  And it just goes back to the whole thing of why are we so unhealthy?
[1:50:02.000 --> 1:50:07.000]  We have all this access to information and technology and supplements.
[1:50:07.000 --> 1:50:13.000]  Why are we so unhealthy by design, ladies and gentlemen?
[1:50:13.000 --> 1:50:19.000]  But let me just do this here. Let me let me just crank out these headlines right now.
