[00:00.000 --> 00:13.000]  In the councils of government, we must guard against the acquisition of unwarranted influence,
[01:32:18.760 --> 01:32:22.760]  This perfect storm is a huge threat to everyone's food supply.
[01:32:22.760 --> 01:32:27.760]  I just doubled down and got even more supplies from eFoodsDirect and I recommend you do the same.
[01:32:27.760 --> 01:32:30.760]  It's time to get your own supply from eFoodsDirect.
[01:32:30.760 --> 01:32:33.760]  I know I won't be standing in a bread line trading my freedom for food.
[01:32:33.760 --> 01:32:37.760]  I'm taking control of my future and you're nuts if you don't do the same.
[01:32:37.760 --> 01:32:41.760]  Go to eFoodsDirect.com forward slash Alex to find the specials
[01:32:41.760 --> 01:32:45.760]  and you can start with a holiday gift pack that's normally $80 now under 50 bucks.
[01:32:45.760 --> 01:32:48.760]  Remember, I can warn you but I can't feed you.
[01:32:48.760 --> 01:32:53.760]  Call 800-409-5633 or eFoodsDirect.com forward slash Alex.
[01:32:53.760 --> 01:32:57.760]  Would you rather prepare six months too early or one day too late?
[01:32:57.760 --> 01:33:01.760]  409-5633 or eFoodsDirect.com forward slash Alex.
[01:33:01.760 --> 01:33:08.760]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[01:33:31.760 --> 01:33:36.760]  Highway to the land now
[01:33:37.760 --> 01:33:42.760]  Highway to the land now
[01:33:47.760 --> 01:33:51.760]  Heading into twilight, spreading out wings tonight
[01:33:52.760 --> 01:33:56.760]  She got you jumping off the deck, shoving in the overdrive
[01:33:56.760 --> 01:33:59.760]  There is a mindset to criminals.
[01:33:59.760 --> 01:34:03.760]  There is a design to what they build
[01:34:03.760 --> 01:34:06.760]  over and over again throughout history.
[01:34:08.760 --> 01:34:13.760]  And there is a design to what Liberty Lovers build as well.
[01:34:15.760 --> 01:34:21.760]  And our enemies openly write books, Bertrand Russell and countless others,
[01:34:21.760 --> 01:34:27.760]  bragging that they've studied how good people fight collectivist and criminals throughout history
[01:34:27.760 --> 01:34:32.760]  and how in the final revolution they would slowly destroy the family,
[01:34:32.760 --> 01:34:37.760]  slowly drug the food and water, slowly put out mind-numbing propaganda
[01:34:37.760 --> 01:34:42.760]  and debasing information through culture, with culture against man,
[01:34:42.760 --> 01:34:48.760]  to destroy humanity once and for all so that they, the ascended ones, can be in full control.
[01:34:50.760 --> 01:34:54.760]  Well, they're not ascended to begin with with that type of worldview.
[01:34:54.760 --> 01:35:00.760]  I will assure you and they will never inherit the earth and they will fail.
[01:35:00.760 --> 01:35:05.760]  And their greatest attempt at destroying us will destroy them.
[01:35:06.760 --> 01:35:12.760]  But that does not mean that in the process of this, things are not going to get extremely rough.
[01:35:12.760 --> 01:35:15.760]  Now, I want to cover one more article in your calls,
[01:35:15.760 --> 01:35:19.760]  shifting gears out of the open announcement that they're coming to ban our guns.
[01:35:19.760 --> 01:35:23.760]  And on that subject, I want to say this, this doesn't have to happen.
[01:35:23.760 --> 01:35:28.760]  If we defeat them totally banning our semi-autos and registering everybody
[01:35:28.760 --> 01:35:33.760]  and making us turn in whatever guns they want and no gun by list, outside law,
[01:35:33.760 --> 01:35:36.760]  if we defeat all this, they will go back to saying,
[01:35:36.760 --> 01:35:41.760]  we never wanted your guns, it's preposterous, we never wanted to ban any of them.
[01:35:41.760 --> 01:35:43.760]  That's just insane.
[01:35:44.760 --> 01:35:47.760]  And we'll have to come back with all the clips and all the bills
[01:35:47.760 --> 01:35:51.760]  and all the admissions to just show the public what liars they are yet again.
[01:35:51.760 --> 01:35:54.760]  They never give up, we never give up.
[01:35:55.760 --> 01:35:58.760]  And so many lazy people, spiritually lazy, I think at a core level,
[01:35:58.760 --> 01:36:01.760]  think that, oh, I have to fight for my freedom again.
[01:36:01.760 --> 01:36:03.760]  I give up, I'm demoralized.
[01:36:03.760 --> 01:36:06.760]  It's in the fight that you get stronger.
[01:36:06.760 --> 01:36:10.760]  And it's in the fight each time that you're going to get stronger.
[01:36:11.760 --> 01:36:16.760]  Your ancestors went through absolute unmitigated hell
[01:36:16.760 --> 01:36:19.760]  so that you'd have a few basic freedoms.
[01:36:19.760 --> 01:36:23.760]  And speaking of basic freedoms, not this issue of the magazine,
[01:36:23.760 --> 01:36:26.760]  not the next, but the next I'm going to do on slavery.
[01:36:26.760 --> 01:36:28.760]  The fact that slavery is back.
[01:36:28.760 --> 01:36:33.760]  I saw an article where a lady opened up packages from China
[01:36:33.760 --> 01:36:36.760]  and found letters from people in slave camps.
[01:36:37.760 --> 01:36:42.760]  And China admittedly puts political dissidents for no reason in slave camps.
[01:36:42.760 --> 01:36:46.760]  Buddhist and Falun Gong and anybody that criticizes communism.
[01:36:46.760 --> 01:36:50.760]  And it just reminded me of all the real slavery going on today.
[01:36:50.760 --> 01:36:53.760]  That's why the media always wants to go, oh, black slavery.
[01:36:53.760 --> 01:36:55.760]  Not that it wasn't terrible,
[01:36:55.760 --> 01:36:58.760]  but so that you only think of slavery as something in the past
[01:36:58.760 --> 01:37:02.760]  and don't see all the modern configurations of it.
[01:37:02.760 --> 01:37:05.760]  And we just put that next article up on screen for viewers, please.
[01:37:06.760 --> 01:37:09.760]  We're seeing this with RG3,
[01:37:09.760 --> 01:37:13.760]  who's had all these black commentators come out in the last month
[01:37:13.760 --> 01:37:16.760]  and say he's not really black.
[01:37:16.760 --> 01:37:18.760]  And why?
[01:37:18.760 --> 01:37:23.760]  Because he says he likes people of all quote races
[01:37:23.760 --> 01:37:27.760]  and that he wants to be known for the character of his deeds
[01:37:27.760 --> 01:37:32.760]  and the content of his life, not his color.
[01:37:32.760 --> 01:37:35.760]  That's, by the way, paraphrasing Martin Luther King what he said.
[01:37:35.760 --> 01:37:38.760]  And why would the gangbanger types
[01:37:38.760 --> 01:37:41.760]  and why would the people on ESPN,
[01:37:41.760 --> 01:37:43.760]  the same ones that come out and say,
[01:37:43.760 --> 01:37:46.760]  ban guns, the Ku Klux Klan wants you to own guns,
[01:37:46.760 --> 01:37:48.760]  when the Klan actually wanted to ban guns?
[01:37:48.760 --> 01:37:50.760]  That's on record.
[01:37:50.760 --> 01:37:52.760]  They got the first gun laws passed.
[01:37:52.760 --> 01:37:53.760]  Why do they say that?
[01:37:53.760 --> 01:37:55.760]  Because they want us all fighting with each other over race
[01:37:55.760 --> 01:38:01.760]  and the power structure is threatened by a clean cut guy, Christian,
[01:38:01.760 --> 01:38:04.760]  with a great record who's articulate and very smart,
[01:38:04.760 --> 01:38:07.760]  who says, I don't want to be part of your gangbanger stuff.
[01:38:07.760 --> 01:38:11.760]  They're like, oh, this guy isn't in with the brothers.
[01:38:11.760 --> 01:38:12.760]  That's some of the quotes.
[01:38:12.760 --> 01:38:15.760]  And he's not really black in all this garbage.
[01:38:15.760 --> 01:38:17.760]  Because, ladies and gentlemen,
[01:38:17.760 --> 01:38:21.760]  the power structure elevates people that will create division.
[01:38:21.760 --> 01:38:25.760]  The most racist channel out there is MSNBC.
[01:38:25.760 --> 01:38:26.760]  You turn it on.
[01:38:26.760 --> 01:38:31.760]  I mean, it is just wall-to-wall bashing white people.
[01:38:31.760 --> 01:38:32.760]  And why is that done?
[01:38:32.760 --> 01:38:34.760]  The social engineers aren't stupid.
[01:38:34.760 --> 01:38:40.760]  They want white people tuning through those channels to think blacks all hate them,
[01:38:40.760 --> 01:38:43.760]  to create real racism.
[01:38:43.760 --> 01:38:46.760]  They want you to be a racist, but be a fake liberal,
[01:38:46.760 --> 01:38:50.760]  where you say the right things, but in truth, blacks don't like whites.
[01:38:50.760 --> 01:38:52.760]  Whites don't like blacks.
[01:38:52.760 --> 01:38:54.760]  Visa V.
[01:38:54.760 --> 01:38:57.760]  Fortune 500 funds LaRaza, Mecha,
[01:38:57.760 --> 01:39:00.760]  all these groups that say, for those inside the race,
[01:39:00.760 --> 01:39:03.760]  everything for those outside of the race, nothing.
[01:39:03.760 --> 01:39:06.760]  LaRaza means the race.
[01:39:06.760 --> 01:39:10.760]  The big mega corporations that are spiking the food with stuff
[01:39:10.760 --> 01:39:13.760]  that's absolutely annihilating people that have got Native American blood.
[01:39:13.760 --> 01:39:15.760]  That's what Hispanics are,
[01:39:15.760 --> 01:39:18.760]  Spanish bloodline mixed with Native American.
[01:39:18.760 --> 01:39:21.760]  They're just wiping them out.
[01:39:21.760 --> 01:39:22.760]  But as long as you tell them,
[01:39:22.760 --> 01:39:25.760]  I'm your friend, look, I hate white people.
[01:39:25.760 --> 01:39:28.760]  Again, you're not a true Hispanic,
[01:39:28.760 --> 01:39:32.760]  and you don't care about your LaRaza unless you hate white people.
[01:39:32.760 --> 01:39:35.760]  And they force feed that.
[01:39:35.760 --> 01:39:38.760]  Because they don't want us getting together against the New World Order.
[01:39:38.760 --> 01:39:41.760]  There's a few thousand globalist ladies and gentlemen.
[01:39:41.760 --> 01:39:45.760]  They want to play us off against each other.
[01:39:45.760 --> 01:39:46.760]  All right, I said I go to calls.
[01:39:46.760 --> 01:39:49.760]  We'll take calls to the balance of the broadcast and get to some more of these clips.
[01:39:49.760 --> 01:39:52.760]  I'm going to play Joe Biden saying he authored the assault weapons ban.
[01:39:52.760 --> 01:39:55.760]  But then in one speech, but another saying,
[01:39:55.760 --> 01:39:58.760]  we're not going to try to ban your semi-autos.
[01:39:58.760 --> 01:39:59.760]  We'll never do that.
[01:39:59.760 --> 01:40:02.760]  That's a conspiracy theory.
[01:40:02.760 --> 01:40:03.760]  And a lot more.
[01:40:03.760 --> 01:40:06.760]  It's just that folks better get the news here.
[01:40:06.760 --> 01:40:17.760]  The reason Hollywood puts out movies like machete and movies like Django
[01:40:17.760 --> 01:40:26.760]  is so it's fashionable and cool to hate white people.
[01:40:26.760 --> 01:40:28.760]  And you notice there's a lot of black folks who go see Django
[01:40:28.760 --> 01:40:29.760]  and they say this is horrible.
[01:40:29.760 --> 01:40:32.760]  This makes a joke out of this stuff.
[01:40:32.760 --> 01:40:37.760]  But that's the whole point is it's all exploitive and vampiric.
[01:40:37.760 --> 01:40:42.760]  You see Quentin Tarantino thinks he's real smart and real slick and real cool.
[01:40:42.760 --> 01:40:46.760]  Because he's part of the predator class now playing groups off against each other.
[01:40:46.760 --> 01:40:48.760]  And then he laughs is always just funny.
[01:40:48.760 --> 01:40:51.760]  It's an exploitive film, blah, blah, blah.
[01:40:51.760 --> 01:41:01.760]  No, no, it's meant to create division.
[01:41:01.760 --> 01:41:10.760]  And it's meant to distract, you see, from everything that's happening in this culture.
[01:41:10.760 --> 01:41:14.760]  And I ought to tell the Quentin Tarantino story, but I'm not going to tell it.
[01:41:14.760 --> 01:41:15.760]  I'm not going to tell it.
[01:41:15.760 --> 01:41:19.760]  I'm not going to get invited to things and then tell stories.
[01:41:19.760 --> 01:41:21.760]  I'm just going to shut up right now.
[01:41:21.760 --> 01:41:24.760]  Let's go ahead and go to your phone calls as promised.
