[00:00.000 --> 00:00.580]  Action.
[1:14:56.980 --> 1:15:09.980]  But again, how did his little boy, Hunter, get a job in Ukraine making 50 K plus a month and didn't know anything about the energy business who had been to Ukraine?
[1:15:09.980 --> 1:15:10.980]  What am I, six years old?
[1:15:10.980 --> 1:15:12.980]  I got to swallow this crap.
[1:15:12.980 --> 1:15:19.980]  And that's what the people are going to feel because they don't like Joe Biden already.
[1:15:19.980 --> 1:15:21.980]  He ain't that popular.
[1:15:21.980 --> 1:15:22.980]  All right, we're going to break.
[1:15:22.980 --> 1:15:27.980]  What are some of the other big trends coming out in your trends forecast for 2020?
[1:15:27.980 --> 1:15:29.980]  The New World Disorder.
[1:15:29.980 --> 1:15:37.980]  It's going on around the world from Ecuador to Chile to Sudan to Zimbabwe to Lebanon to France.
[1:15:37.980 --> 1:15:41.980]  This is going wild and add another one on to that.
[1:15:41.980 --> 1:15:42.980]  The homeless.
[1:15:42.980 --> 1:15:45.980]  We haven't seen the beginning of the homeless trend.
[1:15:45.980 --> 1:15:52.980]  All right, so break down the worldwide upsurge in rioting and homelessness and what's behind it. We'll be right back.
[1:16:16.980 --> 1:16:23.980]  The money is in the mining equipment used to manufacture dozens of critical digital assets, not a security IPO or note.
[1:16:23.980 --> 1:16:33.980]  Blockchain data centers have a proven turnkey equipment sale leaseback program with a 27% annualized lease payment deposited into your bank account each month.
[1:16:33.980 --> 1:16:34.980]  Don't miss this one.
[1:16:34.980 --> 1:16:35.980]  Stake your claim today.
[1:16:35.980 --> 1:16:38.980]  Call 800-600-3388.
[1:16:38.980 --> 1:16:41.980]  That's 800-600-3388.
[1:16:41.980 --> 1:16:43.980]  These valuable lease contracts won't last long.
[1:16:43.980 --> 1:16:46.980]  Call now 800-600-3388.
[1:16:46.980 --> 1:16:48.980]  800-600-3388.
[1:16:48.980 --> 1:16:54.980]  Equipment offer poses a financial risk to owners consult with financial professionals before purchasing not an offer to buy or sell a security which requires an offering document.
[1:16:54.980 --> 1:16:58.980]  Hunters, anglers, campers and survivalists, get back to nature.
[1:16:58.980 --> 1:17:05.980]  Expand your horizons with the highest quality, most versatile, unique sling shots and sling bows on the market at slingbow.com.
[1:17:05.980 --> 1:17:09.980]  Sling bow products are compact and models start from just 1798.
[1:17:09.980 --> 1:17:12.980]  They're perfect for your bug out bag or storing in your vehicle.
[1:17:12.980 --> 1:17:16.980]  Give yourself and your loved ones the excitement and tradition of sling bow.
[1:17:16.980 --> 1:17:21.980]  A new frontier in archery and truly modern twist on this primitive survival tool.
[1:17:21.980 --> 1:17:24.980]  Feel the thrill only at slingbow.com.
[1:17:24.980 --> 1:17:25.980]  Hi, I'm Dan Pilla.
[1:17:25.980 --> 1:17:29.980]  I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[1:17:29.980 --> 1:17:30.980]  I sued the IRS in one.
[1:17:30.980 --> 1:17:33.980]  I beat the IRS then and I've been beating them ever since.
[1:17:33.980 --> 1:17:39.980]  I wrote the book on tax debt settlement and I've helped thousands of people deal with tax problems they thought might never be solved.
[1:17:39.980 --> 1:17:40.980]  I can help you too.
[1:17:40.980 --> 1:17:43.980]  If you owe taxes you can't pay, don't wait another day.
[1:17:43.980 --> 1:17:45.980]  There's no such thing as a hopeless tax case.
[1:17:45.980 --> 1:17:50.980]  Call 800-34-NO-TAX or go to my website, danpilla.com.
[1:17:50.980 --> 1:17:53.980]  That's danpilla.com, danpilla.com.
[1:17:55.980 --> 1:17:58.980]  It's time to take yourself to the next level.
[1:17:58.980 --> 1:18:02.980]  It doesn't matter if you're a man, doesn't matter if you're a woman, doesn't matter if you're old or young.
[1:18:02.980 --> 1:18:07.980]  As you age, pregnant known levels in the body go down.
[1:18:07.980 --> 1:18:11.980]  Now in 60 seconds I don't have time to tell you what pregnant known does.
[1:18:11.980 --> 1:18:18.980]  But look into the fact that they've been prescribing it since the 1920s for people that have arthritis.
[1:18:18.980 --> 1:18:20.980]  And then it just gets wilder from there.
[1:18:20.980 --> 1:18:26.980]  Medical science knows all about this but they suppress information about pregnant known.
[1:18:26.980 --> 1:18:33.980]  We've got the best form of pregnant known with a bunch of high quality vitamins and minerals in real red pill.
[1:18:33.980 --> 1:18:36.980]  Real red pill plus has some added energy as well.
[1:18:36.980 --> 1:18:42.980]  Now you can get it for 65% off with a free bottle of Biotrus selenium that's from the mustard seed.
[1:18:42.980 --> 1:18:44.980]  The two go together in an incredible way.
[1:18:44.980 --> 1:18:53.980]  The real red pill and real red pill plus 65% off with a free bottle of Biotrus selenium at infowarstore.com through the new year.
[1:18:53.980 --> 1:18:56.980]  Change your life, take yourself to the next level.
[1:18:56.980 --> 1:19:04.980]  The 12 days of Christmas Super Sale has come to Info Wars with free shipping store wide and double Patriot points.
[1:19:04.980 --> 1:19:08.980]  Don't shop with Amazon or other big tech companies that hate your guts.
[1:19:08.980 --> 1:19:12.980]  Take the Info Wars Christmas Challenge and support the fight for freedom.
[1:19:12.980 --> 1:19:16.980]  Finish your Christmas shopping with one click and support the Info War.
[1:19:16.980 --> 1:19:29.980]  For the 12 days of Christmas we're adding a new special every day plus free shipping, double Patriot points and extra stickers in every package to be good little elves and spread the Info War triggering Lib Tards.
[1:19:29.980 --> 1:19:32.980]  Check in every day to find the new deals.
[1:19:32.980 --> 1:19:35.980]  We're also coming out of the gates with specials we've never had before.
[1:19:35.980 --> 1:19:39.980]  The Christmas Mega Pack is at cost at $99.95.
[1:19:39.980 --> 1:19:50.980]  Get two bottles of Knockout, two bottles of Brain Force Plus, one box of Turbo Force, one bottle of Ultimate Krill Oil and one bottle of Survival Shield X3 at cost.
[1:19:50.980 --> 1:20:06.980]  Again, find this amazing special and over 100 others at infowarstore.com and support the Info War.
[1:20:20.980 --> 1:20:32.980]  Carol Solente with TrendsResearch.com is our guest.
[1:20:32.980 --> 1:20:34.980]  He's got his big friends.
[1:20:34.980 --> 1:20:37.980]  Next year coming out, find more details there on the site.
[1:20:37.980 --> 1:20:39.980]  Find his daily shows he does as well.
[1:20:39.980 --> 1:20:41.980]  Also guest host with us.
[1:20:41.980 --> 1:20:42.980]  We really appreciate it.
[1:20:42.980 --> 1:20:44.980]  We only hear a few more minutes.
[1:20:44.980 --> 1:20:51.980]  Plunging into global trends, you have been for a long time saying homelessness is going to increase.
[1:20:51.980 --> 1:20:57.980]  Civil unrest is going to get really bad and you've been tracking that very accurately.
[1:20:57.980 --> 1:21:03.980]  Tell us what's happening and then tell us why it's happening and then where you think it's going.
[1:21:03.980 --> 1:21:09.980]  What's happening on the New World Disorder, it's basically one issue, income inequality.
[1:21:09.980 --> 1:21:14.980]  You know what I say, when people lose everything and have nothing left to lose, they lose it and they're losing it.
[1:21:14.980 --> 1:21:18.980]  They're fighting for their lives.
[1:21:18.980 --> 1:21:20.980]  So now think about it.
[1:21:20.980 --> 1:21:22.980]  You think we have an immigration problem now?
[1:21:22.980 --> 1:21:26.980]  We haven't seen anything yet because the global economy is slowing down.
[1:21:26.980 --> 1:21:27.980]  That's a fact.
[1:21:27.980 --> 1:21:28.980]  It's there.
[1:21:28.980 --> 1:21:33.980]  You're seeing these revolutions in civil wars and demonstrations and unrest all over the globe.
[1:21:33.980 --> 1:21:45.980]  As I said, Ecuador, Chile, Colombia, Bolivia, Peru, Lebanon, Hong Kong, Algeria, Sudan, Zimbabwe.
[1:21:45.980 --> 1:21:47.980]  You go all over the world.
[1:21:47.980 --> 1:21:49.980]  Now the economy slows down.
[1:21:49.980 --> 1:21:51.980]  Go back to 1930.
[1:21:51.980 --> 1:21:54.980]  You had two billion people on the planet.
[1:21:54.980 --> 1:21:58.980]  In 90 years, we had 5.5 billion people.
[1:21:58.980 --> 1:22:00.980]  Now you've got to slow down an economy.
[1:22:00.980 --> 1:22:02.980]  You have civil unrest.
[1:22:02.980 --> 1:22:10.980]  You're going to try to leave where they are because of war, because of violence, because of corruption, because of poverty.
[1:22:10.980 --> 1:22:12.980]  So now where are they going to go?
[1:22:12.980 --> 1:22:15.980]  They're going to try to go to places where they're going to be safe.
[1:22:15.980 --> 1:22:17.980]  Are they going to find jobs?
[1:22:17.980 --> 1:22:18.980]  No.
[1:22:18.980 --> 1:22:25.980]  You're not going to find jobs in America because this economy is not creating those kind of jobs and we're seeing more and more homeless.
[1:22:25.980 --> 1:22:31.980]  There's going to be homeless problems all over the world in a city town village near you.
[1:22:31.980 --> 1:22:35.980]  There's going to increase and they're doing nothing to prepare for this.
