[00:00.000 --> 00:13.000]  They took my saddle in history, broke my leg in the Saturday, lost my wife and a girlfriend
[1:41:53.000 --> 1:41:59.000]  EmRick's Essentials, he's all about personal care, hygiene, not getting skin cancer,
[1:41:59.000 --> 1:42:03.000]  not getting bit by a bunch of bugs and, you know, gnats and mosquitoes.
[1:42:03.000 --> 1:42:04.000]  It's all there.
[1:42:04.000 --> 1:42:11.000]  The body wash, the shampoo, the deodorant, the mouthwash, all of it is truly game changing.
[1:42:11.000 --> 1:42:19.000]  BOA spray, totally organic, essential oils, works a lot better than the toxic chemical systems that are out there.
[1:42:19.000 --> 1:42:23.000]  And it is comparable in price and, again, is concentrated.
[1:42:23.000 --> 1:42:28.000]  The deodorant is amazing, high quality, doesn't have the aluminum garbage in it.
[1:42:28.000 --> 1:42:30.000]  Totally natural, works great.
[1:42:30.000 --> 1:42:35.000]  SPF 30, face and body lotion, sunscreen, unscented.
[1:42:35.000 --> 1:42:40.000]  This is exciting because so many of the so-called sunstreets that are out there are toxic.
[1:42:40.000 --> 1:42:43.000]  As everyone knows, I'm obsessed with win-wins.
[1:42:43.000 --> 1:42:45.000]  20% off what it is, retail.
[1:42:45.000 --> 1:42:51.000]  Because we cut out the middleman, and then additionally, you sign up for auto-ship out of the gates.
[1:42:51.000 --> 1:42:55.000]  25% off that because I want you to try these products.
[1:42:55.000 --> 1:42:56.000]  I want you to love these products.
[1:42:56.000 --> 1:43:04.000]  I want to have a deeper relationship with you in a 360 win, a non-zero sum game, where you get high quality, you get value,
[1:43:04.000 --> 1:43:08.000]  and you repeat order something you need every month.
[1:43:08.000 --> 1:43:13.000]  And then we're able to secure our funding into the future to not just stay at the level we're at,
[1:43:13.000 --> 1:43:16.000]  but to grow in the face of enemy attacks.
[1:43:16.000 --> 1:43:21.000]  M4WarsLife.com, M4WarsStore.com, and you'll find EmRick's Essentials.
[1:43:23.000 --> 1:43:27.000]  Alright folks, I'm done with the long plug, and I appreciate Jules Cowleson sitting there for 10 minutes while I was ranting.
[1:43:27.000 --> 1:43:29.000]  Let me just give you the breaking news.
[1:43:31.000 --> 1:43:34.000]  At the start of the next segment, because I still got to make these phone calls,
[1:43:34.000 --> 1:43:40.000]  because I've been giving a lot of big news from the White House, from two different sources today and then another source.
[1:43:40.000 --> 1:43:45.000]  And you notice our leaks always turn out to be accurate. These are real sources, the Patriots that are there.
[1:43:47.000 --> 1:43:53.000]  And I'm trying to figure out exactly how to put this out the right way, because the limited information I've been given,
[1:43:53.000 --> 1:43:56.000]  I don't want them to spin it and say I got it wrong.
[1:43:56.000 --> 1:43:58.000]  But let's go back to Jules Cowleson.
[1:43:58.000 --> 1:44:03.000]  Joel, I'm going to try to shut up and let you for the next 15-20 minutes talk about where we're at, the crossroads.
[1:44:03.000 --> 1:44:06.000]  Where do we go if they defeat Trump?
[1:44:06.000 --> 1:44:08.000]  What type of world do the globalists want to build?
[1:44:08.000 --> 1:44:10.000]  Why are they so desperate to bring him down?
[1:44:10.000 --> 1:44:15.000]  How could Trump strike back if he was actually listening to you or myself or others?
[1:44:15.000 --> 1:44:19.000]  The word is he does go in and try to do stuff and they just ignore him everywhere.
[1:44:19.000 --> 1:44:23.000]  I know top-level folks are telling him, so is the military, go ahead and just purge basically everybody.
[1:44:23.000 --> 1:44:29.000]  I know you try to lead a movement to restore things in Washington. What do you think we should do?
[1:44:30.000 --> 1:44:37.000]  Well, it's really tough, because in the government you have so many thousands of people that staff these positions.
[1:44:37.000 --> 1:44:42.000]  And, you know, Trump took the advice of Ryan's Previews and other people putting in establishment people.
[1:44:42.000 --> 1:44:55.000]  I mean, look at the leaks. When we last talked, I said this leak aspect about the laptop computer explosive device was just shows how bad it is in the White House.
[1:44:55.000 --> 1:45:04.000]  I mean, none of the principles that were actually in the meeting with the Russians, Tillerson, Dana Powell, and the McMasters, leaked anything to anyone.
[1:45:04.000 --> 1:45:08.000]  And so all of a sudden you have these claims that, you know, he's compromised sources.
[1:45:08.000 --> 1:45:16.000]  He's told where this information came from and these people, this third party, this ally is not going to give us any, that's baloney, of course.
[1:45:16.000 --> 1:45:25.000]  But the point is, here's a leak in the White House that they're basically proving and Trump should know this isn't a private meeting.
[1:45:25.000 --> 1:45:34.000]  There are people in his very White House, this was watching whether through wire, not wire taps, but microphones in the room, etc.
[1:45:34.000 --> 1:45:39.000]  and was leaking the press immediately after this meeting with Lavrov.
[1:45:39.000 --> 1:45:48.000]  This is just incredible. Now, how do you get rid of this? Well, it's very, very difficult because, you know, to get proof of who's doing the leaking stuff,
[1:45:48.000 --> 1:45:54.000]  you've got to control the NSA and the dark side of government, the deep state controls the NSA.
[1:45:54.000 --> 1:45:59.000]  But there were no essential secrets that were passed. This was made up out of a whole cloth.
[1:45:59.000 --> 1:46:08.000]  This was another fake intelligence like the Russian thing. But, you know, they can do this at will every single day of the week because Trump is full,
[1:46:08.000 --> 1:46:14.000]  Trump's administration is full of traders, basically, to not only Trump, but the United States.
[1:46:14.000 --> 1:46:21.000]  So, to clean house, first of all, you'd have to really protect yourself because you think the attack on Trump is bad.
[1:46:21.000 --> 1:46:25.000]  If he started a really clean house in the deep state, they would clearly assassinate him.
[1:46:25.000 --> 1:46:28.000]  They would never let a person, you know, get away with this.
[1:46:28.000 --> 1:46:36.000]  So, you'd have to actually go into a closed situation where you pick your secret service.
[1:46:36.000 --> 1:46:42.000]  Trump can exercise good judgment about people. He doesn't usually, but he can.
[1:46:42.000 --> 1:46:50.000]  But you'd have to be able to do that to make sure that the secret service that was involved in the JFK assassination did not take you down.
[1:46:50.000 --> 1:46:53.000]  And it's very difficult to do that.
[1:46:53.000 --> 1:47:01.000]  But if Trump was listening to me, I would say, you know, Mr. President, you have really got to, first of all, take time out.
[1:47:01.000 --> 1:47:08.000]  You've got to get, I mean, you can't relearn what Alex Jones and Joel Scowze and took, you know, 20, 30 years of our lives to learn.
[1:47:08.000 --> 1:47:14.000]  You've got to have an advisor in here who's going to parry what you're hearing.
[1:47:14.000 --> 1:47:20.000]  If you sit by your side and says, all right, this is false, this is true, this is bogus, and this is where to get the right information.
[1:47:20.000 --> 1:47:29.000]  I don't know how you can survive, Mr. President, without somebody from our side who understands the great evil of secret combinations.
[1:47:29.000 --> 1:47:31.000]  And they are combinations of power.
[1:47:31.000 --> 1:47:39.000]  I get news feeds, for example, hundreds of times a day, and they are covering Alex Jones more than I have ever seen in my entire life before.
[1:47:39.000 --> 1:47:41.000]  And none of it is positive.
[1:47:41.000 --> 1:47:52.000]  They're taking plot shots at Alex from media matters and from CNN and from ABC and NBC and every other news congregator is attacking him because why?
[1:47:52.000 --> 1:47:53.000]  He's effective.
[1:47:53.000 --> 1:48:00.000]  And that's why they've tried to cut off your, you know, your funding sources, Alex, because they know they've got to get to you some way.
[1:48:00.000 --> 1:48:01.000]  You're being effective.
[1:48:01.000 --> 1:48:04.000]  I mean, for example, Trump has done some good things.
[1:48:04.000 --> 1:48:22.000]  He, for example, opened up the federal databases so that his election investigation on illegal aliens can get the data from the federal database of how many people are on the election rolls that are also illegal immigrants or have green cards that are not citizens.
[1:48:22.000 --> 1:48:24.000]  And Obama would not give that information.
[1:48:24.000 --> 1:48:26.000]  So there's some real positive things.
[1:48:26.000 --> 1:48:33.000]  I mean, he's arming the Kurds despite Erdogan of Turkey's objections.
[1:48:33.000 --> 1:48:35.000]  And I think that's a good move.
[1:48:35.000 --> 1:48:43.000]  But still, you know, you've really got to get attack the deep state and go after the deep state if you're going to win this battle.
[1:48:43.000 --> 1:48:45.000]  And how does he do that?
[1:48:45.000 --> 1:48:57.000]  Because constitutionally, if a president's face with a borrowed outside power, a 21st century espionage multinational system like globalism is, I'm not calling for a hot war.
[1:48:57.000 --> 1:48:59.000]  I'm not calling for anything.
[1:48:59.000 --> 1:49:06.000]  But quite frankly, I think a government this infiltrated a country under attack with the New Yorker magazine saying we should have never had 1776.
[1:49:06.000 --> 1:49:08.000]  George Washington was bad.
[1:49:08.000 --> 1:49:11.000]  At a certain point, the president could cut the cancer out.
[1:49:11.000 --> 1:49:14.000]  I'm not somebody that ever wants some type of military action.
[1:49:14.000 --> 1:49:25.000]  But if we really are facing basically lymphatic cancer and then we don't move to cut it out, we're just buying time.
[1:49:25.000 --> 1:49:32.000]  Well, as I say, you have to surgically remove what's going on.
[1:49:32.000 --> 1:49:36.000]  You certainly cannot let the deep state continue to sabotage you.
[1:49:36.000 --> 1:49:38.000]  And that really takes someone to go inside.
[1:49:38.000 --> 1:49:39.000]  I mean, you can't fight.
[1:49:39.000 --> 1:49:40.000]  How does he do that?
[1:49:40.000 --> 1:49:42.000]  I mean, how does he move?
[1:49:42.000 --> 1:49:44.000]  Because, I mean, they call him meeting with the Russians selling out.
[1:49:44.000 --> 1:49:48.000]  They call him talking about going after cop killers as being fascism.
[1:49:48.000 --> 1:49:49.000]  We're so paralyzed.
[1:49:49.000 --> 1:49:51.000]  What does he do?
[1:49:51.000 --> 1:49:59.000]  What does he do, Joel?
[1:49:59.000 --> 1:50:01.000]  Yeah, I did hear the question.
[1:50:01.000 --> 1:50:03.000]  I'm just that it's delayed.
[1:50:03.000 --> 1:50:07.000]  You know, I can, I could see it if I were in there.
[1:50:07.000 --> 1:50:09.000]  You know, you've got to have some perception.
[1:50:09.000 --> 1:50:17.000]  I'm just not sure that Trump can see it without somebody who he trusts that he can bring in to do the job for him.
[1:50:17.000 --> 1:50:19.000]  I mean, you've got to have an understanding.
