[00:00.000 --> 00:02.000]  Wait and feel great!
[59:04.700 --> 59:08.700]  that's all that we're commissioning to see for.
[59:08.700 --> 59:10.700]  The day that we stop asking questions
[59:10.700 --> 59:13.700]  is the day that we have allowed the seeds of despotism
[59:13.700 --> 59:15.700]  to grow at our own door.
[59:15.700 --> 59:18.700]  Seven years after the attacks of September 11,
[59:18.700 --> 59:21.700]  a global awakening has taken place.
[59:21.700 --> 59:23.700]  An inside job.
[59:23.700 --> 59:25.700]  How dare you?
[59:25.700 --> 59:27.700]  I don't think that's the subject, sir.
[59:27.700 --> 59:28.700]  9-11.
[59:28.700 --> 59:29.700]  If you know that there's treason going on,
[59:29.700 --> 59:31.700]  you can be held accountable for treason yourself.
[59:31.700 --> 59:34.700]  All hell is breaking loose on 6th Avenue.
[59:34.700 --> 59:36.700]  And if the government has not told the truth
[59:36.700 --> 59:40.700]  in five years, we will be here on the 10th anniversary of 9-11.
[59:40.700 --> 59:41.700]  Please rise.
[59:41.700 --> 59:43.700]  Download the film at prisonplanet.tv right now
[59:43.700 --> 59:45.700]  or get the DVD at infowars.com.
[59:45.700 --> 59:48.700]  It's now time to take the revolution to the next level.
[59:51.700 --> 59:53.700]  Waging war on corruption.
[59:53.700 --> 1:00:03.700]  Alex Jones on the GCN Radio Network.
[1:00:03.700 --> 1:00:05.700]  All right, Don.
[1:00:05.700 --> 1:00:10.700]  Yes, CO2 is just used at almost every type of manufacturing,
[1:00:10.700 --> 1:00:14.700]  imaginable, soft drinks.
[1:00:14.700 --> 1:00:17.700]  The oceans are free.
[1:00:17.700 --> 1:00:20.700]  The ocean is free.
[1:00:20.700 --> 1:00:23.700]  The ocean is free.
[1:00:23.700 --> 1:00:26.700]  The ocean is free.
[1:00:26.700 --> 1:00:28.700]  The ocean is free.
[1:00:28.700 --> 1:00:31.700]  The ocean is free.
[1:00:31.700 --> 1:00:34.700]  The oceans are filled with it.
[1:00:34.700 --> 1:00:36.700]  The atmospheres of the plants breathe.
[1:00:36.700 --> 1:00:39.700]  But it's the perfect thing to restrict.
[1:00:39.700 --> 1:00:41.700]  It's what humans exhale.
[1:00:41.700 --> 1:00:43.700]  And as the club of rums said,
[1:00:43.700 --> 1:00:45.700]  Richard in Haas has a CFR writing for them.
[1:00:45.700 --> 1:00:48.700]  He said it's about making humans the enemy
[1:00:48.700 --> 1:00:52.700]  and the state is the solution to deal with the enemy.
[1:00:52.700 --> 1:00:54.700]  So it's about making us bad.
[1:00:54.700 --> 1:00:56.700]  Alan, what?
[1:00:56.700 --> 1:00:59.700]  Yes, that's in the book, The First Global Revolution.
[1:00:59.700 --> 1:01:02.700]  And that's put out by the club of rums.
[1:01:02.700 --> 1:01:04.700]  And they said that back in the 70s,
[1:01:04.700 --> 1:01:06.700]  they were looking at a way to unite the planet
[1:01:06.700 --> 1:01:08.700]  and allow the public to be dominated,
[1:01:08.700 --> 1:01:10.700]  to allow themselves to be dominated.
[1:01:10.700 --> 1:01:12.700]  And they said that they hit upon the idea
[1:01:12.700 --> 1:01:15.700]  of making man the enemy to an environment.
[1:01:15.700 --> 1:01:18.700]  And they said that global warming was caused by man.
[1:01:18.700 --> 1:01:20.700]  They said that would fit the bill.
[1:01:20.700 --> 1:01:21.700]  That excuse would fit the bill.
[1:01:21.700 --> 1:01:22.700]  Yeah, that's a quote.
[1:01:22.700 --> 1:01:23.700]  Now, this is published publicly.
[1:01:23.700 --> 1:01:25.700]  Now, think about this.
[1:01:25.700 --> 1:01:27.700]  Listeners, openly saying it's fake
[1:01:27.700 --> 1:01:30.700]  and openly saying they want a global state
[1:01:30.700 --> 1:01:34.700]  waging war against the individual and exterminating us.
[1:01:34.700 --> 1:01:36.700]  These are not nice people.
[1:01:36.700 --> 1:01:38.700]  Alan, any comments on that, Don?
[1:01:38.700 --> 1:01:43.700]  And what we know too is that the club of rums
[1:01:43.700 --> 1:01:46.700]  is not just a think tank, it's a premier think tank
[1:01:46.700 --> 1:01:48.700]  that creates strategy for the future
[1:01:48.700 --> 1:01:51.700]  and hands it to governments to put into policy.
[1:01:51.700 --> 1:01:53.700]  Meanwhile, you have all these well-meaning liberals
[1:01:53.700 --> 1:01:56.700]  and mainline people and having global warming parties
[1:01:56.700 --> 1:01:59.700]  and getting involved in knifing tires of SUVs.
[1:01:59.700 --> 1:02:02.700]  I'm proving, oh, I'm so loving.
[1:02:02.700 --> 1:02:06.700]  And then now Obama openly has announced these youth brigades,
[1:02:06.700 --> 1:02:08.700]  three million men, environmental squads,
[1:02:08.700 --> 1:02:10.700]  one million men, domestic spy force.
[1:02:10.700 --> 1:02:12.700]  He says it on TV.
[1:02:12.700 --> 1:02:14.700]  His chief of staff says it.
[1:02:14.700 --> 1:02:15.700]  All of them do it.
[1:02:15.700 --> 1:02:17.700]  He puts it on his website and pulls it off.
[1:02:17.700 --> 1:02:19.700]  And I'm getting hundreds of emails every day, Alan,
[1:02:19.700 --> 1:02:21.700]  saying I'm a liar.
[1:02:21.700 --> 1:02:24.700]  I mean, they openly, and then I was watching PBS Sunday,
[1:02:24.700 --> 1:02:26.700]  a show called Fueled.
[1:02:26.700 --> 1:02:29.700]  And they had a round table on PBS
[1:02:29.700 --> 1:02:31.700]  with Robert Kennedy and others saying,
[1:02:31.700 --> 1:02:33.700]  we're going to take everybody out of work
[1:02:33.700 --> 1:02:35.700]  and have them work for the environment,
[1:02:35.700 --> 1:02:36.700]  fighting for the environment.
[1:02:36.700 --> 1:02:39.700]  Can you imagine all these dumb-down fluoride heads
[1:02:39.700 --> 1:02:42.700]  sterilized, running around, literal zombie creatures
[1:02:42.700 --> 1:02:46.700]  coming after us that know what's going on?
[1:02:46.700 --> 1:02:49.700]  Does the government give them a little uniform?
[1:02:49.700 --> 1:02:50.700]  That is right.
[1:02:50.700 --> 1:02:53.700]  And what the club of rums also said about that agenda
[1:02:53.700 --> 1:02:56.700]  was that the only time that the public will allow themselves
[1:02:56.700 --> 1:03:00.700]  to be completely ruled, 100%, is during a war scenario.
[1:03:00.700 --> 1:03:03.700]  And therefore, they'd have to make a war scenario
[1:03:03.700 --> 1:03:06.700]  to do with an environment and man against the planet.
[1:03:06.700 --> 1:03:09.700]  And then they would change all of society by the laws.
[1:03:09.700 --> 1:03:11.700]  They would then introduce.
[1:03:11.700 --> 1:03:13.700]  So it's a war scenario.
[1:03:13.700 --> 1:03:15.700]  They're using all the techniques right now.
[1:03:15.700 --> 1:03:16.700]  So you're quite right.
[1:03:16.700 --> 1:03:18.700]  A land army was spoken about, the First Earth Army
[1:03:18.700 --> 1:03:20.700]  at NATO of all places.
[1:03:20.700 --> 1:03:23.700]  And actually, NASA came out with it.
[1:03:23.700 --> 1:03:25.700]  And they now have it, yeah.
[1:03:25.700 --> 1:03:27.700]  And they mentioned, let's get more into that after the calls,
[1:03:27.700 --> 1:03:29.700]  but they also mentioned the other part of the pincer.
[1:03:29.700 --> 1:03:34.700]  It says, fake environmentalism, carbon tax, terrorism,
[1:03:34.700 --> 1:03:36.700]  threat of stage terror.
[1:03:36.700 --> 1:03:40.700]  And then like a beetle grabbing a wasp, he's got you.
[1:03:40.700 --> 1:03:44.700]  Pincer attack, fake terror, fake environment.
[1:03:44.700 --> 1:03:45.700]  Got you.
[1:03:45.700 --> 1:03:47.700]  Yeah, that's right.
[1:03:47.700 --> 1:03:49.700]  That's due to a lot of your plexi-analogy.
[1:03:49.700 --> 1:03:53.700]  Your alternation of children at kindergarten now is terrifying
[1:03:53.700 --> 1:03:58.700]  because they're going to grow up to be real staunch environmentalists.
[1:03:58.700 --> 1:04:01.700]  And you can see it all coming, what's been planned.
[1:04:01.700 --> 1:04:04.700]  They always go for the youngsters to train them for their role
[1:04:04.700 --> 1:04:05.700]  when they're adults.
[1:04:05.700 --> 1:04:07.700]  Well, you saw these articles in the New York Times and others
[1:04:07.700 --> 1:04:10.700]  where, I'm glad my three-year-old and five-year-old
[1:04:10.700 --> 1:04:12.700]  rebuke me for taking a hot bath.
[1:04:12.700 --> 1:04:13.700]  I won't anymore.
[1:04:13.700 --> 1:04:15.700]  I'm glad my children are my bosses.
[1:04:15.700 --> 1:04:18.700]  So reversing roles with mindless five-year-old Nazis
[1:04:18.700 --> 1:04:20.700]  in red and black uniforms, climate cops,
[1:04:20.700 --> 1:04:22.700]  we're not making it up, just storming around,
[1:04:22.700 --> 1:04:24.700]  deporting everyone.
[1:04:24.700 --> 1:04:26.700]  Oh, it's so good.
[1:04:26.700 --> 1:04:28.700]  I mean, how did you make this up, Alan?
[1:04:28.700 --> 1:04:30.700]  It's too insane.
[1:04:30.700 --> 1:04:33.700]  Yeah, and George Orwell had that in his book.
[1:04:33.700 --> 1:04:35.700]  Can you see it in the movie to the British version
[1:04:35.700 --> 1:04:38.700]  with Richard Burton, excellent movie in 1984?
[1:04:38.700 --> 1:04:39.700]  The Spies.
[1:04:39.700 --> 1:04:41.700]  The children have little uniforms on.
[1:04:41.700 --> 1:04:44.700]  They call the adults thought criminals are going to report them.
[1:04:44.700 --> 1:04:45.700]  This is all here.
[1:04:45.700 --> 1:04:49.700]  And the uniform is red and black, just as it is now in England and the US.
[1:04:49.700 --> 1:04:52.700]  Red and black uniforms, kids running around.
[1:04:52.700 --> 1:04:54.700]  By 15, they give them machine guns.
[1:04:54.700 --> 1:04:56.700]  We're going to skip this break for Internet listeners.
[1:04:56.700 --> 1:04:58.700]  I'm going to let Don finish up in Costa Rica.
[1:04:58.700 --> 1:04:59.700]  Here we go.
[1:04:59.700 --> 1:05:02.700]  Break the law and you're caught on film.
[1:05:02.700 --> 1:05:05.700]  Practically impossible for police to spot plates
[1:05:05.700 --> 1:05:07.700]  that have been treated with a reflective spray.
[1:05:07.700 --> 1:05:09.700]  The reflection blinded our camera.
[1:05:09.700 --> 1:05:11.700]  We are under the microscope.
[1:05:11.700 --> 1:05:13.700]  Red light cameras and speed cameras are in place to make money,
[1:05:13.700 --> 1:05:16.700]  not for your safety, but you don't have to be defenseless
[1:05:16.700 --> 1:05:18.700]  against these unconstitutional devices.
[1:05:18.700 --> 1:05:21.700]  Have a fighting chance with sprayyourplate.com's photo blocker.
[1:05:21.700 --> 1:05:24.700]  When properly applied, this revolutionary product has proven itself
[1:05:24.700 --> 1:05:27.700]  to be the most effective device available against traffic cameras.
[1:05:27.700 --> 1:05:30.700]  Invisible to the naked eye, your license plate when flashed
[1:05:30.700 --> 1:05:33.700]  will be overexposed and unreadable to the cameras.
[1:05:33.700 --> 1:05:34.700]  Save your money.
[1:05:34.700 --> 1:05:36.700]  Go to sprayyourplate.com.
[1:05:36.700 --> 1:05:38.700]  That's sprayyourplate.com and check out the newscast
[1:05:38.700 --> 1:05:40.700]  showing the photo blocker in action,
[1:05:40.700 --> 1:05:43.700]  proving that the sprayyourplate's photo blocker works against traffic cameras.
[1:05:43.700 --> 1:05:45.700]  Go to sprayyourplate.com
[1:05:45.700 --> 1:05:49.700]  or call 1-800-276-9601.
[1:05:49.700 --> 1:05:53.700]  That's 1-800-276-9601.
[1:05:53.700 --> 1:05:54.700]  Don't give your money to the state.
[1:05:54.700 --> 1:05:55.700]  Spray your plate.
[1:05:55.700 --> 1:05:58.700]  And when the cameras flashed, you'll save some cash.
[1:05:58.700 --> 1:06:02.700]  A day unlike any other in the long course of American history,
[1:06:02.700 --> 1:06:05.700]  a terrorist act of war against this country.
[1:06:05.700 --> 1:06:08.700]  The enemies struck America on September 11th.
[1:06:08.700 --> 1:06:09.700]  Who is the enemy?
[1:06:09.700 --> 1:06:10.700]  bin Laden.
[1:06:10.700 --> 1:06:11.700]  This is his MO.
[1:06:11.700 --> 1:06:13.700]  We have to look to the Middle East.
[1:06:13.700 --> 1:06:15.700]  We have to look to Osama bin Laden.
[1:06:15.700 --> 1:06:18.700]  Fabled Enemies is the first 9-11 film to take a close look
[1:06:18.700 --> 1:06:22.700]  at the terrorist ties to intelligence networks inside the United States.
[1:06:22.700 --> 1:06:25.700]  Some U.S. investigators believe that there are Israelis again
[1:06:25.700 --> 1:06:28.700]  very much engaged in spying in and on the U.S.
[1:06:28.700 --> 1:06:32.700]  I'm aware that some Israeli citizens have been detained.
[1:06:32.700 --> 1:06:34.700]  Bin Laden's connections to the CIA,
[1:06:34.700 --> 1:06:36.700]  the hijackers' ties to the FBI,
[1:06:36.700 --> 1:06:38.700]  the Saudi Arabian connection,
[1:06:38.700 --> 1:06:40.700]  the Israeli intelligence network,
[1:06:40.700 --> 1:06:41.700]  warnings in war games,
[1:06:41.700 --> 1:06:42.700]  the shadow government,
[1:06:42.700 --> 1:06:43.700]  and much, much more,
[1:06:43.700 --> 1:06:44.700]  fabled enemies.
[1:06:44.700 --> 1:06:46.700]  Get the DVD at infowars.com
[1:06:46.700 --> 1:06:48.700]  or see it in super high quality,
[1:06:48.700 --> 1:06:52.700]  along with hundreds of other titles at prisonplanet.tv.
[1:06:52.700 --> 1:06:54.700]  Either you are with us,
[1:06:54.700 --> 1:06:56.700]  or you are with the terrorists.
[1:06:59.700 --> 1:07:02.700]  If a low credit score is keeping you from getting the car,
[1:07:02.700 --> 1:07:04.700]  home, business loan, or credit cards you deserve,
[1:07:04.700 --> 1:07:06.700]  this message is for you.
[1:07:06.700 --> 1:07:09.700]  RadioCreditSecrets.com can show you how to raise your credit score
[1:07:09.700 --> 1:07:13.700]  up to 249 points in the next 90 days or less.
[1:07:13.700 --> 1:07:16.700]  RadioCreditSecrets.com has successfully shown others
