[00:00:06.096 --> 00:00:09.438]  Friday, November 25th, 2022.
[01:19:56.297 --> 01:20:04.980]  Continue to keep InfoWars alive because in the process, you're leading a frontal assault on the lies of the New World Order.
[01:20:04.980 --> 01:20:06.281]  It's Alex Jones.
[01:20:15.590 --> 01:20:25.732]  It's election day 2022 as the American people attempt to wrest control of their country from the WF and the New World Order.
[01:20:25.732 --> 01:20:30.733]  The national polls show close to half the Americans know there's a New World Order and it's their enemy.
[01:20:30.733 --> 01:20:32.894]  Soon it'll be 78 percent.
[01:20:32.894 --> 01:20:37.195]  Make no mistake, we're winning, but the enemy is going to double down.
[01:20:37.195 --> 01:20:37.615]  David Icke,
[01:20:38.953 --> 01:20:44.243]  Listed last week as a terrorist in the EU for calling for peace and justice.
[01:20:44.243 --> 01:20:45.405]  Joins us exclusively.
[01:20:45.405 --> 01:20:46.427]  We're very honored to have him.
[01:20:47.583 --> 01:20:59.092]  David, you were getting into the Netherlands and their war on farmers, their war on food production, what that means for the world, and this depopulation agenda, and then your new Prime Minister, they already had one for a few months, shoveled her around, now they've got another one.
[01:20:59.092 --> 01:21:05.396]  This guy's a total globalist, calling for SEGs, carbon taxes, just absolute nightmare.
[01:21:05.396 --> 01:21:13.162]  Talk about the WEF, which is really run by the Bilderberg Group, now they put these puppets in, as Klaus Schwab says, we penetrate the cabinets.
[01:21:15.569 --> 01:21:28.333]  Yeah, I mean, what's happening is, you know, I've come on this show, Alex, with you so many times over the decades, and we've talked about how a few people are controlling the direction of human society.
[01:21:29.022 --> 01:21:36.486]  And the closer they come to their end goal, the more they have to put themselves on public display.
[01:21:36.486 --> 01:21:46.011]  And the World Economic Forum, I mean, if anyone looks at that, I was reading the other day, oh, no, the World Economic Forum, it's a conspiracy theory.
[01:21:46.011 --> 01:21:47.332]  Oh, really?
[01:21:47.332 --> 01:21:52.735]  So you have young leader schools run by that forum and that guy, Klaus Schwab,
[01:21:53.816 --> 01:21:58.942]  And they just happen to turn up in positions of power all over the world.
[01:21:58.942 --> 01:22:03.847]  Like Trudeau and Ardern in New Zealand and Macron in France and on and on it goes.
[01:22:03.847 --> 01:22:08.753]  And then the WEF brags that they control everything and then you get banned from Europe for saying it.
[01:22:09.807 --> 01:22:11.387]  It's, I mean, it's ridiculous.
[01:22:11.387 --> 01:22:13.948]  I mean, talk about on public display.
[01:22:13.948 --> 01:22:22.370]  And in the Netherlands, this guy, Mark Rutter, is a total agent for the World Economic Forum.
[01:22:22.370 --> 01:22:29.652]  In Britain now, we have another in Rishi Sunak, and the Chancellor of the Exchequer, a guy called Jeremy Hunt, is the same.
[01:22:30.561 --> 01:22:44.288]  And they are going to push this World Economic Forum agenda, the Great Reset in Britain, at a very fast pace now, as these other clones around the world are doing.
[01:22:44.288 --> 01:22:59.595]  And so you look at the people that run the so-called individual countries, and as I was saying in a speech online to people in the Netherlands over the weekend, these people like Rutte,
[01:23:00.476 --> 01:23:01.977]  And Trudeau and Macron.
[01:23:01.977 --> 01:23:05.798]  They're not your Prime Minister or President.
[01:23:05.798 --> 01:23:07.158]  They're not.
[01:23:07.158 --> 01:23:23.203]  They're agents of this central cabal and they therefore represent the interests and the agenda of that cabal, which is why they do so many things constantly that are against the interests of the people of the country.
[01:23:23.203 --> 01:23:25.524]  That's why they do it.
[01:23:25.524 --> 01:23:26.804]  Why are they doing that?
[01:23:26.804 --> 01:23:28.405]  Why is this guy, Rutter,
[01:23:29.385 --> 01:23:32.887]  Trying to destroy hundreds and hundreds of Dutch farmers.
[01:23:32.887 --> 01:23:34.908]  I mean, why would he do that?
[01:23:34.908 --> 01:23:35.928]  It makes no sense.
[01:23:35.928 --> 01:23:40.370]  Well, it does when you realize he's not the Prime Minister of the Netherlands.
[01:23:40.370 --> 01:23:45.052]  He's the agent in the Netherlands for the World Economic Forum.
[01:23:45.052 --> 01:23:46.853]  So that's why he's doing it.
[01:23:46.853 --> 01:23:50.374]  World Economic Forum wants to destroy farming.
[01:23:50.374 --> 01:23:52.195]  Then he destroys farming.
[01:23:52.195 --> 01:23:53.716]  And when the penny drops,
[01:23:54.216 --> 01:24:02.784]  That these leaders, we've got now, as I say, Sunak in Britain and in the wings is a guy called Keir Starmer, leader of the Labour Party.
[01:24:02.784 --> 01:24:11.492]  If he gets in, and there is a chance at some point, then he'll turn Britain into what the Democrats have turned America into.
[01:24:11.832 --> 01:24:19.495]  Because the Democrats are totally controlled by this cult and that's why they have devastated, destroyed America.
[01:24:19.495 --> 01:24:22.056]  That's why they've opened the southern border.
[01:24:22.056 --> 01:24:27.978]  That's because they want to change the demographic of America as they're changing the demographic of Europe.
[01:24:27.978 --> 01:24:28.899]  That's why they have
[01:24:30.194 --> 01:24:30.734]  Thank you.
[01:25:00.543 --> 01:25:13.747]  Well, the point being that if you want to introduce a totally different system in the world, you've got to dismantle and destroy the one that went before.
[01:25:13.747 --> 01:25:16.028]  I call it creative destruction.
[01:25:16.648 --> 01:25:21.870]  You have a status quo, and then you destroy that status quo and create another.
[01:25:21.870 --> 01:25:24.952]  That's what happened with the First World War, for instance.
[01:25:24.952 --> 01:25:36.677]  Then you had the Second World War, and the status quo changed again, and you had all these global institutions like the IMF, the World Bank, the Bretton Woods Agreement, and all that stuff.
[01:25:37.677 --> 01:25:40.819]  And you go on destroying status quos.
[01:25:40.819 --> 01:25:47.141]  9-11 massively destroyed a status quo in America.
[01:25:47.141 --> 01:26:01.607]  All going forward towards what is called this Great Reset, which is basically, well not basically, it's a global centralized tyranny in which the entirety of humankind will become
[01:26:01.647 --> 01:26:02.627]  Thank you very much.
[01:26:19.147 --> 01:26:19.427]  Absolutely.
[01:26:19.427 --> 01:26:22.670]  What do you make of the new UK Prime Minister?
[01:26:38.877 --> 01:26:51.503]  The level of moron it takes not to see it now is absolutely extraordinary, and you can only say they have to be, and they are, under a form of mass mind control and mass psychosis.
[01:26:51.503 --> 01:26:53.323]  It's the only way of explaining it.
[01:26:53.323 --> 01:27:01.087]  When it's here in your face and you can't see it, then you're obviously not in control of your own mind in any way, shape or form.
[01:27:01.087 --> 01:27:05.829]  David, I want to talk Elon Musk next segment, but just briefly, the new UK Prime Minister, what do you make of him?
[01:27:07.538 --> 01:27:14.484]  Oh, he's an absolute gopher for this agenda.
[01:27:14.484 --> 01:27:30.758]  You go into his family through his wife and you go into the very companies, I think they call it Infosys, which are providing the very technology for this social credit system.
[01:27:31.338 --> 01:27:33.219]  He's into it up to his neck.
[01:27:33.219 --> 01:27:37.861]  That's why they managed to manipulate him in there through a number of others.
[01:27:37.861 --> 01:27:44.204]  Another Johnson and then this Liz Trust lady that stayed around for five minutes.
[01:27:44.204 --> 01:27:45.244]  That's what they're doing.
[01:27:45.244 --> 01:27:49.466]  They get their people and they put them in positions of power.
[01:27:49.466 --> 01:27:52.027]  What we have, Alex, now in Britain
[01:27:52.567 --> 01:28:04.083]  Is Rishi Sunak who was the Chancellor of the Exchequer that devastated the British economy when he was the Chancellor through the Covid era.
[01:28:04.793 --> 01:28:15.702]  And now he's saying we've got to have pain and cutbacks and tax increases and cutting benefits of various kinds because we've got a massive economic problem.
[01:28:15.702 --> 01:28:18.905]  Yes, which you bloody cause mate!
[01:28:18.905 --> 01:28:19.986]  This is what they do.
[01:28:19.986 --> 01:28:27.652]  They create the problem and then somehow they put themselves forward as the person to solve the problem that they've created.
[01:28:27.992 --> 01:28:29.493]  Exactly how this system works.
[01:28:29.493 --> 01:28:35.919]  Perfect example is the UN, world lockdowns, hundreds of millions starving to death, and then they say there's a global starvation problem.
[01:28:35.919 --> 01:28:39.402]  David Icke, davidicke.com, alexjones, thenfulwars.com.
[01:28:39.402 --> 01:28:40.063]  Spread those links.
[01:28:40.063 --> 01:28:54.675]  When we come back, you've got a lot to say about Elon Musk, and so we're going to be going over all that with David Icke, straight ahead, because he sold as the savior, but what's really going on with Elon Musk, we'll discuss it on the other side.
[01:28:54.675 --> 01:28:55.056]  Stay with us.
[01:28:58.999 --> 01:29:10.506]  Until about 150 years ago, cultures all over the world believed that people got sick and died in many cases in the winter because of something called vapors.
[01:29:10.506 --> 01:29:14.948]  They associated these poisonous vapors with cold weather.
[01:29:14.948 --> 01:29:18.930]  Of course, it wasn't the cold weather or catching a chill that killed people.
[01:29:18.930 --> 01:29:23.353]  What was killing people was a lack of vitamin D3.
[01:29:23.353 --> 01:29:24.434]  You see, the sun
[01:29:25.154 --> 01:29:25.454]  We're good to
[01:29:49.056 --> 01:29:52.819]  At InfoWarStore.com with promo code 1776.
[01:29:52.819 --> 01:29:53.520]  Don't wait!
[01:29:53.520 --> 01:29:57.823]  Support the InfoWar and your immune system with vitamin D3 gummies at InfoWarStore.com.
[01:29:58.868 --> 01:30:01.210]  I've got some good news and bad news.
[01:30:01.210 --> 01:30:06.413]  InfoWars is running the biggest sale of 2022 right now on our amazing products.
[01:30:06.413 --> 01:30:11.937]  Your chance to empower your body, your health, your immune system, and more, and keep us on the air, a win-win.
[01:30:11.937 --> 01:30:20.462]  The bad news is a bunch of our best-selling products have already sold out, and because of supply chain breakdowns, it'll be months and months until these great products come back in.
[01:30:20.462 --> 01:30:21.823]  X3 sold out.
[01:30:21.823 --> 01:30:22.204]  Our great
[01:30:22.964 --> 01:30:25.807]  American Coffee Blend has sold out.
[01:30:25.807 --> 01:30:27.549]  Biotricillinium has sold out.
[01:30:27.549 --> 01:30:40.564]  But what hasn't sold out is DNA Force Plus, Vitamin Mineral Fusion, Body's Ultimate Turmeric Formula, Whole Food Multivitamin, Rain Force Ultra, Super Mel Vitality, and so much more.
[01:30:41.024 --> 01:30:46.550]  So, you've only got a few weeks to get these products at the lowest price you're ever going to find them.
[01:30:46.550 --> 01:30:47.551]  Don't fight the crowds.
