[00:00.000 --> 00:22.000]  The Alex Jones show, because there is a war on, or your mind.
[1:45:30.000 --> 1:45:36.000]  These formulas fuel your gut and your body to help you fight toxins and stay fueled all day.
[1:45:36.000 --> 1:45:43.000]  These incredible formulas can help keep your body in tip-top shape in the fight against stress, age, and outside toxins.
[1:45:43.000 --> 1:45:49.000]  There's no better time to try fluorolife and carnivore to see how well they can support your body.
[1:45:49.000 --> 1:45:53.000]  Don't miss out on the chance to fuel your body and support recovery.
[1:45:53.000 --> 1:45:57.000]  Try the InfoWars Life Daily Digestive Pack today.
[1:46:24.000 --> 1:46:27.000]  I want you to have storable food so it's a total win-win.
[1:46:27.000 --> 1:46:31.000]  We have those incredible cell prices back at InfoWarsTour.com.
[1:46:31.000 --> 1:46:33.000]  On InfoWars Select, storeable foods.
[1:46:33.000 --> 1:46:35.000]  They've got special diet foods.
[1:46:35.000 --> 1:46:39.000]  They've got three-month supplies, your supplies, weak emergency supplies.
[1:46:39.000 --> 1:46:41.000]  They've got so many great products there.
[1:46:41.000 --> 1:46:44.000]  If you've got a three-year supply, if stuff happens, you can feed your whole block.
[1:46:44.000 --> 1:46:47.000]  It's up to us to be self-sufficient.
[1:46:47.000 --> 1:46:52.000]  You're buying war bonds, bringing great products, and together, with God's help, we are unstoppable.
[1:46:52.000 --> 1:46:58.000]  At InfoWarsTour.com, at InfoWars Select, high-quality storeable foods, powered by my Patriot supply.
[1:47:23.000 --> 1:47:31.000]  And now, the more they oppress us, the more they censor us, the more the sleeping giant awakens.
[1:47:31.000 --> 1:47:38.000]  But I've got to tell you, I've told Rodgery, co-host of Owen Schreuer, every day, three to five with the war room.
[1:47:38.000 --> 1:47:41.000]  We know you're innocent. I was there, I remember.
[1:47:41.000 --> 1:47:43.000]  Everyone was trying to get Julena Sanjohn.
[1:47:43.000 --> 1:47:46.000]  WikiLeaks said that it was going to expose the Clintons.
[1:47:46.000 --> 1:47:47.000]  They hyped it up.
[1:47:47.000 --> 1:47:54.000]  I was mad that they were going on CNN and NPR, where they were being attacked, and I was calling Assange's names.
[1:47:54.000 --> 1:48:00.000]  I was talking in here, like, well, I got a back channel and a talk show host that knows him, and I hear it.
[1:48:00.000 --> 1:48:04.000]  And then they turned that into everybody talked to Julena Sanj, but us.
[1:48:04.000 --> 1:48:07.000]  And I was like, we've been a supporter of his. Why won't he talk to us?
[1:48:07.000 --> 1:48:11.000]  Well, we're InfoWars. We don't have credibility.
[1:48:11.000 --> 1:48:14.000]  The truth is, you get attacked when you come on here.
[1:48:14.000 --> 1:48:18.000]  But now they've gone into, oh, he's really secretly subpoenaed the president.
[1:48:18.000 --> 1:48:20.000]  Oh, they're about to get stoned any day now.
[1:48:20.000 --> 1:48:22.000]  Every channel.
[1:48:22.000 --> 1:48:24.000]  So I'm going to ask him, what's the foot here in a moment?
[1:48:24.000 --> 1:48:29.000]  First off, because we're six days out, I must spend a lot of time plugging products.
[1:48:29.000 --> 1:48:34.000]  But you know, going back a few years ago, the oil companies that get the deep earth pure iodine,
[1:48:34.000 --> 1:48:38.000]  the good halogen crystals between seven and 12,000 feet, began to charge me more.
[1:48:38.000 --> 1:48:39.000]  It was hard to get it.
[1:48:39.000 --> 1:48:40.000]  We had supply problems.
[1:48:40.000 --> 1:48:46.000]  I tried to find another distributor because you got to go to the DEA licensed groups to get pure iodine.
[1:48:46.000 --> 1:48:48.000]  Because it's a precursor, you know, the things that are illegal.
[1:48:48.000 --> 1:48:53.000]  Once we put it out in the glycerin oil and the rest of it, it's totally legal and awful.
[1:48:53.000 --> 1:48:55.000]  They have to go through a big process.
[1:48:55.000 --> 1:49:03.000]  And so I kind of got put over a barrel where I was going to raise the price of it really astronomically to even be able to then fund ourselves.
[1:49:03.000 --> 1:49:06.000]  Well, we did a lot of research, worked with some top labs in the country.
[1:49:06.000 --> 1:49:10.000]  And they said, why aren't you adding a little bit of the two other types of iodine in there?
[1:49:10.000 --> 1:49:15.000]  And a little bit of vitamin C to stabilize it, so it doesn't oxidize the way it lasts longer and it's even better.
[1:49:15.000 --> 1:49:18.000]  And so that's what we've done.
[1:49:18.000 --> 1:49:28.000]  The new survival shield X3 is an energized atomic state with new nascent tri-iodine formula.
[1:49:28.000 --> 1:49:30.000]  It's an energized atomic state.
[1:49:30.000 --> 1:49:32.000]  It means it's on.
[1:49:32.000 --> 1:49:33.000]  It's pure.
[1:49:33.000 --> 1:49:38.000]  A whopping 1,100 micrograms of nascent tri-iodine per dropper.
[1:49:38.000 --> 1:49:39.000]  Serving.
[1:49:39.000 --> 1:49:43.000]  So it's a perfect number that it's X3, which happens to be three types of iodine, all three types.
[1:49:43.000 --> 1:49:44.000]  Like no other product out there.
[1:49:44.000 --> 1:49:46.000]  This is the state of the art iodine supplement.
[1:49:46.000 --> 1:49:48.000]  Three is better than one, ladies and gentlemen.
[1:49:48.000 --> 1:49:57.000]  We found out how to capture and stabilize three nascent iodine atoms with top chemists and developers bound together to form a larger and more powerful iodine.
[1:49:57.000 --> 1:50:04.000]  I guarantee in a year or two that everyone else will be trying to copy our X3 nascent tri-iodine formula.
[1:50:04.000 --> 1:50:07.000]  But we launched iodine nationwide to be so popular now.
[1:50:07.000 --> 1:50:11.000]  And there are imitations on retail shelves just like they do with X2.
[1:50:11.000 --> 1:50:15.000]  So it's available in two ounce, double the size and one ounce.
[1:50:15.000 --> 1:50:17.000]  And it is amazing.
[1:50:17.000 --> 1:50:19.000]  We still have some X2 final run of that.
[1:50:19.000 --> 1:50:20.000]  It's excellent as well.
[1:50:20.000 --> 1:50:22.000]  It's the pure deep earth crystal type.
[1:50:22.000 --> 1:50:27.000]  This is mainly deep earth crystal and the other two different types of iodine with it and does a better absorption.
[1:50:27.000 --> 1:50:30.000]  Some people can't absorb even the true nascent.
[1:50:30.000 --> 1:50:31.000]  They need the other types.
[1:50:31.000 --> 1:50:33.000]  So this is the new level.
[1:50:33.000 --> 1:50:37.000]  And we could have made it pure deep earth crystal.
[1:50:37.000 --> 1:50:41.000]  But then getting into all the chemistry and all of it, this is the next level.
[1:50:41.000 --> 1:50:46.000]  In fact, if people turn out to like X2 better, we'll just put out X2 original and it'll just be that type.
[1:50:46.000 --> 1:50:48.000]  But this is better.
[1:50:48.000 --> 1:50:49.000]  They're both excellent.
[1:50:49.000 --> 1:50:53.000]  And it's all apples and oranges for your different physiology and your metabolic systems.
[1:50:53.000 --> 1:50:54.000]  Consult your physician.
[1:50:54.000 --> 1:50:58.000]  The point is m4slife.com and 4store.com or AAA-253-3139.
[1:50:58.000 --> 1:51:05.000]  And I'm going to have myself a nice, delicious dropper right now of X3.
[1:51:05.000 --> 1:51:07.000]  A lot of folks just take it under the tongue.
[1:51:07.000 --> 1:51:10.000]  You take the stuff about the store, it'll rot a hole in your gut and kill you.
[1:51:10.000 --> 1:51:14.000]  This is good, healthy, delicious, real iodine, not bound, industrial crap.
[1:51:14.000 --> 1:51:16.000]  So there it is, ladies and gentlemen.
[1:51:16.000 --> 1:51:20.000]  And then you just drink it.
[1:51:20.000 --> 1:51:21.000]  Mmm.
[1:51:21.000 --> 1:51:22.000]  Amazing.
[1:51:22.000 --> 1:51:25.000]  Energy, libido, stamina, weight loss for me.
[1:51:25.000 --> 1:51:27.000]  I mean, it's just the missing link.
[1:51:27.000 --> 1:51:29.000]  Roger Stone, I don't know where to start.
[1:51:29.000 --> 1:51:33.000]  You are the biggest guy in the media right now.
[1:51:33.000 --> 1:51:35.000]  Just you are Satan.
[1:51:35.000 --> 1:51:39.000]  You are, as Stephen Colbert said, Trump is Putin's top holster.
[1:51:39.000 --> 1:51:40.000]  Hate to use a term like that.
[1:51:40.000 --> 1:51:42.000]  That's on national TV about our president.
[1:51:42.000 --> 1:51:44.000]  So for documentary reasons, I'm saying it.
[1:51:44.000 --> 1:51:46.000]  I mean, I've been on the inside of this.
[1:51:46.000 --> 1:51:49.000]  It is complete BS.
[1:51:49.000 --> 1:51:51.000]  I know I'm under investigation.
[1:51:51.000 --> 1:51:54.000]  This is just insane.
[1:51:54.000 --> 1:51:56.000]  Payment processors are like, we're dropping you.
[1:51:56.000 --> 1:51:57.000]  You're under investigation by Mueller.
[1:51:57.000 --> 1:51:59.000]  We've had the FBI calling.
[1:51:59.000 --> 1:52:04.000]  So that's the level of harassment we're all under by this terrorist, Robert Mueller,
[1:52:04.000 --> 1:52:07.000]  who the left believes is God on earth.
[1:52:07.000 --> 1:52:08.000]  So what is the latest?
[1:52:08.000 --> 1:52:12.000]  Because you were all over the news and they always recycle the same bull about,
[1:52:12.000 --> 1:52:16.000]  well, he was on conference calls and said WikiLeaks will probably release it soon.
[1:52:16.000 --> 1:52:22.000]  Because they said it on the overnight show where I attacked the signs and said he was Hillary's butt plug.
[1:52:22.000 --> 1:52:25.000]  Because he did not release it.
[1:52:25.000 --> 1:52:26.000]  He said he would.
[1:52:26.000 --> 1:52:30.000]  They turned that like, the stone says they're going to release it later.
[1:52:30.000 --> 1:52:32.000]  Because a son said so on television.
[1:52:32.000 --> 1:52:35.000]  This is just incredible, Roger.
[1:52:35.000 --> 1:52:37.000]  You're absolutely right, Alex.
[1:52:37.000 --> 1:52:44.000]  The feeding frenzy of fake news on October 2nd, when Assange did not release any data,
[1:52:44.000 --> 1:52:51.000]  he did announce a schedule of releases one a week for the next six weeks going beyond the election.
[1:52:51.000 --> 1:52:57.000]  I imparted that to Steve Bannon in an email, public information.
[1:52:57.000 --> 1:53:03.000]  But some are trying to say that this implies communication directly with Assange or WikiLeaks,
[1:53:03.000 --> 1:53:04.000]  which of course is false.
[1:53:04.000 --> 1:53:12.000]  And as you just pointed out on the air there, I've now taken two polygraph exams to prove that this is all BS.
[1:53:12.000 --> 1:53:20.000]  I think what they're trying to do, Alex, is inflate the whole Russian collusion narrative again ahead of the election.
[1:53:20.000 --> 1:53:26.000]  But there is still no evidence whatsoever that I did anything illegal or improper,
[1:53:26.000 --> 1:53:33.000]  or had any communications or advance notice of the content or source of the WikiLeaks disclosures.
[1:53:33.000 --> 1:53:38.000]  I'm showing zero hedge at the time, 10, 13, 16, two years ago.
[1:53:38.000 --> 1:53:45.000]  And you see where they say they're going to release 2,000 Modesta emails in parts of six over the next six weeks.
[1:53:45.000 --> 1:53:47.000]  That was number one news story in the country.
[1:53:47.000 --> 1:53:52.000]  They're telling a grand jury, like they're dumb, that you said this and that you had inside knowledge.
[1:53:52.000 --> 1:53:59.000]  Just like they said Don Jr. had the code keys to WikiLeaks two months after they were released, but that he got them exclusively.
[1:53:59.000 --> 1:54:11.000]  There's a political story that is posted hours before my email exchange with Steve Bannon that says that Assange has announced a schedule of releases going forward.
[1:54:11.000 --> 1:54:13.000]  So it's a witch hunt.
[1:54:13.000 --> 1:54:18.000]  I think the special counsel still has no evidence of wrongdoing on my part.
