[00:00:18.470 --> 00:00:20.392]  It's Wednesday, November 18th.
[01:21:28.712 --> 01:21:33.114]  But you know, what is Trump doing right now?
[01:21:33.114 --> 01:21:35.215]  And I'm not saying this to attack Trump.
[01:21:35.215 --> 01:21:38.077]  I'm just, I mean, really, I mean, what is President Trump doing?
[01:21:38.077 --> 01:21:40.959]  The Disappearing Trump Act since election night, really.
[01:21:40.959 --> 01:21:44.420]  You've barely seen or heard from him.
[01:21:44.420 --> 01:21:46.622]  Usually in front of the cameras every day.
[01:21:46.622 --> 01:21:51.944]  Press conferences, meetings, rallies, whatever.
[01:21:51.944 --> 01:21:54.406]  And the left is just getting more hopped up.
[01:21:54.406 --> 01:21:55.727]  More hopped up.
[01:21:55.727 --> 01:21:56.507]  More hopped up.
[01:22:00.319 --> 01:22:09.664]  And so I understand wanting to lay low and then making your re-emergence at the most pivotal, powerful moment.
[01:22:09.664 --> 01:22:18.749]  But every day goes by, the left gets more entrenched into their belief that Biden won the election.
[01:22:18.749 --> 01:22:21.330]  And so when you uproot that reality from them,
[01:22:23.283 --> 01:22:28.545]  The outrage and hysteria that's going to lead to violent riots in the streets.
[01:22:28.545 --> 01:22:32.726]  You know, here's another level of their disingenuousness.
[01:22:32.726 --> 01:22:36.567]  There are stories all across the nation, including where I found this story today.
[01:22:36.567 --> 01:22:46.350]  I was doing a deep dive into this, where the headline is, from a black lady Goodwill Ambassador who hates white people, with the headline, Should White Boys Still Be Allowed to Talk?
[01:22:46.350 --> 01:22:51.452]  That's in the Dicksonian at Dixon College in Pennsylvania.
[01:22:52.517 --> 01:22:55.700]  You're allowed to be racist against white people.
[01:22:55.700 --> 01:22:59.283]  And then I'm going on their website to see, wow, is this really their student paper where they publish this?
[01:22:59.283 --> 01:23:08.991]  I mean, I can't imagine when I was the chief editor at my student newspaper if I published something racist like that.
[01:23:08.991 --> 01:23:12.894]  But they have how the college is boarded up.
[01:23:12.894 --> 01:23:15.156]  And they're expecting riots post-election.
[01:23:15.156 --> 01:23:15.957]  And I went and I looked.
[01:23:15.957 --> 01:23:17.378]  Other colleges did the same thing.
[01:23:17.378 --> 01:23:19.099]  You saw it in Washington, D.C.
[01:23:19.099 --> 01:23:20.360]  And I'm thinking, so
[01:23:21.291 --> 01:23:34.014]  Think about how disingenuous the liberal left is and the Democrat Party is, where they have to board up all of their buildings and board up all of their universities because they're afraid of violent rioting after the election.
[01:23:34.014 --> 01:23:35.954]  Of course, that's not for Trump supporters.
[01:23:35.954 --> 01:23:36.995]  Everybody knows that.
[01:23:36.995 --> 01:23:38.235]  It's for the Democrats.
[01:23:38.235 --> 01:23:40.175]  It's for the radical left.
[01:23:40.175 --> 01:23:42.956]  But then they pretend that they're doing it because of Trump supporters.
[01:23:43.897 --> 01:23:46.818]  I mean, it's the most dishonest, disingenuous thing ever.
[01:23:46.818 --> 01:23:50.539]  I mean, what do you do with a sack of crap like the Democrat Party?
[01:23:50.539 --> 01:23:51.719]  Remember Hillary Clinton?
[01:23:51.719 --> 01:23:52.639]  Remember Pelosi?
[01:23:52.639 --> 01:23:53.600]  Remember Bill Clinton?
[01:23:53.600 --> 01:23:55.040]  Remember Obama?
[01:23:55.040 --> 01:23:59.321]  All of them said, we are not going to concede if there's a red mirage.
[01:23:59.321 --> 01:24:03.702]  We believe it's going to look like Trump's going to win in a landslide if they have the internal polls.
[01:24:03.702 --> 01:24:04.923]  And indeed, Trump won.
[01:24:05.703 --> 01:24:08.545]  Most of the states he won last time by an even bigger margin.
[01:24:08.545 --> 01:24:15.088]  And when he was set to win the other ones, they froze these seven states on election night.
[01:24:15.088 --> 01:24:17.649]  And then they brought in all of the reserve ballots they had.
[01:24:17.649 --> 01:24:18.550]  This is completely transparent.
[01:24:18.550 --> 01:24:21.652]  So when they say that he is president-elect, he's not.
[01:24:21.652 --> 01:24:22.592]  Trump has not conceded.
[01:24:22.592 --> 01:24:24.653]  None of the states have certified the vote.
[01:24:24.653 --> 01:24:26.874]  And now all these investigations have been opened up.
[01:24:26.874 --> 01:24:32.497]  And avalanches, mountains, oceans of election fraud has come out and already been documented.
[01:24:32.497 --> 01:24:33.098]  And in Georgia,
[01:24:33.798 --> 01:24:36.300]  Officials are on record saying we've already found fraud.
[01:24:36.300 --> 01:24:38.582]  So ladies and gentlemen, the fix is in.
[01:24:38.582 --> 01:24:42.524]  They've run bigger and bigger hoaxes every time, because the last hoax failed.
[01:24:42.524 --> 01:24:46.647]  But now, this is the mother of all hoaxes, and if they get away with this, it's the end of America.
[01:24:46.647 --> 01:24:48.809]  As we know it, we will beat Venezuela.
[01:24:48.809 --> 01:24:49.590]  Infowars.com
[01:24:50.450 --> 01:24:52.931]  America is in crisis.
[01:24:52.931 --> 01:24:57.772]  Emergency Lockdown 2 is coming under Biden.
[01:24:57.772 --> 01:25:04.053]  Support InfoWars, the fight against total economic collapse, and Biden's martial law disguised as Lockdown 2.
[01:25:04.053 --> 01:25:12.595]  Up to 60% off, plus free shipping and triple Patriot points and more at InfoWarsStore.com, DNA Force, plus Alpha Power back in stock.
[01:25:12.975 --> 01:25:21.841]  Body's Ultimate Turmeric Formula, Ultra 12, Vitamin Refusion, Cava Chill, Super Mel Vitality, Super Female, and so many other amazing products.
[01:25:21.841 --> 01:25:26.124]  These are game-changing things that the globalists don't need to have.
[01:25:26.124 --> 01:25:31.168]  These are things that are absolutely elemental to what you and your body have to have to live.
[01:25:31.168 --> 01:25:35.531]  But regardless, buying these products from us funds the InfoWars, so it's a 360 win.
[01:25:35.751 --> 01:25:37.032]  I want to thank you all for your support.
[01:25:37.032 --> 01:25:38.913]  I want to ask you to redouble your efforts to spread the word.
[01:25:38.913 --> 01:25:43.615]  I want to ask you to buy the products at InfoWarsTore.com today, because without you, we won't be on the air.
[01:25:43.615 --> 01:25:44.996]  Again, I salute you and thank you all.
[01:25:44.996 --> 01:25:45.777]  The toll-free number is 888-253-3139.
[01:25:45.777 --> 01:25:48.378]  Please take action today in our emergency center.
[01:26:01.584 --> 01:26:05.887]  Now it's easier than ever to have Band.Video on your iPhone.
[01:26:05.887 --> 01:26:09.370]  Simply go to Band.Video with your Safari browser.
[01:26:09.370 --> 01:26:12.652]  Then you click the Share button at the bottom of the screen.
[01:26:12.652 --> 01:26:16.195]  When the menu comes up, you simply click Add to Home Screen.
[01:26:16.195 --> 01:26:18.437]  It will then ask you to name the app.
[01:26:18.437 --> 01:26:19.858]  I suggest Band.Video.
[01:26:20.518 --> 01:26:25.981]  You will now have BAN.VIDEO app on your home screen, despite the fact that Tim Cook tried to stop it.
[01:26:25.981 --> 01:26:34.465]  The globalists think you're lazy, but by taking a little bit of action, you can override them, have the app, and then tell others about it so they can get the app.
[01:26:34.465 --> 01:26:41.168]  So it's up to you whether you want to defy big tech and click the share buttons below on your email, on Facebook, on Twitter, on YouTube.
[01:26:41.168 --> 01:26:43.989]  However you want, be sure and share BAN.VIDEO.
[01:26:53.507 --> 01:27:02.890]  You're listening to the Alex Jones Show.
[01:27:02.890 --> 01:27:10.872]  Ladies and gentlemen, welcome back to the Alex Jones Show.
[01:27:10.872 --> 01:27:14.613]  Owen Schroeder sitting in for Alex today, the disingenuous of a Democrat.
[01:27:15.575 --> 01:27:16.857]  He's stuck in my crawl today.
[01:27:16.857 --> 01:27:25.569]  For example, Gavin Newsom, who tells you to wear a mask, social distance, stay locked down, collapse your business, it's all for your own safety.
[01:27:25.569 --> 01:27:26.249]  That punk.
[01:27:27.520 --> 01:27:38.606]  Well then he has parties, and gets caught having parties, so he comes out and makes a statement apologizing, saying, I'm sorry I had parties, you're right, I apologize, I'll practice what I preach now, and he doesn't wear a mask either.
[01:27:38.606 --> 01:27:42.007]  Well last night he got caught having dinner!
[01:27:42.007 --> 01:27:46.850]  No mask, no social distance, a table of at least 10 people, no mask between bites,
[01:27:48.877 --> 01:27:54.202]  Again, another example of the disingenuous, the total fraud of a Democrat.
[01:27:54.202 --> 01:27:57.245]  These people make me sick!
[01:27:57.245 --> 01:27:58.526]  You scum!
[01:27:58.526 --> 01:27:59.747]  You liars!
[01:27:59.747 --> 01:28:00.908]  You deceivers!
[01:28:00.908 --> 01:28:03.070]  You demons!
[01:28:03.070 --> 01:28:03.790]  You frauds!
[01:28:03.790 --> 01:28:05.032]  You cowards!
[01:28:05.032 --> 01:28:08.094]  You traitors!
[01:28:08.094 --> 01:28:13.059]  There's not enough words in the dictionary to describe your phonyism.
[01:28:15.046 --> 01:28:18.809]  And now they tell you, you can't have Thanksgiving dinner.
[01:28:18.809 --> 01:28:20.991]  You can't have Christmas gatherings.
[01:28:20.991 --> 01:28:22.492]  What kind of tyranny is this?
[01:28:22.492 --> 01:28:26.315]  And then they say, Trump is the dictator.
[01:28:26.315 --> 01:28:27.776]  Trump is the fascist.
[01:28:27.776 --> 01:28:31.819]  You tell us to stay inside, close down our business, not go to school?
[01:28:31.819 --> 01:28:32.740]  Wear a mask?
[01:28:34.588 --> 01:28:36.709]  You tell us to collapse the economy.
[01:28:36.709 --> 01:28:48.292]  You tell us we can't have family over for Thanksgiving, and then you dare accuse us of being the fascists, and accuse us of being the authoritarians.
[01:28:48.292 --> 01:28:50.773]  These people want to bring hell on earth, man.
[01:28:50.773 --> 01:28:51.813]  See, that's what it is.
[01:28:51.813 --> 01:28:55.454]  They know they're all destined to burn in hell forever, so they're trying to bring hell here.
[01:29:00.981 --> 01:29:02.582]  It's disgusting.
[01:29:02.582 --> 01:29:05.203]  By the way, we have found that video I've been looking for.
[01:29:05.203 --> 01:29:06.384]  We will bring that in.
[01:29:06.384 --> 01:29:10.666]  We will air it.
[01:29:10.666 --> 01:29:19.931]  Right now!
[01:29:19.931 --> 01:29:28.135]  So there's no like concrete, just to get it on the record, there's no concrete explanation as to how those 26, 2700 votes were not counted by the machine in the first place?
[01:29:32.093 --> 01:29:32.493]  I don't know.
[01:29:32.493 --> 01:29:34.614]  I mean, we can't.
[01:29:34.614 --> 01:29:37.195]  They're not in there anywhere.
[01:29:37.195 --> 01:29:39.876]  So we don't know why they didn't get scanned in there.
[01:29:39.876 --> 01:29:45.459]  So have the Dominion tech guys that have been troubleshooting here all day been able to figure out why they weren't in there?
[01:29:45.459 --> 01:29:51.202]  They're not allowed to comment.
[01:29:51.202 --> 01:29:52.542]  They're not allowed to comment.
[01:29:52.542 --> 01:29:52.842]  Sorry.
[01:30:01.129 --> 01:30:07.233]  But as of right now, you can also not confirm that it was a memory card or anything of that nature as well, right?
[01:30:07.233 --> 01:30:10.036]  Because that hasn't been confirmed, to my knowledge, by anyone here.
[01:30:10.036 --> 01:30:12.077]  I don't think it was a memory card.
[01:30:12.077 --> 01:30:12.838]  I can almost... Do you?
[01:30:12.838 --> 01:30:15.740]  I don't think it was a memory card.
[01:30:15.740 --> 01:30:18.141]  So it wasn't... We can rule out memory cards.
[01:30:18.141 --> 01:30:19.903]  We can rule out a memory card that wasn't scanned.
[01:30:19.903 --> 01:30:22.805]  Okay, it seems like it's human error.
[01:30:22.805 --> 01:30:27.328]  It seems like it, but what's the evidence that would indicate it would be a human error issue?
[01:30:29.145 --> 01:30:37.391]  Ballots didn't transfer over like they should have and that could have been dealing with how whatever program or program but at this point we really don't know so that's why.
[01:30:37.391 --> 01:30:39.512]  Could it also potentially be a software issue?
[01:30:39.512 --> 01:30:41.254]  We're not going to speculate at this point.
[01:30:41.254 --> 01:30:43.095]  But you just said it could potentially be a human error.
[01:30:43.095 --> 01:30:44.176]  That was speculation.
[01:30:44.176 --> 01:30:44.536]  Correct.
[01:30:44.536 --> 01:30:47.578]  So that's why you're asking all these types of different questions.
[01:30:47.578 --> 01:30:48.599]  I'm just trying to give you.
