[00:00.000 --> 00:17.440]  It's hard to believe it's already Monday, the 21st day of August 2017, but it is.
[1:14:52.760 --> 1:14:58.760]  I also wonder about the monopolies and the government teaming up, because every airport I go to in the United States,
[1:14:58.760 --> 1:15:05.760]  all of the car rental places are run by Somalis, all of the tax, I mean, basically all,
[1:15:05.760 --> 1:15:11.760]  and it's nothing but women in Hejibs at the airport when I was in Seattle last night.
[1:15:11.760 --> 1:15:16.760]  I mean, almost every woman I saw, 90% were women in Hejibs.
[1:15:16.760 --> 1:15:20.760]  I mean, ticket counters, checkpoints, car rental, everywhere.
[1:15:20.760 --> 1:15:24.760]  It's like certain industries are being given to these groups.
[1:15:24.760 --> 1:15:29.760]  Yeah, that's right. And even I often feel strange going back through security,
[1:15:29.760 --> 1:15:36.760]  the border control in the United Kingdom and having to hand my passport over to a woman in a Hejib or a Nicar.
[1:15:36.760 --> 1:15:41.760]  You know, as if they're going to be concerned with guarding the British border.
[1:15:41.760 --> 1:15:45.760]  You have nothing in common with the United Kingdom and our culture.
[1:15:45.760 --> 1:15:51.760]  If you think that covering your head and covering your face is derogatory, is normal or acceptable.
[1:15:51.760 --> 1:15:54.760]  Of course, like you say, the Red-Green Alliance is very strong at this point.
[1:15:54.760 --> 1:16:02.760]  Don't forget, in 1979, 100,000 Iranian women marched into Iran to demand that they did not have to wear the Hejib
[1:16:02.760 --> 1:16:05.760]  as per the Islamic government dictates.
[1:16:05.760 --> 1:16:07.760]  We never talk about those women anymore.
[1:16:07.760 --> 1:16:11.760]  We never talk about the women in Syria who burned, in January this year,
[1:16:11.760 --> 1:16:16.760]  burned their burqas when their town was liberated from ISIS.
[1:16:16.760 --> 1:16:22.760]  Instead, we're told that the lindassars of the world are heroes, that these women are empowered somehow
[1:16:22.760 --> 1:16:24.760]  because they have to cover their heads and cover their faces.
[1:16:24.760 --> 1:16:28.760]  You march 400,000 people through Washington, D.C. when a president is elected,
[1:16:28.760 --> 1:16:33.760]  but you can't march 400 into Detroit to protest female genital mutilation.
[1:16:33.760 --> 1:16:38.760]  There is a real sickness going on in the minds of liberal America right now.
[1:16:38.760 --> 1:16:41.760]  It really is crazy. You're the expert on this.
[1:16:41.760 --> 1:16:47.760]  When is it going to peak? Because I was reading the Economist magazine, the current issue,
[1:16:47.760 --> 1:16:50.760]  the one that has roadkill on the front, talking about the end of the combustion engine,
[1:16:50.760 --> 1:16:53.760]  and they said, we're engaged in demographic warfare.
[1:16:53.760 --> 1:16:56.760]  We are bringing in these minority groups to turn them into socialists.
[1:16:56.760 --> 1:17:00.760]  We miscalculated and it's backfired in some areas of Europe and the U.S.,
[1:17:00.760 --> 1:17:02.760]  but demographically, we're still going to win.
[1:17:02.760 --> 1:17:04.760]  They're admitting a race-based deal.
[1:17:04.760 --> 1:17:06.760]  I wouldn't care what color people were.
[1:17:06.760 --> 1:17:08.760]  They were free market and we lived in peace,
[1:17:08.760 --> 1:17:13.760]  but you see them openly being energized into political warfare systems,
[1:17:13.760 --> 1:17:20.760]  and it is just crazy to see it inverted now from the KKK to now a minority KKK deal,
[1:17:20.760 --> 1:17:25.760]  and it's being deployed by major governments.
[1:17:25.760 --> 1:17:30.760]  You know, Alex, I'm often told in the most racist of terms by the political left
[1:17:30.760 --> 1:17:33.760]  that because of my skin color or because of my name,
[1:17:33.760 --> 1:17:38.760]  that I have to have, you know, welfareist, left-wing, pro-sharia politics.
[1:17:38.760 --> 1:17:40.760]  This is the real racism going on today.
[1:17:40.760 --> 1:17:43.760]  They say things to me like, oh, why would you work at Breitbart?
[1:17:43.760 --> 1:17:45.760]  Why would you go on Alex Jones' show?
[1:17:45.760 --> 1:17:49.760]  If you knew what these guys really thought of you, they would deport you in a heartbeat.
[1:17:49.760 --> 1:17:53.760]  Well, actually, I've scarce the ever experience there on the political right.
[1:17:53.760 --> 1:17:56.760]  Like you said, nobody cares about skin color.
[1:17:56.760 --> 1:17:59.760]  What they care about is if you adopt the values and you want to further the,
[1:17:59.760 --> 1:18:02.760]  like you said, Western, you know, classical liberal values.
[1:18:02.760 --> 1:18:04.760]  You know, and that's exactly what I did.
[1:18:04.760 --> 1:18:06.760]  And that's exactly why I wrote this book,
[1:18:06.760 --> 1:18:11.760]  because there are vast swathes of Europe and indeed here in the United States now
[1:18:11.760 --> 1:18:15.760]  that are turning into enclaves for migrants who are, let's face it,
[1:18:15.760 --> 1:18:18.760]  being used as political pawns by the left,
[1:18:18.760 --> 1:18:23.760]  but at the same time establishing their Quranic law, their Islamic rules.
[1:18:23.760 --> 1:18:28.760]  Listen, if I go to the shopping mall now on the cover of Gap and then the other store,
[1:18:28.760 --> 1:18:32.760]  it's women in the jibs everywhere, they admittedly are force feeding it
[1:18:32.760 --> 1:18:36.760]  for the total, I guess, force integration and Islamification of the West
[1:18:36.760 --> 1:18:42.760]  with us having to basically convert as demis or whatever to a submission to it.
[1:18:42.760 --> 1:18:48.760]  Yes, well, you look at Canada passing in effect a blasphemy law against criticizing Islam,
[1:18:48.760 --> 1:18:52.760]  M103 that passed in Canada a few months ago.
[1:18:52.760 --> 1:18:55.760]  We're getting to a point and the point has already been reached, frankly.
[1:18:55.760 --> 1:18:57.760]  The subtitle of the book is a little bit disingenuous.
[1:18:57.760 --> 1:19:00.760]  It shouldn't be how Sharia law is coming to a neighborhood near you.
[1:19:00.760 --> 1:19:03.760]  It should be how Sharia law is already in a neighborhood near you.
[1:19:03.760 --> 1:19:06.760]  Well, everybody talks about Nazis all day.
[1:19:06.760 --> 1:19:11.760]  The only cultures I see that are behaving like Nazis are some of these orthodox Islamic countries
[1:19:11.760 --> 1:19:13.760]  who I'd love to see reformed.
[1:19:13.760 --> 1:19:18.760]  And I mean, imagine if we were bringing people in from some other place with another religion or group
[1:19:18.760 --> 1:19:21.760]  where you cut women's genitals off, you make them wear hoods over their heads,
[1:19:21.760 --> 1:19:24.760]  they can't drive cars, you execute gay people,
[1:19:24.760 --> 1:19:27.760]  and then you bring this up to the left and they just scream and yell and say,
[1:19:27.760 --> 1:19:28.760]  shut up Nazi.
[1:19:28.760 --> 1:19:35.760]  I mean, is it mental illness or does even the low level leftist understand their unholy alliance?
[1:19:35.760 --> 1:19:37.760]  They understand it fully.
[1:19:37.760 --> 1:19:40.760]  They will stop at nothing to erase Western civilization.
[1:19:40.760 --> 1:19:41.760]  They will destroy your monuments.
[1:19:41.760 --> 1:19:43.760]  They will destroy your Mount Rushmore.
[1:19:43.760 --> 1:19:46.760]  They have no interest in the preservation of Western culture.
[1:19:46.760 --> 1:19:51.760]  Again, Taliban loves blowing up Roman stuff, loves blowing up Buddhist stuff.
[1:19:51.760 --> 1:19:52.760]  You're absolutely right.
[1:19:52.760 --> 1:19:55.760]  And now the left's the same way, they want to blow up everything.
[1:19:55.760 --> 1:19:56.760]  Absolutely.
[1:19:56.760 --> 1:19:59.760]  Western culture, they haze it, they want it gone, they want it dead.
[1:19:59.760 --> 1:20:00.760]  They want us dead.
[1:20:00.760 --> 1:20:06.760]  Well, you know, the CIA got declassified, wants ugly buildings, ugly art, ugly culture.
[1:20:06.760 --> 1:20:08.760]  What is going on here?
[1:20:08.760 --> 1:20:13.760]  Well, now see, I was in Charlottesville and of course, you know,
[1:20:13.760 --> 1:20:16.760]  we have to preface everything every time we talk about this.
[1:20:16.760 --> 1:20:20.760]  Like, moronically, we have to preface it with, and we condemn the neo-Nazis.
[1:20:20.760 --> 1:20:22.760]  I mean, it should be blatantly obvious that we do that anyway.
[1:20:22.760 --> 1:20:23.760]  Absolutely.
[1:20:23.760 --> 1:20:24.760]  Yeah, exactly.
[1:20:24.760 --> 1:20:28.760]  But they force us to do it because the left owns the language and they control the narrative
[1:20:28.760 --> 1:20:32.760]  or at least they try to, but people like you actually get the real truth out there.
[1:20:32.760 --> 1:20:38.760]  What's going on out there is, look, I mean, the statue, the Mount Rushmore sculpting
[1:20:38.760 --> 1:20:40.760]  was done by Goodson Borglund.
[1:20:40.760 --> 1:20:46.760]  You know, he was a KKK member, but so were one in 20 eligible people at that time in the United States.
[1:20:46.760 --> 1:20:50.760]  You think you could erase your history just because it has a little bit of ugliness in its past.
[1:20:50.760 --> 1:20:52.760]  Maybe it's got a lot of ugliness in its past.
[1:20:52.760 --> 1:20:56.760]  You start erasing that ugliness, you're bound to repeat it.
[1:20:56.760 --> 1:21:02.760]  Well, if you expand on that, and you look at the KKK teachings,
[1:21:02.760 --> 1:21:06.760]  what they've got minority spouting is the exact same ideology,
[1:21:06.760 --> 1:21:12.760]  but just from a other perspective, it's so stupid.
[1:21:12.760 --> 1:21:14.760]  It's mindless is what it is.
[1:21:14.760 --> 1:21:16.760]  I mean, it's cultish.
[1:21:16.760 --> 1:21:19.760]  And you see this on the left as you see it in Islamic circles.
[1:21:19.760 --> 1:21:23.760]  I mean, the reason that Said Farooq and Tashfin Malik were radicalized in San Bernardino
[1:21:23.760 --> 1:21:28.760]  was because they effectively went to a cultish mosque, this Tbiligi-Jamal-run mosque,
[1:21:28.760 --> 1:21:31.760]  and people should be aware of this group that's operating in the United States.
[1:21:31.760 --> 1:21:32.760]  The left has the same thing.
[1:21:32.760 --> 1:21:36.760]  They send their people to, I mean, frankly, they're sending them to the schools
[1:21:36.760 --> 1:21:39.760]  and the universities in this country now that are turning them into cult members.
[1:21:39.760 --> 1:21:40.760]  They're mindless.
[1:21:40.760 --> 1:21:44.760]  They're told that, you know, the most objective source of news is salon.com.
[1:21:44.760 --> 1:21:51.760]  And then we sit there scratching our heads and wonder why these people are turning into offended people,
[1:21:51.760 --> 1:21:56.760]  offended at free speech, offended at divergent opinions, offended about history.
[1:21:56.760 --> 1:21:58.760]  You know, instead of people being put in a village...
[1:21:58.760 --> 1:21:59.760]  Offended by knowledge.
[1:21:59.760 --> 1:22:00.760]  Offended by knowledge.
[1:22:00.760 --> 1:22:02.760]  But here's the thing.
[1:22:02.760 --> 1:22:04.760]  These people deserve a padded cell.
[1:22:04.760 --> 1:22:09.760]  And instead of putting these people in a padded cell, you're putting America in a straight jacket.
[1:22:09.760 --> 1:22:12.760]  You're putting the entire country in a straight jacket.
[1:22:12.760 --> 1:22:18.760]  All of these things, these monuments that were even last night torn down in Austin, right?
[1:22:18.760 --> 1:22:21.760]  I mean, this is your culture being taken away from you.
[1:22:21.760 --> 1:22:23.760]  It's your history being taken away from you.
[1:22:23.760 --> 1:22:26.760]  They tried this in England with the Cecil Road statue,
[1:22:26.760 --> 1:22:29.760]  and there was so much public outrage about it that they had to stop their campaign.
[1:22:29.760 --> 1:22:31.760]  They called it Roads Must Fall.
[1:22:31.760 --> 1:22:33.760]  But you're seeing it now in your country.
[1:22:33.760 --> 1:22:34.760]  There's no surprise.
[1:22:34.760 --> 1:22:35.760]  The left is internationalist.
[1:22:35.760 --> 1:22:40.760]  They understand what's happening out there, and they understand how to own the narrative.
[1:22:40.760 --> 1:22:42.760]  I mean, there are so many important things going on in the world.
[1:22:42.760 --> 1:22:45.760]  And we're talking about statues, really.
[1:22:45.760 --> 1:22:46.760]  Well, I want to be clear.
[1:22:46.760 --> 1:22:49.760]  We're talking about little girls who are getting their genitals mutilated.
[1:22:49.760 --> 1:22:50.760]  We're talking about statues.
[1:22:50.760 --> 1:22:54.760]  Well, that's why the big corporate groups, the big universities,
[1:22:54.760 --> 1:22:58.760]  the Bill Gates, the Jeff Bezos, the world fund all this,
[1:22:58.760 --> 1:23:02.760]  is because it diverts everybody from their tax incentives and their free tax deals
[1:23:02.760 --> 1:23:07.760]  and the free shipping that Amazon gets that taxpayers pay $1.48 on every package for.
[1:23:07.760 --> 1:23:11.760]  I mean, it's classic class warfare to just turn everybody against each other
[1:23:11.760 --> 1:23:13.760]  like the old Roman Empire did,
[1:23:13.760 --> 1:23:16.760]  so they can rule everybody from the castle on the hill.
[1:23:16.760 --> 1:23:21.760]  Because they know if the actual anti-establishment on the right and on the left
[1:23:21.760 --> 1:23:24.760]  comes together, then the political establishment is over.
