[00:00:09.838 --> 00:00:12.199]  It's a frontline report.
[01:04:08.876 --> 01:04:16.301]  Take action, fund us, and we will never back down, we will never give in, and with your support, we will never give out.
[01:04:16.301 --> 01:04:17.941]  Alright.
[01:04:17.941 --> 01:04:18.522]  We're gonna go on a break.
[01:04:19.482 --> 01:04:28.125]  We're going to come back with Adam Curry on the digital currency and New World Order, and then David Icke is scheduled to be coming up as well on the nature of reality, how to break free from the Matrix.
[01:04:28.125 --> 01:04:30.366]  I want to salute and thank this crew as well.
[01:04:30.366 --> 01:04:33.988]  They are doing a kick-ass job.
[01:04:33.988 --> 01:04:35.148]  Woo!
[01:04:35.148 --> 01:04:38.309]  And then tomorrow, 1 p.m.
[01:04:38.309 --> 01:04:40.170]  Central, I'm going to tape a special show.
[01:04:40.170 --> 01:04:41.511]  Tomorrow, I'll tape it.
[01:04:41.511 --> 01:04:43.852]  A special broadcast to air at 1 p.m.
[01:04:43.852 --> 01:04:44.832]  Central.
[01:04:44.832 --> 01:04:47.033]  And the real magic is when you take it and share it.
[01:04:48.015 --> 01:04:48.615]  I salute you.
[01:04:48.615 --> 01:04:49.916]  You really are the tip of the spear.
[01:04:49.916 --> 01:04:51.116]  You are the resistance.
[01:04:51.116 --> 01:04:52.197]  We are a family.
[01:04:52.197 --> 01:04:53.097]  We'll be right back.
[01:04:53.097 --> 01:04:59.820]  Stay with us.
[01:04:59.820 --> 01:05:01.661]  It's our bestseller.
[01:05:01.661 --> 01:05:05.423]  We first came out with it five years ago, and it was a moderate seller.
[01:05:05.423 --> 01:05:14.487]  But as folks tried Vitamin Mineral Fusion and experienced the way it made them feel and how healthy it made them, it has become our number one overall bestseller.
[01:05:14.487 --> 01:05:16.548]  And it's been sold out for a while, but it's finally back in stock.
[01:05:17.088 --> 01:05:23.734]  Vitamin Mineral Fusion doesn't just supercharge your immune system, but it helps every cellular function of the body.
[01:05:23.734 --> 01:05:30.860]  It has all the minerals, all the key amino acids, all of the essential vitamins that you need to live and be healthy.
[01:05:30.860 --> 01:05:33.483]  Essential means without these things you die.
[01:05:33.483 --> 01:05:41.570]  And so much of the food is debased, there's so many chemicals in the environment, it is critical to bolster our body's defenses with a product like this.
[01:05:41.570 --> 01:05:43.792]  Now there are other great vitamin mineral products out there.
[01:05:44.272 --> 01:05:48.477]  But this is amongst the very best, and it's a low price, and it funds the InfoWare.
[01:05:48.477 --> 01:05:56.246]  So the only way you lose is not taking action today, getting Vitamineral Fusion finally back in stock at InfoWareStore.com for 50% off.
[01:05:56.246 --> 01:05:58.929]  Vitamineral Fusion, back in stock, InfoWareStore.com.
[01:06:03.243 --> 01:06:10.329]  Again, I know we have record numbers of new listeners and viewers tuning in for the Forbidden Broadcast.
[01:06:10.329 --> 01:06:16.434]  We're now to the hour number two on this Friday, October 14th, 2022 transmission.
[01:06:16.434 --> 01:06:27.624]  Tomorrow, I'm going to be up here at 10 a.m., and I'm going to tape till past noon or so, and then we'll start streaming it by, I would guess, one o'clock, and then post it to Band.Video.
[01:06:27.624 --> 01:06:29.746]  I'm going to do a two-hour commercial-free
[01:06:30.760 --> 01:06:45.665]  Emergency broadcast on the threat of nuclear war and also how governments under UN control have built under the guise of COVID camps, relocation, political prisoner camps and their admissions of that.
[01:06:45.665 --> 01:06:53.307]  So tomorrow, commercial free, because I want to be able to roll all this out, play all the clips, show the documents, cover the evidence.
[01:06:53.307 --> 01:06:59.109]  I'm going to blow everybody away and break some of the biggest news ever.
[01:06:59.109 --> 01:07:00.229]  And again, we'll start taping
[01:07:02.029 --> 01:07:06.055]  At about 1030 or so, we'll be done in two hours.
[01:07:06.055 --> 01:07:08.639]  It'll start streaming at one o'clock, two o'clock tomorrow, not sure when.
[01:07:08.639 --> 01:07:12.024]  It's got a lot of documents and information to it.
[01:07:12.024 --> 01:07:15.730]  So look for that tomorrow, Saturday, the 15th of October.
[01:07:16.351 --> 01:07:30.902]  We're about to go to Adam Curry, the inventor of podcasting, famous talk show host in his own right, on the Cashless Society, on the New World Order, on what PayPal is doing and how it's the model of this social credit score and so much more.
[01:07:30.902 --> 01:07:43.811]  And then a huge interview that we taped a few weeks ago that we're going to premiere here live on air with David Icke that is super in-depth and extremely powerful about the nature of reality.
[01:07:44.542 --> 01:07:47.126]  So that's all coming up and so much more.
[01:07:47.126 --> 01:07:49.689]  Please remember, the only way we stay on air is your support.
[01:07:49.689 --> 01:07:50.690]  I salute you for your support.
[01:07:50.690 --> 01:07:55.076]  An additional 10% off of the Big Mega Sale right now at InfoWareStore.com.
[01:07:56.272 --> 01:08:04.417]  With promo code 1776, an additional 10% off on X3, on Vitamineral Fusion, and on so much more.
[01:08:04.417 --> 01:08:05.698]  And again, that's how we stay on air.
[01:08:05.698 --> 01:08:07.439]  That's how we battle these people.
[01:08:07.439 --> 01:08:09.501]  They've been lying and saying, we're going away.
[01:08:09.501 --> 01:08:10.101]  We're bankrupt.
[01:08:10.101 --> 01:08:11.602]  We got to pay a billion dollars.
[01:08:11.602 --> 01:08:12.883]  None of that's true.
[01:08:12.883 --> 01:08:14.404]  Two men can't have a baby.
[01:08:14.404 --> 01:08:15.885]  This is all a fraud.
[01:08:15.885 --> 01:08:16.966]  They can't silence us.
[01:08:16.966 --> 01:08:20.968]  They can't take us off air unless they kill me or put me in prison, which they're trying to do.
[01:08:20.968 --> 01:08:22.149]  So as long as you support
[01:08:22.759 --> 01:08:22.999]  I think so.
[01:08:39.746 --> 01:08:48.228]  1776coin.com and get $35 off on the collectible Man in the Arena Teddy Roosevelt coin.
[01:08:48.228 --> 01:08:53.390]  That's a fundraiser to keep us on air at 1776coin.com.
[01:08:53.390 --> 01:08:59.071]  $35 off with promo code 1776 and you can get free shipping when you get two coins.
[01:08:59.071 --> 01:09:01.092]  So, 1776coin.com.
[01:09:01.092 --> 01:09:02.672]  Thank all of you that have gotten the coin.
[01:09:03.826 --> 01:09:04.786]  Encourage those of you that have it.
[01:09:04.786 --> 01:09:05.867]  It's a limited edition.
[01:09:05.867 --> 01:09:07.107]  It is a fundraiser coin.
[01:09:07.107 --> 01:09:14.030]  Just like you get an unsigned book for 20-something bucks at The Great Reset at InfoWarsTore.com or a signed book for $99.
[01:09:14.030 --> 01:09:15.170]  It's the fundraising.
[01:09:15.170 --> 01:09:15.831]  It's the history.
[01:09:15.831 --> 01:09:16.971]  It's that piece of history.
[01:09:16.971 --> 01:09:19.672]  The coin is like the book, and it's a limited edition.
[01:09:19.672 --> 01:09:21.613]  It'll be sold out soon.
[01:09:21.613 --> 01:09:22.553]  1776coin.com.
[01:09:22.553 --> 01:09:30.616]  And speaking of 1776, again, you can get $10 off on the signed book at InfoWarsTore.com, The Great Reset and War for the World with promo code 1776 as well.
[01:09:33.331 --> 01:09:36.614]  Here is the Adam Curry interview that I taped recently.
[01:09:36.614 --> 01:09:38.256]  We're premiering it here on air.
[01:09:38.256 --> 01:09:41.419]  And then David Icke is coming up and so much more.
[01:09:41.419 --> 01:09:42.039]  Please stay with us.
[01:10:01.263 --> 01:10:14.311]  Ladies and gentlemen, thank you so much for joining us on this emergency Saturday broadcast.
[01:10:14.311 --> 01:10:21.936]  When I say emergency, you see we are in a growing, intensifying emergency.
[01:10:21.936 --> 01:10:23.377]  Geopolitically, war
[01:10:25.260 --> 01:10:29.982]  Proxy wars, destabilized borders, collapsing currencies.
[01:10:29.982 --> 01:10:31.142]  The list goes on and on.
[01:10:31.142 --> 01:10:41.927]  And you have Klaus Schwab and the World Economic Forum admitting, out of these global crises, they are bringing in their Great Reset and their New World Order Agenda 2030.
[01:10:41.927 --> 01:10:49.490]  If we're going to be looking at Russia, I told you two weeks ago, look for a massive, massive escalation.
[01:10:50.347 --> 01:10:55.850]  Now the pipelines are both been, one blown up, one damaged, Nord Stream 1 and 2.
[01:10:55.850 --> 01:10:58.891]  Now they're talking about other pipelines are probably going to get destroyed.
[01:10:58.891 --> 01:11:04.254]  You've got other European pipelines turning on the same day that Nord Stream was blown up.
[01:11:04.254 --> 01:11:15.559]  You have Russia threatening nuclear war, Putin saying he's not bluffing, and in the background of this, we have the private Federal Reserve, we have the head of the European Union, all the big banking heads saying,
[01:11:16.522 --> 01:11:21.246]  That they're soon going to roll out these digital programmable currencies.
[01:11:21.246 --> 01:11:32.176]  I was driving down the highway the other morning, and I was flipping through the AM dial and came across 1200 OAI, and I heard a voice I recognized.
[01:11:32.176 --> 01:11:38.481]  And then I drove under an overpass right as they were going to break, and I didn't hear who he was talking to, but I said, I know this guy.
[01:11:38.481 --> 01:11:39.462]  This guy is so smart.
[01:11:39.462 --> 01:11:40.243]  I got to get him on.
[01:11:40.243 --> 01:11:41.084]  Who is it?
[01:11:41.084 --> 01:11:43.005]  They come back, do another segment.
[01:11:43.005 --> 01:11:43.626]  It's Adam Curry.
[01:11:44.167 --> 01:11:46.349]  And I'm like, oh my gosh, I gotta beg Adam to come on.
[01:11:46.349 --> 01:11:47.249]  He's such a busy guy.
[01:11:47.249 --> 01:11:51.092]  He is credited as being the creator or the first podcaster.
[01:11:51.092 --> 01:11:59.939]  He's also a super smart guy, and of course, well-known for being the number one host when they kicked off MTV back when it was the biggest thing in the world.
[01:11:59.939 --> 01:12:08.126]  And he joins us now for a 50-minute transmission, noagendashow.com, to get into the entire waterfront.
[01:12:09.269 --> 01:12:09.469]  You think?
[01:12:24.901 --> 01:12:25.282]  Yeah, sure Alex.
[01:12:25.282 --> 01:12:25.822]  Always good to see you, man.
[01:12:45.757 --> 01:12:46.559]  Where do you want to start?
[01:12:46.559 --> 01:12:57.340]  Because I'm going to try to just shut up and let you roll, because the way you laid out the digital currencies, the way you lay out everything, I mean, I listen to the show routinely, but the way you laid it out on Glenn Beck was amazing, and I wanted to give you more time.
[01:12:59.277 --> 01:13:01.299]  Yeah, and I'm not a financial guy, obviously.
[01:13:01.299 --> 01:13:09.567]  I would say because of my interest in Bitcoin is kind of how I learn more and more about the financial system.
[01:13:09.567 --> 01:13:11.809]  And this goes back to Ron Paul's End the Fed.
[01:13:11.809 --> 01:13:14.672]  That's where I really started to understand what the Federal Reserve does.
[01:13:14.672 --> 01:13:17.774]  And so and that's, you know, that's now what is it?
[01:13:17.774 --> 01:13:18.095]  15 years.
[01:13:18.095 --> 01:13:20.016]  It's been quite a while since that book.
[01:13:20.016 --> 01:13:21.478]  But what I'm seeing, Alex, is
[01:13:22.900 --> 01:13:27.465]  The way it's presented in the media, what's going on right now is upside down.
[01:13:27.465 --> 01:13:38.978]  What we continuously hear is because of Putin, because of the war in Ukraine, because of COVID, these are all the reasons that the financial system is in turmoil.
[01:13:39.545 --> 01:13:41.106]  But that's upside down.
[01:13:41.106 --> 01:13:45.389]  We have all of these things happening because of the financial system.
[01:13:45.389 --> 01:13:55.716]  And that's the part that frustrates me when I see how it's reported, is all of this, all problems stem from the financial system as it is kind of
[01:13:56.371 --> 01:14:00.593]  I mean, it seems like it's coming to its end, this version of the system.
[01:14:00.593 --> 01:14:05.535]  And we've had many versions of financial systems for the United States dollar.
[01:14:05.535 --> 01:14:10.056]  We were at one point on the gold standard and the 70s were taken off the gold standard.
[01:14:10.056 --> 01:14:15.758]  And if you think the government won't mess with your money, I mean, there was an actual gold confiscation.
[01:14:15.758 --> 01:14:18.900]  It was illegal to have gold or gold coins.
[01:14:18.900 --> 01:14:19.860]  You had to give it up.
[01:14:19.860 --> 01:14:22.121]  So, you know, anything can change ultimately.
[01:14:23.499 --> 01:14:45.289]  But now we're in a world where I think unfortunately the money creation has just gotten out of control and that is truly, you know, the parameters for inflation are money creation and something called the velocity of money, so how fast people are spending money that they get into their hands.
[01:14:46.129 --> 01:14:58.018]  That has been bastardized and turned into something called, you know, the Consumer Price Index, and it only looks at the cost of gas and the cost of food.
[01:14:58.018 --> 01:14:59.939]  But really, that's not what the problem is.
[01:14:59.939 --> 01:15:06.184]  And of all the US dollars ever created, ever brought into existence,
