[00:00:08.490 --> 00:00:11.432]  Thursday, November 24th, the year 2022.
[01:10:07.912 --> 01:10:13.399]  Well, I mean, I could tell the whole story, it would take a long time, but just the basics is this.
[01:10:13.399 --> 01:10:17.243]  I was born in Dallas, and I grew up in a suburb outside Dallas, Rockwall.
[01:10:18.443 --> 01:10:30.015]  And I had my mom's brother that had worked in clandestine operations, was a really great guy, he died a few years ago, who basically educated me early on how the world worked.
[01:10:30.015 --> 01:10:33.338]  I had a lot of other family that was also very well read.
[01:10:33.338 --> 01:10:38.563]  I was a jock, but at the same time I, very early on, liked comic books and science fiction.
[01:10:39.721 --> 01:10:39.801]  Yeah.
[01:10:56.069 --> 01:10:56.309]  I don't know.
[01:11:14.986 --> 01:11:15.066]  It's
[01:11:35.865 --> 01:11:56.359]  It was all very anti-American, and then I went and sat in on some UT classes, because I was thinking about enrolling there, and it was even more anti-American, and I went and looked at their RTF operation, because I was thinking about getting into radio, television, film, because I wanted to talk about American freedom, because of the tyranny I saw in the colleges, and they were teaching stuff in RTF then that was 10 years behind.
[01:11:56.359 --> 01:12:02.824]  It wasn't anything about the internet, nothing about all these things I knew about, and so I thought, you know,
[01:12:04.475 --> 01:12:08.922]  I've got a job in sales, and I'm doing better than most people with college degrees.
[01:12:12.995 --> 01:12:17.876]  About 20 years old then, and then I began to watch AXS TV in Austin.
[01:12:17.876 --> 01:12:19.976]  That's where AXS TV actually began here.
[01:12:19.976 --> 01:12:23.497]  Had very nice studios, a lot of hosts, a big audience.
[01:12:23.497 --> 01:12:35.860]  And so I would see people on there playing G. Edward Griffin clips and Ted Gunnarson clips and talking about the New World Order and things like that and the massacre at Waco.
[01:12:37.222 --> 01:12:40.063]  And I knew these people were really smart and knew what they were talking about.
[01:12:40.063 --> 01:12:46.846]  So I went and visited my uncle in San Antonio, and I said, you know, I think I'm going to do an AXS TV show, and I think I'm going to fight the New World Order.
[01:12:46.846 --> 01:12:48.307]  He said, that's a great idea.
[01:12:48.307 --> 01:12:51.608]  So I started the AXS TV show, started going down there.
[01:12:51.608 --> 01:12:53.449]  There's only a few classes you have to take in late 94.
[01:12:54.509 --> 01:12:54.769]  We're good.
[01:13:11.141 --> 01:13:22.243]  And after about a year of that, a local radio station was switching over to talk radio from Rock and Roll, and the program director saw me and said, hey, would you like a Saturday night show?
[01:13:22.243 --> 01:13:24.444]  Come in this Saturday and do two hours live.
[01:13:24.444 --> 01:13:33.865]  Well, they just launched the talk radio, and they had Howard Sterns, George Liddy, a bunch of other big people, but they had a few local shows during the week that they launched that weren't getting any calls.
[01:13:33.865 --> 01:13:37.066]  Well, when I went on that first night, they had 10 phone lines.
[01:13:37.566 --> 01:13:39.368]  And I'd have to scream the calls myself during the break.
[01:13:39.368 --> 01:13:40.549]  You know, just get their name and write it down.
[01:13:40.549 --> 01:13:44.692]  They had a board op running things, but I was even taking my own calls.
[01:13:44.692 --> 01:13:48.695]  Because they wanted me to at least get their name instead of just punching them up like I did on AXS TV.
[01:13:48.695 --> 01:13:51.357]  Had calls as well, just you hit the buttons and people were there.
[01:13:51.357 --> 01:13:54.080]  Prank callers, regular callers, you name it.
[01:13:54.080 --> 01:14:01.005]  And so, there I was a year after being on AXS TV, hosting a Saturday night show that went from two hours to three hours.
[01:14:01.005 --> 01:14:03.367]  And then ratings came in in a few months and had high ratings.
[01:14:03.367 --> 01:14:04.608]  They gave me a Sunday night show too.
[01:14:05.854 --> 01:14:09.037]  About six months later, they gave me a weeknight show.
[01:14:09.037 --> 01:14:13.661]  It got higher ratings than Howard Stern and G. Orton Liddy.
[01:14:13.661 --> 01:14:14.501]  Wow.
[01:14:14.501 --> 01:14:16.123]  And the big lineup they had.
[01:14:16.123 --> 01:14:17.704]  And they said, well, she's not going to pay you, kid.
[01:14:17.704 --> 01:14:18.825]  I was doing it for free.
[01:14:18.825 --> 01:14:21.287]  I said, well, can I become a salesman?
[01:14:21.287 --> 01:14:27.452]  And so by the time I was 21, 22, I was already one of the top salesmen at a big talk radio station.
[01:14:27.452 --> 01:14:30.515]  And I was already, you know, making a couple hundred thousand dollars a year.
[01:14:31.764 --> 01:14:33.688]  And I thought, I want to make films.
[01:14:33.688 --> 01:14:36.014]  This is by 1996-97.
[01:14:36.014 --> 01:14:37.457]  I said, I want to show my listeners.
[01:14:37.457 --> 01:14:41.205]  Not just have a newsletter or a coffee mug or a t-shirt like most talk show hosts have.
[01:14:41.205 --> 01:14:42.167]  I said, I want
[01:14:43.226 --> 01:14:45.367]  To actually show people stuff.
[01:14:45.367 --> 01:14:54.553]  So on weekends, I'd fly places, shoot interviews, show things that were going on, the UN taking over the national parks, the signs they put up, things like that.
[01:14:54.553 --> 01:14:57.815]  And I made my first film, America Destroyed by Design.
[01:14:57.815 --> 01:15:02.358]  It became an underground mega hit with people making copies of the VHS tapes.
[01:15:02.358 --> 01:15:06.201]  And I came out with DVDs, and I subsequently made more than 20 documentaries.
[01:15:06.201 --> 01:15:06.761]  But by 1998, I said,
[01:15:10.552 --> 01:15:11.494]  I want to be syndicated.
[01:15:26.397 --> 01:15:31.159]  Put myself on satellite, only like $4,000 a month, but would go to main receivers.
[01:15:31.159 --> 01:15:44.226]  And then I personally, um, then, uh, hired a PR firm, uh, when I was like 25, 26 years old, uh, to call 2,000 talk stations and send them a packet of information.
[01:15:59.258 --> 01:16:01.419]  We've got some good news and bad news.
[01:16:01.419 --> 01:16:06.620]  InfoWars is running the biggest sale of 2022 right now on our amazing products.
[01:16:06.620 --> 01:16:12.162]  Your chance to empower your body, your health, your immune system, and more, and keep us on the air, a win-win.
[01:16:12.162 --> 01:16:20.685]  The bad news is a bunch of our best-selling products have already sold out, and because of supply chain breakdowns, it'll be months and months until these great products come back in.
[01:16:20.685 --> 01:16:22.026]  X3 sold out.
[01:16:22.026 --> 01:16:22.406]  Our great
[01:16:23.186 --> 01:16:26.029]  American Coffee Blend has sold out.
[01:16:26.029 --> 01:16:27.771]  Biotricillinium has sold out.
[01:16:27.771 --> 01:16:40.784]  But what hasn't sold out is DNA Force Plus, Vitamin Mineral Fusion, Body's Ultimate Turmeric Formula, Whole Food Multivitamin, Rain Force Ultra, Super Mel Vitality, and so much more.
[01:16:41.224 --> 01:16:46.767]  So, you've only got a few weeks to get these products at the lowest price you're ever going to find them.
[01:16:46.767 --> 01:16:47.768]  Don't fight the crowds.
[01:16:47.768 --> 01:16:49.028]  Don't fight the traffic.
[01:16:49.028 --> 01:16:51.570]  Don't do all your Christmas shopping in a month like a fool.
[01:16:51.570 --> 01:16:52.731]  Do it now.
[01:16:52.731 --> 01:16:53.611]  Get it all over with.
[01:16:53.611 --> 01:16:54.732]  Get a great deal.
[01:16:54.732 --> 01:16:57.053]  Keep InfoWars on the air while empowering your body.
[01:16:57.053 --> 01:16:58.374]  InfoWarsStore.com.
[01:16:59.474 --> 01:17:05.038]  Ladies and gentlemen, we always run the biggest deals of the year starting in mid-November through Christmas.
[01:17:05.038 --> 01:17:10.281]  But this year is hands down the biggest sale we've ever offered.
[01:17:10.281 --> 01:17:20.107]  Not just up to 60% off with promo code 1776, but on top of it, double Patriot points and what makes this the most special sale ever.
[01:17:20.607 --> 01:17:29.452]  Every order will get a free gift no matter how small or how big and it's all randomly selected by the shopping cart computer.
[01:17:29.452 --> 01:17:31.734]  So you might order a sticker pack for $5.
[01:17:31.734 --> 01:17:34.315]  You might order the blowout t-shirt sale for $4.95.
[01:17:35.876 --> 01:17:39.958]  And then get something worth $50, $60, $70, $80, $100.
[01:17:39.958 --> 01:17:42.719]  So, again, some of the gifts are sticker packed.
[01:17:42.719 --> 01:17:44.499]  Some of them are Alex Jones Halloween masks.
[01:17:44.499 --> 01:17:48.781]  Some of them are books, films, InfoWars flags, American flags.
[01:17:48.781 --> 01:17:50.522]  There are hundreds of different items.
[01:17:50.522 --> 01:17:51.722]  It's all random.
[01:17:51.722 --> 01:17:53.243]  InfoWarsStore.com.
[01:17:53.243 --> 01:17:55.444]  Every order gets a free gift.
[01:17:55.444 --> 01:17:58.325]  Free gifts with every order at InfoWarsStore.com.
[01:17:59.145 --> 01:18:11.171]  As an all-star fighter, businessman, motivational speaker, and philanthropist, Andrew Tate has truly earned the title of Top G. But there's another title Andrew Tate holds that has enraged the globalists.
[01:18:11.171 --> 01:18:16.594]  He is consecutively the most Googled man in the world in the last two years.
[01:18:16.594 --> 01:18:21.196]  And that's because his message is about human, and specifically, male empowerment.
[01:18:21.676 --> 01:18:27.921]  Now, Andrew Tate is taking his fight to empower and supercharge men to the next level.
[01:18:27.921 --> 01:18:30.883]  Introducing Top G Supplements.
[01:18:30.883 --> 01:18:36.167]  We are proud to introduce and sponsor the Top G line of supplements by Andrew Tate and his crew.
[01:18:36.167 --> 01:18:42.172]  Now you have the chance to benefit in body, mind, and soul with the same supplements that Andrew Tate takes himself.
[01:18:42.172 --> 01:18:46.956]  Learn more about these amazing products at AndrewTatePower.com.
[01:18:46.956 --> 01:18:48.457]  AndrewTatePower.com.
[01:18:48.777 --> 01:18:53.525]  And discover the power of Andrew Tate's new supplements that are the highest quality on the market.
[01:18:53.525 --> 01:18:54.567]  Men grow up to be like me.
[01:18:54.567 --> 01:18:59.416]  You're gonna have a whole bunch of people with no criminal record, dedicated athletes, who protect and provide for the people close to them.
[01:19:01.044 --> 01:19:21.677]  The tip of the spear throughout this entire process, the only thing that made any Republican victories tonight possible, the only thing that made any resistance to the war machine possible, the only thing that made any opposition to the lockdowns and the mask mandates and the school shutdowns and the forced vaccines and the dangerous drugs possible,
[01:19:22.177 --> 01:19:35.308]  What made any resistance to it possible was people continuing to support InfoWars despite the massive lawfare being waged against InfoWars, despite the media defamatory, libelous campaign against InfoWars.
[01:19:35.308 --> 01:19:44.155]  The ordinary people, the everyday people that buy products that make their own lives healthier, wealthier, and wiser is what keeps InfoWars on the air.
[01:19:44.155 --> 01:19:50.520]  And what that does is keep the populist message alive in an era and an age of totalitarian oppression.
[01:19:50.660 --> 01:19:52.101]  So continue to do it.
[01:19:52.101 --> 01:19:54.283]  Go to places like InfoWarsTore.com.
[01:19:54.283 --> 01:19:56.384]  Go to the places like Save InfoWars.
