[00:00.000 --> 00:28.000]  From the Infowars.com News Center, deep behind enemy lines, in the middle of the night,
[01:16:42.180 --> 01:16:45.180]  So when I say scorched earth, Alex,
[01:16:45.180 --> 01:16:49.180]  I am talking about a scorched earth policy of Obama and Clinton.
[01:16:49.180 --> 01:16:51.180]  It's not in a vacuum.
[01:16:51.180 --> 01:16:53.180]  How could people not know this?
[01:16:53.180 --> 01:16:56.180]  You played a tape earlier of the former KGB agent.
[01:16:56.180 --> 01:17:00.180]  The brainwashing is overwhelming.
[01:17:00.180 --> 01:17:02.180]  The people are dumb.
[01:17:02.180 --> 01:17:07.180]  If you say anything like this, racist, this, this, that, this,
[01:17:07.180 --> 01:17:10.180]  it's the Communist Party, USA, and cahoots with the progressives.
[01:17:10.180 --> 01:17:14.180]  Their goal is to blow America up and remake it in their image.
[01:17:14.180 --> 01:17:16.180]  No, I had a nightmare vision the other night.
[01:17:16.180 --> 01:17:19.180]  I said, wait, could it be as bad as some of the conspiracies say
[01:17:19.180 --> 01:17:22.180]  that Obama is actually a front for the Muslim Brotherhood
[01:17:22.180 --> 01:17:27.180]  and that the FBR, which is now in total denial about what's going on in the country
[01:17:27.180 --> 01:17:30.180]  and has been for a while, the Federal Bureau of Islam,
[01:17:30.180 --> 01:17:33.180]  is it now the Federal Bureau of Islamization, Alex?
[01:17:33.180 --> 01:17:35.180]  Is that what it's become?
[01:17:35.180 --> 01:17:39.180]  Dr. Savage, I would hear you 15 years ago on the radio
[01:17:39.180 --> 01:17:43.180]  and think this guy's really smart, but claiming that Islam wants to take over,
[01:17:43.180 --> 01:17:45.180]  it can't, we won't put up with it.
[01:17:45.180 --> 01:17:48.180]  Now you have been proven totally right,
[01:17:48.180 --> 01:17:51.180]  and they are running TV ads in every major European country
[01:17:51.180 --> 01:17:54.180]  saying you must submit to Islam, it is the new culture.
[01:17:54.180 --> 01:17:58.180]  I mean, I have ads that I aired, put up by the German and Swedish government
[01:17:58.180 --> 01:18:02.180]  that I aired last hour, where they say, you no longer are a Swede,
[01:18:02.180 --> 01:18:04.180]  you are a Muslim.
[01:18:04.180 --> 01:18:07.180]  Someone asked you this, sir, world-traveled, you know, historian, you name it.
[01:18:07.180 --> 01:18:10.180]  What is the master plan by the George Sorosus?
[01:18:10.180 --> 01:18:13.180]  What in the hell are they thinking?
[01:18:13.180 --> 01:18:16.180]  I don't care what his master plan is, this emigrate needs to be rounded up
[01:18:16.180 --> 01:18:18.180]  by Interpol, in my opinion.
[01:18:18.180 --> 01:18:21.180]  When Donald Trump becomes president, all I can say is George Sorosus
[01:18:21.180 --> 01:18:24.180]  better not be in America, because one of the first things
[01:18:24.180 --> 01:18:27.180]  Obama, excuse me, that Trump has to do,
[01:18:27.180 --> 01:18:29.180]  I don't know how many different things he has to do at once,
[01:18:29.180 --> 01:18:31.180]  the first thing is the subversives.
[01:18:31.180 --> 01:18:33.180]  I agree, and a good way to start, you just said it.
[01:18:33.180 --> 01:18:37.180]  Michael Savage and Alex Jones are calling for the war criminal,
[01:18:37.180 --> 01:18:40.180]  wanted in many nations, who's overthrown nations financially,
[01:18:40.180 --> 01:18:42.180]  allied with radical Islam.
[01:18:42.180 --> 01:18:45.180]  We are calling for George Sorosus to be deported the day
[01:18:45.180 --> 01:18:47.180]  Donald Trump is sworn in.
[01:18:47.180 --> 01:18:49.180]  You can't deport him the first day.
[01:18:49.180 --> 01:18:51.180]  You can try him the first day.
[01:18:51.180 --> 01:18:56.180]  You can bring him in on charges of sedition, for example.
[01:18:56.180 --> 01:19:00.180]  Who gave this filthy billionaire emigrate,
[01:19:00.180 --> 01:19:02.180]  this money changer in the temple of beauty?
[01:19:02.180 --> 01:19:06.180]  Who gave this bum and his illegitimate, crazy family son?
[01:19:06.180 --> 01:19:07.180]  Did you see the son?
[01:19:07.180 --> 01:19:08.180]  Totally.
[01:19:08.180 --> 01:19:09.180]  Here's the beautiful part.
[01:19:09.180 --> 01:19:10.180]  I had it up on my website.
[01:19:10.180 --> 01:19:11.180]  I couldn't believe it over Labor Day.
[01:19:11.180 --> 01:19:15.180]  It showed the son of Sorosus, the biggest party animal now
[01:19:15.180 --> 01:19:18.180]  in the Hamptons, in a $72 million house,
[01:19:18.180 --> 01:19:21.180]  hanging around with disgusting rap stars,
[01:19:21.180 --> 01:19:24.180]  filthy degenerate models, the whole pack of America.
[01:19:24.180 --> 01:19:26.180]  Oh, if you Google his image, his son,
[01:19:26.180 --> 01:19:28.180]  he's totally walked out of his brain.
[01:19:28.180 --> 01:19:32.180]  This bum, this cock-eyed bum is now hanging out
[01:19:32.180 --> 01:19:35.180]  with the lowest of the scum in the rap world,
[01:19:35.180 --> 01:19:37.180]  the lowest of the scum from the runways,
[01:19:37.180 --> 01:19:39.180]  the gutter rats of the world,
[01:19:39.180 --> 01:19:42.180]  and now hanging out with Sorosus' son, party animals.
[01:19:42.180 --> 01:19:46.180]  And this man is now going to take his father's ill-gained fortune,
[01:19:46.180 --> 01:19:50.180]  and I say ill-gain because, to me, money trading is ill-gain.
[01:19:50.180 --> 01:19:51.180]  You want to go into this?
[01:19:51.180 --> 01:19:53.180]  I don't know how people can bet against currencies
[01:19:53.180 --> 01:19:54.180]  and make a living.
[01:19:54.180 --> 01:19:55.180]  I don't know how that's allowed.
[01:19:55.180 --> 01:19:57.180]  Can you explain that to me?
[01:19:57.180 --> 01:19:59.180]  The man almost collapsed the British pound.
[01:19:59.180 --> 01:20:01.180]  He admits he tries to collapse countries.
[01:20:01.180 --> 01:20:04.180]  He's been trying to collapse the dollar for 50 years.
[01:20:04.180 --> 01:20:08.180]  All right, we know who the arch enemy of freedom is.
[01:20:08.180 --> 01:20:10.180]  He has a name, in our opinion.
[01:20:10.180 --> 01:20:13.180]  He should be tried in scorched earth,
[01:20:13.180 --> 01:20:17.180]  to have a whole chapter, not only on the head of the snake,
[01:20:17.180 --> 01:20:20.180]  but all the subversive groups that I could find in America.
[01:20:20.180 --> 01:20:22.180]  It's two pages long, Alex.
[01:20:22.180 --> 01:20:23.180]  Some of them have benign names.
[01:20:23.180 --> 01:20:27.180]  You've never heard of some, you know, ACLU.
[01:20:27.180 --> 01:20:29.180]  All of these groups need to be investigated
[01:20:29.180 --> 01:20:32.180]  by the new UAC, House on American Activities Committee.
[01:20:32.180 --> 01:20:34.180]  Now, I know that's a red flag
[01:20:34.180 --> 01:20:36.180]  to all of the good liberals out there.
[01:20:36.180 --> 01:20:37.180]  It should be.
[01:20:37.180 --> 01:20:39.180]  Well, it shouldn't be a red flag.
[01:20:39.180 --> 01:20:40.180]  No, no, listen, I want to say this.
[01:20:40.180 --> 01:20:41.180]  I want to say something real quick
[01:20:41.180 --> 01:20:42.180]  and then let you take it over.
[01:20:42.180 --> 01:20:45.180]  I've always been for free speech to the most radical level.
[01:20:45.180 --> 01:20:47.180]  The problem is they're all organizing
[01:20:47.180 --> 01:20:49.180]  and saying they want to shut down talk radio.
[01:20:49.180 --> 01:20:50.180]  They want to shut down Matt Drudge.
[01:20:50.180 --> 01:20:51.180]  They want to shut down Breitbart.
[01:20:51.180 --> 01:20:53.180]  Hillary says the alt-right,
[01:20:53.180 --> 01:20:55.180]  that means Michael Savage is the dean,
[01:20:55.180 --> 01:20:56.180]  does not have a right to exist.
[01:20:56.180 --> 01:20:59.180]  When you start hearing final solution,
[01:20:59.180 --> 01:21:03.180]  literal Nazi rhetoric, that I don't have a right to exist.
[01:21:03.180 --> 01:21:04.180]  I've got a black heart.
[01:21:04.180 --> 01:21:05.180]  You're evil.
[01:21:05.180 --> 01:21:06.180]  Matt Drudge is evil.
[01:21:06.180 --> 01:21:07.180]  I'm done.
[01:21:07.180 --> 01:21:08.180]  Listen, you come here.
[01:21:08.180 --> 01:21:09.180]  You overthrow the country.
[01:21:09.180 --> 01:21:10.180]  You're bringing radical Muslims.
[01:21:10.180 --> 01:21:11.180]  You want to arrest me?
[01:21:11.180 --> 01:21:12.180]  The gloves are off.
[01:21:12.180 --> 01:21:14.180]  We're going to try in front of a jury.
[01:21:14.180 --> 01:21:16.180]  Then we're going to lock your asses up.
[01:21:16.180 --> 01:21:17.180]  You want it?
[01:21:17.180 --> 01:21:18.180]  We're going to find out who the traitors are.
[01:21:18.180 --> 01:21:19.180]  Go ahead.
[01:21:19.180 --> 01:21:23.180]  Alex, you know, the left was famous at Agitprop.
[01:21:23.180 --> 01:21:25.180]  I believe after this election, whoever wins,
[01:21:25.180 --> 01:21:27.180]  we need to have a people's tribunal
[01:21:27.180 --> 01:21:30.180]  and have mock trials of Hillary Clinton,
[01:21:30.180 --> 01:21:32.180]  John Kerry, George Soros.
[01:21:32.180 --> 01:21:34.180]  All of the names that we know are involved
[01:21:34.180 --> 01:21:35.180]  with destroying our sovereignty.
[01:21:35.180 --> 01:21:36.180]  We should.
[01:21:36.180 --> 01:21:38.180]  And going after our First Amendment.
[01:21:38.180 --> 01:21:40.180]  There's nothing prohibiting such Agitprop.
[01:21:40.180 --> 01:21:42.180]  You can be the prosecutor.
[01:21:42.180 --> 01:21:43.180]  Who?
[01:21:43.180 --> 01:21:44.180]  You.
[01:21:44.180 --> 01:21:45.180]  No, I'm not good as a lawyer.
[01:21:45.180 --> 01:21:46.180]  I can't even imitate lawyers.
[01:21:46.180 --> 01:21:50.180]  But the thing is, Alex, listen, we got to slow down.
[01:21:50.180 --> 01:21:51.180]  There's a lot of work to be done,
[01:21:51.180 --> 01:21:52.180]  because if Trump wins,
[01:21:52.180 --> 01:21:53.180]  and it looks like he could easily win
[01:21:53.180 --> 01:21:55.180]  unless they do one of two things,
[01:21:55.180 --> 01:21:58.180]  and I'm terrified of either of the options.
[01:21:58.180 --> 01:22:01.180]  One is the most horrible possibility.
[01:22:01.180 --> 01:22:03.180]  If it looks like he's going to beat her,
[01:22:03.180 --> 01:22:05.180]  you know they're not letting him get to the finish line.
[01:22:05.180 --> 01:22:07.180]  Let's let that hang in the air.
[01:22:07.180 --> 01:22:11.180]  Number two, let us say he wins.
[01:22:11.180 --> 01:22:13.180]  Well, what happens then?
[01:22:13.180 --> 01:22:15.180]  He is surrounded by neocons.
[01:22:15.180 --> 01:22:18.180]  They have already triangulated Trump.
[01:22:18.180 --> 01:22:20.180]  You saw that last week.
[01:22:20.180 --> 01:22:23.180]  He already brought in the, I think it was on show last week,
[01:22:23.180 --> 01:22:28.180]  the former head of the CIA under, was it, huh?
[01:22:28.180 --> 01:22:30.180]  Came out and criticized Trump.
[01:22:30.180 --> 01:22:34.180]  The former head of the CIA under Clinton.
[01:22:34.180 --> 01:22:36.180]  He's using him as an advisor?
