[00:00.000 --> 00:29.920]  From the InfoWars.com News Center, D.P.
[1:20:43.920 --> 1:20:49.920]  It's hard to stay anonymous prime, including influence public perception with state sponsored propaganda.
[1:20:49.920 --> 1:20:56.920]  Is this lost to anybody? We're told the Russians are the reason that Trump was elected when they basically had no involvement.
[1:20:56.920 --> 1:21:02.920]  But Communist China is openly buying up the six big Hollywood studios. They've already begun.
[1:21:02.920 --> 1:21:09.920]  They're involved saying we can't have Trump. So is the Pope. So is the EU. One fifth of Hillary's money came from the Saudi Arabians.
[1:21:09.920 --> 1:21:16.920]  And Trump needs to come out against this right now. In fact, I'm shooting a special message to Trump today.
[1:21:16.920 --> 1:21:23.920]  They're going to have to pull the Star Destroyer out of the asteroid field so I can send a clear signal, but I'm going to send a transmission.
[1:21:23.920 --> 1:21:34.920]  And seriously, folks, you send a transmission that China thinks were so broke back and so pathetic that they're openly buying up all the studios telling people what movies can come out.
[1:21:34.920 --> 1:21:39.920]  They blocked Red Dawn two from coming out, made them re-edit it to take China out and are now totally taking over.
[1:21:39.920 --> 1:21:46.920]  Remember about six years ago when you were laughing at me saying China was taking over and they had all the white supremacists going, oh, shut up, Jones.
[1:21:46.920 --> 1:21:54.920]  Quit covering up for the Jews and all the rest of it. I was in Hollywood. I was in the meetings. It was happening.
[1:21:54.920 --> 1:22:00.920]  I was hearing, oh, that can't come out. You can't criticize China. Whatever you do, just don't put China in it.
[1:22:00.920 --> 1:22:04.920]  And it wasn't just because they wouldn't allow the film to be in China. It's because they're buying everything up.
[1:22:04.920 --> 1:22:14.920]  This is globalism, them ganging up militarily, corporately, culturally, and taking over the United States with corporate colonization and anchor babies.
[1:22:14.920 --> 1:22:20.920]  And I love Chinese people when they're American. They're hardworking, Americana, great, beautiful, wonderful people.
[1:22:20.920 --> 1:22:27.920]  But the people they're sending over now with the anchor babies to get a U.S. citizen kid are admittedly part of a larger takeover plan.
[1:22:27.920 --> 1:22:33.920]  And our government has greased the skids for it. And we've got a major Chinese invasion on our hands.
[1:22:33.920 --> 1:22:40.920]  And that isn't rhetorical. It's textbook, mega massive, 21st century, full spectrum dominance warfare.
[1:22:40.920 --> 1:22:47.920]  So of course they're telling us it's the Russians who are under the same attack trying to stabilize. Russia and the United States are under globalist attack.
[1:22:47.920 --> 1:22:53.920]  The globalists had control of the U.S. But they were about to fully chop the country's head off and put the chai comms basically in charge.
[1:22:53.920 --> 1:23:02.920]  Look at Davos two weeks ago. People aren't laughing now. They openly said, we will teach America. We will bring in world government. We will defeat Trump.
[1:23:02.920 --> 1:23:11.920]  You know what? Trump, there's been some talk about Trump blocking these mergers because it is a trust, a propaganda trust.
[1:23:11.920 --> 1:23:19.920]  I'm not even sure that's needed. We need to boycott Hollywood now. We need to pick at these films, just like we did Machete that was funded by the White House to create racial division.
[1:23:19.920 --> 1:23:29.920]  And we need to point out the communist Chinese are funding anti-American films openly funding it and openly showing sedition in America and trying to make our country fall.
[1:23:29.920 --> 1:23:37.920]  This is enemy propaganda. They won't even let films into China that are even pro free market or even talk about God.
[1:23:37.920 --> 1:23:43.920]  So they allow total censorship of their country. And now they're here trying to influence our election and involved.
[1:23:43.920 --> 1:23:49.920]  And Trump needs an investigation of the Chinese communist and the Saudi Arabians and others in our election.
[1:23:49.920 --> 1:23:57.920]  And we can send the people involved with the DNC to prison and say, see, it wasn't the Russians. This is the normal course.
[1:23:57.920 --> 1:24:06.920]  Some MSM dinosaur or trader media will say, the sky is green when it's blue. Alex, no, you can't do that. You're not allowed to do that.
[1:24:06.920 --> 1:24:15.920]  This isn't going to happen. There's no such thing. You're trying to be fascist. No, I'm calling for law to be enforced.
[1:24:15.920 --> 1:24:25.920]  We have the communist Chinese that the globalists have sold our jobs out to and try to position us to be their minions, stealing all our technology, openly trying to lecture us right now.
[1:24:25.920 --> 1:24:31.920]  That they own us and control us. It's sickening. And I've told you for years, who have they linked up with?
[1:24:31.920 --> 1:24:43.920]  The global central banks, the EU, the communist Chinese and the Muslims led by Saudi Arabia and their dominant form of Wahhabist cult garbage.
[1:24:43.920 --> 1:24:49.920]  And they've all linked up against what's left of Europe, what's left of the UK, what's left of the US and Australia.
[1:24:49.920 --> 1:24:55.920]  And for them, the globalists aren't making it race-based because that's always a good operating system for tribalism.
[1:24:55.920 --> 1:25:01.920]  With China, it's race-based. With Latin America, they're trying to make it race-based, though most Latin Americans are rejecting it.
[1:25:01.920 --> 1:25:05.920]  With Africa, they're making it race-based, though most Africans are rejecting it. They are.
[1:25:05.920 --> 1:25:13.920]  But still, we have got a big battle. We ought to be thanking God for Trump and the fact that he sees this and understands this attack profile.
[1:25:13.920 --> 1:25:22.920]  And you ought to be getting this live transmission link and this archive when it comes out later today about the communist Chinese plan to take over America with the Democrats to everyone you know.
[1:25:22.920 --> 1:25:28.920]  Remember Bill Ayers, back in the 70s, wanted to have Chinese come in and help run the death camps for Americans that came out in court?
[1:25:28.920 --> 1:25:34.920]  They were just thinking old-fashioned with physical Chinese. First, the propaganda rolls out.
[1:25:34.920 --> 1:25:41.920]  Alright, let's go to your phone calls to Zach and Cindy and James and Kevin and Blake and others.
[1:25:41.920 --> 1:25:47.920]  Let's go to Blake. He says he disagrees from Texas. You're on the air, Blake. Welcome.
[1:25:47.920 --> 1:25:54.920]  Thanks for taking my call. I disagree not about the communist Chinese or Hollywood.
[1:25:54.920 --> 1:26:04.920]  I disagree with something you said yesterday, was that you didn't want a presence in the White House press room.
[1:26:04.920 --> 1:26:18.920]  I mean, it's your operation and I think you feel like you can be more of an impact on the outside.
[1:26:18.920 --> 1:26:27.920]  I think it's just such a tremendous opportunity to be able to ask the president any kind of question, to be able to control the news cycle.
[1:26:27.920 --> 1:26:29.920]  I think it's a great opportunity.
[1:26:29.920 --> 1:26:34.920]  Well, I think you're taking out of context what I said, okay? A, we have to have the money.
[1:26:34.920 --> 1:26:37.920]  I got people running around here saying send me to Washington. Send me to Washington.
[1:26:37.920 --> 1:26:43.920]  We'll do it on your own money. Go. Go now. I mean, I just have to run an operation. I have to have real money.
[1:26:43.920 --> 1:26:49.920]  I have to actually then plan things out. I have to make sure who I send doesn't just, you know, screw off all day.
[1:26:49.920 --> 1:26:55.920]  I can't get basic operations I want to launch from older plans done, so I have to finish those.
[1:26:55.920 --> 1:27:00.920]  Full ideas, not a lot of action. So I do agree we need to be there and ask real questions and it's important.
[1:27:00.920 --> 1:27:04.920]  And I did criticize the fact that they're going to ABC and they're going to CNN first.
[1:27:04.920 --> 1:27:10.920]  Well, where's Breitbart? You know, Breitbart's important. So Bannon is in the White House. Who cares?
[1:27:10.920 --> 1:27:15.920]  There were tons of people from the media inside the Clinton and Obama White Houses and back and forth.
