[00:00:00.868 --> 00:00:03.151]  It's Wednesday, January 12th.
[01:00:54.659 --> 01:00:56.802]  Because people don't even know they're in a fight.
[01:00:56.802 --> 01:00:58.304]  They don't even know that they're in a war.
[01:00:58.304 --> 01:01:00.367]  And so what did Harrison Smith say?
[01:01:00.367 --> 01:01:02.490]  He said, we've got to have a base.
[01:01:03.677 --> 01:01:05.178]  You've got to have a place that you're masked.
[01:01:05.178 --> 01:01:08.199]  And that's why they target every base we've got.
[01:01:08.199 --> 01:01:11.741]  They infiltrated and took over the NRA and destroyed it, basically.
[01:01:11.741 --> 01:01:14.062]  And I haven't talked about the inside baseball because it's so sad.
[01:01:14.062 --> 01:01:16.863]  It's still straggling along, barely alive.
[01:01:16.863 --> 01:01:18.644]  But that's a whole other show.
[01:01:18.644 --> 01:01:19.985]  They tried the same stuff with us.
[01:01:19.985 --> 01:01:23.186]  I mean, intelligence agency tactics, you name it.
[01:01:23.186 --> 01:01:25.707]  And we survived, by the grace of God.
[01:01:25.707 --> 01:01:27.008]  And loyal people.
[01:01:27.008 --> 01:01:28.188]  But it's been hell.
[01:01:28.188 --> 01:01:28.929]  It's been rough, okay?
[01:01:32.190 --> 01:01:39.553]  Anyways, let's just say, when all this stuff comes out, if we ever survive this, it's going to be unbelievable.
[01:01:39.553 --> 01:01:41.593]  So we need a base of operations, ladies and gentlemen.
[01:01:41.593 --> 01:01:45.275]  I had his tweet here, but he makes a really good point.
[01:01:45.275 --> 01:01:51.637]  But here's another meme I saw that I think is really, really important.
[01:01:51.637 --> 01:01:54.378]  First we overlook evil.
[01:01:54.378 --> 01:01:57.079]  Then we permit evil.
[01:01:57.079 --> 01:01:59.779]  Then we legitimize evil.
[01:01:59.779 --> 01:02:01.040]  Then we promote evil.
[01:02:02.512 --> 01:02:04.613]  Then we celebrate evil.
[01:02:04.613 --> 01:02:09.177]  Then we persecute those who still call it evil.
[01:02:09.177 --> 01:02:18.503]  And that's Isaiah 520 says, Woe, or look out, unto them who call evil good and good evil.
[01:02:18.503 --> 01:02:24.767]  And that is at the left, I don't know what else.
[01:02:24.767 --> 01:02:30.411]  So, this is a very, very important time.
[01:02:32.079 --> 01:02:34.641]  To say the least.
[01:02:34.641 --> 01:02:48.730]  And I remember, I remember listening to Dr. Yidan and Dr. Wolfgang Wudarg 18 months ago.
[01:02:48.730 --> 01:02:50.971]  They were already saying we've looked at what's in this vaccine.
[01:02:52.219 --> 01:02:53.060]  It's not a vaccine.
[01:02:53.060 --> 01:02:57.844]  It's going to cause blood clots, heart attacks, infertility, everything that happened.
[01:02:57.844 --> 01:03:00.406]  Because they're scientists that do this for a living, they know.
[01:03:00.406 --> 01:03:03.449]  And then sure enough, the CDC documents said the exact same thing.
[01:03:03.449 --> 01:03:04.770]  They knew it and did it.
[01:03:04.770 --> 01:03:16.501]  So I was freaked out then, but I, you know, if you go back 22 months ago, I mean, I was like, yeah, they're going to try to force inoculations and use that as the reason to clamp down and create a global ID because in their own documents, they were admitting all that.
[01:03:17.842 --> 01:03:27.490]  But I, the one area I was wrong about was that they would roll out an immediate shot that would cause massive illnesses right away and death.
[01:03:27.490 --> 01:03:27.891]  But they did.
[01:03:29.867 --> 01:03:32.889]  And I started to figure that out when it started over a year ago in the UK.
[01:03:32.889 --> 01:03:39.272]  I went, oh, that way everybody that gives their kids the shots, themselves the shots, they've learned when they get traumatized, they Stockholm out.
[01:03:39.272 --> 01:03:40.873]  I call it Stockholm-ing out.
[01:03:40.873 --> 01:03:41.634]  I'm not a psychologist.
[01:03:41.634 --> 01:03:44.675]  I just notice these things in life and give them names.
[01:03:44.675 --> 01:03:45.916]  But they Stockholm out.
[01:03:45.916 --> 01:03:46.857]  Stockholm syndrome out.
[01:03:46.857 --> 01:03:50.059]  They just go, oh, I'll take five more since I'm feeling sick.
[01:03:50.059 --> 01:03:51.719]  God, I feel really bad after I took that.
[01:03:51.719 --> 01:03:52.260]  I'm dying.
[01:03:52.260 --> 01:03:55.802]  But the answer is more.
[01:03:55.802 --> 01:03:57.703]  So Harrison Smith says it all in his tweet.
[01:03:57.703 --> 01:03:58.924]  I'll put it up on screen again.
[01:04:00.424 --> 01:04:04.447]  Just picture the USA like a map and risk or total war.
[01:04:04.447 --> 01:04:12.572]  First thing you see is the conservatives, while still powerful and numerous, are spread way too thin to be effective.
[01:04:12.572 --> 01:04:16.415]  The first move would be to consolidate forces.
[01:04:16.415 --> 01:04:19.957]  Expansion only comes after you have secured a base.
[01:04:19.957 --> 01:04:20.898]  That's what communists do.
[01:04:20.898 --> 01:04:25.340]  They take a country over and then suck it dry and they call it exploitation.
[01:04:25.340 --> 01:04:27.542]  They use it to invade the next country.
[01:04:29.005 --> 01:04:29.806]  Always more, more, more.
[01:04:29.806 --> 01:04:34.689]  That's why Democrats get a city, suck it dry, collapse it, use it to take the next city.
[01:04:34.689 --> 01:04:41.913]  And even send out their vagabonds, their leftists are like zombies, but they leave when the left tells them, Austin is now trendy.
[01:04:41.913 --> 01:04:45.135]  And they all run to Austin like zombies and destroy it.
[01:04:45.135 --> 01:04:47.577]  Doing the same thing they did that destroyed California.
[01:04:47.577 --> 01:04:48.658]  But that's how they work.
[01:04:48.658 --> 01:04:50.819]  And this is very scientific.
[01:04:50.819 --> 01:04:52.080]  This is war.
[01:04:52.080 --> 01:04:53.941]  But being aware of it gives you the upper hand.
[01:04:58.715 --> 01:05:05.877]  Everything we've witnessed in the last few decades has only been the build-up for what the globalists are doing right now.
[01:05:05.877 --> 01:05:07.597]  This is their big offensive.
[01:05:07.597 --> 01:05:09.057]  This is their takeover.
[01:05:09.057 --> 01:05:13.078]  And this is the point that they're at their very weakest because now they've revealed themselves.
[01:05:13.078 --> 01:05:18.039]  Now their world government, their permanent martial law, their medical tyranny is out in the open.
[01:05:18.039 --> 01:05:20.220]  Their depopulation agenda has been exposed.
[01:05:21.280 --> 01:05:26.885]  They're using their corporate power and trillions to go across the planet and shut down people telling the truth.
[01:05:26.885 --> 01:05:32.309]  So listen, Paul Reveres, when you spread the word about the broadcast, when you pray for the broadcast, you're the tip of the spear.
[01:05:32.309 --> 01:05:35.992]  And when you buy products at InfoWarsTore.com, you keep us on air.
[01:05:35.992 --> 01:05:43.058]  Plus, we've got great products that have been sold out for months that are back in stock, 50% off, X2 and Winter Sun.
[01:05:43.058 --> 01:05:45.140]  Both of these are in our top five best sellers.
[01:05:45.140 --> 01:05:46.341]  They are so good for your body.
[01:05:46.341 --> 01:05:48.103]  And if there's two things you do for your body,
[01:05:48.763 --> 01:05:49.864]  It's these two products.
[01:05:49.864 --> 01:05:52.605]  They're all back in stock at Infowarshore.com.
[01:05:52.605 --> 01:05:54.466]  50% off and it keeps us on the air.
[01:05:54.466 --> 01:06:04.030]  Only way we fail is if you don't take action.
[01:06:04.030 --> 01:06:08.972]  From the front lines of the information war, it's Alex Jones.
[01:06:16.476 --> 01:06:25.439]  When you find yourself breaking down and crying in the middle of the night because of the evil, it's not because you're weak, it's because you're strong.
[01:06:25.439 --> 01:06:27.540]  It's because you care.
[01:06:27.540 --> 01:06:31.122]  It's because you're not going to adapt to the tyranny by submitting to it.
[01:06:31.122 --> 01:06:33.643]  You're going to adapt to the tyranny by overcoming it, defeating it.
[01:06:33.643 --> 01:06:35.763]  And you're going to take on the pain of the children.
[01:06:35.763 --> 01:06:38.845]  You're going to take on the pain of the innocents.
[01:06:38.845 --> 01:06:44.667]  And you're going to take on all the responsibility that it takes to do whatever you've got to do to crush these people.
[01:06:46.886 --> 01:06:51.949]  Because those aren't tears of sorrow, those are tears of burning commitment.
[01:06:51.949 --> 01:07:05.155]  And your intellect and your mind firing up like big blast furnaces to forge the intellectual and political and economic and spiritual weapons to defeat the new world order.
[01:07:05.155 --> 01:07:10.078]  I don't know about you, but my furnaces are white hot.
[01:07:10.078 --> 01:07:11.418]  And they are busy.
[01:07:11.418 --> 01:07:13.259]  And they are working around the clock.
[01:07:13.259 --> 01:07:14.740]  And my wheels are spinning.
[01:07:15.854 --> 01:07:24.430]  Always fun in my life when I start stumbling and getting upset and that bad is actually because my whole mind is working.
[01:07:25.205 --> 01:07:30.289]  Sometimes now I'm focused, sitting in a room in the dark, thinking about the New World Order, how to beat them, and I'll just get totally dizzy and almost pass out.
[01:07:30.289 --> 01:07:31.930]  I'll get nauseous.
[01:07:31.930 --> 01:07:34.633]  That's because I am just totally facing everything.
[01:07:34.633 --> 01:07:36.294]  And people go, oh, Jones, you look old.
[01:07:36.294 --> 01:07:37.955]  You look worn out.
[01:07:37.955 --> 01:07:39.056]  Absolutely.
[01:07:39.056 --> 01:07:40.537]  I am wearing myself out fighting this.
[01:07:40.537 --> 01:07:42.179]  I intend to wear myself all the way out.
[01:07:42.179 --> 01:07:49.845]  I'm not trying to put potions on my face and have pretty hair and candy ass around and live longer and work with the system.
[01:07:49.845 --> 01:07:51.386]  That's not who I am.
[01:07:51.386 --> 01:07:52.467]  I'm 110% going up against these people.
[01:07:54.068 --> 01:07:56.033]  And I'm taking it all on.
[01:07:56.033 --> 01:07:58.077]  I'm not trying to not have responsibility.
[01:07:58.077 --> 01:07:59.240]  I'm not trying to not care.
[01:07:59.240 --> 01:08:02.747]  I'm not trying to be you little sociopathic Hollywood people.
[01:08:02.747 --> 01:08:03.569]  I want it all!
[01:08:07.631 --> 01:08:14.173]  And that doesn't mean I want the jets and the fancy cars and the castle on the hill, because all that without liberty is empty.
[01:08:14.173 --> 01:08:16.793]  I mean, I want to experience it.
[01:08:16.793 --> 01:08:22.935]  I want to actually be the one on the other side of evil that says, I'm not with you, and I'm going to give you a real run for your money.
[01:08:22.935 --> 01:08:27.776]  You understand that?
[01:08:27.776 --> 01:08:32.897]  I look at that CEO of Pfizer, and I hate him more than Bill Gates.
[01:08:32.897 --> 01:08:35.318]  Cool, he is an arrogant, murdering criminal.
[01:08:37.003 --> 01:08:45.410]  And I look at him on TV going, oh yeah, there's almost no help in the shots, if any, unless you take more!
[01:08:45.410 --> 01:08:55.038]  And then he brags how he just took over 50 plus more biotech companies, and now he's going to fix your DNA, and we're all broken, but this guy's going to fix us!
[01:08:55.038 --> 01:09:00.802]  I mean, imagine if your wife told you, your husband, you know, you're broken, I'm going to fix you.
[01:09:00.802 --> 01:09:02.884]  You'd be like, you've gone crazy.
[01:09:02.884 --> 01:09:05.446]  But it's some creepy, most corrupt
[01:09:06.320 --> 01:09:24.671]  Pharmaceutical company in world history pays the biggest fines, who runs your government, who had your government sign secret agreements, that took this crap up at the Wuhan lab and tried to set the Pentagon up by having his agents go to Trump and others and get them to sign on to open air releasing COVID-19.
[01:09:24.671 --> 01:09:28.894]  And then when Trump didn't sign on, they went ahead and did it themselves.
[01:09:28.894 --> 01:09:35.178]  But oh, Trump would still be in office if they could have gotten him to sign on, because then they could blackmail the hell out of him.
[01:09:37.122 --> 01:09:39.024]  See, that's why they don't like this show.
[01:09:39.024 --> 01:09:47.472]  We don't just tell you a year before anybody else exactly what's happening and it turns out exactly as we told you in all the Pentagon documents and the Congressional documents and all of it.
[01:09:47.472 --> 01:09:50.474]  We are telling you how the rest of it works.
[01:09:50.474 --> 01:09:54.378]  And that's what they don't want you to get a grasp on.
[01:09:54.378 --> 01:09:59.843]  They want you to join in on their corruption.
[01:09:59.843 --> 01:10:00.724]  This was a giant
[01:10:02.335 --> 01:10:17.940]  Fourteen year plus Manhattan project level operation run by Obama, he's as high up as we go, and Bill Gates, who all hang out at Jeffrey Epstein's house on his island, cooking this up and then shopping it around to get the U.S.
