[00:00.000 --> 00:10.000]  Rallying Patriots Worldwide in Defense of Human Liberty, it's Alex Jones.
[01:34:24.000 --> 01:34:29.000]  And they go, oh, Jones is crazy. He's making up there's a civil war. And Robert E. Lee's going to come back from the dead,
[01:34:29.000 --> 01:34:34.000]  thinking their viewers and readers are so dumb that we mean the civil war, the last one that happened, and not the current one.
[01:34:34.000 --> 01:34:40.000]  The U.S. say today, said last week, we're now in a civil war. I'm saying, are we really?
[01:34:40.000 --> 01:34:49.000]  Is it going from a soft civil war to a more intensified one? And when does it ratchet up? I said, right now, July 4th, I see it ratcheting up into the summer.
[01:34:49.000 --> 01:34:53.000]  Rob New put together a compilation with some of the crew, just of some of the threats the last few weeks.
[01:34:53.000 --> 01:34:59.000]  But it's this military tactic of, there it is, USA Today, we're in a civil war. It's already begun.
[01:34:59.000 --> 01:35:08.000]  And then I go, oh, look, you agree with that? I kind of do. I said, last week, I think July 4th signifies a demarcation line of,
[01:35:08.000 --> 01:35:14.000]  is it the peak of the summer rage? No, but I see it as the ramping up because they're saying it's their plan.
[01:35:14.000 --> 01:35:20.000]  We saw incredible attacks. I'll play it next segment. Incredible attacks this weekend.
[01:35:20.000 --> 01:35:28.000]  People being attacked, stabbed, drugged behind cars, beaten up, coffee poured in their heads, calls for murder, calls for uprising.
[01:35:28.000 --> 01:35:35.000]  And then there were hundreds of articles, July 3rd, hundreds July 4th, and then hundreds yesterday.
[01:35:35.000 --> 01:35:39.000]  Because I can go to Google and type in Alex Jones, Civil War, and see how many there were.
[01:35:39.000 --> 01:35:43.000]  Washington Post, you name it, saying, Jones is insane. Democrats still want violence.
[01:35:43.000 --> 01:35:47.000]  He just says that armies are going to line up and the Southern Army will rise again.
[01:35:47.000 --> 01:35:55.000]  And they have all these photos all over the news and hundreds of publications of men with big beards and like civil war reenactments.
[01:35:55.000 --> 01:36:01.000]  Like I'm saying a civil war is going to happen. Like the last one, the propaganda is amazing.
[01:36:01.000 --> 01:36:04.000]  They go, oh, look at the history of Jones saying there's going to be a civil war.
[01:36:04.000 --> 01:36:09.000]  Yeah, the last couple of years, they're calling for it. I said they're ratcheting it up. It proves I'm right.
[01:36:09.000 --> 01:36:14.000]  It proves I know what I'm talking about. They use a still shot of my collar popping up.
[01:36:14.000 --> 01:36:21.000]  So they take a thing where I predict everything, show their own admissions, everything I said is coming true.
[01:36:21.000 --> 01:36:28.000]  I'm trying to stop it. They use that that I'm right to then say that I'm wrong.
[01:36:28.000 --> 01:36:32.000]  And they had all these Hollywood producers and so-called movie stars all make this big joke.
[01:36:32.000 --> 01:36:36.000]  But guess what? The video got four million views, four million.
[01:36:36.000 --> 01:36:40.000]  If you look at the, so Roger, what do you call this tactic where they do this?
[01:36:40.000 --> 01:36:44.000]  Because you're under attack. We're getting sued. We're getting threatened everywhere.
[01:36:44.000 --> 01:36:49.000]  And then they say, no one's calling for violence. We just want to, you know, kidnap Baron and raping.
[01:36:49.000 --> 01:36:53.000]  Yeah, I don't think people can really understand unless you experience it yourself.
[01:36:53.000 --> 01:37:00.000]  As I was talking to Tucker Carlson about this the other day, he can no longer go out in public by himself.
[01:37:00.000 --> 01:37:05.000]  I can't. I can't travel across the country without security, without bodyguards.
[01:37:05.000 --> 01:37:12.000]  I've had to put in security at my home. If I drive to the corner drugstore by myself,
[01:37:12.000 --> 01:37:18.000]  the odds are overwhelming that some libtard is going to want to get it on in the parking lot.
[01:37:18.000 --> 01:37:21.000]  The threat level has grown exponentially.
[01:37:21.000 --> 01:37:28.000]  The hysteria surrounding anyone who speaks out for the country or for this president.
[01:37:28.000 --> 01:37:33.000]  It is a dangerous, dangerous time. The reason they are so hysterical,
[01:37:33.000 --> 01:37:38.000]  the reason why they are moving to violence is because they're losing.
[01:37:38.000 --> 01:37:42.000]  We have a soaring economy. We have increasing world peace.
[01:37:42.000 --> 01:37:48.000]  We have a greater job market. It's driving them insane. They have to remove Trump,
[01:37:48.000 --> 01:37:51.000]  and violence is the only way left to do it.
[01:37:51.000 --> 01:37:56.000]  I predicted that they would float the 25th Amendment strategy.
[01:37:56.000 --> 01:38:02.000]  Brennan and Clapper did that last week. Infowars, tomorrow's news today.
[01:38:02.000 --> 01:38:09.000]  Now they're moving to the next phase, which is physical attacks on people they disagree with.
[01:38:09.000 --> 01:38:14.000]  Attacks on the streets, attacks on your home, attacks on your family.
[01:38:14.000 --> 01:38:19.000]  It is where we are headed. We are not the ones fomenting violence.
[01:38:19.000 --> 01:38:24.000]  We are not the ones advocating civil war, but we will defend ourselves.
[01:38:24.000 --> 01:38:28.000]  We will not be patsies. We will not bend over.
[01:38:28.000 --> 01:38:33.000]  We are not going to start this, but we are going to finish it.
[01:38:33.000 --> 01:38:38.000]  I agree. We have a gentleman joining us next hour that was there a few weeks ago.
[01:38:38.000 --> 01:38:42.000]  He beat up dozens of men, women, and children, and the local media said it was good,
[01:38:42.000 --> 01:38:44.000]  who tried to have a conservative rally in Portland.
[01:38:44.000 --> 01:38:47.000]  So a couple hundred patriots showed up to have a rally last weekend,
[01:38:47.000 --> 01:38:51.000]  and when just a few men flocked back, the antefer ran in fear.
[01:38:51.000 --> 01:38:54.000]  So I don't know what the Democrats think they're doing,
[01:38:54.000 --> 01:38:58.000]  because even polls show the abolish ICE thing where at least women caught with, you know,
[01:38:58.000 --> 01:39:01.000]  three kids and 14 pounds of methamphetamine,
[01:39:01.000 --> 01:39:04.000]  or at least child molesters if they happen to be illegal aliens.
[01:39:04.000 --> 01:39:07.000]  The Democrats are openly calling for this. How do they think that's a winning strategy?
[01:39:07.000 --> 01:39:09.000]  This is insanity.
[01:39:09.000 --> 01:39:14.000]  Well, it's interesting. One columnist in Portland blamed the fact that they had these insurrections
[01:39:14.000 --> 01:39:18.000]  on the fact that I spoke out there several months ago.
[01:39:18.000 --> 01:39:22.000]  That's the level of insanity. By the way, breaking news here,
[01:39:22.000 --> 01:39:27.000]  Senator Rand Paul has announced that he has reservations and may not vote
[01:39:27.000 --> 01:39:32.000]  for Judge Brett Kavanaugh if he is the president's nominee.
[01:39:32.000 --> 01:39:34.000]  We'll have to see how that works out.
[01:39:34.000 --> 01:39:41.000]  Why do the Democrats hate Paul, who's like a super libertarian, super smart, super informed,
[01:39:41.000 --> 01:39:46.000]  and really brings balance to Trump, and I admire him.
[01:39:46.000 --> 01:39:48.000]  But he's actually anti-war. He's a libertarian.
[01:39:48.000 --> 01:39:52.000]  He actually agrees with some of the stuff the Democrats did back when they weren't pure evil.
[01:39:52.000 --> 01:39:55.000]  So why do they particularly have a head out on him,
[01:39:55.000 --> 01:40:00.000]  shooting at him, breaking six ribs, puncturing stuff, people trying to kill him constantly?
[01:40:00.000 --> 01:40:02.000]  Why is he such the target?
[01:40:02.000 --> 01:40:05.000]  Because his politics is the politics of the future.
[01:40:05.000 --> 01:40:12.000]  His is the politics that fuses economic and fiscal conservatism with a strong national defense,
[01:40:12.000 --> 01:40:18.000]  but not a adventurism abroad, and a deep commitment to civil liberties.
[01:40:18.000 --> 01:40:24.000]  If the Republican Party can grab that message and yoke it with economic growth,
[01:40:24.000 --> 01:40:30.000]  you have the making of a new permanent majority coalition of the United States.
[01:40:30.000 --> 01:40:33.000]  And Paul's politics are the politics of the future.
[01:40:33.000 --> 01:40:37.000]  He's pro-Marijuana for medicinal purposes.
[01:40:37.000 --> 01:40:40.000]  He is a pro-gold, but he is not.
[01:40:40.000 --> 01:40:47.000]  And we see Trump more and more adopting what Rand's doing and ignoring the neocons.
[01:40:47.000 --> 01:40:49.000]  This is good news.
[01:40:49.000 --> 01:40:55.000]  Well, and look, he's coming out against Kavanaugh is significant because Trump needs every Republican,
[01:40:55.000 --> 01:41:00.000]  or if he loses one senator, he loses.
[01:41:00.000 --> 01:41:03.000]  Why do you think Paul's against Kavanaugh because he's a Warhawk?
[01:41:03.000 --> 01:41:12.000]  He's very upset with Kavanaugh's views on civil liberties issues and the executive power of the presidency.
[01:41:12.000 --> 01:41:13.000]  Thank God for Rand Paul.
[01:41:13.000 --> 01:41:16.000]  No wonder they want him dead, man.
[01:41:16.000 --> 01:41:19.000]  A truly great patriot.
[01:41:19.000 --> 01:41:23.000]  And who I think has been a real helpmate to President Trump.
[01:41:23.000 --> 01:41:27.000]  I'm really glad that Senator Paul and the president repaired their relationship.
[01:41:27.000 --> 01:41:29.000]  It was good that it was ruptured.
[01:41:29.000 --> 01:41:31.000]  Now I believe it's very good.
[01:41:31.000 --> 01:41:34.000]  I know the president thinks very highly of Senator Paul.
[01:41:34.000 --> 01:41:38.000]  Well, I'm not bragging, but behind the scenes, I made some phone calls and everything.
[01:41:38.000 --> 01:41:39.000]  And I mean, a lot of people didn't.
[01:41:39.000 --> 01:41:40.000]  I said, just stop it.
[01:41:40.000 --> 01:41:41.000]  Go play golf and stop it.
[01:41:41.000 --> 01:41:45.000]  Because I told Paul, you're only hurting yourself with all the stuff that happened.
[01:41:45.000 --> 01:41:48.000]  You're going to get reelected to get at least behind Trump.
[01:41:48.000 --> 01:41:50.000]  And then if you're close to Trump, you can advise him.
[01:41:50.000 --> 01:41:51.000]  He'll listen to you.
[01:41:51.000 --> 01:41:52.000]  He's not going to listen if you're at a far.
[01:41:52.000 --> 01:41:54.000]  And I think that was good advice, don't you?
[01:41:54.000 --> 01:41:56.000]  I think you've given him excellent advice.
[01:41:56.000 --> 01:41:59.000]  And I'm glad to hear that you helped make this marriage.
[01:41:59.000 --> 01:42:05.000]  Meanwhile, the left is just continuing in their apoplexy.
[01:42:05.000 --> 01:42:10.000]  It's very hard to fathom when you turn on the television.
[01:42:10.000 --> 01:42:15.000]  A deal in Korea that if Barack Obama had done would be called brilliant.
[01:42:15.000 --> 01:42:19.000]  Now, because Donald Trump is trying to do it is risky.
[01:42:19.000 --> 01:42:22.000]  And they're trying to sabotage it.
