[00:00.000 --> 00:06.000]  From the Frontlines of the Information War, it's Alex Jones.
[01:37:06.000 --> 01:37:22.000]  And it's meant to challenge Trump's idea of peace through strength, through commerce, and to basically manipulate him into a larger conflict. But don't think the globalists won't double cross North Korea as well.
[01:37:22.000 --> 01:37:31.000]  There's a lot of calculus that goes into this, and even the reckless globalists aren't sure they can contain this situation.
[01:37:31.000 --> 01:37:41.000]  Aren't sure they want this big war yet. But I think, I mean, you're a smart guy, you see what's going on, and that's a fact, what you said is what's going on.
[01:37:41.000 --> 01:37:52.000]  North Korea was created by the globalists with communist China. It's been armed by the globalists, and it's actually used back and forth, also menace the Chinese, who are also involved.
[01:37:52.000 --> 01:38:03.000]  North Korea plays the West off against China in between, and is kept there as a malignant tumor feeding on those poor desperate people.
[01:38:03.000 --> 01:38:20.000]  So things are escalating because he involves himself in greater and greater acts of beyond saber rattling, saying we are going to Nukyu, we're going to attack the US preemptively, we're going to attack Japan preemptively, we're going to blow Seoul, South Korea off the map.
[01:38:20.000 --> 01:38:31.000]  At that point, somebody pulls a gun out, and they aim it at you, and it's pointed at you. You have a right to shoot him.
[01:38:31.000 --> 01:38:40.000]  Again, all those threats being mentioned, those are a cause and effect because you see they play out at different times of political theater for exactly the intended effect.
[01:38:40.000 --> 01:38:50.000]  I saw Trump's tweet referencing Kim Jong-un as simply Kim, where he seems to be, I think that Trump's wise to this whole North Korea thing.
[01:38:50.000 --> 01:39:01.000]  People put it over him that he's maybe not aware of certain things, or he's going to maybe read a little deeper, he's being completely blocked off, but I'm pretty sure the guy is very wise to the North Korean situation.
[01:39:01.000 --> 01:39:05.000]  But in the same sense, it's very real danger. It's not going away.
[01:39:05.000 --> 01:39:16.000]  Well, here's what they found with Trump. He has his body of knowledge, incredible energy. We first broke that, we're going to start this thing that he has, a neurological disorder or Alzheimer's or early onset dementia.
[01:39:16.000 --> 01:39:26.000]  We first broke that six months ago because Roger Stone talked to two different editors or two different high level reporters that were in editorial meetings where they said, God, this Russian thing's not sticking.
[01:39:26.000 --> 01:39:40.000]  Just like in the latest Veritas thing, it's the same thing in the editors meeting. They're like, this is all bull. We can't get it to stick. Well, six months ago, Stone talked to folks that were in New York Times and Washington Post editorial meetings where they were just like, all right,
[01:39:40.000 --> 01:39:49.000]  well, they say the next thing is he's mentally ill or he's got dementia or Alzheimer's. So Stone was told that and the reporter said, is there any truth to that?
[01:39:49.000 --> 01:39:59.000]  And they said, no, he does overwork himself sometime and stay up till two in the morning for a week straight, you know, drinking Diet Coke. But other than that, you know, if he gets a good night's rest, you know, he bounces back.
[01:39:59.000 --> 01:40:08.000]  But the truth is, you know, he will start slurring his words by seven or eight at night sometimes, if he's been up for a week. But it's all just pure male energy for 71.
[01:40:08.000 --> 01:40:15.000]  I've never seen anything like it. And he didn't look like he's seven. He looks like he's like 65. You watch the guy out there playing golf. He like climbs up hills and stuff like a little kid.
[01:40:15.000 --> 01:40:32.000]  So again, they're pushing all of that as the narrative using North Korea to make it look like Trump's the reckless adventurer when really it's it's North Korea, but they are moving to try to remove Trump.
[01:40:32.000 --> 01:40:44.000]  And they can't fully paint any of these pictures either. They've got about 20 or 60, you know, 30 different Psyops going where they're trying to portray Trump is failing in this and they're trying to bring it all together and do a collective idea where they can pin it on.
[01:40:44.000 --> 01:40:53.000]  I'm going to be like, look, see, he was mentally ill. Scarborough got a little greasy this morning and tweeted off that Trump was mentally ill and unfit after he got rattled about his intern.
[01:40:53.000 --> 01:41:00.000]  But they can't bring any of this together. They're not going to win. You know that I know that there's there's no way they're going to be able to pull these illusions together.
[01:41:00.000 --> 01:41:10.000]  The silent voters voted for Trump and people are watching and they're not maybe, you know, the news can make it seem as if the MSM, of course, that it's this is the real thing.
[01:41:10.000 --> 01:41:18.000]  This is consensus, but it's not working. Well, I agree with you, Eric. God bless you. Great call. I mean, made better points than I could make.
[01:41:18.000 --> 01:41:30.000]  And here's the issue. The sleeping giant is in a sleep. The silent majority is now spoken, but you've got to keep speaking. We're going to win big time and have a better future and have a chance of surviving.
[01:41:30.000 --> 01:41:33.000]  There's a lot of crises in the world.
[01:41:33.000 --> 01:41:45.000]  But if you're not vocal, like that man was just calling in and sitting on holds and coming on the broadcast, and if you're not calling C-SPAN and starting your own radio show or starting a YouTube or calling in other shows or calling Congress or going and talking to your
[01:41:45.000 --> 01:41:54.000]  Congressperson, if you're not being real loud right now and saying, Bill Clinton is a rapist and the New World Order is a rapist and the Democratic Party are rapists.
[01:41:54.000 --> 01:42:04.000]  If you don't get aggressive with them that CNN is ISIS, they could still destabilize things and scuttle this recovery that is still embryonic, but incredibly robust.
[01:42:04.000 --> 01:42:14.000]  This is an embryonic recovery. We're only 11 months in and it's going to be so big that the baby is like an 800 pound gorilla.
[01:42:14.000 --> 01:42:24.000]  Okay, so Reagan, we're past what Reagan was able to do with only partial reforms in four years in less than a year.
[01:42:24.000 --> 01:42:33.000]  Okay, and globally there's a recovery because of what we've all done and our understanding of its economic warfare. They're trying to depress things. We've got to boost things.
[01:42:33.000 --> 01:42:46.000]  And the reality is the economy is coming back big time. Meanwhile, the Democrats, the globalists are trying to scuttle that in front of everybody.
[01:42:46.000 --> 01:42:53.000]  So we should just keep pointing out they're the ones trying to sabotage the recovery and if they're successful, we're going to hang on around their dirty heads.
[01:42:53.000 --> 01:43:04.000]  This is key.
[01:43:23.000 --> 01:43:34.000]  Give your body total support. It's a hand selected blend of saw palmetto, lycopene, plant sterols, zinc, vitamin D3, selenium and copper.
[01:43:34.000 --> 01:43:45.000]  Prostagard is something that the men on the Info Wars crew take every day and from our research, it's something that men should really be adding to their daily regimen in order to keep their body going at optimal levels.
[01:43:45.000 --> 01:43:56.000]  Now's the time to start naturally supporting your body. Get Prostagard on your side today exclusively at infowarslife.com. That's infowarslife.com.
[01:44:16.000 --> 01:44:28.000]  Quite frankly, I just went off what I saw medical doctors prescribing to their patients, but it wasn't prescription, but they were charging people $100, $200 for the formula.
[01:44:28.000 --> 01:44:32.000]  And I came up with our own formula working with some scientists and developers.
[01:44:32.000 --> 01:44:46.000]  Non-GMO made right here in America, 120 capsules. And ladies and gentlemen, you add the preglinone to it, which is the precursor to all the hormones that your body has to have to even make the hormones in your glands.
[01:44:46.000 --> 01:44:57.000]  It is amazing. Red pill now available at infowarsstore.com and your purchase fuzzi operation.
[01:44:57.000 --> 01:45:08.000]  After years of research working with top developers here in the United States with the latest cutting edge science, we are rolling out three new digestive gut aids.
[01:45:08.000 --> 01:45:16.000]  One of them is a powerful pro digestive enzyme carnivore for being able to break down meat and other proteins better.
[01:45:16.000 --> 01:45:26.000]  And then the other two is a powerful 50 billion live probiotic culture of the very best strains in fluorolife advanced restoration.
[01:45:26.000 --> 01:45:31.000]  And we also have an everyday extremely affordable fluorolife everyday maintenance.
[01:45:31.000 --> 01:45:41.000]  But all of these are the very cutting edge top of the line probiotics and digestive enzymes at an extremely affordable price.
[01:45:41.000 --> 01:45:47.000]  That is my goal here is to bring you the very best at the lowest price.
[01:45:47.000 --> 01:45:57.000]  When you purchase it at infowarsstore.com, you know you are also financing the attack on the globalist and the defense of our republic and freedom worldwide.
[01:45:57.000 --> 01:46:08.000]  America is an information based civil war. That's why now more than ever we've got to hit the streets of America and let these globalists scum know we're not backing down from their bullying.
[01:46:08.000 --> 01:46:14.000]  We're only intensifying our operations in the face of their wannabe dictatorship.
[01:46:14.000 --> 01:46:22.000]  Being a conservative, a nationalist, a libertarian or simply a free speech advocate is truly the counterculture.
[01:46:22.000 --> 01:46:30.000]  The real punk rock is being a patriot who's pro-America, pro-capitalism and pro-freedom who at the same time is tolerant.
[01:46:30.000 --> 01:46:38.000]  Modern liberalism is a counterfeit of Thomas Jefferson's classical liberalism. They are the anti-liberalists.
[01:46:38.000 --> 01:46:48.000]  To defend free speech, meet like-minded friends and promote freedom worldwide. We've got more than 60 original designs of high quality t-shirts for men and women,
[01:46:48.000 --> 01:47:09.000]  as well as more Patriot Apparel at infowarsstore.com. Be part of the Second American Revolution at infowarsstore.com.
[01:47:18.000 --> 01:47:28.000]  Houston, Texas. Broadcasting worldwide. It's Alex Jones.
[01:47:28.000 --> 01:47:33.000]  50,000.
[01:47:33.000 --> 01:47:41.000]  Anthrax and radio.
[01:47:41.000 --> 01:47:50.000]  I like it. Anthrax is unkillable and we're on the radio. We're unkillable spiritually. We're not giving in, we're not giving up and we're winning.
[01:47:50.000 --> 01:47:59.000]  Alright, I want to go to Devon, Dan, Matt, Sean and others before a guest joins us. And even before the guest joins us, I push the guest back a little bit if they can.
[01:47:59.000 --> 01:48:06.000]  I need to get to banning self-defense. Doesn't just stop with guns and knives. The left is moving in Europe and here to ban.
[01:48:06.000 --> 01:48:15.000]  Not body armor. They've already tried to ban that and have many areas. Now they want to ban bulletproof glass, but not for politicians.
[01:48:15.000 --> 01:48:27.000]  There's some amazing hypocrisy we're going to get to. But again, it's always the same. They see you as a slave and if you're disarmed and you're scared, you're going to need a bigger police state.
[01:48:27.000 --> 01:48:38.000]  Now the average cop isn't involved in this. They're on the ground. They understand the need for citizens to be armed. Like 98% of cops in big polls are pro-gun, but the bureaucrats, they don't see it like that.
[01:48:38.000 --> 01:48:47.000]  So that's coming up. First off, ladies and gentlemen, I want to thank you all for your support. When you call in and you thank me, we're all in this together.
[01:48:47.000 --> 01:49:02.000]  So I want to thank you, but when you spread the articles, spread the videos, spread the reports from NewsWars.com and PrisonPlanet.com, when you talk about info wars in front of your church, you'll say, hey, I want to speak for five minutes or two minutes.
[01:49:02.000 --> 01:49:11.000]  Most churches want that. If your church doesn't, it's kind of a weird church. And to get up there and talk about free speech in America and congressional hearings, now they're trying to shut us down.
[01:49:11.000 --> 01:49:21.000]  And what we really cover versus what the media says and the types of things they're involved in and, you know, help them for wars that way.
