[00:00.000 --> 00:06.560]  It's Wednesday, September 15, 2021.
[1:09:46.000 --> 1:09:52.000]  we're not going to follow any orders that Trump gives us to attack China.
[1:09:52.000 --> 1:09:55.000]  And they even admit, because they know there's no recordings of it or proof,
[1:09:55.000 --> 1:09:57.000]  he never said we're going to attack China.
[1:09:57.000 --> 1:10:00.000]  He never inferred he wanted peace with China and North Korea,
[1:10:00.000 --> 1:10:05.000]  got us out of Syria, which Millie secretly ignored along with Dumford.
[1:10:05.000 --> 1:10:07.000]  Talk about traders.
[1:10:07.000 --> 1:10:10.000]  And it expands on that.
[1:10:10.000 --> 1:10:17.000]  We also got out of Afghanistan, which they then sabotage to make peace look like a bad thing.
[1:10:17.000 --> 1:10:19.000]  So that's how they operate.
[1:10:19.000 --> 1:10:26.000]  But we have Pelosi hiding in plain view back on January 8th of this year saying,
[1:10:26.000 --> 1:10:30.000]  Millie called me and said he's got control of the nukes, not Trump.
[1:10:30.000 --> 1:10:33.000]  And I remember them right around that time saying, don't worry,
[1:10:33.000 --> 1:10:38.000]  Millie always has another general there with him and no one's out of town,
[1:10:38.000 --> 1:10:41.000]  so someone's there to always control Trump.
[1:10:41.000 --> 1:10:45.000]  This is while Millie is in there and Trump would call him in and say,
[1:10:45.000 --> 1:10:46.000]  did you say that?
[1:10:46.000 --> 1:10:47.000]  He'd say, no, sir, I didn't.
[1:10:47.000 --> 1:10:49.000]  That's a lie.
[1:10:49.000 --> 1:10:53.000]  Lying to the president as the Joint Chiefs of Staff Chairman is treason, is a felony.
[1:10:53.000 --> 1:10:58.000]  Just like the Secretary of State lied to play this coming up in Congress yesterday.
[1:10:58.000 --> 1:11:00.000]  They said, hey, they keep cutting the mic off of Biden.
[1:11:00.000 --> 1:11:02.000]  We've got like 20 clips of it.
[1:11:02.000 --> 1:11:04.000]  He goes, no, sir, we never done that.
[1:11:04.000 --> 1:11:05.000]  He's a really bad liar.
[1:11:05.000 --> 1:11:10.000]  No, it's like a weasel just caught with a hen in its mouth and the henhouse said,
[1:11:10.000 --> 1:11:12.000]  no, we don't control him.
[1:11:12.000 --> 1:11:15.000]  We never cut his mic.
[1:11:15.000 --> 1:11:19.000]  And so it's that same level of lying.
[1:11:19.000 --> 1:11:24.000]  And it's all a bunch of backstabbing bureaucrats and social climbers and garbage
[1:11:24.000 --> 1:11:28.000]  that are run by lobbyists and big banks that are buying and selling control on the planet.
[1:11:28.000 --> 1:11:33.000]  But even the trillion dollar companies, even the bankers don't run anything.
[1:11:33.000 --> 1:11:35.000]  They control their minions who all backstab each other.
[1:11:35.000 --> 1:11:38.000]  And so they wanted to make sure Trump didn't run anything.
[1:11:38.000 --> 1:11:43.000]  But in the process, it's a giant committee of hundreds of people that make the decisions
[1:11:43.000 --> 1:11:51.000]  within thousands of little scheming bureaucrats like Millie, who then to undermine the president
[1:11:51.000 --> 1:11:56.000]  made up a story to Congress and back and forth that he might use nukes to do that
[1:11:56.000 --> 1:12:02.000]  in case they had to take him out or in case he didn't leave office or in case he challenged the election.
[1:12:02.000 --> 1:12:04.000]  And Millie also told the Chinese general and Pelosi.
[1:12:04.000 --> 1:12:08.000]  You've got the transcripts right here, which they confirm are real.
[1:12:08.000 --> 1:12:13.000]  Because they're proud of it. They're hiding it in plain view that he told the Chinese
[1:12:13.000 --> 1:12:20.000]  and he told Pelosi and Schumer, Trump tried to overthrow our government.
[1:12:20.000 --> 1:12:23.000]  And he might try it again. Trump wasn't part of that capital thing.
[1:12:23.000 --> 1:12:26.000]  I was there. We all got set up. A million people came to hear him speak.
[1:12:26.000 --> 1:12:29.000]  He was lied to and told there was a stage set up in all this garbage.
[1:12:29.000 --> 1:12:32.000]  We didn't check. We get down there and it's all a setup.
[1:12:32.000 --> 1:12:34.000]  And they had provocateurs ready to invade the capital.
[1:12:34.000 --> 1:12:39.000]  The police opened the doors after the provocateurs get them open and wave everybody in because they were ordered to
[1:12:39.000 --> 1:12:42.000]  not blaming the police. They were ordered to. That's compartmentalization.
[1:12:42.000 --> 1:12:48.000]  So they ran that whole thing. They bragged in Time Magazine months after how they had the coup against Trump
[1:12:48.000 --> 1:12:52.000]  and how all these forces worked together in media and Republicans and Democrats and top generals
[1:12:52.000 --> 1:12:57.000]  and top PR firms with lawyers and how this top professor orchestrated the whole thing.
[1:12:57.000 --> 1:13:01.000]  And as the greatest conductor ever, they're bragging.
[1:13:01.000 --> 1:13:07.000]  So I have the articles with Pelosi saying, don't worry. They never let him alone.
[1:13:07.000 --> 1:13:11.000]  Don't worry. The nukes are safe. Got him right here. Here's one right here.
[1:13:11.000 --> 1:13:13.000]  January 8th.
[1:13:13.000 --> 1:13:18.000]  And then we've got the open letter that Trump was never given because they weren't in writing
[1:13:18.000 --> 1:13:22.000]  where he told the Joint Chiefs of Staff and all their adjunct officers,
[1:13:22.000 --> 1:13:28.000]  you will pledge allegiance to me and you will only take orders from me for military action,
[1:13:28.000 --> 1:13:32.000]  not President Trump.
[1:13:32.000 --> 1:13:38.000]  You heard that? Got it right here. Then he added, only if it's written,
[1:13:38.000 --> 1:13:41.000]  but he knows Trump's dictating and they throw that in the trash,
[1:13:41.000 --> 1:13:45.000]  just like all those executive orders to stop the globalist and criminal activities.
[1:13:45.000 --> 1:13:50.000]  So there's your coup, but notice the inversion. Trump was involved in the coup.
[1:13:50.000 --> 1:13:53.000]  Trump was going to cause nuclear war. Trump was going to attack China.
[1:13:53.000 --> 1:13:56.000]  Trump was going to attack. No, Trump was going to get us out of these wars.
[1:13:56.000 --> 1:13:58.000]  Trump was going to bring our troops home and do it properly.
[1:13:58.000 --> 1:14:01.000]  Trump was trying to make bills and build condos and resorts in North Korea.
[1:14:01.000 --> 1:14:07.000]  Empower your people. Be like South Korea. What a sales job with a whole produced CG,
[1:14:07.000 --> 1:14:13.000]  new North Korea and had Kim Jong-un sold, but then they undermined it and screwed the whole deal up.
[1:14:13.000 --> 1:14:16.000]  And China doesn't want North Korea to be prosperous.
[1:14:16.000 --> 1:14:21.000]  So these people want us poor and pathetic and falling apart and starving in the dark alone.
[1:14:21.000 --> 1:14:25.000]  Then you have Pelosi out surveying the troops in front of the Capitol and nodding at them
[1:14:25.000 --> 1:14:31.000]  and having all wear their mask while they fed them dog food, made them sleep on the garage floor
[1:14:31.000 --> 1:14:35.000]  and the big fence up around it. You know the insurrection, the worst attack in U.S. history.
[1:14:35.000 --> 1:14:45.000]  And then horse to 9-11, horse to Pearl Harbor and then Millie goes up with that other anti-American gun-grabbing crook, Austin,
[1:14:45.000 --> 1:14:48.000]  and says, wait a minute, I want to know about why white people attacked.
[1:14:48.000 --> 1:14:50.000]  I want to know why it was a racial attack.
[1:14:50.000 --> 1:14:56.000]  You just made it a racial attack, people protesting a million people and 600 being waived by the police,
[1:14:56.000 --> 1:14:59.000]  maybe 20, 30, 40 attacked the cops.
[1:14:59.000 --> 1:15:04.000]  The total script of the Southern Poverty Law Center, the ADL, the Democratic Party,
[1:15:04.000 --> 1:15:06.000]  all of the American people are terrorists.
[1:15:06.000 --> 1:15:09.000]  That the American people are the enemy. They're about to blow everything up.
[1:15:09.000 --> 1:15:15.000]  The new National Security Directive of June that Biden signed saying the main threat is that China or Russia or Al-Qaeda
[1:15:15.000 --> 1:15:17.000]  or the Taliban, it's the American people.
[1:15:17.000 --> 1:15:24.000]  And now you hear that talking point from Michael Moore and Chuck Schumer and the Sunday talk shows
[1:15:24.000 --> 1:15:29.000]  and the nightly comedy shows that you know we need the troops back out of Afghanistan
[1:15:29.000 --> 1:15:33.000]  for the American people, for these right-wingers, for those that question lockdowns
[1:15:33.000 --> 1:15:35.000]  and deny them medical care while you're at it.
[1:15:35.000 --> 1:15:38.000]  And they're signing on UN treaties to take the guns.
[1:15:38.000 --> 1:15:42.000]  This is the takeover by a UN multinational corporate takeover.
[1:15:42.000 --> 1:15:47.000]  And they'll sit back in Europe in their palaces and their castles while we all kill each other
[1:15:47.000 --> 1:15:52.000]  and while they give us deadly shots and they depopulate the old people, they don't want to pay their pension funds.
[1:15:52.000 --> 1:16:18.000]  I mean, this is 21st century war. We'll come back and explain the real trees and stay with us.
[1:16:18.000 --> 1:16:23.000]  Ladies and gentlemen, if you sign up for our free news and show alerts, you can then take those alerts,
[1:16:23.000 --> 1:16:27.000]  those articles and those live feeds, both the regular shows and special reports,
[1:16:27.000 --> 1:16:29.000]  and share them with everyone you know.
[1:16:29.000 --> 1:16:36.000]  Take action now by texting the word NEWS to 833-470-0438.
[1:16:36.000 --> 1:16:41.000]  That's 833-470-0438 for Info Wars Emergency News Alerts.
[1:16:41.000 --> 1:16:48.000]  Text the word show to 833-470-0438 and receive live show notifications.
[1:16:48.000 --> 1:16:52.000]  Take action now, rate the chain reaction, and tell others to share those texts.
[1:16:52.000 --> 1:17:18.000]  Get news alerts at 833-470-0438.
[1:17:18.000 --> 1:17:23.000]  So here's the thing. I wanted to get past the craziness and find out which plant-based substances
[1:17:23.000 --> 1:17:28.000]  actually have studies that demonstrate some efficacy in immune support.
[1:17:28.000 --> 1:17:33.000]  Now, you'll have to sign a waiver, but you can check out what I've discovered at StrongerDefense.com.
[1:17:33.000 --> 1:17:38.000]  No cures or treatments there. Instead, little known but shocking immune system research
[1:17:38.000 --> 1:17:44.000]  and a breakthrough immune support product based on that research called Immune 10x.
[1:17:44.000 --> 1:17:49.000]  In the best part, you can go to the StrongerDefense website right now and claim your own supply of Immune 10x
[1:17:49.000 --> 1:17:52.000]  without paying anything today. Crazy, right?
[1:17:52.000 --> 1:17:56.000]  Learn more about this unusual limited time offer at StrongerDefense.com.
[1:17:56.000 --> 1:18:23.000]  Let's go back in time, say, to the mid-1990s. And then imagine a science fiction movie set in the year 2020 where a world government's being established, where members of Congress and former presidents are censured by big tech, and where if you don't take an experimental injection that grows blood plots and prions all over your body that you're not allowed to fly on an airplane.
[1:18:23.000 --> 1:18:32.000]  Think about that, because that's where we are. Imagine just 20, 30 years ago, tell just five years ago, if somebody told you this would be happening.
[1:18:32.000 --> 1:18:41.000]  But it is happening now. And then they tell you, oh, sorry, it's not a vaccine, it's a gene therapy, and it doesn't really work, so you got to take it every few months.
[1:18:41.000 --> 1:18:49.000]  And the people that have submitted say, great, I want to take it all the time so I can go outside and not get sick from COVID, even though it gets you sick from COVID.
[1:18:49.000 --> 1:18:59.000]  And now there's record numbers of really sick people from the sloughing, the shedding of the virus. And that's in mainline studies. Bill Gates and Fauci did this, need to go to prison for it right now.
[1:19:20.000 --> 1:19:31.000]  And that's why it's more important than ever that all viewers and all listeners tell everybody they know about the show, because people are ready to wake up and ready to hear the truth.
[1:19:31.000 --> 1:19:37.000]  So we've got an information warfare of the enemy and trying to stop their agenda, but we've also got to get personally prepared.
[1:19:37.000 --> 1:19:44.000]  And one of the number one things to do is high quality, storable food. We've got the best food, ready to ship at very affordable prices at infowarstore.com.
[1:19:44.000 --> 1:19:49.000]  So whether it's a month or a six month or a year supply or specialty diets, it's ready to ship right now.
[1:19:49.000 --> 1:20:14.000]  Lock your orders in before food prices go up and before there are long lines and waits, because believe me, serious times are coming. Get ready at infowarstore.com.
