[00:00:07.176 --> 00:00:09.377]  It's Monday, November 9th.
[01:23:25.441 --> 01:23:27.263]  Herman Square Park in Houston tonight at 8.
[01:23:27.263 --> 01:23:29.105]  So again, then we're going to be going down
[01:23:30.066 --> 01:23:31.047]  I-10 into Florida.
[01:23:31.047 --> 01:23:33.089]  We're going to stop in Tallahassee on Tuesday.
[01:23:33.089 --> 01:23:34.951]  We're going to go up through Georgia.
[01:23:34.951 --> 01:23:36.372]  Atlanta on Wednesday.
[01:23:36.372 --> 01:23:39.615]  We're going to be in North Carolina and Virginia on Thursday.
[01:23:39.615 --> 01:23:41.637]  And then Washington, D.C.
[01:23:41.637 --> 01:23:44.219]  Friday to link up with you, Alex.
[01:23:44.219 --> 01:23:45.500]  And we got a battle taking place.
[01:23:45.500 --> 01:23:46.521]  Antifa attacks.
[01:23:46.521 --> 01:23:46.982]  That's right.
[01:23:46.982 --> 01:23:47.522]  Going to D.C.
[01:23:47.522 --> 01:23:48.043]  We're ready.
[01:23:48.043 --> 01:23:48.743]  We knew it was coming.
[01:23:48.743 --> 01:23:49.184]  Stay with us.
[01:23:50.024 --> 01:23:55.226]  I get asked all the time by listeners and by the media, what am I most proud of when it comes to the show?
[01:23:55.226 --> 01:24:12.793]  And it's the fact that InfoWars, more than 25 years ago, doing basic research with what the Club of Rome and the CFR and others were actually saying, developed the hypothesis that communist China had been set up to take our jobs and transfer them to China and then make us economically destitute and position us into debt.
[01:24:12.793 --> 01:24:14.074]  Well, now China owns the debt.
[01:24:14.074 --> 01:24:16.815]  Now China owns Hollywood, all the one-sided trading deals.
[01:24:17.555 --> 01:24:22.197]  It turns out our analysis was absolutely dead on, but again, it wasn't that hard.
[01:24:22.197 --> 01:24:27.819]  The CFR and others admitted what they were doing, but still, others didn't want to focus on that issue.
[01:24:27.819 --> 01:24:32.341]  We did, and you focused on it by supporting us at InfoWars.
[01:24:32.341 --> 01:24:43.386]  So when you go to InfoWarsStore.com and get all the great supplements, books, t-shirts, films, water filtration, air filtration, all of it, you're funding the organization that literally helped make up the world of what's really happening.
[01:24:43.386 --> 01:24:45.206]  So that's a big accomplishment for all of you.
[01:24:45.206 --> 01:24:46.227]  I want to thank you for your support.
[01:24:49.923 --> 01:24:56.308]  The miraculous properties of turmeric have been admired and even worshipped for thousands of years by ancient civilizations.
[01:24:56.308 --> 01:25:00.251]  But with modern science, we know why turmeric is so popular.
[01:25:00.251 --> 01:25:07.257]  Its antioxidant effect, its anti-inflammatory effect, everything it does is simply amazing.
[01:25:07.257 --> 01:25:10.800]  And most turmerics out there are simply food products.
[01:25:10.800 --> 01:25:16.844]  They're 3-5% curcuminoid, but we have body's ultimate turmeric formula.
[01:25:17.745 --> 01:25:17.865]  Yeah.
[01:25:35.208 --> 01:25:35.828]  We're good to go.
[01:26:00.492 --> 01:26:04.795]  Now it's easier than ever to have Band.Video on your iPhone.
[01:26:04.795 --> 01:26:08.278]  Simply go to Band.Video with your Safari browser.
[01:26:08.278 --> 01:26:11.560]  Then you click the Share button at the bottom of the screen.
[01:26:11.560 --> 01:26:15.103]  When the menu comes up, you simply click Add to Home Screen.
[01:26:15.103 --> 01:26:17.345]  It will then ask you to name the app.
[01:26:17.345 --> 01:26:18.746]  I suggest Band.Video.
[01:26:19.426 --> 01:26:24.889]  You will now have BAN.VIDEO app on your home screen, despite the fact that Tim Cook tried to stop it.
[01:26:24.889 --> 01:26:33.374]  The globalists think you're lazy, but by taking a little bit of action, you can override them, have the app, and then tell others about it so they can get the app.
[01:26:33.374 --> 01:26:41.219]  So it's up to you whether you want to defy big tech and click the share buttons below on your email, on Facebook, on Twitter, on YouTube, however you want.
[01:26:41.219 --> 01:26:42.880]  Be sure and share BAN.VIDEO.
[01:26:51.852 --> 01:26:54.953]  You're listening to The Alex Jones Show!
[01:26:54.953 --> 01:26:56.373]  They lie!
[01:26:56.373 --> 01:26:57.173]  They cheat!
[01:26:57.173 --> 01:27:00.574]  They steal!
[01:27:00.574 --> 01:27:01.234]  They cover up!
[01:27:25.113 --> 01:27:25.954]  Let's go!
[01:27:25.954 --> 01:27:27.316]  Don't shout on me!
[01:27:27.316 --> 01:27:28.197]  Let's go!
[01:27:28.197 --> 01:27:30.380]  This man knows what's up.
[01:27:30.380 --> 01:27:31.241]  Where's Hunter?
[01:27:31.241 --> 01:27:31.561]  Let's go!
[01:27:31.561 --> 01:27:32.322]  Where's Hunter?
[01:27:32.322 --> 01:27:33.123]  Where's Hunter?
[01:27:33.123 --> 01:27:35.166]  Where's Hunter, bud?
[01:27:43.292 --> 01:27:46.575]  Tell him, hey, tell Alex we haven't forgot you, sir.
[01:27:46.575 --> 01:27:47.596]  We have not forgot you.
[01:27:47.596 --> 01:27:48.817]  We still watch you.
[01:27:48.817 --> 01:27:49.618]  We still love you.
[01:27:49.618 --> 01:27:50.679]  Don't go away.
[01:27:50.679 --> 01:27:51.500]  Don't sell out.
[01:27:51.500 --> 01:27:52.240]  Be there for us.
[01:27:52.240 --> 01:27:53.141]  Come on, Alex.
[01:27:53.141 --> 01:27:54.463]  Been with you for years, man.
[01:27:54.463 --> 01:27:59.387]  Thousands of people downtown Austin Saturday.
[01:27:59.387 --> 01:28:03.291]  We got your back.
[01:28:11.028 --> 01:28:11.208]  O.H.
[01:28:11.208 --> 01:28:12.489]  Troyer, you're awesome too!
[01:28:12.489 --> 01:28:13.269]  You guys are great!
[01:28:13.269 --> 01:28:14.290]  Keep America great!
[01:28:14.290 --> 01:28:15.130]  Fight for the battle!
[01:28:15.130 --> 01:28:16.251]  Fight for our Republic!
[01:28:16.251 --> 01:28:16.711]  Yes!
[01:28:16.711 --> 01:28:17.171]  Woo!
[01:28:17.171 --> 01:28:22.414]  By the way, I know Gerald Solente is great.
[01:28:22.414 --> 01:28:24.315]  I kind of flamed out like a race car driver.
[01:28:24.315 --> 01:28:26.196]  Blowing his engine first hours.
[01:28:26.196 --> 01:28:26.816]  I'm so upset.
[01:28:26.816 --> 01:28:27.376]  I'm so mad.
[01:28:27.376 --> 01:28:37.742]  I'm going to take about 15 minutes of that time so I can recap what Trump needs to do, how he needs to take action, the next big battle plan against him that he's got to go after now.
[01:28:39.247 --> 01:28:40.788]  And again, Trump gets it.
[01:28:40.788 --> 01:28:42.188]  That's why he launched rallies.
[01:28:42.188 --> 01:28:45.309]  That's why he launched a celebration to counter their PSYOP.
[01:28:45.309 --> 01:28:46.570]  We have some really great news.
[01:28:46.570 --> 01:28:52.032]  He needs to fire Fauci next before he's announced to be put on Joe Biden's task force.
[01:28:52.032 --> 01:28:57.214]  Trump says Defense Secretary Mark Esper has been terminated.
[01:28:57.214 --> 01:29:04.217]  When Trump said two months ago, stop teaching that George Washington's evil and America's inherently bad, the Pentagon will not teach the troops that.
[01:29:05.737 --> 01:29:08.780]  Esper said, we're going to continue that no matter what the President says.
[01:29:08.780 --> 01:29:14.685]  He should have fired his slimy little rat ass right then.
[01:29:14.685 --> 01:29:15.926]  But he didn't.
[01:29:15.926 --> 01:29:17.708]  Well, now he's taking action.
[01:29:17.708 --> 01:29:20.270]  President Trump has put out this tweet.
[01:29:20.270 --> 01:29:22.672]  He fires the Secretary of Defense.
[01:29:22.672 --> 01:29:25.235]  I am pleased to announce that Christopher C. Miller
[01:29:27.008 --> 01:29:33.675]  The highly respected director of National Counterterrorism Center, unanimously confirmed by the Senate, will be acting Secretary of Defense, effective immediately.
[01:29:33.675 --> 01:29:41.404]  So Trump's cleaning house now and putting the right people in, because I want to explain something as crystal clear as the bluest sky you ever saw.
[01:29:41.404 --> 01:29:48.232]  If Joe Biden was just a dirty socialist Democrat,
[01:29:49.497 --> 01:29:51.638]  And was just gonna, you know, try to loot some stuff.
[01:29:51.638 --> 01:29:53.078]  I wouldn't risk my life fighting him.
[01:29:53.078 --> 01:29:53.799]  I'd expose him.
[01:29:53.799 --> 01:29:54.979]  I'd work hard.
[01:29:54.979 --> 01:30:06.744]  Because he's a CHICOM agent, because they stole this election, and because they're connected to pedophilia and Epstein and the Clintons, and because they're so damn evil, I am... My body is beyond angry.
[01:30:06.744 --> 01:30:12.146]  It is... My body is angry at me that I'm not doing some things.
[01:30:12.146 --> 01:30:15.507]  And I'm having intense dreams of doing some things.
[01:30:15.507 --> 01:30:15.627]  And...
[01:30:16.894 --> 01:30:18.514]  But I'm smarter than that.
[01:30:18.514 --> 01:30:22.435]  We're going to beat them with information warfare in the long haul.
[01:30:22.435 --> 01:30:24.296]  But I know everybody's sick to their stomach.
[01:30:24.296 --> 01:30:26.096]  You can feel evil taking over.
[01:30:26.096 --> 01:30:27.717]  This is a very special country.
[01:30:27.717 --> 01:30:29.657]  It's dying right now.
[01:30:29.657 --> 01:30:31.417]  But we're going to stop it.
[01:30:31.417 --> 01:30:33.758]  And I'm going to be in D.C.
[01:30:33.758 --> 01:30:34.298]  later in the week.
[01:30:34.298 --> 01:30:35.158]  I'm going to be in D.C.
[01:30:35.158 --> 01:30:35.898]  this weekend.
[01:30:35.898 --> 01:30:38.059]  I'm going to got other stuff I'm not going to tell you about yet.
[01:30:38.059 --> 01:30:41.920]  You saw how I was in Austin and I was in Arizona and other areas.
[01:30:41.920 --> 01:30:43.300]  We're going to really bust our asses.
[01:30:43.300 --> 01:30:43.920]  We appreciate you.
[01:30:43.920 --> 01:30:45.121]  We pray for your support.
[01:30:45.121 --> 01:30:45.801]  But Owen Schroyer
[01:30:46.775 --> 01:30:47.976]  I called him yesterday.
[01:30:47.976 --> 01:30:49.037]  He's working even harder than I have.
[01:30:49.037 --> 01:30:53.481]  And I said, will you plan this and take this over with Tim, our great security head?
[01:30:53.481 --> 01:30:55.403]  And they've done a great job.
[01:30:55.403 --> 01:30:56.944]  And again, this is at your own risk.
[01:30:56.944 --> 01:30:58.386]  And by that, there's no orders from headquarters.
[01:30:58.386 --> 01:30:59.327]  We're not going to coordinate you.
[01:30:59.327 --> 01:31:00.548]  I can tell you what to do.
[01:31:00.548 --> 01:31:01.849]  The convoy is going to go pretty slow.
[01:31:01.849 --> 01:31:03.671]  It's going to stop a few times a day so you can
[01:31:04.051 --> 01:31:04.912]  You know, meet up with it.
[01:31:04.912 --> 01:31:13.497]  But if tens of thousands of cars join us, and the truckers shut down D.C., like they're already saying, and we use this as a focal point to get other caravans going to D.C.
[01:31:13.497 --> 01:31:16.619]  this Saturday, and to hit this Friday, it's going to change the world.
[01:31:16.619 --> 01:31:18.961]  So now's the time to take action, ladies and gentlemen.
[01:31:18.961 --> 01:31:19.681]  It leaves at 5.30 today.
[01:31:21.417 --> 01:31:27.301]  Right there at that parking lot by the Governor's Mansion right in front of the Texas Capitol at 11th Street and Congress.
[01:31:27.301 --> 01:31:29.782]  Owen Schroer, tell us what's coming up.
[01:31:29.782 --> 01:31:42.991]  So what we have here is kind of just a basic map of what we're going to be doing here on the Stop the Steal Caravan and follow on Parler on Parler at Stop the Steal Caravan at Stop the Steal Caravan.
[01:31:42.991 --> 01:31:46.033]  You'll see a picture of me pointing my finger at the screen.
[01:31:46.033 --> 01:31:48.214]  We need you to help us stop the steal.
[01:31:48.214 --> 01:31:49.155]  So yes, today
[01:31:49.895 --> 01:31:50.855]  At 5 p.m.
[01:31:50.855 --> 01:31:53.476]  here, this is very advanced technology here, okay?
[01:31:53.476 --> 01:31:55.096]  Now this is very advanced.
[01:31:55.096 --> 01:31:59.098]  We're gonna be taking off from Austin, Texas at the Capitol at 5 p.m.
[01:31:59.098 --> 01:32:00.658]  and we're gonna be getting into Houston.
[01:32:00.658 --> 01:32:07.580]  We haven't decided on a final location, we're still deciding on a park, but there'll be a park we meet at tonight in Houston at 8 p.m.
[01:32:07.580 --> 01:32:13.861]  and as soon as I get out of the studio, I'm gonna... By the way, you're such a millennial that you think it's embarrassing it's not a high-tech screen.
[01:32:13.861 --> 01:32:14.402]  I love this!
[01:32:14.402 --> 01:32:14.982]  What are you talking about?
[01:32:14.982 --> 01:32:15.482]  I like it better!
[01:32:16.202 --> 01:32:17.904]  I wasn't being sarcastic.
[01:32:17.904 --> 01:32:19.825]  I'm one of the good Millennials.
[01:32:19.825 --> 01:32:21.747]  I'm one of the good Millennials, okay?
[01:32:21.747 --> 01:32:23.148]  I'm not one of the brainwashed Millennials.
[01:32:23.148 --> 01:32:23.728]  I'm just teasing.
[01:32:23.728 --> 01:32:24.109]  Start over.
[01:32:24.109 --> 01:32:25.130]  I don't watch the Kardashians.
[01:32:25.130 --> 01:32:25.610]  Okay.
[01:32:25.610 --> 01:32:26.391]  So anyway.
[01:32:26.391 --> 01:32:29.453]  So we're taking off from the Capitol here in Austin, 5 p.m.
[01:32:29.453 --> 01:32:33.577]  First meet-up is going to be in Houston tonight at 8 p.m.
[01:32:33.577 --> 01:32:39.341]  And again, follow at StopTheSteelCaravan on Parler where we're going to be putting out updates every hour on that.
