[00:00.000 --> 00:01.000]  Come on, man.
[1:21:37.200 --> 1:21:41.840]  and of course right now is the end of summer
[1:21:41.840 --> 1:21:46.000]  this is the peak time in the arctic the north pole
[1:21:46.000 --> 1:21:51.840]  and the northern passage and their big russian nuclear powered icebreakers
[1:21:51.840 --> 1:21:55.280]  that the west uses that russia uses uh now
[1:21:55.280 --> 1:21:58.800]  that through most the year they actually keep it open they keep open the
[1:21:58.800 --> 1:22:02.320]  middle of the winter if they want there's a few months they usually take off
[1:22:02.320 --> 1:22:07.120]  and these big giant nuclear powered evil russians uh keep that northern passage
[1:22:07.120 --> 1:22:11.360]  all the way around the north pole broken open well
[1:22:11.360 --> 1:22:15.520]  some leftists wanted to go stage an event because they do this every summer
[1:22:15.520 --> 1:22:19.520]  and they show melting glaciers collapsing at the end of summer
[1:22:19.520 --> 1:22:22.560]  that's why you always have had the icebergs sometimes giant ones you know
[1:22:22.560 --> 1:22:25.360]  the size of a city from Antarctica at the south or
[1:22:25.360 --> 1:22:29.040]  arctic north float sometimes there have been cases where they've seen
[1:22:29.040 --> 1:22:32.320]  them all the way up by brazil's coast from the arctic or from the
[1:22:32.320 --> 1:22:36.000]  Antarctic because it'll break off and be the size of
[1:22:36.000 --> 1:22:39.040]  dalish was was one they said was the size of dalish years ago
[1:22:39.040 --> 1:22:42.960]  and by the time it went a couple thousand miles north up to brazil
[1:22:42.960 --> 1:22:47.440]  it was still huge though a lot smaller and the media always points at it and
[1:22:47.440 --> 1:22:51.840]  says look at that look at that it's it's all
[1:22:51.840 --> 1:22:55.040]  melting well that's because the arctic and the Antarctic
[1:22:55.040 --> 1:23:00.960]  get smaller in the summer bigger in the winter now i know all of you
[1:23:00.960 --> 1:23:03.920]  know that but they'll show all the time to school kids they were
[1:23:03.920 --> 1:23:07.040]  showing it you know my kid saw some tv program my
[1:23:07.040 --> 1:23:11.920]  middle daughter was asking last week she goes dad they showed a satellite
[1:23:11.920 --> 1:23:14.800]  because she'd heard me talk about how the ice caps are actually the biggest
[1:23:14.800 --> 1:23:17.520]  ever recorded right now which they are they've only been recording them though
[1:23:17.520 --> 1:23:21.840]  for a couple hundred years and she heard me say oh that's all
[1:23:21.840 --> 1:23:25.440]  bull she said but they showed it shrinking and i said honey
[1:23:25.440 --> 1:23:29.760]  that was a time lapse of the summer and i went online and showed her how they
[1:23:29.760 --> 1:23:33.520]  run the scams and it uh what's up with that and
[1:23:33.520 --> 1:23:38.560]  other sites or montan sites have it and it shows the ice caps getting
[1:23:38.560 --> 1:23:42.320]  smaller well they show you the ice caps getting smaller
[1:23:42.320 --> 1:23:45.680]  and of course the fall comes in winter they get bigger
[1:23:45.680 --> 1:23:49.600]  that's how that works and then at many times the northern passage gets
[1:23:49.600 --> 1:23:52.560]  completely blocked if the russians weren't going back and forth with these
[1:23:52.560 --> 1:23:56.400]  gigantic nuclear powered ice breakers uh which are amazing you know themselves
[1:23:56.400 --> 1:23:58.720]  i watched the documentary about that just a few weeks ago
[1:23:58.720 --> 1:24:01.840]  actually my my daughter was asking about it i went and showed her this and
[1:24:01.840 --> 1:24:05.120]  then she went what's that it was an rt show about ice breakers and
[1:24:05.120 --> 1:24:08.480]  also she got obsessed with ice breakers and next we were watching
[1:24:08.480 --> 1:24:14.480]  northern military convoys and the race to the arctic and the us and the russians
[1:24:14.480 --> 1:24:18.320]  sending in forces the arctic and we spent like an hour at the computer
[1:24:18.320 --> 1:24:21.840]  watching it but i i'm digressing it is riveting stuff
[1:24:21.840 --> 1:24:25.840]  ship tearing climate change warriors concerned about melting arctic ice gets
[1:24:25.840 --> 1:24:28.640]  stuck in the ice and it goes on arctic
[1:24:28.640 --> 1:24:35.680]  tour ship ms malmo with 16 passengers on board got stuck september 3rd
[1:24:35.680 --> 1:24:40.240]  and it goes on at the archipelago reports maritime bulletin the ship is on
[1:24:40.240 --> 1:24:42.960]  arctic tour with climate change documentary team film
[1:24:42.960 --> 1:24:47.200]  and tourists concern that climate change and melting ice
[1:24:47.200 --> 1:24:50.880]  now again the average person goes the arctic's melting it's always
[1:24:50.880 --> 1:24:54.480]  melting in the summer it's expanding in the colder months
[1:24:54.480 --> 1:24:59.600]  something's very wrong with arctic ice instead of melting as ordered by the un
[1:24:59.600 --> 1:25:03.440]  it captured the ship with climate change warriors
[1:25:03.440 --> 1:25:07.040]  so now they've got a russian icebreaker on the way
[1:25:07.040 --> 1:25:11.040]  at the end of summer to save them out of it because they all wanted to go here
[1:25:11.040 --> 1:25:14.320]  here's a shot of it they all wanted to go show this and
[1:25:14.320 --> 1:25:19.120]  be heroes and show you melting ice but it didn't happen
[1:25:19.120 --> 1:25:23.280]  it didn't happen ladies and gentlemen because the ice is thicker
[1:25:23.280 --> 1:25:27.200]  than it's ever been right now so there it is
[1:25:27.200 --> 1:25:30.240]  trump retweeted a ship carrying passengers who introduced
[1:25:30.240 --> 1:25:33.760]  and included a group of climate change warriors who were concerned about
[1:25:33.760 --> 1:25:37.600]  melting arctic ice got stuck in the ice halfway between norway
[1:25:37.600 --> 1:25:44.160]  and the north pole shummit dot news so there you go we're going to go to
[1:25:44.160 --> 1:25:46.880]  break and we're going to have robert marins here with us we're going to cover
[1:25:46.880 --> 1:25:50.320]  the waterfront of a ton of news but first we're going to get him
[1:25:50.320 --> 1:25:53.840]  who he's the most successful famous sports gambler
[1:25:53.840 --> 1:25:58.320]  he is going to not sports gambler he does that too
[1:25:58.320 --> 1:26:02.400]  political gambler so we are teleprompter uh free here ladies gentlemen
[1:26:02.400 --> 1:26:06.480]  so he is going to be in studio with us coming up
[1:26:06.480 --> 1:26:10.240]  for the balance of the transmission including tonight because we're already
[1:26:10.240 --> 1:26:13.600]  two hours in or so i mean really i guess it started
[1:26:13.600 --> 1:26:17.840]  earlier this morning with david night so i guess we're like four five hours in
[1:26:17.840 --> 1:26:22.560]  to live coverage it runs right through 11 p.m tonight we'll go as long as the
[1:26:22.560 --> 1:26:25.760]  crew wants i'm going to be here ladies and gentlemen
[1:26:25.760 --> 1:26:29.840]  covering the debate live with robert marins i'm going to be here uh with
[1:26:29.840 --> 1:26:33.600]  our crew on the ground in houston i was thinking about going to houston myself
[1:26:33.600 --> 1:26:37.360]  and it would be quite an extravaganza obviously with the left freaking out
[1:26:37.360 --> 1:26:39.920]  having convulsions there'll be more democrat debates
[1:26:39.920 --> 1:26:45.040]  that i will go to um but uh i've decided to stay here just because
[1:26:45.040 --> 1:26:50.880]  i always go with my gut and old gutty what he said stay right here in the atx
[1:26:50.880 --> 1:26:54.560]  so i'm going to follow that directive when i was
[1:26:54.560 --> 1:26:56.960]  younger i never followed my gut and bad things happened
[1:26:56.960 --> 1:27:00.400]  when i just do what spirit says it's really spirit your brain your spirit
[1:27:00.400 --> 1:27:03.520]  connect to your gut tells you through the gut the spinal cord has
[1:27:03.520 --> 1:27:07.040]  basically continued brain tissue into it so everybody now understands you follow
[1:27:07.040 --> 1:27:09.440]  the gut that's the subconscious brain it's the
[1:27:09.440 --> 1:27:12.880]  main powerful system hundreds of times more powerful than your limited
[1:27:12.880 --> 1:27:16.720]  conscious focus so i trump's genius when he said the most
[1:27:16.720 --> 1:27:20.320]  deep thing i ever did was learn to be shallow
[1:27:20.320 --> 1:27:23.520]  like women's intuition it's the first approximation it's not shallow
[1:27:23.520 --> 1:27:28.000]  your first approximation at a gut level catches all the little manipulations
[1:27:28.000 --> 1:27:31.520]  all the fake camouflage all the dis info and then gives you that
[1:27:31.520 --> 1:27:34.800]  deep ancestral knowledge kind of like i was standing in my
[1:27:34.800 --> 1:27:39.600]  garage and i got this old cool african head hanging on the wall
[1:27:39.600 --> 1:27:43.120]  it's like a south african carved wood head i really like it but
[1:27:43.120 --> 1:27:46.800]  i got a dartboard on the other side and i was with pat riley we were working out
[1:27:46.800 --> 1:27:50.480]  my garage yesterday and i said watch this i'm just not
[1:27:50.480 --> 1:27:53.600]  gonna think about it i'm not gonna try i'm on the other end of the garage i
[1:27:53.600 --> 1:27:57.120]  throw the dart three car garage between the eyes
[1:27:57.120 --> 1:28:00.640]  of it i said watch i did it again this close
[1:28:00.640 --> 1:28:03.360]  from each other because i've got a surveillance camera on the garage i'll
[1:28:03.360 --> 1:28:05.600]  to pull that up i've got it for security obviously
[1:28:05.600 --> 1:28:08.960]  i have cameras in the house i actually have it on video i'm gonna pull it
[1:28:08.960 --> 1:28:13.360]  and he goes yeah thousands of ancestors had to throw the rock or the stone
[1:28:13.360 --> 1:28:16.640]  just right to kill that animal or everybody would start the death
[1:28:16.640 --> 1:28:19.920]  and when you just tune into the program and it's already there as soon as i
[1:28:19.920 --> 1:28:24.400]  tried to hit it from 25 feet away 30 feet away i couldn't
[1:28:24.400 --> 1:28:28.160]  even hit it i was hitting around it as soon as i just went watch it
[1:28:28.160 --> 1:28:33.200]  it's like it's incredible and how do you get dialed into that all the time
[1:28:33.200 --> 1:28:37.120]  because when you get dialed into that the spirit all of it it's just so powerful
[1:28:37.120 --> 1:28:41.920]  that is the great secret which we all seek the satanists only have access
[1:28:41.920 --> 1:28:45.280]  to satanic energy satanic tricks knowledge of evil
[1:28:45.280 --> 1:28:49.120]  we need knowledge of good and to do that we've got to purify ourselves
[1:28:49.120 --> 1:28:53.040]  and ask god in to then begin to handle the power
[1:28:53.040 --> 1:28:57.520]  which is way beyond stuff like that hi i'm dan pillow i started fighting the
[1:28:57.520 --> 1:29:00.560]  iris over 40 years ago when they tried to seize my mother's house
[1:29:00.560 --> 1:29:04.480]  i sued the iris in one i beat the iris then and i've been beating them ever
[1:29:04.480 --> 1:29:07.840]  since i wrote the book on tax debt settlement and i've helped thousands of
[1:29:07.840 --> 1:29:10.640]  people deal with tax problems they thought might never be solved
[1:29:10.640 --> 1:29:13.520]  i can help you too if you owe taxes you can't pay
[1:29:13.520 --> 1:29:17.040]  don't wait another day there's no such thing as a hopeless tax case
[1:29:17.040 --> 1:29:21.440]  call 834 no tax or go to my website danpilla.com
[1:29:21.440 --> 1:29:28.240]  that's danpilla.com danpilla.com maybe not today maybe not tomorrow but
[1:29:28.240 --> 1:29:31.600]  soon you'll need a plan and place to survive
