[00:00:09.372 --> 00:00:13.456]  The system isn't broken.
[01:28:44.313 --> 01:28:45.934]  Shop at Infowarsstore.com.
[01:28:45.934 --> 01:28:54.000]  Get the water filters, get the emergency food supplies, get the great supplements so that you can stay in the best possible health for your life and longevity.
[01:28:54.000 --> 01:28:54.920]  Keep us on the air, folks.
[01:28:54.920 --> 01:28:56.541]  This is way too important for us to be off air.
[01:28:56.541 --> 01:28:57.362]  Infowarsstore.com.
[01:28:58.963 --> 01:29:05.007]  My fellow Patriots, the Trafecta has not been in stock for years.
[01:29:05.007 --> 01:29:14.694]  Many of these products have been sold out for years, but we've not had all three of them at once together at InfoWarsTore.com for 40% off.
[01:29:14.694 --> 01:29:24.081]  This is your best opportunity at the lowest price to support the broadcast, but more importantly, experience DNA Force+, Real Red Pill+, and Body's Ultimate Turmeric Formula.
[01:29:24.841 --> 01:29:29.983]  All three of these products are back in stock right now for a limited time at 40% off.
[01:29:29.983 --> 01:29:36.685]  It would take me an hour to tell you about what's in DNA Force Plus, or Real Red Pill Plus, or Body's Ultimate Turmeric Formula.
[01:29:36.685 --> 01:29:44.388]  Go to InfoWarsTore.com, read about these products, find out why they're so game-changing, and get yours today.
[01:29:44.388 --> 01:29:50.831]  DNA Force Plus, Real Red Pill Plus, Body's Ultimate Turmeric Formula, all three back in stock
[01:29:51.511 --> 01:29:59.037]  It's the Trifecta sale, 40% off for a limited time at infowarestore.com, and it keeps us on air.
[01:29:59.037 --> 01:30:05.062]  My fellow patriots, the Trifecta has not been in stock for years.
[01:30:05.062 --> 01:30:06.283]  Many of these products have been sold out.
[01:30:07.059 --> 01:30:07.379]  We're good.
[01:30:24.907 --> 01:30:30.049]  All three of these products are back in stock right now for a limited time at 40% off.
[01:30:30.049 --> 01:30:36.732]  It would take me an hour to tell you about what's in DNA Force Plus, or Real Red Pill Plus, or Body's Ultimate Turmeric Formula.
[01:30:36.732 --> 01:30:44.456]  Go to InfoWarsTore.com, read about these products, find out why they're so game-changing, and get yours today.
[01:30:44.456 --> 01:30:50.899]  DNA Force Plus, Real Red Pill Plus, Body's Ultimate Turmeric Formula, all three back in stock
[01:30:51.579 --> 01:30:57.905]  It's the Trifecta Sale, 40% off for a limited time at infowarstore.com, and it keeps us on air.
[01:30:59.526 --> 01:31:07.709]  The most powerful LymphoWars life formula yet, DNA Force Plus is now back in stock for 25% off while supplies last.
[01:31:07.709 --> 01:31:18.094]  This elite formula contains the most cutting-edge enzymes, potent antioxidants, and traditional naturally occurring ingredients to protect the vitality of your buried DNA.
[01:31:18.094 --> 01:31:26.197]  The powerhouse ingredients in DNA Force Plus include QQQ, CoQ10, organic reishi mushroom, astrologous root,
[01:31:26.417 --> 01:31:27.218]  We're good to go!
[01:31:49.358 --> 01:31:50.579]  The Globalists are only humans.
[01:32:01.195 --> 01:32:02.796]  Yeah, they have control of the central banks.
[01:32:02.796 --> 01:32:05.158]  They have a lot of power, but they can be defeated.
[01:32:05.158 --> 01:32:08.341]  But some of their operations are going to take decades to stop.
[01:32:08.341 --> 01:32:16.568]  But one thing you can do right now is take control of your body and your family's body by purifying the water that you drink and that you cook with.
[01:32:16.568 --> 01:32:20.171]  And you do it with the highest quality gravity-fed filter out there.
[01:32:20.171 --> 01:32:21.012]  This thing does 10,000 gallons.
[01:32:22.373 --> 01:32:25.094]  You can sit there and put hundreds of gallons through in a day.
[01:32:25.094 --> 01:32:29.654]  It purifies very quickly and it cuts out thousands of chemicals to non-detectable levels.
[01:32:29.654 --> 01:32:31.655]  This is what I use, which my family uses.
[01:32:31.655 --> 01:32:33.815]  It's the very best system out there for the lowest price.
[01:32:33.815 --> 01:32:36.596]  For a limited time, 10% off on top of that.
[01:32:36.596 --> 01:32:41.697]  Exclusively at InfowarStore.com on the Alexa Pure Water Filtration System.
[01:32:41.697 --> 01:32:45.318]  In stock and replacement filters for folks that need those in stock.
[01:32:45.318 --> 01:32:47.018]  Get it today and it funds the Infowar.
[01:32:47.378 --> 01:32:48.219]  Don't procrastinate.
[01:32:48.219 --> 01:32:55.224]  This is one of the main areas we can take control of our lives and stop the globalists from hitting us with poison that they allow in the water supply.
[01:32:55.224 --> 01:33:00.228]  In some cases, they add the water supply like fluoride.
[01:33:00.228 --> 01:33:06.113]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:33:17.702 --> 01:33:22.526]  Broadcasting live from the UN Stronghold, Austin, Texas.
[01:33:22.526 --> 01:33:26.009]  You're listening to The Alex Jones Show.
[01:33:26.009 --> 01:33:30.653]  And now, your host, Owen Troyer.
[01:33:30.653 --> 01:33:37.339]  Alright, we are calling a quick audible.
[01:33:37.339 --> 01:33:43.764]  We will be rejoined by Michael Yan and Ann VanderSteel coming up in about
[01:33:44.687 --> 01:33:46.149]  Fifteen minutes.
[01:33:46.149 --> 01:34:01.747]  We're calling a quick audible to get Jack Posobiec on with us, because he is now dealing directly with the situation and corruption in Ukraine.
[01:34:02.881 --> 01:34:07.487]  Where they have this hit list that they put American journalists on.
[01:34:07.487 --> 01:34:09.269]  And this is the Ukraine that the U.S.
[01:34:09.269 --> 01:34:10.530]  government wants to fund.
[01:34:10.530 --> 01:34:12.112]  This is the Ukraine that the U.S.
[01:34:12.112 --> 01:34:14.555]  government wants to keep at war with Russia.
[01:34:15.632 --> 01:34:18.975]  And they put out hit lists with American journalists on it.
[01:34:18.975 --> 01:34:21.077]  And now Jack Posobiec's name has ended up on that list.
[01:34:21.077 --> 01:34:22.538]  So we're getting in touch with him here shortly.
[01:34:22.538 --> 01:34:26.902]  He should be joining us for a couple minutes this segment.
[01:34:26.902 --> 01:34:29.624]  Here's a couple of the headlines.
[01:34:29.624 --> 01:34:34.509]  Ukraine will get Abrams tanks soon, according to the Pentagon.
[01:34:34.509 --> 01:34:41.935]  And Joe Biden is essentially promising this in front of the UN the other day, while Zelensky was there asking for more money.
[01:34:42.876 --> 01:34:50.418]  He also was complaining that Russia was even allowed at the UN, calling them terrorists.
[01:34:50.418 --> 01:34:58.201]  But, you know, there's a bit of a rub there because, remember, first a Ukrainian missile hit Poland and they tried to blame Russia.
[01:34:58.201 --> 01:34:59.261]  It was a Ukrainian missile.
[01:34:59.921 --> 01:35:04.406]  Then a Ukrainian missile hit a market and killed people in Ukraine.
[01:35:04.406 --> 01:35:05.627]  They tried to blame Russia.
[01:35:05.627 --> 01:35:08.610]  Even the New York Times had to admit, nope, that was a Ukrainian missile.
[01:35:08.610 --> 01:35:10.752]  I mean, here's the New York Times headline.
[01:35:10.752 --> 01:35:13.575]  Evidence suggests Ukrainian missile caused market tragedy.
[01:35:13.575 --> 01:35:15.417]  So who's the real terrorist, Zelensky?
[01:35:16.895 --> 01:35:29.535]  And it's Zelensky who's going into the outskirts of Ukraine and recruiting men and women to go fight the wars so that the rich oligarchs in Kiev
[01:35:31.001 --> 01:35:31.982]  Don't have to.
[01:35:31.982 --> 01:35:35.465]  And so Jack Posobiec now joins us over the phone.
[01:35:35.465 --> 01:35:37.187]  We've got some developments in Ukraine.
[01:35:37.187 --> 01:35:42.492]  The man pretending to be a woman, who was the alleged spokesperson, is apparently now out.
[01:35:42.492 --> 01:35:47.236]  But you've now been put on the Ukrainian, the enemies of Ukraine, hit list.
[01:35:47.236 --> 01:35:47.917]  This is the U.S.
[01:35:47.917 --> 01:35:52.621]  government funding this Ukrainian war and now they're targeting U.S.
[01:35:52.621 --> 01:35:53.422]  journalists.
[01:35:53.422 --> 01:35:54.623]  Jack Posobiec, your response?
[01:35:56.383 --> 01:36:18.592]  Well, Owen, you know, I look at a day like this where this individual, this spokesman for Ukraine's military, completely illegitimate from the start, placing me on this list and then saying that the Ukrainian intelligence services, apparently, were going to be used to come after me, to come after other Americans on this list.
[01:36:18.985 --> 01:36:22.308]  I think it's a good start that this person has been fired.
[01:36:22.308 --> 01:36:28.533]  This mentally insane person who is completely deranged, obviously, has been fired from this position.
[01:36:28.533 --> 01:36:38.661]  But remember, Owen, there are still Americans on this list, and there are still Americans that are being held behind bars, held hostage in Ukraine right now.
[01:36:38.661 --> 01:36:44.746]  One of them, Gonzalo Lira, who was a blogger that was working in Kharkov, Ukraine.
[01:36:45.578 --> 01:36:53.063]  Who posted statements that were critical of Zelensky's government, critical of their decisions, and he was arrested for this.
[01:36:53.063 --> 01:36:58.667]  And so that is an American blogger that's currently being held hostage in Ukraine right now.
[01:36:58.667 --> 01:37:07.553]  Why are we paying money to a country that has an American hostage currently, and then is putting people like myself, like other Americans, on a list?
[01:37:07.553 --> 01:37:10.275]  It's a joke, and we should pull every single plug.
[01:37:10.981 --> 01:37:18.743]  Well, I guess it does remain consistent with the Biden administration's domestic policy because they put American journalists, they hold American journalists hostage.
[01:37:18.743 --> 01:37:21.524]  They try to incarcerate American journalists like myself.
[01:37:21.524 --> 01:37:24.565]  So I guess this is really consistency from the Biden administration.
[01:37:24.565 --> 01:37:30.586]  They support the Ukrainian government holding American journalists hostage, and they support the U.S.
[01:37:30.586 --> 01:37:34.147]  government holding American journalists hostage, like myself.
[01:37:34.147 --> 01:37:37.748]  But let me ask you this, with your military intelligence background,
[01:37:38.288 --> 01:38:06.267]  How does this individual, Mike Cirillo, and guys, pull up Jack's Twitter account where he put this image up, go from a big-time Barack Obama, big-time public Barack Obama supporter, a bald man, big, I mean, big dude, looks like he works out, nice goatee there, how does he go from that to, I mean, like an SNL skit, dude in a wig pretending to be comms for the Ukrainian military?
[01:38:07.745 --> 01:38:12.835]  You know, Owen, the reason that they're going after you is because they want to shut you up in the United States.
[01:38:12.835 --> 01:38:16.323]  They're going after every patriot, every dissident right now.
[01:38:16.323 --> 01:38:17.906]  That's why they're cracking down.
[01:38:18.622 --> 01:38:31.046]  And you go and look at this individual, Mike Cirillo, who was a failed candidate for Democrat City Council in Las Vegas at one point, was trying to infiltrate Republican groups, he claims.
[01:38:31.046 --> 01:38:43.449]  He's just some grifter, basically, who said, alright, I can't get in politics, I can't get in Republican-Democrat, now I'm gonna go trans, now I'm gonna fly over to Ukraine and be the first
[01:38:44.008 --> 01:38:54.596]  Trans War Correspondent actually gets a couple of bylines in the Daily Beast, a super far-left rag that everybody's heard of.
[01:38:54.596 --> 01:39:07.285]  Then, when that starts drying up, because even the people over there started getting sick of his crap, he decides to go and take it to the next level and pull Malcolm Nance and actually join the Ukrainian military.
[01:39:07.285 --> 01:39:10.988]  So here's what's even worse for Big Mike over there.
[01:39:10.988 --> 01:39:13.030]  This is Big Mike!
[01:39:13.843 --> 01:39:17.305]  A lot of big mics running around apparently.
[01:39:17.305 --> 01:39:29.010]  That he's actually under Ukrainian military, whatever their equivalent of military justice, the UCMJ, Uniform Code of Military Justice.
[01:39:29.010 --> 01:39:35.333]  That means it will be military court or military adjudication.
[01:39:35.333 --> 01:39:43.017]  He's going to be under investigation from the exact same special agency, the SVU, that he was threatening me with.
[01:39:45.410 --> 01:39:49.972]  So there's a lot of big mics apparently in the Obama camp here.
[01:39:49.972 --> 01:39:53.174]  But I mean seriously, this was worse than an SNL skit.
[01:39:53.174 --> 01:39:54.214]  It's like they weren't even trying.
[01:39:54.214 --> 01:39:58.816]  They take this big dude and they just put a blonde wig on him and a military uniform.
[01:39:58.816 --> 01:40:02.518]  It couldn't have been more ridiculous if it was an SNL skit.
[01:40:02.518 --> 01:40:07.280]  You wouldn't even believe it except that we saw it.
[01:40:07.280 --> 01:40:09.601]  And so what's next for this individual?
[01:40:12.509 --> 01:40:16.871]  Well, I think what's next is that we need a full investigation of this Ukrainian hit list.
[01:40:16.871 --> 01:40:21.273]  We need a full investigation of what Americans are currently on this list.
[01:40:21.273 --> 01:40:33.938]  And of course, if there are Americans like Gonzalo Lira, even ones that we don't know about, because people that have been over there that are on this list, gone over, that are being held hostage, they need to be brought back immediately.
[01:40:33.938 --> 01:40:35.979]  That's what needs to happen next.
