[00:00.000 --> 00:30.000]  That's the law required.
[01:12:54.860 --> 01:12:59.580]  there really haven't been too many uh repercussions at this point Alex I think I'm a small enough fish
[01:12:59.580 --> 01:13:05.340]  in the pond that my coming out publicly about 9-11 being an inside job has not created any
[01:13:05.340 --> 01:13:12.860]  you know tremendous you know seismic uh disturbances uh but um I did want to say though I think it
[01:13:12.860 --> 01:13:19.020]  really is getting to a point where uh it's I don't know the quote exactly I've heard you say it many
[01:13:19.020 --> 01:13:23.900]  many times though that that you know it and I'm hoping that you can repeat it from for my benefit
[01:13:23.900 --> 01:13:27.820]  maybe for the benefit of your audience members who might also not remember it something about
[01:13:27.820 --> 01:13:32.940]  uh when a patriot first speaks out it's you know it's something that's dangerous sure sure it's
[01:13:32.940 --> 01:13:39.660]  Mark Twain I usually flummox it myself but uh I mean the full quote is a patriot in the beginning
[01:13:39.660 --> 01:13:45.820]  is a scarce man uh hated and feared and scorned but in time when his cause succeeds let him
[01:13:45.820 --> 01:13:50.780]  join him because then it cost nothing to be a patriot that's my claim amen amen to that
[01:13:50.780 --> 01:13:54.220]  um I think it really is getting to the point where it's uh I wouldn't say it's getting to the point
[01:13:54.220 --> 01:13:58.380]  where it maybe cost nothing to be a patriot but it certainly seems like it's getting to that
[01:13:58.380 --> 01:14:03.980]  very critical tipping point where speaking out about 9-11 truth is uh is something that's
[01:14:03.980 --> 01:14:08.780]  becoming almost popular to do and I don't know what exactly it is you know it's almost like
[01:14:08.780 --> 01:14:13.900]  I'm watching this huge dam that seems like it should have broken about three four months ago
[01:14:14.220 --> 01:14:19.340]  and maybe when it's maybe when loose change hits theaters this summer um maybe if we can finally
[01:14:19.340 --> 01:14:25.340]  get a very public platform for people like professor Stephen Jones uh yourself uh other
[01:14:25.340 --> 01:14:30.300]  people who have come out publicly rosy charlie to actually talk about these issues maybe then
[01:14:30.300 --> 01:14:35.260]  maybe then it'll the dam will completely break and uh and it'll become it will have an opportunity to
[01:14:35.260 --> 01:14:40.540]  really debate the actual facts of uh and points of contention in a public arena that's what I'm
[01:14:40.540 --> 01:14:45.980]  really hoping for in terms of my background um you know I'm just again I'm a small fish in the
[01:14:45.980 --> 01:14:50.300]  pond I'm just I'm a working actor in New York City the only reason why I felt like me speaking
[01:14:50.300 --> 01:14:56.860]  out may possibly uh be important in any way is because I happen to be representing me and the
[01:14:56.860 --> 01:15:01.260]  other guys on the show we're representing these heroes these men and women who who died that day
[01:15:01.260 --> 01:15:06.220]  and who risk their lives daily doing a job that most of us do not have the courage to do um and
[01:15:06.220 --> 01:15:12.300]  my moral conscience just wouldn't let me would not let me remain silent considering uh the uh the
[01:15:12.300 --> 01:15:17.580]  great importance of this particular issue well I wouldn't call you a small fish but I would say
[01:15:17.580 --> 01:15:23.740]  this I'm I mean I'm a nobody but we're all somebody at the same time and and it is courage
[01:15:23.740 --> 01:15:30.140]  for a school teacher that goes public or professor or a police officer or a fighter pilot or somebody
[01:15:30.140 --> 01:15:35.180]  with one of the you know almost highly rated tv shows on cable uh I mean you're not a small fish
[01:15:35.180 --> 01:15:39.900]  it does take courage and you're right that it's getting a little bit safer for people to go public
[01:15:39.900 --> 01:15:45.340]  I just wish that some of the really huge names out there and some of them have been that kind
[01:15:45.340 --> 01:15:49.820]  of demonized and set up as a late kind of a hint so maybe that's why you're not hearing one of them
[01:15:49.820 --> 01:15:55.420]  go public um because of the mistakes they've made or whatever but you know the point is uh
[01:15:55.420 --> 01:16:01.420]  hint hint it's not very hard to figure out here folks uh I mean there's just so much going on
[01:16:01.420 --> 01:16:06.300]  this is do or die I mean these globalists I mean they may set off a nuke they could start a new
[01:16:06.300 --> 01:16:11.900]  war they could release bird flu I mean you can't put anything past them uh give me your response
[01:16:11.900 --> 01:16:17.100]  or your angle on what I just said there oh absolutely I mean I really do think that it's
[01:16:17.100 --> 01:16:21.260]  crucial especially before the 2008 elections I mean I've heard your predictions and I've heard
[01:16:21.260 --> 01:16:25.820]  predictions from other pretty credible experts who are very good at kind of analyzing the uh
[01:16:25.820 --> 01:16:29.820]  the weather cat the weather patterns so to speak and being able to look you predicted
[01:16:29.820 --> 01:16:35.260]  you predicted 9 11 um other people are now saying that you know we're militarizing the area right
[01:16:35.260 --> 01:16:41.820]  around uh the borders of iran and uh uh all of the same indicators are present that were present
[01:16:41.820 --> 01:16:48.620]  before 9 11 for some kind of terrible terrible event and I think that unless I agree with you
[01:16:48.620 --> 01:16:53.660]  that unless we do unless we call enough attention to 9 11 unless we're able to to bring this out
[01:16:53.660 --> 01:16:57.980]  into a public forum of debate uh it's very possible that we could see another false flag
[01:16:57.980 --> 01:17:03.180]  event or any excuse that would give uh bush and his administration a reason a reason to
[01:17:03.180 --> 01:17:08.620]  declare a national state of emergency uh would then plunge us into uh you know it would just
[01:17:08.620 --> 01:17:13.580]  plunge us into a horrible horrible time in human history and I think it's still possible to stop
[01:17:13.580 --> 01:17:18.300]  it I want to believe that I'm an optimist um I would like to believe so anyway now talking to
[01:17:18.300 --> 01:17:22.780]  Christine Ebersole uh who's also television movies that's one of the number one shows on Broadway
[01:17:22.780 --> 01:17:28.460]  right now she went public saying it's a total inside job giving the evidence uh on her blog
[01:17:28.460 --> 01:17:33.100]  here on the Genesis Network with John Connor and other places and she got heat from her manager and
[01:17:33.100 --> 01:17:37.500]  other people that really got support from the crowd and people in the street what response
[01:17:37.500 --> 01:17:43.900]  have you gotten from people uh you know a in uh the uh you know whole Hollywood slash New York
[01:17:43.900 --> 01:17:53.100]  Chicago scene uh what response have you gotten from uh just the general public and then when
[01:17:53.100 --> 01:17:58.940]  you're talking to people and uh and I mean I would imagine you warned them and make the same
[01:17:58.940 --> 01:18:02.700]  points you just made here hey we got to get the word out now hey do you know about false flag
[01:18:02.700 --> 01:18:07.260]  terror what do your colleagues say when you talk to them well you know it's interesting there are
[01:18:07.260 --> 01:18:11.980]  a couple of my colleagues uh people that I actually work with on rescue me who at first were
[01:18:12.860 --> 01:18:17.100]  you know they they listened to some of the information they tried to
[01:18:17.100 --> 01:18:20.940]  you know their knee-jerk response was to start offering some excuses well couldn't it have been
[01:18:20.940 --> 01:18:24.300]  bad and maybe it was this and wouldn't everybody have had to have been in on it what are you telling
[01:18:24.300 --> 01:18:30.460]  me the whole government is in on this in this conspiracy um but after looking at the information
[01:18:30.460 --> 01:18:36.460]  a little bit more carefully uh soberly kind of comparing the inconsistencies that are being
[01:18:36.460 --> 01:18:42.940]  highlighted by very credible experts uh to the official story and what we have been told
[01:18:42.940 --> 01:18:46.940]  uh now there are a number a number of them who are starting to who have come to me privately
[01:18:46.940 --> 01:18:52.940]  and are voicing uh their very deep concerns um about 9-11 some of these people are firefighters
[01:18:52.940 --> 01:18:57.420]  who work with us every day on the show a couple of these people are actors who work with us on
[01:18:57.420 --> 01:19:02.940]  the show um but uh in my in my personal life you know some of the stuff that I've been doing aside
[01:19:02.940 --> 01:19:07.820]  from going on uh lone lantern and resistance radio and now coming on your show has been just
[01:19:07.820 --> 01:19:12.860]  hitting the streets just hitting the streets with leaflets with uh with dvds copies of loose change
[01:19:12.860 --> 01:19:19.100]  or 9-11 mysteries or terror storm and just uh you know passing out the information couple sometimes
[01:19:19.100 --> 01:19:23.340]  you know here in new york city it's almost like you a lot of times you feel like you're preaching
[01:19:23.340 --> 01:19:29.420]  to the choir uh when you're expressing these kind of views um not necessarily about 9-11 but you
[01:19:29.420 --> 01:19:34.860]  know it's a it is a very blue state um but moving past the left-right paradigm I think that a lot of
[01:19:34.860 --> 01:19:41.100]  people are uh are very concerned about 9-11 don't really know haven't taken the time to actually
[01:19:41.100 --> 01:19:45.420]  educate themselves I haven't gotten into any verbal arguments on the street with people
[01:19:45.420 --> 01:19:49.340]  um I haven't been attacked by anybody as I've been passing out the information actually most
[01:19:49.340 --> 01:19:53.500]  of the responses that I get are uh sometimes people just don't take the information and say
[01:19:53.500 --> 01:19:58.860]  yeah I know already or yeah we're we're you know we're aware of it um you know it kind of
