[00:00.000 --> 00:29.280]  It's for Wars, tomorrow's news, today.
[1:43:07.280 --> 1:43:24.280]  Pollen block is a proprietary formula from France where they just learned by happenstance that quail that eat a certain diet, produce eggs and eggshells that are amazing when people eat them for knocking out seasonal discomfort or what folks call allergies.
[1:43:24.280 --> 1:43:25.280]  It's back in stock.
[1:43:25.280 --> 1:43:27.280]  It's been sold out for a long time.
[1:43:27.280 --> 1:43:28.280]  It's very hard to get.
[1:43:28.280 --> 1:43:30.280]  Despite that, it's 40 percent off.
[1:43:30.280 --> 1:43:34.280]  We have store wide free shipping right now for Memorial Day and double patriot points.
[1:43:34.280 --> 1:43:41.280]  So pollen block is back in stock, so is DNA force, so are some of the great products, store wide free shipping, and your purchase funds the infowarstore.
[1:43:41.280 --> 1:43:44.280]  So that is a true 360 win.
[1:43:44.280 --> 1:43:46.280]  Get your pollen block today.
[1:43:46.280 --> 1:43:50.280]  40 percent off, free shipping, double patriot points, infowarstore.com.
[1:43:50.280 --> 1:43:54.280]  And I know you're going to become a regular customer because everybody else that's gotten it basically has.
[1:43:54.280 --> 1:43:56.280]  This stuff really, really works.
[1:43:56.280 --> 1:44:02.280]  You're listening to the Alex Jones show.
[1:44:15.280 --> 1:44:17.280]  All right, here's what's going to happen.
[1:44:17.280 --> 1:44:27.280]  I'm going to give the number out for first time callers on the Wuhan purposeful bio weapon release by Fauci, the weapon he paid for, the weapon he tested.
[1:44:27.280 --> 1:44:31.280]  Then the deadly vaccines he tested as the real kill switch.
[1:44:31.280 --> 1:44:39.280]  I'm going to open the phones up about all the race war that Biden is pushing massively and so much more.
[1:44:39.280 --> 1:44:46.280]  Any topic you want to raise, any area you want to get into, China threatening nuclear war, what you think the globalists are going to do next.
[1:44:46.280 --> 1:44:47.280]  Trying to distract us.
[1:44:47.280 --> 1:44:50.280]  Obviously the hack attacks are a deep state operation.
[1:44:50.280 --> 1:44:55.280]  They've admitted that would be part of their plan to deindustrialize the West and shut us down and consolidate power.
[1:44:55.280 --> 1:44:58.280]  Just like the shutdown tripled their profits.
[1:44:58.280 --> 1:44:59.280]  It was double down.
[1:44:59.280 --> 1:45:00.280]  It's tripled.
[1:45:00.280 --> 1:45:04.280]  Everybody else went bankrupt or lost their job or got deep in debt.
[1:45:04.280 --> 1:45:05.280]  They got more powerful.
[1:45:05.280 --> 1:45:09.280]  Well, it's the same thing from all these hack attacks and the rest of it.
[1:45:09.280 --> 1:45:13.280]  I want to take your calls for the next two hours here today.
[1:45:13.280 --> 1:45:14.280]  I'm hosting the fourth hour.
[1:45:14.280 --> 1:45:18.280]  So that's more than two hours left in this live Thursday transmission.
[1:45:18.280 --> 1:45:19.280]  I got a lot of news.
[1:45:19.280 --> 1:45:22.280]  I'm going to hit in the meantime and in between as well.
[1:45:22.280 --> 1:45:24.280]  I'll tell you about some of that news in a moment.
[1:45:24.280 --> 1:45:31.280]  But the toll free number to join us is 877-789-2539-877-789.
[1:45:31.280 --> 1:45:36.280]  Alex, 877-789-2539-877-789.
[1:45:36.280 --> 1:45:38.280]  Alex, first time callers.
[1:45:38.280 --> 1:45:41.280]  And if you're calling from another country, sometimes 1,800 numbers don't work.
[1:45:41.280 --> 1:45:48.280]  Just dial your country access code, 011-512-646-1776.
[1:45:48.280 --> 1:45:51.280]  512-646-1776.
[1:45:51.280 --> 1:45:53.280]  And we will take your calls.
[1:45:53.280 --> 1:45:54.280]  First time callers.
[1:45:54.280 --> 1:45:56.280]  And I'm going to get to everybody.
[1:45:56.280 --> 1:45:57.280]  All right.
[1:45:57.280 --> 1:46:01.280]  Let me tell you, let me tell you about this, ladies and gentlemen.
[1:46:01.280 --> 1:46:04.280]  This is not an M4Worst product.
[1:46:04.280 --> 1:46:10.280]  But I'm only telling you this, not to brag, but to tell you the providence of it and
[1:46:10.280 --> 1:46:12.280]  why I know it works so well.
[1:46:12.280 --> 1:46:23.280]  Five years ago, I got to know a major petroleum engineer who was involved at the highest levels
[1:46:23.280 --> 1:46:24.280]  with the development.
[1:46:24.280 --> 1:46:29.280]  You've heard about it, the bacteria that eat, they pair, they eat paper, they eat grass,
[1:46:29.280 --> 1:46:30.280]  they eat oil.
[1:46:30.280 --> 1:46:33.280]  They're natural, but they've been specially bred.
[1:46:33.280 --> 1:46:41.280]  And I asked, why isn't that available for people's septic tanks and people's drains and people's RV toilet systems
[1:46:41.280 --> 1:46:43.280]  and they've gotten gunked up even though you pump them.
[1:46:43.280 --> 1:46:45.280]  Stuff gets in there and it needs to be eaten up.
[1:46:45.280 --> 1:46:52.280]  They said, just big oil company that owns it doesn't even care about the consumer market
[1:46:52.280 --> 1:46:56.280]  because they sell so many thousands of tons of it to the other oil companies and the pig farmers
[1:46:56.280 --> 1:46:57.280]  or everybody else.
[1:46:57.280 --> 1:46:59.280]  So I said, well, that's too bad.
[1:46:59.280 --> 1:47:04.280]  Because, you know, though I own part of the patent, so, you know, I could actually have that right.
[1:47:04.280 --> 1:47:05.280]  We went and checked it.
[1:47:05.280 --> 1:47:06.280]  They did.
[1:47:06.280 --> 1:47:07.280]  It's all true.
[1:47:07.280 --> 1:47:08.280]  For years, I said they should do it.
[1:47:08.280 --> 1:47:12.280]  I finally threw a fit two years ago because they're listeners and I know I'm their friends.
[1:47:12.280 --> 1:47:13.280]  I'll leave it at that.
[1:47:13.280 --> 1:47:19.280]  And I finally got them to do it and I finally got them to build a little factory and put
[1:47:19.280 --> 1:47:23.280]  in their own facility because this isn't done at the oil company facility in Houston.
[1:47:23.280 --> 1:47:27.280]  We buy it from them, from him.
[1:47:27.280 --> 1:47:31.280]  And then it's a sub company bringing this to you.
[1:47:31.280 --> 1:47:35.280]  So we're very excited about it and already a lot of big review groups have gotten it.
[1:47:35.280 --> 1:47:37.280]  People are wondering, wow, how did you do this?
[1:47:37.280 --> 1:47:38.280]  Just the grace of God.
[1:47:38.280 --> 1:47:40.280]  But nobody else has this.
[1:47:40.280 --> 1:47:42.280]  They've ever been brought to the consumer market.
[1:47:42.280 --> 1:47:46.280]  And again, half the cost of each bag is what I got to pay the oil company to get it.
[1:47:46.280 --> 1:47:51.280]  Once we prove that it's successful with this other company that's launching this,
[1:47:51.280 --> 1:47:53.280]  we hope to lower the price from them.
[1:47:53.280 --> 1:47:57.280]  It's worth it at $55 a bag because a lot of research and stuff goes into it.
[1:47:57.280 --> 1:47:59.280]  And it just, it lives in your septic tank.
[1:47:59.280 --> 1:48:01.280]  You know, we say it lasts a year, probably lasts longer.
[1:48:01.280 --> 1:48:03.280]  You have to keep adding enzymes all the time.
[1:48:03.280 --> 1:48:05.280]  It's up to 100 times better.
[1:48:05.280 --> 1:48:07.280]  And really it works in a bunch of other stuff as well.
[1:48:07.280 --> 1:48:08.280]  But this is for septic.
[1:48:08.280 --> 1:48:10.280]  It's got the instructions for septic.
[1:48:10.280 --> 1:48:12.280]  You put it right down the toilet.
[1:48:12.280 --> 1:48:15.280]  And people say, well, aren't you selling on InfoWars?
[1:48:15.280 --> 1:48:17.280]  It's their own company, ladies and gentlemen.
[1:48:17.280 --> 1:48:20.280]  And again, it took a lot of doing to get this.
[1:48:20.280 --> 1:48:24.280]  It's come to market and we're now getting insane reviews.
[1:48:24.280 --> 1:48:28.280]  So it's the bioseptic pro at the bio pros.
[1:48:28.280 --> 1:48:36.280]  One word, the thebio pros.com, the bio pros.com, the bio pros.com.
[1:48:36.280 --> 1:48:40.280]  And yes, next, they're getting operators set up and people to answer your calls and answer questions.
[1:48:40.280 --> 1:48:43.280]  They've already got one person hired to do that.
[1:48:43.280 --> 1:48:45.280]  So this is a big product from a big company,
[1:48:45.280 --> 1:48:49.280]  but we have totally gotten a separate group involved with it to set up a subsidiary.
[1:48:49.280 --> 1:48:55.280]  And so that's what we do around here is we get products and we trail blaze with them.
[1:48:55.280 --> 1:49:01.280]  This is amazing and it then funds the InfoWars as well.
[1:49:01.280 --> 1:49:05.280]  But like I said, the big oil company that holds the patent gets half the money.
[1:49:05.280 --> 1:49:08.280]  Then the guy that owns part of that patent, he gets a little bit.
[1:49:08.280 --> 1:49:12.280]  And by the time we sell it, we're bringing in some money to fund ourselves, but not that much.
[1:49:12.280 --> 1:49:14.280]  I'm just excited to get this product out there.
[1:49:14.280 --> 1:49:18.280]  And I believe it's going to be a great hit and it's already showing that it is.
[1:49:18.280 --> 1:49:20.280]  So check this out today.
[1:49:20.280 --> 1:49:29.280]  It's another American success story, thebio pros.com, thebio pros.com, thebio pros.com.
[1:49:29.280 --> 1:49:33.280]  And it's right there for you to get and to experience.
[1:49:33.280 --> 1:49:37.280]  And there's about four other products coming out the next few months that are packaged differently
[1:49:37.280 --> 1:49:43.280]  and delivered a little bit differently for your drains, for your RVs, for your boat,
[1:49:43.280 --> 1:49:49.280]  and for a bunch of other stuff, grease traps, you name it, farms, ponds.
[1:49:49.280 --> 1:49:52.280]  I mean, this stuff's crazy, man.
[1:49:52.280 --> 1:49:53.280]  It's crazy.
[1:49:53.280 --> 1:49:56.280]  You can put it in a foggy pond and then the pond clears up.
[1:49:56.280 --> 1:49:59.280]  It is serious business.
[1:49:59.280 --> 1:50:06.280]  And so it's probiotics for your septic tank, biosepticpro at thebio pros.com.
[1:50:06.280 --> 1:50:11.280]  We're really, really, really proud to be able to bring that to you.
[1:50:11.280 --> 1:50:16.280]  Separately, store-wide free shipping is going to end this Sunday with double-patriot points,
[1:50:16.280 --> 1:50:21.280]  the Big Memorial Day Special Extended Wheel End, DNA Force Plus sold out for seven months, 40% off.
[1:50:21.280 --> 1:50:27.280]  The Alexa Pure Breeze air filter and Alexa Pure Pro water filter, very high-end, highest-rated,
[1:50:27.280 --> 1:50:30.280]  but all the costs cut out, basically.
[1:50:30.280 --> 1:50:33.280]  $50 off on those makes those just insanely good deals.
[1:50:33.280 --> 1:50:36.280]  Basil Beats bag and stock, Ultra 12 bag and stock, about 50% off.
[1:50:36.280 --> 1:50:37.280]  Alba Power, same thing.
[1:50:37.280 --> 1:50:41.280]  Prostagard, 40% off. Pollen Block, bag and stock, 40% off.
[1:50:41.280 --> 1:50:48.280]  MFullWarStore.com, the iconic, double-iconic, double-magnetium, fizzy drink for all of your body cells
[1:50:48.280 --> 1:50:49.280]  and everything else.
[1:50:49.280 --> 1:50:50.280]  Like, I need to take some of that.
[1:50:50.280 --> 1:50:51.280]  I'm in a bad mood today.
[1:50:51.280 --> 1:50:54.280]  That always needs to be calm.
[1:50:54.280 --> 1:50:55.280]  I'm not complaining.
[1:50:55.280 --> 1:50:56.280]  I'm not bitching.
[1:50:56.280 --> 1:50:57.280]  I'm just telling you that I am pissed.
[1:50:57.280 --> 1:50:58.280]  I know you're pissed.
[1:50:58.280 --> 1:51:01.280]  I want to thank you all for keeping us on the air.
[1:51:01.280 --> 1:51:02.280]  Okay.
[1:51:02.280 --> 1:51:05.280]  Now, let me use your calls, pour in, and I can't wait to go to them.
[1:51:05.280 --> 1:51:07.280]  I'm going to settle down a little bit now.
[1:51:07.280 --> 1:51:13.280]  I'll be a good beaver and just tell you about all the other stacks here that have me foaming
[1:51:13.280 --> 1:51:15.280]  at the mouth angry.
[1:51:15.280 --> 1:51:20.280]  We have just insane leftist race baiting, exponentially worse until they get their race war.
[1:51:20.280 --> 1:51:22.280]  You can just guess it's going to happen.
[1:51:22.280 --> 1:51:24.280]  The question is, how do we short-circuit it?
[1:51:24.280 --> 1:51:25.280]  How do we stop it?
[1:51:25.280 --> 1:51:26.280]  How do we not let the gloves win?
[1:51:26.280 --> 1:51:28.280]  I'm going to get to that.
