[00:00:20.197 --> 00:00:22.038]  It's November 20th.
[01:21:05.153 --> 01:21:06.134]  Now's the time.
[01:21:06.134 --> 01:21:07.175]  America needs us.
[01:21:07.932 --> 01:21:10.174]  So we need to show up.
[01:21:10.174 --> 01:21:15.558]  Either we can sit here and talk all day, or we're going to defend liberty.
[01:21:15.558 --> 01:21:21.382]  Because this is about globalism versus everyone else.
[01:21:21.382 --> 01:21:24.324]  It's just that simple, Owen.
[01:21:24.324 --> 01:21:28.727]  And I can't emphasize this enough, and this is not a call to action.
[01:21:29.605 --> 01:21:32.205]  This is just the truth of the matter.
[01:21:32.205 --> 01:21:40.327]  Folks, you can either stand up and peacefully fight for America now, maybe for two, three, maybe another year max.
[01:21:40.327 --> 01:21:43.528]  The only way to get America back after that is going to be an armed revolution.
[01:21:43.528 --> 01:21:44.088]  Period.
[01:21:44.088 --> 01:21:45.508]  End of sentence.
[01:21:45.508 --> 01:21:47.408]  So, again, I'm not calling for that.
[01:21:47.408 --> 01:21:48.748]  I don't want to be a part of that.
[01:21:48.748 --> 01:21:54.590]  But rest assured, the American people will do what is necessary to save this republic.
[01:21:54.590 --> 01:21:56.710]  So, you can either fight peacefully,
[01:21:57.827 --> 01:22:12.131]  With civil disobedience, and organizing and activating in the streets now, and sharing links and awakening your friends and family, or... I would say within the next year, the only way to save this country, if they put Kamala Harris in, folks, it's game over.
[01:22:12.131 --> 01:22:16.792]  They're gonna lock down everything, you won't even have a country anymore, and it will become an armed conflict!
[01:22:16.792 --> 01:22:18.132]  I don't wanna see that happen!
[01:22:18.132 --> 01:22:22.014]  That's why I'm telling people to get activated now.
[01:22:22.014 --> 01:22:23.634]  So many things that we can do.
[01:22:24.309 --> 01:22:29.213]  If you can't physically be in Georgia tomorrow, you go to your state capitol.
[01:22:29.213 --> 01:22:32.635]  There's always an excuse, but guess what?
[01:22:32.635 --> 01:22:37.078]  American liberty is just one excuse away from tyranny.
[01:22:37.078 --> 01:22:40.161]  This is the fight that we were created for.
[01:22:40.161 --> 01:22:43.563]  That's why we were put here in a time as this.
[01:22:43.563 --> 01:22:48.306]  To either stand up or to bow down, but guess what?
[01:22:48.306 --> 01:22:51.749]  In Alabama, our state motto is, we dare defend our rights.
[01:22:53.254 --> 01:22:59.181]  As American citizens, our knees are not supposed to bend so easily.
[01:22:59.181 --> 01:23:02.585]  Stand up now politically and get active.
[01:23:02.585 --> 01:23:03.846]  Show up.
[01:23:03.846 --> 01:23:06.509]  Do the work now.
[01:23:06.509 --> 01:23:11.956]  Because in the future, it's going to be our children and our grandchildren that have to suffer
[01:23:12.478 --> 01:23:17.021]  Because the excuses that we created, that we made today.
[01:23:17.021 --> 01:23:18.182]  Thank you, Owen.
[01:23:18.182 --> 01:23:18.803]  Absolutely.
[01:23:18.803 --> 01:23:25.467]  And just look at the state of the schools right now, where they're making kids wear masks, hide behind plexiglass barriers.
[01:23:25.467 --> 01:23:28.189]  That's even if they get to go to school.
[01:23:28.189 --> 01:23:35.275]  But again, folks, people that, I mean, they probably haven't even heard of Infowars, particularly, in New York or California, that are dealing with this tyranny.
[01:23:35.275 --> 01:23:37.216]  Folks, they are fighting mad.
[01:23:37.216 --> 01:23:38.157]  They don't have a voice yet.
[01:23:39.175 --> 01:23:42.056]  They're still trying to, you know, they're just dizzy from how mad they are.
[01:23:42.056 --> 01:23:45.218]  I mean, these people are going to realize what's going on real soon.
[01:23:45.218 --> 01:23:46.318]  But that's what's so scary.
[01:23:46.318 --> 01:23:48.739]  Newsom and Cuomo, they're so arrogant.
[01:23:48.739 --> 01:23:50.180]  What do they know?
[01:23:50.180 --> 01:23:55.362]  I get asked all the time by listeners and by the media, what am I most proud of when it comes to the show?
[01:23:55.362 --> 01:24:02.766]  And it's the fact that InfoWars, more than 25 years ago, doing basic research with what the Club of Rome and the CFR and others were actually saying.
[01:24:03.306 --> 01:24:12.933]  Developed the hypothesis that Communist China had been set up to take our jobs and transfer them to China and then make us economically destitute and position us into debt.
[01:24:12.933 --> 01:24:14.214]  Well, now China owns the debt.
[01:24:14.214 --> 01:24:17.716]  Now China owns Hollywood, all the one-sided trading deals.
[01:24:17.716 --> 01:24:20.158]  It turns out our analysis was absolutely dead on.
[01:24:20.158 --> 01:24:22.359]  But, again, it wasn't that hard.
[01:24:22.359 --> 01:24:27.983]  The CFR and others admitted what they were doing, but still, others didn't want to focus on that issue.
[01:24:27.983 --> 01:24:28.804]  We did.
[01:24:28.804 --> 01:24:31.966]  And you focused on it by supporting us at InfoWars.
[01:24:32.486 --> 01:24:43.533]  So when you go to Infowarsstore.com and get all the great supplements, books, t-shirts, films, water filtration, air filtration, all of it, you're funding the organization that literally helped make up the world of what's really happening.
[01:24:43.533 --> 01:24:45.334]  So that's a big accomplishment for all of you.
[01:24:45.334 --> 01:24:46.375]  I want to thank you for your support.
[01:24:49.602 --> 01:24:56.964]  The miraculous properties of turmeric have been admired and worshipped for thousands of years by ancient civilizations.
[01:24:56.964 --> 01:25:00.344]  With modern science, we know why turmeric is so popular.
[01:25:00.344 --> 01:25:07.346]  Its antioxidant effect, its anti-inflammatory effect, everything it does is simply amazing.
[01:25:07.346 --> 01:25:10.867]  And most turmerics out there are simply food products.
[01:25:10.867 --> 01:25:16.928]  They're 3-5% curcuminoid, but we have body's ultimate turmeric formula.
[01:25:17.848 --> 01:25:17.968]  Yeah.
[01:25:35.293 --> 01:25:35.893]  We're good to go.
[01:25:57.327 --> 01:26:02.152]  The COVID virus is going to cause a global depression and hundreds of millions to starve to death.
[01:26:02.152 --> 01:26:03.393]  Incredible!
[01:26:03.393 --> 01:26:12.281]  They're the very organizations that ordered the global lockdowns that are causing the chain reaction that's causing the mass starvation, not the COVID virus.
[01:26:12.281 --> 01:26:13.442]  That is a fact.
[01:26:13.442 --> 01:26:20.129]  And all the hero sheep that wear the mask and go along with this are signing on to mass murder bigger than what Hitler did.
[01:26:20.569 --> 01:26:24.032]  That's when we got the Geneva Convention and the Nuremberg Code.
[01:26:24.032 --> 01:26:33.000]  This is a medical, world government, tyrannical takeover, causing starvation, setting up world IDs, and coming with forced inoculations.
[01:26:33.000 --> 01:26:38.064]  And now Bank of America says global unrest is sure to trigger an even bigger depression.
[01:26:38.064 --> 01:26:39.866]  That story's on Infowars.com.
[01:26:39.866 --> 01:26:48.113]  That's why it's vital for all of you to be public and to say you do not stand for this or the mass global genocide being caused by the planetary Great Reset.
[01:26:52.507 --> 01:26:55.117]  You're listening to The Alex Jones Show.
[01:27:27.267 --> 01:27:30.268]  We're back here at the Alex Jones Show.
[01:27:30.268 --> 01:27:31.688]  I've seen Phillip Anderson speak.
[01:27:31.688 --> 01:27:35.630]  We've got other people speaking right now live from the Capitol in Georgia.
[01:27:35.630 --> 01:27:37.791]  Again, ladies and gentlemen, get involved.
[01:27:37.791 --> 01:27:41.872]  Your state capitol this Saturday at noon.
[01:27:41.872 --> 01:27:46.213]  I will be here in Austin, Texas at the state capitol.
[01:27:46.213 --> 01:27:47.754]  I know there are people coming to join me.
[01:27:48.598 --> 01:27:57.941]  But the big event, the big rally is in Atlanta, Georgia, and we are just covering some of that right now with the live feed.
[01:27:57.941 --> 01:28:05.163]  You know, maybe it's time we all moved to South Dakota, where Kristi Noem is the governor.
[01:28:05.163 --> 01:28:11.025]  A hero, a patriot, doesn't want to lock down her state, doesn't want to force you to wear a mask.
[01:28:11.025 --> 01:28:15.326]  Here she is talking about that during a press conference today.
[01:28:17.550 --> 01:28:23.272]  There are many states that do have mask mandates in place, and some that do not.
[01:28:23.272 --> 01:28:29.094]  But I look at their rate of spread, and the fact is that cases are increasing in many of those states as well.
[01:28:29.094 --> 01:28:35.737]  If you look at Wisconsin, they've had a mask mandate since August, and they have a higher rate of spread than the state of South Dakota.
[01:28:35.737 --> 01:28:39.618]  You look at Montana, they've had a mask mandate in place since July.
[01:28:40.158 --> 01:28:45.020]  Both of those states have higher rates of spread than the state of South Dakota.
[01:28:45.020 --> 01:28:49.081]  When you look at Wyoming, it has the fastest spread in the nation.
[01:28:49.081 --> 01:28:58.425]  And that is the concern that I have, is many times I don't want to approach a policy or a mandate just looking to make people feel good.
[01:28:59.045 --> 01:28:59.525]  The best?
[01:29:27.628 --> 01:29:28.830]  Noam DeSantis?
[01:29:28.830 --> 01:29:38.544]  I mean... Am I missing a... Who's a better governor than Christy Noam or Ron DeSantis right now?
[01:29:38.544 --> 01:29:42.129]  They're leading the charge, as far as I can tell.
[01:29:42.129 --> 01:29:43.491]  And it's pathetic, though, that...
[01:29:44.403 --> 01:29:47.044]  That's, I mean, like, wow.
[01:29:47.044 --> 01:29:51.325]  That should be normal behavior from your governor, but that's, like, considered heroic now.
[01:29:51.325 --> 01:29:59.106]  It's like, yeah, you know, I can't force people to shut down their business, I can't force people to wear a mask, and I'm looking at the data and it doesn't even work, and you know what?
[01:29:59.106 --> 01:30:02.727]  If other cities want to run things their own way, you know, they can do that too, that's how it works around here.
[01:30:02.727 --> 01:30:04.107]  You're like, oh my gosh!
[01:30:04.107 --> 01:30:05.588]  A governor that loves freedom!
[01:30:05.588 --> 01:30:07.248]  Wow!
[01:30:07.248 --> 01:30:08.768]  A governor that wants to live in reality!
[01:30:08.768 --> 01:30:09.148]  Wow!
[01:30:09.148 --> 01:30:10.689]  And not a tyrant for a governor!
[01:30:10.689 --> 01:30:11.369]  Oh, thank God!
[01:30:12.892 --> 01:30:15.274]  Should we all just move to South Dakota?
[01:30:15.274 --> 01:30:18.576]  Everybody just move to Florida?
[01:30:18.576 --> 01:30:23.159]  Man, I'll tell you, if I didn't hate winter, I'd probably move to South Dakota tomorrow.
[01:30:23.159 --> 01:30:23.919]  I'm not even kidding you.
[01:30:23.919 --> 01:30:24.820]  I just hate winter.
[01:30:24.820 --> 01:30:25.821]  I cannot deal with it.
[01:30:25.821 --> 01:30:26.841]  I don't like winter.
[01:30:26.841 --> 01:30:28.482]  I'd rather be 100 degrees all year long.
[01:30:28.482 --> 01:30:31.164]  Alright, I'm getting off track.
[01:30:31.164 --> 01:30:35.627]  Let's get back to your phone calls.
[01:30:35.627 --> 01:30:37.748]  And we have Jamie in North Dakota.
[01:30:37.748 --> 01:30:39.610]  Jamie, you're on the Alex Jones Show.
[01:30:39.610 --> 01:30:39.950]  Go ahead.
[01:30:42.031 --> 01:30:58.861]  Hi, I wanted to speak to, first of all, all of us in the Midwest who think this can't affect us, and also to reach out to the mothers out there, because you guys do a really great job, but I really want mothers to hear what's going on in our little state of North Dakota.
[01:30:58.861 --> 01:31:09.507]  We have 765,000 residents, and of course, as soon as Doug Burgum was re-elected, he threw down a mask mandate and said that our kids needed to go to school with it.
[01:31:09.995 --> 01:31:17.945]  Everybody started freaking out about a $1,000 fine, but what they're missing was that statute that they cited was a Class C felony.
[01:31:17.945 --> 01:31:22.631]  Now, the people that are going to rise up against that are conservatives, right?
[01:31:22.631 --> 01:31:27.578]  So basically, if you get slapped with that fine, they're taking away your right to vote and your right to have guns.
[01:31:28.138 --> 01:31:30.360]  That's the first thing that I want to point out.
[01:31:30.360 --> 01:31:33.362]  Once they slapped that on the kids at school, I was done.
[01:31:33.362 --> 01:31:35.023]  I went and I called the state senator.
[01:31:35.023 --> 01:31:45.371]  I talked to the senator and he said that his hands were kind of tied, and what had happened was USA Today did an article about how horrible we are up here, which we're not, by the way.
[01:31:45.371 --> 01:31:46.591]  We have 289 people in the hospital.
[01:31:46.591 --> 01:31:46.872]  That is it.
[01:31:50.975 --> 01:31:57.020]  Well look, the whole COVID thing, the fact that we even talk about it like it's a real issue is a psy-op in and of itself.
[01:31:57.020 --> 01:31:59.382]  It's the flu, it's... I mean, name anything.
[01:31:59.382 --> 01:32:00.623]  You don't lock down for anything.
[01:32:00.623 --> 01:32:02.665]  We don't lock down for tuberculosis.
[01:32:02.665 --> 01:32:04.747]  We don't lock down for Ebola.
[01:32:04.747 --> 01:32:06.948]  We don't lock... I mean, so it's just, why COVID?
[01:32:06.948 --> 01:32:08.209]  It's all a big sham.
[01:32:08.209 --> 01:32:09.771]  It's all a big planned scam-demic.
[01:32:10.854 --> 01:32:15.777]  Now, all of this sexual stuff you've been talking about, this is another warning I want to go out.
[01:32:15.777 --> 01:32:17.057]  It can happen anywhere.
[01:32:17.057 --> 01:32:22.820]  When I signed my son up for school, I talked to her about these sexual lessons coming into their school.
[01:32:22.820 --> 01:32:24.521]  They said, no, we're so conservative.
[01:32:24.521 --> 01:32:25.882]  That would never happen.
[01:32:25.882 --> 01:32:31.985]  I'm going to read you one line from my son's first week of school that I found in his backpack.
[01:32:31.985 --> 01:32:37.988]  Jonah's mother explained that all people develop sexual desires, which they need to control by taking pills.
[01:32:39.474 --> 01:32:40.414]  Are you okay with that?
[01:32:40.414 --> 01:32:42.335]  Because I'm not.
[01:32:42.335 --> 01:32:48.776]  So not only are they sexualizing your kid, they're also wanting to turn them into a drug addict.
[01:32:48.776 --> 01:32:55.778]  Well, and take pills, which will probably, you know, affect their reproductive ability in the future, which means they won't reproduce.
