[00:00.000 --> 00:11.000]  There's a lot of controversy around this network about Alex Jones, for example.
[1:39:14.000 --> 1:39:19.000]  The opposite Buzzfeed or Daily Beach or wherever the hell this thing.
[1:39:19.000 --> 1:39:24.000]  Daily basis. It's the opposite. I told Paul.
[1:39:24.000 --> 1:39:32.000]  I gave you a raise six years ago to start coming on the show and to start speaking out because I want to.
[1:39:32.000 --> 1:39:35.000]  You're a smart guy and I need you on air.
[1:39:35.000 --> 1:39:37.000]  And that's why I made him go on air.
[1:39:37.000 --> 1:39:39.000]  I want him to get bigger than me.
[1:39:39.000 --> 1:39:44.000]  It's not an Obi-Wan Kenobi Darth Vader analogy.
[1:39:44.000 --> 1:39:48.000]  It's the opposite of that.
[1:39:48.000 --> 1:39:55.000]  And people need to understand that. But that's how the left operates in their whole weird, jealous, whacked out world.
[1:39:55.000 --> 1:40:00.000]  That I keep Paul in a basement.
[1:40:00.000 --> 1:40:04.000]  And that I chew him out constantly.
[1:40:04.000 --> 1:40:07.000]  It's the opposite.
[1:40:07.000 --> 1:40:15.000]  Paul can kill any story on Info Wars or Prison Planet anytime he wants.
[1:40:15.000 --> 1:40:18.000]  Kit Daniels. I trust Kit. He can do that now.
[1:40:18.000 --> 1:40:23.000]  Three people can kill any story anytime in case I'm not paying attention or something we think is wrong.
[1:40:23.000 --> 1:40:31.000]  Kit brought a story to my attention last week that absolutely was bad news and was a rumor.
[1:40:31.000 --> 1:40:34.000]  And I unfortunately had to terminate somebody and I'm going to leave it at that.
[1:40:34.000 --> 1:40:39.000]  But the point is, is that it's the opposite.
[1:40:39.000 --> 1:40:42.000]  I trust Paul more than myself sometimes.
[1:40:42.000 --> 1:40:47.000]  Because I do get wound up, man. It's not an act sometimes when I'm wild eyed.
[1:40:47.000 --> 1:40:54.000]  It's the opposite. Paul is there helping me.
[1:40:54.000 --> 1:40:58.000]  And I help him some too on things. I've taught him a lot and he'll tell you that.
[1:40:58.000 --> 1:41:01.000]  But I don't mean to get off in a digression here.
[1:41:01.000 --> 1:41:03.000]  We're going to open the phones up, talk to Zach.
[1:41:03.000 --> 1:41:06.000]  I'm looking for men better than me.
[1:41:06.000 --> 1:41:08.000]  I'm looking for women better than me.
[1:41:08.000 --> 1:41:11.000]  I'm looking for people to put in the field.
[1:41:11.000 --> 1:41:18.000]  If somebody comes along way better than I am at all the skills I've got, like finding Paul Watson, like finding Owen Schreuer.
[1:41:18.000 --> 1:41:21.000]  No credit in the little stupid articles to that.
[1:41:21.000 --> 1:41:27.000]  Oh, Jones is this knuckle dragging buffoon who can't even tie his own shoelaces.
[1:41:27.000 --> 1:41:31.000]  That's why all these governments listen and intelligence agencies listen and all the rest of it.
[1:41:31.000 --> 1:41:37.000]  My still on air, my oratory repertoire is not one-tenth of my main intellect.
[1:41:37.000 --> 1:41:49.000]  And I'm not bragging just a fact, but I don't enjoy watching the sycophantic manipulations they put out that I know has an effect on some weak minds.
[1:41:49.000 --> 1:41:53.000]  Zach's coming up on the other side of this break.
[1:41:53.000 --> 1:41:55.000]  I need financial support.
[1:41:55.000 --> 1:42:02.000]  You know, the biggest thing you can do against the enemy is get products you absolutely need that make your life better like air filtration, water filtration,
[1:42:02.000 --> 1:42:09.000]  high quality supplements, great patriot apparel, books, videos, you name it,
[1:42:09.000 --> 1:42:12.000]  for the culture wars at infowarstore.com.
[1:42:12.000 --> 1:42:14.000]  Super Mill Vitality 50% off.
[1:42:14.000 --> 1:42:16.000]  You get the real red pill that goes great with it.
[1:42:16.000 --> 1:42:21.000]  50% off when you get them as a combo and free shipping on that little special.
[1:42:21.000 --> 1:42:25.000]  You can read the thousands of five-star reviews at infowarstore.com.
[1:42:25.000 --> 1:42:29.000]  Again, there aren't reviews on new combos because they're only run for a week.
[1:42:29.000 --> 1:42:32.000]  So there's a bunch of new specials that have got to end.
[1:42:32.000 --> 1:42:36.000]  X2, we can extend the sale a little bit because we got an emergency shipment in.
[1:42:36.000 --> 1:42:40.000]  But supplies on that deep earth, pure crystal form of it, all the other stuff makes me sick.
[1:42:40.000 --> 1:42:41.000]  Everybody else too.
[1:42:41.000 --> 1:42:45.000]  I always knew that iodine was critical, but the stuff they had wasn't real atomic iodine.
[1:42:45.000 --> 1:42:46.000]  It was mixed with alcohol.
[1:42:46.000 --> 1:42:47.000]  It binds to it.
[1:42:47.000 --> 1:42:49.000]  It eats holes your stomach.
[1:42:49.000 --> 1:42:50.000]  Not this, folks.
[1:42:50.000 --> 1:42:51.000]  This is the real iodine.
[1:42:51.000 --> 1:42:52.000]  This is the real deal.
[1:42:52.000 --> 1:42:53.000]  It's amazing.
[1:42:53.000 --> 1:43:00.000]  This is the real deal at infowarstore.com. X2, limited supply.
[1:43:00.000 --> 1:43:03.000]  It's been sold out for months and now it's back.
[1:43:03.000 --> 1:43:09.000]  It's Myco ZX plus lower price, more ingredients because we scaled up, signed a year contract
[1:43:09.000 --> 1:43:13.000]  with an even bigger organic manufacturer and producer.
[1:43:13.000 --> 1:43:14.000]  Scalability.
[1:43:14.000 --> 1:43:19.000]  But now we're able to go at 50% off to $27 instead of $39.
[1:43:19.000 --> 1:43:22.000]  50% off because there's a lot of product and a lot of ingredient.
[1:43:22.000 --> 1:43:26.000]  Everybody thinks about probiotics and how great they are for your gut because you have toxins
[1:43:26.000 --> 1:43:28.000]  in the environment, pesticides, herbicides.
[1:43:28.000 --> 1:43:32.000]  But more importantly than bad bacteria, the probiotics help displace.
[1:43:32.000 --> 1:43:35.000]  Yeast mold creates slime walls.
[1:43:35.000 --> 1:43:40.000]  And once the candida and the yeast and the mold and all that get in there, it causes all sorts
[1:43:40.000 --> 1:43:41.000]  of syrups.
[1:43:41.000 --> 1:43:46.000]  Well, this has got a bunch of concentrated herbs in it and compounds known to destroy that
[1:43:46.000 --> 1:43:47.000]  slime wall.
[1:43:47.000 --> 1:43:50.000]  Don't wait to start detoxifying your body until it's too late.
[1:43:50.000 --> 1:43:56.000]  Pick up a bottle of the new and improved Myco ZX plus now from the M4 Wars store.
[1:43:56.000 --> 1:43:58.000]  I'm so excited.
[1:43:58.000 --> 1:44:04.000]  The new product at M4WarsLife.com in a glass bottle, two month servings filled to the
[1:44:04.000 --> 1:44:08.000]  brim, filled to the absolute top, the real red pill.
[1:44:08.000 --> 1:44:14.000]  This is a heart and brain pill, a new tropic that doesn't have any stimulants in it.
[1:44:14.000 --> 1:44:17.000]  But boy, does it stimulate because it's beyond that.
[1:44:17.000 --> 1:44:23.000]  Quite frankly, I just went off what I saw medical doctors prescribing to their patients.
[1:44:23.000 --> 1:44:29.000]  But it wasn't prescription, but they were charging people $100, $200 for the formulae.
[1:44:29.000 --> 1:44:33.000]  And I came up with our own formulae working with some scientists and developers.
[1:44:33.000 --> 1:44:38.000]  Non-GMO, made right here in America, 120 capsules.
[1:44:38.000 --> 1:44:44.000]  And ladies and gentlemen, you add the preglinone to it, which is the precursor to all the hormones
[1:44:44.000 --> 1:44:47.000]  your body has to have to even make the hormones in your glands.
[1:44:47.000 --> 1:44:50.000]  It is amazing.
[1:44:50.000 --> 1:44:58.000]  Red pill now available at M4WarsStore.com and your purchase fuzz the operation.
[1:44:58.000 --> 1:45:05.000]  Nourish a probiotic friendly environment in your gut with prebiotic fiber by M4WarsLife.
[1:45:05.000 --> 1:45:13.000]  Help the good bacteria thrive and support overall digestive health with our specially formulated prebiotic fiber,
[1:45:13.000 --> 1:45:18.000]  a mixture of clinically studied and organic acacia, fruit, and flax fiber.
[1:45:18.000 --> 1:45:24.000]  Prebiotic fiber is soluble fiber that ferments in the gut to help feed good bacteria,
[1:45:24.000 --> 1:45:29.000]  which helps you digest food, absorb nutrients, and even support your immune system.
[1:45:29.000 --> 1:45:36.000]  InfoWarsLife's cutting-edge formula only brings you the highest quality, organic, and clinically studied ingredients.
[1:45:36.000 --> 1:45:41.000]  Cheap prebiotic fibers are used up only at the beginning of the colon,
[1:45:41.000 --> 1:45:51.000]  but our premium organic acacia fiber is slowly digested by the good bacteria throughout the entire colon for maximum prebiotic effect.
[1:45:51.000 --> 1:45:58.000]  Head to infowarslife.com or call 1-888-253-3139.
[1:45:58.000 --> 1:46:03.000]  You know, if I tried to sit here and tell you about the 60-plus products, we have it in FullWarsLife.
[1:46:03.000 --> 1:46:05.000]  They take hours.
[1:46:05.000 --> 1:46:11.000]  Michael ZX Plus now has a lower price. It's stronger. It's the other equation in probiotics.
[1:46:11.000 --> 1:46:15.000]  It knocks out the yeast, the mold, the candida. It's back in stock.
[1:46:15.000 --> 1:46:18.000]  The real red pill, it's been sold out for months.
[1:46:18.000 --> 1:46:22.000]  It's got the preguinone that's the precursor to all the natural hormones in your body.
[1:46:22.000 --> 1:46:25.000]  Then it's got all the minerals and the vitamins, the amino acids.
[1:46:25.000 --> 1:46:26.000]  So you can upload it.
[1:46:26.000 --> 1:46:32.000]  Our latest product that goes great with the super blue colloidal silver and iodine 4-5 toothpaste
[1:46:32.000 --> 1:46:36.000]  super blue silver immune gargle that's a spray you do. You can also swallow it.
[1:46:36.000 --> 1:46:42.000]  It's a supplement with iodine, a super high quality silver and a lot more.
[1:46:42.000 --> 1:46:44.000]  Without you, we couldn't do it.
[1:46:44.000 --> 1:46:50.000]  So thank you all for remembering infowarsstore.com and remembering that it's not just you that's already awake,
[1:46:50.000 --> 1:46:53.000]  but it's other people that aren't awake and it's so essential to spread the word.
[1:46:53.000 --> 1:47:04.000]  Again, thank you so much for being part of the Second American Revolution.
