[00:00:00.269 --> 00:00:01.230]  BREAKING THE CONDITIONING!
[01:00:38.987 --> 01:00:41.891]  It's Mr. McCabe, who's lucky he's not going to get indicted.
[01:00:41.891 --> 01:00:43.794]  The whole house of cards is imploding.
[01:00:43.794 --> 01:00:48.960]  The man that they said front and center was the top Russian agent at the heart of this just spoke to the
[01:00:51.471 --> 01:00:54.593]  Major unions there in the UK.
[01:00:54.593 --> 01:00:56.695]  He spoke to Oxford, now he's going to Cambridge.
[01:00:56.695 --> 01:01:01.258]  He joins us via telephone as he drives through the English countryside.
[01:01:01.258 --> 01:01:06.882]  So we'll see what happens and then we'll, in this segment and the next, read some of the real bombshell areas of the memo that we haven't gotten to yet.
[01:01:06.882 --> 01:01:13.667]  But it's exactly what Roger Stone said back in January and February of last year from his sources.
[01:01:13.667 --> 01:01:16.349]  It's exactly, and it's the president we now know from the cover page.
[01:01:17.557 --> 01:01:23.721]  Which is even bigger, I think, than what we already knew in the memo, that says, I'm the author, basically, of allowing the intel of the House.
[01:01:23.721 --> 01:01:31.085]  I'm ready to give more intel to you that will destroy these people if they don't come to heel, if they don't cry for quarter.
[01:01:31.085 --> 01:01:36.348]  The problem is, they're not going to give us quarter, are they, Roger?
[01:01:36.348 --> 01:01:46.594]  Oh, Alex, I've got to tell you, in the 40 years I've been active in American politics, in the 10 presidential campaigns I've been through, I've never seen anything like this.
[01:01:47.945 --> 01:02:04.258]  And not only is it extraordinary, but equally troubling is the fact that the President's appointees, as both FBI and CIA directors, joined the cover-up and sought to keep this information from the American people.
[01:02:04.258 --> 01:02:15.968]  They actually argued against the release of a memo that not only exonerates the President on the question of Russian collusion, but proves that the FBI
[01:02:17.100 --> 01:02:28.363]  Actively was involved in fabricating evidence to justify the surveillance of the Republican candidate for president of the United States.
[01:02:28.363 --> 01:02:30.124]  It's 10,000 times worse than what Nixon.
[01:02:30.124 --> 01:02:31.484]  It's criminality.
[01:02:31.484 --> 01:02:35.406]  It's 10,000 times worse than Nixon.
[01:02:35.406 --> 01:02:37.306]  Oh, Watergate pales in comparison.
[01:02:37.306 --> 01:02:39.907]  This is the illegitimate use
[01:02:40.763 --> 01:02:46.605]  Of the surveillance power and authority of the state against a major party candidate for president.
[01:02:46.605 --> 01:02:48.065]  And now they fought.
[01:02:48.065 --> 01:02:49.065]  So, so, so.
[01:02:49.065 --> 01:02:51.066]  They're fighting to obstruct now.
[01:02:51.066 --> 01:02:52.186]  They perjured to Congress.
[01:02:52.186 --> 01:02:56.228]  They lied to the FISA court to get the three warrants.
[01:02:56.228 --> 01:02:58.048]  They have lied to the president.
[01:02:58.048 --> 01:03:00.789]  I mean, they have committed so many crimes, it's dizzying, Roger.
[01:03:03.038 --> 01:03:08.184]  Well, we now know that they fabricated the underlying evidence.
[01:03:08.184 --> 01:03:22.499]  They never told the FICE Court the origins of the dirty dossier, that it had come not from the Bureau, not from our own internal investigations by our intelligence services, but from a political source.
[01:03:23.436 --> 01:03:39.142]  The President needs to fire the current FBI Director, Mr. Wray, who has fought the release of this document, and as far as the last I heard, was preparing a rebuttal that he was going to put out shortly after the release.
[01:03:39.142 --> 01:03:39.982]  That's outrageous!
[01:03:41.213 --> 01:03:43.036]  That's absolutely outrageous.
[01:03:43.036 --> 01:03:46.621]  He's more interested in covering up the illegal and unconstitutional actions.
[01:03:46.621 --> 01:03:46.701]  Why?
[01:03:46.701 --> 01:03:48.884]  Listen, there are a lot of good people in the FBI.
[01:03:48.884 --> 01:03:54.071]  Why can't Trump find a patriot that's known to be an American and not a deep state turd?
[01:03:54.071 --> 01:03:55.453]  What is wrong with these people?
[01:03:55.453 --> 01:03:56.455]  They are so arrogant!
[01:03:58.260 --> 01:04:06.227]  Well, you notice when he resigned last week, Trey Gowdy, a great American, said he was returning to law enforcement.
[01:04:06.227 --> 01:04:08.810]  Notice he didn't say to the practice of law.
[01:04:08.810 --> 01:04:11.672]  He said, law enforcement.
[01:04:11.672 --> 01:04:13.894]  Let us hope.
[01:04:13.894 --> 01:04:15.916]  In fact, that was why I tried to get a hold of you yesterday.
[01:04:15.916 --> 01:04:20.801]  The word is he's going to be joining some type of task force Trump's setting up.
[01:04:23.669 --> 01:04:28.354]  Well, clearly he must be planning to go into service for the administration.
[01:04:28.354 --> 01:04:32.759]  He did pass up the opportunity earlier to be FBI Director.
[01:04:32.759 --> 01:04:34.881]  Let's be clear where Mr. Wray came from.
[01:04:34.881 --> 01:04:39.326]  He was heavily promoted by New Jersey Governor Chris Christie.
[01:04:39.326 --> 01:04:44.111]  Oh, you're saying he's announcing he's not going to run for re-election because he may take that FBI Director job now.
[01:04:45.914 --> 01:04:47.395]  That's what I believe.
[01:04:47.395 --> 01:04:52.477]  I'm keying this off the fact that he said he would be going back to law enforcement.
[01:04:52.477 --> 01:04:57.098]  He also knows that he couldn't wait till the last minute to vacate the seat.
[01:04:57.098 --> 01:04:57.498]  Stay there.
[01:04:57.498 --> 01:04:58.519]  Stay there.
[01:04:58.519 --> 01:05:02.340]  You know, I've got some talking points here about Caveman from Infowarslife.com.
[01:05:02.340 --> 01:05:07.082]  But instead of going on those talking points, let me just give you what I've experienced personally.
[01:05:07.082 --> 01:05:11.644]  From all the wives tales in every culture, we know that the bones have the essence.
[01:05:11.644 --> 01:05:13.945]  We know chicken noodle soup is great for people that are sick.
[01:05:14.765 --> 01:05:17.892]  Again, in every culture, this has been reported because it works.
[01:05:19.390 --> 01:05:32.234]  And there's no way to quantify how strong this is, but the amount of bone protein and the amount of marrow and the amount of concentrated life force that is in this is incredible.
[01:05:32.234 --> 01:05:47.298]  Ladies and gentlemen, whether it's for your joints, whether it's for your arteries and your veins, whether it's for your brain, whether it's for energy, this, ladies and gentlemen, is the strongest, most concentrated bone broth formula out there, and it's amazing.
[01:05:48.279 --> 01:05:52.003]  Find out for yourself today at Infowarsstore.com what it can do for you and your family.
[01:05:52.003 --> 01:05:54.286]  And again, I want to thank you all for your support.
[01:05:54.286 --> 01:05:56.548]  You are funding the Information War in 2018.
[01:06:09.918 --> 01:06:12.560]  Waging war on corruption.
[01:06:12.560 --> 01:06:19.366]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[01:06:19.366 --> 01:06:20.667]  Press the attack!
[01:06:20.667 --> 01:06:23.489]  Keep it up!
[01:06:23.489 --> 01:06:26.671]  That's what Trump says, the American people fighting back.
[01:06:26.671 --> 01:06:27.832]  That's his orders.
[01:06:27.832 --> 01:06:29.394]  He's my commander-in-chief, to me.
[01:06:30.620 --> 01:06:35.006]  I don't follow orders unless they're constitutional, and you bet I love following those orders.
[01:06:35.006 --> 01:06:39.051]  So I'll quote Darth Vader and tell you this, stay in attack formation.
[01:06:39.051 --> 01:06:41.193]  Because they're not going to give up yet.
[01:06:41.193 --> 01:06:43.777]  Roger Stone is having a whirlwind tour.
[01:06:43.777 --> 01:06:46.180]  At first it was Oxford, then they wanted him at all the other big universities.
[01:06:46.460 --> 01:06:47.520]  He's on his way to Cambridge.
[01:06:47.520 --> 01:06:50.881]  Can't wait to get all the HD footage back and exclusively air that here.
[01:06:50.881 --> 01:06:53.202]  But he's all over the news there.
[01:06:53.202 --> 01:06:56.643]  The Guardian is police stating, saying, you shouldn't interview Stone.
[01:06:56.643 --> 01:06:58.864]  Take him off the air, just like they did here.
[01:06:58.864 --> 01:06:59.664]  Take him off Fox.
[01:06:59.664 --> 01:07:00.845]  Take him off CNN.
[01:07:00.845 --> 01:07:03.585]  These authoritarians want to just call you a Russian agent.
[01:07:03.585 --> 01:07:04.866]  Call me a Russian agent.
[01:07:05.646 --> 01:07:09.010]  Have congressional hearings about censoring us.
[01:07:09.010 --> 01:07:15.556]  The former president is suing you through this law firm he set up and admits he runs with DNC money.
[01:07:15.556 --> 01:07:17.358]  Behind the scenes we can't announce it yet.
[01:07:17.358 --> 01:07:20.201]  We got Soros Connected Group suing me.
[01:07:20.201 --> 01:07:22.403]  But we're breaking their back right now, Roger.
[01:07:22.403 --> 01:07:23.825]  This devastating memo.
[01:07:23.825 --> 01:07:25.486]  Let's go through the trifecta here.
[01:07:26.187 --> 01:07:27.668]  And all the other key intel you've got.
[01:07:27.668 --> 01:07:30.830]  And you're telling me it's on fire over there in the UK.
[01:07:30.830 --> 01:07:33.031]  I mean, this is the biggest political soap opera.
[01:07:33.031 --> 01:07:34.331]  It's so sexy.
[01:07:34.331 --> 01:07:35.672]  It's so real.
[01:07:35.672 --> 01:07:36.893]  It's got such curves.
[01:07:36.893 --> 01:07:38.794]  It's the Marilyn Monroe of this.
[01:07:38.794 --> 01:07:40.495]  And it's bringing America back.
[01:07:40.495 --> 01:07:43.316]  It's not some demoralizing scandal that hurts the country.
[01:07:43.316 --> 01:07:44.817]  It is a cleansing.
[01:07:44.817 --> 01:07:48.479]  It is a good political bloodletting.
[01:07:48.479 --> 01:07:50.680]  And you read the president's intro sheet.
[01:07:50.680 --> 01:07:51.841]  Here's the trifecta.
[01:07:51.841 --> 01:07:55.183]  I got more crap on you, and we're going to come for you.
[01:07:56.516 --> 01:07:59.357]  You got caught perjuring yourself to the FISA Court.
[01:07:59.357 --> 01:08:01.478]  You perjured yourself to Congress.
[01:08:01.478 --> 01:08:03.678]  You perjured yourself to the American people.
[01:08:03.678 --> 01:08:04.919]  We have you now.
[01:08:04.919 --> 01:08:06.659]  We have your whole operation.
[01:08:06.659 --> 01:08:10.360]  I mean, what on earth?
[01:08:10.360 --> 01:08:12.021]  I'm just speechless, Roger Stone, right now.
[01:08:12.441 --> 01:08:13.922]  And how vindicated do you feel?
[01:08:13.922 --> 01:08:14.922]  Well, I'll tell you this.
[01:08:14.922 --> 01:08:16.023]  I wouldn't feel too vindicated.
[01:08:16.023 --> 01:08:17.884]  They killed Trump and get the system through.
[01:08:17.884 --> 01:08:19.885]  They say they plan to arrest everybody.
[01:08:19.885 --> 01:08:20.665]  Thousands of us.
[01:08:20.665 --> 01:08:22.086]  They plan to end the free press.
[01:08:22.086 --> 01:08:24.127]  We're facing real cancer.
[01:08:24.127 --> 01:08:27.909]  And we've got to route it out or the country's dead.
[01:08:27.909 --> 01:08:28.489]  Go ahead, Roger.
[01:08:30.220 --> 01:08:32.922]  That's why I think the President's got to clean out.
[01:08:32.922 --> 01:08:45.528]  His FBI director was more interested in the cover-up of illegal activities by the agency than he was in exonerating the President in the phony Russian collusion investigation.
[01:08:45.528 --> 01:08:48.529]  His CIA director was lockstep.
[01:08:48.529 --> 01:08:50.530]  Oh no, we can't release the memo.
[01:08:50.530 --> 01:08:52.091]  It'll expose our methods.
[01:08:52.091 --> 01:08:56.893]  Well, the American people need to know what the methods are if the methods are illegal.
[01:08:57.774 --> 01:09:02.861]  The president needs to clean house and his opportunity to do so is now.
[01:09:02.861 --> 01:09:05.484]  He should fire FBI Director Wray.
