[00:00.000 --> 00:04.000]  Forgive me, I have scammed.
[1:34:12.000 --> 1:34:15.000]  That's what we're trying to do here at Infowars.
[1:34:15.000 --> 1:34:17.000]  We're trying to give you products that are good for your health
[1:34:17.000 --> 1:34:20.000]  and also have a financial independence
[1:34:20.000 --> 1:34:22.000]  from these kinds of corporate sponsors
[1:34:22.000 --> 1:34:24.000]  that can try to shut down our operation.
[1:34:24.000 --> 1:34:26.000]  And I just want to remind you that we've got
[1:34:26.000 --> 1:34:28.000]  vitamin mineral fusion drink mix.
[1:34:28.000 --> 1:34:30.000]  That's back in stock at Infowarslife.com.
[1:34:30.000 --> 1:34:33.000]  And of course, that's the affordable, great tasting
[1:34:33.000 --> 1:34:35.000]  vitamin mineral fusion drink mix.
[1:34:35.000 --> 1:34:38.000]  It's loaded with a full must supply
[1:34:38.000 --> 1:34:41.000]  of essential vitamins, minerals, and amino acids
[1:34:41.000 --> 1:34:42.000]  that your body needs.
[1:34:42.000 --> 1:34:45.000]  It's the platinum standard of multivitamin products.
[1:34:45.000 --> 1:34:47.000]  It's very easy to take a format.
[1:34:47.000 --> 1:34:48.000]  You can just drink it.
[1:34:48.000 --> 1:34:50.000]  It's not a lot of pills that you have to swallow.
[1:34:50.000 --> 1:34:52.000]  A full multivitamin drink mix.
[1:34:52.000 --> 1:34:55.000]  It's all plant derived from the highest quality lab standards.
[1:34:55.000 --> 1:34:59.000]  So these things are either plant derived.
[1:34:59.000 --> 1:35:01.000]  There's nothing in it that is GMO.
[1:35:01.000 --> 1:35:03.000]  It's got all the types of vitamins that you need,
[1:35:03.000 --> 1:35:06.000]  vitamin C, vitamin E, zinc, magnesium, selenium,
[1:35:06.000 --> 1:35:07.000]  all these different.
[1:35:07.000 --> 1:35:11.000]  You can take a look at our reviews on Infowarslife.com
[1:35:11.000 --> 1:35:13.000]  as well as the ingredients in it.
[1:35:13.000 --> 1:35:17.000]  It gives you a broad base of support for your diet.
[1:35:17.000 --> 1:35:19.000]  That's how we keep our independence.
[1:35:19.000 --> 1:35:21.000]  That's how we help you with high quality products
[1:35:21.000 --> 1:35:25.000]  that will help you and your family to maintain your health
[1:35:25.000 --> 1:35:28.000]  and protect you from the kind of toxic things
[1:35:28.000 --> 1:35:30.000]  that you're exposed to constantly in the environment
[1:35:30.000 --> 1:35:34.000]  in your diet in the cosmetics that you come in contact with
[1:35:34.000 --> 1:35:36.000]  from soaps to shampoos.
[1:35:36.000 --> 1:35:38.000]  So take a look at the products that we have at Infowarslife.com.
[1:35:38.000 --> 1:35:40.000]  That's the way we support our operation.
[1:35:40.000 --> 1:35:42.000]  We thank you for your support.
[1:35:42.000 --> 1:35:44.000]  In the last segment, you were talking about the fact
[1:35:44.000 --> 1:35:46.000]  that a trends journal, you said that Donald Trump
[1:35:46.000 --> 1:35:48.000]  had about two years to do whatever he wanted
[1:35:48.000 --> 1:35:51.000]  because he's got a majority in the House and Senate
[1:35:51.000 --> 1:35:53.000]  and he's got an agenda.
[1:35:53.000 --> 1:35:57.000]  One of the key things in that is to get rid of Obamacare.
[1:35:57.000 --> 1:35:59.000]  And we see on Politico, of course,
[1:35:59.000 --> 1:36:03.000]  they're always going to be pushing an agenda
[1:36:03.000 --> 1:36:08.000]  that is anti-Trump and anti-Republican, anti-freedom.
[1:36:08.000 --> 1:36:10.000]  They're saying that the GOP may delay
[1:36:10.000 --> 1:36:12.000]  Obamacare replacement for years.
[1:36:12.000 --> 1:36:13.000]  They would love to see this.
[1:36:13.000 --> 1:36:15.000]  And quite frankly, that is the great danger
[1:36:15.000 --> 1:36:19.000]  is that the GOP establishment would drag their heels on Obamacare.
[1:36:19.000 --> 1:36:22.000]  They say that both sides of Capitol Hill
[1:36:22.000 --> 1:36:27.000]  are coalescing around a plan to vote to repeal the law in early 2017
[1:36:27.000 --> 1:36:30.000]  but to delay the effective date for that repeal
[1:36:30.000 --> 1:36:31.000]  as long as three years.
[1:36:31.000 --> 1:36:35.000]  If they do that, that really is going to be a problem
[1:36:35.000 --> 1:36:36.000]  for the Trump administration.
[1:36:36.000 --> 1:36:37.000]  I think he needs to move quickly.
[1:36:37.000 --> 1:36:38.000]  I think he is going to move quickly.
[1:36:38.000 --> 1:36:40.000]  He's talked about what he's going to do in the first 100 days.
[1:36:40.000 --> 1:36:41.000]  He's been very active.
[1:36:41.000 --> 1:36:45.000]  Here we are even still 50 days before he becomes president.
[1:36:45.000 --> 1:36:46.000]  What's your take on this?
[1:36:46.000 --> 1:36:49.000]  Do you think that the GOP establishment,
[1:36:49.000 --> 1:36:52.000]  which we all know really would like to see Obamacare continue,
[1:36:52.000 --> 1:36:55.000]  do you think they're going to drag their feet
[1:36:55.000 --> 1:36:58.000]  and subvert this effort to try to get rid of Obamacare?
[1:36:58.000 --> 1:37:02.000]  Again, there's nothing standing in Trump's way.
[1:37:02.000 --> 1:37:04.000]  He'll do whatever he wants to do.
[1:37:04.000 --> 1:37:09.000]  He'll steamroll over Ryan McConnell, Graham McCain.
[1:37:09.000 --> 1:37:11.000]  He did it before and he'll do it again.
[1:37:11.000 --> 1:37:13.000]  Again, that's the point I wanted to keep making.
[1:37:13.000 --> 1:37:18.000]  When you're inside that club and you're an outsider,
[1:37:18.000 --> 1:37:22.000]  you know how easy it is to change it.
[1:37:22.000 --> 1:37:23.000]  He knows that.
[1:37:23.000 --> 1:37:26.000]  He spent his lifetime around these people.
[1:37:26.000 --> 1:37:27.000]  He knows who they are.
[1:37:27.000 --> 1:37:32.000]  He knows how he bought them off and did what he wanted to do.
[1:37:32.000 --> 1:37:35.000]  They're not going to be able to stop him at all.
[1:37:35.000 --> 1:37:38.000]  I also want to follow up on what you were saying also
[1:37:38.000 --> 1:37:40.000]  about the products that you're selling
[1:37:40.000 --> 1:37:43.000]  and the independence of infowars.
[1:37:43.000 --> 1:37:47.000]  The need for it, particularly in this time,
[1:37:47.000 --> 1:37:48.000]  is we're seeing the collapse.
[1:37:48.000 --> 1:37:51.000]  There is no more Fourth Estate.
[1:37:51.000 --> 1:37:54.000]  The Fourth Estate being the one that watched over the judicial,
[1:37:54.000 --> 1:37:56.000]  the executive, and the congressional branch.
[1:37:56.000 --> 1:37:59.000]  They're dead, as we see by the prostitutes
[1:37:59.000 --> 1:38:02.000]  that keep selling the Beltway lies.
[1:38:02.000 --> 1:38:04.000]  The products that you sell,
[1:38:04.000 --> 1:38:06.000]  because people ask me continually,
[1:38:06.000 --> 1:38:09.000]  what can I do to make positive change?
[1:38:09.000 --> 1:38:13.000]  I keep saying the first thing is that you have to be
[1:38:13.000 --> 1:38:15.000]  in the best shape you can possibly be in,
[1:38:15.000 --> 1:38:19.000]  spiritually, emotionally, and physically.
[1:38:19.000 --> 1:38:22.000]  I don't mean religious when I say spiritually.
[1:38:22.000 --> 1:38:25.000]  I'm talking in a different tone.
[1:38:25.000 --> 1:38:29.000]  But on the physical and the products that you're bringing
[1:38:29.000 --> 1:38:32.000]  to the public, as opposed to, for example,
[1:38:32.000 --> 1:38:34.000]  like you were talking about Kellogg
[1:38:34.000 --> 1:38:36.000]  and the other crap out there,
[1:38:36.000 --> 1:38:38.000]  it's not only essential for the people,
[1:38:38.000 --> 1:38:41.000]  for themselves personally,
[1:38:41.000 --> 1:38:44.000]  to consider supporting infowars
[1:38:44.000 --> 1:38:47.000]  and other organizations that are doing,
[1:38:47.000 --> 1:38:50.000]  not the alternative news, we're the real news now.
[1:38:50.000 --> 1:38:52.000]  That's the alternative.
[1:38:52.000 --> 1:38:55.000]  But also to get in the best shape that you can get into
[1:38:55.000 --> 1:39:00.000]  so that you can keep pushing this movement forward.
[1:39:00.000 --> 1:39:03.000]  And the movement forward is happening around the world.
[1:39:03.000 --> 1:39:07.000]  Look what they just did over there in South Korea.
[1:39:07.000 --> 1:39:09.000]  People went to the streets
[1:39:09.000 --> 1:39:13.000]  and they just about threw out their President Park.
[1:39:13.000 --> 1:39:16.000]  Look what's going on in South Africa.
[1:39:16.000 --> 1:39:19.000]  Look what's going on in France, in England, with Brexit.
[1:39:19.000 --> 1:39:22.000]  In Italy, by the way, this is very important.
[1:39:22.000 --> 1:39:25.000]  This Sunday is going to be a referendum in Italy,
[1:39:25.000 --> 1:39:29.000]  whether or not to go along with the Fonsi's
[1:39:29.000 --> 1:39:31.000]  constitutional amendment.
[1:39:31.000 --> 1:39:33.000]  I mean, Renzi.
[1:39:33.000 --> 1:39:35.000]  Maybe Renzi jumped the shark too, huh?
[1:39:35.000 --> 1:39:37.000]  Yeah.
[1:39:37.000 --> 1:39:40.000]  And if that's defeated,
[1:39:40.000 --> 1:39:43.000]  you're going to see chaos in the global markets,
[1:39:43.000 --> 1:39:46.000]  particularly in the banking markets in Europe,
[1:39:46.000 --> 1:39:50.000]  that are going to be very, very shaking on Monday.
[1:39:50.000 --> 1:39:52.000]  So people should really be in touch with that,
[1:39:52.000 --> 1:39:58.000]  plus the election of the Freedom Party in Austria on Sunday.
[1:39:58.000 --> 1:40:03.000]  So what I'm saying is these movements all tie together.
[1:40:03.000 --> 1:40:05.000]  And it's happening in America.
[1:40:05.000 --> 1:40:08.000]  But again, the people have to go out and support
[1:40:08.000 --> 1:40:12.000]  not only with their boots on the ground in America,
[1:40:12.000 --> 1:40:16.000]  but also to put their money where their mind is.
[1:40:16.000 --> 1:40:20.000]  So going back to what Trump is going to do with Obamacare,
[1:40:20.000 --> 1:40:23.000]  he's going to do what he wants.
[1:40:23.000 --> 1:40:26.000]  There will be nothing standing in his way from, again,
[1:40:26.000 --> 1:40:28.000]  from a guy that's been on the other side
[1:40:28.000 --> 1:40:31.000]  and seeing the lay of the land.
[1:40:31.000 --> 1:40:34.000]  And particularly the two people that he brought in
[1:40:34.000 --> 1:40:38.000]  with the Treasury Secretary and Commerce.
[1:40:38.000 --> 1:40:40.000]  They're two very strong-willed guys,
[1:40:40.000 --> 1:40:43.000]  like them or not, the things they've done,
[1:40:43.000 --> 1:40:46.000]  the fact is they know that the deals stink
[1:40:46.000 --> 1:40:48.000]  and they have to be redesigned.
[1:40:48.000 --> 1:40:52.000]  Now, I want to talk about also the negatives.
[1:40:52.000 --> 1:40:55.000]  And that is interest rates are going up
[1:40:55.000 --> 1:40:57.000]  and the dollar is getting stronger.
[1:40:57.000 --> 1:41:01.000]  We're now at the dollars hitting almost a 14-year high
[1:41:01.000 --> 1:41:04.000]  against the basket of currencies.
[1:41:04.000 --> 1:41:07.000]  The stronger the dollar gets, David,
[1:41:07.000 --> 1:41:10.000]  all of this money that was borrowed
[1:41:10.000 --> 1:41:12.000]  under quantitative easing
[1:41:12.000 --> 1:41:15.000]  and all of this negative and zero-interest rate policy,
[1:41:15.000 --> 1:41:18.000]  particularly in the emerging markets,
[1:41:18.000 --> 1:41:21.000]  they borrowed it in dollars.
[1:41:21.000 --> 1:41:23.000]  As the dollar gets stronger,
[1:41:23.000 --> 1:41:26.000]  they have to pay back that debt
[1:41:26.000 --> 1:41:28.000]  as their currencies get weaker
[1:41:28.000 --> 1:41:31.000]  with more of their currencies.
[1:41:31.000 --> 1:41:33.000]  So we're looking at,
