[00:00:13.206 --> 00:00:15.328]  He is a very, very busy man.
[01:07:47.935 --> 01:07:49.336]  You love us and we love you.
[01:07:58.817 --> 01:08:01.579]  He's the T-Rex of political talk.
[01:08:01.579 --> 01:08:04.481]  Alex Jones on the GCN Radio Network.
[01:08:04.481 --> 01:08:20.133]  Congressman Ron Paul joins us in the fourth hour today, coming up in an hour and 52 minutes.
[01:08:20.133 --> 01:08:22.635]  For the balance of that time, though, before he joins us,
[01:08:23.965 --> 01:08:32.193]  We have Steve Quayle, best-selling author, syndicated radio host, researcher, survivalist.
[01:08:32.193 --> 01:08:42.703]  Steve wrote books back in the mid-90s about how they would use a genetically engineered flu as their pretext and cover to bring in world government because it makes everyone guilty.
[01:08:43.652 --> 01:08:50.235]  See, first they build the police state, control grid, NORTHCOM, in the name of fighting Al-Qaeda, the globalist creation, on record.
[01:08:50.235 --> 01:08:59.218]  Sybil Edmonds, FBI translator, on record that Al-Qaeda was working for the CIA and FBI and Defense Intelligence right up to 9-11.
[01:08:59.218 --> 01:09:03.240]  And all these other documents that have come out, they flew them out to safety, that's Times of London.
[01:09:04.597 --> 01:09:10.158]  Once they've got their system set up, then they announce, oh, it's for the American people.
[01:09:10.158 --> 01:09:11.698]  Oh, there's terrorists.
[01:09:11.698 --> 01:09:17.079]  And all over the news, remember in the Missouri papers, what, two weeks ago?
[01:09:17.079 --> 01:09:19.019]  I'll pull that out and put it on screen later.
[01:09:19.019 --> 01:09:24.560]  The Army is now writing articles for local newspapers saying, oh, we're running checkpoints in the town.
[01:09:24.560 --> 01:09:30.161]  We're trying to protect the town from militia attacks.
[01:09:30.161 --> 01:09:31.822]  So we're going to be searching your cars.
[01:09:31.822 --> 01:09:34.302]  This is in the news all over the country.
[01:09:36.360 --> 01:09:49.605]  They just announced that they're going to be running drills and checkpoints in the towns, searching you to fight the militia, the American government.
[01:09:49.605 --> 01:09:55.308]  See, suddenly, oh, NORTHCOM admits its main enemy is the American people.
[01:09:55.308 --> 01:10:01.150]  Now, this is perfect cover to pass the banking takeover, the new Bank of the World they want to set up in October.
[01:10:01.150 --> 01:10:05.772]  It's perfect timing in October to pass the anti-gun bills they've got introduced, the cap and trade.
[01:10:07.005 --> 01:10:08.206]  Through the Senate.
[01:10:08.206 --> 01:10:08.926]  That's what they're saying.
[01:10:08.926 --> 01:10:12.968]  Everything's going to happen in October, November.
[01:10:12.968 --> 01:10:14.429]  Obama's approval rating's plunging.
[01:10:14.429 --> 01:10:15.650]  They've got to get it done by then.
[01:10:15.650 --> 01:10:18.451]  They're saying this!
[01:10:18.451 --> 01:10:21.573]  Now, back in... Here's some background.
[01:10:21.573 --> 01:10:26.295]  I want Steve Kroll to talk about this first, then we'll go through what's happening in the future.
[01:10:26.295 --> 01:10:28.857]  I went on air in January, February, and March.
[01:10:28.857 --> 01:10:30.758]  We had emergency managers from towns on.
[01:10:31.758 --> 01:10:47.483]  We had reporters on where the feds were building mass graves, where the feds were preparing local cemeteries for hundreds of thousands dead per town, where the feds were telling police departments, harden yourselves for IED attacks, terror attacks.
[01:10:47.483 --> 01:10:49.844]  The American people are going to attack you.
[01:10:49.844 --> 01:10:55.306]  They would do drills with the feds, where the local police would guard the flu vaccine coming in.
[01:10:55.306 --> 01:11:00.248]  And I said, folks, it appears they're going to play a flu card as the next stage false flag.
[01:11:00.988 --> 01:11:04.269]  I said, call the White House, call Congress, tell them don't do it.
[01:11:04.269 --> 01:11:06.790]  Then, in April, they launch.
[01:11:06.790 --> 01:11:09.351]  They say, end of the world, hundreds of millions are going to die.
[01:11:09.351 --> 01:11:12.052]  And I said, wait a minute, hardly anybody's dying.
[01:11:12.052 --> 01:11:15.934]  This is genetically engineered, though, scientists were already saying.
[01:11:15.934 --> 01:11:16.894]  What's the deal?
[01:11:16.894 --> 01:11:20.215]  Is this a psychological primer for the fall?
[01:11:20.215 --> 01:11:24.317]  Then Napolitano comes out and says, oh, it will happen in the fall.
[01:11:24.317 --> 01:11:26.137]  It will happen in October.
[01:11:26.137 --> 01:11:27.778]  They love telling you what they're going to do.
[01:11:29.269 --> 01:11:30.890]  And so now we see it's the perfect cover.
[01:11:30.890 --> 01:11:43.838]  Now, all over the country they're telling banks, schools, Walmart, anything in infrastructure protection through InfraGard, this secret network of 50 plus thousand spooks and spies for the feds and industry and business and government.
[01:11:43.838 --> 01:11:46.899]  Water treatment plants, power plants, anything in infrastructure.
[01:11:46.899 --> 01:11:50.361]  They're now expanding that out to hundreds of thousands where everything's infrastructure.
[01:11:50.361 --> 01:11:51.842]  License to kill.
[01:11:51.842 --> 01:11:52.843]  Kill your employees.
[01:11:52.843 --> 01:11:54.544]  Kill whoever we order you to kill.
[01:11:54.544 --> 01:11:55.585]  That's mainstream news.
[01:11:55.585 --> 01:11:56.085]  InfraGard.
[01:11:57.079 --> 01:11:59.560]  They have the clergy response teams going back three years ago.
[01:11:59.560 --> 01:12:00.941]  We got the secret documents.
[01:12:00.941 --> 01:12:03.722]  Since confirmed mainstream news, but they say it's good.
[01:12:03.722 --> 01:12:09.244]  The clergy response teams training and telling their flocks it's of God.
[01:12:09.244 --> 01:12:10.644]  Take the flu shot.
[01:12:10.644 --> 01:12:11.565]  Take the smallpox.
[01:12:11.565 --> 01:12:12.905]  Take the anthrax shot.
[01:12:12.905 --> 01:12:13.906]  Turn in your guns.
[01:12:13.906 --> 01:12:15.366]  Let them take your children.
[01:12:15.366 --> 01:12:16.447]  Go to the FEMA camp.
[01:12:16.447 --> 01:12:17.987]  Go to the relocation camp.
[01:12:17.987 --> 01:12:19.828]  We played those clips over and over again.
[01:12:19.828 --> 01:12:25.010]  Exactly what we showed you in the documents years later announced in the news because they're getting ready to go operational.
[01:12:26.878 --> 01:12:29.822]  Suddenly, troops to run checkpoints for drunk drivers.
[01:12:29.822 --> 01:12:35.489]  Troops to run checkpoints for gun checks in Illinois.
[01:12:35.489 --> 01:12:40.115]  Troops to run checkpoints for militias that want to attack the National Guard.
[01:12:40.115 --> 01:12:40.896]  Just out of the blue.
[01:12:40.896 --> 01:12:41.998]  This is in the newspapers.
[01:12:46.278 --> 01:12:47.539]  Why is all this happening?
[01:12:47.539 --> 01:12:50.581]  Because our system of government is falling.
[01:12:50.581 --> 01:12:52.962]  We're going into foreign bank receivership.
[01:12:52.962 --> 01:13:09.753]  Now, we hope, in the choices of bad to worse, that they just hype it to inject people with sterilization compounds and cancer viruses, and to make tens of billions off these vaccines.
[01:13:09.753 --> 01:13:12.535]  That's on the bad, but not the worse.
[01:13:14.147 --> 01:13:30.028]  They could actually put out something that kills a bunch of people to really create a panic so more people take the shots that have the soft kills that the White House science czar talks about and says they're going to put your vaccines and put in your water.
[01:13:30.028 --> 01:13:31.290]  I mean, they're not playing games.
[01:13:34.352 --> 01:13:36.113]  They may go with the mass culling.
[01:13:36.113 --> 01:13:48.242]  I believe, though, it's just going to be more fear-mongering to train us to go under level 600 UN control, and to get people to take the soft kill shots, and to practice having trips on the streets for bigger biological releases in the future.
[01:13:48.242 --> 01:13:54.807]  Because their psychological tactic is, create a crisis, restrict, people resist, back off a little but not as much.
[01:13:54.807 --> 01:13:58.490]  Then squeeze in again, the people saying, we've had enough, they back off a little.
[01:13:59.130 --> 01:14:06.055]  Then as soon as our resistance dissipates, they squeeze again, we get angry, they back off a little, and over time, they squeeze us.
[01:14:06.055 --> 01:14:08.657]  That's the psychology.
[01:14:08.657 --> 01:14:12.680]  But, their whole agenda is stalling and falling apart, so they may go with something bigger.
[01:14:12.680 --> 01:14:15.182]  Sprinkled in terror attacks.
[01:14:15.182 --> 01:14:16.443]  Saying Al-Qaeda did it.
[01:14:16.443 --> 01:14:18.825]  Linking up with white Al-Qaeda.
[01:14:18.825 --> 01:14:20.106]  You know, the American people.
[01:14:21.052 --> 01:14:22.574]  They're saying fear everyone.
[01:14:22.574 --> 01:14:24.557]  They're now putting out the script.
[01:14:24.557 --> 01:14:26.219]  I see the preconditioning for that.
[01:14:26.219 --> 01:14:28.081]  They may launch a war with Iran.
[01:14:28.081 --> 01:14:29.463]  I mean, they're going for broke.
[01:14:29.463 --> 01:14:31.125]  Everything's lined up for them.
[01:14:31.125 --> 01:14:34.310]  I've never seen such a build-up of the establishment's operations.
[01:14:35.646 --> 01:14:37.307]  Now, I've got Steve Quill with us.
[01:14:37.307 --> 01:14:53.240]  I just wanted to... This video, I'm asking listeners to spread it everywhere, to make it go viral, because if we expose them enough, they may back off, and not do the really bad stuff, and just do the soft kill operation, which is bad enough, but we can warn people, and that buys us some time.
[01:14:53.240 --> 01:14:55.262]  We're trying to triage here.
[01:14:55.262 --> 01:14:58.925]  It may even blow up in their face, and they may back off on the whole program.
[01:14:58.925 --> 01:15:00.566]  But they're gonna keep coming back, coming back.
[01:15:00.566 --> 01:15:01.247]  That's their M.O.
[01:15:03.345 --> 01:15:08.948]  Ladies and gentlemen, everything is lined up for this, and they're doing weird quarantines secretly at high schools.
[01:15:08.948 --> 01:15:12.410]  Dripping Springs yesterday, one of my employees' husband works there.
[01:15:12.410 --> 01:15:19.634]  They locked it down, wouldn't let the kids go home, wouldn't let the coaches go home, but said national security, don't tell anybody.
[01:15:19.634 --> 01:15:22.076]  This was all over.
[01:15:22.076 --> 01:15:24.357]  This was all over one kid who got a fever.
[01:15:25.154 --> 01:15:28.737]  And then, of course, now they're telling him, oh, don't worry, it was probably nothing.
[01:15:28.737 --> 01:15:30.439]  They don't even know if it was swine flu.
[01:15:30.439 --> 01:15:36.424]  See, but they're doing grassroots psyops everywhere so that everybody will be scared and take the shot.
[01:15:36.424 --> 01:15:42.129]  Now, Steve Quayle wrote a book back in the mid-90s documenting all this.
[01:15:42.129 --> 01:15:43.490]  We can see what they're building.
[01:15:43.490 --> 01:15:45.432]  Steve, I know I've been ranting the last 10 minutes here.
[01:15:45.432 --> 01:15:49.776]  Break down comments on what I've just said, the history of what we saw.
