[00:00:07.412 --> 00:00:11.794]  Ladies and gentlemen.
[01:12:21.720 --> 01:12:23.400]  Planned Parenthood was set up to kill you.
[01:12:23.400 --> 01:12:23.881]  Shut up!
[01:12:23.881 --> 01:12:25.641]  I'm going to kill you!
[01:12:25.641 --> 01:12:26.541]  You threatening to kill me?
[01:12:26.541 --> 01:12:36.124]  And again, there's that emotion of, hey, 14 dead black men, but the media makes a big deal out of it, versus millions.
[01:12:36.124 --> 01:12:38.424]  It's incredible.
[01:12:38.424 --> 01:12:39.965]  And the globalists would say, well, these people are done.
[01:12:39.965 --> 01:12:40.605]  They deserve to die.
[01:12:40.605 --> 01:12:40.745]  See?
[01:12:41.755 --> 01:12:44.723]  No, folks, this has been a dumbing down process.
[01:12:44.723 --> 01:12:47.490]  And now they're using the dumb down as weapons against us all.
[01:12:47.490 --> 01:12:49.295]  We'll be right back with the Larry Pinkney piece I talked about.
[01:12:49.295 --> 01:12:49.596]  Stay with us.
[01:12:51.095 --> 01:12:55.417]  The trick that social engineers use is very, very simple.
[01:12:55.417 --> 01:13:10.045]  They just teach us that the architecture of civilization, that the trajectory of a species is designed by these ever-knowing, loving, liberal technocrats, and that if we just sit back and enjoy the ride, everything will be great.
[01:13:10.045 --> 01:13:16.028]  But then they tell us that humans are obsolete, non-essential, that we're bad for the Earth, that we need to be phased out.
[01:13:16.028 --> 01:13:20.230]  So, they're very open about what they're doing, and they count on us
[01:13:21.070 --> 01:13:26.852]  Just being very passive, living in the matrix-like system that they're building.
[01:13:26.852 --> 01:13:34.055]  But what defines humans more than anything from the rest of the quote, animal kingdom, is that we control our environment.
[01:13:34.055 --> 01:13:36.175]  We build our own environments.
[01:13:36.175 --> 01:13:37.496]  We create our own systems.
[01:13:37.496 --> 01:13:44.018]  We really geoengineer and terraform the planet and its systems towards our aims.
[01:13:44.018 --> 01:13:48.620]  But instead, we're acting like animals, letting the globalists play the part of humans, and us as cattle.
[01:13:48.620 --> 01:13:49.500]  And that's the trick.
[01:13:50.885 --> 01:14:04.539]  Well, Mark Zuckerberg on paper two weeks ago put in hundreds of millions of dollars with Bloomberg to launch this Operation Red Mirage to contest the election when it's overwhelmingly clear that Trump has won on election night.
[01:14:04.539 --> 01:14:05.661]  Now he's come out with a statement.
[01:14:06.101 --> 01:14:06.641]  We're good to go.
[01:14:27.190 --> 01:14:34.934]  Trump is surrounded by tyrants, but he has we, the people, and he has true media, not independent media, the real media.
[01:14:34.934 --> 01:14:53.503]  So now more than ever, it's critical to share the live streams, the videos, the articles, and the information at InfoWars.com because the globalists fear it most because we were the first to expose their plan to contest the election and drag it out to keep the American people from reelecting President Trump.
[01:14:53.503 --> 01:14:56.124]  You're listening to the Alex Jones Show.
[01:15:03.356 --> 01:15:25.644]  Juxtapose the mindless gibberings of Antifa and BLM celebrating the shooting of police officers, the wounding and killing across the country, versus a original founding member of the Black Panther Party, Larry Pinckney, who they actually set up and put in prison because he was effective at bringing people together, not dividing them.
[01:15:26.806 --> 01:15:31.790]  The new Black Panther Party works for Soros, the new world order to create racial division.
[01:15:31.790 --> 01:15:33.192]  You're not alone.
[01:15:33.192 --> 01:15:35.393]  Millions preparing to fight back.
[01:15:35.393 --> 01:15:38.556]  This video went super viral, not at Bandot Video.
[01:15:38.556 --> 01:15:42.460]  It got a couple hundred thousand, three hundred thousand views there, but millions of views across the internet.
[01:15:42.460 --> 01:15:45.042]  Now it needs to be shared more than ever.
[01:15:45.042 --> 01:15:49.005]  Larry Pinckney from BlackActivistWG.org.
[01:15:49.005 --> 01:15:49.566]  Here he is.
[01:15:53.050 --> 01:15:59.572]  Right in front of our very eyes, we are seeing the globalist deep state at work.
[01:15:59.572 --> 01:16:02.313]  Black Lives Matter and Antifa.
[01:16:02.313 --> 01:16:07.495]  What a terrible, terrible blight upon all people.
[01:16:07.495 --> 01:16:17.379]  Antifa, which they claim means anti-fascist, is absurd, ludicrous, and totally opposite of what they claim to be.
[01:16:17.379 --> 01:16:19.580]  They are not anti-fascist.
[01:16:19.580 --> 01:16:20.200]  They are
[01:16:20.840 --> 01:16:23.402]  Black Lives Matter.
[01:16:23.402 --> 01:16:24.403]  It's a ruse.
[01:16:24.403 --> 01:16:25.884]  R-U-S-E.
[01:16:25.884 --> 01:16:32.349]  If Black Lives Matter, then why don't we do something about what is happening?
[01:16:32.349 --> 01:16:33.830]  Blacks on Blacks.
[01:16:33.830 --> 01:16:35.011]  Killing Blacks.
[01:16:35.011 --> 01:16:39.854]  In places like Chicago, Detroit, Baltimore, Washington, D.C.
[01:16:39.854 --> 01:16:42.496]  It's an endless list that won't be missed.
[01:16:42.496 --> 01:16:49.021]  So the bottom line here is that it's about divide, confusion, chaos, and conquer.
[01:16:49.736 --> 01:17:03.267]  What we're watching here is insanity, and particularly the deep state Democrats and their seditious, despicable, lying media are fanning the flames.
[01:17:03.267 --> 01:17:06.990]  I urge all of my brothers and sisters, don't go for the ghost.
[01:17:07.970 --> 01:17:11.011]  Okay, don't be duped, hoodwinked, bamboozled.
[01:17:11.011 --> 01:17:11.691]  Okay?
[01:17:11.691 --> 01:17:15.932]  Understand that we are in this struggle as patriots, as U.S.
[01:17:15.932 --> 01:17:17.812]  citizens, together.
[01:17:17.812 --> 01:17:22.013]  What we have on our side is we have each other.
[01:17:22.013 --> 01:17:23.213]  Each other.
[01:17:23.213 --> 01:17:25.534]  And that's extremely powerful.
[01:17:25.534 --> 01:17:32.115]  And that's something that the media, the deep state Democrats, and the rhino Republicans, for that matter,
[01:17:32.475 --> 01:17:34.118]  They don't want you to know that.
[01:17:34.118 --> 01:17:36.100]  They want you to think that you're alone.
[01:17:36.100 --> 01:17:37.562]  You're by yourself.
[01:17:37.562 --> 01:17:38.604]  You're not alone.
[01:17:38.604 --> 01:17:40.226]  You're not by yourself.
[01:17:40.226 --> 01:17:46.756]  And there are a lot of people, millions, millions, who are thinking just like you.
[01:17:48.052 --> 01:17:50.353]  This is our republic.
[01:17:50.353 --> 01:18:00.658]  This is all about fun and games and hurting people and destroying, not building, not serving the people, body and soul, but the exact opposite.
[01:18:00.658 --> 01:18:09.581]  So I plead with, implore with, to all my brothers and sisters of all colors, get a grip on reality.
[01:18:09.581 --> 01:18:11.102]  Stop this madness.
[01:18:11.102 --> 01:18:12.623]  Stop this insanity.
[01:18:12.623 --> 01:18:17.125]  And those who won't stop it need to be stopped.
[01:18:22.816 --> 01:18:24.157]  Now, that's eloquence.
[01:18:24.157 --> 01:18:24.858]  That's truth.
[01:18:24.858 --> 01:18:27.500]  That's power.
[01:18:27.500 --> 01:18:29.302]  That's one of the founders of the Black Panther Party.
[01:18:29.302 --> 01:18:31.424]  And that's why they locked him up.
[01:18:31.424 --> 01:18:33.346]  The FBI files came out later.
[01:18:33.346 --> 01:18:35.388]  They set him up and put him in prison.
[01:18:35.388 --> 01:18:40.252]  You know who apologized before he died for being part of it?
[01:18:40.252 --> 01:18:40.793]  Ted Gunderson.
[01:18:42.193 --> 01:18:45.275]  Who was a hero, he exposed pedophile rings, everything.
[01:18:45.275 --> 01:18:50.839]  They were told that the new Black Panther Party, the Black Panther Party was communist, the new Black Panther Party was globalist.
[01:18:50.839 --> 01:18:57.523]  And so, they went after him, they set him up, they put him in prison.
[01:18:57.523 --> 01:19:01.166]  But that's because they were actually trying to empower people.
[01:19:01.166 --> 01:19:07.410]  You don't see the new Black Panther Party or BLM being put in prison, you see them getting
[01:19:08.638 --> 01:19:11.779]  Hundreds of millions of dollars from Soros a year.
[01:19:11.779 --> 01:19:19.060]  Hundreds of millions from Nike and Microsoft and Apple to cover up the slave factories they've got in China.
[01:19:19.060 --> 01:19:24.021]  And that is the reality.
[01:19:24.021 --> 01:19:27.522]  See, real leaders, whether they be black or white or brown, get shut down.
[01:19:27.522 --> 01:19:30.402]  They get attacked.
[01:19:30.402 --> 01:19:32.803]  You can see they're trying to shut us down and put us in prison right now too.
[01:19:34.909 --> 01:19:36.150]  They're ever trying.
[01:19:36.150 --> 01:19:38.732]  But thanks to your prayers, your support, we're still on air.
[01:19:38.732 --> 01:19:44.555]  But let's, before I hit the big news, so much of it, I need to get into the huge COVID-19 news.
[01:19:44.555 --> 01:19:46.277]  It's all coming to a head.
[01:19:46.277 --> 01:19:54.982]  And the decision about which way we're going to go, we are now at that fork, at that crossroads, at that juncture, at that jump point.
[01:19:54.982 --> 01:19:56.063]  That's next segment.
[01:19:56.063 --> 01:20:00.126]  And Joe Rogan just interviewed Edward Snowden again for another mega bombshell.
[01:20:01.741 --> 01:20:08.827]  And of course Snowden talked about trailblazers exposing the system.
[01:20:08.827 --> 01:20:14.492]  And so we'll get to that coming up next segment.
[01:20:14.492 --> 01:20:18.655]  We'll talk about Julian Assange.
[01:20:18.655 --> 01:20:19.696]  Pardon that needs to happen.
[01:20:19.696 --> 01:20:24.820]  A lot of people have asked, why aren't you on Joe Rogan yet?
[01:20:24.820 --> 01:20:27.623]  Well Joe did tell me he wanted me to be one of his first guests when he got on Spotify.
[01:20:28.601 --> 01:20:42.965]  That became a huge international news issue and then they tried to de-platform Joe and did a whole SJW event against Joe and a whole disappearing of Joe.
[01:20:42.965 --> 01:20:46.685]  They engaged in that, what's the term they used?
[01:20:46.685 --> 01:20:47.466]  It's on the tip of my tongue.
[01:20:50.051 --> 01:20:52.072]  When they de-platform somebody.
[01:20:52.072 --> 01:20:54.252]  That's not the term they use now.
[01:20:54.252 --> 01:20:56.013]  It's not called de-platforming.
[01:20:56.013 --> 01:20:57.193]  It's called cancel culture.
[01:20:57.193 --> 01:20:58.033]  There you go.
[01:20:58.033 --> 01:21:00.594]  They attempted to cancel Joe when I made that announcement.
[01:21:00.594 --> 01:21:02.434]  He was in a good mood, telling me all this stuff at night.
[01:21:02.434 --> 01:21:03.895]  I come up here and do a show about it.
[01:21:03.895 --> 01:21:05.015]  It was a huge deal.
[01:21:05.015 --> 01:21:06.595]  Media spends what I said.
[01:21:06.595 --> 01:21:09.096]  That becomes a whole cattywampus situation.
[01:21:09.096 --> 01:21:11.797]  But we'll be making some announcements very, very soon.
[01:21:11.797 --> 01:21:12.797]  But yeah, Snowden.
[01:21:14.164 --> 01:21:36.684]  gave credit that we were the trailblazers fighting the Patriot Act and of course that was part of what influenced him as a listener of the show to do what he did and I mean I was told by folks that Snowden was a listener I was told that by folks that have talked to him I couldn't confirm that never talked to Snowden but Snowden basically just confirmed that on Joe Rogan so that's coming up next segment as well
[01:21:37.725 --> 01:21:40.286]  But I need to get to these clips I mentioned.
[01:21:40.286 --> 01:21:47.307]  Again, here's the body cam footage of the man chasing a cop with a knife after the mother calls him to the house saying he was threatening to kill her.
[01:21:47.307 --> 01:21:51.108]  The cop shoots him and now they're having BLM freak out in Lancaster, Pennsylvania.
[01:21:51.108 --> 01:21:57.690]  Here's that clip.
[01:21:57.690 --> 01:21:58.150]  Get back, get back.
[01:22:06.644 --> 01:22:15.387]  So a guy comes jumping at you like a video game character in a zombie movie with a butcher knife and you defend yourself and now BLM's freaking out.
[01:22:15.387 --> 01:22:17.507]  The national media is saying this is wrong.
[01:22:17.507 --> 01:22:20.768]  Here's a video of a man with American flag confronts.
[01:22:20.768 --> 01:22:22.569]  Black lives don't matter.
[01:22:22.569 --> 01:22:24.589]  That's really what the group is.
[01:22:24.589 --> 01:22:28.931]  In the same town in Lancaster where this happened.
[01:22:28.931 --> 01:22:29.191]  Here it is.
[01:22:30.689 --> 01:22:32.130]  It's a good place to go.
[01:22:32.130 --> 01:22:32.970]  It's a nice place.
[01:22:32.970 --> 01:22:35.711]  Where you're standing in front of is a nice place.
[01:22:35.711 --> 01:22:41.074]  Why don't you go to South Lancaster, where there's no street lights, and why the violence is happening there?
[01:22:42.540 --> 01:22:44.041]  There ain't no bombs, there's only bombs.
[01:22:44.041 --> 01:22:45.743]  He was stabbing people!
[01:22:45.743 --> 01:22:46.644]  This year?
[01:22:46.644 --> 01:22:50.327]  This year he didn't stab nobody, that happened in 2019.
[01:22:50.327 --> 01:22:52.148]  Know the facts, that was last year.
[01:22:52.148 --> 01:22:56.753]  Let me tell you something, I'm a person that's from this community.
[01:22:56.753 --> 01:22:59.195]  Why do you think I'm here in my dog?
[01:22:59.195 --> 01:23:00.436]  I live in this community.
[01:23:00.436 --> 01:23:02.257]  There's a lot of people from this community.
[01:23:10.004 --> 01:23:14.346]  I don't think that anybody's really saying that I'm justifying.
[01:23:14.346 --> 01:23:17.608]  So he stabbed four people.
