[00:00.000 --> 00:01.020]  In the conditioning!
[01:35:23.740 --> 01:35:28.540]  to it Johnson said in the beginning the British were simply curious about Donald Trump as
[01:35:28.540 --> 01:35:33.540]  he became a serious candidate for president the British did this in part I'm given to
[01:35:33.540 --> 01:35:38.860]  understand by people who were familiar with what was up is that they were concerned about
[01:35:38.860 --> 01:35:43.940]  Trump's policies on NATO and Syria and they they wanted to make sure that they could start
[01:35:43.940 --> 01:35:48.900]  understanding what he was up to one clear example of the UK surveillance was the monitoring
[01:35:48.900 --> 01:35:54.500]  of Trump campaign volunteer George Papadopoulos he said how did George Papadopoulos come to
[01:35:54.500 --> 01:36:00.700]  the attention of both law enforcement and intelligence forces and when you look at his story you
[01:36:00.700 --> 01:36:08.180]  begin to realize his first communications from UK to the United States they were emails so
[01:36:08.180 --> 01:36:14.060]  maybe and one or two phone calls I would probably call correctly well those were intercepted I
[01:36:14.060 --> 01:36:19.660]  absolutely they were intercepted by the United Kingdom he was general communications headquarters
[01:36:19.660 --> 01:36:24.380]  all right so that's Larry C. Johnson and I've seen him on national television he's been on
[01:36:24.380 --> 01:36:28.980]  the show before I mean he was laying all this out two plus years ago just like we were what's
[01:36:28.980 --> 01:36:34.460]  crazy is how public all this is how brazen all this is and and so I wanted to get into the
[01:36:34.460 --> 01:36:39.660]  five eyes the spine how illegal this was Trump says he's taken the gloves off we've seen these
[01:36:39.660 --> 01:36:45.420]  firings we've seen these high-level resignations and I've talked to three people last week to
[01:36:45.420 --> 01:36:50.100]  which met public met with the president he said no I'm we're gonna arrest them all we're getting
[01:36:50.100 --> 01:36:54.340]  them all and I think that's why they're panicking is because I think this president's for real
[01:36:54.340 --> 01:36:58.100]  and understands that he's actually trying to be the president maybe I'm wrong but Larry C.
[01:36:58.100 --> 01:37:04.820]  Johnson without going through your whole bio distinguish CIA counterterrorism expert run
[01:37:04.820 --> 01:37:10.780]  major operations your respected guy in a patriot what would you call this period we're in I would
[01:37:10.780 --> 01:37:16.020]  call it a governmental civil war I would call it a world crisis I what would you call this
[01:37:16.020 --> 01:37:20.860]  period we're in and now that the deep state or criminal elements of it have failed where
[01:37:20.860 --> 01:37:27.100]  we're going here well the intelligence community and the law enforcement community have been
[01:37:27.100 --> 01:37:35.140]  weaponized against a domestic opposition party it's that simple we've really never experienced
[01:37:35.140 --> 01:37:42.340]  in our history where these tools of government were turned on the opposing political party
[01:37:42.340 --> 01:37:51.660]  and in such an intense way and it was designed you know people will disparage Trump for calling
[01:37:51.660 --> 01:37:57.380]  it a coup but I don't know what else you can call it this is exactly a failed coup attempt
[01:37:57.380 --> 01:38:03.420]  and people like Jim Clapper and John Brennan and Jim Comey and Moretta Lynch and Susan
[01:38:03.420 --> 01:38:09.180]  Rice they were all involved all implicated and they're trying to pretend now that they
[01:38:09.180 --> 01:38:15.220]  were just you know looking for the bad deeds of Russians who just happened to stumble across
[01:38:15.220 --> 01:38:24.940]  all these Trump people which is just a lie you are the expert here and the real expert
[01:38:24.940 --> 01:38:28.060]  is years ago I saw you on actual TV we had you on a few years ago you were laying this
[01:38:28.060 --> 01:38:34.200]  out then now it's all been confirmed looking at the psychology of the different elements
[01:38:34.200 --> 01:38:38.740]  of the deep state obviously just criminal cliques or in bed groups Obama clearly left
[01:38:38.740 --> 01:38:45.020]  stay behind networks in my research behind they're still operating and I think they thought
[01:38:45.020 --> 01:38:48.740]  from decades of getting away where they wanted to that they were invincible I don't think
[01:38:48.740 --> 01:38:53.820]  they understand they've overreached so far now that even the establishment realizes they've
[01:38:53.820 --> 01:38:57.380]  got to be punished and gotten rid of because they're not giving up they are engaged in
[01:38:57.380 --> 01:39:01.500]  anti free speech terrorizing the public if I got into stuff they've done to me I'm not
[01:39:01.500 --> 01:39:06.500]  trying to in a victimology it's actually entertaining but it's like a spy movie and so I'm wondering
[01:39:06.500 --> 01:39:12.180]  what do you think a quantify this for folks and then what do you think is coming next
[01:39:12.180 --> 01:39:16.580]  what are they going to do in their death rows because I think Trump's going to move against
[01:39:16.580 --> 01:39:24.180]  them I think bar is forced to move against them maybe I'm wrong well I hope bar moves
[01:39:24.180 --> 01:39:29.980]  against them I think he will a lot of this I do lay at the feet of Donald Trump himself
[01:39:29.980 --> 01:39:34.260]  because when he came into office he left all these people in place he had the full authority
[01:39:34.260 --> 01:39:40.300]  and power to remove a lot of what are known as senior executive service senior intelligence
[01:39:40.300 --> 01:39:45.980]  service they really serve at the direction and discretion of the president his failure
[01:39:45.980 --> 01:39:52.260]  to get rid of them is it's on him I can't blame the deep state for that no I agree the
[01:39:52.260 --> 01:39:56.540]  other the other point though I think you correctly know is this didn't just start with Donald
[01:39:56.540 --> 01:40:02.580]  Trump it started you yourself have experienced this persecution we saw that James Rosen
[01:40:02.580 --> 01:40:08.860]  of Fox News was being spied upon other journalists were being spied upon so this is something
[01:40:08.860 --> 01:40:14.140]  that the Obama administration started doing early on and then it just they got so used
[01:40:14.140 --> 01:40:19.900]  to doing it and getting away with it it just escalated and expanded dramatically and then
[01:40:19.900 --> 01:40:24.100]  when you know what through phases with Trump because in the initial phase of the Trump
[01:40:24.100 --> 01:40:29.580]  campaign nobody thought he was going to win but they were collecting information that
[01:40:29.580 --> 01:40:38.300]  you would do for let's call it opposition research on steroids because they were enlisting
[01:40:38.300 --> 01:40:44.100]  British firms are enlisting British intelligence to help start identifying people that the Trump
[01:40:44.100 --> 01:40:49.700]  campaign folks are talking to and then when it looked like Trump was going to get the
[01:40:49.700 --> 01:40:56.300]  nomination it entered another phase even more intense and this starts about March of 2016
[01:40:56.300 --> 01:41:04.980]  and you can see that's when Perkins Coy hires fusion GPS and Christopher Steele is brought
[01:41:04.980 --> 01:41:10.380]  on with the do the dossier that's the time period they start going intensively after
[01:41:10.380 --> 01:41:14.980]  a Papadopoulos that's the time frame when they start going after Carter Page.
[01:41:14.980 --> 01:41:21.180]  So this this had sort of a natural progression and then phase three comes when Trump stuns
[01:41:21.180 --> 01:41:26.900]  them because I know for a fact from a friend who was present in some conversations between
[01:41:26.900 --> 01:41:32.380]  Clapper and Brennan that they genuinely did not believe that Trump would win and they
[01:41:32.380 --> 01:41:37.540]  were even counseled by the FBI is it don't be so certain of that I know people that were
[01:41:37.540 --> 01:41:42.980]  in the room of security with Hillary that literally she was totally drunk got even drunker
[01:41:42.980 --> 01:41:47.780]  through a fit attack people and collapsed that night.
[01:41:47.780 --> 01:41:53.220]  Yeah so this was it was stunning for all of these folks and it was at that point that
[01:41:53.220 --> 01:41:59.860]  they've entered the phase three of trying to find an extra judicial way to get rid of
[01:41:59.860 --> 01:42:05.860]  Donald Trump even entertaining thoughts of making approaches to federal judges to have
[01:42:05.860 --> 01:42:12.100]  his election ruled as illegal and then opting for that was Nancy Pelosi's daughter and
[01:42:12.100 --> 01:42:16.220]  then when I talked about that she went on Fox and said I death threaded her stay right
[01:42:16.220 --> 01:42:18.540]  there I want to come back sir and get into all this and what you think they're going
[01:42:18.540 --> 01:42:23.420]  to do now are they going to give up or they're going to keep striking back because obviously
[01:42:23.420 --> 01:42:27.620]  I've been asked by the FBI and others not to get into all the things that happen behind
[01:42:27.620 --> 01:42:32.900]  the scenes but I reported this the FBI and I mean repeatedly the stuff I caught them
[01:42:32.900 --> 01:42:37.940]  and it's what you're saying they're they're wild eyed they don't they're not accustomed
[01:42:37.940 --> 01:42:42.140]  to having anybody stand up against them so they've committed so many wild crimes how
[01:42:42.140 --> 01:42:46.260]  does Trump not prosecute him but as you said why does Trump leave them in the government
[01:42:46.260 --> 01:42:49.740]  we'll be right back with our guest Larry C. Johnson will tell you about a website we
[01:42:49.740 --> 01:42:59.100]  can read more of his writings as well when we come back stay with us I want to salute
[01:42:59.100 --> 01:43:04.060]  and commend every man woman and child that has supported this broadcast over the years
[01:43:04.060 --> 01:43:08.700]  and that has stood with us and I want to thank all of our sponsors all of our affiliates
[01:43:08.700 --> 01:43:13.100]  but I'll tell you like it is you've seen the unmitigated attack we've been under you're
[01:43:13.100 --> 01:43:17.780]  our only sponsors and when you don't buy the products they're absolutely the best out
[01:43:17.780 --> 01:43:24.500]  there we aren't able to continue on so remember you are the info war I'm not the leader you
[01:43:24.500 --> 01:43:29.100]  are the leader when you take action nothing stops you we've got giant specials running
[01:43:29.100 --> 01:43:34.340]  right now infowarstore.com that are unprecedented and if you go there and buy great products
[01:43:34.340 --> 01:43:40.300]  that you already need from across the board it funds the second American Revolution worldwide
[01:43:40.300 --> 01:43:46.100]  so I want to thank you for your support I want to encourage you again go to infowarstore.com
[01:43:46.100 --> 01:43:51.180]  for whatever the product is you need we have thousands of them and it makes this all possible
[01:43:51.180 --> 01:43:59.140]  thank you for making it for us possible God bless you infowarstore.com is how you support
[01:43:59.140 --> 01:44:03.460]  us and it's not like we're selling stuff you don't need you don't want the air and
[01:44:03.460 --> 01:44:11.020]  the average American home is filled with toxins that put it on par with a major city there's
