[00:00.000 --> 00:11.000]  There is a lot of controversy around this network about Alex Jones, for example.
[1:31:29.000 --> 1:31:47.000]  Using a proprietary process, we've managed to make this powerhouse formula into a delicious, concentrated drink mix that's loaded with high quality ingredients. Perfect for a hot summer day or relaxing at home, vitamin mineral fusion is loaded with 34 different essential vitamins, minerals, amino acids and more.
[1:31:47.000 --> 1:31:59.000]  Start supporting your body's needs in a great tasting, natural and affordable drink mix with vitamin mineral fusion today, available at InfowarsStore.com.
[1:32:17.000 --> 1:32:24.000]  Compounds from nature that are absolutely associated with detoxifying the body and it supports the Infowar. It is a classical 360 win.
[1:32:24.000 --> 1:32:34.000]  This is the formula that I personally have been taking for over a year and now we believe we have come as close to perfection when it comes to a detoxifier as you can possibly get.
[1:32:34.000 --> 1:32:51.000]  You owe it to yourself, you owe it to your family and you owe it to the future of this country and the world that patriots stay as healthy and as clean and as focused as you can be because we need you, the remnant of America, to reignite those rush fires the next level and to be healthy and as focused as you can be.
[1:32:51.000 --> 1:33:01.000]  Thanks to your support and your prayers together, we're changing the world. Now it's time to change our bodies with Z-Field at InfowarsLife.com.
[1:33:01.000 --> 1:33:06.000]  You're listening to the Alex Jones show.
[1:33:20.000 --> 1:33:26.000]  Resistance to tyrants is obedience to God. It's Alex Jones.
[1:33:26.000 --> 1:33:34.000]  Well, there's so much insane breaking news that my head's spinning, but we're going to hit it all here in just a few minutes and I'm going to open the phones up in the next hour and take your calls.
[1:33:34.000 --> 1:33:40.000]  Israel's done yahoo to make a dramatic announcement. They think he may be resigning.
[1:33:40.000 --> 1:33:47.000]  Outrage after French authors says successful men are attracted to younger women. That's up on Infowars.com.
[1:33:47.000 --> 1:33:57.000]  The left silence on a legal immigrant who killed officer is deafening. Your play will Johnson's report coming up. That's up on Infowars.com. You need to get that out. Remember, nobody else will if you don't do it.
[1:33:57.000 --> 1:34:04.000]  Globalist World Bank head resigns Trump to nominate new president. That scares the hell out of the globalist.
[1:34:04.000 --> 1:34:11.000]  We've got so much we're going to be getting to Ruth Bader Ginsburg. It's pretty much on her deathbed. All evidence points towards that.
[1:34:11.000 --> 1:34:18.000]  She's the first time ever to show up for a vote after cancer surgery two weeks ago. And of course, the big news I haven't hit yet.
[1:34:18.000 --> 1:34:27.000]  I'll hit the start of the next hour before your calls. Hacker Group releases 9-11 papers says future leaks will burn down U.S. deep state.
[1:34:27.000 --> 1:34:32.000]  And they're having a government shutdown over in the U.K. over not getting out of Brexit.
[1:34:32.000 --> 1:34:37.000]  And the Yellow Vests have had other giant demonstrations all over Europe against the NWO.
[1:34:37.000 --> 1:34:46.000]  So we're on the march. The Empire is on the run. I'm going to get more of that. And Trump to travel to southern border Thursday a shutdown standoff intensifies.
[1:34:46.000 --> 1:34:50.000]  We'll be covering that right here live from Texas.
[1:34:50.000 --> 1:34:56.000]  But let's get back to what I was just playing. And I got so upset and so angry watching it.
[1:34:56.000 --> 1:35:08.000]  The first time and the second time I got even angrier because Sink Booger of the Young Turks knows exactly what he's doing.
[1:35:08.000 --> 1:35:16.000]  And he's up there when the left has their vigilante brown shirt mobs of the Young Turks.
[1:35:16.000 --> 1:35:23.000]  Literally is the model for even Hitler's genocide was the Young Turks that Hitler even said that.
[1:35:23.000 --> 1:35:30.000]  And then you've got him named after a genocidal group that he's exactly talking about claiming whites are running genocide against blacks which isn't happening.
[1:35:30.000 --> 1:35:34.000]  They're talking about abortion in general. And that's from the globalist.
[1:35:34.000 --> 1:35:39.000]  And then he's up there saying it's a white guy. We know we know he's a white guy.
[1:35:39.000 --> 1:35:49.000]  And then it turns out that the guest he had on knew that there was a credible report from eyewitnesses of black men in a truck.
[1:35:49.000 --> 1:35:57.000]  And to Sean King's credit he at least passed it on to the sheriff but didn't go out and say I've talked to witnesses and they say it was black guys.
[1:35:57.000 --> 1:36:02.000]  He said it was too improbable because we all know blacks have never hurt any other black people.
[1:36:02.000 --> 1:36:07.000]  It just never happened to conspiracy theory like there is no caravan. There was no caravan.
[1:36:07.000 --> 1:36:11.000]  It never reached San Diego. It never reached Tijuana.
[1:36:11.000 --> 1:36:15.000]  Trump's lying. I'm lying. Associated Press reports.
[1:36:15.000 --> 1:36:21.000]  They fact check at the AP magic wand. The sky is not blue. There is no caravan.
[1:36:21.000 --> 1:36:24.000]  White man killed the girl.
[1:36:24.000 --> 1:36:31.000]  So here is the dramatic disgusting conclusion of the toxic young turd. Here it is.
[1:36:31.000 --> 1:36:38.000]  People and then random unbalanced people in a country pop up and do the violence on their behalf.
[1:36:38.000 --> 1:36:42.000]  And that's called stochastic terrorism. And that's what this one looks like.
[1:36:42.000 --> 1:36:45.000]  But they're going to investigate. I hope to God they find the guy.
[1:36:45.000 --> 1:36:55.000]  Sean King does wonderful work in this area and has offered a $35,000 reward for whoever can name the individual and then the police would apprehend him obviously.
[1:36:55.000 --> 1:36:57.000]  It's actually up to 50,000 now.
[1:36:57.000 --> 1:36:58.000]  I think it's up to 50,000.
[1:36:58.000 --> 1:37:04.000]  You know, one of their mom was shot. One of her sisters was injured by glass but also like...
[1:37:04.000 --> 1:37:08.000]  Joe, this is too powerful. I just thought of something else. Back it up please. Oh my God.
[1:37:08.000 --> 1:37:15.000]  I was busy this morning when I watched it. So I didn't watch it with full consciousness.
[1:37:15.000 --> 1:37:22.000]  Sink Uggur and his guests are saying hashtag Jasmine Barnes with a $30,000 reward.
[1:37:22.000 --> 1:37:24.000]  By the time they were done, it was 100,000.
[1:37:24.000 --> 1:37:29.000]  We had all these big people giving hundreds of thousands of dollars like Shaquille O'Neal, all this stuff, which is great.
[1:37:29.000 --> 1:37:32.000]  It's for the little girl's family.
[1:37:32.000 --> 1:37:44.000]  But he has on Sean King who knew a couple of days into this that there were witnesses that said it was black guys.
[1:37:44.000 --> 1:37:52.000]  Why didn't he just... I get the reward money and give it to Jasmine's family?
[1:37:52.000 --> 1:37:54.000]  Isn't that interesting?
[1:37:54.000 --> 1:38:01.000]  Got these big rewards up there and he has Sean King on, AKA Clark Gable.
[1:38:01.000 --> 1:38:05.000]  Why this black dude I ever saw? Here it is.
[1:38:05.000 --> 1:38:12.000]  You know, their mom was shot. One of her sisters was injured by glass but also like...
[1:38:12.000 --> 1:38:16.000]  These are babies. Like we're talking about I think a teenager in the front seats.
[1:38:16.000 --> 1:38:21.000]  One of the kids was six in the back and I don't recall how old the other little girl was.
[1:38:21.000 --> 1:38:27.000]  But these children saw their sister's dead body. They saw their sister.
[1:38:27.000 --> 1:38:33.000]  That part hasn't even... We're talking about the physical damage before the rest of their life.
[1:38:33.000 --> 1:38:38.000]  Only a white monster could do this. Africans don't kill each other. Blacks don't kill each other.
[1:38:38.000 --> 1:38:49.000]  Only a white monster. It's horrible. What are we going to do about the white people?
[1:38:49.000 --> 1:38:53.000]  This is the same woman that just calls me all these names and calls me to be taken off the air.
[1:38:53.000 --> 1:38:57.000]  This is a monstrous group of authoritarian dirt bags.
[1:38:57.000 --> 1:39:00.000]  Do you imagine you have shanked the turd and this lady ran the country?
[1:39:00.000 --> 1:39:05.000]  Man, we'd be worse than Venezuela. Let's go back to these folks.
[1:39:05.000 --> 1:39:12.000]  Before the rest of their life, they have the image of a bullet hole in their sister's head.
[1:39:12.000 --> 1:39:18.000]  It's horrible. And we shouldn't. I'm glad we are like talking about like, you know,
[1:39:18.000 --> 1:39:20.000]  even like keeping it in the forefront of our minds like that.
[1:39:20.000 --> 1:39:24.000]  This could be racially motivated that, you know, no one knows why this happened.
[1:39:24.000 --> 1:39:29.000]  Not even that there's any possible logical reason, but, you know, people still are curious of a motive.
[1:39:29.000 --> 1:39:33.000]  But also, the gun laws in Texas are garbage.
[1:39:33.000 --> 1:39:38.000]  And I actually, they're parked, you know, I've lived in Texas for a while and they're like part of the city.
[1:39:38.000 --> 1:39:43.000]  I bet you money that those guys had those guns illegally and it's stolen them or something.
[1:39:43.000 --> 1:39:47.000]  But it doesn't matter. We have guns to protect ourselves.
[1:39:47.000 --> 1:39:51.000]  The highest crime rate in the country, Chicago, sweetheart, where they've taken all the guns.
[1:39:51.000 --> 1:39:53.000]  And there's more guns you can shake a stick at.
[1:39:53.000 --> 1:39:57.000]  So, but she's not even as bad as Lord of the Turds, though.
[1:39:57.000 --> 1:40:02.000]  Sinky, because he just said, this is terrorism. This is a white terrorist period.
[1:40:02.000 --> 1:40:06.000]  He was probably, you know, make America great again. God, here it is.
[1:40:06.000 --> 1:40:09.000]  Culturally that I just love. They're just unbeatable.
[1:40:09.000 --> 1:40:12.000]  But the gun laws in Texas are garbage.
[1:40:12.000 --> 1:40:16.000]  And the gun culture in Texas is absolute trash.
[1:40:16.000 --> 1:40:18.000]  Like people pushing for more guns on campus.
[1:40:18.000 --> 1:40:22.000]  People wanting, you know, open carry laws everywhere.
[1:40:22.000 --> 1:40:28.000]  It's not okay. And this is, you know, this is what comes from that.
[1:40:28.000 --> 1:40:32.000]  Oh, really? Not gangbangers out there shooting up a vehicle.
[1:40:32.000 --> 1:40:35.000]  You were all net up at 6.30 in the morning.
[1:40:35.000 --> 1:40:38.000]  But let's think about what she's really saying.
[1:40:38.000 --> 1:40:44.000]  If you study the carpet bagger publication, Texas Monthly and others, the left wants Texas blue.
[1:40:44.000 --> 1:40:47.000]  So they don't call us idiots and hayseeds and racist morons out of hand.
