[00:00.000 --> 00:02.000]  the media.
[1:30:43.240 --> 1:31:06.080]  NowTrack.com or call us at 877-NOWTRACK that's 877-669-8725. It is a big idea, a new world
[1:31:06.080 --> 1:31:15.440]  order, for thousands of years their dark order grew. Now as they hail the birth of the new
[1:31:15.440 --> 1:31:20.480]  world order, their great dream of exterminating 80% of humanity is at hand. For the first
[1:31:20.480 --> 1:31:25.880]  time in history, the elite's plan for world government is blown wide open. You will learn
[1:31:25.880 --> 1:31:36.840]  the secret of the new world drive as the information you need to learn about it. Canada, Mexico and
[1:31:36.840 --> 1:31:41.480]  Puerto Rico priced at $359. Your NowTrack device is shipped active with unlimited tracking
[1:31:41.480 --> 1:31:46.160]  for the first year. We offer free same day shipping and a 30 day of the new world order.
[1:31:46.160 --> 1:31:55.360]  Their great dream of exterminating 80% of humanity is at hand. For the first time in history,
[1:31:55.360 --> 1:32:00.040]  the elite's plan for world government is blown wide open. You will learn the secret
[1:32:00.040 --> 1:32:04.400]  of drive. You need to learn about a simple technology you can have right now. Gas freedom
[1:32:04.400 --> 1:32:09.480]  is a do-it-yourself, affordable, practical, free energy device. It uses electricity from
[1:32:09.480 --> 1:32:15.080]  your car's battery to separate water into a gas called HHO. HHO also called Brown's
[1:32:15.080 --> 1:32:19.200]  gas burns efficiently and provides the energy your car needs. In just 10 minutes you'll
[1:32:19.200 --> 1:32:23.960]  discover exactly how this is possible. This is the secret the oil and auto industry doesn't
[1:32:23.960 --> 1:32:28.600]  want you to know. Go to gasfreedom.info to learn how easy it is to extract energy from
[1:32:28.600 --> 1:32:34.240]  water to run your car. During the month of June, visit gasfreedom.info and receive $100
[1:32:34.240 --> 1:32:39.880]  off of your order. Turn any car into a hybrid and laugh all the way to the bank. Visit gasfreedom.info.
[1:32:39.880 --> 1:32:58.840]  Visit gasfreedom.info or call 239-628-3708. That's 239-628-3708. Call today.
[1:32:58.840 --> 1:33:28.600]  Alright folks, we're back jamming on the
[1:33:28.600 --> 1:33:34.400]  Alex Jones show. I am Jason Bermas and if you want to get at me personally I'm at myspace.com
[1:33:34.400 --> 1:33:39.320]  slash Jason Bermas. Love a few more friends. I got a few thousand these days. I know Alex
[1:33:39.320 --> 1:33:44.720]  has something like 50,000 and I use it for networking. I actually do email people back.
[1:33:44.720 --> 1:33:49.960]  I read all the messages. If you want to get at me that is probably the easiest way to
[1:33:49.960 --> 1:33:54.880]  do so. We're talking to Adam Cuttington of Kentucky We Are Changed. They recently confronted
[1:33:54.880 --> 1:33:59.480]  Oliver North, lost their videotapes, got them back, threw it up on the internet. I'd be
[1:33:59.480 --> 1:34:04.360]  playing clips from that but of course we're having computer issues over at the command
[1:34:04.360 --> 1:34:10.160]  center in Austin, Texas. But one of the really other interesting things I thought Oliver
[1:34:10.160 --> 1:34:14.680]  North said was that he admitted that newspapers are going down the drain and young people
[1:34:14.680 --> 1:34:21.400]  just don't believe them anymore and they're going to alternative news sources and he didn't
[1:34:21.400 --> 1:34:27.960]  want to name those to give them recognition but I'm sure infowars.com, prismplanet.com,
[1:34:27.960 --> 1:34:32.560]  were some of the sites that he was referring to. What's your take on that Adam?
[1:34:32.560 --> 1:34:37.680]  I mean yeah, he pretty much hit the nail on the head there. Young people aren't trusting
[1:34:37.680 --> 1:34:46.880]  the very few media outlets they're trying to control the minds of the public out there.
[1:34:46.880 --> 1:34:51.360]  Yeah, people aren't buying into the corporate media especially the younger people, the people
[1:34:51.360 --> 1:34:55.480]  that are burning copies will lose change and handing them out to their friends and family.
[1:34:55.480 --> 1:35:00.040]  They're not going to CNN.com either. They might be going there linked from another place
[1:35:00.040 --> 1:35:04.360]  but they don't trust the corporate media anymore because they've been caught lying again and
[1:35:04.360 --> 1:35:09.640]  again and again. Yeah, it seems like they're scared. That's why he was talking about that.
[1:35:09.640 --> 1:35:16.280]  He's a reporter for Fox News. Yeah, absolutely. He has that special. It's an hour long show.
[1:35:16.280 --> 1:35:22.600]  I think it's about war heroes. He pumps his book all the time. This is a real insider.
[1:35:22.600 --> 1:35:28.720]  This is one of those guys that I feel he's in the room when the think tank is going through
[1:35:28.720 --> 1:35:33.600]  the separate plans. In other words, he's listening to the ideas and the plans and he's signing
[1:35:33.600 --> 1:35:39.280]  off on what he thinks and then he goes and he meets with his overlords back in the day
[1:35:39.280 --> 1:35:45.440]  that would have been people like George H.W. Bush, Ronald Reagan, members of their cabinet
[1:35:45.440 --> 1:35:51.240]  and now his role is really that of a propagandist. Again, he's a pretty well-spoken guy. He can
[1:35:51.240 --> 1:35:56.840]  misdirect very well if people don't understand the subject matter. I mean, it's very easy
[1:35:56.840 --> 1:36:00.840]  for people to say, oh, it's on the internet. It's not true. Well, what's on the internet
[1:36:00.840 --> 1:36:06.280]  are stories based on mainstream media stories with links to the mainstream media sources.
[1:36:06.280 --> 1:36:11.200]  That's what he's not telling you. Instead, he just says, oh, you're reading the internet.
[1:36:11.200 --> 1:36:16.960]  Well, the internet is just as much a viable source of information, if not more, than television
[1:36:16.960 --> 1:36:22.560]  and newspapers and magazines like Time at this point because it is the only true source
[1:36:22.560 --> 1:36:27.960]  of open information left. You still with us, Adam?
[1:36:27.960 --> 1:36:34.680]  Yeah, yeah, I'm with you. Yeah, I agree. So how can people support you guys? I mean,
[1:36:34.680 --> 1:36:38.200]  you guys in particular, I mean, how many members do you have down in Kentucky? Do you need
[1:36:38.200 --> 1:36:41.600]  more members? I mean, obviously, we could always need more people. We always need more
[1:36:41.600 --> 1:36:44.440]  info orders. That's right. We always need more info orders.
[1:36:44.440 --> 1:36:49.480]  So how do they get into this? Well, what do you guys have a Kentucky We Are Change site?
[1:36:49.480 --> 1:36:55.560]  We have a kentuckyannachange.org is our website. We also have a MySpace, which is MySpace.com,
[1:36:55.560 --> 1:37:05.080]  such as Kentucky Annachange. You can contact us through either one of those outlets.
[1:37:05.080 --> 1:37:09.400]  So what's on the horizon? What do you guys think? Obviously, you're active. You're taking
[1:37:09.400 --> 1:37:13.280]  upon yourselves to become the citizen media. This is the new form. I mean, you're getting
[1:37:13.280 --> 1:37:19.680]  thousands of hits on your YouTube videos. Who's the next victim? Who's in the crosshairs?
[1:37:19.680 --> 1:37:27.520]  Well, I really don't want to put out there what our next ambitions are, as of right now.
[1:37:27.520 --> 1:37:32.280]  But I can say that we have, there's a little bit of interest throughout the group to cover
[1:37:32.280 --> 1:37:39.000]  the 2,300 Marines that will be landing in Indianapolis within the next week or two.
[1:37:39.000 --> 1:37:42.000]  I can't remember the date. I'm sorry. And what are they coming in for? Are they coming
[1:37:42.000 --> 1:37:46.360]  in for some kind of a massive exercise? Urban warfare drills. Oh, isn't that nice?
[1:37:46.360 --> 1:37:49.800]  They've been doing these since 99, but I'm sure they're going to say, well, now we're
[1:37:49.800 --> 1:37:53.800]  in a post-911 world. We actually have to be ready for this.
[1:37:53.800 --> 1:38:05.840]  Yeah. So we have a couple of people that may be going to cover that. And also, you can
[1:38:05.840 --> 1:38:10.120]  find information about that in the Indy Star website if anybody out there would like to
[1:38:10.120 --> 1:38:16.760]  find information about that and just go up themselves. Also, we have, I'm helping kick
[1:38:16.760 --> 1:38:23.160]  off a central Indiana We Are Change out of Indianapolis, which you can find out information
[1:38:23.160 --> 1:38:27.040]  about on the Kentucky and a Change meetup page as well.
[1:38:27.040 --> 1:38:31.160]  Excellent. Excellent. Well, man, I just got to tell you, keep up the great work. If they
[1:38:31.160 --> 1:38:35.720]  take your cameras, make a big stink about it, say, look, we have free speech in this country
[1:38:35.720 --> 1:38:40.360]  still. We still have a First Amendment. We're the new media. We're putting this out there
[1:38:40.360 --> 1:38:45.000]  for the masses. You don't have the right to take our stuff. You know, I mean, it's a big
[1:38:45.000 --> 1:38:49.000]  win that you did get those tapes back. It's a big loss for the country that the police
[1:38:49.000 --> 1:38:52.720]  felt like they had the right to take that from you. But what do you expect in this
[1:38:52.720 --> 1:38:57.960]  Jackboot society? So, you know, I wish you the best of luck with this urban warfare drill.
[1:38:57.960 --> 1:39:01.320]  God knows what they're going to do in it, but I hope you get great footage, man.
[1:39:01.320 --> 1:39:05.600]  Thank you. You're doing great work out there, Jason. You keep it up.
[1:39:05.600 --> 1:39:09.680]  All right. Thanks. That's Adam from We Are Change, Kentucky. I'm not sure, but we might
[1:39:09.680 --> 1:39:14.960]  have Jonathan Elanoff on the line right now. All right. He's calling him right now. So,
[1:39:14.960 --> 1:39:21.160]  Jonathan Elanoff is of We Are Change, Colorado. And I personally know Jonathan. He brought
[1:39:21.160 --> 1:39:26.440]  Cory and Dylan and myself out there for a week out in February. We screened the movie
[1:39:26.440 --> 1:39:32.520]  to almost 2,000 people at three different screenings, two separate venues. Denver was
[1:39:32.520 --> 1:39:37.840]  just an awesome place. And that's where they're holding the DNC this year. That's where they
[1:39:37.840 --> 1:39:43.000]  have a provocateur group called Recreate68 where they're encouraging you to come down
[1:39:43.000 --> 1:39:48.080]  so you can throw red paint on people so you can wear a mask and you can destroy other
[1:39:48.080 --> 1:39:53.040]  people's cameras. Yeah, that sounds like a real group. That sounds like an anti-protest
[1:39:53.040 --> 1:39:57.360]  group that has some legitimacy. Let's attack others. Let's throw paint on others. Let's
[1:39:57.360 --> 1:40:01.000]  destroy the evidence of what actually happened. You know what that sounds like to me? That
[1:40:01.000 --> 1:40:05.680]  sounds like provocateurs. That sounds like the WTO in Seattle. That sounds like nonsense.
[1:40:05.680 --> 1:40:09.120]  And on the line is somebody who's going to be there for sure. I'm going to try to make
[1:40:09.120 --> 1:40:13.680]  it out there. I've got a wedding right after that, but it is very important that we go
[1:40:13.680 --> 1:40:19.760]  down to the DNC. We go down there peacefully and we actually film those who would not be
[1:40:19.760 --> 1:40:24.600]  peaceful. We film those that are on the payroll of the establishment. I mean, they got caught
[1:40:24.600 --> 1:40:29.400]  in Canada. They had one of these guys. You know, he had the jack boot on. He had the
[1:40:29.400 --> 1:40:33.800]  mask over his face. He was talking about throwing rocks at the police officers and the police
[1:40:33.800 --> 1:40:38.360]  come over to arrest him. Everybody already knows he's a cop. But when they bend him down,
[1:40:38.360 --> 1:40:42.800]  you see the bottom of his shoe. You see his whole shoe. And lo and behold, it's the same
[1:40:42.800 --> 1:40:46.680]  shoes that the police officers are wearing, Jonathan. Weird, huh?
