[00:00:03.107 --> 00:00:04.067]  Altercation in St.
[01:12:02.106 --> 01:12:04.847]  We're going to lose to this, or they're going to be hung.
[01:12:04.847 --> 01:12:06.609]  By a judge, jury, the whole thing.
[01:12:06.609 --> 01:12:10.531]  I mean, this is Nuremberg stuff, ladies and gentlemen.
[01:12:10.531 --> 01:12:16.454]  You are in the middle of a biological warfare attack.
[01:12:16.454 --> 01:12:17.735]  All right, there's someone talking last night.
[01:12:17.735 --> 01:12:18.936]  I'm going to hit the economic news next segment.
[01:12:19.602 --> 01:12:24.726]  It does not mean that they are dangerous, and we are not claiming that coronavirus vaccines are dangerous.
[01:12:24.726 --> 01:12:34.555]  But we are telling the truth, which is there are unresolved concerns about their long-term effects on some people, including their effects on female fertility.
[01:12:34.555 --> 01:12:36.617]  That is not a conspiracy theory.
[01:12:36.617 --> 01:12:37.838]  That is true.
[01:12:37.838 --> 01:12:43.242]  It's an honest question, what's the long-term effect, that no one so far has been able to answer.
[01:12:43.242 --> 01:12:47.346]  And it's not simply being asked by partisans, it's being asked by practicing physicians.
[01:12:47.955 --> 01:12:53.099]  Catherine Lee, for example, is a research fellow in the Division of Public Health Sciences at Washington University in St.
[01:12:53.099 --> 01:12:53.980]  Louis.
[01:12:53.980 --> 01:12:58.703]  Lee doesn't seem like a partisan Republican, or a QAnon adherent, or a crank.
[01:12:58.703 --> 01:13:00.765]  She gladly took the coronavirus vaccine.
[01:13:00.765 --> 01:13:04.348]  She seemed to support the coronavirus vaccine strongly.
[01:13:04.348 --> 01:13:08.311]  But then, in herself, she noticed unexpected effects on her menstrual cycle.
[01:13:08.311 --> 01:13:11.653]  Quote, it wasn't a symptom that was on the list, Lee said.
[01:13:11.653 --> 01:13:16.657]  I expected that my arm would be sore or that I might have a fever or headache, but this just wasn't on the list.
[01:13:17.876 --> 01:13:25.681]  Kate Clancy, another scientist who studies female fertility at the University of Illinois, reported that she had the same symptoms after she got the vaccine.
[01:13:25.681 --> 01:13:27.642]  She wrote about it in some detail on Twitter.
[01:13:27.642 --> 01:13:28.983]  You can look it up.
[01:13:28.983 --> 01:13:36.247]  After she did write about it, dozens of other women wrote in about similar experiences they had had after getting the vaccine.
[01:13:36.247 --> 01:13:39.930]  None of these symptoms had been described in the medical literature.
[01:13:39.930 --> 01:13:40.830]  The reason?
[01:13:40.830 --> 01:13:46.854]  The clinical trials for the vaccines never tested for the effects on the female menstrual cycle, or for fertility, or on pregnant women.
[01:13:47.688 --> 01:13:49.829]  So maybe the symptoms amount to nothing.
[01:13:49.829 --> 01:13:50.990]  That's often the case.
[01:13:50.990 --> 01:13:52.530]  Maybe they amount to something.
[01:13:52.530 --> 01:13:54.291]  We don't know.
[01:13:54.291 --> 01:14:00.334]  The fact is, we can't say what the long-term effects of this vaccine will be on women, including pregnant women.
[01:14:00.334 --> 01:14:01.814]  Honest people admit this.
[01:14:01.814 --> 01:14:02.895]  Every scientist knows it.
[01:14:03.647 --> 01:14:18.958]  According to a recent study published in the New England Journal of Medicine, quote, more longitudinal follow-up, including follow-up of large numbers of women vaccinated earlier in pregnancy, is necessary to inform maternal, pregnancy, and infant outcomes.
[01:14:18.958 --> 01:14:24.222]  In other words, at this point, and there's no changing this because it's true, we just don't know.
[01:14:24.222 --> 01:14:28.385]  Again, that does not mean the coronavirus vaccine is dangerous.
[01:14:28.385 --> 01:14:30.667]  There is no proof that it's dangerous.
[01:14:30.667 --> 01:14:31.828]  But there doesn't need to be.
[01:14:33.214 --> 01:14:36.818]  Well, we've got more of that coming up, and he's using basic reverse psychology on them.
[01:14:36.818 --> 01:14:40.883]  He's like, well, if the vaccine works, why do I got to wear a mask?
[01:14:40.883 --> 01:14:44.808]  Or, oh, a lot of these women that are scientists have these bad menstrual cycles.
[01:14:44.808 --> 01:14:46.410]  Why are 80-year-old women suddenly having them again?
[01:14:46.410 --> 01:14:49.814]  Because it attacks your uterus, and that's what Wolfgang Wudarg
[01:14:50.595 --> 01:15:04.503]  And that's what Dr. Yidan all said in December it would probably do, because it's the same protein that's in the virus spike that is in a woman's uterine lining.
[01:15:04.503 --> 01:15:10.807]  Isn't it funny that everything Bill Gates does, he's been calling the world, leads to infertility, when he says he wants to kill everybody?
[01:15:11.741 --> 01:15:14.282]  Isn't that just interesting?
[01:15:14.282 --> 01:15:18.883]  Yeah, there's the actual scientific report, emergency filing, medical studies of the EU.
[01:15:18.883 --> 01:15:21.204]  But oh, John Oliver just said we just made it up.
[01:15:21.204 --> 01:15:25.585]  He just said, you know, Jones just read some blog post and he just lied.
[01:15:25.585 --> 01:15:26.926]  He's a horrible person.
[01:15:26.926 --> 01:15:28.166]  He really enjoys this.
[01:15:28.166 --> 01:15:34.508]  Yeah, I enjoyed having death threats and being sued, having the globals come after us and taking our bank accounts away and watching everybody get killed in front of me.
[01:15:34.508 --> 01:15:35.869]  It's really fun, John Oliver.
[01:15:35.869 --> 01:15:37.209]  No, it's not fun for me.
[01:15:37.209 --> 01:15:37.989]  You're projecting.
[01:15:37.989 --> 01:15:39.990]  You enjoy being a little elitist.
[01:15:43.852 --> 01:15:56.724]  You know, it's crazy to get to this point.
[01:15:56.724 --> 01:15:58.465]  It's very bittersweet.
[01:15:58.465 --> 01:16:01.468]  Everything we've talked about has happened just like we said it would.
[01:16:01.468 --> 01:16:02.709]  And now we have a lot of credibility.
[01:16:02.709 --> 01:16:03.630]  But I don't care about that.
[01:16:03.630 --> 01:16:04.891]  I care about beating the New World Order.
[01:16:05.678 --> 01:16:10.363]  And it's because we have so much credibility, they can't allow us to stay on air much longer.
[01:16:10.363 --> 01:16:13.727]  And I don't have time to tell you all the stuff they're doing to us for a lot of reasons.
[01:16:13.727 --> 01:16:15.249]  I can't tell you what's going on.
[01:16:15.249 --> 01:16:16.430]  But let's just say this.
[01:16:16.430 --> 01:16:17.752]  We're going to see this through to the end.
[01:16:17.752 --> 01:16:20.215]  We're going to stay on air as long as we can.
[01:16:20.835 --> 01:16:24.477]  So please pray for us and please buy the products at mfulworthstore.com.
[01:16:24.477 --> 01:16:27.058]  They're great products, plus they fund the operation.
[01:16:27.058 --> 01:16:30.239]  So you know, unlike other products you can buy, they're still great.
[01:16:30.239 --> 01:16:31.099]  Do they fund freedom?
[01:16:31.099 --> 01:16:32.200]  No, a lot of them don't.
[01:16:32.200 --> 01:16:38.662]  These are great products that fund freedom and fund justice when the whole world's waking up and looking for truth.
[01:16:38.662 --> 01:16:40.383]  That's why the globalists are censoring.
[01:16:40.383 --> 01:16:43.224]  They can't bring in all this tyranny and leave people like us on the air.
[01:16:43.784 --> 01:16:46.925]  So while you're at it, don't just financially support us and spread the word.
[01:16:46.925 --> 01:16:55.129]  Download everything we've done you can find and save it, because who knows how long we're going to be on the air and the enemy is trying to destroy everything we ever said.
[01:16:55.129 --> 01:16:57.930]  The equation is very simple.
[01:16:57.930 --> 01:17:07.494]  The mega banks control the media, they control big pharma, they control academia, they control the military, industrial complex, they control big tech.
[01:17:08.650 --> 01:17:17.756]  And everywhere that they have been in control in the third world, they have established absolute total despotism and dehumanization.
[01:17:17.756 --> 01:17:26.242]  It is the Western Christian idea of human freedom that ended slavery and that promoted women's rights and so much more that actually threatens them.
[01:17:26.242 --> 01:17:32.987]  So because they can't defeat that empowering ethic, they instead co-opt it, turn it upside down, and use
[01:17:33.847 --> 01:17:41.933]  The idea of equality to actually destroy human freedom and the free market that threatens their monopolies of control.
[01:17:41.933 --> 01:17:46.436]  That's why they target InfoWars because we understand the keys to defeating them.
[01:17:46.436 --> 01:17:51.820]  But the only way our transmission gets out is if you promote InfoWars at Band.Video.
[01:17:51.820 --> 01:17:52.901]  So we double your efforts.
[01:17:52.901 --> 01:17:56.984]  We're all in this together.
[01:17:56.984 --> 01:17:59.606]  You're listening to the Alex Jones Show.
[01:18:07.868 --> 01:18:10.690]  Oh baby, I'm gonna teach you what it's like
[01:18:37.683 --> 01:18:40.564]  Welcome back.
[01:18:40.564 --> 01:18:43.844]  Alex Jones here.
[01:18:43.844 --> 01:19:02.187]  You know, a few weeks ago, Senator Carlson started coming out criticizing the replacement force in populations.
[01:19:02.187 --> 01:19:04.928]  And he went on to say, everybody wearing these masks, make little kids wear them.
[01:19:04.928 --> 01:19:06.808]  I see like people with two-year-old children wearing them.
[01:19:07.466 --> 01:19:15.570]  People's dogs wearing them in Austin, the more liberal areas, it's a sacrament of how good they are and how dirty the rest of us are.
[01:19:15.570 --> 01:19:18.112]  He said, you know, go up and tell them that's abusing your child.
[01:19:18.112 --> 01:19:19.032]  And the studies show that.
[01:19:19.032 --> 01:19:25.896]  I've got an article here where a teacher got suspended for saying it's abusive to make elementary school students wear these.
[01:19:25.896 --> 01:19:26.336]  It's a cult.
[01:19:29.207 --> 01:19:30.548]  And it's a sign of their subservience.
[01:19:30.548 --> 01:19:33.351]  But they lied to us about the numbers COVID was killing.
[01:19:33.351 --> 01:19:35.192]  They put people that died of other things in the COVID column.
[01:19:35.192 --> 01:19:40.357]  They killed a bunch of people with ventilators and sending people that were sick into the nursing homes.
[01:19:40.357 --> 01:19:47.463]  This has been a big orchestrated test of the UN and Big Pharma to control the planet.
[01:19:47.463 --> 01:19:48.984]  And I told you, it'll never end.
[01:19:49.562 --> 01:19:56.084]  And I told you they'll claim they're gonna get rid of the restrictions, they'll barely release them partway, and then clamp them back down.
[01:19:56.084 --> 01:20:02.166]  And now I got stacks of articles where the UN's saying, oh, we need a lockdown for the flu!
[01:20:02.166 --> 01:20:03.406]  This winter.
[01:20:03.406 --> 01:20:04.786]  I've got it all right here.
[01:20:04.786 --> 01:20:07.607]  And oh, don't worry, the boosters are gonna be a patch.
[01:20:07.607 --> 01:20:10.068]  We've got them all ready.
[01:20:10.068 --> 01:20:13.349]  We've got patches that also let us know you've been vaccinated.
[01:20:13.349 --> 01:20:15.309]  The patch will be on your body now.
[01:20:15.309 --> 01:20:16.870]  Oh, where'd I hear that?
[01:20:16.870 --> 01:20:17.530]  CBS News.
[01:20:19.329 --> 01:20:22.950]  So they're just racing ahead with this, and then I got poleaxed.
[01:20:22.950 --> 01:20:44.075]  Like, I've been hitting the head with a two-by-four when I came in this morning and read Mercola's article that's on Infowars.com, posted on the live feed of the show, where he quotes the Bill and Melinda Gates Foundation spokesperson saying, we will take them out as terrorists, we will shut them down, and we're not just going to arrest them, we're going to frustrate their operations, and then he started getting death threats and stuff.
[01:20:45.063 --> 01:20:58.511]  A few weeks after this report came out, and a bunch of others, so he said, fine, I'm going to take down what's admitted scientific fact about vitamin D, vitamin C, and zinc, and ivermectin, and hydroxychloroquine.
[01:20:58.511 --> 01:21:04.835]  And you know, in places like Chicago and New York, people going to the hospital, they won't give them zinc, or ivermectin, or any of it!
[01:21:04.835 --> 01:21:05.876]  They're murderers!
[01:21:05.876 --> 01:21:09.018]  They go, oh, sorry, there's no approved treatment except vaccines.
[01:21:09.668 --> 01:21:12.569]  Because we were told day one, a year ago, by the U.N.
[01:21:12.569 --> 01:21:17.011]  it would be that way, and it's still that way.
[01:21:17.011 --> 01:21:21.634]  I expect they'll next say, there's no proven treatment for dehydration.
[01:21:21.634 --> 01:21:24.915]  We've got this synthetic thing we call cloggler.
[01:21:24.915 --> 01:21:26.396]  We're like, hey, water's what you need.
[01:21:26.396 --> 01:21:27.456]  Nope, nope, the U.N.
[01:21:27.456 --> 01:21:30.057]  doesn't say that water is good for dehydration.
[01:21:30.057 --> 01:21:34.059]  Cloggler is the only thing made by Bill and Melinda Gates.
[01:21:34.059 --> 01:21:36.140]  I mean, that's how this works.
[01:21:36.140 --> 01:21:37.841]  Any idiot knows this is a fraud.
[01:21:38.655 --> 01:21:41.016]  But they have paid off, we now know, in the U.S.
[01:21:41.016 --> 01:21:45.639]  alone, tens of thousands of people, even with 100,000 followers on Facebook or Twitter.
[01:21:45.639 --> 01:21:47.920]  Hey, how'd you like $3,000?
[01:21:47.920 --> 01:21:48.180]  $5,000?
[01:21:48.180 --> 01:21:48.420]  $10,000?
[01:21:48.420 --> 01:21:50.862]  They say, you took the shot and you loved it.
[01:21:50.862 --> 01:21:55.184]  And the people email back, they've gone online, a lot of them, and go, OK, but what if I want to take it?
