[00:00:07.870 --> 00:00:09.311]  We did it!
[00:57:29.783 --> 00:57:33.147]  The story linked on DrugsReport.com is an info war story.
[00:57:33.147 --> 00:57:37.791]  High school girl viciously attacked for supporting Donald Trump by black folks.
[00:57:37.791 --> 00:57:39.853]  This is just attacks all over the country.
[00:57:39.853 --> 00:57:43.297]  You go to CNN though, it's white people are attacking black people.
[00:57:44.005 --> 00:57:48.729]  And that means some operative of the government burned a one-foot cross in somebody's yard, totally made up.
[00:57:48.729 --> 00:57:51.051]  All the church burnings are out to be fake.
[00:57:51.051 --> 00:57:53.232]  The black stripper being raped by the lacrosse team, fake.
[00:57:53.232 --> 00:57:55.274]  It's all finance, it's all fake.
[00:57:55.274 --> 00:57:57.756]  I mean, if it was real, I'd report it.
[00:57:57.756 --> 00:58:01.699]  Let's say this, it's as rare as finding an Easter Bunny at Christmas, okay?
[00:58:01.699 --> 00:58:04.862]  Because most white people are in a catatonic state, totally guilty.
[00:58:04.862 --> 00:58:09.185]  Back when the Klan was running around doing bad stuff, it was like 2% of the population in the South.
[00:58:09.185 --> 00:58:11.087]  I mean, just face it, folks.
[00:58:12.125 --> 00:58:17.968]  When you're walking down an alley at night in a minority neighborhood, you see a white guy, are you afraid you're gonna get attacked?
[00:58:17.968 --> 00:58:20.168]  It's because statistically it's not happening.
[00:58:20.168 --> 00:58:21.829]  And it's happening everywhere, they admit it.
[00:58:21.829 --> 00:58:26.071]  It's like a hundred and something times more likely for a white to be attacked by a black person.
[00:58:26.071 --> 00:58:29.392]  And it's a minority of blacks doing it, but still, crime's rare.
[00:58:29.392 --> 00:58:32.994]  But in that group, the media sells it like it's okay.
[00:58:32.994 --> 00:58:36.856]  Just like in the 50s, most racial attacks were the KKK against blacks.
[00:58:36.856 --> 00:58:38.536]  Because it was culturally acceptable.
[00:58:38.536 --> 00:58:39.777]  We have to make it unacceptable.
[00:58:40.871 --> 00:58:41.392]  Stay with us.
[00:58:41.392 --> 00:58:42.575]  InfoWars.com.
[00:58:42.575 --> 00:58:43.177]  Spread the word.
[00:58:43.177 --> 00:58:44.340]  They hate that site.
[00:58:44.340 --> 00:58:45.342]  That you've been spreading it.
[00:58:45.342 --> 00:58:46.285]  It's been destroying them.
[00:58:50.504 --> 00:58:52.805]  Electrify your day with Secret 12.
[00:58:52.805 --> 00:58:54.366]  It's like lightning in a bottle.
[00:58:54.366 --> 00:58:58.268]  We all have days in which we just can't seem to perform at the level we'd like to.
[00:58:58.268 --> 00:59:06.213]  InfoWars Live Secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms of vitamin B12.
[00:59:06.213 --> 00:59:11.176]  Proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels.
[00:59:11.176 --> 00:59:11.896]  The reality is
[00:59:12.176 --> 00:59:16.979]  It's hard to take in the proper amount of vitamins we need each day with our modern diets.
[00:59:16.979 --> 00:59:24.763]  Seeker 12 by Infowars Life is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems.
[00:59:24.763 --> 00:59:29.185]  It pairs two forms of vitamin B12 into one explosive formula.
[00:59:29.465 --> 00:59:38.490]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes, but it also assists with many other functions of the body.
[00:59:38.490 --> 00:59:42.052]  Electrify your mind and body and take your health to the next level.
[00:59:42.052 --> 00:59:45.954]  Experience the power of Secret 12 at InfoWarsLife.com.
[00:59:45.954 --> 00:59:52.757]  That's InfoWarsLife.com.
[00:59:52.757 --> 00:59:55.359]  You're listening to the Alex Jones Show.
[01:00:03.422 --> 01:00:05.243]  We are on the march.
[01:00:05.243 --> 01:00:08.385]  The empire is on the run.
[01:00:08.385 --> 01:00:14.209]  Alex Jones and the GCN Radio Network.
[01:00:14.209 --> 01:00:16.230]  Alex Jones here, back live.
[01:00:16.230 --> 01:00:18.872]  Bunch of special reports coming up.
[01:00:18.872 --> 01:00:21.273]  Donald Trump in the next segment.
[01:00:21.273 --> 01:00:25.936]  But, I wanted to mention this because it's so sea change.
[01:00:25.936 --> 01:00:26.596]  Unacceptable!
[01:00:26.596 --> 01:00:30.539]  Wolf Blitzer rebukes Trump for breaches in press protocol.
[01:00:32.148 --> 01:00:35.812]  He just said how horrible it is, that it's unacceptable.
[01:00:35.812 --> 01:00:36.853]  They have to fix it.
[01:00:36.853 --> 01:00:46.945]  The White House Correspondents Association deeply concerned that he isn't telling them everywhere he goes and what he does so they can sycophantically run around behind him.
[01:00:48.180 --> 01:00:52.603]  This is a bunch of arrogant nobodies from bad families on average, literally.
[01:00:52.603 --> 01:01:03.371]  I don't know why it is, like you research these journals, they just have horrible families, horrible people, no success, just the sons and daughters of con artists, criminals, murderers, filth, trash, garbage, just you name it.
[01:01:03.951 --> 01:01:04.671]  This is true.
[01:01:04.671 --> 01:01:05.372]  They don't build anything.
[01:01:05.372 --> 01:01:07.872]  They just parasite around, butt kiss around.
[01:01:07.872 --> 01:01:09.973]  They're just saying, how dare you ignore us in D.C.
[01:01:09.973 --> 01:01:11.474]  and then fly off back to New York?
[01:01:11.474 --> 01:01:12.654]  Wonderful!
[01:01:12.654 --> 01:01:14.075]  Wonderful!
[01:01:14.075 --> 01:01:16.235]  That's how you help collapse them.
[01:01:16.235 --> 01:01:20.497]  Only Trump's glow giving them energy can keep these vampires alive.
[01:01:20.497 --> 01:01:24.818]  They're like, how dare you not let us suck your blood?
[01:01:24.818 --> 01:01:25.679]  He doesn't need them.
[01:01:25.679 --> 01:01:27.419]  They're not going to turn to his side.
[01:01:27.419 --> 01:01:28.820]  So this is a really juicy thing.
[01:01:28.820 --> 01:01:29.160]  Here it is.
[01:01:32.639 --> 01:01:36.582]  Going to have to get accustomed to some norms that are in place here in Washington.
[01:01:36.582 --> 01:01:49.393]  Donald Trump, we're told by an aide, left Washington earlier this afternoon, got on his plane, returned to New York City without any reporters being told that the President-elect was leaving Washington.
[01:01:49.753 --> 01:01:51.173]  I love how he's in a tower.
[01:02:10.040 --> 01:02:11.340]  It's like under siege.
[01:02:11.340 --> 01:02:12.481]  He gets it.
[01:02:12.481 --> 01:02:23.804]  Because these are the people that lied, said he could never win, said that he couldn't have the nomination, then said they could steal it, then said he didn't deserve the money he raised.
[01:02:23.804 --> 01:02:32.187]  They were wrong about everything on every front and backstabbed time and time and time and time and time again.
[01:02:32.187 --> 01:02:39.369]  And then now we're just supposed to keep groveling because they've got a big TV station and guys in trench coats and scarves looking official.
[01:02:40.486 --> 01:02:44.428]  When they'd sell their mother out for a stick of bubble gum.
[01:02:44.428 --> 01:02:46.028]  Ladies and gentlemen, now is the time.
[01:02:46.028 --> 01:02:46.448]  And you did it.
[01:02:46.448 --> 01:02:49.290]  I wanted 100 million views over election.
[01:02:49.290 --> 01:02:51.070]  We only had 90 million.
[01:02:51.070 --> 01:02:52.191]  I'll take it.
[01:02:52.191 --> 01:02:54.212]  God bless you, you did an incredible job.
[01:02:54.212 --> 01:02:56.473]  Rubbing it in their faces.
[01:02:56.473 --> 01:03:00.114]  Outside of our terrestrial radio audience that's now 5 million a day, conservatively.
[01:03:00.114 --> 01:03:01.955]  That's very conservative.
[01:03:01.955 --> 01:03:03.976]  We can say, we're bigger than Rush Limbaugh.
[01:03:03.976 --> 01:03:06.957]  We're now the biggest broadcast transmission there is.
[01:03:06.957 --> 01:03:08.778]  Roger's the biggest website.
[01:03:08.778 --> 01:03:09.018]  Love it.
[01:03:10.367 --> 01:03:11.328]  It's not about who's the biggest.
[01:03:11.328 --> 01:03:13.929]  The point is that our message of freedom is the most popular.
[01:03:13.929 --> 01:03:22.956]  And that's why now if you will actually convert the listenership to supporting us, you'll see this grow just like we promised you on TV and radio and dominating and taking America back.
[01:03:22.956 --> 01:03:24.016]  We've got the beachhead now.
[01:03:24.016 --> 01:03:33.563]  If you'll support us, buy your war bonds, become a PrisonPlanet.tv member, go get the free app at InfoWars.com forward slash app or app.
[01:03:33.563 --> 01:03:35.965]  And it has news feeds and audio and video feeds.
[01:03:37.236 --> 01:03:45.201]  If you sign up and get InfoWars Prime, we just launched two days ago, at InfoWars.com forward slash app, you will get what we're doing every day.
[01:03:45.201 --> 01:03:55.466]  All of our reporters, our correspondents, myself, doing live, special reports, original, produced reports, rants, special events, and more for $95 a month.
[01:03:55.466 --> 01:03:59.229]  It's half off right now, or $44 a year, if you want to buy the yearly membership.
[01:04:00.208 --> 01:04:06.734]  And it gets notifications, emergency notifications, available on App Store and Google Play right now, $4.95 a month.
[01:04:06.734 --> 01:04:07.235]  Infowarsstore.com.
[01:04:11.550 --> 01:04:13.011]  Has a link to it as well.
[01:04:13.011 --> 01:04:15.112]  Infowars.com forward slash app.
[01:04:15.112 --> 01:04:16.192]  This is the new media.
[01:04:16.192 --> 01:04:23.456]  This is like a new YouTube because we've already got like 15 people on there that can upload videos and original articles and content.
[01:04:23.456 --> 01:04:26.138]  We're going to start adding people like Millie Weaver, one of our great reporters.
[01:04:26.138 --> 01:04:33.481]  We're going to add other reporters that we've had here in the past and correspondents and other people that want to reach out to our audience.
[01:04:33.481 --> 01:04:34.242]  And then we're going to take
[01:04:34.722 --> 01:04:41.747]  The most powerful reports off that and put them on our Facebook, put them on our YouTube, put them on this broadcast and just magnify all of that.
[01:04:41.747 --> 01:04:46.110]  I want to get hundreds of correspondents across the country who are with an iPhone or a Droid.
[01:04:46.110 --> 01:04:53.896]  They have the power of a network that can't be censored by Google or Facebook and upload or stream live to reach the world.
[01:04:53.896 --> 01:04:55.237]  And it's got community.
[01:04:55.237 --> 01:04:57.258]  We're going to add a lot more to it.
[01:04:57.258 --> 01:04:58.499]  Check it out at Infowars.com.
[01:05:00.902 --> 01:05:06.048]  Three days after the election of Donald Trump and the reality of a Trump presidency is starting to hit home.
[01:05:06.048 --> 01:05:11.454]  For some people this is such a devastating notion that they need to call an ambulance or even want to die.
[01:05:11.454 --> 01:05:15.358]  Well we Trump voters care about our fellow Americans and we're paying by this.
[01:05:15.358 --> 01:05:15.839]  So let's help
[01:05:16.520 --> 01:05:19.842]  Let's try to help them recover from their devastation.
[01:05:19.842 --> 01:05:25.066]  If you see a Trump protester or a group of them, give them a diaper, hand them a binky, cover them in a blankie.
[01:05:25.066 --> 01:05:27.508]  After all, this is what you do for crying babies.
[01:05:27.508 --> 01:05:31.291]  Many of these people look like they need a hug, so give them a box of huggies.
[01:05:31.291 --> 01:05:38.877]  We Trump voters can't stand to see our fellow Americans so depleted, so we will make sure to get as many of them a warm bottle of milk as possible.
[01:05:38.877 --> 01:05:45.062]  To make America great again, we must make sure that these babies are taken care of with plenty of diapers, binkies, and rattles.
[01:05:45.362 --> 01:05:46.945]  Don't worry, Trump protesters.
[01:05:46.945 --> 01:05:50.551]  Remember, we're stronger together, even if you do have to wear a diaper.
[01:05:50.551 --> 01:05:53.837]  This is Owen Schroer from InfoWars.com.
[01:05:53.837 --> 01:05:55.300]  This message is paid for by the Russians.
[01:06:00.006 --> 01:06:09.351]  You know, in the coming election, no matter who gets in, one of the biggest issues nobody's talking about in the debates or anywhere is the vulnerability of the power grid.
[01:06:09.351 --> 01:06:12.252]  The potential for power grid chaos.
[01:06:12.252 --> 01:06:20.416]  EMP, cyber warfare, not to mention dangerous weather, hurricanes, ice storms, all a very real threat to our grid.
[01:06:20.416 --> 01:06:23.358]  My friends, chaos is already here, and it's gonna get a lot worse.
[01:06:23.618 --> 01:06:29.682]  That's why I believe that all my listeners need to have a way to produce their own supply of backup electricity.
[01:06:29.682 --> 01:06:33.585]  Now I've got the perfect power solar generator system in my house.
[01:06:33.585 --> 01:06:35.466]  The Solutions from Science system.
[01:06:35.466 --> 01:06:37.988]  Simply put, this thing is amazing.
[01:06:37.988 --> 01:06:40.490]  Solutions from Science only makes the best equipment.
[01:06:40.490 --> 01:06:43.232]  Go to powergridchaos.com.
[01:06:43.232 --> 01:06:46.294]  That's powergridchaos.com to check it out.
[01:06:46.294 --> 01:06:47.374]  Now this is key.
[01:06:47.374 --> 01:06:48.435]  Right now, get 70% off.
[01:06:49.656 --> 01:06:52.959]  They're top-of-the-line, perfect power solar generator.
