[00:00.000 --> 00:29.000]  Ladies and gentlemen, we are live on this Friday, November 27th, 2020.
[1:27:22.000 --> 1:27:31.000]  A lot of side effects, but apparently they're going to be administered next week.
[1:27:31.000 --> 1:27:38.000]  So we'll see what happens with that. I certainly will not be taking a COVID vaccine.
[1:27:38.000 --> 1:27:44.000]  But you know, before I do that earlier, I was talking about how Thanksgiving just doesn't feel like Thanksgiving.
[1:27:44.000 --> 1:27:49.000]  It just doesn't feel like it used to, it's not presented the same way, it's not celebrated the same way.
[1:27:49.000 --> 1:27:58.000]  And I think one indicator of this was Thanksgiving Day football, which I'm guessing the ratings were weighed down on.
[1:27:58.000 --> 1:28:07.000]  Guys, see if you can look that up. My guess is ratings were probably just way down, probably even the lowest rated Thanksgiving football in a long time.
[1:28:07.000 --> 1:28:10.000]  I'm not trying to mince words or hide it.
[1:28:10.000 --> 1:28:13.000]  I've for the most part boycotted the NFL almost entirely this year.
[1:28:13.000 --> 1:28:25.000]  I can't say I have not watched a single snap, but I did tune in yesterday and I got in right in time to see this.
[1:28:25.000 --> 1:28:34.000]  Gateway pundit headline Detroit Lions and Houston Texans quarterback Neil during anthem to show their disgust for America on Thanksgiving Day.
[1:28:34.000 --> 1:28:44.000]  Now it's funny because Matt, I believe it was Stafford's wife who did the live periscope or whatever saying how the COVID lockdown was so ridiculous and the restrictions were so ridiculous.
[1:28:44.000 --> 1:28:50.000]  So who knows what that is about, but it's all public pressure. It's all peer pressure. It's all league pressure.
[1:28:50.000 --> 1:28:58.000]  But I remember I tune in for this Thanksgiving Day. I'm thinking, oh, you know, I like watching football and Thanksgiving. I've been doing it my whole life.
[1:28:58.000 --> 1:29:02.000]  And I tune in and boom, it's all the players kneeling.
[1:29:02.000 --> 1:29:19.000]  And then boom, right after that, it's a black activist, a pro black activist, a black supremacist activist with a 90 second commercial about how it's all about black people and black people are so, you know,
[1:29:19.000 --> 1:29:27.000]  discriminated against and then white people are bad and all this stuff. And I have to sit here and consume this. Guess what? I was done with football for the day.
[1:29:27.000 --> 1:29:39.000]  Done. Turn it off. Didn't care anymore. Like, hey, you know what? I'll watch some football today. Turn it on. Hey, you're a white man. You suck. Okay. Turn it off.
[1:29:39.000 --> 1:29:45.000]  And they expect us to just take this.
[1:29:45.000 --> 1:29:56.000]  That's the new NFL. That's the new everything mainstream is anti American anti white man propaganda all day long.
[1:29:56.000 --> 1:30:08.000]  So yes, Thanksgiving has been transformed from a unifying holiday about family and food. Everybody loves food.
[1:30:08.000 --> 1:30:21.000]  A beverage. Football America coming together. It's been transformed from that to a virtue signaling anti white anti American.
[1:30:21.000 --> 1:30:30.000]  And then sell new technology at a fake discounted price black Friday. That's what Thanksgiving has been turned into.
[1:30:30.000 --> 1:30:43.000]  It's pretty sad, isn't it? But this is what the left does anywhere they get in control to destroy, divide and then conquer in the name of Tierney.
[1:30:43.000 --> 1:30:59.000]  And this is what they're all about. Remember how they wanted to boycott Goya foods? Well, Goya put over a thousand pounds of food from Goya
[1:30:59.000 --> 1:31:08.000]  to donate to the families of students our center donation. Thanks to Ed Lechobitz for his photography.
[1:31:08.000 --> 1:31:14.000]  This is just Goya a bunch of foods that they were donating right ahead of Thanksgiving.
[1:31:14.000 --> 1:31:22.000]  But you know, this is who the left wants you to boycott, you know, the people that feed the hungry and poor on Thanksgiving Goya foods.
[1:31:22.000 --> 1:31:32.000]  They want you to boycott that, but go watch the NFL that takes a fat dump on the flag every game.
[1:31:32.000 --> 1:31:41.000]  No. I don't think so. That's what they want. That's what they do. And you know, again.
[1:31:41.000 --> 1:31:47.000]  And then for Alyssa Milano and the Democrats, oh, we need to come together. We need to come together.
[1:31:47.000 --> 1:31:53.000]  We needed all the branch Joe Biden. I'll unify. It's just sick. They come to town.
[1:31:53.000 --> 1:31:57.000]  They burn the town down. They rape all your women and children. They steal all your money.
[1:31:57.000 --> 1:32:05.000]  They eat all your food. They drink all your beer. And then they say, Hey, yeah, we can still be friends.
[1:32:05.000 --> 1:32:16.000]  As they're putting you in shackles. It's an exercise. It's demonic satanic exercise of conquering you and enslaving you.
[1:32:16.000 --> 1:32:23.000]  And so everything the Democrats do is projection.
[1:32:23.000 --> 1:32:34.000]  Oh, but once they get you in that web, once they have you trapped, it's game over. They are going to suck the essence out of you.
[1:32:34.000 --> 1:32:42.000]  Anything and everything that you have will be theirs.
[1:32:42.000 --> 1:32:50.000]  That's why as soon as they get in control of the election machines, they never lose another election.
[1:32:50.000 --> 1:32:54.000]  That's how they work. And so, you know what?
[1:32:54.000 --> 1:33:04.000]  We'll come back with that with the latest in the election theft news because I got a video clip I want to play and then some other headlines.
[1:33:04.000 --> 1:33:20.000]  But I don't know how they're going to be selling the next month or two of a Biden victory when 90 plus percent of Trump voters don't believe it.
[1:33:20.000 --> 1:33:30.000]  Mainstream news is getting its lowest ratings and trust factor polls.
[1:33:30.000 --> 1:33:35.000]  And every Saturday at noon at state capitals, patriots are gathering protesting the election.
[1:33:35.000 --> 1:33:42.000]  President Trump has announced he's going to be in Georgia on Saturday, December 5th. That's Saturday, December 5th, not this Saturday.
[1:33:42.000 --> 1:33:45.000]  I guess doing a rally or something.
[1:33:45.000 --> 1:33:49.000]  So the Trump movement isn't stopping. In fact, it's getting bigger.
[1:33:49.000 --> 1:33:55.000]  There is no Biden movement other than fake stuff on TV where we're exactly they'll have.
[1:33:55.000 --> 1:34:00.000]  Trump will be doing an event. Trump will be calling into the Pennsylvania hearing. The Pennsylvania hearing is going on.
[1:34:00.000 --> 1:34:09.000]  And on all cable news on Wednesday, all they're doing is showing you Biden president-elect bullcrap.
[1:34:09.000 --> 1:34:13.000]  Not even the president illegitimate victory, fake victory.
[1:34:13.000 --> 1:34:18.000]  And they just perpetuate all of this because that's part of the plan.
[1:34:18.000 --> 1:34:24.000]  I'm telling you, man. I mean, you know,
[1:34:24.000 --> 1:34:32.000]  people tend to discount some of the things that Alex Jones has said that may sound crazy.
[1:34:32.000 --> 1:34:40.000]  But folks, it's all right in front of our faces now.
[1:34:40.000 --> 1:34:51.000]  The world government, the corporate world government, the forced vaccinations, the RNA DNA modification with the patents to make you a slave to a corporate world government.
[1:34:51.000 --> 1:34:58.000]  And it's all going to be rolled out with bells and whistles to make it feel like, oh, it's cool. You're part of something.
[1:34:58.000 --> 1:35:06.000]  You're part of the enslavement of humanity worldwide for the rest of time.
[1:35:06.000 --> 1:35:09.000]  But you put you put the right name on it. Black Lives Matter.
[1:35:09.000 --> 1:35:15.000]  It's good to go called marketing. It's called propaganda.
[1:35:15.000 --> 1:35:24.000]  But as you know, Info Wars has been at the forefront of exposing this for decades, and we do not plan on stopping.
[1:35:24.000 --> 1:35:28.000]  And this ship goes as far as you fuel it to go.
[1:35:28.000 --> 1:35:31.000]  And we've come this far, folks. It's a miracle, believe me.
[1:35:31.000 --> 1:35:39.000]  There's one thing that keeps the orchestrators of the world government up at night.
[1:35:39.000 --> 1:35:42.000]  And that's the fact that Info Wars is still live on air.
[1:35:42.000 --> 1:35:45.000]  And as soon as they can, they'll flip the switch here, believe me.
[1:35:45.000 --> 1:35:49.000]  But we've come this far. Thanks to your support at InfoWarsStore.com.
[1:35:49.000 --> 1:35:53.000]  And that's why on this Black Friday, we have massive sales happening at InfoWarsStore.com.
[1:35:53.000 --> 1:35:58.000]  Hop over to InfoWarsStore.com in this break coming up.
[1:35:58.000 --> 1:36:11.000]  Free shipping, store-wide, free shipping, store-wide, huge discounts on all the supplements, including 50% off Alpha Power, 40% off Bodies, 40% off DNA Force Plus.
[1:36:11.000 --> 1:36:13.000]  It's all at InfoWarsStore.com.
[1:36:13.000 --> 1:36:22.000]  And the free shipping, folks, with heavier items that are expensive to ship like emergency food supplies or water filters or air filters, we're covering those shipping costs.
[1:36:22.000 --> 1:36:25.000]  So also a great time now to start your Christmas shopping.
[1:36:25.000 --> 1:36:27.000]  Get an air filter for a friend of yours.
[1:36:27.000 --> 1:36:30.000]  Get a water filter for a friend of yours.
[1:36:30.000 --> 1:36:34.000]  And take advantage of free shipping right now at InfoWarsStore.com.
