[00:00:09.031 --> 00:00:14.959]  Leading a frontal assault on the lives of the New World Order, it's Alex Jones!
[01:17:28.587 --> 01:17:32.508]  I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[01:17:32.508 --> 01:17:34.028]  I sued the IRS and won.
[01:17:34.028 --> 01:17:36.989]  I beat the IRS then, and I've been beating them ever since.
[01:17:36.989 --> 01:17:42.550]  I wrote the book on tax debt settlement, and I've helped thousands of people deal with tax problems they thought might never be solved.
[01:17:42.550 --> 01:17:43.750]  I can help you, too.
[01:17:43.750 --> 01:17:46.691]  If you owe taxes you can't pay, don't wait another day.
[01:17:46.691 --> 01:17:48.911]  There's no such thing as a hopeless tax case.
[01:17:48.911 --> 01:17:53.352]  Call 800-34-NO-TAX or go to my website, danpilla.com.
[01:17:53.352 --> 01:17:55.653]  That's danpilla.com, danpilla.com.
[01:17:58.314 --> 01:17:58.334]  X2!
[01:17:59.830 --> 01:18:04.652]  We were selling it for about three years, and then they found out how big it was and how much we were buying.
[01:18:04.652 --> 01:18:07.794]  And they said, oh, we want more money, more money, and oh, this and that.
[01:18:07.794 --> 01:18:09.795]  And so I've broken my contract.
[01:18:09.795 --> 01:18:14.617]  But right now, we can't get more of this proprietary ingredient that goes in next to it.
[01:18:14.617 --> 01:18:22.400]  It literally is so pure that if you put it in a pinker dish on top of a 90 degree hot plate, it gasses like I dream of Jeannie in this purple gas.
[01:18:22.400 --> 01:18:25.842]  I mean, that is so pure, it just goes right into your body when you take it.
[01:18:25.842 --> 01:18:28.043]  We're working on trying to get other suppliers right now, but
[01:18:28.903 --> 01:18:31.324]  I bought a huge amount of it.
[01:18:31.324 --> 01:18:33.045]  Ordered it six months ago.
[01:18:33.045 --> 01:18:35.786]  So I get the price down and I said, if you don't lower it, I'm done.
[01:18:35.786 --> 01:18:37.027]  I'm breaking the contract.
[01:18:37.027 --> 01:18:39.008]  Well, I broke the contract last week.
[01:18:39.008 --> 01:18:41.389]  And so this is potentially the last run.
[01:18:41.389 --> 01:18:42.869]  In fact, right now it is the last run.
[01:18:42.869 --> 01:18:45.190]  It's your survival shield X2.
[01:18:45.190 --> 01:18:46.671]  And we've got a good supply of it.
[01:18:46.671 --> 01:18:48.652]  It'll be gone in a couple months.
[01:18:48.652 --> 01:18:51.373]  X2, if you haven't experienced it, InfoWarshore.com.
[01:18:51.373 --> 01:18:53.214]  If you have experienced it, you know how great it is.
[01:18:53.214 --> 01:18:54.374]  I suggest you stock up on it.
[01:18:54.374 --> 01:18:56.335]  It's available right now for a limited time.
[01:18:56.335 --> 01:18:57.596]  InfoWarshore.com right now.
[01:18:57.990 --> 01:19:01.954]  Living in volcano may sound more dramatic than it really is.
[01:19:01.954 --> 01:19:05.237]  The real drama can be found here in Leilani Estates.
[01:19:05.237 --> 01:19:11.503]  But a lot of us on the Big Island rely on rainwater and we need to be concerned about ash and acid rain.
[01:19:11.503 --> 01:19:14.285]  Volcanic ash may contain heavy metal particles.
[01:19:15.006 --> 01:19:18.827]  An acid rain could lower the pH of the water to unhealthy levels.
[01:19:18.827 --> 01:19:25.309]  To find out, we employed a series of tests for heavy metals, alkalinity, and pH.
[01:19:25.309 --> 01:19:30.271]  What we learned was that there was in fact unhealthy levels of heavy metals and acidity in the rainwater.
[01:19:31.024 --> 01:19:34.947]  Next, we tested the water from our Alexa Pure gravity filter.
[01:19:34.947 --> 01:19:42.151]  And not only were the heavy metal levels within safe measure, but the pH was also restored to optimal levels.
[01:19:42.151 --> 01:19:46.854]  As it turns out, the filter on the Alexa Pure raises the pH of the water.
[01:19:46.854 --> 01:19:53.058]  So what we've learned is that volcanic ash and acid rain can contaminate a rainwater supply.
[01:19:53.058 --> 01:19:57.041]  But more importantly, a good water filtration system will purify it.
[01:20:01.237 --> 01:20:03.862]  You're listening to the Alex Jones Show!
[01:20:19.170 --> 01:20:20.851]  You want to stop tyranny?
[01:20:20.851 --> 01:20:22.551]  Well, so does he.
[01:20:22.551 --> 01:20:24.512]  It's Alex Jones.
[01:20:24.512 --> 01:20:27.553]  And now, your host, Owen Troyer.
[01:20:27.553 --> 01:20:31.854]  That's right, here we are back in Austin, Texas, live.
[01:20:31.854 --> 01:20:37.476]  I've got news to get to, a ton of video clips that I'm going to get to in the next segment.
[01:20:37.476 --> 01:20:43.958]  Before I go any farther, though, I just want to give a shout-out to our affiliates in Florida that got hit by Hurricane Michael.
[01:20:45.489 --> 01:20:55.619]  WYOO 101.1 FM in Panama City, WPNN 790 AM in Pensacola, WFDM 1400 AM in Fort Walton Beach.
[01:20:55.619 --> 01:20:58.982]  Our thoughts and prayers are with you guys.
[01:20:58.982 --> 01:21:09.392]  And luckily Hurricane Michael wasn't so large in its mass that it really kind of just hit a concentrated area, but the flood waters are rising there, so...
[01:21:10.646 --> 01:21:17.514]  Hopefully, you know, the damage and everything is not too catastrophic, but wanted to give a shout out to them.
[01:21:17.514 --> 01:21:23.140]  You know, there's one thing we know about the left in America.
[01:21:23.140 --> 01:21:25.662]  All of their buzz phrases are lies.
[01:21:26.892 --> 01:21:33.317]  And it's amazing, because you can point this out with irrefutable fact, and that's what makes them so angry.
[01:21:33.317 --> 01:21:38.281]  That's why they get so mad, because you have the facts that totally destroy their reality.
[01:21:38.281 --> 01:21:50.071]  And instead of doing the open-minded thing, the tolerant thing, the right thing, which is taking a step back and realizing you're wrong about something, no, they double down and get violent.
[01:21:50.071 --> 01:21:50.792]  What am I talking about?
[01:21:52.011 --> 01:21:53.331]  Believe women!
[01:21:53.331 --> 01:21:55.152]  Women must be heard!
[01:21:55.152 --> 01:21:58.133]  How many times did we hear that during the Kavanaugh hearings?
[01:21:58.133 --> 01:22:00.093]  How big of a lie is that?
[01:22:00.093 --> 01:22:05.595]  Did they listen to the women that stood up for Judge Kavanaugh, that were friends with him in high school and throughout his life?
[01:22:05.595 --> 01:22:06.835]  Nope!
[01:22:06.835 --> 01:22:13.717]  Did they listen to the women that accused, with evidence and corroborating facts, Keith Ellison?
[01:22:13.717 --> 01:22:14.657]  Nope!
[01:22:16.291 --> 01:22:24.636]  How about the treatment that Candace Owens and Ann Coulter get when they want to go speak at a campus and they get threatened and violence breaks out?
[01:22:24.636 --> 01:22:26.917]  So women must be heard, right?
[01:22:26.917 --> 01:22:28.778]  No, that's a lie.
[01:22:28.778 --> 01:22:31.240]  How about Black Lives Matter?
[01:22:31.240 --> 01:22:32.480]  Sure.
[01:22:32.480 --> 01:22:33.321]  Black Lives Matter.
[01:22:33.321 --> 01:22:36.903]  That is until a black person thinks differently.
[01:22:36.903 --> 01:22:38.044]  Just look at Will Johnson.
[01:22:38.044 --> 01:22:41.886]  Just look at Kanye West.
[01:22:41.886 --> 01:22:43.327]  Oh yeah, Black Lives Matter.
[01:22:43.327 --> 01:22:44.467]  Hey, I kind of like Trump.
[01:22:44.467 --> 01:22:45.548]  Wow, you Uncle Tom.
[01:22:49.389 --> 01:22:52.150]  Another lie of the left.
[01:22:52.150 --> 01:22:57.331]  But you know, I was thinking about this last night.
[01:22:57.331 --> 01:23:17.596]  Then the next segment, I'm going to play all these clips, folks, that just... I mean, you already know it, but it's like we have to put it out there into the ether so that it sinks in that the Democrat Party is trying to start, I mean, you can call it whatever, a civil war, mob rule, whatever, anarchy, violence, chaos, destruction.
[01:23:19.594 --> 01:23:21.115]  It's all being caused by the Democrats.
[01:23:21.115 --> 01:23:22.456]  They know exactly what they're doing.
[01:23:22.456 --> 01:23:26.739]  But here's the key.
[01:23:26.739 --> 01:23:33.623]  Because I tend to look at things from a psychological perspective.
[01:23:33.623 --> 01:23:34.804]  I just can't help it.
[01:23:34.804 --> 01:23:40.388]  And last night, I almost... I basically had
[01:23:42.520 --> 01:23:51.727]  I don't want to say a vision, I didn't have a vision, but the psychology of the left became clear to me in my head, in a vision.
[01:23:51.727 --> 01:24:00.253]  Basically the psychology of the left, imagine if you will, a room full of cardboard boxes.
[01:24:00.253 --> 01:24:07.419]  And every cardboard box, you're in a leftist mind, every cardboard box represents an individual.
[01:24:08.652 --> 01:24:11.234]  So, let's say you're a gay person.
[01:24:11.234 --> 01:24:13.697]  Well, the left puts you in a box.
[01:24:13.697 --> 01:24:18.301]  You see, this is the leftist box for gay people.
[01:24:18.301 --> 01:24:26.087]  And everything that they believe about gay people exists in that box, and every gay person must exist in that box.
[01:24:26.087 --> 01:24:27.329]  Okay, let's move on.
[01:24:27.329 --> 01:24:28.490]  A black man, let's say.
[01:24:28.490 --> 01:24:30.972]  Alright, they got a black man in a box.
[01:24:30.972 --> 01:24:32.553]  The black man must think this way.
[01:24:32.553 --> 01:24:33.754]  They must hate Trump.
[01:24:33.754 --> 01:24:34.615]  They must hate this.
[01:24:34.615 --> 01:24:35.416]  They must feel this.
[01:24:36.800 --> 01:24:38.100]  Yeah, that's a great picture.
[01:24:38.100 --> 01:24:40.441]  That is a leftist mind right there.
[01:24:40.441 --> 01:24:44.602]  It is a room full of boxes.
[01:24:44.602 --> 01:24:47.922]  A room full of taped-up cardboard boxes.
[01:24:47.922 --> 01:24:48.862]  Now, what does this mean?
[01:24:48.862 --> 01:24:58.744]  This means they're closed-minded, this means they have no room for growth, they have no room for expansion, and their entire mental makeup is 100% based off of identity
[01:25:02.884 --> 01:25:08.427]  Which they then put into a box and stack up neatly in their mind.
[01:25:08.427 --> 01:25:10.628]  So, okay, white male.
[01:25:10.628 --> 01:25:12.329]  They go into the white male box.
[01:25:12.329 --> 01:25:15.531]  Oh, racist, you know, bigot, all the other things.
[01:25:15.531 --> 01:25:17.732]  That is unless they come out as a good liberal.
[01:25:17.732 --> 01:25:26.377]  And then all of a sudden the whole box thing kind of just just fades away and it's just, oh, accepting, you know, guilty till proven Democrat.
[01:25:26.377 --> 01:25:27.538]  So the leftist mind
[01:25:29.013 --> 01:25:47.476]  It's just boxes stacked on top of one another of every identity and race and person and whatever and it's just there and it's permanent and it's static and the boxes can never, you know, go into one another because they've created lines.
[01:25:48.686 --> 01:25:50.787]  So you can't morph ideas.
[01:25:50.787 --> 01:26:11.353]  People can never come together because they have them all in these boxes and that's the only way that they think people can coexist is if everyone is in their nice little box and then they can stack them up and have everybody in their nice box and then virtue signal and social justice warrior the entire thing.
[01:26:11.353 --> 01:26:13.294]  So just imagine that.
[01:26:14.403 --> 01:26:15.984]  That is a leftist brain.
[01:26:15.984 --> 01:26:18.286]  That is a leftist psychology.
[01:26:18.286 --> 01:26:21.109]  Every person is put into a box.
[01:26:21.109 --> 01:26:24.752]  And if you don't fit in that box, they freak out.
[01:26:24.752 --> 01:26:28.375]  It's honestly like a next level of OCD.
[01:26:28.375 --> 01:26:29.716]  It probably is some...
[01:26:31.571 --> 01:26:34.773]  Next higher level social level of OCD.
[01:26:34.773 --> 01:26:42.179]  They have like a social OCD where everyone has to exist in their little boxes and they have to put these little boxes in perfect order.
[01:26:42.179 --> 01:26:53.287]  And if anybody steps outside of the box, if anybody pokes a hole in the box and look at what might be on the other side, they totally panic and their entire psychology breaks down into madness and hysteria.
[01:26:53.287 --> 01:26:55.948]  That's what we're seeing, folks.
[01:26:55.948 --> 01:27:00.412]  Because their psychology of everyone being in a box is not reality.
[01:27:01.380 --> 01:27:10.596]  And so now they're seeing this, oh black people think differently, white people are not racist, like all of this crap, and they don't know what to do because in their mind, everyone's in a box!
[01:27:10.596 --> 01:27:14.582]  And stacked away perfectly, in perfect order, like an OCD person's desk!
[01:27:15.785 --> 01:27:23.968]  It's like, imagine walking up to an OCD person's desk, and you know, pushing the stapler to the other side, and then they get back and they're like, oh my gosh, how did my stapler get on the right side of my desk?
[01:27:23.968 --> 01:27:24.748]  What is going on?
[01:27:24.748 --> 01:27:27.049]  And then they have like a panic and a breakdown.
[01:27:27.049 --> 01:27:28.290]  Everybody knows people like this.
[01:27:28.290 --> 01:27:28.990]  It's a mental thing.
[01:27:28.990 --> 01:27:30.510]  It's a psychological thing.
[01:27:30.510 --> 01:27:31.871]  People have been diagnosed with these things.
[01:27:31.871 --> 01:27:33.371]  People know that they're OCD.
[01:27:33.371 --> 01:27:35.192]  That's the leftist mind.
[01:27:35.192 --> 01:27:37.393]  And so, as soon as you go into the leftist mind,
[01:27:38.874 --> 01:27:49.303]  And you maybe move a box around, or a black man steps out of the box that they put him in, it's total panic, total outrage, total hysteria, and that's where we're at right now.
[01:27:49.303 --> 01:28:05.857]  Because the average leftist has put everything in a box, arranged it perfectly in their mind, and that's what makes them comfortable, because that, no, oh I understand everything, I know everything, I've got everything in the box, perfectly organized, I've labeled everyone, I've identified everybody, I get it.
