[00:00.000 --> 00:29.960]  There is all kinds of important developments that have happened in the last 24 hours.
[01:23:49.960 --> 01:24:02.960]  So all of this stuff, the Jesse or Jesse, whatever, however you say his name, the hoax, it's meant to make us feel isolated by ourselves and alone.
[01:24:02.960 --> 01:24:12.960]  That's my take. Because here's the thing. I understand the mindset of a politician or a political movement that engages in propaganda warfare like that.
[01:24:12.960 --> 01:24:16.960]  That's how you seize power. That's how you attack your enemies.
[01:24:16.960 --> 01:24:24.960]  But it appears as of now that Smollett is just some actor. What do you think his motivation is?
[01:24:24.960 --> 01:24:29.960]  Is this just how every leftist thinks? Is this just the very fabric of every leftist?
[01:24:29.960 --> 01:24:34.960]  Could he be working perhaps for a Democrat operative? I mean, could that be the case here?
[01:24:34.960 --> 01:24:41.960]  Or do you really think that this is just the average leftist that just wants to stage things like this to try to destroy this country and this culture?
[01:24:41.960 --> 01:24:49.960]  Honestly, I don't know. I mean, from what I see around, I mean, there's tons of hoaxes.
[01:24:49.960 --> 01:24:56.960]  There's average everyday people. They can't all be operatives, but there's just average everyday people that think it's a good idea
[01:24:56.960 --> 01:25:03.960]  that if they can hurt the president in any way or hurt the movement in any way, that they'll just do it.
[01:25:03.960 --> 01:25:09.960]  And they don't think about the consequences. They don't expect that there's going to be consequences because there never are.
[01:25:09.960 --> 01:25:19.960]  So these hoaxes, I did want to mention that there's a website there, the hatehoax.org, that I haven't even been able to get on right now
[01:25:19.960 --> 01:25:25.960]  because there's been so much traffic there. And it lists all of the hoaxes from the last two to three years.
[01:25:25.960 --> 01:25:33.960]  And it's a ridiculous number. And that just proves that they think they're going to get away with it.
[01:25:33.960 --> 01:25:38.960]  You know, I'm glad you brought that up because I want to use that as an example, and I've been saying this.
[01:25:38.960 --> 01:25:46.960]  Even the littlest action, even the smallest action, even something you think is tiny and insignificant can play a major, major impact.
[01:25:46.960 --> 01:25:56.960]  I guarantee you, the creators of that website, hatehoax.org, when they originally created it and continue to add to it and build the database,
[01:25:56.960 --> 01:26:03.960]  they probably had sometimes wondered if it was worth it, wondered if it wasn't futile, wondered if there was any reason to do it,
[01:26:03.960 --> 01:26:12.960]  and then boom, this happens, it goes viral, they get millions of views, and now the entire purpose all plays out right there.
[01:26:12.960 --> 01:26:19.960]  And so that's why I try to tell people, just take action, begin somewhere. You don't know when your actions can change the world.
[01:26:19.960 --> 01:26:25.960]  You don't know when the smallest actions can change everything. I mean, like I said, when you first started making memes,
[01:26:25.960 --> 01:26:29.960]  did you ever think you'd be shared by the president featured on Infowars?
[01:26:29.960 --> 01:26:35.960]  I always hoped I would, but I never thought that I would.
[01:26:35.960 --> 01:26:42.960]  To your point there, if they had not created that website, how would we find all of these things?
[01:26:42.960 --> 01:26:50.960]  Because I don't know if you've tried to look stuff up, but if you try to look up any of these things, they're buried under thousands of other stuff.
[01:26:50.960 --> 01:27:01.960]  Like, you can't even find them. It's really hard. If you're not keeping track and you're keeping a record of it, Google buries it, Twitter buries it, Facebook, all of them.
[01:27:01.960 --> 01:27:12.960]  YouTube can't find it. Yeah, yeah, and I even think this is a conspiracy theory, but I think that Google's just the entire SEO of Google has become so big now
[01:27:12.960 --> 01:27:20.960]  that their algorithms basically now trump all other SEOs somehow, because it's even harder to find this stuff on the other search engines out there.
[01:27:20.960 --> 01:27:26.960]  And you know Google's working their algorithms to bury these stories. I mean, you can basically learn that in real time.
[01:27:26.960 --> 01:27:38.960]  Right. I had an idea given to me probably eight months back, and I couldn't do it, because I didn't have the time to go sift through all of the footage.
[01:27:38.960 --> 01:27:46.960]  I thought it would be easy. All I was looking for was videos of mainstream media people saying Trump is racist.
[01:27:46.960 --> 01:27:54.960]  It's said every day, it's said all the time, but if you go looking in YouTube, it's impossible to find those clips.
[01:27:54.960 --> 01:28:02.960]  You've got to go through. You've got to come through everything. All right, we got 60 seconds. Now look, if you don't want to get into this, I understand, but I need an answer here.
[01:28:02.960 --> 01:28:10.960]  Can you confirm or deny that you were the character featured in Make Love Not Warcraft in South Park?
[01:28:10.960 --> 01:28:17.960]  Now we've got the clip. Okay, we've got the clip and there've been some theories. Okay, there've been some theories.
[01:28:17.960 --> 01:28:27.960]  It's brandied about here that this character from South Park, Make Love Not Warcraft, is actually based on you. Now, can you confirm or deny these claims right now?
[01:28:27.960 --> 01:28:31.960]  Can these claims be confirmed or denied right now in the Alex Jones show?
[01:28:31.960 --> 01:28:34.960]  I can't confirm or deny right now.
[01:28:34.960 --> 01:28:41.960]  Can Carpe Donkton confirm or deny that he was featured in South Park? Can you confirm or deny?
[01:28:41.960 --> 01:28:46.960]  I can't confirm or deny. I just know that Info Wars is the sort of thousand truths.
[01:28:46.960 --> 01:28:54.960]  All right, folks, we're going to have to dig deeper into this mystery. It's Carpe Donkton. He's meme legend at Carpe Donkton on Twitter. Follow him now.
[01:29:16.960 --> 01:29:28.960]  I was 17 when I became addicted to heroin and meth. I thought I could quit on my own, but I couldn't. It hit me when I was arrested.
[01:29:46.960 --> 01:30:05.960]  Listen, I'm just going to tell this for something right now. I think our best products, our body's ultimate turmeric formula with a 95% curcuminoid level that no other company got.
[01:30:05.960 --> 01:30:10.960]  Nobody else did because everybody else, they put in a little bit of product and then they do a bunch of advertising and promoted.
[01:30:10.960 --> 01:30:16.960]  And this is 95% curcuminoid. Nobody else has that bright yellow school bus color. That's what you're looking for.
[01:30:16.960 --> 01:30:19.960]  It's got it. Find out about bodies today at infowarstore.com.
[01:30:19.960 --> 01:30:22.960]  We have the best fish oil out there. We have Honor Roll for kids.
[01:30:22.960 --> 01:30:29.960]  There's concentrated little bitty capillots, gel capillots. We also have for adults the ultimate krill oil that is so pure, so good.
[01:30:29.960 --> 01:30:36.960]  We have the ultimate fish oil as well. All three of those. Everybody. Energy for healthy life, for brain, for heart. These are the best.
[01:30:36.960 --> 01:30:46.960]  infowarstore.com. And then don't forget, ladies and gentlemen, we have our newest turbo force for folks in the military or doctors or long haul truck drivers or airline pilots or whatever.
[01:30:46.960 --> 01:30:54.960]  This is the cleanest burning wide spectrum, new tropic energy beyond energy drink. Super strong, super healthy, super amazing turbo force.
[01:30:54.960 --> 01:30:58.960]  I believe it's become our number one best selling product. You need to try turbo force today.
[01:30:58.960 --> 01:31:15.960]  For those looking for the ultimate source of energy for their day, every day, the brain synergy combo is here. Combining the powerful turbo force and brain force plus new tropic formulas, this combo has what you need to hit your maximum potential every day.
[01:31:15.960 --> 01:31:32.960]  Take the tasty tropical berry flavored turbo force instant drinks with you on the go or at work to help provide you with focus, clarity and energy and to reach your full potential. Hit the next generation of advanced neural activation with the brain force plus new tropic.
[01:31:32.960 --> 01:31:42.960]  A fan favorite formula fueled by powerful time tested ingredients for a true 360 win. With this combo, you can have energy wherever you need it.
[01:31:42.960 --> 01:31:54.960]  At home, on the go, in the car and more. Get pure energy on tech and take advantage of old and new info wars powerhouse formulas with the brain synergy combo.
[01:31:54.960 --> 01:31:57.960]  Head to infowarstore.com today.
[01:31:57.960 --> 01:32:08.960]  We've taken thousands of years of known research and put it together with our own four years of seeking and testing to find the very best systems that God gave us through Mother Nature to detoxify the body.
[01:32:08.960 --> 01:32:21.960]  That's why I'm introducing ZShield. Toxic metal and chemical defense support. It's made in the USA. It's filled with known compounds from nature that are absolutely associated with detoxifying the body and it supports the info war.
[01:32:21.960 --> 01:32:33.960]  It is a classical 360 win. This is the formula that I personally have been taking for over a year and now we believe we have come as close to perfection when it comes to a detoxifier as you can possibly get.
[01:32:33.960 --> 01:32:44.960]  You owe it to yourself. You owe it to your family and you owe it to the future of this country in the world that patriots stay as healthy and as clean and as focused as you can be because we need you.
[01:32:44.960 --> 01:32:52.960]  The remnant of America to reignite those brush fires the next level and to be healthy and as focused as you can be. Thanks to your support and your prayers together.
[01:32:52.960 --> 01:32:57.960]  We're changing the world. Now it's time to change our bodies with ZShield and infowarslife.com.
[01:32:57.960 --> 01:33:04.960]  You're listening to the Alex Jones show.
[01:33:28.960 --> 01:33:47.960]  There is no debate. There's a national emergency at the southern border. No matter which way you slice it.
[01:33:47.960 --> 01:33:58.960]  Now I'm joined in studio by Stuart Rhodes from oathkeepers.org. Dr. Edwin Vieira joins us over Skype Edwin Vieira dot com.
[01:33:58.960 --> 01:34:09.960]  His bio very long and impressive studied at Harvard for many many years holds many degrees been practicing law for a long time studying constitutional issues for a long time.
[01:34:09.960 --> 01:34:28.960]  So he's going to join us now newswithviews.com is where you can find some of his stuff as well. And we're going to talk about what the president needs to do at the southern border and what the range of his powers are when it comes to getting the job done.
[01:34:28.960 --> 01:34:41.960]  So Stuart good to have you in studio again. Dr. Edwin Vieira good for you to join us. Stuart why don't you kind of pitch this to Dr. Vieira just as to how you think or what you think the president needs to do.
[01:34:41.960 --> 01:34:52.960]  I know that Dr. Vieira is actually working on a recommendation right now. Yes I asked Dr. Vieira to write up his recommendations for President Trump and we'll do our best to put in the president's hands.
[01:34:52.960 --> 01:35:03.960]  So Dr. Vieira if you could talk to Trump right now what would you tell him that he could do and should do to strengthen his position and do the right thing.
[01:35:03.960 --> 01:35:19.960]  Well I think first of all he might flesh out that proclamation that he promulgated the other day because what he is certainly going to be faced with is a series of judicial challenges to that.
