[00:00:01.667 --> 00:00:03.728]  It's Wednesday the 19th.
[02:04:21.417 --> 02:04:25.298]  Absolutely, Alex, and thank you for saying that.
[02:04:25.298 --> 02:04:31.300]  Yeah, there's an unprecedented level of character assassinations, attempted marginalization out there right now.
[02:04:31.300 --> 02:04:32.900]  Stay there, we're going to cover when we come back.
[02:04:32.900 --> 02:04:40.523]  For folks that don't know, the White House regulations are three papers, Chicago Business School, Harvard, and the White House, how they do this on the web.
[02:04:40.523 --> 02:04:41.423]  And let me tell you, they're doing it.
[02:04:42.003 --> 02:04:44.908]  The only time I mention it is so people understand the game.
[02:04:44.908 --> 02:04:52.100]  You try to go out and start a blog or something, talk about freedom, they're going to come accuse you of something horrible to get you to freak out and respond to it or quit.
[02:04:52.100 --> 02:04:53.402]  That means you're having an effect.
[02:04:53.402 --> 02:04:55.566]  Just ignore them, double what you're doing.
[02:04:59.139 --> 02:05:03.742]  The average person's life is filled with unexpected challenges.
[02:05:03.742 --> 02:05:10.107]  Unlock the energy it takes to defeat these daily beasts with super male or super female vitality.
[02:05:10.107 --> 02:05:19.533]  Specifically designed to assist the body in regulating proper hormone balance to create superior vitality in males and females.
[02:05:19.533 --> 02:05:24.357]  Supercharge and conquer your world at Infowarslife.com or call 1-888-253-3139.
[02:05:29.110 --> 02:05:32.751]  The government's Department of Homeland Security is buying up loads of ammo.
[02:05:32.751 --> 02:05:37.032]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[02:05:37.032 --> 02:05:38.812]  Can you put two and two together?
[02:05:38.812 --> 02:05:46.674]  Infidel Body Armor can stop every round, including hollow points and .308 sniper rounds, is reasonably priced, and fully legal.
[02:05:46.674 --> 02:05:47.815]  But for how long?
[02:05:47.815 --> 02:05:50.015]  Go to InfidelBodyArmor.com.
[02:05:50.015 --> 02:05:54.456]  Spelled I-N-F-I-D-E-L BodyArmor.com.
[02:05:54.456 --> 02:05:57.257]  Infidel Body Armor just won't quit.
[02:05:59.013 --> 02:06:00.254]  Another major health threat.
[02:06:00.254 --> 02:06:05.236]  This one in Toledo, Ohio, where everybody in the entire city has been told not to drink the water.
[02:06:05.236 --> 02:06:07.917]  Ohio's governor declaring a state of emergency.
[02:06:07.917 --> 02:06:14.960]  Did you know that the average person uses about 80 to 100 gallons of water at home every single day?
[02:06:14.960 --> 02:06:17.941]  If there's a water emergency, will you be prepared?
[02:06:17.941 --> 02:06:20.903]  Panicked residents forming long lines throughout the day.
[02:06:20.903 --> 02:06:22.924]  We're here at a supermarket in Toledo.
[02:06:22.924 --> 02:06:25.745]  You can see the shelves empty where water once was.
[02:06:25.845 --> 02:06:31.569]  To stay safe and healthy during a crisis, you must have access to safe, clean water.
[02:06:31.569 --> 02:06:35.072]  Water which will not be available at your local grocery store.
[02:06:35.072 --> 02:06:38.174]  There's a mad dash on right now to stock up on supplies.
[02:06:38.174 --> 02:06:42.457]  The ProPure ProOne G2.0 water filtration system is a must-have.
[02:06:42.597 --> 02:06:45.478]  For every modern independently minded household.
[02:06:45.478 --> 02:06:48.699]  Protect your family's safety during an emergency.
[02:06:48.699 --> 02:06:55.941]  Go to Infowarsstore.com today to purchase your ProPure Pro1 G2.0 water filtration system or call 1-888-253-3139.
[02:06:55.941 --> 02:07:00.782]  Aging starts at the cellular level.
[02:07:00.782 --> 02:07:04.443]  When cells become toxic, they die early and aging sets in.
[02:07:05.303 --> 02:07:09.766]  In the past decade, we have witnessed unparalleled scientific discoveries.
[02:07:09.766 --> 02:07:17.071]  During that period, key patented compounds have focused on mitochondrial growth, nerve growth, and rejuvenation.
[02:07:17.071 --> 02:07:26.157]  But no one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[02:07:26.357 --> 02:07:31.901]  We now have the synergistic solution, DNA Force, just one of the key compounds.
[02:07:31.901 --> 02:07:39.506]  BioPQQ is backed by major clinical studies and over 175 PubMed-listed published studies.
[02:07:39.506 --> 02:07:42.068]  You want the best that's out there at the lowest price anywhere?
[02:07:42.068 --> 02:07:47.192]  The ultimate value, cutting-edge, trailblazing game-changer that also supports the Info War.
[02:07:47.552 --> 02:07:52.501]  Secure your DNA Force today at InfoWarsLife.com or call toll free 888-253-3139.
[02:07:52.501 --> 02:07:53.523]  DNA Force from InfoWarsLife.
[02:08:12.899 --> 02:08:19.663]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[02:08:19.663 --> 02:08:24.146]  It's Alex Jones.
[02:08:24.146 --> 02:08:32.252]  Our governments have been taken over by scientific institutions, megacorporations owned by foreign banks that control the issuance of currency.
[02:08:32.252 --> 02:08:38.576]  They've taken over the planet by fraud and graft and insider dealings, not by innovation.
[02:08:40.219 --> 02:08:54.925]  The only thing they've innovated is being dishonorable and creating systems of mental manipulation and illegally engaging in PsyOps, which they've now legalized in once wealthy, virtuous nations.
[02:08:54.925 --> 02:08:57.666]  And so these crooks could run things and do horrible things.
[02:08:57.666 --> 02:09:00.228]  They've successfully dumbed down a lot of the public.
[02:09:00.228 --> 02:09:03.269]  The problem is you haven't dumbed down a large quadrant.
[02:09:04.031 --> 02:09:06.433]  And we are not going to be fed into the woodchipper headfirst.
[02:09:06.433 --> 02:09:08.194]  Sorry, not happening.
[02:09:08.194 --> 02:09:14.239]  President Obama, I don't know why I said Friday, President Obama to make the announcement on immigration tomorrow.
[02:09:14.239 --> 02:09:20.944]  It's already been made in January, legalizing all the illegals that are here, letting the parents come in with the kids.
[02:09:20.944 --> 02:09:28.750]  They're set to announce they're going to give basically the equivalent of political asylum to any child in the world.
[02:09:28.750 --> 02:09:31.532]  And Homeland Security is saying it's going to cause a giant influx, prepare.
[02:09:32.779 --> 02:09:39.605]  They'll get here and basically sign on to welfare and be wards of the state.
[02:09:39.605 --> 02:09:43.129]  This is how you checkmate a public that's waking up.
[02:09:43.129 --> 02:09:49.114]  I mean, a basic sign-up is to say, all Hispanics want open borders, because Latin America is south of us.
[02:09:49.114 --> 02:09:58.303]  There are polls out where 65% or more of American Hispanics, not just counting citizens, but just polled, a lot of them who aren't citizens, said no.
[02:09:59.670 --> 02:10:02.331]  I mean, they're running from the third world.
[02:10:02.331 --> 02:10:06.991]  We will turn into the third world as Ross Perot said if this continues.
[02:10:06.991 --> 02:10:08.892]  It's already happening.
[02:10:08.892 --> 02:10:13.193]  And then it's political checkmate because we're just a third world country.
[02:10:13.193 --> 02:10:15.633]  And that's what this political elite want to do.
[02:10:15.633 --> 02:10:17.434]  They really want to conquer gun owners.
[02:10:17.434 --> 02:10:19.174]  They really want to conquer the churches.
[02:10:19.174 --> 02:10:22.034]  They really want to conquer and really have their way.
[02:10:22.034 --> 02:10:29.296]  We're the enemy to the fascistic mentally ill left and the Republican cohorts.
[02:10:30.563 --> 02:10:31.723]  At the top.
[02:10:31.723 --> 02:10:43.347]  Hagman and Hagman, I want to race through calls Kevin in Canada and Chris and Carl and Sledgehammer and Joseph and get quick comments on what they think the big event is in 2015 coming up.
[02:10:43.347 --> 02:10:46.508]  But I think this amnesty has already happened and is the big event.
[02:10:46.508 --> 02:10:55.912]  He may even water it down tomorrow in what he says he's doing because he's already done it by ordering the Borough Patrol to ship the illegals in and complete the smuggling process.
[02:10:55.912 --> 02:10:58.332]  I mean, I don't see what else he could do.
[02:10:58.332 --> 02:10:59.773]  They're already giving them free welfare.
[02:11:00.373 --> 02:11:02.255]  He'll probably lie and say we're not giving him.
[02:11:02.255 --> 02:11:07.299]  I mean, I expect a whitewash tomorrow to pacify what he's already done.
[02:11:07.299 --> 02:11:08.640]  That's how PsyOps works.
[02:11:08.640 --> 02:11:09.401]  What do you think, Doug?
[02:11:10.233 --> 02:11:22.262]  Well, Alex, last night MSNBC, Rachel Maddow, all of the programming on MSNBC, painful to watch, but nonetheless, basically just confirmed everything you said.
[02:11:22.262 --> 02:11:24.924]  This, yeah, it's being laid out.
[02:11:24.924 --> 02:11:26.766]  There's nothing new under the sun.
[02:11:26.766 --> 02:11:33.531]  It's going to be, Alex, it's going to be a balkanization of this country through executive fiat.
[02:11:34.938 --> 02:11:45.555]  And by the way, with the imprimatur of the GOP Republican Party, this political paradigm is no longer functional.
[02:11:45.555 --> 02:11:47.338]  That's right, just completely out of control.
[02:11:47.338 --> 02:11:48.600]  Joe, you got a take on this?
[02:11:49.417 --> 02:11:50.397]  Yeah, absolutely.
[02:11:50.397 --> 02:11:56.780]  And this will speak to the lack of how politics or whether Republicans or Democrats will fix the situation.
[02:11:56.780 --> 02:12:01.262]  And we'll see Obama use an executive order such as the amnesty program.
[02:12:01.262 --> 02:12:06.784]  And you'll see the House and the Senate not take any action to repeal it and just let it go.
[02:12:06.784 --> 02:12:09.806]  This is knowing that they're just, Obama's a figurehead.
[02:12:09.806 --> 02:12:14.488]  He's a puppet for the masters, a timepiece if you will.
[02:12:14.488 --> 02:12:16.689]  He just reads what is written for him to read.
[02:12:17.989 --> 02:12:25.295]  And one more thing, just watch the arguments will be, the arguments in favor of amnesty will be.
[02:12:25.295 --> 02:12:26.075]  It was done in 1986.
[02:12:26.075 --> 02:12:29.438]  It was done prior to that.
[02:12:29.438 --> 02:12:31.359]  So it is with precedent.
[02:12:31.359 --> 02:12:32.120]  That's the argument.
[02:12:32.120 --> 02:12:39.025]  And by the way, Congress had already passed accompanying laws, and then Reagan simply directed agencies to comply with it.
[02:12:39.025 --> 02:12:44.509]  And that's what George Herbert Walker Bush, the numbers were much lower, and these weren't people with felony records.
[02:12:45.290 --> 02:12:48.678]  And did it make people end up voting Republican?
[02:12:48.678 --> 02:12:49.661]  No it didn't!
[02:12:49.661 --> 02:12:51.746]  Because the Republicans weren't handing out as much welfare.
[02:12:51.746 --> 02:12:52.668]  It doesn't work!
[02:12:53.581 --> 02:12:58.942]  And then you'll just have this immigrant group coming in, being enslaved by the next immigrant group they bring in.
[02:12:58.942 --> 02:13:03.743]  I mean, this is treason with a capital T. I want to go to calls, but the break cut you off.
[02:13:03.743 --> 02:13:15.346]  We were getting into Cass Sunstein, the White House regulations are six years ago, well, eight years ago at Chicago Business School and eight years ago at Harvard, but six years ago for the White House codified it on how to go on the Internet.
[02:13:15.766 --> 02:13:17.408]  How to Spam Racial Division.
[02:13:34.870 --> 02:13:43.794]  To respond to the character assassination, to make our show about that, so the millions of listeners tune in and tune out, going, I don't want to hear about you all day.
[02:13:43.794 --> 02:13:48.556]  I'm only warning other shows how to not be destroyed, because I want competition.
[02:13:48.556 --> 02:13:50.096]  I want more people out there.
[02:13:50.096 --> 02:13:51.517]  I want unawakening.
[02:13:51.517 --> 02:13:53.378]  I want to be made obsolete.
[02:13:53.378 --> 02:13:56.659]  It's dangerous being as big as I am, and, you know, tip of the spear here.
[02:13:56.659 --> 02:14:01.841]  I'm excited about all the success you and so many others are having, and so I know you've gone through that.
[02:14:01.841 --> 02:14:04.102]  But what's frustrating is we have the manuals.
[02:14:04.522 --> 02:14:06.503]  We know how they do it.
[02:14:06.503 --> 02:14:08.985]  I mean, do you see politicians responding to us when we attack them?
[02:14:08.985 --> 02:14:09.725]  No.
[02:14:09.725 --> 02:14:13.408]  Well, see, we shouldn't respond to fake, frivolous garbage or care.
[02:14:13.408 --> 02:14:20.032]  Now, when MSNBC says I'm behind the Boston bombings and deeply racist, I point out that they're bankrupt and a joke.
[02:14:20.032 --> 02:14:22.553]  But not because I'm even hurt by it.
[02:14:22.553 --> 02:14:25.075]  It just shows how they're whistling past the graveyard there.
[02:14:25.075 --> 02:14:26.796]  But brief comments on that and we're going to calls.
