[00:00.000 --> 00:22.120]  information wars tomorrow's news today and at the moment in most parts of the
[01:39:36.780 --> 01:39:44.780]  It looks like it's having no impact on the burden of disease. And it might actually be hurting people. There's no informed consent.
[01:39:44.780 --> 01:39:51.780]  So here we are. Our government is still recommending this poison to people. It doesn't make sense to me.
[01:39:51.780 --> 01:39:56.780]  And the problem, it's a slippery slope. You go as a scientist like me, I worked for the government for a number of years.
[01:39:56.780 --> 01:40:05.780]  Everyone thinks I'm deep state fine. I'm deep state. But they violated my trust too. And through that process, I now question everything that they tell me.
[01:40:05.780 --> 01:40:18.780]  What can you believe from these people? A simple fact that I like to point out to the naysayers on Twitter about this is that the vast majority of scientific research in medicine and psychology cannot be replicated.
[01:40:18.780 --> 01:40:23.780]  They call it the replication crisis. And there's a reason for that. If it can't be replicated, it's not valid.
[01:40:23.780 --> 01:40:29.780]  But they don't want you to know that the government doesn't pay to replicate studies. And this problem has been going on for years.
[01:40:29.780 --> 01:40:33.780]  And now they're just pushing this product on people to basically keep a new economy going.
[01:40:33.780 --> 01:40:43.780]  Well, that's right. And we end the last segment with the harassment, with them breaking into your new security system to finish up with the harassment.
[01:40:43.780 --> 01:40:46.780]  Has the harassment stopped now because it didn't work? Or what's happening?
[01:40:46.780 --> 01:40:51.780]  Well, yeah. I mean, basically, I beat these guys. I mean, the height of it is I actually got in a gunfight with these guys on my property.
[01:40:51.780 --> 01:40:57.780]  I reported to the Michigan State Police. Nobody showed up. There's witnesses to this. My neighbor is my wife. It was a prolonged engagement.
[01:40:57.780 --> 01:40:59.780]  That's what we call it in the military. It was an hour long.
[01:40:59.780 --> 01:41:02.780]  Well, let me describe that story. Tell us about that.
[01:41:02.780 --> 01:41:12.780]  Well, it was simple. So I was sitting in my house, actually, in the room next door. And there was a man hiding in the bushes who was armed operating a small drone around my house.
[01:41:12.780 --> 01:41:19.780]  Well, who cares about the small drone, but I have an armed guy trespassing on my property. So I did what any American would do out in a rural area.
[01:41:19.780 --> 01:41:24.780]  This is a standard ground state. I grabbed my firearms and I went after them. I called the police first. I told them there was an armed trespasser on my property.
[01:41:24.780 --> 01:41:32.780]  When I went after them, they shot at me. Actually, they turned at me with a firearm in his pocket. And that's when I started to shoot at them.
[01:41:32.780 --> 01:41:38.780]  And then they started to return fire back across the swamp. I owned 200 acres in a remote area. You know, the whole thing is...
[01:41:38.780 --> 01:41:48.780]  Which is a lesson, everybody. You fired back at the real... You know, people say, oh, you've worked for the deep state. Yeah, we should be ready to have defectors back to America who were never bad and wake up and tell the truth.
[01:41:48.780 --> 01:41:56.780]  The key to bringing them down is going to be people like you and Edward Snowden. It's going to be insiders. So when you finally shot back at them, they went away after that.
[01:41:56.780 --> 01:42:03.780]  They ran away and they actually... I had them pinned down so bad, this gentleman deployed what's known as a tactical rescue beacon.
[01:42:03.780 --> 01:42:08.780]  I hadn't seen one of these things in the military. And I laughed. Well, I mean, I'm sort of happy that I had on top of this guy.
[01:42:08.780 --> 01:42:17.780]  But this guy actually deployed something into the sky that made a sonic noise and emitted, I'm guessing, other technology. So rescue vehicles would come to his location.
[01:42:17.780 --> 01:42:22.780]  I mean, you can't make this stuff up. The rescue vehicles actually came down to the front of my driveway of a mile-long driveway.
[01:42:22.780 --> 01:42:28.780]  And they were waiting to pick this person up. When I came back, I had my wife call the Sheriff's Department again to find out where the heck they were.
[01:42:28.780 --> 01:42:40.780]  I reloaded. I went back to the point where I thought this person was escaping. And the Sheriff's Department actually went by my driveway with their sirens on at about 100 miles an hour.
[01:42:40.780 --> 01:42:49.780]  And I couldn't believe it. I mean, I was just shocked. And I did an interview with Majid Nawaz after this shortly happened with my wife, who's a professor at Michigan State University.
[01:42:49.780 --> 01:42:52.780]  I mean, and she was the first-hand witness to all this.
[01:42:52.780 --> 01:42:58.780]  I hear you just stay there. It's just incredible what they do. They're intimidation backfired.
[01:43:22.780 --> 01:43:30.780]  And you can do that now at infowarstore.com. Help us clear out our stock of bodies tumored.
[01:43:30.780 --> 01:43:40.780]  Vitamin C with zinc and alpha power. Turn those shady Federal Reserve notes into the highest quality supplements available while they still last.
[01:43:40.780 --> 01:43:52.780]  Now, with free shipping, we thank you for your support. And we wish you a very peaceful, happy, and merry Christmas.
[01:43:52.780 --> 01:44:11.780]  The powerful combination of both vitamin C and zinc are great stepping stones to leading a healthier life. InfoWars has made it easier to make sure you're getting enough in your system with a supplement that contains both.
[01:44:11.780 --> 01:44:25.780]  This InfoWars life offering vitamin C plus zinc with rose hips should be your next purchase from the InfoWars store. The rose hips contained within are a part of the rose flower just below the petals that contain the rose plant seeds.
[01:44:25.780 --> 01:44:36.780]  Natural chemicals found in the hips may even be helpful for a variety of health conditions, including those with osteoarthritis and for those with pain after surgery studies have shown.
[01:44:36.780 --> 01:44:45.780]  As for vitamin C and zinc themselves, you probably already know that they play an important role in nutrition, immune defense, and the maintenance of your everyday health.
[01:44:45.780 --> 01:44:52.780]  It has been reported that intake of both is often inadequate, even in affluent populations like here in America.
[01:44:52.780 --> 01:44:58.780]  So next time you visit, be sure to check it out at infowarsstore.com where we promise our rose hips don't lie.
[01:44:58.780 --> 01:45:10.780]  So when I first started taking survival shield, basically I was 275 pounds overweight. I had brain fog like you wouldn't believe. I was barely holding on to a job and I heard Dr. Group on your show and I listened to it.
[01:45:10.780 --> 01:45:17.780]  So the first one I got was the original survival shield, the X1. And it worked pretty good. And then shortly thereafter you came out with that.
[01:45:17.780 --> 01:45:30.780]  You know, with a deep burden source, you know, and I got really excited about that. So I took it. And man, in two weeks, I went from brain fog to like literally like my brain was enlightened, you know, I could think again, I could connect with people again.
[01:45:30.780 --> 01:45:39.780]  And over the course of the next couple of years, I got my health back and I religiously take basically all of your supplements. They're all absolutely amazing supplements.
[01:45:39.780 --> 01:45:44.780]  The one I like recently is knockout literally like if you want to sleep, just take it. It's amazing. It works.
[01:45:44.780 --> 01:45:49.780]  But anyway, so the point is we have to get ourselves clean. We have to break free of the globalist system.
[01:45:49.780 --> 01:45:53.780]  And the only way to do that is to take our own health into our own hands.
[01:45:53.780 --> 01:45:58.780]  Beautifully said, brother. I thank you so much for your call and Godspeed.
[01:45:58.780 --> 01:46:07.780]  It's a post COVID world now. Americans have lost trust in their doctors and the healthcare system. There's a solution. The wellness company.
[01:46:07.780 --> 01:46:22.780]  I'm Dr. Peter McCullough and I'm the chief scientific officer. And I can tell you firsthand that these verticals of uncensored content, virtual appointments, doctors on demand, prescriptions through a network of community pharmacies in home,
[01:46:22.780 --> 01:46:39.780]  in vitro diagnostics, laboratory testing, imaging, an online set of holistic products can help guide you for your usual general medical care, but also COVID-19 acute and post COVID syndromes, vaccine injury syndromes,
[01:46:39.780 --> 01:46:46.780]  and the array of things that now America has to work through in this new world that we're living in.
[01:46:46.780 --> 01:46:56.780]  So go to onlinehealthnow.com and check out the wellness company for a low monthly fee. You can get started today and on a pathway to better health.
[01:47:17.780 --> 01:47:22.780]  And then loaded phones, your calls, one after the other in the third hour.
[01:47:22.780 --> 01:47:31.780]  Dr. Andrew Huff, the truth about Wuhan, we're going to take a special hour long commercial free show this Saturday at noon, later about two o'clock or so.
[01:47:31.780 --> 01:47:35.780]  I was going to add a bunch of documents and clips to it, but that'll be out Saturday. We're live right now.
[01:47:35.780 --> 01:47:40.780]  The book, The Truth About Wuhan, available on Amazon.com, Skyhors Publishing, you name it.
[01:47:40.780 --> 01:47:47.780]  And everything he's saying is document. He was the Vice President of EcoHealth Alliance. He did release all this info that turned out to be very accurate.
