[00:01.000 --> 00:05.000]  You're listening to the Alex Jones show.
[01:39:14.000 --> 01:39:18.000]  And you've got this evil combination. That's what it is.
[01:39:18.000 --> 01:39:20.000]  Like a legion of doom.
[01:39:20.000 --> 01:39:24.000]  And then all their minions that are their useful idiots
[01:39:24.000 --> 01:39:26.000]  who are totally invested in the system.
[01:39:26.000 --> 01:39:28.000]  I'm going to play Brennan again here in a moment,
[01:39:28.000 --> 01:39:30.000]  but first I'm going to play Rand Paul.
[01:39:30.000 --> 01:39:34.000]  But here they are confirming everything we've said.
[01:39:34.000 --> 01:39:36.000]  And I don't keep saying every segment.
[01:39:36.000 --> 01:39:38.000]  See, I was right at the end.
[01:39:38.000 --> 01:39:44.000]  I'm explaining there after me because I've read over a thousand history books.
[01:39:44.000 --> 01:39:49.000]  I used to stay up till 2, 3 in the morning almost every day.
[01:39:49.000 --> 01:39:54.000]  Three books from ancient Greece and Rome and World War II and World War I.
[01:39:54.000 --> 01:39:58.000]  And by learning history, I learned how statecraft worked.
[01:39:58.000 --> 01:40:02.000]  I learned about court intrigue. I learned about secret societies.
[01:40:02.000 --> 01:40:05.000]  I learned about COG.
[01:40:05.000 --> 01:40:09.000]  I'm not bragging. I was just the type that would watch C-SPAN when I was in high school and college.
[01:40:09.000 --> 01:40:13.000]  I'm the type of weirdo that would watch the re-airing on PBS of Watergate hearings.
[01:40:13.000 --> 01:40:15.000]  I'm the type of guy that would watch Frontline.
[01:40:15.000 --> 01:40:22.000]  And back when it was a good show about COG and plans they had to have martial law back in the 80s.
[01:40:22.000 --> 01:40:27.000]  They didn't go there, but now I'm seeing what they had planned then.
[01:40:27.000 --> 01:40:29.000]  They're crazy enough to try it.
[01:40:29.000 --> 01:40:34.000]  They didn't try it before because there was a good chance they'd end up going to prison.
[01:40:34.000 --> 01:40:36.000]  The realists are more wild now.
[01:40:36.000 --> 01:40:41.000]  They're not really the old guard that actually got power for themselves, that actually ran things.
[01:40:41.000 --> 01:40:48.000]  They were bad, but at least they worked 18 hours a day and had some restraint.
[01:40:48.000 --> 01:40:53.000]  You look at the people running things now, they thought they were going to beat Trump.
[01:40:53.000 --> 01:40:56.000]  It's like they're weak and they're overconfident.
[01:40:56.000 --> 01:41:01.000]  And what is it you learn about these weirdos that get mentally ill and get megalomania?
[01:41:01.000 --> 01:41:08.000]  If they're a manager or some small thing, the more power they get, the crazier they get, that explains all of this.
[01:41:08.000 --> 01:41:12.000]  And Trump is just dead fastly like a leader taking it all, going through it.
[01:41:12.000 --> 01:41:14.000]  And so now is the time.
[01:41:14.000 --> 01:41:16.000]  Everybody needs to pray for Trump.
[01:41:16.000 --> 01:41:17.000]  Pray for info wars.
[01:41:17.000 --> 01:41:24.000]  They need to get these clips we just played and get them out to everybody you know so they understand this is happening.
[01:41:24.000 --> 01:41:27.000]  And then don't pull back and get scared and put your head down.
[01:41:27.000 --> 01:41:29.000]  Putting your head down at a crossroads of history.
[01:41:29.000 --> 01:41:33.000]  You may get ahead putting your head down in different periods of life on average.
[01:41:33.000 --> 01:41:35.000]  You won't be a happy person.
[01:41:35.000 --> 01:41:37.000]  It'll end up leading towards collapse down the road.
[01:41:37.000 --> 01:41:42.000]  But at the end of the line, keeping your head down makes you go over the cliff.
[01:41:42.000 --> 01:41:45.000]  You're like in a canoe about to go over Niagara Falls.
[01:41:45.000 --> 01:41:47.000]  Keeping your head down is going to get you destroyed.
[01:41:47.000 --> 01:41:50.000]  You got to paddle over towards the land.
[01:41:50.000 --> 01:41:52.000]  You still got time.
[01:41:52.000 --> 01:41:53.000]  There's Niagara Falls.
[01:41:53.000 --> 01:41:55.000]  Oh, it's scary here.
[01:41:55.000 --> 01:41:56.000]  Let's put our head between our knees.
[01:41:56.000 --> 01:41:59.000]  Don't have paddles?
[01:41:59.000 --> 01:42:02.000]  You better jump in the water and swim towards the shore.
[01:42:02.000 --> 01:42:03.000]  Are you going to make it?
[01:42:03.000 --> 01:42:04.000]  I don't know.
[01:42:04.000 --> 01:42:09.000]  But I'm growing as hard as I can and I think we got a chance here.
[01:42:09.000 --> 01:42:14.000]  But I'm in the boat with a bunch of people that got their thumbs in their rear ends and I'm not complaining at most of you.
[01:42:14.000 --> 01:42:20.000]  I'm just saying ladies and gentlemen, ladies and gentlemen, I don't tell you about half the stuff goes on behind the scenes.
[01:42:20.000 --> 01:42:22.000]  It's like a James Bond movie, okay?
[01:42:22.000 --> 01:42:27.000]  But I got to tell you, most of their operatives and people I run into now are scared.
[01:42:27.000 --> 01:42:31.000]  They look at us like we're rock stars and you can tell they want to join us.
[01:42:31.000 --> 01:42:32.000]  They're just scared.
[01:42:32.000 --> 01:42:33.000]  They don't like working for the system.
[01:42:33.000 --> 01:42:36.000]  And that's why the globalists are so close to the edge right now.
[01:42:36.000 --> 01:42:43.000]  It's because their minions, a lot of them are corrupt, but they're not psychopaths and they're mercenaries and they just want to have a future.
[01:42:43.000 --> 01:42:46.000]  And they realize there's no future under globalism.
[01:42:46.000 --> 01:42:51.000]  It's about austerity and it's sick and it's failed and it's evil.
[01:42:51.000 --> 01:42:53.000]  And we don't want to be part of this.
[01:42:53.000 --> 01:43:00.000]  Now is the time when the chips are down, which our prognosis is great.
[01:43:00.000 --> 01:43:03.000]  This way is, you know, happy trails and green pastures.
[01:43:03.000 --> 01:43:11.000]  This way is hell on earth, but they're telling us this way towards the green pastures is hell and heavens towards the hellish part.
[01:43:11.000 --> 01:43:14.000]  If people just saw, they go, well, this is easy choice.
[01:43:14.000 --> 01:43:24.000]  But the reason the chips are down is that the enemy is so bold and is publicly promoting coups now and civil war while simultaneously saying it doesn't exist.
[01:43:24.000 --> 01:43:34.000]  When they speak to Davos or Aspen or Bilderberg or Charlie Rose, then it's we want martial law and overthrow because they're talking to intelligentsia.
[01:43:34.000 --> 01:43:37.000]  But when they talk to the public, they're like CNN.
[01:43:37.000 --> 01:43:40.000]  Crazy Alex Jones says there's a plan for a coup.
[01:43:40.000 --> 01:43:42.000]  So he wants to kill Democrats.
[01:43:42.000 --> 01:43:44.000]  Never show you a clip of it.
[01:43:44.000 --> 01:43:45.000]  Do they?
[01:43:45.000 --> 01:43:46.000]  They misrepresent.
[01:43:46.000 --> 01:43:48.000]  Oh, look, he's the cook.
[01:43:48.000 --> 01:43:52.000]  Comedy Central has whole shows now based on me.
[01:43:52.000 --> 01:43:53.000]  Homeland.
[01:43:53.000 --> 01:43:57.000]  So everybody sees him pointed out.
[01:43:57.000 --> 01:44:00.000]  He's the one that just guessed the lottery right 10 times in a row.
[01:44:00.000 --> 01:44:01.000]  He's a cook.
[01:44:01.000 --> 01:44:02.000]  Oh, he just changed the whole world.
[01:44:02.000 --> 01:44:04.000]  Oh, the operating system he rebooted.
[01:44:04.000 --> 01:44:07.000]  Americana has been picked up by the White House word for word.
[01:44:07.000 --> 01:44:11.000]  They figured it out exactly what I say out of the mouths of all these people now.
[01:44:11.000 --> 01:44:12.000]  And that's fine.
[01:44:12.000 --> 01:44:13.000]  I don't want the credit.
[01:44:13.000 --> 01:44:15.000]  The enemy already knows who gets the credit.
[01:44:15.000 --> 01:44:20.000]  They want to tell you, oh, we got all these shows demonizing him on HBO and Showtime and Comedy Central.
[01:44:20.000 --> 01:44:25.000]  And they were attacking him everywhere and saying how evil and bad he is and how he needs to die because he's powerless.
[01:44:25.000 --> 01:44:33.000]  Yeah, we're all obsessed with him because he's powerless.
[01:44:33.000 --> 01:44:35.000]  I am the spirit of 1776.
[01:44:35.000 --> 01:44:36.000]  And so are you.
[01:44:36.000 --> 01:44:38.000]  All I am is a match of flame.
[01:44:38.000 --> 01:44:41.000]  When there's no other flame around, it looks big.
[01:44:41.000 --> 01:44:42.000]  It's amazing.
[01:44:42.000 --> 01:44:48.000]  But all you got to do is set brush fires and soon it's a bigger flame.
[01:44:48.000 --> 01:44:49.000]  And they go, oh, globalist.
[01:44:49.000 --> 01:44:51.000]  I'm just like the whole thing over.
[01:44:51.000 --> 01:44:52.000]  Oh, the fire doesn't hurt us.
[01:44:52.000 --> 01:44:53.000]  It burns them.
[01:44:53.000 --> 01:44:54.000]  Oh, fire goes up.
[01:44:54.000 --> 01:44:55.000]  Oh, oh, you want revolution?
[01:44:55.000 --> 01:44:57.000]  Oh, how about 1776?
[01:44:57.000 --> 01:44:59.000]  Oh, political fires in the minds of men.
[01:44:59.000 --> 01:45:07.000]  Oh, I'm a flamethrower.
[01:45:07.000 --> 01:45:10.000]  And I've already set devastating fires in the enemy camp.
[01:45:10.000 --> 01:45:20.000]  I just want you to recognize we're under the main assault because they know they call me a virus on CNN and on Fox and on MSM, MSNBC.
