[00:00.000 --> 00:09.000]  media. Government cover-ups. You want answers? Well, so does he. He's Alex Jones on the GCN
[1:08:16.000 --> 1:08:23.000]  All right, ladies and gentlemen, for those of you that just joined us, this is live breaking news.
[1:08:23.000 --> 1:08:34.000]  What appears to be this info was put out as they always do that they'd already met as they meet in May or early June in Greece.
[1:08:34.000 --> 1:08:43.000]  Jim Tucker had been covering for 35 years on the ground, the father of exposing the global elite and the secret shadowy cabal that runs our society.
[1:08:43.000 --> 1:08:45.000]  The media just 10 years ago did not even exist.
[1:08:45.000 --> 1:08:55.000]  He has confirmed that it is in Chantilly, Virginia, they met in Istanbul, Turkey last year, 125 of the world's movers and shakers.
[1:08:55.000 --> 1:09:03.000]  He believes they're meeting here in the United States where they don't normally meet because there's a better media blackout because our press is more controlled.
[1:09:03.000 --> 1:09:09.000]  So, Jim, just to recap, go over all the evidence, why you think this isn't another ruse.
[1:09:09.000 --> 1:09:16.000]  And again, he's got them for 35 years straight, never been defeated. Sometimes they find out the day of though that goes on for three days.
[1:09:16.000 --> 1:09:20.000]  You have a source inside Bilderberg who's involved that's confirmed it.
[1:09:20.000 --> 1:09:24.000]  And so you're 100% on where it's being held.
[1:09:24.000 --> 1:09:28.000]  Go over your evidence, Jim Tucker.
[1:09:28.000 --> 1:09:39.000]  Well, they didn't have me nervous and grabbed out of the pair of socks when they talked about the place they had met in Greece a few years ago, being all filled up and so forth.
[1:09:39.000 --> 1:09:47.000]  But they cannot tell me there are armed guards outside the gates, although I was ready to grab out of the pair of socks and run.
[1:09:47.000 --> 1:10:00.000]  But I had some doubts about it, and I called three people, these swell secretaries of three people to always attend Bilderberg meetings under a ruse and a social event.
[1:10:00.000 --> 1:10:07.000]  And they were all going to be in Washington that weekend, so I stayed here, becoming very doubtful.
[1:10:07.000 --> 1:10:28.000]  And then when we got this thing from a Japanese chap telling us that it came off of the Dutch website for domestic consumption or inside the house website saying it would be in Chantilly.
[1:10:28.000 --> 1:10:37.000]  Then I called the Dutch embassy, and they bounced me back to the embassy in the United States, which specifically confirmed Chantilly.
[1:10:37.000 --> 1:10:42.000]  I asked the question twice to make sure there's no misunderstanding, routine of mind.
[1:10:42.000 --> 1:10:45.000]  They're definitely at the Westfields.
[1:10:45.000 --> 1:10:57.000]  Then a man who's an international financial consultant who knows a lot of Bilderberg people personally, he got interested about 20 years ago when I showed him a recent list 20 years ago of participants.
[1:10:57.000 --> 1:11:01.000]  I know this guy, I got to do business with him, and he's always so much fun.
[1:11:01.000 --> 1:11:05.000]  He's helped us locate Bilderberg many times.
[1:11:05.000 --> 1:11:14.000]  Obviously, I can't give his name, but there's one time when they were meeting in some European city.
[1:11:14.000 --> 1:11:15.000]  We knew the city for sure.
[1:11:15.000 --> 1:11:16.000]  We knew the dates for sure.
[1:11:16.000 --> 1:11:19.000]  This precise location we did not know.
[1:11:19.000 --> 1:11:33.000]  I met the press club with my other pair of socks back waiting to take a shuttle to Dulles Airport when he called and named the precise place, the precise location.
[1:11:33.000 --> 1:11:39.000]  I called the newspaper back and they were able to redo page one to put in the precise location.
[1:11:39.000 --> 1:11:55.000]  There's other times when he's been very helpful, he has also talked to his Bilderberg buddy who gave us additional confirmation just this morning that Chantilly is the scene of the crime.
[1:11:55.000 --> 1:12:05.000]  I'm hoping a lot of your listeners and our readers at American Free Press will show up to help make up for the lack of help we'll get from the...
[1:12:05.000 --> 1:12:11.000]  Oh, I'm going to be there. You can absolutely be assured of that, Jim.
[1:12:11.000 --> 1:12:16.000]  You're sure you're going to be staying at the Hilton Hinden?
[1:12:16.000 --> 1:12:23.000]  Okay, let me... Jim, let me do this. When are you going to be at the officer home today?
[1:12:23.000 --> 1:12:27.000]  I'll call and confer like we did last time when I went with you to Canada.
[1:12:27.000 --> 1:12:33.000]  Okay, it's going to be on our website today, including my put-out check-in to whatever hotel it'll all be there.
[1:12:33.000 --> 1:12:38.000]  Yeah, I wonder if they're going to harass me and arrest me like they did when I went to Canada inside the U.S.
[1:12:38.000 --> 1:12:40.000]  This is going to be fine.
[1:12:40.000 --> 1:12:45.000]  I doubt if you don't say anything about Bilderberg on the flight, I doubt they would be.
[1:12:45.000 --> 1:12:46.000]  Yeah.
[1:12:46.000 --> 1:12:51.000]  So many flights into Dallas. If they don't know why you're coming, if you don't...
[1:12:51.000 --> 1:12:53.000]  Well, they surveil everything we do, Jim.
[1:12:53.000 --> 1:12:54.000]  Yeah.
[1:12:54.000 --> 1:12:58.000]  Are you kidding? I mean, because we're here fighting them destroying the country and they can't stand it.
[1:12:58.000 --> 1:13:05.000]  Well, any other key tidbits we need to know. So you're saying you're 100% this isn't a ruse, is that what you're saying?
[1:13:05.000 --> 1:13:06.000]  Yes.
[1:13:06.000 --> 1:13:12.000]  This is triple confirmed. Okay, I'm going to book passage by air right now and bring my crew.
[1:13:12.000 --> 1:13:14.000]  I'm going to get the telephoto lenses out.
[1:13:14.000 --> 1:13:23.000]  Expanding on that, Jim Tucker, in closing, then do you believe this was a planted ruse with what we saw out of the Greek news?
[1:13:23.000 --> 1:13:31.000]  It's possible that some Bilderberg kid put something on the Internet to believe people the wrong way.
[1:13:31.000 --> 1:13:40.000]  I don't know. It's possible because they do not like to be exposed. As usual, they'd prefer.
[1:13:40.000 --> 1:13:47.000]  By now, they're probably aware that there will be public knowledge the way they search Internet and so forth.
[1:13:47.000 --> 1:13:53.000]  Well, this is convenient for you that you live in Virginia. You can just get in the car and drive over.
[1:13:53.000 --> 1:14:01.000]  Well, my home is in a deep central Virginia. I stayed at a motel in Washington, but it is more convenient.
[1:14:01.000 --> 1:14:11.000]  I'll just have to, I'll be checking into the Hilton in Herdon, Virginia, which is where I stayed the last time they were here.
[1:14:11.000 --> 1:14:19.000]  It's the closest motel to the scene of crime, and it's also the cheapest. It's $270 plus tax every day.
[1:14:19.000 --> 1:14:28.000]  That's great. Jason Burmese is going to be sitting in for those days while I'm there. The excitement just continues as we cover the global crime syndicate.
[1:14:28.000 --> 1:14:32.000]  Jim, so how are you going to be at the office today so I can call you?
[1:14:32.000 --> 1:14:37.000]  I really don't know. It depends on how fast I can kick stuff out the door.
[1:14:37.000 --> 1:14:41.000]  Okay, so when I call this home number, that's another part of Virginia.
[1:14:41.000 --> 1:14:48.000]  Yeah, and I won't be there until, let's see, Thursday afternoon.
[1:14:48.000 --> 1:14:55.000]  But if I miss you later after the show today, you're going to be at American Free Press. So I can just call the newspaper, or should I call you in the morning?
[1:14:55.000 --> 1:14:59.000]  Well, I'll be at American Free Press.
[1:14:59.000 --> 1:15:08.000]  Okay, Jim, thank you for the update. Thank you for nailing that down. That's confirmed. Jim has never been wrong before.
[1:15:08.000 --> 1:15:13.000]  Thirty-plus years, you've been able to find out where they are, and I've been able to cover it, Jim.
[1:15:13.000 --> 1:15:24.000]  It's been a lot of fun, and you can be sure the Washington Post and the Washington Times will be there, and you'll not read a word about it.
[1:15:24.000 --> 1:15:30.000]  Well, we need to have protest while we're there in front of their papers. Then in the free country, the cops will no doubt come and say,
[1:15:30.000 --> 1:15:35.000]  no demonstrations allowed without permits, and then taser us and land to the slaves, home of the cowards.
[1:15:35.000 --> 1:15:39.000]  I mean, I love this country, folks, and that's what we've turned into, but I don't care.
[1:15:39.000 --> 1:15:46.000]  I'm going to, you know what, they'll probably tell me I can't videotape without a permit in this God-forsaken country, because that's what they're having over here.
[1:15:46.000 --> 1:15:54.000]  Well, the answer is, I'm on a public sidewalk, and I've told the cops that many times. This is a public sidewalk, a taxpayer sidewalk.
[1:15:54.000 --> 1:16:01.000]  Not this country's gone. This country's in so much trouble. Folks, join us there. This is big news, and it's the fifth through the eighth, correct?
[1:16:01.000 --> 1:16:05.000]  And tell folks the name of the hotel again.
[1:16:05.000 --> 1:16:18.000]  Well, the billaberg will be at the Westfields Marriott, 1475, the conference center driving Chantilly. We will be at the Hilton Internet, which is right next door,
[1:16:18.000 --> 1:16:26.000]  and that is 13869 Park Center Road, Herndon.
[1:16:26.000 --> 1:16:31.000]  And does that Hilton have any places for me with telephoto video lenses?
[1:16:31.000 --> 1:16:35.000]  The hotel we'll be staying at.
[1:16:35.000 --> 1:16:39.000]  Yeah. I mean, is that in view of the other facility?
[1:16:39.000 --> 1:16:41.000]  No, you have to drive a few miles, but it's a closing spot.
[1:16:41.000 --> 1:16:45.000]  Yeah, I hear this one's hard to cover. Is that true?
[1:16:45.000 --> 1:16:53.000]  Yeah, well, there's been a lot of billaberg bees where I had to get a cab, or sometimes readers would be there with cars and save the company a nickel by driving.
[1:16:53.000 --> 1:16:59.000]  Yeah, I'll drive you. Don't worry, Jim. We're going to be all over you, because you're the guy that knows how to track the enemy.
[1:16:59.000 --> 1:17:02.000]  All right, enemies of the Republic. Jim Tucker, I'll talk to you soon.
[1:17:02.000 --> 1:17:03.000]  Very good.
[1:17:03.000 --> 1:17:11.000]  There goes Jim Tucker. I apologized. Our next guest, who had to hold an amazing individual headline, gun owners, protest police action, times tribune.
[1:17:11.000 --> 1:17:19.000]  This is out of Pennsylvania, Dixon City. They were having their local gun club meet, and, you know, it's open carry there, and they had their guns there.
[1:17:19.000 --> 1:17:24.000]  And so some snitch called the police. There was no law, but the cops confiscated their guns.
[1:17:24.000 --> 1:17:31.000]  And our next guest bravely spoke up to the media and spoke up to them and went to city council.
[1:17:31.000 --> 1:17:39.000]  And we appreciate Bill Grumbine for coming on with us. Let's play Bill's comments to the local newspaper that also posted this video.
[1:17:39.000 --> 1:17:49.000]  You want to live your life as a free man and be able to say the things that are guaranteed to you under the First Amendment, then you need to be able to exercise your Second Amendment.
[1:17:49.000 --> 1:17:55.000]  It ain't about hunting, and it's not even really about self-defense. It's about protecting us from overbearing government.
[1:17:55.000 --> 1:17:56.000]  Great.
[1:17:56.000 --> 1:18:07.000]  And what was seen up here on Friday night was overbearing government, when they can come in and do whatever they want, regardless of what the law says. That is overbearing government.
[1:18:07.000 --> 1:18:14.000]  Okay, let's go ahead and talk to him. Then I've got some person groveling. It scares me, citizens with guns. I only want men in black ski masks to keep me safe.
[1:18:14.000 --> 1:18:21.000]  We're going to break in a moment, sir, but break down for listeners that just tuned in. What exactly happened in Pennsylvania?
