[00:00.000 --> 00:30.000]  Infowars, the most band network in the world
[01:11:05.000 --> 01:11:10.000]  They'll do whatever they're told. I've experienced it. They tell these agencies and groups things about me that are 100 percent untrue.
[01:11:10.000 --> 01:11:18.000]  And they believe them. They believe I'm Lex Luther, criminal mastermind. They believe I have millions of dollars. I have two hundred thousand dollars in the bank.
[01:11:18.000 --> 01:11:25.000]  They literally tell these agencies this stuff. And I've been around these people when we catch them doing stuff and they're shaking in fear around me.
[01:11:25.000 --> 01:11:32.000]  They literally think I'm Lex Luther and I'm a guy that has trouble balancing his checkbook. And I think they probably do the same thing, you know, with you.
[01:11:32.000 --> 01:11:39.000]  Told them, oh, he's really a Russian or something, because that's what I've experienced when they come after you is, oh, they're a Russian or they're a Chinese spy or they're this.
[01:11:39.000 --> 01:11:47.000]  So so now that you've been through this, your books out, let's give us a big picture here and what you think is an American citizen who's had all this inside knowledge.
[01:11:47.000 --> 01:11:53.000]  I think by the grace of God, where God put you in your path to now what needs to be done.
[01:11:53.000 --> 01:11:58.000]  Well, everyone has to remember that all politics are local. That old adage still applies. So you need to be involved in the community.
[01:11:58.000 --> 01:12:06.000]  You need to be talking to people. And with covid, you know, the one thing it is, it really split apart the American family and the American community.
[01:12:06.000 --> 01:12:12.000]  So get engaged back with your community. I went out and I made friends with my neighbors, found like minded people.
[01:12:12.000 --> 01:12:20.000]  And once they you know, it was it helped me once they validated all the craziness that they saw happening around my my my world and in my life.
[01:12:20.000 --> 01:12:25.000]  And, you know, I needed witnesses to testify. So that's important. You know, we're Americans. You have to have community.
[01:12:25.000 --> 01:12:31.000]  You don't sit at your home on your computer all the time. Get out and meet people. Now you go one step higher.
[01:12:31.000 --> 01:12:35.000]  The state governments need to start taking action. Everyone keeps talking about Congress in the Senate.
[01:12:35.000 --> 01:12:40.000]  I say, you know, not screw the Senate in Congress, but don't count on them to do anything.
[01:12:40.000 --> 01:12:46.000]  State AGs and state governors, where there are people who are a lot like minded, need to start taking action independently of states.
[01:12:46.000 --> 01:12:50.000]  And we start pitting the states back against the federal government. I hope there's a constitutional convention.
[01:12:50.000 --> 01:12:56.000]  There's been some talk of that. I think it really needs to happen. I think it would solve a bunch of the problems that we're having in our country.
[01:12:56.000 --> 01:13:04.000]  The next thing is sending Congress needs to investigate. I've heard a lot of lip service from Congress, the House Intelligence Committee and also from the Senate.
[01:13:04.000 --> 01:13:08.000]  You know, they say that they were they're going to investigate this stuff. I'm more than welcome.
[01:13:08.000 --> 01:13:14.000]  Well, more that I'd be delighted to help with the investigation and testify in both places.
[01:13:14.000 --> 01:13:22.000]  I've offered to do both those things repeated times. Now, at the international level, we have another issue, though.
[01:13:22.000 --> 01:13:29.000]  We need to to get people like me and and other experts and other other people there.
[01:13:29.000 --> 01:13:35.000]  I guess part of the movement to testify in places like the EU Parliament, Australia and Japan.
[01:13:35.000 --> 01:13:39.000]  I mean, these people are allies and they're experiencing the same thing in their countries.
[01:13:39.000 --> 01:13:44.000]  And really, this is a global fight of patriots versus these globalists.
[01:13:44.000 --> 01:13:53.000]  And we have to identify as such and we have to conduct ourselves in a way and partner up and help take on these monsters.
[01:13:53.000 --> 01:14:07.000]  Absolutely right, because we have Klaus Schwab as a consortium for these corporations that are taking over the world, working with dictatorships like China that I see as the main threat, along with these corporations that are anti free market, that are monopolistic and have made.
[01:14:07.000 --> 01:14:18.000]  Hundreds and hundreds of millions of dollars have gotten so much control over our societies and then persecuted not just thousands of scientists and whistleblowers, but hundreds of thousands of doctors, nurses and medical workers.
[01:14:18.000 --> 01:14:22.000]  It's all come out of the Twitter files. We know what's going on in the other agencies.
[01:14:22.000 --> 01:14:30.000]  It was Mike Cernovich first released a lot of this stuff five, six years ago that Google had these secret portals with Homeland Security in there controlling Google.
[01:14:30.000 --> 01:14:38.000]  So it's not about who gets the credit, but I was sitting back thinking who actually exposed these government portals because I see people taking credit for it. They didn't do it. Bizarre behavior.
[01:14:38.000 --> 01:14:43.000]  But it was actually Mike Cernovich that actually released the first secret documents that I saw.
[01:14:43.000 --> 01:14:46.000]  And I know he went through a lot of stuff and it's kind of gone halfway off the radar since then.
[01:14:46.000 --> 01:14:50.000]  So people need to know this. This takes a lot out of people when they do this.
[01:14:50.000 --> 01:14:56.000]  And this is a real war and it's not going to get better pretending it's not there and sticking our head in the sand.
[01:14:56.000 --> 01:15:02.000]  And you're absolutely right. When we look at Fauci and his arrogance, we have a separation of powers.
[01:15:02.000 --> 01:15:06.000]  That's what the federal system means. People think federalists are for the federal government.
[01:15:06.000 --> 01:15:11.000]  It's the opposite. The federalist system divides power between the states and the federal government.
[01:15:11.000 --> 01:15:15.000]  And then the states, the federal government divided themselves into three branches each.
[01:15:15.000 --> 01:15:19.000]  So there's six different competing forces within 50 different states.
[01:15:19.000 --> 01:15:26.000]  And then you even have the county and the city levels all to divide power to make sure there's more checks and balances like a ship has bulkheads in it.
[01:15:26.000 --> 01:15:32.000]  So if it hits an iceberg or there's an explosion, the whole thing doesn't sink because one area gets contaminated.
[01:15:32.000 --> 01:15:36.000]  And now we've lost a lot of those bulkheads with the amendment back in 1913.
[01:15:36.000 --> 01:15:45.000]  The 17th Amendment would transfer the senators to the Senate to be in little imperial potentates or Nabobs.
[01:15:45.000 --> 01:15:52.000]  And before the legislatures would actually send their senator as representative of the state, the House was generally elected.
[01:15:52.000 --> 01:15:57.000]  So, again, that divided power between the federal and the state. So there's too much power in the federal government.
[01:15:57.000 --> 01:16:05.000]  And what you said is absolutely true. That's why it's very good that Missouri and Louisiana have been deposing Fauci and others that are saying he's a criminal.
[01:16:05.000 --> 01:16:12.000]  Rand Paul saying he's a criminal, showing evidence, saying he, quote, will be he will not escape, quotes like that.
[01:16:12.000 --> 01:16:18.000]  But but this is life and death. This has to be the central issue, in my view. What do you say to that?
[01:16:18.000 --> 01:16:29.000]  I think it is the issue. It's the only issue we can't tackle any of the other policy objectives or goals that are important to our country until we get this under wraps.
[01:16:29.000 --> 01:16:33.000]  But what about the people making money off this and all the people going along with it, even at the top?
