[00:00.000 --> 00:06.000]  Please welcome to the program, the always interesting dynamic, Donald Trump. Donald!
[1:17:03.000 --> 1:17:15.000]  My team of lawyers, enrolled agents, and licensed tax experts remove wage garishments. Sometimes in the same day, we even have reduced the total debt some of our clients were required to pay through what is known as an offer in compromise.
[1:17:15.000 --> 1:17:30.000]  Can you give us an example of somebody you help? Oh, can I ever? We have taken a $500,000 liability with the IRS. Guess what? The client didn't pay a dime through the representation known as non-collectible status with the government.
[1:17:30.000 --> 1:17:40.000]  If you owe the IRS more than $10,000 and you want to see if it's possible to pay a lot less, call OMG Tax right now for a free tax-saving consultation.
[1:17:40.000 --> 1:17:56.000]  Call 800-486-8112-800-486-8112. 800-486-8112. That's 800-486-8112.
[1:17:56.000 --> 1:18:10.000]  Almost all the other big storeable food companies are sold out of food, but I know for a fact from sources they're telling people, oh, we've got to get your order in two weeks for delivery. We follow this pattern over and over again. I've been on radio for 25 years.
[1:18:10.000 --> 1:18:20.000]  I've had storeable food for a long time, and I learned very quickly a lot of these companies, they're fine during normal times, but during a crisis, they don't keep a bunch of food on hand because of inventory, they'll still take your orders.
[1:18:20.000 --> 1:18:35.000]  That's why about 11 years ago, I found my Patriot Supply, now the biggest, most trusted company out there, and I became a private labeler for them, because they actually have it on hand, they actually give it delivered to you on time, they do what they're getting to say they're going to do because they want you as a customer over and over again, and they're good people.
[1:18:35.000 --> 1:18:40.000]  Now, they were saying seven to 10 days before shipping because they've got the food, but they've got to package it record-level orders.
[1:18:40.000 --> 1:18:56.000]  Now, it's 10 to 14 because it's only intensifying with the coronavirus, so get your orders at an infowarstore.com, get the best deals, get it delivered first, they're in our system, it goes right to them, then it funds the info as well, so get prepared, infowarstore.com with storeable foods.
[1:18:56.000 --> 1:19:18.000]  Well, it's here, the year 2020, world governments out in the open, we've got the predicted mass pandemics and they're calling for global government as the answer, and we've got massive, huge censorship taking place, it's coordinated by big tech and banks against people that promote America and guns and freedom and Jesus and the family and the protection of the unborn.
[1:19:18.000 --> 1:19:28.000]  Wow. Yes, now we know we're right, the new world order's real, Satanism's real, the pedophile leader real, but we're real as well and we love God and we're standing up and saying no.
[1:19:28.000 --> 1:19:36.000]  But I just want to make the point here, one month into 2020, that we have never been in Kansas, we have never been in some small, ill place that didn't matter.
[1:19:36.000 --> 1:19:56.000]  Everything we do, every decision we make governs the future of our species and everything we've gone through and everything we're going to go through, so it's an incredible town to be alive, and I want to thank you all for being aware and being involved, but just remember, your action now via prayer, word of mouth, and financial support at infowarstore.com is critical, so please take action.
[1:20:07.000 --> 1:20:28.000]  Well, I lived in Kentucky back in 49 and went to Detroit working on assembly lines, the first year they had me putting wheels on Cadillacs.
[1:20:28.000 --> 1:20:38.000]  Every day I'd watch them beauties roll by and sometimes I'd hang my head and cry, cause I always wanted to be one that was long and black.
[1:20:38.000 --> 1:20:48.000]  One day I'd advise myself a plan that should be the envy of most any man, I'd sneak it out of there in a lunchbox in my hand.
[1:20:48.000 --> 1:20:58.000]  Now getting caught meant getting fired, but I figured I'd have it all by the time I retired, I'd have me a car worth at least a hundred grand.
[1:20:58.000 --> 1:21:06.000]  I'd get it one piece at a time, and it wouldn't cost me a dime, you'd know it's me when I come through your town.
[1:21:06.000 --> 1:21:08.000]  Don't stop Johnny Cash.
[1:21:08.000 --> 1:21:12.000]  I'm on the drive of everybody wild.
[1:21:12.000 --> 1:21:16.000]  Alright, let's go to your phone calls, nothing to be pontificating.
[1:21:16.000 --> 1:21:25.000]  Patrick in her Britannic Majesties England, media not reporting on Trump supporters being attacked, please tell us what you're talking about.
[1:21:25.000 --> 1:21:35.000]  Hello Alex, it's a great pleasure to speak to you, and that woman screaming sounded a little bit like Abaddon had opened the gate.
[1:21:35.000 --> 1:21:37.000]  Yes.
[1:21:37.000 --> 1:21:50.000]  Just on a point here, I'm really confused about what Roger Stone's trial was really about, I mean, after all it was like a kangaroo caught spun from the Russian collusion hoax.
[1:21:50.000 --> 1:21:57.000]  I mean, he is guilty obviously, he's guilty of supporting your protest, you know, Donald Trump.
[1:21:57.000 --> 1:22:04.000]  Well that's it, I mean he's guilty of getting the president elected, and they're just sending a message, you support the president, we're going to throw your ass in prison.
[1:22:04.000 --> 1:22:07.000]  Yeah, absolutely, I mean, he said it best, didn't he Donald Trump?
[1:22:07.000 --> 1:22:13.000]  The world is laughing at us, but who's laughing now? I mean, it's a travesty of justice, but that wasn't my main point Alex.
[1:22:13.000 --> 1:22:23.000]  My main point really was, do you not think that the mainstream media, and a lot of this is to do worldwide, is now becoming complicit in random acts of violence,
[1:22:23.000 --> 1:22:30.000]  especially against Trump supporters, by not reporting or condoning them when they happen, like on Saturday for example in Florida.
[1:22:30.000 --> 1:22:40.000]  Oh, I totally agree with the car plowed over six people, almost no coverage, and then you've got all these people getting shot and stabbed and attacked,
[1:22:40.000 --> 1:22:49.000]  and look what happened to Scalise years ago, CNN, I played the clip, says the guy was not a monster, he was a hero.
[1:22:49.000 --> 1:22:54.000]  Absolutely, and just on a final note, because I have been waiting for about 20 minutes.
[1:22:54.000 --> 1:22:57.000]  No, no sir, you've got the floor, you're awesome, please continue.
[1:22:57.000 --> 1:23:04.000]  I want to say, a lot of people don't realize this, when they're on YouTube, for example, they think they're having a chat, right, Alex?
[1:23:04.000 --> 1:23:10.000]  They think they're having a chat, but I suggest that they actually check with the moderator that they're actually, their words are being seen.
[1:23:10.000 --> 1:23:15.000]  I think a lot of people on YouTube don't realize that when they're chatting, they're not actually being seen.
[1:23:15.000 --> 1:23:23.000]  I've done a tweet about Roger Stone on, I've got nearly 20,000 followers. Do you know how many retweets I've got in two hours?
[1:23:23.000 --> 1:23:27.000]  Two retweets, three years ago, I would have got 200 retweets on that.
[1:23:27.000 --> 1:23:38.000]  Yes sir, that's called shadow banning, and we have an undercover video from Project Veritas like two years ago, where only someone right on your page that looks for a confided, it doesn't go out.
[1:23:38.000 --> 1:23:44.000]  People subscribe to you, they want to hear from Patrick in Britain, but they don't.
[1:23:44.000 --> 1:23:50.000]  And again, that is the great deception, it's the false advertising, it's the fraud of these corporations.
[1:23:50.000 --> 1:24:02.000]  Could I ask a favor, Alex? I'd like you to ask Robert Barnes if there's a legal case to take against them to find out whether either they're curators or publishers, because they can't be both.
[1:24:02.000 --> 1:24:07.000]  At the end of the day, they're causing a lot of mental disorder to a lot of people.
[1:24:07.000 --> 1:24:14.000]  Imagine if you've got 20,000 followers and for absolutely no reason, they decide they want to ban you there and then.
[1:24:14.000 --> 1:24:18.000]  Can you imagine how much mental trauma someone would go through?
[1:24:18.000 --> 1:24:24.000]  I suspect there's a lot of people who are feeling very depressed in this world who might go over the edge with something like that.
[1:24:24.000 --> 1:24:27.000]  No, I totally agree.
[1:24:27.000 --> 1:24:29.000]  The only source of getting out to the world.
[1:24:29.000 --> 1:24:32.000]  Hold on Patrick, go back 5, 10 years ago.
[1:24:32.000 --> 1:24:41.000]  Everyone was using their own radio show or TV show or the side of their house or ads they place to promote Facebook, Twitter, YouTube, all those things.
[1:24:41.000 --> 1:24:47.000]  We built all that up and then we invest in it and they just go, oh, now we have rules.
[1:24:47.000 --> 1:24:53.000]  Now that we're the only thing, they've totally abused their power out of the gates and it's outrageous.
[1:24:53.000 --> 1:24:54.000]  Thank you, Patrick, great points.
[1:24:54.000 --> 1:24:56.000]  Please don't apologize or have more points.
[1:24:56.000 --> 1:24:57.000]  You're amazing.
[1:24:57.000 --> 1:24:58.000]  I talk to each caller all day long.
[1:24:58.000 --> 1:25:00.000]  That's why we're taking more calls.
[1:25:00.000 --> 1:25:10.000]  Okay, let's talk to Gabriel in California on coronavirus and Air Force Base quarantines that are now confirmed.
[1:25:10.000 --> 1:25:12.000]  Gabriel, what's on your mind?
[1:25:12.000 --> 1:25:17.000]  Hey, Alex, first time caller, long time listener.
[1:25:17.000 --> 1:25:35.000]  But so I've been following this coronavirus in California pretty closely and at first they said that the first confirmed case out here was in Santa Clara and that there was no way that it would affect anybody else.
[1:25:35.000 --> 1:25:43.000]  But a couple of days later, they announced that there was another case in Santa Clara as well.
[1:25:43.000 --> 1:25:58.000]  And then tonight, well, last night, they declared a health emergency for Santa Clara and they're saying that it's not, it hasn't spread, but it's just that they can have the resources that they need.
[1:25:58.000 --> 1:26:10.000]  I mean, undoubtedly, this is bigger than they're saying and we have news articles right here where the US has been releasing people that haven't and they didn't know they had or they thought they no longer had it.
[1:26:10.000 --> 1:26:15.000]  So they're releasing coronavirus carriers from bases in the US.
[1:26:15.000 --> 1:26:17.000]  What do you think is happening?
[1:26:17.000 --> 1:26:32.000]  Well, I think that, one, it is a bio weapon that was either released on purpose or an accident because if you see the videos, I mean, they're fumigating entire cities in China.
[1:26:32.000 --> 1:26:36.000]  And believe me, the Chai comms aren't doing that for no reason. They're scared.
[1:26:36.000 --> 1:26:48.000]  I mean, I've seen videos where people are falling dead in the street and you can see them hemorrhaging from their face, their eyes, their ears, their mouth.
[1:26:48.000 --> 1:26:51.000]  You know, they're just bleeding out.
[1:26:51.000 --> 1:26:59.000]  Yeah, that doesn't just sound like a lot of folks are saying is the coronavirus freak out a cover for something else that happened in China?
[1:26:59.000 --> 1:27:05.000]  Yeah, I mean, like it, I mean, the pot with, with, with, you know, communist China, the possibilities are endless.
[1:27:05.000 --> 1:27:09.000]  Well, they can also use this as a cover for grabbing their political dissidents.
[1:27:09.000 --> 1:27:13.000]  And then as everybody else sees somebody being dragged away, they didn't do what they were supposed to do.
[1:27:13.000 --> 1:27:17.000]  Well, you just think, oh, that's because they have coronavirus, but it's really another reason.
[1:27:17.000 --> 1:27:34.000]  Exactly. And also, I wanted to talk about, so about 10 years ago, my, my first son was born and I started giving him nursery water.
[1:27:34.000 --> 1:27:36.000]  Oh, my God, it's got the fluoride in it. Yeah.
[1:27:36.000 --> 1:27:46.000]  Yeah. And, and then now that he's in school, he's been diagnosed with ADHD, dyslexia and all these other learning disabilities.
[1:27:46.000 --> 1:27:55.000]  Yeah, for folks that don't know, nursery water is sold stores everywhere has high levels of fluoride in it, which even the federal government says you shouldn't give children.
[1:27:55.000 --> 1:27:58.000]  So why are their companies targeting children with fluoride?
[1:27:58.000 --> 1:28:05.000]  It's incredible because they can tricky to pay for your own destruction metaphysically that they believe they're spiritually covered.
