[00:00:17.611 --> 00:00:21.974]  Hindsight is 2020, and the enemy is very cunning.
[01:01:34.012 --> 01:01:41.057]  Now you're not talking to other humans, you're all in the phone, in the AI bubble, only living through it in fear, everything a dystopic video game.
[01:01:41.057 --> 01:01:41.697]  You're back in.
[01:01:42.498 --> 01:01:45.282]  Two hours, Paul, to take over for a full hour.
[01:01:45.282 --> 01:01:48.447]  Paul Joseph Watson, Summit.News, an amazing site.
[01:01:48.447 --> 01:01:49.168]  Great reportage.
[01:01:49.168 --> 01:01:49.569]  Thank you, Paul.
[01:01:52.987 --> 01:01:53.667]  We're good to go!
[01:02:20.646 --> 01:02:20.746]  We're
[01:02:38.078 --> 01:02:38.679]  We're good to go.
[01:03:04.302 --> 01:03:13.271]  Live from the Infowars.com studios, you're listening to the Alex Jones Show.
[01:03:13.271 --> 01:03:15.073]  Wow!
[01:03:15.073 --> 01:03:19.818]  Things are really heating up and I want to say to Tucker Carlson, you got me.
[01:03:19.818 --> 01:03:20.899]  You got me, Tucker.
[01:03:20.899 --> 01:03:22.781]  I love you.
[01:03:22.781 --> 01:03:27.145]  Man, last night, his 25-minute monologue was just perfect.
[01:03:27.145 --> 01:03:27.786]  Total truth.
[01:03:28.956 --> 01:03:32.619]  He goes to his own Fox colleagues, he goes, no proof of election fraud.
[01:03:32.619 --> 01:03:34.321]  Here, let's show you this.
[01:03:34.321 --> 01:03:39.005]  Boom, boom, boom, boom, boom, boom, boom, boom, boom, boom.
[01:03:39.005 --> 01:03:41.527]  And it was only a fraction of it.
[01:03:41.527 --> 01:03:42.348]  That's my problem.
[01:03:42.348 --> 01:03:46.091]  We've got so much, but listen, separate from that, Roger Stone's getting dialed on the Skype right now.
[01:03:46.972 --> 01:03:48.013]  He is a realist.
[01:03:48.013 --> 01:03:49.634]  One of the smartest political operatives out there.
[01:03:49.634 --> 01:03:52.676]  He says Trump still has a path to victory in stopping this fraud.
[01:03:52.676 --> 01:03:54.097]  He'll be talking about it with us in a moment.
[01:03:54.097 --> 01:04:01.783]  But here's Mitch McConnell, the leader of the Senate, knocking it out of the park when he talks about the Democrats saying, how dare you contest an election?
[01:04:01.783 --> 01:04:03.745]  Here it is.
[01:04:03.745 --> 01:04:14.633]  Now, more broadly, Mr. President, let's not have any lectures, no lectures about how the president should immediately, cheerfully accept preliminary election results.
[01:04:15.384 --> 01:04:22.368]  From the same characters who just spent four years refusing to accept the validity of the last election.
[01:04:22.368 --> 01:04:29.652]  And who insinuated that this one would be illegitimate, too.
[01:04:29.652 --> 01:04:32.434]  If they lost again.
[01:04:32.434 --> 01:04:34.155]  Only if they lost.
[01:04:34.155 --> 01:04:38.537]  So let's have no lectures on this subject from that contingent.
[01:04:38.537 --> 01:04:44.561]  In late August, Secretary Hillary Clinton said, quote, Joe Biden should not concede under any circumstances.
[01:04:45.791 --> 01:04:52.817]  I think this is going to drag out and he will win it if we don't give an inch.
[01:04:52.817 --> 01:05:03.147]  That same month, Speaker Pelosi and the Democratic leader both stated, quote, President Trump needs to cheat to win.
[01:05:03.147 --> 01:05:11.194]  In October, when Speaker Pelosi was shopping some conspiracy theory about the Postal Service, she recklessly said, quote,
[01:05:12.270 --> 01:05:19.071]  Listen to this, I have no doubt that the President will lie, cheat, and steal to win the election.
[01:05:19.071 --> 01:05:33.454]  Now does this sound like a chorus that has any credibility whatsoever to say a few legal challenges from President Trump represent some kind of crisis?
[01:05:33.454 --> 01:05:40.895]  At this time last week, small business owners in cities across America were boarding up their windows in case President Trump appeared to win
[01:05:41.872 --> 01:05:47.216]  And far-left mobs decided to reprise their summer rioting.
[01:05:47.216 --> 01:05:56.863]  Suffice it to say, a few legal inquiries from the President do not exactly spell the end of the Republic.
[01:05:56.863 --> 01:06:01.727]  Here's two professors from Fordham Law School and New York Law School.
[01:06:01.727 --> 01:06:03.889]  This is how they put it, quote,
[01:06:04.608 --> 01:06:14.770]  For centuries, we've asked people who are unhappy with their fellow citizens or government agencies and institutions bring their claims to court.
[01:06:14.770 --> 01:06:23.272]  President Trump is, quote, a traditional response that affirms rather than undermines American institutions.
[01:06:23.272 --> 01:06:25.232]  End quote.
[01:06:25.232 --> 01:06:29.313]  This process will reach its resolution.
[01:06:29.313 --> 01:06:33.054]  Our system will resolve any recounts or litigation.
[01:06:34.088 --> 01:06:46.253]  In January, the winner of this election will place his hand on a Bible, just like it happened every four years since 1793.
[01:06:46.253 --> 01:06:55.557]  What we know for sure is that the outcome is guaranteed to delight tens of millions of Americans and disappoint tens of millions of Americans.
[01:06:55.557 --> 01:06:59.319]  But we also know that we will wake up on January 21st
[01:07:01.303 --> 01:07:06.549]  Still blessed to live in the greatest nation the world has ever seen.
[01:07:06.549 --> 01:07:16.319]  And in no small part, that is because we respect the rule of law, we trust our institutions, and neither of those things is outlandish.
[01:07:18.567 --> 01:07:26.471]  We are back live with Roger Stone on Trump's path to victory, what the real numbers are, and what's unfolding.
[01:07:26.471 --> 01:07:28.612]  Roger Stone is a smart political operator.
[01:07:28.612 --> 01:07:32.594]  He says Trump still has a chance, we still have a chance, to stop this steal.
[01:07:32.594 --> 01:07:34.175]  He joins us from Florida.
[01:07:34.175 --> 01:07:35.836]  Roger, thank you so much for taking time out.
[01:07:35.836 --> 01:07:36.276]  Go ahead, sir.
[01:07:37.741 --> 01:07:51.829]  Alex, it is really extraordinary what's going on here, but a hoax is being perpetrated on the American people that Joe Biden is the legitimate President of the United States through an elaborate PSYOP.
[01:07:51.829 --> 01:07:58.333]  You've got to give these people credit for ingenuity and repetition, but they know that
[01:07:59.494 --> 01:08:04.460]  Donald Trump, in fact, won a majority of all legal votes cast.
[01:08:04.460 --> 01:08:17.615]  They know that there's evidence everywhere of substantial malfeasance and ballot and election fraud, which they have absolutely limited in this
[01:08:18.402 --> 01:08:31.511]  Wall of mass media control in which big tech, big media, big money, big left is attempting to bury their theft of this election.
[01:08:31.511 --> 01:08:42.658]  At the same time, trying to put the stamp of legitimacy on this egregious act of not only injustice, but a fraud.
[01:08:43.478 --> 01:08:54.062]  And the deeper you dig, you know that not only do they, like Holocaust deniers, despicable people, they kept insisting, no, no, there is no evidence of fraud.
[01:08:54.062 --> 01:08:57.703]  They trot out Romney and Bush like anybody's going to be impressed with that.
[01:08:58.303 --> 01:09:02.766]  They falsely claim Republicans are crumbling to run away from Trump.
[01:09:02.766 --> 01:09:04.506]  That's another lie.
[01:09:04.506 --> 01:09:07.848]  But it's very hard for the President to maneuver.
[01:09:07.848 --> 01:09:11.470]  He is now forced to go the legal course.
[01:09:11.470 --> 01:09:19.214]  Those who say there is no evidence clearly aren't looking online or looking at any of the credible information that's actually public.
[01:09:19.214 --> 01:09:25.818]  That this is all, their theft is provable in a number of different methods in all of these swing states.
[01:09:26.482 --> 01:09:41.486]  You can go to Stop the Steal and we'll be posting that, but there is insurmountable, compelling, overcoming evidence of fraud, but one is essentially censored at the point that they say that publicly.
[01:09:41.486 --> 01:09:49.948]  And we saw this gaslighting, we saw this mind control, we saw this hoax with all the networks trying to be the kingmakers here with Caputo.
[01:09:52.225 --> 01:10:04.768]  On Fox, kicking off the live feed of the press spokesperson, when she was laying out facts, and then if you expand on that, Tucker Carlson last night said, okay, let's look at what she actually said, and let's look at the facts, and it's true!
[01:10:04.768 --> 01:10:20.433]  I have stacks of red-handed fraud poll controllers going, we're gonna steal this, here's how you falsify them, here's how you keep the people out, and the machine's flipping everywhere against Trump, and every time they flip them back, Trump's winning, and the fact that Trump's gaining votes in all these states right now, because the
[01:10:21.733 --> 01:10:23.474]  Poll managers know they can go to prison.
[01:10:23.474 --> 01:10:26.376]  They're suddenly finding the problem and reporting it.
[01:10:26.376 --> 01:10:30.018]  So Trump's gaining in all these states before the recounts even begin.
[01:10:30.018 --> 01:10:30.858]  Roger, it's insane.
[01:10:30.858 --> 01:10:38.102]  No, it's to create a backdrop to demoralize those who support the president.
[01:10:38.102 --> 01:10:50.869]  That's why at this point in this epic struggle, there's nothing more important than peaceful protest and demonstration in the public square because we're banned in the public square of
[01:10:51.689 --> 01:10:57.391]  You know, of the massive social media because we're censored, but we have to show our numbers.
[01:10:57.391 --> 01:10:59.912]  That's why the rally in Washington, D.C.
[01:10:59.912 --> 01:11:12.816]  this weekend is crucial, where numerous conservative organizations have come together, some that have bickered in the past, but with one common goal, which is to show that the American people will not put up with this heist.
[01:11:12.816 --> 01:11:13.436]  It's a hoax.
[01:11:13.436 --> 01:11:16.937]  I'm going to be at that park at noon on Saturday.
[01:11:16.937 --> 01:11:18.177]  I'm going to march the Supreme Court.
[01:11:18.177 --> 01:11:19.298]  I'm going to be there at the White House.
[01:11:19.958 --> 01:11:20.819]  I want everybody to be there.
[01:11:20.819 --> 01:11:23.942]  Our caravan is going to be in Tallahassee United 8 with Owen Schroyer.
[01:11:23.942 --> 01:11:25.324]  We've got about 30 cars right now.
[01:11:25.324 --> 01:11:30.349]  That's great to have folks travel from Texas, but we need hundreds more and thousands once we get there.
[01:11:30.349 --> 01:11:34.794]  The whole map is at Stop the Steel Caravan on Parlor.
[01:11:34.794 --> 01:11:36.756]  At Stop the Steel Caravan on Parlor.
[01:11:36.756 --> 01:11:40.920]  Gas up your vehicle, get ready, and go in this historic caravan into D.C.
[01:11:40.920 --> 01:11:41.821]  to be part of this.
[01:11:41.821 --> 01:11:42.482]  Continue, Roger.
[01:11:44.029 --> 01:11:55.618]  Alex, you know, as you know, in American politics, the South and the Deep South have been a bedrock of support for Christian conservative values.
[01:11:55.618 --> 01:12:02.783]  They used to be democratic in the old days until conservative Democrats saw the error of the left-wing
[01:12:03.679 --> 01:12:16.307]  Now Communist infiltrated Democratic Party and their other corporate handlers, and they had already moved Ronald Reagan, Richard Nixon, Donald Trump in droves.
[01:12:16.307 --> 01:12:23.092]  Also, you have a great Southern military tradition here in the entire South.
[01:12:23.092 --> 01:12:29.456]  Retired military, respect for the military, many, many veterans and so on.
[01:12:29.456 --> 01:12:32.658]  You have Owen Schroeder, pardon me, you have Owen Schroeder,
[01:12:33.487 --> 01:12:44.756]  Driving a caravan of patriots, of people who are calling the bluff of the ruling elite on this con job that the evidence should not be examined.
