[00:00:08.604 --> 00:00:10.165]  It's all a PSYOP.
[01:07:21.647 --> 01:07:24.069]  It's completely free of toxins and allergens.
[01:07:24.069 --> 01:07:27.431]  Simply put, if you want the best at an extremely low price, this is it.
[01:07:27.611 --> 01:07:31.492]  Winter Sun is the result of our pursuit of the best source of vitamin D3.
[01:07:31.492 --> 01:07:40.556]  The research and development took over two years, but the result, as verified by independent laboratories, is the best vegan vitamin D3 product in the world.
[01:07:40.556 --> 01:07:45.578]  Read the facts at InfoWarsLife.com about Winter Sun vitamin D3.
[01:07:45.578 --> 01:07:51.140]  Not only does vitamin D3 promote a healthy mood, but vitamin D supports our memory and brain function.
[01:07:51.500 --> 01:07:53.642]  Something the globalists are targeting.
[01:07:53.642 --> 01:07:56.343]  Visit InfoWars.com today or call 888-253-3139.
[01:07:56.343 --> 01:07:57.804]  He's the T-Rex of political talk.
[01:07:57.804 --> 01:08:01.967]  Alex Jones on the GCN Radio Network.
[01:08:13.692 --> 01:08:22.800]  Well, Angelina Jolie has come out and said she not only had her breasts removed, but now she's having her ovaries removed because of a predisposition to get cancer.
[01:08:22.800 --> 01:08:30.667]  Well, we happen to have one of the leading experts who discovered this information with the federal government, one of the largest autopsy programs ever recorded.
[01:08:31.730 --> 01:08:35.271]  Joel Wallach, BSDVM, MD.
[01:08:35.271 --> 01:08:38.992]  He was working in zoological research when he discovered this.
[01:08:38.992 --> 01:08:44.413]  And it's also written with some other MDs and PhDs.
[01:08:44.413 --> 01:08:50.095]  Ma Lan and Gerhard N. Schrosner, PhD.
[01:08:50.095 --> 01:08:51.535]  And it goes on from there.
[01:08:51.535 --> 01:08:55.456]  Epigenetics, the death of the genetic theory of disease transmission.
[01:08:55.456 --> 01:08:59.177]  We sell the book at InfoWarsStore.com and InfoWarsHealth.com.
[01:09:01.420 --> 01:09:05.244]  And the forward is by Jeffrey S. Bland, PhD.
[01:09:05.244 --> 01:09:09.467]  This is such key information, especially with what Angelina Jolie is getting into.
[01:09:09.467 --> 01:09:12.390]  This is some of the big secrets they don't want folks to know about.
[01:09:12.390 --> 01:09:18.475]  Then we're going to get in to robots to replace almost half of jobs over the next 20 years.
[01:09:18.475 --> 01:09:20.277]  That's out of the Brisbane Times.
[01:09:20.277 --> 01:09:27.903]  That dovetails with one of the founders of Apple, Steve Wozniak, saying the future of artificial intelligence is scary and very bad for people.
[01:09:29.082 --> 01:09:35.205]  We're going to get into record cold temperatures, continue another month of record cold, but reasons to be optimistic.
[01:09:35.205 --> 01:09:49.152]  This is our supposed global warming, report Israel spied on Iran, nuke talks, Apple soon to be a one trillion dollar company, and we've got a bunch of news on the illegals and the borders being wide open, but putting an end cap here,
[01:09:50.396 --> 01:10:00.499]  Or bookends on what we just spent a lot of the last hour on, The Anatomy of a Psy-Op, Stars and Stripes, Army Times, Bloomberg, Newsweek, Vice.
[01:10:00.499 --> 01:10:02.319]  They attacked us too?
[01:10:02.319 --> 01:10:03.159]  Today.
[01:10:03.159 --> 01:10:04.800]  Really?
[01:10:04.800 --> 01:10:09.681]  Everybody under the sun is attacking Infowars.com and saying, ridiculous!
[01:10:09.681 --> 01:10:17.523]  They claim they're militarizing the police, they claim there's a domestic takeover plan, they claim the Army is going to invade
[01:10:19.196 --> 01:10:20.817]  Uh, Texas can take it over the summer.
[01:10:20.817 --> 01:10:21.938]  No, we didn't say that.
[01:10:21.938 --> 01:10:25.881]  We said they're training to invade it, listing it as hostile.
[01:10:25.881 --> 01:10:35.448]  They threatened two years ago to use, as Associated Press, air blockades of F-16s Obama did if this legislature passed a law banning the TSA groping children.
[01:10:36.004 --> 01:10:40.085]  The House passed unanimously, they said we're going to blockade your airlines, so they shot it down in the Senate.
[01:10:40.085 --> 01:10:42.146]  I mean, that was in the news.
[01:10:42.146 --> 01:10:52.608]  And we have a special report on InfoWars.com, red-linked, where I show all the documents, the Rand Corporation, the Pentagon announcement, where they say veterans and gun owners are NORTHCOM's main job.
[01:10:52.608 --> 01:10:54.409]  I mean, this is all over the news.
[01:10:54.409 --> 01:10:56.189]  We're the ones that broke it.
[01:10:56.189 --> 01:10:59.170]  Army and MSM launched this InfoSop against American people.
[01:11:00.214 --> 01:11:10.282]  This is happening and they don't want us, just like they said there was no death panels in Obamacare, or just like they said there weren't death panels in the VA now admitted, or that it didn't increase your prices when it did, or didn't get rid of your doctor.
[01:11:10.282 --> 01:11:12.224]  They lie until it's in place.
[01:11:12.224 --> 01:11:14.286]  They don't want to debate about this now.
[01:11:14.286 --> 01:11:18.089]  Just like they'd say anthrax shots aren't killing the troops in 2001.
[01:11:18.089 --> 01:11:20.431]  And then they later admitted it was deadly and quit it.
[01:11:20.431 --> 01:11:21.872]  We were called kooks then.
[01:11:21.872 --> 01:11:23.834]  So we're not even defending ourselves.
[01:11:23.834 --> 01:11:28.638]  This is a good thing they're attacking us, but imagine a civil war in America that they want to start
[01:11:29.701 --> 01:11:32.562]  It's tearing up people against the police, all of this.
[01:11:32.562 --> 01:11:35.563]  Joe Biggs, as a veteran, I mean, what do you make of this?
[01:11:35.563 --> 01:11:39.524]  And what would happen if there was a real civil war in America?
[01:11:39.524 --> 01:11:42.925]  Obviously, that wouldn't be very good at first.
[01:11:42.925 --> 01:11:51.667]  But you've got to think, like I said before, the lower soldiers, the guys who are in there, you know, right out of high school, out of college, they're not the ones you've got to worry about.
[01:11:51.667 --> 01:11:52.748]  It's the ones at the Pentagon.
[01:11:52.748 --> 01:11:54.688]  It's the people up there who are in the politics.
[01:11:54.688 --> 01:11:57.009]  They're the ones who work with the, you know, the big money.
[01:11:57.509 --> 01:12:00.471]  Those are the ones you have to worry about to make those kind of decisions.
[01:12:00.471 --> 01:12:02.572]  And this is the thing, this is part of the PSYOP.
[01:12:02.572 --> 01:12:08.115]  How are we as civilians going to know when this is a mission or a training exercise?
[01:12:08.115 --> 01:12:08.676]  That's right.
[01:12:08.676 --> 01:12:14.840]  And then when are the soldiers going to know the difference between a training exercise and, hey, all of a sudden we're actually going out on the streets and being told to do this?
[01:12:14.840 --> 01:12:16.661]  And that's what they admit it's for.
[01:12:16.661 --> 01:12:25.126]  And if you watch the Charlton Heston piece on History Channel about the Panama invasion, they did the same thing for six months before the real deal there.
[01:12:25.566 --> 01:12:26.427]  Yeah, exactly.
[01:12:26.427 --> 01:12:28.128]  So that's the thing, that's the PSYOP with us.
[01:12:28.128 --> 01:12:32.032]  It's confusing people to not know when it's going to be a training exercise and an actual mission to do.
[01:12:32.032 --> 01:12:36.736]  And you were told by your buddy from Iraq and Afghanistan, who's now at SOCOM.
[01:12:36.736 --> 01:12:38.217]  Yep, he's down in Tampa, Florida.
[01:12:38.217 --> 01:12:40.138]  He said, yeah, shut up Biggs, it is a PSYOP.
[01:12:40.138 --> 01:12:41.019]  Yep, exactly.
[01:12:41.019 --> 01:12:41.620]  Word for word.
[01:12:43.126 --> 01:12:44.867]  I mean, it's out there, it's in your face.
[01:12:44.867 --> 01:12:46.389]  I mean, there's not more we can do.
[01:12:46.389 --> 01:12:48.330]  We're telling you, we're showing you the documents.
[01:12:48.330 --> 01:12:53.254]  And like I said, SOCOM's not denying that these are real slides, that information's on there.
[01:12:53.254 --> 01:12:56.677]  They're just trying to take the, they're just trying to- Yeah, they now finally admit it.
[01:12:56.677 --> 01:12:59.580]  For four or five days it was, oh, we don't know if it's even real.
[01:12:59.580 --> 01:13:00.600]  Now, okay, it's real.
[01:13:00.600 --> 01:13:02.242]  And then they misrepresent.
[01:13:02.762 --> 01:13:03.483]  What we're saying.
[01:13:03.483 --> 01:13:10.251]  We have these local cities that are popping up accepting the invitation for Operation Jade Home to go live in their cities.
[01:13:10.251 --> 01:13:16.879]  And by the way guys, if you go to YouTube and type in Alex Jones San Antonio Police Chief or Alex Jones Delta Force, you can see the 30 minute interview.
[01:13:18.069 --> 01:13:22.992]  And the film is 30 minutes, this is actually an hour long, with Ali Philippus, who is in Army Intelligence himself.
[01:13:22.992 --> 01:13:30.356]  Delta Force came in with $200,000 in 1999, 1998 in his office, and said, we want you to work in secret operations with us here locally.
[01:13:30.356 --> 01:13:33.398]  And it was basically narcotics trafficking.
[01:13:33.398 --> 01:13:34.979]  And a bunch, it was Delta Force.
[01:13:34.979 --> 01:13:35.860]  And he said, no way.
[01:13:35.860 --> 01:13:38.742]  Then he found out a bunch of the city officials had taken the money.
[01:13:38.742 --> 01:13:41.183]  Once you take the money, you're now compromised.
[01:13:41.183 --> 01:13:45.666]  They were there in an infiltration op, the same ones you use to buy off third world countries.
[01:13:46.892 --> 01:13:49.837]  Like Guatemala or whatever, they were doing it to them.
[01:13:49.837 --> 01:13:52.181]  Well, it turns out most police chiefs take the money.
[01:13:54.005 --> 01:13:55.226]  Can you believe this, Joe?
[01:13:55.226 --> 01:13:59.269]  Well, like I said, when I was in the military, they would shove Percocet down our throat.
[01:13:59.269 --> 01:14:04.313]  And a lot of people have to have adverse reactions, have to go to these AA meetings type things.
[01:14:04.313 --> 01:14:08.936]  You'd have to go for if you were drunk and got into a fight, which is what happened to me one time.
[01:14:08.936 --> 01:14:10.377]  I had to go to an AA meeting.
[01:14:10.377 --> 01:14:17.743]  And in there was a Delta Force Commando guy who was there because he was caught smuggling heroin from Afghanistan into the States.
[01:14:18.735 --> 01:14:20.275]  So you know what's happening.
[01:14:20.275 --> 01:14:23.036]  You know that since the government's been over there, since the U.S.
[01:14:23.036 --> 01:14:27.877]  Army has been running operations in Afghanistan, that the opium production has gone up like tenfold.
[01:14:27.877 --> 01:14:32.717]  And again, that's who gets in the higher rooms, the guys that will torture, that will deal drugs.
[01:14:32.717 --> 01:14:35.698]  I mean, if you'll do that, you're going to get a big house in Hawaii, Joe.
[01:14:35.698 --> 01:14:37.098]  Mainstream media is not going to cover this stuff.
[01:14:37.098 --> 01:14:38.098]  That's what we do at Infowars.
[01:14:38.098 --> 01:14:42.919]  We cover real topics, and we encourage people to go do the research themselves.
[01:14:42.919 --> 01:14:44.439]  Sure, well, they can't snow job me.
[01:14:44.439 --> 01:14:45.680]  I'm from Texas.
[01:14:45.680 --> 01:14:47.560]  I mean, it's got to be a third of my family.
[01:14:48.360 --> 01:14:50.342]  Has been recruited and been in this.
[01:14:50.342 --> 01:14:52.464]  And that's not saying my family is something special.
[01:14:52.464 --> 01:14:59.771]  This underground government is so big that you can't swing a stick in any direction in Texas and not hit somebody that's in this.
[01:14:59.771 --> 01:15:03.794]  We're over the target and they're attacking us and it shows that we're actually getting out and we're reaching people.
[01:15:03.794 --> 01:15:08.399]  Like Daniel's article yesterday showing that we beat ESPN, CBS, all these different people.
[01:15:09.039 --> 01:15:11.462]  In the comments and all that, because we actually spark real issues.
[01:15:11.462 --> 01:15:14.506]  Yeah, we have more ratings than them, more commenters, more traffic.
[01:15:14.506 --> 01:15:15.327]  Exactly!
[01:15:15.327 --> 01:15:17.029]  Because we're really doing something.
[01:15:17.029 --> 01:15:21.854]  We talk about the things that the mainstream media is too scared to, because everything's so politically correct nowadays.
[01:15:21.854 --> 01:15:22.435]  That's what's disgusting.
[01:15:22.435 --> 01:15:26.420]  Well, everybody's scared to get attacked or killed, and I mean, I'm not bending over to this.
[01:15:26.420 --> 01:15:28.142]  People need to man up and do something.
[01:15:29.505 --> 01:15:30.726]  I don't bend over for anybody.
[01:15:30.726 --> 01:15:31.666]  I'm sorry.
[01:15:31.666 --> 01:15:32.507]  I'm a fighter.
[01:15:32.507 --> 01:15:33.027]  I don't run.
[01:15:33.027 --> 01:15:34.308]  I'm not going anywhere.
[01:15:34.308 --> 01:15:36.749]  If the country goes to hell, I'm staying here and I'm fighting.
[01:15:36.749 --> 01:15:38.130]  I will not leave.
[01:15:38.130 --> 01:15:38.950]  This is my country.
[01:15:38.950 --> 01:15:39.671]  I will not go anywhere.
