[00:00:00.169 --> 00:00:06.674]  Communications Radio Network.
[01:05:14.408 --> 01:05:25.637]  Black Berkey elements are so powerful, they remove pathogenic bacteria, cysts and parasites to non-detectable levels, and transform water, even raw stagnant pond water, into delicious crystal clear drinking water.
[01:05:25.977 --> 01:05:30.801]  Nitrates, nitrites, radon-222, unwanted heavy metals like lead, mercury, and aluminum,
[01:05:31.021 --> 01:05:31.161]  I think?
[01:05:49.872 --> 01:05:51.674]  Let's get a 2-pack, only $99, or a 4-pack, only $188.
[01:05:51.714 --> 01:05:52.575]  Call New Millennium, 888-03-4438.
[01:05:52.615 --> 01:05:54.376]  That's 888-03-4438, or order on the web at Berkeywater.com.
[01:06:04.562 --> 01:06:06.283]  Government is best, which governs least.
[01:06:06.443 --> 01:06:07.703]  Wake up and smell the fascism.
[01:06:07.923 --> 01:06:10.744]  Being in government means never having to say you're sorry.
[01:06:11.124 --> 01:06:13.865]  What part of unconstitutional do you not understand, George?
[01:06:14.426 --> 01:06:21.128]  In today's world full of tyranny and injustice, sometimes it seems the only thing we still have is our freedom of speech.
[01:06:21.708 --> 01:06:29.831]  Exercise your freedom of speech by purchasing your choice of hundreds of different Liberty Stickers from humorous to serious at LibertyStickers.com.
[01:06:30.311 --> 01:06:33.992]  LibertyStickers.com can even customize your own bumper stickers.
[01:06:34.172 --> 01:06:36.313]  It's time to stand up for what you believe.
[01:06:36.673 --> 01:06:37.713]  Invest in your freedom.
[01:06:37.973 --> 01:06:42.615]  Get your stickers at LibertyStickers.com for your family, friends, and community.
[01:06:43.075 --> 01:06:44.617]  Go to LibertyStickers.com or call 877-873-9626.
[01:06:44.637 --> 01:06:44.817]  That's 877-873-9626.
[01:06:44.837 --> 01:06:46.359]  And express your freedom of speech today!
[01:06:46.399 --> 01:06:46.579]  Call 877-873-9626.
[01:06:46.620 --> 01:06:46.860]  That's 877-873-9626.
[01:07:04.140 --> 01:07:09.723]  The next stop that we make will be mine.
[01:07:09.823 --> 01:07:12.164]  Tell all the folks in Russia and China too.
[01:07:12.224 --> 01:07:17.106]  Don't you know that it's time to get on board?
[01:07:17.226 --> 01:07:20.488]  And let this train keep on riding, riding on.
[01:07:46.475 --> 01:07:47.276]  We're good to go.
[01:08:08.534 --> 01:08:11.156]  Welcome back.
[01:08:11.356 --> 01:08:12.557]  You know...
[01:08:34.349 --> 01:08:41.254]  I had never played that song on the show, but remember when the Iraq War started four years ago?
[01:08:41.435 --> 01:08:44.497]  Clear Channel and several other big networks put out public memos.
[01:08:44.537 --> 01:08:49.841]  It was admitted banning that and hundreds of other songs that mentioned love, not just war.
[01:08:49.861 --> 01:08:54.845]  Now, I mean, that's the level of micro-management that we have going on.
[01:08:54.865 --> 01:08:55.365]  Let me tell you something.
[01:08:55.385 --> 01:08:56.846]  Those Iraqis are real people.
[01:08:56.906 --> 01:08:58.227]  Those Iranians are real people.
[01:08:58.247 --> 01:09:00.289]  Their governments, sure, aren't great in what government is.
[01:09:01.022 --> 01:09:04.647]  And I'm sick of hearing neocons on talk radio saying, parking lot, kill them all.
[01:09:05.007 --> 01:09:08.191]  You bastards need to get online and type in dead Iraqi children.
[01:09:08.231 --> 01:09:10.835]  You need to look at little kids with their arms and legs blown off.
[01:09:10.855 --> 01:09:15.681]  You need to watch a video of mothers sitting there with their dead babies and then they're just lovingly kissing them.
[01:09:16.042 --> 01:09:17.744]  They're not even crying, ladies and gentlemen.
[01:09:18.324 --> 01:09:20.485]  And you see the sorrow in their eyes.
[01:09:20.526 --> 01:09:22.687]  Their soul has literally been ripped out of their chest.
[01:09:22.887 --> 01:09:28.050]  And it makes me want to literally gouge your eyes out, neokinds, when I hear you get up there.
[01:09:28.070 --> 01:09:29.991]  Let me tell you, I'm the first, I'm a violent person.
[01:09:30.451 --> 01:09:30.752]  Okay?
[01:09:31.092 --> 01:09:35.194]  I'm the first person, if somebody punches me to get in a fight, I'm the first person to stand up.
[01:09:35.574 --> 01:09:40.637]  I'm the first person, but I don't get off on stomping on little kids and dropping cluster bombs on people.
[01:09:40.858 --> 01:09:44.920]  And that isn't manly, and that's not American, and we're killing those people!
[01:09:45.569 --> 01:09:55.331]  Now, we're going to go to Mike Rivero, and I said I'd answer your question about Austrian school of free market and economics, but what I'm going to do, sir, is such a big issue, is when the next hour starts, I'm going to spend about five minutes on that.
[01:09:55.371 --> 01:10:04.533]  I'm going to write some notes up and really think about it, trying to break down the false free market versus the real free market, and how the globalists confuse their system with free market.
[01:10:05.053 --> 01:10:09.494]  This is not, I mean, it's a lemon socialist type capitalism.
[01:10:09.534 --> 01:10:13.015]  They use socialism to consolidate our wealth, and then they give it to themselves.
[01:10:14.235 --> 01:10:15.315]  This is not free market.
[01:10:16.324 --> 01:10:18.506]  People keep saying the Constitution in America failed.
[01:10:18.566 --> 01:10:19.647]  No, we didn't follow it.
[01:10:20.327 --> 01:10:20.728]  Okay?
[01:10:21.948 --> 01:10:35.699]  But again, I want to go to our guests, but I do need to once before the show even ends today, tell you that I carry a lot of documentary films and books by some of the best researchers and filmmakers and authors out there on the secure online video and book store at InfoWars.com.
[01:10:36.707 --> 01:10:39.908]  And also, my new film, Terror Storm, a history of government sponsored terror.
[01:10:40.428 --> 01:10:51.152]  Free on Google, by the way, but if you want a high quality DVD and want to support our work so we can make more films, and that's the whole goal here, go to Infowars.com and get Terror Storm, a history of government sponsored terror.
[01:10:51.432 --> 01:10:57.794]  You can see Ron Paul in Aaron Russo's America, Freedom from Fascism, that we have discounted, by the way, at Infowars.com.
[01:10:57.835 --> 01:10:58.735]  You can get it as low as $9.95.
[01:10:59.635 --> 01:11:01.796]  Just go to the discounts and specials pages.
[01:11:02.357 --> 01:11:02.698]  That's right.
[01:11:02.718 --> 01:11:04.141]  American Freedom from Fascism is as low as $9.95.
[01:11:05.244 --> 01:11:09.815]  Some of my films like American Dictators Exposing the False Left-Right Paradigm are as low as $5.95.
[01:11:09.995 --> 01:11:11.319]  It's a two hour film.
[01:11:12.532 --> 01:11:17.335]  Again, ladies and gentlemen, all available right now at InfoWars.com or by calling toll-free 888-253-3139.
[01:11:17.355 --> 01:11:17.655]  That's 888-253-3139.
[01:11:17.675 --> 01:11:18.916]  Or you can just write to me.
[01:11:19.216 --> 01:11:21.238]  I'm Alex Jones at 3001 South Lamar, Suite 100, Austin, Texas 78704.
[01:11:36.189 --> 01:11:47.397]  Or you can simply write to me, Alex Jones, again at 3001 South Lamar, Suite 100, Austin, TX 78704 or 888-253-3139.
[01:11:48.157 --> 01:11:48.698]  Don't wait.
[01:11:48.758 --> 01:11:49.418]  Get the films.
[01:11:49.698 --> 01:11:50.519]  Get them out today.
[01:11:50.899 --> 01:11:52.100]  Make copies of my films.
[01:11:52.120 --> 01:11:53.861]  Aaron Russo and others let you make copies of theirs.
[01:11:54.261 --> 01:11:57.944]  This is how we're unstoppable, ladies and gentlemen, is when you take action.
[01:11:58.184 --> 01:11:59.365]  When you tell people about
[01:11:59.905 --> 01:12:04.326]  WhatReallyHappened.com and how he has a great weekend radio show that I've tuned into and is awesome.
[01:12:04.846 --> 01:12:10.327]  Or tell folks how they can listen to my free podcast that we put out every day.
[01:12:10.347 --> 01:12:12.528]  You can go subscribe to it on InfoWars.com.
[01:12:12.548 --> 01:12:13.668]  Let's say you're subscribing.
[01:12:13.808 --> 01:12:14.768]  Share the information.
[01:12:14.828 --> 01:12:18.249]  Tell your friends, your family, your email list, your website about it.
[01:12:18.509 --> 01:12:20.050]  Help us get the word out.
[01:12:20.110 --> 01:12:21.190]  This is life and death.
[01:12:21.710 --> 01:12:22.770]  And we're having an effect.
[01:12:22.850 --> 01:12:23.470]  We can win.
[01:12:23.510 --> 01:12:26.191]  Can't you see the light, ladies and gentlemen, at the end of the tunnel?
[01:12:27.029 --> 01:12:29.232]  It's going to either be a train or the open sunshine.
[01:12:29.272 --> 01:12:30.993]  You're going to decide what's at the end of that tunnel.
[01:12:32.495 --> 01:12:34.677]  So please, support us.
[01:12:35.158 --> 01:12:36.459]  Go to Infowars.com.
[01:12:36.499 --> 01:12:37.701]  Go to PrisonPlanet.com.
[01:12:37.941 --> 01:12:39.342]  Go to PrisonPlanet.tv.
[01:12:40.724 --> 01:12:41.985]  $0.15 a day at PrisonPlanet.tv.
[01:12:42.286 --> 01:12:45.229]  All 15 of my films in super high quality bandwidth.
[01:12:45.269 --> 01:12:48.853]  Where when you download these in the highest quality, like TerrorStorm, it's in 4 versions.
[01:12:49.551 --> 01:12:51.113]  I mean, it's almost as good as DVD.
[01:12:51.153 --> 01:12:53.837]  I mean, you can barely tell it's not TV or DVD quality.
[01:12:53.857 --> 01:13:03.029]  I mean, there might be a few little glitches or a few little spots where you see digital remnants occasionally, but other than that, I mean, it looks better than TV did watching color television in the 80s.
[01:13:03.109 --> 01:13:04.371]  I mean, it's really
[01:13:04.431 --> 01:13:05.932]  Well, thanks for having me on the show, Alex.
[01:13:32.463 --> 01:13:40.849]  We had Ron Paul on in the last hour, and I haven't talked to you since you've been holding for the last four minutes, but I'll just bring it up to you and get your take, because I know you're for free market.
[01:13:40.869 --> 01:13:50.776]  Can you explain to the last caller the difference between real free market, the type of Austrian school of economics, versus how we're told this modern system is free market?
[01:13:52.016 --> 01:14:00.202]  Well, the difference really is between whether it's going to be individuals simply engaging in trade or barred for a shared common unit of worth,
[01:14:00.815 --> 01:14:04.375]  Versus the managed economy, where the freedom...
[01:14:05.501 --> 01:14:23.808]  It is simply the freedom to ignore national borders, and it really is a case of more of a corporate free market rather than the individual people, because you still see price controls being imposed at the consumer level in this supposed free economy.
[01:14:24.148 --> 01:14:30.451]  The other major difference, in my opinion, of course, gets back to the unit of monetary value or debt value that you're
[01:14:30.851 --> 01:14:32.792]  You're using in a free economy.
[01:14:33.512 --> 01:14:38.054]  You will use a metals based currency like we started the United States with.
[01:14:38.454 --> 01:14:47.557]  But in this new so-called free market, we're still using fiat currencies whose value can be altered by government fiat from above.
[01:14:47.837 --> 01:14:48.377]  Amazing!
[01:14:48.417 --> 01:14:49.638]  I mean, he just summed it up.
[01:14:49.818 --> 01:14:52.220]  I would babble for 10 minutes trying to even describe it.
[01:14:52.240 --> 01:14:54.021]  Just crystallized it all.
[01:14:54.781 --> 01:14:56.562]  This is a happy hunting land.
[01:14:56.582 --> 01:14:58.283]  This would be like if psychopaths took over.
[01:14:58.303 --> 01:14:59.224]  Oh, I guess they did.
[01:14:59.564 --> 01:15:01.585]  And made it legal to abduct and kill women.
[01:15:01.825 --> 01:15:03.006]  That would be their free market.
[01:15:03.386 --> 01:15:12.554]  It's not a free market where they're allowed to come in and buy off your politician and have the Supreme Court rule that they can take private property if a private interest wants it without proper just compensation.
[01:15:12.814 --> 01:15:18.899]  It's a free-for-all for them to set up big government to socialize our wealth and conduit into their fat mouths.
[01:15:19.299 --> 01:15:20.360]  That's what they're doing.
[01:15:20.440 --> 01:15:22.422]  This is not free market.
[01:15:22.442 --> 01:15:31.990]  You know, a free market basically puts the power and control in the hands of the individual citizens and this current manifestation which is being called a free market
[01:15:36.998 --> 01:15:37.638]  Absolutely.
[01:15:37.838 --> 01:15:40.340]  Again, we never pre-script this interview.
[01:15:41.040 --> 01:15:42.401]  Mike, what do you think is most important?
[01:15:42.421 --> 01:15:45.283]  What are the two or three big things that you're focused on right now?
[01:15:45.323 --> 01:15:53.287]  Then let's get into some of the news, the war news, the British sailors, what's happening with the dollar, the economy, and so many other fronts.
[01:15:53.668 --> 01:15:55.869]  What do you think is most important that we should talk about right now?
[01:15:56.656 --> 01:16:11.982]  Well, I think one of the most important things that everybody needs to be aware of is yesterday, President Ahmadinejad of Iran announced that their nuclear enrichment facilities are now operating at industrial levels to manufacture fuel rods for Iran's power stations.
[01:16:12.503 --> 01:16:22.727]  And a lot of people viewed this as an intentional provocation or escalation of the situation where Iran is waiving its defiance of the world, but in reality what Ahmadinejad
