[00:00:00.349 --> 00:00:01.370]  I'm great.
[01:14:45.658 --> 01:14:47.520]  This is what we're doing to our people.
[01:14:50.106 --> 01:14:50.626]  For what?
[01:14:50.746 --> 01:14:52.868]  This is what my son kept saying, for what?
[01:14:53.228 --> 01:14:53.728]  For what?
[01:14:54.368 --> 01:14:56.390]  You know, not for our country.
[01:14:57.210 --> 01:15:00.972]  They're not dying, they're not suffering for our country.
[01:15:00.992 --> 01:15:05.955]  They're doing it for Halliburton, they're doing it for Chevron, they're doing it for the Houston Oil Group.
[01:15:06.936 --> 01:15:16.421]  And that's the sad tragedy here, is that the American people have to understand that we've invaded Iraq,
[01:15:17.287 --> 01:15:18.548]  We're occupying Iraq.
[01:15:18.608 --> 01:15:20.669]  We're committing tremendous atrocities.
[01:15:20.769 --> 01:15:25.811]  I mean, you mentioned we've killed over 650,000 innocent Iraqis.
[01:15:27.532 --> 01:15:34.395]  Many, many more are dying because we're not allowing them to have medical facilities that are in operation.
[01:15:37.157 --> 01:15:38.477]  There's no potable water.
[01:15:38.497 --> 01:15:39.578]  There's no electricity.
[01:15:39.618 --> 01:15:42.019]  People are literally starving to death.
[01:15:42.039 --> 01:15:44.680]  Baghdad gets power and they're lucky about two hours a day?
[01:15:45.801 --> 01:15:46.421]  If they're lucky.
[01:15:47.600 --> 01:15:48.160]  If they're lucky.
[01:15:48.601 --> 01:15:56.426]  And of course, you know, the green zone, the green zone where the... Prostitutes, topless bars, liquor, bowling alleys.
[01:15:57.427 --> 01:15:57.987]  They have them.
[01:15:58.747 --> 01:15:59.328]  Sex slaves.
[01:16:00.168 --> 01:16:00.629]  They have them.
[01:16:02.370 --> 01:16:04.931]  But the green zone has got electricity all the time.
[01:16:05.332 --> 01:16:07.713]  It's got two Olympic sized swimming pools.
[01:16:08.594 --> 01:16:10.595]  This is where our embassy staff is staying.
[01:16:10.775 --> 01:16:13.457]  And this is where the, you know, the public government is staying.
[01:16:14.077 --> 01:16:16.339]  In the five square miles called the green zone.
[01:16:17.953 --> 01:16:18.053]  Yes.
[01:16:37.725 --> 01:16:39.666]  Well, I mean, it's disgusting.
[01:16:40.106 --> 01:16:47.288]  We know Vietnam was about an endless war for profit and control, but at least they only made you serve one tour.
[01:16:47.489 --> 01:16:53.591]  I mean, this, this, how they're using DU, I mean, they knew about DU in the fifties, but they didn't use it because it was so deadly.
[01:16:53.931 --> 01:16:56.172]  Now they just tell the troops, DU's good for you.
[01:16:56.952 --> 01:16:58.492]  We'll make you serve four or five tours.
[01:16:58.532 --> 01:16:59.513]  That's good for you.
[01:16:59.533 --> 01:17:05.455]  I mean, it seems like a go for broke, just wildness now coming out of this elite.
[01:17:07.922 --> 01:17:13.923]  Oh, you know, just for signing up now, they're giving these new recruits $10,000.
[01:17:15.064 --> 01:17:20.865]  And so if you go on an extra tour, they're also saying, you know, okay, if you go on an extra tour, you know, here's another extra $20,000.
[01:17:21.185 --> 01:17:27.227]  And so what basically we have is we have these guys that are mercenaries.
[01:17:27.247 --> 01:17:33.148]  You know, the mercenaries that we have over there, you know that outside of the US Army,
[01:17:33.678 --> 01:17:34.178]  Are you okay?
[01:18:04.492 --> 01:18:05.673]  And they don't like that.
[01:18:06.754 --> 01:18:08.035]  They're offended by that.
[01:18:09.036 --> 01:18:09.756]  That's what they said.
[01:18:09.816 --> 01:18:11.758]  That's what they said in the pre-trial hearing.
[01:18:11.778 --> 01:18:14.420]  Well, the President isn't even our President.
[01:18:14.440 --> 01:18:16.001]  He signed on to the North American Union.
[01:18:16.241 --> 01:18:19.644]  He's a sack of traitorous filth.
[01:18:19.844 --> 01:18:20.604]  I agree with you.
[01:18:23.026 --> 01:18:31.993]  People have to understand that here we have a self-proclaimed dictator who is just as tyrannical as Hitler.
[01:18:34.525 --> 01:18:38.207]  I believe that, you know, God is on his side and he's right.
[01:18:38.607 --> 01:18:39.547]  Might makes right.
[01:18:41.348 --> 01:18:45.530]  And Americans have to wake up.
[01:18:45.590 --> 01:18:50.272]  Have to wake up to understand what we're doing to the Iraqi people.
[01:18:50.572 --> 01:18:51.853]  Where is your son right now?
[01:18:52.453 --> 01:18:53.833]  He's in Fort Lewis, Washington.
[01:18:53.893 --> 01:18:55.374]  My son is in Fort Lewis, Washington.
[01:18:55.394 --> 01:18:59.016]  Do they have him in the brigade or do they let him walk around?
[01:18:59.036 --> 01:19:00.396]  Oh, he's walking around.
[01:19:00.656 --> 01:19:04.038]  He lives off base and he goes to base every day.
[01:19:04.611 --> 01:19:10.532]  He's been reassigned to I-Corps, which is an administrative unit, and uh... When are they going to try him?
[01:19:10.572 --> 01:19:12.552]  This is going to be on February 5th.
[01:19:12.732 --> 01:19:14.593]  February 5th is going to be a court-martial.
[01:19:15.053 --> 01:19:17.373]  And so what did he say?
[01:19:17.433 --> 01:19:20.954]  I mean, what did he say, these great evil words that the President's deceptive?
[01:19:21.834 --> 01:19:29.295]  Well, he said them in a press conference, and then he also repeated some of the words in
[01:19:33.075 --> 01:19:39.279]  In the Veterans for Peace conference in August, about August 18th of this year.
[01:19:39.299 --> 01:19:51.486]  And so what they've done is they've taken words that's used and of course the judge pointed out to them that, you know, these words are very subjective and it could mean a lot of different things.
[01:19:52.326 --> 01:19:56.569]  But the prosecution says, well, nevertheless, they're offensive to them.
[01:19:57.763 --> 01:20:04.967]  And just because they're offensive, that he should be spending a year in jail for every offensive word that he used.
[01:20:04.987 --> 01:20:10.009]  This is where we're going in this country.
[01:20:10.410 --> 01:20:17.253]  That even soldiers, if they speak out and use words that somebody finds offensive, you're going to get prosecuted for it.
[01:20:17.513 --> 01:20:20.875]  Well, I mean, they're trying to do that with just the general public.
[01:20:20.915 --> 01:20:26.398]  They said the first... Newt Gingrich has given speeches saying, ban the First Amendment, arrest people, ban websites.
[01:20:27.674 --> 01:20:29.234]  Well, your son's gonna keep his soul.
[01:20:29.274 --> 01:20:29.934]  That's what matters.
[01:20:33.455 --> 01:20:37.016]  Do you know where the 78 potentially active volcanoes in the U.S.
[01:20:37.056 --> 01:20:37.556]  are located?
[01:20:37.776 --> 01:20:41.157]  And do you know the locations of the top 300 prime terrorist targets?
[01:20:41.377 --> 01:20:46.078]  You can find these answers and more in the new interactive CD book, Prudent Places USA.
[01:20:46.358 --> 01:20:53.279]  With the more than 50 interactive parameters, you can pinpoint natural and man-made disaster areas, brewing environmental catastrophes,
[01:20:53.559 --> 01:20:54.180]  We're good to go.
[01:21:12.595 --> 01:21:17.240]  The ideal location for cabins and vacation homes, as well as safe and unsafe areas.
[01:21:17.520 --> 01:21:22.945]  Get Prudent Places USA for only $49 plus shipping by calling New Millennium at 888-803-4438.
[01:21:23.045 --> 01:21:25.007]  That's 888-803-4438 to order on the web or at berkeywater.com.
[01:21:33.644 --> 01:21:36.086]  David J. Smith for Newswatch Magazine.
[01:21:36.686 --> 01:21:50.757]  Did you know that there's a secret group that has been trying to destroy all ordered government, eliminate private property, abolish inheritance, rid the nation of patriotism in the family, abolish religion, and establish a world government?
[01:21:51.398 --> 01:22:00.685]  We'd like to help you understand why these things are happening and more about Bible prophecy by offering you an absolutely free one-year subscription to Newswatch Magazine.
[01:22:01.596 --> 01:22:03.098]  Just call our toll-free number, 1-800-516-8736.
[01:22:03.118 --> 01:22:03.578]  That's 1-800-516-8736.
[01:22:03.618 --> 01:22:08.283]  Just call for a one-year free subscription to NewsWatch Magazine.
[01:22:08.303 --> 01:22:08.603]  It's free.
[01:22:08.644 --> 01:22:10.766]  Call now while operators are standing by to take your call.
[01:22:34.663 --> 01:22:38.325]  Hi folks, Jack Browner from Midas Resources, the real money folks.
[01:22:41.627 --> 01:22:44.929]  Let's review a few things from the past year, November 2003 to November 2004.
[01:22:47.535 --> 01:22:49.417]  The Dow has ranged from 9,800 to 10,300.
[01:22:49.937 --> 01:22:52.319]  A 5% increase.
[01:22:52.859 --> 01:22:58.784]  The dollar's value has dropped from 96 cents to 70 cents against the Euro.
[01:22:58.904 --> 01:23:02.027]  A 24% decrease in spending power against the gold-backed Euro.
[01:23:02.876 --> 01:23:08.497]  Gold has gone from the 390s to the 440s, a 16% increase in real money.
[01:23:09.098 --> 01:23:12.118]  Precious metals are the safe haven in today's hectic marketplace.
[01:23:12.698 --> 01:23:17.840]  To learn how to protect your shrinking dollar, call Midas Resources today at 1-800-686-2237.
[01:23:20.400 --> 01:23:23.041]  Remember, gold is liquid, private, and portable.
[01:23:23.741 --> 01:23:26.662]  Call now before your buying power shrinks even more dramatically.
[01:23:27.122 --> 01:23:28.522]  That's Midas Resources at 800-686-2237.
[01:23:33.229 --> 01:23:34.930]  Shelley, you look ex... Oh, wait!
[01:23:35.090 --> 01:23:36.170]  Why did you turn that down?
[01:23:36.190 --> 01:23:38.771]  I get so tired of that girl's squeaky voice.
[01:23:39.271 --> 01:23:43.773]  I'm sure the bed fan works, but that squeaky voice... Well, what's the bed fan?
[01:23:43.933 --> 01:23:46.374]  It's a fan that helps hot sleepers stay cool at night.
[01:23:46.634 --> 01:23:47.815]  I could use something like that.
[01:23:47.935 --> 01:23:50.256]  This menopause thing is really getting to me at night.
[01:23:50.396 --> 01:23:53.277]  And you know how I am about doing that hormone therapy thing.
[01:23:53.357 --> 01:23:55.157]  Besides, you're a hot sleeper yourself.
[01:23:55.257 --> 01:23:57.518]  You're always throwing the covers off in the middle of the night.
[01:23:57.898 --> 01:23:58.519]  I guess you're right.
[01:23:58.899 --> 01:23:59.599]  Why don't we try it?
[01:23:59.759 --> 01:24:01.720]  Just think how nice it'll be to sleep through the night.
[01:24:02.140 --> 01:24:06.525]  Yeah, and just think how nice it'll be this summer and all the money we can save on air conditioning.
[01:24:06.545 --> 01:24:08.227]  I know where we can get some more information.
[01:24:08.607 --> 01:24:12.972]  Sleep Disorder Centers across the country recommend that you must stay cool to get a good night's sleep.
[01:24:13.212 --> 01:24:16.496]  The Bed Van will keep you cool and give you the restful sleep you deserve.
[01:24:16.736 --> 01:24:18.398]  With our 30-day 100% guarantee, you risk nothing.
[01:24:20.240 --> 01:24:21.121]  Are you a hot sleeper?
[01:24:21.341 --> 01:24:22.602]  Is your partner a hot sleeper?
[01:24:22.782 --> 01:24:24.103]  The BedFan is the answer.
[01:24:24.343 --> 01:24:27.706]  Visit us today at www.bedfan.com.
[01:24:27.986 --> 01:24:30.729]  That's www.bedfan.com.
[01:24:30.849 --> 01:24:32.510]  That's B-E-D-F-A-N.
[01:24:34.131 --> 01:24:39.296]  The Genesis Communications Radio Network proudly presents The Alex Jones Show.
[01:24:39.956 --> 01:24:42.919]  Because there's a war on for your mind.
[01:24:43.599 --> 01:24:45.661]  Look, the Naval War College head
[01:24:47.080 --> 01:24:53.484]  Gets up on C-SPAN and says our military works for Wall Street and the World Banks.
[01:24:55.265 --> 01:25:01.568]  DynCorp, our military, and Halliburton were openly in major papers running giant kidnapping rings in Iraq.
[01:25:02.509 --> 01:25:06.151]  I mean, they're involved in every form of trafficking and evil you can imagine.
[01:25:07.552 --> 01:25:13.395]  And I just can't believe anybody would serve over there, that anybody would be involved in this.
[01:25:14.075 --> 01:25:16.657]  And let the military try to persecute and prosecute
[01:25:17.610 --> 01:25:22.694]  People, like Mr. Watada, it's only going to backfire on them.
[01:25:23.074 --> 01:25:25.335]  Now, a lot of troops have spoken out against the war.
[01:25:25.976 --> 01:25:28.578]  Why do you think they have shingled out your son?
[01:25:30.059 --> 01:25:46.870]  They've shingled out my son because, one, he's an officer, and this is a real embarrassment for them that they weren't able to, you know, brainwash my son to the point that he believes that it's okay to kill.
[01:25:49.352 --> 01:25:54.633]  They also do not like the idea that he spoke out.
[01:25:55.954 --> 01:26:04.117]  That he got up at a press conference and said that what is going on in Iraq is wrong.
