[00:00:01.751 --> 00:00:02.471]  Free.
[01:16:26.614 --> 01:16:40.083]  Uh, that they took a 747 hanger, put bolts and chains in the floor, barbed wire fences inside, porta-potties in areas for men, women, and children, and then we went out and interviewed the guards and the people, and they said, yeah, it's some secret camp, and then Fox had to respond to me.
[01:16:40.083 --> 01:16:41.544]  Again, it's in my film, Takeover, folks.
[01:16:41.544 --> 01:16:43.105]  You can watch it for free on Google Video.
[01:16:43.105 --> 01:16:45.046]  Police State 2, The Takeover.
[01:16:45.046 --> 01:16:45.687]  The Takeover.
[01:16:46.167 --> 01:16:50.612]  We'll get it in the DVD box that we're now selling of all three of my Police Day classics.
[01:16:50.612 --> 01:16:58.220]  And they said it's for during emergencies, overflow during riots, riots in Austin, building secret facilities.
[01:16:58.220 --> 01:17:01.504]  And then we looked at the RNC run by Bechtel, George Shultz.
[01:17:02.844 --> 01:17:12.568]  2004, a huge 1930s bus terminal, Pier 57, over 2,000 people held at one time, barbed wire fences, bolts and chains, exact same M.O.
[01:17:12.568 --> 01:17:16.149]  They have these in every, even mid-sized cities, like Austin.
[01:17:16.149 --> 01:17:18.310]  They're not playing games!
[01:17:18.310 --> 01:17:30.674]  No, they absolutely aren't, and along with these very obvious concentration camps, prison facilities, mass detention facilities, as you mentioned earlier, they're also building all these underground command posts
[01:17:31.488 --> 01:17:38.431]  And I remember when I was still living in Los Angeles, we saw one that was built underneath Griffith Park in the middle of Los Angeles.
[01:17:38.431 --> 01:17:41.172]  We saw the construction going on.
[01:17:41.172 --> 01:17:44.774]  My wife is involved in the architectural industry, or was back then before we started.
[01:17:44.774 --> 01:17:50.676]  And now they've announced these fusion centers are federal control arms with CIA and FBI agents over the local community.
[01:17:51.817 --> 01:17:57.700]  Absolutely, but the really intense thing are these underground facilities that they're building.
[01:17:57.700 --> 01:17:59.200]  They're impossible to get to.
[01:17:59.200 --> 01:18:00.701]  They're very expensive.
[01:18:00.701 --> 01:18:04.743]  My wife and I went through the Northridge earthquake in Los Angeles, and when FEMA came in there,
[01:18:05.194 --> 01:18:08.337]  Very little money was actually handed out to any of the earthquake victims.
[01:18:08.337 --> 01:18:12.500]  Most of it was all spent to build this new underground emergency command post.
[01:18:12.500 --> 01:18:14.702]  Same thing with the $200 billion for Katrina.
[01:18:14.702 --> 01:18:20.447]  That's why they let these disasters get as bad as possible to get more funds, and then that's used on the control infrastructure.
[01:18:20.447 --> 01:18:21.668]  Yeah, absolutely.
[01:18:21.668 --> 01:18:34.078]  And we even have one here on the island of Oahu on the H3 freeway, which was this multi-billion dollar road to connect the Kaneohe Marine Base with the Center Island military bases.
[01:18:34.611 --> 01:18:40.899]  And it has this tunnel complex in the middle of it, which, if you look at it, it's very obvious there's a lot more than just tunnels involved there.
[01:18:40.899 --> 01:18:49.048]  So, uh, there's, uh, there's, uh, all these, uh, driveways that go inside the mountains, and all of these windows that peek out, and it's, it really does look like a fortress.
[01:18:49.048 --> 01:18:50.210]  I should send you a picture of that.
[01:18:51.618 --> 01:18:55.741]  And of course, we have Giuliani's little command bunker in Building 7 on 9-11.
[01:18:55.741 --> 01:18:56.742]  Well, there's no debating it.
[01:18:56.742 --> 01:19:04.267]  I mean, the executive order said they can put us all in forced labor camps, use us as slave labor, break up our families.
[01:19:04.267 --> 01:19:09.270]  I don't know if you've ever seen Police State 2000, Mike, but I mean, I have the Marines admitting it's for the U.S.
[01:19:09.270 --> 01:19:13.033]  and admitting they're training to break up our families and take our guns and put us in camps.
[01:19:13.033 --> 01:19:14.274]  Then I have Thomas Sanchez
[01:19:14.674 --> 01:19:30.468]  Emergency management had a highly decorated Vietnam veteran, the head of Kingsville's emergency management, and they called him in and said we're going to do drills for gun confiscation and takeover of the government, and he said hell no and came on my radio show, and he even went on national TV and exposed it back in 99.
[01:19:30.468 --> 01:19:32.409]  I mean, this has been going on a while.
[01:19:32.409 --> 01:19:33.370]  Yes, it has.
[01:19:33.370 --> 01:19:40.096]  Back in the mid-90s, there was a test called the Combat Arms Survey administered to the Marine Corps, who are exempt from posse comitatus.
[01:19:40.755 --> 01:19:46.457]  And it basically came down to, would you be willing to shoot Americans who refused gun confiscation?
[01:19:46.457 --> 01:20:00.981]  And it was a bit of a scandal at the time, but it underscores that this planning to transform the United States into a totally disarmed population of subservient subjects, or tenants, has really been going on for quite a long time now.
[01:20:00.981 --> 01:20:08.443]  But now they're hot and heavy building these things like mushrooms after a big rain, because they know they're getting ready to implode the economy, launch more wars.
[01:20:09.772 --> 01:20:19.794]  Absolutely, and clearly we're seeing the buildup towards an invasion of Iran and the lesson of the midterm election and the will of the people is clearly not a factor in the plan.
[01:20:19.794 --> 01:20:22.535]  Mike Rivera, I want to talk about your new show that starts this weekend.
[01:20:22.535 --> 01:20:25.195]  I also want to get another update from Kevin.
[01:20:25.195 --> 01:20:27.696]  Every time we get off the phone with him, they come up to him again.
[01:20:27.696 --> 01:20:28.796]  They're at the FEMA camp.
[01:20:28.796 --> 01:20:29.956]  We'll check in with him as well.
[01:20:29.956 --> 01:20:30.336]  Stay with us.
[01:20:39.315 --> 01:20:40.876]  Currency devaluation.
[01:20:40.876 --> 01:20:41.897]  Inflation.
[01:20:41.897 --> 01:20:43.318]  One and the same.
[01:20:43.318 --> 01:20:47.321]  If you had deposited $100,000 in a bank at 1% in a 30-month period dating from May 24, 2005, here is what happened to your funds.
[01:20:47.321 --> 01:20:49.403]  The dollar lost 33% of its value in that time frame.
[01:20:49.403 --> 01:20:49.943]  The bank paid you 1%.
[01:20:49.943 --> 01:20:51.724]  Your $100,000 now has a net purchasing power of $68,000.
[01:20:51.724 --> 01:20:52.305]  Here is reality.
[01:20:52.305 --> 01:20:54.366]  The devaluation of currency equals real inflation.
[01:21:09.082 --> 01:21:13.303]  Keep in mind how the value of your paper assets are measured in dollars.
[01:21:13.303 --> 01:21:17.484]  Gold in the same time frame increased 35% in value.
[01:21:17.484 --> 01:21:21.546]  Learn how to protect and profit in this truly unstable world economy.
[01:21:21.546 --> 01:21:23.066]  Call Midas Resources at 1-800-686-2237.
[01:21:23.066 --> 01:21:23.306]  That's 1-800-686-2237.
[01:21:34.440 --> 01:21:35.761]  Good morning, honey.
[01:21:35.761 --> 01:21:42.024]  Wow, the weather is beautiful, the cabin is terrific, and it's the first day of our vacation.
[01:21:42.024 --> 01:21:43.025]  Yeah.
[01:21:43.025 --> 01:21:44.806]  Honey, is there something wrong?
[01:21:44.806 --> 01:21:48.668]  Yeah, I just realized we forgot to pack the travel berkey system.
[01:21:48.668 --> 01:21:50.629]  I can't drink this cabin water.
[01:21:50.629 --> 01:21:52.710]  And what am I going to do when I'm out on the lake?
[01:21:52.710 --> 01:21:54.451]  Now the whole vacation is ruined.
[01:21:54.651 --> 01:21:55.952]  Honey, cheer up!
[01:21:55.952 --> 01:21:58.473]  I brought our Sport Berkey Purifiers!
[01:21:58.473 --> 01:21:59.213]  What?
[01:21:59.213 --> 01:22:09.978]  Yeah, I know you're picky about not having pathogenic bacteria, organic chemicals, heavy metals or foul tastes and odors in the water, so I packed our Sport Berkey Purifiers!
[01:22:09.978 --> 01:22:14.820]  You know, this is a terrific cabin, and wow, have you noticed the beautiful weather?
[01:22:15.140 --> 01:22:16.422]  Don't ruin your vacation.
[01:22:16.422 --> 01:22:18.304]  Get a Travel Berkey today for only $209.
[01:22:18.304 --> 01:22:19.045]  Or get a Sport Berkey for only $39.
[01:22:19.045 --> 01:22:19.286]  Call 888-803-4438.
[01:22:19.286 --> 01:22:19.506]  That's 888-803-4438.
[01:22:19.506 --> 01:22:20.708]  Or order on the web at berkeywater.com.
[01:22:20.708 --> 01:22:22.009]  Travel Berkey not available in Iowa.
[01:22:33.719 --> 01:22:36.901]  David J. Smith for Newswatch Magazine.
[01:22:36.901 --> 01:22:39.823]  Has anyone told you how the Patriot Acts No.
[01:22:39.823 --> 01:22:46.468]  1 and 2 is the groundwork to eliminate all of our freedoms guaranteed to us by the Bill of Rights?
[01:22:46.468 --> 01:22:52.472]  Have you been told that they infringe upon the 1st, 2nd, 4th, 5th, and 14th Amendment?
[01:22:52.472 --> 01:22:54.673]  This is minimum infringement.
[01:22:54.673 --> 01:22:55.454]  There may be more.
[01:22:56.639 --> 01:23:04.123]  Is your guaranteed right to freedom of speech, assembly, religion, privacy, and to own a gun important to you?
[01:23:04.123 --> 01:23:12.807]  We'd like to help you understand why these things are happening by offering you an absolutely free one-year subscription to Newswatch Magazine.
[01:23:12.807 --> 01:23:14.388]  Just call our toll-free number 1-800-516-8736.
[01:23:14.388 --> 01:23:14.708]  That's 1-800-516-8736.
[01:23:26.852 --> 01:23:27.633]  Call now.
[01:23:27.633 --> 01:23:33.618]  Our operators are standing by to take your order.
[01:23:33.618 --> 01:23:35.360]  Shelly, you look exhausted.
[01:23:35.360 --> 01:23:36.200]  What's wrong?
[01:23:36.200 --> 01:23:37.521]  I am so tired.
[01:23:37.521 --> 01:23:40.124]  I just get so hot at night and can't sleep.
[01:23:40.124 --> 01:23:41.265]  I have tried everything.
[01:23:41.265 --> 01:23:43.186]  All kinds of fans, sheets, pillows.
[01:23:43.186 --> 01:23:44.468]  You name it, I've tried it.
[01:23:44.468 --> 01:23:46.910]  My husband has always been a hot sleeper.
[01:23:46.910 --> 01:23:48.711]  He's never had a good night's sleep.
[01:23:48.711 --> 01:23:50.873]  Then we discovered something that really helped.
[01:23:50.873 --> 01:23:53.295]  It's called the BedFan Personal Cooling System.
[01:23:53.295 --> 01:23:53.756]  The what?
[01:23:54.036 --> 01:23:56.257]  The BedFan Personal Cooling System!
[01:23:56.257 --> 01:24:01.781]  It will keep you cool all night long and will work for everyone that sleeps hot, no matter what the reason.
[01:24:01.781 --> 01:24:03.902]  You can see it at BedFan.com.
[01:24:03.902 --> 01:24:05.243]  How well are you sleeping?
[01:24:05.243 --> 01:24:07.285]  Are you getting the rest your body needs?
[01:24:07.285 --> 01:24:11.848]  Sleep Disorder Centers across the country recommend that you must stay cool to get a good night's sleep.
[01:24:11.848 --> 01:24:15.370]  The BedFan will keep you cool and give you the restful sleep you deserve.
[01:24:15.370 --> 01:24:16.971]  With our 30-day 100% guarantee, you risk nothing.
[01:24:18.892 --> 01:24:19.993]  Are you a hot sleeper?
[01:24:19.993 --> 01:24:21.553]  Is your partner a hot sleeper?
[01:24:21.553 --> 01:24:24.715]  Or are you looking for the perfect gift for that person who has everything?
[01:24:24.715 --> 01:24:26.275]  The BedFan is the answer.
[01:24:26.275 --> 01:24:27.896]  Visit BedFan.com.
[01:24:27.896 --> 01:24:34.539]  That's Bed F A N dot com.
[01:24:34.539 --> 01:24:38.981]  Body Union is our big business plan.
[01:24:38.981 --> 01:24:44.384]  And it's going down like a dinosaur.
[01:24:44.384 --> 01:24:46.445]  Body is the gold foot in Kansas.
[01:24:47.626 --> 01:24:48.487]  Welcome back.
[01:24:48.487 --> 01:24:50.849]  Hey, is it tough enough for you?
[01:24:50.849 --> 01:24:54.332]  We got our people out there covering the FEMA camp.
[01:24:54.332 --> 01:24:58.215]  Goom's telling them to turn their cameras off repeatedly.
[01:24:58.215 --> 01:25:00.337]  Van's driving up to them.
[01:25:13.405 --> 01:25:18.946]  We need folks to converge up there that are in the Taylor area, North Austin, Round Rock area.
[01:25:18.946 --> 01:25:21.707]  We need everybody to converge up there at the front.
[01:25:21.707 --> 01:25:22.807]  They're at the back right now.
[01:25:22.807 --> 01:25:24.867]  Kevin, give us a recap of what's happened.
[01:25:24.867 --> 01:25:30.408]  Some of the new developments and the call for people to come out there as observers of the press covering this FEMA camp.
