[00:00:00.049 --> 00:00:00.449]  The 8.
[01:09:24.046 --> 01:09:26.528]  Understand it's not, oh, America will be the big dog.
[01:09:26.588 --> 01:09:28.589]  No, these are guys destroying America.
[01:09:29.609 --> 01:09:35.533]  It refers to key allies such as the UK as the most effective and efficient means of exercising American global leadership.
[01:09:36.133 --> 01:09:42.016]  It describes peacekeeping missions as demanding American political leadership rather than that of the UN.
[01:09:42.536 --> 01:09:46.258]  But notice they increase the UN's funding while, again, acting like they're against it.
[01:09:46.298 --> 01:09:47.439]  This is all sophisticated.
[01:09:48.038 --> 01:09:54.463]  It even should Saddam pass, there's a quote, it says, quote, even should Saddam pass from the scene, U.S.
[01:09:54.483 --> 01:10:02.028]  bases in Saudi Arabia and Kuwait will remain as Iran will prove as large a threat to the U.S.
[01:10:02.088 --> 01:10:03.289]  interests as Iraq has.
[01:10:03.349 --> 01:10:09.273]  It spotlights China for regime change, saying it is time to increase the presence of American forces in Southeast Asia.
[01:10:09.813 --> 01:10:12.595]  However, the same neocons perfected their long-range missiles.
[01:10:13.196 --> 01:10:14.897]  See, they want to go into this third world war.
[01:10:16.678 --> 01:10:21.720]  And the head of the CIA, former head, Woolsey, says it's the 4th World War.
[01:10:22.360 --> 01:10:26.982]  Imagine, national drafts, looting the flags everywhere, crimson-black uniforms marching around.
[01:10:27.002 --> 01:10:28.743]  We had a World War III, folks.
[01:10:28.983 --> 01:10:31.304]  They'll get all that, and we'll never emerge from it.
[01:10:31.644 --> 01:10:35.066]  And then Europe will sit out of the 3rd World War, come out as the leader.
[01:10:35.086 --> 01:10:35.886]  You understand this?
[01:10:36.566 --> 01:10:38.367]  It's gonna happen, unless we get the word out.
[01:10:39.474 --> 01:10:41.555]  The document also calls for the creation of U.S.
[01:10:41.655 --> 01:10:50.299]  Space Forces, which are already in total control of the military, I would add, that dominate space and total control of cyberspace to prevent enemies, quote, using the internet against the U.S.
[01:10:51.380 --> 01:10:52.901]  It also hints that the U.S.
[01:10:52.921 --> 01:11:02.726]  may consider developing biological weapons that can target specific genotypes and may transform biological warfare from the realm of terror to a politically useful tool.
[01:11:03.666 --> 01:11:09.029]  Now, I just read a quote from the Project for a New American Century, one of their documents, Rebuilding American Defenses.
[01:11:10.038 --> 01:11:16.943]  Jane's Weapons publication, the premier group, put out a worldwide emergency alert six months ago saying, Israel, the U.S.
[01:11:16.983 --> 01:11:21.886]  and England have developed race-specific bioweapons and are preparing systems to deploy them.
[01:11:22.307 --> 01:11:36.457]  Folks, stuff that kills all Germans, all truly Semitic Jews, all of the Middle Eastern Muslims, all subgroups of certain Asian classes.
[01:11:37.387 --> 01:11:42.132]  This is them bragging, oh, we can have race-specific weapons that are a valuable tool!
[01:11:44.394 --> 01:11:47.357]  That admittedly will spread worldwide and kill entire races!
[01:11:47.917 --> 01:11:49.178]  Now I've been screaming bloody murder!
[01:11:50.439 --> 01:12:00.309]  Bush is preparing forced inoculation, 5.8 billion in funding, and trying to get 6.3, for BioShield, three dozen level 4 bio-weapons labs to be built in all your major cities,
[01:12:00.979 --> 01:12:09.242]  They're preparing giant cod grays and a national draft of medical personnel and police to forcibly inject you and to force them to take the shots.
[01:12:10.602 --> 01:12:15.404]  The CFR members like Gary Hart have gotten up on TV and have said, we are going to be hit.
[01:12:15.884 --> 01:12:19.645]  We are going to be hit by smallpox in Dallas, Cleveland, and Denver.
[01:12:19.665 --> 01:12:20.886]  Better give up all your rights.
[01:12:22.486 --> 01:12:23.827]  I mean, this is sick, folks!
[01:12:24.969 --> 01:12:26.731]  The document also calls for the creation of U.S.
[01:12:26.751 --> 01:12:27.432]  Space Forces.
[01:12:27.452 --> 01:12:28.133]  It goes on, U.S.
[01:12:28.153 --> 01:12:42.691]  may consider developing biological weapons that, quote, this is from the document, can target specific genotypes and may transform biological warfare from the realm of terror to a politically useful tool.
[01:12:42.932 --> 01:12:43.793]  Did you hear me?
[01:12:45.726 --> 01:12:56.270]  Finally, written a year before 9-1-1, it pinpoints North Korea, Syria, and Iran as dangerous regimes, and says that their existence justifies the creation of the Worldwide Command and Control System.
[01:12:57.350 --> 01:12:57.770]  Ha ha!
[01:12:58.150 --> 01:12:58.510]  Ha ha!
[01:12:59.010 --> 01:13:01.191]  A Worldwide Command and Control System!
[01:13:01.411 --> 01:13:03.432]  The casual society slave grid!
[01:13:04.389 --> 01:13:23.482]  They've announced now, they want to make it the law, ABC News yesterday, to have a job anywhere, you're going to have to wear an ID badge with an RFID chip that tracks you everywhere, and to drive a car you're going to have it, they just so happen to already be put in them, and they're going to track you everywhere you go, and your cell phone does it, and oh, there's going to be hover blimps watching you and looking through your walls with a ground penetrating radar!
[01:13:24.963 --> 01:13:28.825]  Are you starting to get how serious this is?
[01:13:29.546 --> 01:13:30.126]  Read that again.
[01:13:30.306 --> 01:13:33.949]  Finally, written a year before 9-1-1, it pinpoints North Korea, Syria, and Iran,
[01:13:34.728 --> 01:13:40.122]  As dangerous regimes and says their existence justifies the creation of a worldwide command and control system!
[01:13:41.033 --> 01:13:51.540]  I told you, the elite want world dictatorship, so no one can have technologies, no one can bring out new technologies for energy, no one can bring out life extension and disease cures.
[01:13:52.001 --> 01:13:57.324]  All of that goes to the elite, who then create a parallel system above us, the dumbed-down mass.
[01:13:57.625 --> 01:13:58.045]  Here it is.
[01:13:58.085 --> 01:13:59.746]  I've been telling you this for six, seven years.
[01:14:00.527 --> 01:14:01.908]  I give you the threat matrix.
[01:14:01.948 --> 01:14:02.608]  That's what I do.
[01:14:02.848 --> 01:14:08.792]  I look at all their actions, their propaganda, what their futurists are saying, and I know what they're doing.
[01:14:08.852 --> 01:14:09.453]  And here it is.
[01:14:13.183 --> 01:14:15.604]  It goes on, the blueprint for U.S.
[01:14:15.764 --> 01:14:33.188]  world domination, a worldwide command and control system, but before it dismisses as an agenda for right-wing fanatics, it is clear it provides a much better explanation of what really happened before, during, and after 9-1-1, and the global war on terrorism thesis.
[01:14:33.208 --> 01:14:34.808]  This can be seen in several ways.
[01:14:36.649 --> 01:14:39.510]  So this left-wing guy goes, see, they're right-wingers!
[01:14:39.530 --> 01:14:40.750]  See, he's playing a part.
[01:14:42.106 --> 01:14:44.448]  Don't think he's out in the open saying this for nothing, folks.
[01:14:44.508 --> 01:14:47.029]  He's a top minister in England, okay?
[01:14:47.049 --> 01:14:51.792]  You know, why is the German technology minister saying the U.S.
[01:14:51.832 --> 01:14:52.492]  government did it?
[01:14:52.833 --> 01:14:53.833]  It's an absolute fact.
[01:14:53.913 --> 01:14:54.674]  No one else could do it.
[01:14:55.394 --> 01:14:56.655]  Because they own us.
[01:14:56.755 --> 01:14:57.455]  They run us.
[01:14:58.216 --> 01:15:05.740]  And they're going to let everybody see how bad we are, say America did it, when it was an arm of the globalists controlling America.
[01:15:05.760 --> 01:15:10.323]  See, the globalists are up here controlling a puppet that's America that controls other little puppets.
[01:15:11.300 --> 01:15:13.441]  You ever seen that poster, that Iron Maiden poster?
[01:15:13.461 --> 01:15:14.342]  I've seen the t-shirt.
[01:15:14.942 --> 01:15:27.229]  It shows, you know, the devil and he's got strings going down to another demon and then that demon's got strings going down to another demon, down to another demon, down to another demon.
[01:15:27.970 --> 01:15:28.910]  I mean, come on listeners!
[01:15:28.950 --> 01:15:30.091]  I know we got artists out there.
[01:15:30.131 --> 01:15:38.216]  Why don't you make a cartoon of the New World Order European Globalist, which strings down to Bush, which strings down to Al-Qaeda.
[01:15:39.013 --> 01:15:40.194]  Creating the crisis.
[01:15:40.454 --> 01:15:45.316]  And on the other hand, creating the police state thugs and black scheme ass to come enslave us.
[01:15:46.316 --> 01:15:49.538]  Folks, I've read one page of this PNAC expose.
[01:15:50.378 --> 01:15:51.399]  It gets worse and worse.
[01:15:51.459 --> 01:15:53.359]  And I'm just reading what's in the document.
[01:15:53.940 --> 01:15:55.340]  I've read the document on air before.
[01:15:55.760 --> 01:15:59.682]  I did an analysis of it in Police State 3 Total Enslavement, my new film.
[01:16:00.062 --> 01:16:03.384]  But here's a minister over in England coming out with this.
[01:16:04.284 --> 01:16:04.965]  And yes, it's true.
[01:16:05.005 --> 01:16:05.885]  Our government did it all.
[01:16:06.525 --> 01:16:07.286]  And it gets into that.
[01:16:07.346 --> 01:16:08.086]  And the evidence of it.
[01:16:08.903 --> 01:16:10.524]  But it's not our government, see.
[01:16:11.185 --> 01:16:13.847]  They did it.
[01:16:13.907 --> 01:16:15.368]  Problem, reaction, solution.
[01:16:15.588 --> 01:16:18.470]  You've got to be sophisticated enough to understand this.
[01:16:18.550 --> 01:16:24.554]  So I'll come back, we'll take some calls, and I'll get back into page 2, 3, 4, 5, and 6 of this article.
[01:16:25.315 --> 01:16:28.217]  And I suggest that you go read the PNAC document.
[01:16:28.957 --> 01:16:32.880]  I suggest you stand up for this Republic and get the word out now.
[01:16:34.159 --> 01:16:35.862]  You're going, man, this guy's excited.
[01:16:35.902 --> 01:16:36.863]  Yeah, aren't you excited?
[01:16:37.224 --> 01:16:38.405]  Isn't this scary?
[01:16:39.026 --> 01:16:39.487]  He'll be back.
[01:16:44.597 --> 01:16:49.599]  Late summer 2003, mainstream press tells us we're having a stock market recovery.
[01:16:50.000 --> 01:16:52.741]  Late summer 2002, I heard the same thing.
[01:16:53.201 --> 01:16:56.062]  Late summer 2001, you heard the same thing.
[01:16:56.442 --> 01:17:03.566]  The Dow Jones Industrial Average, currently trading in a 93 to 9400 range, is down 7% from two years ago.
[01:17:04.086 --> 01:17:04.986]  That's recovery?
[01:17:05.587 --> 01:17:10.789]  Gold, now trading in the $360 range, is up 31% in that same period.
[01:17:11.189 --> 01:17:12.730]  Where do you want your hard-earned money?
[01:17:13.419 --> 01:17:16.141]  Hi folks, this is Jack Browner with Midas Resources.
[01:17:20.884 --> 01:17:22.465]  I love the sound of real money.
[01:17:22.865 --> 01:17:28.208]  Call your representative today at Midas Resources at 800-686-2237.
[01:17:28.649 --> 01:17:33.232]  Learn how to protect your assets with real wealth, not potentially worthless paper.
[01:17:33.592 --> 01:17:34.432]  Call now, 800-686-2237.
[01:17:34.472 --> 01:17:34.652]  That's 800-686-2237.
[01:17:42.435 --> 01:17:45.696]  Introducing the most efficient gravity filter available.
[01:17:45.836 --> 01:17:50.057]  You know, if you were to throw 100 ball bearings at a magnet, most would bounce off.
[01:17:50.338 --> 01:17:53.198]  But, if you place them on the magnet, all would stick.
[01:17:53.378 --> 01:17:55.799]  The same principle applies in water filtration.
[01:17:55.999 --> 01:18:04.722]  Most filtration systems force water through the filter at 60 to 90 PSI, causing water molecules to race through the filter in less than a second.
[01:18:04.942 --> 01:18:06.303]  The Berkey Light is different.
[01:18:06.523 --> 01:18:10.884]  Water molecules take 5 to 10 minutes to pass through the torturous path
[01:18:11.304 --> 01:18:13.045]  of the self-sterilizing filters.
[01:18:13.325 --> 01:18:25.389]  This allows the proprietary media formulation to remove and reduce pathogenic bacteria, cysts, chemicals, herbicides, pesticides, organic solvents, foul tastes, odors, heavy metals, and nitrates.
[01:18:25.629 --> 01:18:32.271]  It is so powerful it purifies raw, untreated water from remote lakes, streams, and stagnant ponds.
[01:18:32.491 --> 01:18:35.372]  Get the Advanced Berkey Light for only $259 by calling New Millennium at 888-803-4438.
[01:18:40.674 --> 01:18:43.137]  Oh my God!
[01:18:43.417 --> 01:18:48.123]  I can't believe I got these drugs prescribed for free and shipped overnight to my door without seeing a doctor.
