[00:00:12.412 --> 00:00:18.074]  He aligns himself with the truth, and it's time for you to choose a side.
[01:12:13.263 --> 01:12:22.585]  I mean, if you so much as looked at somebody in the eye that was in a cast above you, they would kill you.
[01:12:22.585 --> 01:12:24.246]  That's called feudalism.
[01:12:24.246 --> 01:12:26.506]  That's called keeping people poor.
[01:12:26.506 --> 01:12:27.086]  Okay?
[01:12:27.086 --> 01:12:29.067]  And look what the West has done for Japan.
[01:12:29.067 --> 01:12:34.128]  Look at Japan and its wealth and power and the redistribution through open, free societies.
[01:12:35.506 --> 01:12:38.088]  To the Japanese people compared to what they were under.
[01:12:38.088 --> 01:12:44.614]  Population bloom, freedom, now they've gotten decadent like everybody does, but I'm getting into a history lesson here.
[01:12:44.614 --> 01:12:59.108]  There is a full pitch and push to have anybody of color believe that free market and wealth and success and innovation is something you don't deserve and it's associated with whiteness.
[01:13:00.256 --> 01:13:03.738]  You're being given an operating system, a virus of failure.
[01:13:03.738 --> 01:13:22.006]  And just break your conditioning, get out of it, and look at how all these liberal groups are almost to a person led by weird, twisted, controlling, Luciferian-supporting, literally, Saul Owenski-pledged people.
[01:13:22.006 --> 01:13:24.607]  Hillary was a pen pal and a protege of him.
[01:13:24.607 --> 01:13:28.308]  I mean, he forwarded his book saying, I pledge allegiance to Lucifer.
[01:13:28.308 --> 01:13:29.709]  And I pledge this book to Lucifer.
[01:13:31.323 --> 01:13:40.070]  You have to understand, really evil people are weak, but they have knowledge of manipulation, and so they hate the people under them.
[01:13:40.070 --> 01:13:43.913]  And I don't want to say it's a white conspiracy, but it's just what I've seen.
[01:13:43.913 --> 01:13:48.817]  It's really weird to see twisted, physically ugly white people leading
[01:13:50.791 --> 01:13:54.132]  Healthy looking on average groups of minorities.
[01:13:54.132 --> 01:13:55.832]  It's just something I've observed.
[01:13:55.832 --> 01:14:03.395]  A bunch of young minorities being led by always some twisted old white guy or woman who just literally look like Emperor Palpatine or something.
[01:14:03.395 --> 01:14:04.755]  I mean, look at Chuckie Schumer.
[01:14:04.755 --> 01:14:06.375]  The guy looks like a frickin' demon.
[01:14:06.375 --> 01:14:07.476]  He acts like a frickin' demon.
[01:14:07.476 --> 01:14:09.756]  Excuse me, I'm not gonna say... My dad always calls when I say that.
[01:14:09.756 --> 01:14:10.777]  That's the same thing as cussing.
[01:14:10.777 --> 01:14:11.337]  Don't do that.
[01:14:11.337 --> 01:14:12.097]  Right, it's a family show.
[01:14:12.097 --> 01:14:13.257]  I apologize.
[01:14:13.257 --> 01:14:13.777]  I apologize.
[01:14:13.777 --> 01:14:14.338]  I start thinking about...
[01:14:17.108 --> 01:14:19.149]  Anthony Weiner and just all of it.
[01:14:19.149 --> 01:14:20.509]  It's mind-blowing.
[01:14:20.509 --> 01:14:28.812]  By the way, if you just joined us, we told you that Weiner was being looked at for indictment, months before it was even in the news, for child pornography.
[01:14:28.812 --> 01:14:30.513]  We broke that here.
[01:14:30.513 --> 01:14:32.394]  They diverted off into Pizzagate.
[01:14:32.394 --> 01:14:37.656]  And now, headlines, they're looking at indicting him for child pornography.
[01:14:37.656 --> 01:14:38.356]  And the word is,
[01:14:39.465 --> 01:14:49.027]  Hillary tried to steal the election, she failed, and she was told that night through Podesta, if you continue, and if you try to steal the election and challenge us and have a civil war, all of it's going to come out.
[01:14:49.027 --> 01:14:50.968]  And it's going to hurt the country.
[01:14:50.968 --> 01:15:02.651]  She claimed she was capitulating, she didn't, they reorganized behind the scenes, and all the PPGate and all the Russiagate crap you've seen has been the fallout of it, and Soros isn't stopping either.
[01:15:02.651 --> 01:15:04.171]  None of them are stopping right now.
[01:15:06.693 --> 01:15:13.598]  And we have to be conscious and aware of that situation and understand they have these Judas goats.
[01:15:13.598 --> 01:15:22.524]  For those who don't know, when you've got goats that you send in to be sheared or sheep or whatever to be slaughtered, goats, sheep, apples and oranges, but same technique.
[01:15:22.524 --> 01:15:31.930]  You have one old billy goat or the leader that leads them into the slaughter every year when you choose out who you want to eat, who you want to shear, who you want to sell, who you want to keep.
[01:15:33.203 --> 01:15:34.905]  That's called the Judas Goat.
[01:15:34.905 --> 01:15:39.589]  And Oprah Winfrey is a black Judas Goat of the highest order.
[01:15:39.589 --> 01:15:43.172]  She is in the highest order of the global system.
[01:15:43.172 --> 01:15:45.915]  And I'm going to prove that coming up at about 40 after.
[01:15:45.915 --> 01:15:49.838]  We're going to play a special report, The Truth About Oprah Winfrey.
[01:15:49.838 --> 01:15:59.287]  But going now to my co-host for the hour, Owen Schroer, I want to get into the attacks of Anheuser-Busch saying, oh look, an immigrant
[01:15:59.787 --> 01:16:02.568]  Started Anheuser-Busch and now he wouldn't be here today.
[01:16:02.568 --> 01:16:03.809]  Immigrants are our strength.
[01:16:03.809 --> 01:16:05.469]  We already know that.
[01:16:05.469 --> 01:16:13.373]  You can't have unlimited, unvetted people coming in and having their babies for free and then being brainwashed to be anti-white, anti-America.
[01:16:14.597 --> 01:16:15.438]  In a globalist plan.
[01:16:31.135 --> 01:16:37.622]  Because they've had it good for so long, and they tie perfectly into this whole cosmology of chip-on-the-shoulder culture.
[01:16:37.622 --> 01:16:47.792]  And I'm so sick and tired of it, and I want it to come to an end, but I want to get to this Anheuser-Busch ad and then Mark Dice's take on it in a moment, but I know this is something you've been covering.
[01:16:47.792 --> 01:16:49.153]  How transparent can it get?
[01:16:49.153 --> 01:16:49.573]  Here's the key.
[01:16:50.154 --> 01:16:56.839]  The entire corporate media, Hollywood, foreign governments, every bad actor, the evil Pope that Catholics are openly calling the devil.
[01:16:56.839 --> 01:16:58.240]  He is.
[01:16:58.240 --> 01:16:59.641]  His whole church is against him now.
[01:16:59.641 --> 01:17:03.424]  He's a takeover artist, using pedophile rings to take over yet again.
[01:17:03.424 --> 01:17:11.950]  The communist Chinese, the Saudi Arabians, every bad actor, every wickedly known evil group that oppresses their own people is openly telling us we can't have Trump.
[01:17:11.950 --> 01:17:14.552]  And the fact that the corporate media is coming out against him again.
[01:17:14.912 --> 01:17:20.580]  He certifies how good and how real he is, but now we don't just have that confirmation, Owen.
[01:17:20.580 --> 01:17:28.211]  We have them openly trying to destroy him and only intensifying their efforts now that he's in power and he's delivering on every front.
[01:17:28.211 --> 01:17:29.393]  This is amazing.
[01:17:29.393 --> 01:17:31.176]  This shows there's not just evil in this world.
[01:17:31.957 --> 01:17:42.242]  Well, here's two realities that we're dealing with right now, and this is what I try to tell the people that hopefully can awaken people who just think Trump is this evil dictator, this Nazi, this racist.
[01:17:42.242 --> 01:17:50.547]  The same media that is tearing Trump down as the bad guy is the same media that builds up the cartrashians as idols.
[01:17:51.147 --> 01:17:52.268]  Think about that.
[01:17:52.268 --> 01:17:54.431]  You want to know what's wrong with culture and society?
[01:17:54.431 --> 01:17:58.095]  It's people like the Cartrashians being idolized by the youth.
[01:17:58.095 --> 01:18:00.217]  People who contribute nothing to society.
[01:18:00.217 --> 01:18:01.098]  Fake people!
[01:18:01.098 --> 01:18:08.326]  You've got fake people like the Cartrashians influencing society, and then you've got fake news like CNN influencing society.
[01:18:08.326 --> 01:18:11.570]  But then beyond that, what's the other reality we're dealing with?
[01:18:11.570 --> 01:18:12.010]  The most
[01:18:12.921 --> 01:18:16.443]  Discriminated people against in this country right now are Trump supporters.
[01:18:16.443 --> 01:18:24.386]  And if you don't believe that, I challenge you to put on a Make America Great Again hat, walk around for a couple days, see what happens to you.
[01:18:24.386 --> 01:18:26.527]  See if you don't get yelled at in the streets.
[01:18:26.527 --> 01:18:28.748]  See if you don't get physically assaulted.
[01:18:28.748 --> 01:18:29.789]  My bet are that you will.
[01:18:29.789 --> 01:18:32.130]  And they're trying to intimidate us, they're trying to bully us, that's why.
[01:18:32.930 --> 01:18:34.611]  I'm not using a grandstand in public.
[01:18:34.611 --> 01:18:37.892]  I'm now aggressively wearing Trump's My President shirts and my hat.
[01:18:37.892 --> 01:18:40.694]  In fact, when I get back to Austin, I want to go out to 6th Street.
[01:18:40.694 --> 01:18:46.757]  I want to go everywhere with the crew and just show the tribe of dribbling idiots that are against us.
[01:18:46.757 --> 01:18:51.219]  So, here's why I'm starting to get mad about this, Alex, because it's getting worse.
[01:18:51.219 --> 01:18:57.182]  Now, I know that you're, I don't know what your travel plans are, but you're going to be on Joe Rogan later today, which is going to be great.
[01:18:57.182 --> 01:18:57.942]  I'm looking forward to that.
[01:18:57.942 --> 01:19:01.524]  I think it'll be the biggest Joe Rogan podcast in a long, long time, maybe ever.
[01:19:02.384 --> 01:19:09.912]  But tomorrow, in LA, in West Hollywood, there's a massive Trump protest scheduled.
[01:19:09.912 --> 01:19:11.654]  It's going to be huge.
[01:19:11.654 --> 01:19:16.759]  There will probably be 10,000 people out there, just like we saw at the airport after the travel ban.
[01:19:16.759 --> 01:19:18.981]  These are total puppets falling for fake news.
[01:19:18.981 --> 01:19:21.043]  So here's why I'm getting so upset about this, Alex.
[01:19:22.113 --> 01:19:26.196]  The Democrats are responsible for this.
[01:19:26.196 --> 01:19:29.838]  The Democrats like Tim Kaine and Chuck Schumer.
[01:19:29.838 --> 01:19:31.299]  They blew up the Middle East.
[01:19:31.299 --> 01:19:32.640]  They created the refugee crisis.
[01:19:32.640 --> 01:19:33.500]  They opened the borders.
[01:19:33.500 --> 01:19:36.802]  Now Trump just does what the law says, and they flip out.
[01:19:36.802 --> 01:19:38.604]  And then I got off the plane last night.
[01:19:38.604 --> 01:19:43.106]  It was like 60, 70 stupid protesters, all screaming, KKK, go away.
[01:19:43.106 --> 01:19:45.948]  What, I mean, what, how about radical Islam, quitting slaving women?
[01:19:45.948 --> 01:19:47.189]  No, they're just a pack of liars.
[01:19:47.189 --> 01:19:47.549]  What KKK, Alex?
[01:19:47.549 --> 01:19:48.830]  Did you have an outfit on?
[01:19:48.830 --> 01:19:50.591]  Why are they chanting KKK at you?
[01:19:50.591 --> 01:19:51.452]  It makes no sense!
[01:19:52.990 --> 01:19:58.914]  They were just randomly marching up, chanting at families, bumping into people, just a bunch of idiot morons.
[01:19:58.914 --> 01:20:01.015]  Definitely all hired by Sporos.
[01:20:01.015 --> 01:20:03.677]  Hostage by your wireless carrier for two years.
[01:20:03.677 --> 01:20:09.361]  What if there were no contracts, no activation fees, no tracking, tracing, or draconian gimmicks?
