[00:00:07.976 --> 00:00:08.336]  It's May Day.
[01:02:36.182 --> 01:02:36.582]  Hillary!
[01:02:36.642 --> 01:02:37.062]  Hillary!
[01:02:37.242 --> 01:02:38.262]  I'm reprogramming!
[01:02:38.802 --> 01:02:40.903]  I'm reprogramming!
[01:02:41.023 --> 01:02:41.763]  No!
[01:02:41.963 --> 01:02:42.423]  No!
[01:02:42.923 --> 01:02:43.223]  All right!
[01:02:43.243 --> 01:02:43.343]  No!
[01:02:43.423 --> 01:02:43.903]  Hillary!
[01:02:44.224 --> 01:02:44.704]  Hillary!
[01:02:44.804 --> 01:02:46.284]  Save me, Bobby!
[01:02:46.424 --> 01:02:48.844]  Hillary!
[01:02:49.845 --> 01:02:51.145]  Russian scum!
[01:02:53.988 --> 01:02:59.050]  The stay-behind networks, the deep state operatives, the shadow government that won't leave.
[01:03:00.071 --> 01:03:01.291]  Why are they coming after us?
[01:03:01.872 --> 01:03:02.572]  Look at Le Pen.
[01:03:03.593 --> 01:03:08.035]  Frances Le Pen, on offensive with a vote a week away.
[01:03:08.495 --> 01:03:13.777]  She's now ahead, even in their twisted polls, against her competitor in the runoff.
[01:03:14.157 --> 01:03:18.880]  Le Pen's Euro contortions underlined French reluctance to exit.
[01:03:19.659 --> 01:03:25.722]  Can Le Pen beat Macron in the French election despite losing in the first round?
[01:03:26.922 --> 01:03:28.663]  This is a big deal, ladies and gentlemen.
[01:03:28.703 --> 01:03:33.205]  And even if she loses, think of a nationalist anti-globalist that close to winning.
[01:03:34.446 --> 01:03:35.986]  That's why they want to punish her.
[01:03:36.086 --> 01:03:40.749]  She's under criminal indictment and they're trying to disqualify her right now.
[01:03:41.269 --> 01:03:43.750]  And they're saying even if she wins, they're going to arrest her.
[01:03:45.000 --> 01:03:47.502]  She's a member of the EU Parliament, so she had immunity.
[01:03:47.822 --> 01:03:49.164]  Oh yeah, the EU gave herself immunity.
[01:03:49.444 --> 01:03:53.507]  But now, they're trying to strip that immunity.
[01:03:53.768 --> 01:04:01.534]  The fake job scandal involving France's far-right presidential candidate Marine Le Pen could amount to some 5 million euros.
[01:04:02.195 --> 01:04:10.262]  According to Agence France-Presse, investigators have unearthed new evidence suggesting 17 other front national deputies are involved.
[01:04:10.902 --> 01:04:16.608]  Among them, her partner Louis Aliot and Front National Vice President Florian Filippo.
[01:04:17.469 --> 01:04:24.316]  Le Pen is alleged to have faked her parliamentary expenses to pay her bodyguard and assistant close to €340,000.
[01:04:25.477 --> 01:04:30.482]  Earlier this month, French prosecutors asked the European Parliament to lift her immunity from prosecution.
[01:04:38.348 --> 01:04:49.075]  The word's gone out.
[01:04:49.396 --> 01:04:53.739]  Lawsuits, attacks, whatever it takes, you're going to be shut down.
[01:04:53.839 --> 01:04:54.259]  You know what?
[01:04:54.579 --> 01:04:56.641]  If that's what happens, that's what's supposed to happen.
[01:04:57.021 --> 01:04:58.082]  It's like the Alamo, baby.
[01:04:58.342 --> 01:04:59.563]  I'm never giving in.
[01:04:59.923 --> 01:05:01.224]  Victory or death.
[01:05:03.900 --> 01:05:16.463]  Although conservative commentator Ann Coulter backed out of showing up to her already cancelled speech at Berkeley, that didn't stop freedom-loving Americans from conducting a large First Amendment rally in its place.
[01:05:16.683 --> 01:05:24.425]  Prominent social media icons such as Gavin McInnes, Lauren Southern, Based Stickman, Baked Alaska, Brittany Pettibone, and
[01:05:24.605 --> 01:05:29.009]  Faith Goldie showed up to support free speech and gave speeches.
[01:05:29.230 --> 01:05:38.098]  Reports that the Berkeley police did their job in protecting the peace have come in, and apparently a total of six Antifa protesters were arrested.
[01:05:38.338 --> 01:05:43.864]  Two for resisting arrest, one for a drug violation, and another for possessing a weapon.
[01:05:44.184 --> 01:05:52.568]  Two more arrests were made earlier in the day for possession of a knife and obstructing an officer and wearing a mask to evade police.
[01:05:52.828 --> 01:05:58.650]  Despite these arrests, the protests remained peaceful and dialogue between both sides was present.
[01:05:58.890 --> 01:06:02.012]  This is Millie Weaver reporting to you for InfoWars.com.
[01:06:03.715 --> 01:06:11.480]  Infowars has partnered with Defender Body Armor to bring you a new state-of-the-art line of advanced, highly tested body armor from InfowarsStore.com.
[01:06:11.700 --> 01:06:18.124]  Defender Body Armor is certified to protect against all handgun rounds and even armor-piercing FN 5.7 pistol rounds.
[01:06:18.344 --> 01:06:26.629]  The secret to Defender Body Armor is its proprietary processing technology that disperses more kinetic energy at a rate higher than any other traditional body armor.
[01:06:26.909 --> 01:06:35.656]  Using one of the strongest synthetic materials ever created, called Ultra High Molecular Weight Polyethylene, Defender Armor is also super compact and lightweight.
[01:06:35.936 --> 01:06:41.680]  There's a reason the Department of Defense chose Defender to manufacture their new line of advanced lightweight armor.
[01:06:42.020 --> 01:06:42.481]  It works.
[01:06:42.761 --> 01:06:51.088]  Defender Body Armor is made right here in America and has received the highest level ballistic resistance certification from an authorized NIJ ballistic laboratory.
[01:06:51.108 --> 01:07:00.615]  Defender Body Armor is now available through InfoWarStore.com so you can defend yourself, your family, and finance the Info War against the globalists all at the same time.
[01:07:00.996 --> 01:07:01.476]  A total 360 win.
[01:07:03.558 --> 01:07:04.078]  I do not agree.
[01:07:04.138 --> 01:07:05.540]  You developed Living Defense for us.
[01:07:05.580 --> 01:07:06.661]  It took you over a year to do it.
[01:07:06.901 --> 01:07:07.842]  Why is this so good?
[01:07:08.122 --> 01:07:13.366]  Because people are actually waking up to the problem that pretty much scares me the most.
[01:07:13.446 --> 01:07:26.997]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system, but right now we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism.
[01:07:27.057 --> 01:07:28.439]  Right now with all the refugees,
[01:07:29.339 --> 01:07:30.801]  Spreading disease around.
[01:07:30.861 --> 01:07:33.344]  We have biological warfare going on everywhere.
[01:07:33.444 --> 01:07:34.705]  These are all parasites.
[01:07:34.745 --> 01:07:35.847]  Tell us about all the stuff that's in it.
[01:07:35.867 --> 01:07:36.948]  There's so many things that are in it.
[01:07:37.216 --> 01:07:41.518]  You have the neem in there, you have the organic clove bud, the organic wormwood.
[01:07:41.738 --> 01:07:44.879]  I recommend doing the parasite cleanse at least twice a year.
[01:07:45.039 --> 01:07:48.080]  Alright, well, I'm glad we've got some back in because I'm going back on it today.
[01:07:48.120 --> 01:07:49.120]  It just came back in yesterday.
[01:07:49.160 --> 01:07:51.041]  Living Defense, Infowarslife.com.
[01:07:51.101 --> 01:07:52.121]  And folks, you can't lose.
[01:07:52.141 --> 01:07:54.222]  It's full of stuff that's great for your body, period.
[01:07:54.862 --> 01:07:56.723]  And you support the broadcast.
[01:07:56.783 --> 01:07:57.883]  Infowarslife.com.
[01:07:58.123 --> 01:08:00.024]  Thank you, Dr. Group from the Global Healing Center.
[01:08:00.404 --> 01:08:02.365]  Thank you so much for all your work, sir, on this great product.
[01:08:12.350 --> 01:08:13.310]  You want answers?
[01:08:13.350 --> 01:08:15.111]  Well, so does he.
[01:08:15.531 --> 01:08:25.653]  It's Alex Jones.
[01:08:26.934 --> 01:08:37.056]  Okay, I want to open the phones up, play a lot of Trump clips this hour, and talk about the Le Pen situation with her now at many polls ahead of the Macron globalists.
[01:08:37.076 --> 01:08:38.316]  This is very, very exciting.
[01:08:38.776 --> 01:08:40.577]  Those stories are up on InfoWars.com.
[01:08:42.611 --> 01:08:54.455]  I also want to get more into some video clips that are up on Infowars.com with Maxine Waters saying Trump's illegal immigration comments are racist dog whistles.
[01:08:56.856 --> 01:09:03.958]  They're also now saying again that anybody that makes the A-OK symbol is a white supremacist.
[01:09:05.239 --> 01:09:11.241]  And I guess it's supposed to say the three fingers mean white or like W and then
[01:09:13.652 --> 01:09:18.673]  I guess power and upside down P. Ladies and gentlemen, that's total schizophrenia.
[01:09:20.774 --> 01:09:24.735]  Total mental illness that the system's trying to give the public.
[01:09:26.576 --> 01:09:29.056]  Is the W hotel racist because it's a W?
[01:09:30.377 --> 01:09:33.478]  The W means W and the H means Hal Hitler.
[01:09:33.858 --> 01:09:34.598]  White Hitler!
[01:09:36.858 --> 01:09:37.879]  That sounds crazy, doesn't it?
[01:09:37.899 --> 01:09:38.679]  Because it is crazy.
[01:09:41.434 --> 01:09:46.438]  Some of my listeners think that when I do the A-OK sign, that I'm saying Illuminati.
[01:09:47.079 --> 01:09:48.220]  They claim that's Illuminati.
[01:09:48.680 --> 01:09:55.686]  No, I grew up with it in Jell-O commercials, and there was some type of coconut milk in a can.
[01:09:55.706 --> 01:10:01.911]  I remember there was like a black guy, had a cool voice when I was a little kid, he'd go, coconuts, ah, ah, coconuts from Jamaica.
[01:10:02.331 --> 01:10:04.393]  Can somebody find that ad on YouTube?
[01:10:06.615 --> 01:10:09.097]  I bet if you go to YouTube and put in, ah, coconut,
[01:10:10.282 --> 01:10:11.322]  That we can find that ad.
[01:10:11.342 --> 01:10:13.883]  It was like... And then he started doing the Almond Joy ads, too.
[01:10:14.184 --> 01:10:17.925]  So he did coconut milk ads, he did Almond Joy, and that's how I got it in my head.
[01:10:18.245 --> 01:10:29.230]  And then Jell-O had ads throughout the 80s and stuff, and I was still a kid then, a teenager, where didn't Bill Cosby do that and say, mmm, delicious?
[01:10:30.410 --> 01:10:32.411]  The point is, it means A-OK.
[01:10:33.171 --> 01:10:39.274]  My dad, whenever something's A-OK, I'm like, hey, did I bring the right shingles up or the right hammer?
[01:10:40.578 --> 01:10:42.479]  Have nails in his mouth and he'd do A-OK.
[01:10:43.339 --> 01:10:46.640]  And it means in international sign language, A-OK.
[01:10:46.660 --> 01:10:57.923]  In fact, before I even give the number out and hit other news, let's play Paul Joseph Watson's report dealing with this because it just illustrates how crazy everything's gotten.
[01:10:58.323 --> 01:11:06.205]  It's up on Infowars.com because then Mike Cernovich got weak passes into the White House Press Corp.
[01:11:08.860 --> 01:11:11.963]  And he and another reporter went, hey, we got him.
[01:11:13.964 --> 01:11:15.786]  Obviously trolling the media, knowing they'd say that.
[01:11:16.606 --> 01:11:17.727]  But Trump does it all the time.
[01:11:17.968 --> 01:11:24.673]  When Trump says, I'm going to handle it, are you guaranteed we're going to end up cutting your taxes?
[01:11:24.693 --> 01:11:25.614]  That clip's coming up next.
[01:11:25.934 --> 01:11:29.257]  He was on a speech today saying, we're going to cut them, we're going to get the economy going.
[01:11:29.557 --> 01:11:32.740]  In all corporate language, that means it's handled.
[01:11:33.462 --> 01:11:36.504]  What I love about Trump's mannerisms is he waves his arms around like I do.
[01:11:36.984 --> 01:11:38.866]  I have pretty much the same mannerisms as Trump.
[01:11:39.466 --> 01:11:40.907]  I wasn't trained in mannerisms.
[01:11:40.967 --> 01:11:42.148]  I didn't go to college for it.
[01:11:43.129 --> 01:11:45.430]  I've had media people ask why I wave my arms around.
[01:11:46.431 --> 01:11:49.133]  I've had Italians come out so many times at my rallies and events.
[01:11:50.253 --> 01:11:57.618]  Even at my grandfather's funeral, I gave a speech and this Italian guy that was in his church came up and he goes, I love your grandpa, but by the way, are you Italian?
[01:11:57.638 --> 01:11:59.720]  Because you wave your arms around even more than we do.
[01:12:01.442 --> 01:12:02.563]  But that's just what I do!
[01:12:02.783 --> 01:12:03.463]  I can't help it.
[01:12:03.563 --> 01:12:04.564]  I talk with my hands.
[01:12:05.244 --> 01:12:07.586]  And Trump does the exact same mannerisms.
[01:12:08.666 --> 01:12:12.008]  I mean, I'm going back to videos I did 15 years ago, and it's this hand signal.
[01:12:13.029 --> 01:12:14.190]  It's this hand signal.
[01:12:14.610 --> 01:12:15.671]  It's that hand signal.
[01:12:15.751 --> 01:12:16.471]  It's the thumb.
[01:12:17.452 --> 01:12:19.033]  It's pointing.
[01:12:19.053 --> 01:12:19.933]  They say, don't point.
[01:12:20.293 --> 01:12:21.014]  People don't like it.
[01:12:21.914 --> 01:12:22.555]  Well, guess what?
[01:12:22.595 --> 01:12:23.095]  Trump points.
[01:12:23.135 --> 01:12:23.876]  They found it!
[01:12:25.356 --> 01:12:26.597]  They found the coconut guy.
[01:12:26.617 --> 01:12:27.598]  Was it for coconut milk?
[01:12:29.821 --> 01:12:30.321]  What is it for?
[01:12:30.341 --> 01:12:31.402]  Yeah, it's for coconut milk.
[01:12:33.723 --> 01:12:34.083]  What is it?
[01:12:35.944 --> 01:12:36.024]  7UP.
[01:12:36.124 --> 01:12:39.747]  Okay, see, I remembered, like, coconut milk or something.
[01:12:40.187 --> 01:12:41.327]  Or Almond Joy.
[01:12:42.148 --> 01:12:42.908]  Showing my memory.
[01:12:43.669 --> 01:12:46.230]  7UP, no caffeine, Jeffrey Holder.
[01:12:46.250 --> 01:12:47.751]  But I think he did ads for other people, too.
[01:12:47.991 --> 01:12:49.332]  Here, here, let's back him up and play this.
[01:12:49.352 --> 01:12:50.993]  Go ahead and start it from the beginning, please.
[01:12:55.155 --> 01:12:56.516]  Oh, there's no audio on that computer.
[01:12:56.556 --> 01:12:58.137]  Okay, well, as soon as you can download it, we'll play it.
