[00:00:01.877 --> 00:00:07.322]  You're listening to The Alex Jones Show.
[01:26:49.762 --> 01:26:55.144]  What this does, is now when you open the Qur'an, it's the first one ever where we've done it back to front.
[01:26:55.144 --> 01:27:01.446]  So, when you open the start of the Qur'an here, the first thing you will read is the last thing Muhammad said.
[01:27:01.446 --> 01:27:03.167]  And it will be very clear to you.
[01:27:03.167 --> 01:27:10.490]  We've done it in bold writing, so as you get to all the words of violence and war are then in bold writing in the chronological Qur'an.
[01:27:10.490 --> 01:27:13.611]  Now, when you get to the peaceful verses, because anyone who knows Muhammad,
[01:27:14.211 --> 01:27:16.953]  In his first 10 years of his life, he was quite peaceful, yeah?
[01:27:16.953 --> 01:27:20.015]  All the war, all the rape, all the jihad was introduced later.
[01:27:20.015 --> 01:27:26.960]  So when you get to the peaceful verses, which now are at the back of the Qur'an, it's actually their Qur'an, word for word, but the words are at the back.
[01:27:26.960 --> 01:27:34.985]  They'll have a little line through them, when you get to the peaceful ones, and they'll just have afterwards cancelled by verse 2160.
[01:27:34.985 --> 01:27:38.848]  So they'll tell you which verses cancel them out due to abrogations.
[01:27:38.848 --> 01:27:43.691]  You'll then go to the verse to read what cancels it out, and you'll fully understand why when you read all the rape and the war.
[01:27:44.331 --> 01:27:50.813]  The idea is that non-Muslims like us, which is our biggest job, is getting people to understand this lie that we've been told.
[01:27:50.813 --> 01:27:59.815]  And when you see it and understand that throughout the whole of our history, our world leaders, our academics, our clergy, they all told the truth.
[01:27:59.815 --> 01:28:01.716]  They all told the truth about Islam.
[01:28:02.416 --> 01:28:11.663]  This new era, this lie that we've been perpetrated now, that's been pushed upon us, has all really come around from George Bush after September 11th telling us Islam is the origin of peace.
[01:28:11.663 --> 01:28:15.165]  And what we then do is we quote leader after leader after leader.
[01:28:15.165 --> 01:28:20.829]  And when you actually pick this up and by the end of reading it, I'd say to people, I can see them banning this.
[01:28:20.829 --> 01:28:21.850]  I can see them banning it.
[01:28:22.600 --> 01:28:24.561]  I can see them already starting a campaign.
[01:28:24.561 --> 01:28:27.501]  It's number three currently on the UK Amazon chart.
[01:28:27.501 --> 01:28:32.863]  I am desperate to have Tommy Robinson have the best-selling Quran in British history.
[01:28:32.863 --> 01:28:39.085]  So, the biggest thing and the joy I get, and even people say you're going to get a fatwa for that, they're going to kill you.
[01:28:39.085 --> 01:28:40.425]  You see if I'm killed for writing this book?
[01:28:40.905 --> 01:28:42.206]  The whole country's going to read this book.
[01:28:42.206 --> 01:28:48.068]  When the whole country reads this book, the whole country and across the world, they will understand what we're up against.
[01:28:48.068 --> 01:28:54.970]  They'll understand just how much we're being betrayed and the deception we've been put through to be fed the lies against Islam.
[01:28:54.970 --> 01:28:55.990]  And yeah, that's it.
[01:28:55.990 --> 01:28:56.971]  I'm excited about it.
[01:28:56.971 --> 01:29:02.933]  I'm excited every cell that goes through because I know it's another person whose eyes are going to be opened and they will be armed with the defence.
[01:29:02.933 --> 01:29:06.134]  If people are saying to you, Islam's religion of peace, read that.
[01:29:06.134 --> 01:29:06.414]  OK?
[01:29:06.414 --> 01:29:08.395]  That puts it all in order.
[01:29:08.395 --> 01:29:09.495]  So yeah, I'm happy.
[01:29:10.453 --> 01:29:11.874]  I'm happy about it.
[01:29:11.874 --> 01:29:14.156]  It's the basic Medina Mecca split, isn't it?
[01:29:14.156 --> 01:29:15.357]  Most people don't understand this.
[01:29:15.357 --> 01:29:17.499]  Most basic bitches, basically.
[01:29:17.499 --> 01:29:22.984]  They see the memes, they see the inspirational quotes about, oh, if you kill one person, you kill the world.
[01:29:22.984 --> 01:29:25.666]  Yes, it's completely self-contradictory.
[01:29:25.666 --> 01:29:28.909]  As you said, later on, that's directly contradicted.
[01:29:29.429 --> 01:29:32.131]  By all the kill all the infidels passages.
[01:29:32.131 --> 01:29:33.911]  That kind of stuff comes later on.
[01:29:33.911 --> 01:29:35.912]  That supersedes it, as you said.
[01:29:35.912 --> 01:29:42.076]  Most people will never even see that stuff because they're completely brainwashed and indoctrinated.
[01:29:42.076 --> 01:29:46.378]  Let's get Tommy's book to the top of the Amazon bestseller charts.
[01:29:46.378 --> 01:29:48.059]  Imagine how many people that will trigger.
[01:29:48.059 --> 01:29:49.900]  That will be absolutely glorious.
[01:29:49.900 --> 01:29:52.321]  We'll be back after the break with Tommy Robinson.
[01:29:52.321 --> 01:29:53.742]  InfoWars.com.
[01:29:53.742 --> 01:29:54.262]  Don't go away.
[01:29:55.231 --> 01:29:58.233]  We're on the march, the empire's on the run.
[01:29:58.233 --> 01:30:01.836]  Alex Jones and the GCN Radio Network.
[01:30:07.382 --> 01:30:18.325]  We hold these truths to be self-evident, that all men are created equal, that they are endowed by their creator with certain unalienable rights, that among these are life, liberty, and the pursuit of happiness.
[01:30:18.325 --> 01:30:25.387]  That to secure these rights, governments are instituted among men, deriving their just powers from the consent of the governed.
[01:30:25.387 --> 01:30:34.509]  That whenever any form of government becomes destructive of these ends, it is the right of the people to alter or to abolish it, and to institute new government.
[01:30:36.172 --> 01:30:37.973]  Independence isn't a day.
[01:30:37.973 --> 01:30:39.013]  It's a mindset.
[01:30:39.013 --> 01:30:41.775]  An attitude that says, I will not be your dependent.
[01:30:41.775 --> 01:30:43.376]  I will not be your slave.
[01:30:43.376 --> 01:30:49.459]  Dependence and slavery is a chain that is forged link by link with gradual infringements.
[01:30:49.459 --> 01:30:54.401]  When you trade your liberty for safety, to that extent, you become their slave.
[01:30:54.401 --> 01:30:56.302]  Slaves are never safe.
[01:30:56.302 --> 01:30:59.284]  You won't get rich by being a slave.
[01:30:59.284 --> 01:31:00.384]  Guard your liberty.
[01:31:00.384 --> 01:31:03.746]  Regard with suspicion anyone who tries to take it.
[01:31:03.746 --> 01:31:05.627]  For InfoWars.com, I'm David Knight.
[01:31:07.392 --> 01:31:13.073]  Rediscover your fire with the EcoZoom Coal Rocket Camping Stove.
[01:31:13.073 --> 01:31:21.075]  It's easy to light and you can cook with wood, charcoal, or any biomass fuel in a rugged and durable design.
[01:31:21.075 --> 01:31:24.236]  And that means big power in a portable package.
[01:31:24.236 --> 01:31:30.257]  The Versa cooks fast, it produces less smoke, and it's fuel efficient.
[01:31:30.257 --> 01:31:34.398]  No wonder the Versa is the most popular model in America.
[01:31:34.858 --> 01:31:40.904]  It's the ultimate stove for camping, outdoor cooking, or emergency preparedness.
[01:31:40.904 --> 01:31:47.511]  All it takes is a handful of sticks or charcoal, you got yourself an entire meal.
[01:31:47.511 --> 01:31:49.213]  Now that looks good.
[01:31:49.213 --> 01:31:55.940]  Go to Infowarsstore.com for more details and see how you can become the master outdoor chef.
[01:31:56.540 --> 01:32:02.044]  And enjoy cooking freedom with the EcoZoom Versa Outdoor Stove.
[01:32:02.044 --> 01:32:06.528]  Available right now at, you guessed it, Infowarestore.com.
[01:32:08.641 --> 01:32:12.424]  Thousands of years ago, there was a basic form of chivalry.
[01:32:12.424 --> 01:32:20.149]  Our ancestors would hear the drums of war, giving the warriors of the tribe a chance to organize and prepare a defense.
[01:32:20.149 --> 01:32:28.754]  Sixty years ago, when foreign air forces were approaching filled with bombs, they had drums of their own, air raid sirens.
[01:32:28.754 --> 01:32:33.197]  But in the 21st century, there are silent weapons for quiet war.
[01:32:33.197 --> 01:32:38.541]  Pathogens added to the food and water, to the lining of plastics that destroy our vitality.
[01:32:38.761 --> 01:32:43.004]  Turn off our hormones and accelerate our journey towards death.
[01:32:43.004 --> 01:32:46.427]  I personally counter this onslaught with AnthroPlex.
[01:32:46.427 --> 01:32:57.576]  AnthroPlex is designed with known organic concentrated herbs to create the basic foundation to normal metabolic activity inside the human body.
[01:32:57.576 --> 01:33:00.478]  Discover why AnthroPlex is turning so many heads today.
[01:33:00.478 --> 01:33:06.443]  It's time for us to take our bodies back into our own hands and it starts at InfoWarsLife.com with AnthroPlex.
[01:33:12.443 --> 01:33:19.534]  Live from the Infowars.com studios, you're listening to The Alex Jones Show.
[01:33:19.534 --> 01:33:23.259]  And now, your host, Paul Joseph Watson.
[01:33:28.672 --> 01:33:30.654]  We're back with Tommy Robinson.
[01:33:30.654 --> 01:33:31.974]  Bit of breaking news.
[01:33:31.974 --> 01:33:34.156]  Sad news, but widely expected.
[01:33:34.156 --> 01:33:39.960]  British media are reporting that 11-month Charlie Gard focus of a legal health battle has died.
[01:33:39.960 --> 01:33:43.823]  The NHS and the EU death panels have claimed another victim.
[01:33:43.823 --> 01:33:47.906]  They wouldn't even let the parents take their baby home to die.
[01:33:47.906 --> 01:33:49.527]  That was their final wish.
[01:33:49.527 --> 01:33:51.709]  They couldn't even relent to let them have that.
[01:33:52.501 --> 01:33:55.163]  Now, Charlie Gard has officially died.
[01:33:55.163 --> 01:34:03.187]  Of course, I was involved in a similar situation a few years ago with some Romanian immigrant parents, hard-working, spoke good English.
[01:34:03.187 --> 01:34:06.830]  They had a baby in a similar situation, different illness.
[01:34:06.830 --> 01:34:08.651]  It was a type of blood cancer.
[01:34:08.651 --> 01:34:11.172]  They'd raised the funds to take it to a different hospital.
[01:34:11.172 --> 01:34:14.034]  They wouldn't let them take the baby out of the hospital.
[01:34:14.654 --> 01:34:23.856]  In some cases they wouldn't even let the parents sit alone with their own baby without being monitored constantly because they thought they would steal the baby.
[01:34:23.856 --> 01:34:27.877]  Absolutely horrendous treatment of parents going on in this hospital.
[01:34:27.877 --> 01:34:30.937]  Most of the cases won't even get press attention.
[01:34:30.937 --> 01:34:35.938]  Even this, they got global press attention from President Trump, from the Pope.
[01:34:35.938 --> 01:34:38.139]  They still won out in the end.
[01:34:38.139 --> 01:34:39.219]  The death panel won.
[01:34:39.879 --> 01:34:41.781]  Charlie Gard is dead.
[01:34:41.781 --> 01:34:43.802]  Absolutely tragic story.
[01:34:43.802 --> 01:34:49.367]  Relentlessly shocking story comes to an end on this Friday night.
[01:34:49.367 --> 01:34:57.233]  Going back to Tommy Robinson though, Tommy, you tweeted the image of the perpetrator or one of the perpetrators in the rape of a teenage girl in Birmingham.
[01:34:57.233 --> 01:35:00.076]  Doesn't look very Japanese or South Korean to me.
[01:35:00.076 --> 01:35:00.896]  What do you think, Tommy?
[01:35:00.896 --> 01:35:02.618]  Doesn't look like Bruce Lee, does it?
[01:35:05.382 --> 01:35:08.705]  But again, they described them as Asian.
[01:35:08.705 --> 01:35:13.429]  They don't give out any other identifying features that are going to help people find these individuals.
[01:35:13.429 --> 01:35:16.291]  Thankfully, we got the picture from CCTV now.
[01:35:16.291 --> 01:35:19.414]  But again, it goes back to that politically correct Asian tag.
[01:35:19.414 --> 01:35:20.695]  Absolutely insane.
[01:35:20.695 --> 01:35:24.679]  Tommy, I want to read you a story which came out today, which is up on Infowars.com.
[01:35:25.734 --> 01:35:27.675]  This is out of Information Liberation.
[01:35:27.675 --> 01:35:29.096]  Muslim leader!
[01:35:29.096 --> 01:35:32.258]  Australian women need us to fertilise them.
[01:35:32.258 --> 01:35:35.220]  White race will be extinct in 40 years.
[01:35:35.220 --> 01:35:52.852]  The Muslim president of the Halal Certification Authority in Australia reacted to news of allegedly falling sperm counts in white males with glee, saying the white race, this is a quote, the white race will be extinct in 40 years and Australian women need Muslims to fertilise them.
