[00:00:10.057 --> 00:00:12.118]  The Matrix is everywhere.
[01:26:12.698 --> 01:26:22.464]  And then I couldn't imagine a little creeping, like, little, like, weasel creature that, like, sits there and works for weird Nazi collaborators.
[01:26:23.544 --> 01:26:24.585]  You know, George Soros.
[01:26:24.645 --> 01:26:26.106]  I mean, what do you make of the left?
[01:26:26.126 --> 01:26:27.187]  Because, like you said at the break,
[01:26:27.947 --> 01:26:33.634]  They are, Gavin McInnes, they are doubling down, they are tripling down, they are crazy, they believe Trump's about to be gone.
[01:26:33.994 --> 01:26:34.715]  They're nuts!
[01:26:34.815 --> 01:26:36.417]  Don't they get killed Trump next week?
[01:26:36.678 --> 01:26:38.480]  We've already devastated their ass!
[01:26:40.049 --> 01:26:42.371]  I just, I really am perplexed by them.
[01:26:42.911 --> 01:26:58.885]  You know, I had dinner with Ann Coulter recently, and she had these two gay bloggers with her that were previously at Mike, M-I-C, it's one of those Daily Kos, Vox, BuzzFeed type things, and he sat down and he said, hey, I'm sorry I wrote that hit piece on you.
[01:26:59.365 --> 01:27:00.867]  And I said, what was it about again?
[01:27:01.207 --> 01:27:03.409]  And he goes, I don't remember, it was one of five things I wrote that day.
[01:27:04.139 --> 01:27:10.505]  Now, I understand that you don't have honor, and you're not a truthful person, but why choose reporting?
[01:27:10.766 --> 01:27:15.210]  Why choose writing as your vocation when you have no honor?
[01:27:15.510 --> 01:27:17.332]  It's like me choosing football.
[01:27:17.552 --> 01:27:21.476]  If I'm gonna stick a dagger in you, it's gonna be done with passion and hatred.
[01:27:22.197 --> 01:27:26.421]  Why just be a little mercenary like, you know, making crap up?
[01:27:27.389 --> 01:27:28.190]  Why bother?
[01:27:28.450 --> 01:27:29.330]  I don't understand.
[01:27:29.670 --> 01:27:31.371]  It's sort of like being a closeted gay.
[01:27:31.392 --> 01:27:33.133]  Like, why hide in the closet?
[01:27:33.193 --> 01:27:40.417]  Move to New York City, put on some red short shorts, you can dance around at the Gay Pride Parade and party your ass off with a hundred boyfriends.
[01:27:40.837 --> 01:27:53.905]  So, the left has chosen to debate about immigration, to get involved in figures and data they know nothing about, and to ruin people's lives when there's nothing in it for them and it's not really a natural place.
[01:27:53.925 --> 01:27:54.646]  You've hit the key.
[01:27:55.006 --> 01:27:57.189]  They're not in a social compact.
[01:27:57.690 --> 01:27:59.573]  They're not in a social agreement.
[01:28:00.114 --> 01:28:01.496]  They're not in that.
[01:28:01.636 --> 01:28:07.786]  I mean, they are being defrauded, but they simulate that they're in this big victory.
[01:28:09.181 --> 01:28:11.582]  Yeah, like, half of them don't have kids.
[01:28:12.243 --> 01:28:14.824]  And that's, that's, the right is kind of guilty of that, too.
[01:28:14.844 --> 01:28:20.027]  You have the biggest pundits, the ones that are on TV the most, they tend to be divorced or not.
[01:28:20.107 --> 01:28:21.368]  None of the EU leaders have kids.
[01:28:21.388 --> 01:28:27.611]  They're not bashing you don't have kids, but something chemical happens when the net, when the, like, you really get into the species.
[01:28:27.671 --> 01:28:28.612]  You really click.
[01:28:28.652 --> 01:28:30.533]  You access your ancestors.
[01:28:30.613 --> 01:28:34.315]  It's magic when that, but you're like, and they, oh, that's just genetic, ignore it.
[01:28:34.355 --> 01:28:36.076]  No, that's when magic time starts.
[01:28:37.116 --> 01:28:39.117]  Yeah, and it's hard to explain to other people.
[01:28:39.457 --> 01:28:47.000]  I mean, I even have trouble explaining to young men who just got married how different sex is when you're with... I got five times more powerful when I had my first child.
[01:28:48.240 --> 01:28:49.621]  It just... I became Darth Vader.
[01:28:52.504 --> 01:28:53.785]  And you care about the future.
[01:28:53.845 --> 01:28:56.067]  You care about the next generation and the next generation.
[01:28:56.388 --> 01:29:00.631]  And you sit there in church and you feel this cohesion with all the previous generations.
[01:29:00.992 --> 01:29:02.593]  It sort of just connects you.
[01:29:02.633 --> 01:29:03.334]  It's electrical.
[01:29:03.354 --> 01:29:05.716]  Because it is.
[01:29:05.836 --> 01:29:07.177]  Ancestrally, it's electrical.
[01:29:07.397 --> 01:29:12.182]  Genetically, you know, out of mama's womb, man, it's a connection to everybody behind you.
[01:29:12.202 --> 01:29:13.463]  You are completing the circuit.
[01:29:14.389 --> 01:29:15.489]  Look at centenarians.
[01:29:15.549 --> 01:29:17.650]  They discovered these people that live over a hundred.
[01:29:18.370 --> 01:29:22.071]  The Venn diagram tends to show them on islands like Greece and Japan.
[01:29:22.311 --> 01:29:23.871]  They tend to eat a lot of fresh fish.
[01:29:24.231 --> 01:29:28.712]  But one thing that really connects them is they're around their grandchildren, their great-grandchildren.
[01:29:28.952 --> 01:29:35.633]  And they've actually noticed not only does it prevent autism, but there's been cases where autism and dementia are creeping in.
[01:29:35.994 --> 01:29:41.435]  Then these people move in with their grandchildren or near their grandchildren and all of a sudden it starts going away.
[01:29:41.515 --> 01:29:42.495]  Because it's a fulcrum.
[01:29:43.562 --> 01:29:44.543]  It's meant to happen.
[01:29:44.583 --> 01:29:45.224]  It's magic.
[01:29:45.304 --> 01:29:46.145]  It's religious.
[01:29:46.385 --> 01:29:47.327]  It is the species.
[01:29:48.167 --> 01:29:48.748]  Absolutely.
[01:29:48.808 --> 01:29:50.010]  And then it's psychic.
[01:29:50.050 --> 01:29:51.651]  The information's being transferred between.
[01:29:52.392 --> 01:29:53.293]  We're on the march.
[01:29:53.794 --> 01:29:55.396]  The empire's on the run.
[01:29:56.317 --> 01:29:59.000]  Alex Jones and the GCN Radio Network.
[01:30:03.593 --> 01:30:15.727]  Since the time of Hippocrates, the father of modern western medicine, in 420 BC, the ancients have marveled at the power of whey protein from milk and cheese.
[01:30:15.907 --> 01:30:23.276]  That's why I'm so proud to announce the latest addition to the InfoWars Life family, true whey protein from InfoWars Life.
[01:30:23.596 --> 01:30:29.540]  It's produced right here in the United States of America under the strictest high-quality organic conditions.
[01:30:30.101 --> 01:30:36.825]  Our True Whey Protein from InfoWars Life contains a whopping 20 grams of protein per serving.
[01:30:37.285 --> 01:30:44.510]  We went out and did massive research and found the very best company and facility to develop our whey.
[01:30:44.671 --> 01:30:50.975]  And it took us years to finally get contacts with some of the larger, most respected companies
[01:30:51.315 --> 01:30:57.300]  To bring you a super high quality whey protein at a very reasonable price.
[01:30:57.820 --> 01:31:05.386]  That way you get the benefits and the taste of high quality whey while supporting our information warfare operation against the globalists.
[01:31:05.707 --> 01:31:08.189]  Doing our research, one thing continued to really stand out.
[01:31:08.769 --> 01:31:17.435]  It's not just that cows and their milk are associated with the best, highest quality protein, but also that those cows be grass-fed.
[01:31:17.835 --> 01:31:18.656]  That is essential.
[01:31:19.036 --> 01:31:23.339]  And all of this whey protein comes from grass-fed, happy cows.
[01:31:23.819 --> 01:31:26.281]  This is the very best whey that we were able to bring to market.
[01:31:26.641 --> 01:31:28.342]  Please try it for yourself and tell us what you think.
[01:31:28.442 --> 01:31:30.084]  Again, thank you so much for all your support.
[01:31:30.604 --> 01:31:33.146]  It is true whey from mfoolwarslive.com.
[01:31:33.686 --> 01:31:35.627]  Super blue mouthwash is here.
[01:31:35.787 --> 01:31:42.530]  We have 50% off out of the gates because I want you to try these products when you get it in the silver special.
[01:31:43.210 --> 01:31:48.673]  You get the electric toothbrush, silver impregnated, the super blue mouthwash, the colloidal silver, the super blue toothpaste.
[01:31:49.113 --> 01:31:50.674]  And all of it, 50% off.
[01:31:51.134 --> 01:31:54.255]  Or get it by itself at, what, 11% off.
[01:31:54.536 --> 01:31:57.537]  It's $17.76, part of the $17.76 special.
[01:31:57.557 --> 01:31:59.498]  But whatever you do, support the broadcast.
[01:31:59.558 --> 01:32:00.658]  Commit to do it today.
[01:32:00.998 --> 01:32:03.440]  It is an act of rebellion to fund us.
[01:32:03.680 --> 01:32:05.100]  Vitamin Mineral Fusion.
[01:32:05.120 --> 01:32:07.702]  Visit Infowarslife.com to secure your chemister.
[01:32:07.882 --> 01:32:15.165]  We have worked for years with our chemists and scientists to create the most powerful and affordable grape-tasting multivitamin formula available.
[01:32:15.345 --> 01:32:25.673]  Vitamin Mineral Fusion Drink Mix at Infowarslife.com is loaded with a full month's supply of essential vitamins, minerals, and amino acids that your body absolutely needs.
[01:32:26.014 --> 01:32:33.520]  In the history of Infowarslife, we've brought out a lot of amazing products like Survival Shield X2, Super Mel Vitality, and so many others.
[01:32:33.820 --> 01:32:43.783]  With its unique delivery system and proprietary manufacturing process designed for maximized effects, this formula is the platinum standard of multivitamin mineral products.
[01:32:44.043 --> 01:32:45.923]  And this part is most important.
[01:32:46.083 --> 01:32:52.865]  The ingredients in Vitamin Mineral Fusion are either plant-derived or of the highest quality lab standard.
[01:32:52.905 --> 01:32:54.006]  That means it's clean.
[01:32:54.346 --> 01:32:55.366]  That means it's pure.
[01:32:55.486 --> 01:32:58.287]  And rest secured, you're fighting the tip of the spear in the InfoWars.
[01:32:58.367 --> 01:33:00.947]  That's InfoWarsLife.com and Vitamin Mineral Fusion.
[01:33:01.167 --> 01:33:02.808]  Take action now before we sell out.
[01:33:16.227 --> 01:33:22.234]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[01:33:36.112 --> 01:33:37.973]  Ecumenical movements took over the churches.
[01:33:38.374 --> 01:33:39.535]  Say what you want about the churches.
[01:33:40.235 --> 01:33:42.657]  You know, you get people out there yelling in your face with bad breath or whatever.
[01:33:42.677 --> 01:33:43.157]  It's annoying.
[01:33:43.217 --> 01:33:45.199]  But, you know, it's basic human culture.
[01:33:45.499 --> 01:33:47.140]  And Christian society is the West.
[01:33:47.601 --> 01:33:48.761]  Open, true freedom.
[01:33:49.962 --> 01:33:53.905]  But Hillary is saying she may become a preacher, and now she says God bless and things.
[01:33:53.965 --> 01:33:59.049]  They understand that when we rediscover God, we're saying we don't worship government.
[01:33:59.129 --> 01:34:02.272]  It's like Trump said, we don't worship government, we worship God.
[01:34:03.485 --> 01:34:06.127]  And all you're doing is setting something up greater above you.
[01:34:06.547 --> 01:34:07.308]  It's those first steps.
[01:34:07.368 --> 01:34:16.674]  And I've never told this story, but Gavin's here and he brought up the epigenetic studies and the things about people getting Alzheimer's because they're not around, they're designed to be transmitting the knowledge to people.
[01:34:17.675 --> 01:34:22.158]  And I, I'm not told some of these stories because it's so personal.
[01:34:22.558 --> 01:34:26.321]  I probably shouldn't, shouldn't cause the media will have a heyday with it, but everybody's experience is real.
[01:34:26.781 --> 01:34:28.002]  My dad's dad was a,
[01:34:29.429 --> 01:34:29.909]  Amazing.
[01:34:30.009 --> 01:34:31.971]  He was like John Wayne or something.
[01:34:32.331 --> 01:34:32.992]  More than John Wayne.
[01:34:33.012 --> 01:34:40.057]  He was like black hair, big blue eyes, and he was like, you know, American, but in part Comanche Indian, whole nine yards.
[01:34:40.077 --> 01:34:42.038]  It was just like, it looked like a movie star you've never seen.
[01:34:42.098 --> 01:34:46.641]  It's like, like I'd go, I was a little kid with him, just women would just like, just like turn.
[01:34:47.382 --> 01:34:49.864]  He was so good looking and he died super young.
[01:34:49.884 --> 01:34:51.204]  He died before he was 60.
[01:34:51.585 --> 01:34:53.406]  And I was there when he died when I was six years old.
[01:34:54.467 --> 01:34:58.390]  And he died a few minutes after they took me out of the room and he grabbed my hand,
[01:34:59.366 --> 01:35:02.549]  And he was a leader in the community and he said, I'm going to be there.
[01:35:02.709 --> 01:35:03.590]  I'm going to be with you.
[01:35:03.830 --> 01:35:05.352]  And it was like a Vulcan mind meld.
[01:35:05.372 --> 01:35:12.098]  He said, he said, he said, I'm giving you this knowledge.
[01:35:13.319 --> 01:35:14.420]  And I didn't know what that meant.
[01:35:14.580 --> 01:35:19.925]  But when, like a couple of days later, when I was at his funeral and there was the coffin there, I knew he wasn't gone.
[01:35:21.240 --> 01:35:23.301]  And it wasn't like some imaginary friend or something.
[01:35:23.361 --> 01:35:26.683]  It was then I was having his memories.
[01:35:26.823 --> 01:35:27.563]  He was there.
[01:35:28.604 --> 01:35:32.126]  It was like a... ...soggy expression.
[01:35:32.966 --> 01:35:38.649]  And when you look at them attacking men and women in our relationships and our grandparents and family, it's satanic.
[01:35:38.749 --> 01:35:43.411]  There is this connection to humans that is magic.
[01:35:43.892 --> 01:35:46.093]  And that's the real culture, Gavin, and they're attacking that.
[01:35:46.353 --> 01:35:48.574]  So you started getting into that, but talk about that.
[01:35:49.619 --> 01:35:53.604]  Well, you know, the way I explain it to atheists is just think of it as nature.
